"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"317","309","      Social services and religious activities (120)","DSOCRX0",78886,79373,79383,79691,79847,80738,81370,82189,82508,82935,83746,84555,85702,87210,89037,90185,91611,92484,93618,95039,96418,97997,99234,101357,103924,105446,107290,108132,109038,110186,110983,112195,112634,113701,115051,116304,117292,117841,119493,119004,119832,121222,120571,122351,123527,123590,124821,125610,127185,128950,129942,130657,130702,131330,131847,132457,132608,132853,132721,133813,135181,135941,136058,138256,137511,137195,136916
"318","310","        Child care","DCHCRX0",22720,22800,22388,22090,21917,21829,21507,21716,21830,21973,22132,21973,21695,21660,21988,22135,22593,22671,22577,22674,22825,22884,22846,23273,23529,23631,23918,23784,23799,23836,23827,23880,23819,23844,24036,24283,24115,24240,24398,23980,24057,23990,23732,23958,23929,23963,24287,24873,25336,25621,25891,26028,25803,25848,25481,25163,25362,25227,24950,25084,25372,24847,24116,24296,24385,24434,24229
"319","311","        Social assistance","DSCWRX0",36198,36524,36823,37299,37476,38203,39026,39503,39926,40268,40866,41672,42697,44018,45537,46619,47777,48864,50154,51615,53038,54635,56062,57944,60353,61956,63662,64986,66138,67350,68190,69104,69448,70288,71242,72022,73200,73685,75039,75220,76151,77602,77416,78787,79803,79755,80512,80593,81473,82793,83523,84347,84726,85325,86193,87031,87332,87738,87986,88907,89838,91404,92186,93894,93525,93505,93348
"320","312","          Homes for the elderly","DELDRX0",7277,7295,7335,7417,7438,7570,7654,7522,7453,7494,7614,7806,8050,8313,8522,8754,8960,9183,9422,9638,9859,10146,10391,10735,11251,11529,11773,11955,12213,12366,12422,12492,12517,12568,12704,12739,12908,12901,13089,13092,13226,13567,13681,13915,14272,14429,14477,14343,14316,14419,14364,14462,14551,14671,14745,14840,14875,14940,15082,15228,15295,15455,15594,15849,15772,15780,15746
"321","313","          Residential mental health and substance abuse","DMENRX0",2419,2436,2453,2484,2494,2541,2586,2591,2521,2516,2642,2921,3371,3869,4317,4722,5036,5368,5788,6227,6689,7172,7654,8128,8687,9212,9795,10399,10949,11425,11768,11976,12087,12285,12430,12617,12874,12916,13236,13416,13605,13878,13760,13818,13815,13820,13932,13965,14264,14590,14758,14972,15189,15373,15514,15589,15528,15599,15824,16160,16471,16865,17120,17393,17331,16879,16866
"322","314","          Individual and family services","DFAMRX0",17268,17460,17619,17857,17952,18311,18766,19168,19584,19787,19918,20147,20248,20480,20894,21263,21615,21906,22277,22642,23008,23510,23946,24519,25360,25886,26416,26733,26866,27113,27247,27523,27741,28279,28807,29325,29903,30166,30757,30486,30866,31427,31378,32491,33260,33453,34141,34507,35254,36049,36502,36984,36793,36928,37515,38132,38407,38682,38757,39129,39373,40092,40446,41356,41324,41661,41685
"323","315","          Vocational rehabilitation services","DVOCRX0",4444,4489,4528,4588,4612,4703,4813,4897,4964,5004,5147,5131,5206,5349,5626,5507,5610,5682,5732,5986,6146,6233,6253,6467,6565,6611,6692,6636,6629,6683,6771,6925,6981,7007,7002,7018,7043,7105,7204,7298,7315,7343,7263,7159,6977,6762,6598,6381,6219,6160,6106,6124,6229,6300,6347,6366,6510,6613,6670,6683,6658,6727,6800,6772,6810,6838,6762
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",1644,1663,1678,1701,1710,1744,1788,1828,1848,1861,1895,1977,2080,2197,2322,2434,2549,2647,2745,2859,2990,3120,3232,3384,3578,3669,3783,3913,3991,4129,4250,4386,4380,4452,4623,4675,4814,4958,5110,5338,5536,5760,5789,5860,5918,5814,5911,5977,6007,6145,6341,6402,6582,6710,6778,6885,6917,6877,6665,6731,7030,7220,7175,7388,7046,6989,6958
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3041,3074,3102,3144,3161,3224,3305,3377,3431,3478,3523,3569,3629,3705,3757,3845,3916,3993,4107,4187,4276,4389,4524,4655,4860,5001,5161,5317,5467,5620,5720,5793,5731,5686,5667,5639,5652,5632,5638,5590,5604,5628,5544,5543,5561,5478,5452,5417,5411,5430,5451,5401,5378,5338,5288,5212,5089,5023,4989,4976,5002,5035,5042,5121,5241,5346,5317
"326","318","        Social advocacy and civic and social organizations","DSADRX0",14106,14172,14212,14223,14207,14373,14345,14382,14151,14091,14139,14259,14609,14806,14799,14741,14614,14363,14326,14236,14101,14074,13968,13844,13789,13668,13593,13315,13132,13090,13095,13353,13514,13704,13878,14064,13999,13910,14043,13810,13669,13708,13520,13707,13895,13944,14038,14066,14201,14308,14291,14085,14065,14124,14230,14406,14102,14129,14055,14082,14180,13948,14063,14365,13899,13575,13678
"327","319","        Religious organizations' services to households","DRELRX0",5561,5579,5628,5715,5894,5949,6016,6089,6033,5981,5960,5969,5997,6017,6023,6013,5985,5949,5908,5860,5805,5756,5718,5691,5667,5638,5602,5557,5507,5463,5433,5416,5408,5410,5428,5457,5481,5500,5503,5488,5456,5426,5403,5386,5372,5381,5414,5471,5542,5585,5594,5566,5513,5462,5417,5377,5341,5319,5315,5329,5354,5378,5399,5417,5410,5393,5378
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1152,1108,1071,1040,1010,980,948,915,875,828,775,718,663,612,562,518,488,471,466,467,471,480,491,503,511,513,507,498,495,501,516,536,557,579,601,621,633,632,619,595,575,560,549,528,516,512,515,535,538,553,571,554,540,550
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",46941,47482,48002,47889,47510,47863,48127,48130,49264,50163,51212,52367,53920,55241,55950,56111,55359,54657,54564,54911,56643,56657,56301,55547,54861,54069,52981,51677,51270,51377,51376,51373,51890,52031,52465,53145,54103,54890,55336,55637,55365,55237,55283,55215,55260,55406,55823,56021,56737,57249,57720,58312,58419,57955,56941,55957,54303,52647,51245,50331,50044,49702,49648,49987,50211,50837,51381
"330","322","        Domestic services","DDMSRX0",20502,20741,20859,20879,20871,20744,20483,20206,20716,21148,21698,22340,23361,24231,24553,24401,23427,22511,22173,22269,23769,23751,23564,23195,23066,22805,22177,21269,21193,21582,21813,22006,22716,22835,23010,23227,23611,23892,23989,24108,23831,23695,23717,23622,23880,24182,24515,24402,24814,25220,25740,26102,26106,26035,25689,25166,24384,23599,22851,22140,21515,21072,20832,20720,20774,20979,21074
"331","323","        Moving, storage, and freight services","DMSERX0",11747,11946,12228,12224,12053,12380,12754,13021,13561,13959,14278,14505,14709,14834,14972,15117,15265,15440,15656,15906,16151,16245,16153,15869,15420,14962,14529,14116,13730,13429,13229,13121,13009,13039,13241,13599,14057,14450,14714,14837,14830,14859,14946,15086,15027,14938,14974,15128,15291,15285,15170,15408,15581,15292,14772,14533,13939,13274,12748,12611,12992,13069,13227,13731,13888,14427,14886
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2728,2685,2636,2581,2534,2491,2445,2398,2354,2338,2346,2379,2427,2456,2460,2436,2387,2337,2293,2253,2214,2161,2091,2005,1908,1819,1743,1676,1620,1578,1552,1539,1520,1498,1472,1440,1403,1374,1355,1345,1339,1334,1327,1317,1302,1282,1261,1238,1211,1185,1161,1139,1118,1088,1049,1002,932,879,846,831,839,848,847,834,832,822,827
"333","325","        Repair of household appliances","DERERX0",3674,3847,3964,4012,4019,4193,4394,4566,4718,4792,4852,4894,4917,4927,4926,4914,4889,4862,4837,4813,4783,4739,4679,4601,4510,4423,4345,4275,4214,4175,4163,4177,4194,4216,4243,4271,4290,4278,4228,4141,4020,3926,3863,3828,3819,3824,3837,3858,3788,3721,3663,3610,3554,3505,3463,3427,3380,3333,3293,3260,3232,3228,3240,3222,3223,3152,3154
"334","326","        Other household services","DMHSRX0",8450,8429,8481,8356,8194,8226,8234,8133,8097,8096,8197,8401,8647,8919,9158,9358,9513,9634,9725,9778,9797,9822,9865,9923,9994,10091,10220,10378,10548,10641,10645,10553,10469,10458,10511,10615,10744,10896,11051,11207,11346,11423,11431,11361,11232,11182,11239,11400,11640,11840,11980,12055,12071,12037,11953,11816,11636,11497,11420,11403,11433,11466,11500,11531,11558,11587,11619
"335","327","      Net foreign travel","DFORRX0",-23563,-25165,-32548,-33617,-29658,-34205,-24782,-39159,-30544,-29525,-27465,-23865,-18413,-16251,-9948,-14350,-13219,-13686,-15233,-14049,-11951,-10172,-5042,-5589,-7702,3464,-860,-4291,559,-921,-7254,-7967,811,-3137,-485,-5866,-1462,-2357,-3485,-4343,-3850,-8540,-5471,-2060,-612,1885,-920,-4200,-2657,-5181,-14670,-20346,-20930,-27787,-30066,-23644,-21174,-22468,-17479,-16786,-22059,-23546,-21967,-23934,-26681,-28831,-30397
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",73502,71812,71664,74417,75775,75046,75666,76916,80797,80730,84244,85478,90238,93755,95132,93525,95960,95199,95209,98773,103767,106711,108098,108606,107755,113908,99938,82510,97155,95143,89638,96614,94143,83392,93607,95939,98414,99962,97853,98049,100346,99516,98306,100878,102713,105836,103692,104194,103538,103570,101489,100490,102234,98013,97042,99170,94652,91286,95654,96583,96128,94911,98976,98535,96840,98160,97753
"337","329","          Passenger fares for foreign travel","DAFTRX0",27987,27473,28533,28754,28714,29319,29225,30718,31578,31874,33339,33529,34369,36929,37586,36271,39733,37580,36733,39125,40325,42546,43697,42133,42364,44595,39391,28556,36514,36160,32383,36425,36891,33137,37307,38961,41181,42083,40460,41007,42502,42899,43137,43749,44797,47803,46439,46340,46049,47192,45181,44738,45267,44028,42569,42088,37771,38574,41594,42552,40930,41573,43716,44101,43689,43815,42525
"338","330","          U.S. travel outside the United States","DUSTRX0",43973,42939,41936,44268,45507,44275,44922,44822,47678,47291,49278,50264,53971,54934,55578,55261,54313,55491,56240,57465,61157,61783,61931,63911,62676,66512,57665,51207,57620,55871,54267,56793,53580,46643,52682,53325,53486,54115,53583,53244,53917,52763,51326,52785,53567,53606,52816,53710,53214,52065,51987,51633,52812,49843,50126,52472,52096,48011,49443,49335,50419,48460,50343,49536,48270,49437,50301
"339","331","          U.S. student expenditures","DUSSRX0",1515,1391,1351,1430,1513,1534,1548,1553,1626,1690,1765,1798,1947,2020,2102,2075,2158,2253,2321,2324,2408,2540,2627,2750,2832,2920,2955,3241,3277,3327,3368,3648,3784,3673,3680,3674,3743,3766,3809,3796,3918,3846,3848,4356,4361,4395,4414,4127,4258,4284,4303,4119,4171,4155,4318,4577,4729,4641,4606,4704,4782,4867,4902,4867,4837,4887,4991
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",97065,96977,104212,108034,105434,109251,100448,116075,111341,110255,111709,109343,108651,110007,105080,107875,109179,108885,110443,112822,115717,116882,113139,114195,115457,110444,100797,86801,96596,96063,96892,104581,93332,86529,94093,101804,99876,102320,101338,102391,104196,108056,103778,102938,103325,103952,104612,108394,106195,108752,116159,120836,123164,125800,127108,122814,115826,113754,113133,113369,118187,118457,120942,122468,123521,126991,128150
"341","333","          Foreign travel in the United States","DFTURX0",81920,81812,88567,92346,89820,93382,84841,99783,95340,94252,95585,92901,92282,93484,88629,91283,92390,92083,93427,95651,98411,99397,95609,96238,97683,92744,83287,69185,78917,78352,79066,86791,75645,69095,76913,84933,83210,85790,85026,86334,88234,91994,87737,87065,87551,88229,88946,92527,90383,92923,100151,104228,106574,109094,110228,105339,98035,95801,95102,95534,100324,100529,102911,104291,105440,108795,110119
"342","334","          Medical expenditures of foreigners","DMEFRX0",1450,1451,1461,1483,1593,1627,1656,1683,1723,1749,1774,1794,1818,1834,1857,1867,1961,1979,1989,2011,2055,2073,2084,2111,1938,1926,1920,1913,1789,1746,1731,1721,1737,1757,1754,1752,1750,1749,1745,1748,1776,2023,2020,2035,2038,2040,2035,2037,2038,2037,2036,2034,2094,2093,2089,2086,2092,2091,2089,2086,2089,2090,2086,2084,2095,2108,2100
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",13316,13346,13510,13285,13243,13314,13497,13421,13279,13323,13374,13924,13840,13952,14098,14125,14221,14234,14418,14469,14440,14598,14855,15354,15272,15433,15595,16208,16062,16122,16222,15997,16099,15916,15542,15139,14945,14793,14578,14315,14187,14040,14020,13836,13736,13683,13632,13843,13773,13807,14029,14638,14582,14717,14900,15413,15564,15660,15714,15557,15689,15748,15900,16062,15997,16164,16063
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",140233,141547,142181,145020,149902,151722,152884,149002,140820,139813,139686,141718,146329,150977,156429,161755,162898,164097,165366,167385,172733,173501,179865,185030,186013,189747,192829,196775,200287,204923,212713,217986,217114,219789,219290,218675,219873,217899,216360,216441,203966,208248,212178,222438,225242,231470,241406,242424,240539,237518,246668,256152,264811,269002,273634,284012,279283,273365,275340,280311,282045,284554,279526,273928,274324,274858,281281
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",632617,634779,636939,641395,644226,651508,655532,662380,657816,659627,665500,672225,684933,691940,701403,708600,713329,717179,722789,730545,736940,744147,752601,762251,770906,779138,789794,801346,815281,827971,838379,842781,841975,843465,844555,846399,851344,856089,863973,870428,866768,871458,875785,883181,893205,899616,904734,912351,922181,922557,925261,934153,944178,951388,958562,965588,965953,967761,971948,977076,974328,988219,992801,1001600,997242,1000605,999824
"346","338","      Health, gross output","DHLGRX0",359832,361212,362615,364893,363021,367102,367865,373503,373780,376102,380377,383037,390418,391518,395084,397647,400732,402475,405412,408174,409237,411026,413668,415624,419368,421604,426769,433769,442079,448092,452089,454026,457362,459197,459997,460401,461705,465781,471278,475896,475720,479670,484522,488714,493221,495413,495646,496797,506712,503852,503972,509226,513475,516346,518422,523005,529206,533028,537631,542292,537740,545612,547352,551559,555262,560510,561318
"347","339","        Outpatient services, gross output","DOUGRX0",41894,42726,43561,43938,44064,44398,44738,45188,44906,44694,44912,45427,45859,45982,46139,46219,46446,46940,47429,47768,47923,48425,48517,49046,49600,50420,51667,53095,54777,56267,57362,58009,58136,58350,58846,59485,60104,60591,60924,60934,61117,61404,61621,62359,62733,62884,63325,63803,64002,64238,64117,63799,62900,62460,62882,63883,64952,64991,64248,64005,63821,63815,63137,63122,62959,63172,63089
"348","340","        Nonprofit hospitals, gross output","DHSORX0",287601,287659,287833,289187,287059,290298,290132,294647,294043,295408,298706,300381,307815,308073,311215,313384,315957,317121,319389,321645,322521,323667,326036,327013,329540,330181,334062,339126,345522,350190,352883,353926,357031,358487,359171,359238,360544,364186,369254,373795,373404,376017,380362,383523,387778,389587,390119,390882,401027,397834,397790,402624,407811,411474,412895,415978,421358,423932,429236,434449,430287,437625,440446,444171,448200,452382,453880
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",30437,30884,31241,31777,31887,32397,32965,33645,34795,35969,36737,37191,36758,37463,37745,38068,38360,38432,38608,38778,38811,38941,39130,39564,40216,40970,41001,41505,41743,41605,41815,42064,42169,42334,41962,41668,41058,41010,41106,41167,41200,42249,42539,42830,42710,42941,42198,42110,41671,41771,42058,42795,42754,42400,42632,43132,42881,44094,44132,43818,43616,44148,43738,44238,44071,44933,44315
"350","342","      Recreation services, gross output","DRCGRX0",22440,22639,22490,22405,22280,22262,22313,22452,22435,22663,22637,23123,23011,23161,23555,23889,24247,24530,24711,25489,25482,26017,26289,26706,27395,28005,27988,28117,28516,28908,29371,29852,30005,30102,30237,30477,30762,31012,31444,31486,31597,32034,32210,32741,33072,33144,33407,33780,34123,34581,35116,35649,35930,36364,36520,36087,35778,35327,35174,35073,34677,35579,35169,34923,34609,35224,35006
"351","343","      Education services, gross output","DEDGRX0",92051,92628,92970,93985,95225,96051,96872,96968,96624,96520,97169,98407,100051,101304,102283,103548,104542,105052,105396,106689,107622,108800,110419,112054,114103,116203,117817,119379,120676,122324,124606,123781,123732,124365,124362,125245,126339,126434,126004,126850,127972,128079,129022,129748,131447,133337,134120,137746,139962,142225,143415,144737,144767,145815,147966,148647,150322,150922,152579,153392,155288,156887,158455,159477,160549,161435,162315
"352","344","      Social services, gross output","DSSGRX0",49821,50335,50601,50916,50878,51541,52646,53916,54837,55413,56254,57335,58560,60166,62160,63540,65110,66434,67938,69763,71597,73621,75456,78071,81278,83359,85508,86997,87952,89291,90309,91657,91843,92403,92796,92304,91799,90941,91307,90740,91230,92514,91880,93129,93686,92712,93186,93007,93217,94206,94873,95483,96065,96899,98010,99464,100429,100667,99706,99822,100005,101255,100605,101592,100193,99455,97819
"353","345","      Religious organizations, gross output","DREORX0",53951,54237,54870,55830,57687,58358,58929,58961,58033,57530,57681,58468,59725,60772,61466,61773,61722,61672,61720,61831,61995,62316,62832,63529,64358,65219,66105,67003,67847,68363,68528,68314,67802,67541,67727,68282,68984,69615,69997,70107,69941,69732,69536,69327,69098,69162,69566,70299,71221,71785,71907,71553,70872,70212,69632,69111,68651,68372,68321,68494,68825,69129,69403,69624,69538,69325,69130
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13630,13436,13122,13036,12895,12610,12378,11901,11381,11085,11038,11226,11621,12084,12589,13135,13701,14219,14674,15050,15373,15825,16461,17290,18256,19088,19699,20074,20224,20287,20293,20230,19928,19714,19640,19680,19766,19841,19849,19784,19685,19795,20171,20814,21657,22370,22913,23260,23152,23344,23827,24632,25509,26091,26258,25952,25202,24763,24461,24342,23437,23036,22862,23208,22271,22051,22331
"355","347","      Social advocacy establishments, gross output","DSAORX0",6280,6340,6382,6432,6430,6522,6631,6649,6695,6770,6884,6872,6922,6968,6932,7028,7170,7296,7523,7787,7826,7907,8071,8135,8310,8515,8771,9195,9838,10254,10682,11130,11163,11229,11265,11188,10997,10970,11066,10908,11028,11241,11146,11446,11840,12225,12631,12900,13086,13311,13534,13898,14335,14577,14880,14837,14671,14708,14901,14904,14719,14799,14707,14964,14376,14243,14254
"356","348","      Civic and social organizations, gross output","DCIORX0",7465,7456,7447,7405,7336,7369,7347,7293,7173,7144,7210,7340,7575,7746,7872,7962,8062,8089,8294,8383,8488,8668,8811,8938,9107,9233,9402,9528,9746,9931,10087,10276,10360,10465,10524,10537,10480,10368,10335,10046,9813,9854,9651,9730,9843,9816,9789,9697,9583,9515,9498,9509,9573,9706,9788,9904,9699,9595,9505,9478,9367,9355,9344,9449,9027,8937,8962
"357","349","      Professional advocacy, gross output","DSNGRX0",28002,27320,27264,27342,29405,30620,31442,31579,27613,27121,26965,27101,27766,28903,30115,30701,28630,27967,27647,27836,29721,30280,30852,32067,28797,27916,27731,27294,28425,30537,32428,33507,29763,28425,27981,28271,30507,31129,32705,34633,29782,28537,27642,27541,29347,31432,33467,34829,31079,29663,29035,29377,33571,35312,37036,38581,31854,30193,29423,29004,30032,32351,34682,36589,31102,29078,28291
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",495392,496216,497749,499294,497082,502560,505428,516413,520351,523266,529401,534130,542184,544297,547995,549479,553050,555665,560025,565765,566339,572944,574434,578536,586394,590620,598119,605556,615958,623810,625797,624544,624739,623461,625132,627662,631427,638179,647632,654018,662766,663212,663634,660750,667995,668247,663623,670208,681794,685082,678945,678668,680396,683561,686279,683535,688305,695418,697785,698433,694311,705495,714117,727295,722777,725548,719341
"359","351","      Health services to households","DHLRRX0",349092,349251,350519,351387,348490,352713,353932,362374,365666,368456,373936,377142,383714,384668,387065,387535,390178,392283,396151,400184,399721,404651,404919,407004,412368,415021,421823,430072,441338,449161,450335,449357,449314,447167,448301,449938,453285,460233,468876,475505,483066,482759,484000,480210,486766,487085,482715,488634,499419,501862,495553,495300,497927,501052,503099,500614,505774,513223,515845,516585,511158,521220,529534,541108,538139,541400,535668
"360","352","        Outpatient services to households","DOUSRX0",32820,33397,34045,34321,34405,34607,35103,36256,36314,36221,36539,37147,37701,37874,38000,37906,37912,38248,38769,39287,39798,40549,40727,41045,41269,41872,42862,44098,45926,47426,48437,49009,48918,49204,49883,50643,51843,52925,53992,54469,55009,55408,55820,56095,55165,54290,53915,54175,53899,54140,54482,54677,55364,55819,56057,56152,56115,56577,56877,57097,57098,57765,57947,58413,58506,58963,58977
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",283221,282685,283059,283343,280424,284194,284571,291730,294135,296327,300913,302998,308904,308930,311175,311814,314482,316444,319581,322956,322255,325954,326207,327901,332609,334544,340421,347078,356269,362604,362535,360433,360136,357482,358053,359231,361624,367370,374670,380734,387450,386289,386713,383098,390563,392043,388206,393681,404528,406377,400179,399351,401632,404424,406795,404522,409614,415346,417599,418123,412819,422684,430854,440882,437985,440744,435873
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33694,34027,33974,34215,34573,34614,35519,36280,36884,37390,37481,38268,38294,38226,38207,37988,38185,38312,37987,38448,38272,38336,38797,38886,38818,39157,39380,39340,39499,39992,40337,40531,40399,40084,39822,39939,40213,40304,40609,41057,41465,41023,41026,40725,40576,40746,40911,41262,40840,41226,40898,40779,40224,39927,40016,41250,41323,41329,41235,40748,40671,41708,41565,41617,40784
"363","355","      Recreation services to households","DRCRRX0",12257,12406,12419,12331,12244,12231,12271,12424,12413,12345,12373,12631,12528,12516,12609,12703,12810,12903,12982,13220,12998,13112,13037,13167,13443,13606,13335,13075,13097,13050,13128,13197,13239,13218,13302,13496,13633,13952,14383,14586,15179,15576,15690,15800,15788,15799,15781,15700,15662,15518,15438,15254,15022,14954,14787,14500,14224,14096,13863,13718,13997,14257,14102,14129,14066,14392,14341
"364","356","      Education services to households","DEDRRX0",69439,69462,69267,69812,70567,71174,72040,73351,73209,72555,72508,72812,73424,73672,73864,74324,74553,74517,74219,74852,75244,75768,76493,77230,78077,78603,78225,77009,75289,74390,74678,73495,73327,73547,73166,73115,73004,72361,71556,71701,72240,71986,72177,72030,72218,72395,71692,72436,72350,72458,72532,72914,72641,72724,73321,73070,73281,73025,73237,73095,73551,74014,74551,74990,75416,75778,76138
"365","357","      Social services to households","DSSRRX0",24834,25250,25485,25808,25961,26468,27198,28207,28803,29150,29698,30391,31238,32255,33399,34058,34724,35307,36087,37125,38235,39422,40467,41863,43512,44691,46056,47122,48064,49008,49579,50079,50042,50381,50860,51299,51847,52089,52776,52546,52893,53397,52828,53386,53525,53046,53278,53243,53822,54476,54719,54735,54458,54436,54562,54771,54906,54992,54855,55271,55777,56665,56486,57507,56451,55730,54677
"366","358","      Religious organizations' services to households","DRELRX0",5561,5579,5628,5715,5894,5949,6016,6089,6033,5981,5960,5969,5997,6017,6023,6013,5985,5949,5908,5860,5805,5756,5718,5691,5667,5638,5602,5557,5507,5463,5433,5416,5408,5410,5428,5457,5481,5500,5503,5488,5456,5426,5403,5386,5372,5381,5414,5471,5542,5585,5594,5566,5513,5462,5417,5377,5341,5319,5315,5329,5354,5378,5399,5417,5410,5393,5378
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1152,1108,1071,1040,1010,980,948,915,875,828,775,718,663,612,562,518,488,471,466,467,471,480,491,503,511,513,507,498,495,501,516,536,557,579,601,621,633,632,619,595,575,560,549,528,516,512,515,535,538,553,571,554,540,550
"368","360","      Services of social advocacy establishments to households","DSASRX0",1608,1633,1650,1674,1685,1721,1729,1662,1630,1634,1663,1677,1721,1759,1769,1804,1841,1863,1899,1932,1900,1879,1882,1865,1872,1863,1836,1816,1818,1805,1836,1914,1994,2069,2115,2116,2074,2064,2081,2055,2085,2138,2136,2215,2299,2373,2450,2499,2534,2569,2593,2633,2681,2690,2713,2677,2622,2621,2663,2686,2737,2726,2747,2812,2733,2665,2685
"369","361","      Civic and social organizations' services to households","DCISRX0",5962,6002,6028,6047,6044,6125,6124,6104,5997,5961,6005,6100,6281,6395,6455,6469,6477,6424,6513,6510,6520,6576,6591,6578,6583,6549,6542,6500,6524,6561,6624,6755,6860,6995,7110,7208,7261,7253,7268,7072,6891,6886,6699,6696,6726,6694,6689,6664,6707,6706,6665,6565,6436,6397,6370,6410,6288,6241,6213,6226,6307,6211,6272,6371,6158,5999,6058
"370","362","      Professional advocacy services to households","DSNRRX0",27660,27637,27691,27553,27530,27484,27510,27516,27701,28019,27887,27986,27822,27562,27311,27121,26999,26891,26616,26425,26305,26143,25762,25598,25322,25121,25087,24650,24354,24282,24100,24129,24333,24460,24574,24714,24475,24282,24679,24548,24449,24551,24204,24514,24770,24917,25039,24962,25179,25331,25254,25095,25143,25296,25448,25564,25330,25433,25299,25047,24905,24545,24501,24509,23805,23570,23607
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1369944,1382522,1399594,1412628,1422791,1452413,1466299,1487258,1498402,1504703,1536999,1555674,1578431,1609267,1635018,1670906,1715909,1743836,1772235,1822484,1834207,1870917,1889954,1911284,1906383,1922609,1933254,1968983,1994196,2003966,2012436,2045900,2061035,2092444,2151597,2175845,2205381,2213000,2246013,2281577,2320348,2349652,2371820,2415637,2457729,2471310,2489458,2530928,2556712,2567316,2595597,2609933,2585840,2612198,2574923,2492154,2476352,2470262,2497810,2531222,2577947,2604813,2638818,2685770,2716708,2733313,2749707
"373","364","  PCE food and energy","DPFERX0",969759,976073,980748,979683,993281,994650,985084,991819,993419,995162,998652,1008587,1002881,1019177,1026468,1020026,1033947,1048872,1057757,1059710,1042940,1066501,1070399,1086918,1080273,1069418,1071815,1071096,1069065,1080036,1085222,1097245,1100094,1096242,1103434,1105621,1113329,1111050,1109964,1122994,1134432,1135335,1143121,1140055,1123720,1143204,1153270,1153429,1154696,1151671,1157115,1151787,1147094,1139666,1111367,1113254,1114038,1117571,1124361,1132378,1140753,1137522,1152485,1152720,1142346,1138874,1145970
"374","365","  PCE energy goods and services \1\","DNRGRX0",418025,429283,434843,430219,443270,441375,431293,436939,433560,439592,439301,451422,445234,459311,462943,448448,456123,466667,470583,460300,448550,464846,468394,479849,474873,457634,462822,460364,461285,473342,476242,483538,481539,484305,484015,491461,492166,492932,486592,492253,495211,496123,496419,487218,469984,481810,490402,482207,482536,483046,485484,475916,475272,467285,449030,464811,469094,464459,465233,467388,470991,472055,481339,474190,463419,458574,465163
"375","366","  PCE excluding food","DPXFRX0",5452022,5503815,5557766,5598288,5652017,5719559,5758139,5807765,5867923,5896863,6003232,6078282,6144796,6255554,6342210,6444186,6506682,6612398,6693851,6787526,6905436,6967188,7040456,7102215,7135123,7160349,7196649,7317908,7347791,7387235,7439054,7462402,7499053,7585268,7688910,7738138,7805650,7845936,7915626,8000465,8060918,8147059,8206366,8221785,8310929,8357796,8410901,8486204,8535990,8574999,8612785,8634944,8616096,8611146,8529406,8426209,8394286,8343597,8389214,8392978,8449188,8519588,8574148,8647439,8694535,8708465,8749604
