"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"199","191","            Auto leasing","DALERX0",13293,13824,15248,15631,15770,16221,16563,17568,19552,20459,21327,20917,19990,19466,19233,19284,19855,20549,21087,20987,20984,20924,20858,21224,21440,21625,21126,20363,19273,18469,17830,17272,17060,16298,15810,14904,13913,13501,13196,13271,13522,13720,14244,15250,16778,17824,18732,19568,19868,20327,20775,20858,21284,21609,21245,20191,18664,17975,18353,18998
"200","192","            Truck leasing","DTLERX0",5590,6113,6810,7240,8233,8943,9753,10636,11564,12148,12841,13090,13229,13662,13997,14400,15195,16035,17036,17588,18349,18601,18308,17597,16544,15766,15140,14608,14193,13770,13098,12441,11822,11335,11514,11968,12802,13737,14526,15064,15458,15421,15162,15187,15711,15654,15718,15985,15897,16089,16261,16011,15953,15685,15065,14036,12818,12026,11836,11841
"201","193","          Motor vehicle rental","DMVRRX0",5577,5604,5700,5876,6288,6528,6739,6920,7025,7133,7226,7301,7321,7401,7512,7661,7831,7982,8110,8205,8269,8325,8380,8432,8477,8519,8193,8472,8238,8252,8251,8232,8212,8281,8473,8784,9187,9532,9774,9897,9914,9928,9962,10009,10133,10242,10291,10275,10199,10123,10071,10032,9994,9979,9979,9992,9995,9990,9988,9987
"202","194","          Parking fees and tolls","DPFTRX0",11472,11593,11738,11907,12110,12341,12584,12840,13175,13492,13747,13931,14046,14170,14320,14491,14672,14844,15007,15154,15276,15375,15456,15514,15533,15482,15357,15155,14899,14711,14624,14635,14714,14771,14806,14798,14728,14689,14674,14680,14697,14733,14790,14865,14663,14397,14228,14147,14125,14044,13889,13656,13348,13119,12978,12925,12818,12663,12515,12369
"203","195","      Public transportation","DPUBRX0",52793,52554,52625,54166,55885,56540,57416,58279,59757,59445,59833,59683,61565,63383,64672,65896,66444,66463,68431,69538,71001,72544,73536,73744,74016,73063,69739,67086,71204,71028,72290,73167,73491,72427,74955,75801,77664,78846,78035,78066,76549,76956,77977,75645,74010,76399,75944,77382,77487,77280,77293,78271,76731,75023,74428,71721,69288,70996,72890,72209
"204","196","        Ground transportation (63)","DGRDRX0",23003,23169,22965,22801,22312,22277,22454,22420,22775,22529,22831,23012,23863,24220,24930,25433,25401,25634,25658,26019,26194,26352,26383,26507,26961,27142,26878,26894,27191,26959,26490,26215,25791,25478,25337,25286,25963,26103,26242,26619,26348,26205,26505,26560,26839,27217,27205,27293,27202,26803,26543,27015,27219,28306,28443,27316,26932,27416,27553,27214
"205","197","          Railway transportation","DIRRRX0",572,577,564,526,511,529,547,543,539,530,537,536,523,558,563,570,571,565,566,578,597,631,662,642,630,640,666,713,715,689,637,620,627,637,681,697,742,732,658,781,805,711,671,744,732,748,705,791,830,841,796,931,962,937,833,834,845,838,753,861
"206","198","          Road transportation","DROTRX0",22445,22606,22415,22297,21822,21765,21921,21893,22255,22017,22314,22497,23366,23684,24392,24889,24856,25097,25121,25468,25621,25739,25732,25881,26354,26523,26225,26182,26478,26278,25871,25614,25177,24850,24657,24587,25218,25369,25588,25839,25546,25493,25835,25815,26106,26470,26503,26501,26370,25960,25746,26080,26255,27365,27610,26480,26085,26575,26796,26351
"207","199","            Intercity buses","DIBURX0",1099,1157,1163,1174,1128,1171,1229,1300,1370,1319,1365,1433,1451,1419,1401,1423,1466,1464,1497,1553,1593,1623,1616,1636,1659,1643,1634,1561,1626,1560,1566,1553,1520,1478,1516,1487,1491,1447,1325,1346,1349,1280,1292,1302,1269,1262,1183,1146,1126,1131,1103,1103,1119,1159,1186,1066,967,890,930,785
"208","200","            Taxicabs","DTAXRX0",4253,4259,4217,4125,4047,4028,4012,3998,3943,3919,3978,4104,4284,4392,4432,4400,4306,4199,4090,3978,3869,3810,3808,3860,3957,4051,4131,4195,4235,4199,4080,3883,3645,3507,3488,3581,3761,3926,4034,4078,4065,4063,4085,4132,4237,4321,4346,4308,4221,4153,4121,4122,4143,4170,4192,4209,4224,4241,4260,4279
"209","201","            Intracity mass transit","DIMTRX0",12379,12180,11893,11676,11392,11172,11018,10646,10780,10637,10800,10723,11281,11418,12000,12412,12348,12649,12733,13162,13437,13620,13626,13675,13982,14014,13567,13456,13578,13473,13241,13348,13393,13379,13195,12999,13319,13228,13374,13510,13218,13253,13599,13588,13880,14196,14260,14259,14121,13696,13514,13871,14085,15197,15425,14392,14090,14671,14849,14546
"210","202","            Other road transportation service","DORTRX0",4648,4940,5072,5250,5188,5335,5622,5942,6170,6150,6175,6244,6348,6453,6554,6649,6730,6780,6796,6774,6720,6686,6683,6710,6761,6821,6890,6966,7036,7041,6972,6823,6619,6486,6455,6518,6645,6768,6855,6906,6915,6898,6857,6793,6725,6700,6725,6798,6906,6979,7007,6985,6913,6858,6829,6822,6813,6795,6781,6766
"211","203","        Air transportation (64)","DAITRX0",30223,29778,29884,31279,33143,33683,34262,34989,36018,35879,35982,35655,36724,38119,38753,39479,39981,39777,41500,42155,43256,44447,45246,45276,45132,44049,41081,38476,42170,42156,43772,44820,45451,44606,47189,48019,49160,50166,49161,48778,47511,48042,48738,46326,44431,46400,45928,47220,47350,47478,47696,48162,46434,43749,43033,41452,39425,40641,42433,42093
"212","204","        Water transportation (65)","DWATRX0",677,765,848,927,992,1070,1145,1222,1266,1293,1310,1348,1363,1368,1378,1393,1415,1448,1496,1560,1638,1720,1801,1882,1956,2014,2047,2057,2051,2065,2107,2177,2272,2361,2441,2509,2559,2603,2640,2668,2687,2708,2734,2763,2773,2789,2826,2883,2955,3016,3063,3092,3101,3111,3120,3129,3137,3146,3156,3166
"213","205","    Recreation services","DRCARX0",237769,243976,247685,251581,252259,254920,258825,259351,261870,263727,264792,267518,270809,271050,274425,276869,279325,283815,289996,293350,293193,295784,296280,295639,298020,294980,293392,293181,295163,295631,296420,299747,299053,303158,307649,312039,317279,320556,322197,322811,326015,326176,326516,328440,332410,334043,338117,345239,347701,349014,351563,351597,351086,352404,349607,346137,347707,346277,343609,343826
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",93928,96922,97808,99006,99016,100198,102006,100518,102037,102296,103240,104747,106178,105615,106573,105976,105126,105682,107230,106885,106210,107550,106851,106882,107213,106337,104451,104448,105956,106000,105892,107330,106399,106646,107092,108186,108278,109856,110273,109085,110121,109675,110399,112022,112404,113487,114206,114855,116149,116774,117907,117176,117410,117667,116285,116065,116146,116499,114634,115688
"215","207","        Membership clubs and participant sports centers","DMDFRX0",23171,23389,23852,23704,23789,23958,24688,26991,28232,28229,28975,29125,29096,28794,28310,28241,28443,28496,29117,28912,28698,28663,28196,28257,28160,28133,28107,27566,28297,28467,28796,28693,28503,28202,28331,28784,29049,29642,30188,29569,30246,30611,30527,30743,30663,30617,30757,30962,31373,31525,31781,31893,31949,32121,31714,30686,29761,29290,28595,28635
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",38035,39336,39498,39692,40079,40430,39844,37545,36825,37040,37250,37437,37533,37551,37457,37232,36896,36626,36475,36420,36426,36412,36368,36284,36127,35813,35025,33956,33604,33028,32701,32610,32702,32846,33054,33285,33471,33719,33985,34264,34533,34795,35055,35297,35570,35905,36303,36753,37220,37592,37870,38033,38036,38071,38136,38218,38275,38320,38379,38438
"217","209","        Admissions to specified spectator amusements","DADMRX0",28864,30364,30606,31931,31457,32231,33918,32032,33022,33031,32891,34022,35398,35075,36675,36261,35396,36244,37302,37117,36466,37807,37672,37764,38392,37757,36484,38113,38941,39185,38939,40561,39695,40131,40269,40584,40190,40862,40288,39471,39525,38388,38978,39966,40081,40796,40862,40789,41134,41140,41625,40697,40924,40918,39978,40706,41640,42369,41345,42290
"218","210","          Motion picture theaters","DMOVRX0",7332,8979,8260,8903,8716,9304,7748,8907,9720,9194,8881,8761,10008,9234,10171,9723,9191,9979,11309,10049,9775,10607,10419,10484,10708,9864,10457,10559,11161,10903,10028,10931,10051,10554,10655,10845,10297,10763,10003,9688,9685,8490,8993,9162,8998,9377,9154,8849,9020,8917,9358,8469,8878,8982,8061,8781,9759,10563,9560,10570
"219","211","          Live entertainment, excluding sports","DLIGRX0",10407,10596,10310,10700,10632,10672,10797,10503,10442,10742,10648,11577,11380,11618,12147,12195,11976,12075,11744,12698,12158,12506,12497,12536,13005,13248,12472,12626,12739,13041,13464,13962,13786,13538,13402,13375,13442,13534,13632,13726,13767,13791,13799,13788,14082,14409,14570,14558,14410,14281,14202,14156,14112,14100,14110,14133,14144,14148,14157,14168
"220","212","          Spectator sports","DSPERX0",11104,10729,12023,12305,12085,12225,15442,12609,12841,13085,13366,13682,14000,14225,14339,14330,14225,14173,14215,14344,14531,14669,14735,14723,14645,14619,13521,14903,15013,15214,15423,15637,15840,16021,16198,16351,16448,16555,16654,16053,16069,16109,16189,17015,17002,17010,17138,17381,17703,17939,18063,18062,17929,17834,17788,17788,17756,17697,17645,17594
"221","213","        Museums and libraries","DMUSRX0",3689,3764,3759,3700,3663,3586,3602,3634,3576,3616,3654,3765,3858,3918,4037,4130,4192,4169,4199,4310,4486,4608,4584,4544,4534,4606,4759,4830,5129,5340,5457,5516,5537,5530,5499,5585,5599,5663,5822,5787,5821,5881,5838,6014,6088,6172,6285,6352,6422,6519,6632,6567,6516,6577,6489,6442,6401,6416,6218,6201
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",66989,67875,68398,68985,69045,69182,68952,69221,68972,69212,69247,70044,70722,71764,73024,74278,75709,76817,78085,78837,79675,80369,80757,81402,82274,80728,81223,81075,79450,78874,78617,78794,79389,80142,81581,83342,84878,86176,86383,87505,87818,87137,87046,86931,86623,87901,89523,91898,93507,94764,94521,95297,96101,96435,96752,95820,97216,96955,96924,97478
"223","215","        Cable and satellite television and radio services","DCTVRX0",39447,40239,40803,41638,42367,42774,42760,43349,43436,43812,43665,44138,44266,44798,45606,46459,47572,48380,49420,49975,50733,51417,51861,52699,53885,52510,52561,53449,52117,51604,51244,51229,51551,51975,53029,54375,55535,56674,57019,58584,59549,59438,59813,60042,59830,61009,62405,64450,65680,66746,66536,67540,68761,69424,69944,69120,70596,70458,70532,71178
"224","216","        Photo processing","DFDVRX0",6370,6415,6453,6487,6553,6562,6556,6540,6517,6527,6538,6549,6555,6566,6586,6611,6634,6634,6608,6553,6469,6382,6296,6210,6123,6052,5998,5962,5939,5912,5881,5845,5799,5737,5667,5581,5466,5319,5132,4910,4658,4372,4059,3727,3417,3225,3136,3139,3208,3244,3223,3145,3021,2925,2866,2841,2796,2733,2673,2614
"225","217","        Photo studios","DPICRX0",7724,7772,7782,7749,7630,7549,7453,7345,7055,6825,6750,6819,6998,7143,7219,7219,7155,7103,7081,7086,7109,7129,7142,7146,7135,7091,7014,6899,6763,6665,6623,6632,6682,6727,6766,6791,6798,6848,6943,7082,7249,7347,7357,7275,7277,7354,7441,7535,7628,7695,7734,7742,7712,7695,7691,7699,7698,7691,7686,7681
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4929,4988,5001,4981,4834,4797,4751,4699,4685,4728,4818,4960,5149,5330,5489,5620,5736,5885,6081,6320,6587,6805,6942,6993,6973,6971,7009,7099,7229,7319,7370,7349,7285,7298,7412,7625,7920,8129,8213,8169,8031,7956,7948,8032,8197,8358,8515,8660,8801,8923,9038,9145,9242,9307,9337,9333,9385,9476,9572,9668
"227","219","        Video media rental","DVIDRX0",7293,7325,7314,7259,7057,7006,6972,6955,6985,7059,7143,7234,7335,7474,7660,7894,8153,8356,8475,8502,8442,8364,8292,8215,8130,8020,8477,7700,7410,7359,7450,7671,7995,8319,8628,8905,9109,9171,9051,8750,8329,8024,7872,7856,7898,7942,8005,8082,8154,8120,7963,7692,7332,7056,6884,6811,6718,6593,6472,6353
"228","220","      Gambling (91)","DGAMRX0",55567,57007,58688,60395,60580,61358,63320,64506,65659,66681,66476,66268,66803,66134,66742,68079,69280,71699,74536,76715,76300,76637,77362,76151,77535,77046,76924,77299,78513,79557,81047,82457,82220,85195,87435,88717,92277,92200,93135,93637,95179,95991,95600,95777,100002,98884,100039,103557,102528,102097,103876,104360,103293,104345,103327,101509,102066,101023,100447,98853
"229","221","        Casino gambling","DCASRX0",34334,35567,37042,38556,38670,39307,41090,42104,43336,44514,44346,44074,44474,43698,44237,45554,46793,49295,52248,54591,54380,54875,55691,54508,55863,55268,54954,55056,55937,56702,57978,59244,58932,61781,63790,64761,68003,67645,68397,68821,70381,71163,70663,70658,74109,72155,72778,76105,75181,74838,76612,77015,75847,76777,75647,73737,74226,73119,72468,70798
"230","222","        Lotteries","DLOTRX0",16563,16734,16908,17073,17155,17276,17428,17580,17489,17317,17238,17239,17294,17328,17333,17302,17226,17111,16968,16784,16572,16422,16359,16376,16465,16607,16804,17052,17336,17574,17761,17890,17962,18061,18228,18441,18646,18819,18917,18936,18886,18902,19012,19211,19901,20614,21038,21142,20977,20859,20863,20978,21149,21323,21461,21560,21647,21745,21851,21957
"231","223","        Pari-mutuel net receipts","DPARRX0",4672,4708,4741,4767,4757,4776,4803,4824,4835,4851,4893,4956,5036,5109,5173,5225,5263,5293,5320,5340,5348,5340,5313,5267,5207,5171,5166,5192,5240,5281,5309,5323,5326,5352,5417,5515,5628,5736,5821,5881,5912,5926,5925,5908,5991,6116,6223,6310,6371,6401,6401,6367,6297,6246,6219,6213,6192,6159,6128,6098
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",21589,22509,23070,23420,23848,24420,24739,25222,25311,25624,25968,26674,27365,27802,28353,28732,29353,29708,30195,30941,31033,31264,31329,31239,31002,30873,30791,30334,31245,31201,30851,31157,31027,31165,31537,31781,31845,32311,32397,32571,32891,33374,33472,33711,33376,33767,34347,34942,35528,35402,35277,34804,34348,34027,33354,32860,32448,31977,31788,31978
"233","225","        Veterinary and other services for pets","DVETRX0",12976,13395,13787,14115,14565,15033,15337,15729,16123,16328,16677,17068,17258,17389,17496,17597,17677,17762,18037,18276,18115,18113,18162,18165,18038,18051,17912,17755,18176,18107,17901,18336,18146,18130,18447,18794,18703,18898,18917,19070,19207,19466,19662,19674,19956,20302,20551,20632,21086,20957,20981,20889,20471,20572,20118,20106,20095,19799,19830,20131
"234","226","        Package tours","DHOLRX0",6736,7151,7307,7383,7436,7634,7680,7765,7446,7484,7394,7581,7897,8014,8273,8382,8753,8847,8885,9182,9196,9231,9094,8887,8684,8449,8379,7942,8296,8197,7960,7796,7823,7956,8000,7895,8039,8285,8308,8270,8382,8534,8363,8520,7835,7797,8017,8396,8382,8336,8240,8017,8234,7985,7892,7442,7112,7064,6946,6925
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2186,2272,2309,2298,2282,2252,2253,2285,2330,2393,2481,2598,2737,2880,3016,3145,3267,3401,3553,3721,3896,4052,4182,4281,4355,4438,4540,4659,4789,4896,4978,5030,5055,5071,5089,5103,5106,5130,5172,5231,5301,5374,5446,5518,5584,5668,5779,5919,6066,6122,6065,5895,5635,5438,5315,5262,5169,5040,4917,4796
"236","228","    Food services and accommodations","DFSARX0",415429,416122,416695,415890,415966,418050,418654,422444,426618,426489,431021,428039,432814,438160,439822,445973,444474,447165,448970,459520,467011,471122,472786,471265,474781,470171,467635,466969,473813,477498,478406,479198,482629,489917,499188,502517,506072,506163,508988,513780,516512,524470,527202,533049,544661,538694,538660,544388,545311,546461,548013,550819,547502,550941,547263,535902,533702,530544,527873,526953
"237","229","      Food services","DFSERX0",364133,365824,366268,364524,364142,365488,365255,368133,370563,369695,373480,370021,374775,380391,382361,388039,385519,388889,389705,399420,406203,408543,409380,408003,412858,410162,410576,411531,415599,417417,417949,418166,421823,428400,435193,438604,441449,441094,442844,447001,448569,455051,456511,461138,472336,466586,467056,472511,473404,474175,475099,476189,472556,474693,470793,463001,463841,460788,456190,456036
"238","230","        Purchased meals and beverages (102)","DPMBRX0",354347,356026,356439,354703,354309,355645,355416,358289,360717,359845,363643,360170,364912,370510,372444,378110,375558,378891,379683,389372,396123,398423,399225,397817,402630,399910,400284,401237,405292,407086,407566,407683,411229,417755,424498,427830,430642,430222,431881,435888,437266,443456,444550,448844,459568,453613,453982,459363,460209,461030,462054,463271,460016,462322,458579,450931,451890,448935,444439,444389
"239","231","          Meals and nonalcoholic beverages","DMABRX0",310347,311928,312241,311147,311514,313366,313154,315968,318897,318497,321697,318802,322561,326755,327969,332590,329958,332513,333461,341381,346451,348140,349177,347969,351985,349345,348309,348099,351240,352752,353344,353550,356998,362136,368018,371634,373992,374394,375940,379649,381052,386603,387411,391054,400563,395063,395665,399768,400712,402094,403108,403788,400699,402107,398110,391534,391880,389636,386149,386153
"240","232","            Meals at schools","DMSLRX0",14920,14901,15045,15317,15552,15666,15943,16230,16466,16658,16808,16906,16957,17041,17182,17372,17594,17802,17995,18160,18292,18413,18530,18638,18725,18786,18821,18827,18809,18807,18842,18907,18984,19039,19088,19107,19065,19056,19063,19083,19111,19192,19341,19549,19523,19446,19480,19621,19841,20039,20206,20331,20385,20448,20512,20571,20626,20683,20748,20814
"241","233","              Elementary and secondary school lunches","DESLRX0",5654,5692,5741,5814,5881,5935,6007,6079,6169,6249,6311,6351,6370,6394,6431,6479,6532,6586,6642,6697,6747,6794,6839,6881,6914,6929,6925,6899,6857,6819,6795,6782,6775,6771,6777,6786,6783,6793,6807,6824,6838,6850,6860,6865,6846,6823,6812,6810,6812,6809,6803,6792,6766,6754,6752,6760,6761,6756,6753,6750
"242","234","              Higher education school lunches","DHSLRX0",9266,9209,9304,9504,9671,9731,9936,10152,10298,10409,10496,10555,10587,10647,10750,10893,11062,11216,11353,11463,11545,11619,11690,11756,11811,11857,11897,11928,11952,11988,12047,12126,12209,12268,12310,12321,12282,12263,12256,12259,12272,12342,12481,12684,12677,12623,12668,12811,13029,13230,13402,13539,13619,13694,13760,13811,13865,13928,13995,14064
"243","235","            Other purchased meals","DOPMRX0",295474,297077,297242,295865,295990,297729,297231,299753,302444,301845,304896,301895,305608,309722,310793,315226,312363,314707,315460,323220,328160,329727,330646,329329,333257,330558,329488,329274,332430,333942,334500,334639,338010,343093,348927,352525,354926,355337,356876,360566,361941,367411,368070,371505,381040,375617,376185,380149,380871,382054,382902,383456,380314,381658,377598,370963,371254,368952,365400,365338
"244","236","              Meals at limited service eating places","DMLSRX0",157355,156551,156477,156720,156721,156453,154205,153557,152551,153785,153313,151533,154919,158083,159400,160947,159125,159085,159328,163646,165347,167003,167251,166457,169805,167362,166647,167504,168483,169834,171210,169524,172640,175861,178004,182218,183053,184276,184801,186278,187647,190867,190688,191797,198641,194912,194955,195255,195595,197666,199143,197546,195060,194134,191389,189083,188504,188078,185190,184311
"245","237","              Meals at other eating places","DMOERX0",136356,138730,138922,137304,137474,139511,141269,144442,148196,146360,149841,148647,148910,149811,149501,152351,151279,153606,154136,157469,160580,160465,161151,160670,161228,160963,160473,159299,161474,161595,160789,162613,162817,164615,168274,167684,169239,168466,169497,171700,171706,173915,174715,177001,179597,177876,178427,182057,182432,181537,180871,183023,182366,184539,183142,178872,179721,177850,177305,178120
"246","238","              Meals at drinking places","DMDPRX0",1774,1801,1847,1850,1803,1768,1752,1742,1675,1685,1718,1691,1760,1815,1886,1917,1946,1989,1968,2080,2201,2233,2217,2174,2210,2207,2340,2452,2451,2495,2490,2480,2540,2608,2633,2625,2633,2597,2578,2587,2587,2629,2666,2708,2803,2831,2805,2832,2838,2850,2889,2888,2892,2992,3079,3007,3041,3022,2923,2943
"247","239","          Alcohol in purchased meals","DAPMRX0",43979,44070,44174,43507,42704,42152,42135,42179,41638,41150,41754,41171,42170,43603,44344,45401,45497,46287,46120,47906,49613,50235,49990,49791,50596,50524,51963,53145,54063,54346,54229,54140,54235,55628,56488,56200,56654,55828,55941,56238,56214,56852,57139,57790,59006,58549,58320,59589,59493,58943,58955,59485,59315,60202,60442,59371,59980,59272,58267,58214
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",9768,9781,9811,9802,9813,9823,9820,9827,9831,9834,9826,9836,9851,9873,9909,9925,9955,9994,10017,10047,10082,10122,10156,10187,10228,10253,10294,10296,10308,10331,10384,10484,10594,10646,10696,10775,10808,10873,10964,11114,11304,11595,11962,12294,12768,12973,13073,13147,13193,13144,13044,12917,12538,12368,12210,12067,11949,11849,11749,11644
"249","241","          Food supplied to civilians","DCFDRX0",9055,9074,9111,9111,9135,9156,9164,9182,9194,9204,9203,9221,9239,9268,9304,9323,9353,9387,9403,9429,9451,9476,9499,9513,9552,9573,9598,9569,9553,9544,9564,9634,9684,9701,9735,9805,9864,9925,9964,10012,10072,10136,10189,10213,10274,10339,10382,10449,10525,10575,10618,10671,10702,10713,10724,10711,10668,10623,10577,10536
"250","242","          Food supplied to military","DMFDRX0",713,707,700,691,679,667,657,645,637,630,623,615,612,605,605,602,602,607,614,619,631,646,657,674,676,680,696,727,755,787,820,850,909,945,961,971,945,949,1000,1102,1232,1458,1772,2081,2495,2635,2691,2699,2669,2570,2427,2245,1834,1653,1483,1354,1278,1224,1169,1105
"251","243","      Accommodations (104)","DACCRX0",51092,50017,50149,51147,51635,52399,53265,54191,55979,56739,57487,57981,57985,57697,57382,57854,58883,58198,59190,60029,60741,62496,63315,63175,61871,59972,57025,55368,58160,60038,60411,60999,60759,61466,63990,63895,64608,65059,66139,66776,67940,69417,70692,71914,72330,72103,71603,71881,71914,72293,72916,74606,74921,76226,76458,72852,69671,69592,71727,70902
"252","244","        Hotels and motels","DHOTRX0",39373,38312,38402,39299,39632,40299,41113,41998,43723,44447,45163,45644,45667,45399,45087,45515,46472,45779,46695,47465,48115,49749,50457,50220,48849,46915,43979,42303,44977,46744,47004,47442,47044,47592,49945,49717,50333,50666,51615,52117,53149,54493,55640,56741,57036,56699,56101,56302,56275,56581,57100,58663,58856,60050,60184,56444,53083,52886,54993,53996
"253","245","        Housing at schools","DSCHRX0",11832,11866,11913,11988,12154,12234,12254,12256,12244,12250,12251,12242,12218,12208,12221,12251,12291,12332,12377,12421,12461,12525,12624,12752,12898,13022,13119,13184,13228,13295,13405,13555,13729,13890,14049,14188,14283,14401,14528,14662,14793,14922,15052,15175,15296,15405,15501,15577,15635,15708,15814,15947,16072,16193,16292,16363,16445,16544,16649,16755
"254","246","    Financial services and insurance","DIFSRX0",482049,487645,492351,495642,503882,508631,506550,511976,517152,518274,531323,534155,540330,553031,564536,576640,582862,597946,610437,631246,662395,664188,666501,668440,659133,658860,656552,668383,662323,657894,659368,653750,647872,653188,660848,669271,683138,686708,690639,706619,703197,710751,717195,719335,726034,731311,735629,748770,762812,776652,779102,770539,766144,763773,758485,750642,751415,756123,761760,765512
"255","247","      Financial services","DFNLRX0",243141,248593,255406,260175,270303,277854,278599,285056,287593,288562,299788,299770,303951,313954,324780,335747,341507,354674,364393,381472,404543,404239,405496,405629,398306,397789,394909,406970,404792,399842,399053,393488,387534,390551,394683,399901,410612,411002,411501,425179,420792,426414,430906,430722,435726,443330,449782,463384,476486,488953,491833,483001,478799,477388,473587,465600,465234,469681,475805,479400
"256","248","        Financial services furnished without payment (107)","DIMPRX0",176781,177926,180426,184455,188635,195083,196604,199812,200047,199297,200557,199369,201492,198898,200430,206110,205171,208677,211152,215047,218266,219271,216848,213014,211517,215149,220495,226305,223165,215553,211058,206532,202332,199727,201138,206039,211456,218477,220022,221814,219906,218321,220398,221538,218219,218949,222198,229674,237692,242643,244056,241479,245176,248039,246801,245240,245594,249284,253795,257650
"257","249","          Commercial banks","DIMCRX0",75592,74245,75164,76555,79328,81233,81312,82588,81941,79668,78529,77451,77989,74593,74695,78420,76427,77294,76813,75876,75697,73031,67136,63721,65206,70624,75243,81142,81824,78696,76510,73828,70495,68112,67576,68690,70482,74066,73740,73509,70409,68164,68874,70380,69253,68581,68010,69462,68972,69374,71022,73941,78348,82458,83596,85329,86205,86976,85786,85587
"258","250","          Other depository institutions and regulated investment companies","DIMNRX0",74443,75105,75753,77120,77906,81659,82328,83119,82346,82737,84541,84627,86859,88225,90094,92390,93546,96009,98440,102326,104725,107702,110894,111021,109317,108796,110627,111627,108729,104945,103096,101506,100726,100469,102214,105682,109007,112176,113894,115872,117161,117983,119534,119434,116191,116159,118964,124554,133157,137628,136919,130572,128877,126579,123494,119618,118641,121124,126582,130246
"259","251","          Pension funds","DPENRX0",27971,30061,31127,32545,33318,34006,34827,36123,38065,39266,39758,39483,38556,37693,37044,36590,36332,36386,36790,37535,38477,38994,38921,38234,37036,35805,34663,33599,32628,31887,31412,31190,31174,31260,31463,31743,32010,32248,32386,32413,32321,32171,31984,31747,32779,34175,35146,35609,35646,35798,36204,36848,37623,38307,38801,39103,39472,39941,40430,40926
"260","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",74880,78562,82381,83463,88822,90484,90021,93064,95001,96345,104870,105716,107664,118530,127014,132184,138202,147316,154231,166905,185958,184740,188417,192362,186591,182452,174283,180505,181416,184090,187884,186885,185165,190952,193679,193925,199190,192501,191419,203339,200823,208100,210517,209231,217439,224276,227488,233626,238748,246216,247683,241433,233593,229341,226786,220330,219595,220311,221884,221571
"261","253","          Financial service charges and fees","DFEERX0",42240,42714,43497,42925,43164,43728,44006,44174,43084,42842,43894,45518,45703,47376,49149,51476,50917,52526,55747,57513,58246,58363,60411,64182,63675,65875,64384,66508,67854,70097,72780,74648,76973,77846,80352,81109,81091,80549,81038,81888,81732,87784,89177,89783,90557,91460,94014,93288,95168,96327,96860,95865,92429,89512,89152,86514,90949,90599,91424,91954
"262","254","          Securities commissions","DEQTRX0",11912,13398,14472,15112,17434,17667,16739,18040,18840,19054,22569,21876,21807,25962,29161,29861,33302,36591,37627,44687,55861,53651,53543,54447,50959,47219,43583,47199,46252,46674,46844,42004,35663,42884,42899,40509,45793,38298,34905,43033,38558,38089,38993,38556,40844,42014,38772,40597,42231,44700,47371,45076,44575,42630,44271,39608,35439,39318,41196,41163
"263","255","            Direct commissions","DDCTRX0",5193,6038,6811,7246,7953,8232,7868,8679,8968,8753,10608,10249,10300,13266,15465,16538,19101,21508,22990,28020,34842,34507,35728,36220,33265,30738,29065,31288,31535,31757,31440,27386,22520,28001,26791,24945,28987,22201,18987,25737,21007,20514,21035,19750,20964,20834,18384,18481,18556,19346,19327,19218,18985,18851,20438,19750,17523,19473,19943,20366
"264","256","              Exchange-listed equities","DDCERX0",NA,NA,NA,NA,NA,NA,NA,NA,4632,5138,5557,5574,5874,6886,8230,8519,9722,11563,10750,13324,15515,15512,16951,17659,16830,16349,16466,17757,16888,17097,16874,14090,10579,13617,12001,10593,11701,9129,6969,10029,7611,7202,6842,6711,6781,7417,5956,5568,5878,6084,7043,6581,6293,5227,6093,6245,4847,5256,4397,4301
"265","257","              Other direct commissions","DDCORX0",NA,NA,NA,NA,NA,NA,NA,NA,4332,3790,5055,4727,4532,6408,7286,8048,9402,10056,12159,14633,19188,18883,18714,18527,16403,14341,12540,13450,14614,14599,14511,13298,11976,14443,14845,14390,17311,13096,12017,15721,13395,13310,14195,13038,14191,13398,12439,12945,12688,13271,12286,12634,12691,13621,14342,13514,12656,14193,15511,16028
"266","258","            Indirect commissions","DICTRX0",3555,3635,3557,3605,4774,4446,4100,4154,4560,4914,5545,5137,4988,5111,5588,5170,5619,5954,5662,6454,8155,7692,6990,7621,7374,6606,5522,5771,5113,5205,5470,5181,4546,5065,5460,5306,5656,5940,5765,6178,6367,6800,7011,8167,8306,9446,9273,10025,10747,11292,13102,10766,11056,9814,9883,7447,7224,8366,8906,9100
