"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"203","195","Q1ERE1 D         Electrical repair","Q1ERE10",2913,2891,3024,2971,2963,3037,3167,3102,3098,3106,3042,3010,3018,3039,3043,3087,3132,3190,3257,3373,3577,3598,3580,3495,3369,3413,3482,3526,3612,3651,3655,3652,3685,3727,3740,3676,3741,3775,3754,3754,3746,3644,3578,3594,3412,3407,3444,3596,3432,3334,3391,3358,3285,3190,3095,3004,2882
"204","196","Q1FRE1 D         Reupholstery and furniture repair","Q1FRE10",2639,2689,2712,2703,2673,2642,2604,2562,2473,2433,2391,2350,2281,2262,2251,2249,2250,2273,2309,2355,2389,2387,2379,2364,2355,2353,2351,2350,2331,2362,2415,2491,2632,2681,2722,2754,2768,2776,2783,2789,2812,2797,2764,2715,2609,2564,2540,2537,2570,2579,2587,2592,2600,2613,2626,2638,2650
"205","197","Q1PST1 D         Postage","Q1PST10",9711,9693,9692,9602,9003,8730,8632,8539,8589,8465,8528,8732,8786,8823,8826,8982,9198,9266,9370,9531,9102,9097,9095,9246,9409,9439,9480,9483,9438,9473,9610,9898,10008,10006,10030,10386,10255,10350,10344,10496,10748,10782,10763,10983,10740,10808,10809,10614,10783,10982,10267,10339,10374,10457,10376,10255,10157
"206","198","Q1MHO1 D         Household operation services, n.e.c.","Q1MHO10",9805,10099,10327,10265,9820,9657,9736,9811,10199,10502,10724,10722,10809,11034,11288,11599,12061,12474,12896,13121,13181,13286,13510,13455,13337,13537,13701,13685,13654,13758,13953,14236,14750,14975,15206,15436,15743,15918,16066,16179,16224,16250,16268,16274,16295,16250,16164,16037,15818,15652,15492,15345,15197,15038,14885,14724,14565
"207","199","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292361,292224,288621,285059,287680,286544,283553,281299,281634,278771,277239,275075,274731
"208","200","Q1UOS1 C     User-operated transportation","Q1UOS10",152218,153668,152545,149816,145428,143179,142037,142678,146718,150016,152971,155901,156077,157821,160139,162902,166716,169991,173268,176166,178741,181275,185379,188103,191333,194082,196894,200537,205906,208516,211531,212967,213426,215784,217043,217720,221632,224140,227028,228378,230490,231565,231824,232528,232579,232556,231915,230618,228649,227380,224848,223044,222808,220487,218611,216960,214558
"209","201","Q1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","Q1REP10",109559,110836,109777,107293,103555,101601,100546,101056,104492,107487,110203,112959,113264,114974,117187,119752,123233,126286,129349,132022,134435,136824,140766,143364,146465,149019,151641,155041,160027,162367,165150,166381,166838,168882,169714,170523,173995,176294,179041,180305,182521,183540,183687,184228,183973,183740,182907,181444,179375,177984,175345,173446,173108,170662,168640,166875,164354
"210","202","Q1ARP1 D         Motor vehicle repair","Q1ARP10",95640,95835,94437,91920,87189,84819,83304,82659,84634,85811,86875,87580,88281,89043,90161,91582,93720,95417,96994,98458,99929,100994,102274,103690,105017,105846,106697,107552,108145,108743,109471,110258,111631,112511,113575,114713,115488,116045,116667,117388,118399,119043,119665,120227,120982,121147,120953,120383,118985,117970,116943,115971,115606,115478,114784,113722,112673
"211","203","Q1RLO1 D         Motor vehicle rental, leasing, and other","Q1RLO10",15775,16769,17039,16993,17777,18093,18471,19534,20966,22740,24341,26302,25950,26871,27944,29070,30395,31723,33169,34349,35278,36550,39084,40235,41942,43597,45300,47746,51981,53675,55683,56127,55261,56409,56191,55876,58530,60255,62369,62911,64122,64497,64021,64000,62990,62591,61949,61050,60380,60008,58370,57430,57467,55041,53665,52953,51427
"212","204","Q1MVR1 D           Motor vehicle rental","Q1MVR10",4304,4320,4359,4416,4537,4582,4597,4580,4450,4414,4401,4430,4707,4888,5095,5319,5589,5716,5792,5810,5625,5652,5749,5927,6342,6584,6797,6979,7050,7182,7301,7398,7386,7550,7644,7645,7618,7663,7699,7708,7995,8144,8289,8424,8549,8652,8738,8810,8822,8900,9007,9147,9279,9380,9486,9587,9689
"213","205","Q1MVL1 D           Motor vehicle leasing","Q1MVL10",4434,5456,5715,5583,6034,6102,6197,6915,7952,9390,10760,12558,12102,12894,13791,14688,15637,16778,18020,19045,20005,21096,23293,24127,25325,26537,27775,29684,32989,34143,35627,35665,34707,35534,35056,34548,36798,38308,40225,40624,41544,41715,41032,40817,39581,39079,38404,37541,37101,36817,35201,34250,34310,31901,30545,29881,28362
"214","206","Q1ALE1 D             Auto leasing","Q1ALE10",3832,4613,4691,4461,4788,4730,4780,5510,6447,7854,9164,10806,10122,10602,11123,11476,11863,12487,13045,13420,13926,14482,15974,16376,16522,16994,17353,18406,20841,21315,22129,21886,20722,20757,20435,20002,20891,21546,22233,22238,22139,22217,21999,22369,22585,22704,22276,21976,21444,21258,20540,19840,20028,18805,18095,17578,16546
"215","207","Q1TLE1 D             Truck leasing","Q1TLE10",559,799,990,1098,1221,1354,1399,1374,1463,1471,1512,1646,1897,2214,2595,3149,3720,4242,4933,5592,6049,6587,7290,7723,8788,9535,10422,11281,12145,12825,13496,13777,13985,14777,14622,14547,15908,16761,17992,18386,19405,19499,19033,18448,16996,16375,16128,15566,15658,15559,14661,14411,14282,13096,12451,12303,11816
"216","208","Q1OAS1 D           Other motor vehicle services","Q1OAS10",8317,8170,8115,8168,8383,8620,8928,9276,9762,10024,10172,10204,10063,9963,9877,9834,9914,9915,9972,10047,10129,10220,10321,10435,10488,10652,10869,11145,11909,12319,12708,13052,13192,13344,13527,13732,14135,14291,14439,14575,14582,14638,14699,14761,14868,14876,14838,14745,14512,14350,14200,14065,13925,13768,13617,13459,13303
"217","209","Q1ATN1 C       Other user-operated transportation (76+77)","Q1ATN10",43205,43315,43320,43226,42732,42518,42483,42592,43066,43250,43387,43452,43313,43299,43356,43513,43792,43969,44136,44326,44464,44581,44699,44802,44910,45093,45270,45502,45869,46129,46346,46551,46553,46868,47298,47164,47608,47825,47977,48068,47971,48029,48136,48297,48607,48819,49014,49185,49290,49415,49527,49627,49726,49838,49966,50063,50160
"218","210","Q1TOL1 C         Bridge, tunnel, ferry, and road tolls","Q1TOL10",3329,3289,3273,3286,3313,3349,3436,3552,3736,3833,3917,3967,4000,4025,4052,4084,4136,4175,4214,4250,4311,4364,4432,4511,4649,4755,4845,4918,4995,5015,5015,4996,4746,4685,4658,4668,4894,4976,5039,5079,5070,5072,5076,5083,5097,5107,5117,5126,5133,5144,5155,5168,5181,5192,5206,5216,5226
"219","211","Q1AIN1 C         Insurance","Q1AIN10",39820,39990,40026,39923,39395,39145,39017,39005,39292,39383,39441,39459,39291,39257,39290,39419,39648,39788,39916,40070,40147,40211,40261,40288,40263,40343,40432,40595,40887,41124,41338,41559,41803,42175,42630,42488,42710,42847,42939,42989,42901,42957,43060,43215,43510,43713,43899,44060,44159,44273,44373,44461,44548,44648,44762,44848,44936
"220","212","Q1PLT1 C     Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12293,12369,12361,12276,12212,12226,12255,12308,12202,12169,12232,12218,12208
"221","213","Q1IMT1 C       Mass transit systems (79)","Q1IMT10",7329,7186,7376,8007,7548,7581,7633,7554,7660,7688,7490,7448,7353,7498,7701,7929,7867,8116,8011,8064,7969,7915,7798,7778,7766,7770,7795,7635,7695,7729,7829,7803,8123,8073,8376,8591,8603,8713,8708,8888,9016,9108,9099,9126,9166,9239,9225,9133,9060,9063,9080,9121,9002,8957,9007,8981,8960
"222","214","Q1TAX1 C       Taxicab (80)","Q1TAX10",3411,3463,3462,3413,3312,3263,3199,3146,3090,3070,3085,3123,3144,3150,3157,3167,3165,3189,3225,3271,3403,3408,3374,3301,3238,3224,3210,3199,3147,3156,3194,3261,3492,3539,3551,3529,3436,3395,3344,3285,3170,3145,3126,3116,3126,3130,3135,3143,3151,3162,3174,3187,3200,3212,3225,3236,3247
"223","215","Q1PIT1 C     Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,47600,47405,44191,41742,47057,47186,46662,46114,46940,46415,46797,46264,48754
"224","216","Q1IRR1 C       Railway (82)","Q1IRR10",798,810,796,833,877,816,788,729,652,596,583,596,588,580,566,546,556,512,488,496,488,494,485,448,430,447,464,461,469,456,458,458,453,470,471,478,484,470,466,476,492,514,541,524,516,512,531,572,559,533,507,509,514,513,557,584,595
"225","217","Q1IBU1 C       Bus (83)","Q1IBU10",1487,1291,1612,1723,1702,1780,1707,1672,1752,1721,1755,1688,1838,1881,1822,1946,1869,1887,2052,2031,2046,2143,2130,2117,1987,2094,2202,2346,2514,2423,2487,2613,2582,2452,2314,2254,2233,2244,2354,2542,2445,2416,2325,2318,2353,2313,2290,2208,2285,2178,2164,2143,2044,2000,2048,2056,1997
"226","218","Q1IAI1 C       Airline (84)","Q1IAI10",25430,24802,24578,24413,23503,24072,23864,24088,23250,22724,24974,22836,23066,23533,23902,24408,25059,25633,26350,27483,27200,26753,26802,28004,29621,30048,30502,31082,31925,31747,31800,31493,32495,33503,33429,33802,34550,34579,35256,35249,36152,37181,36947,36619,37508,37458,34184,31650,36931,37143,36569,35962,36885,36303,36496,35818,38384
"227","219","Q1TRO1 C       Other (85)","Q1TRO10",5242,5308,5299,5384,5309,5387,5434,5501,5863,6165,6420,6466,6231,6190,6251,6378,6649,6938,7049,7146,7009,7196,7447,7759,7872,7958,7946,7872,7825,7890,7883,7792,7862,7963,8072,8159,8324,8332,8303,8215,8099,7902,7706,7521,7281,7196,7179,7215,7347,7413,7470,7515,7573,7647,7724,7796,7870
"228","220","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1051087,1062474,1077640,1092457,1110375,1125346,1137750,1154774,1169335,1182447,1196884,1211444,1224218
"229","221","Q1PHY1 C     Physicians (47)","Q1PHY10",192222,194067,195746,196921,197327,197431,198150,199293,202895,204911,205216,204210,201791,199245,196881,195489,196142,196314,196617,196938,199105,199760,200477,201160,204047,204706,205255,205673,208733,209791,211077,212615,216898,218168,219371,220500,221065,223104,225613,228530,231272,234733,238775,242565,243485,247360,252142,255650,262337,266336,270069,274283,279133,284682,290430,296109,301905
"230","222","Q1DEN1 C     Dentists (48)","Q1DEN10",53597,53650,53511,53221,52449,52235,52283,52526,53527,54139,54556,54740,54206,54168,54206,54370,54753,55073,55447,55835,56712,56860,56718,56466,56609,56972,57219,57467,57783,58033,58239,58400,58804,59130,59402,59606,59627,59850,60133,60495,61110,61537,62046,62616,63235,63857,64520,65194,65845,66475,67102,67701,68286,68900,69541,70144,70753
"231","223","Q1OPS1 C     Other professional services (49)","Q1OPS10",86862,92592,98017,101915,101606,102639,105361,107079,111398,114566,117164,119325,122084,124430,127370,129569,130509,131931,133012,135356,138875,141157,143679,145339,145888,147827,149496,151084,148158,150142,152170,154020,155851,155511,155505,155180,155347,156520,158097,158871,159443,161176,161865,163825,166373,168486,171205,173981,176735,179433,181688,185610,188182,190478,191643,194964,198213
"232","224","Q1HHC1 D       Home health care","Q1HHC10",21440,23400,25258,26659,26990,27295,28005,28417,30621,32093,33169,34279,35424,36749,38313,39731,40191,41543,42595,43603,45470,46582,48150,48934,49304,49841,50344,50597,49317,48930,49114,49425,49922,48676,47769,47056,46667,46892,47190,46988,45723,46223,45474,45567,46521,46851,47733,48227,49027,49760,50083,52234,53234,54384,54641,56110,57160
"233","225","Q1MLB1 D       Medical laboratories","Q1MLB10",7967,8177,8334,8461,8673,8854,9169,9285,9508,9725,9889,9774,9724,9750,9782,9795,9890,9955,10081,10153,10043,9859,9633,9787,9904,10303,10641,10731,11072,11504,11910,12145,12707,13064,13372,13595,13783,14056,14545,14947,15764,16157,16605,17093,17667,18144,18579,18960,19184,19496,19819,20156,20308,20360,20418,20463,20509
"234","226","Q1EEX1 D       Eye examinations","Q1EEX10",2505,2606,2712,2816,2883,2979,3122,3232,3191,3229,3275,3324,3484,3567,3658,3729,3840,3955,3972,4037,4038,4109,4144,4190,4257,4391,4479,4595,4631,4696,4720,4800,4830,4786,4860,4889,5014,5022,5143,5230,5334,5370,5397,5413,5384,5397,5427,5474,5556,5624,5698,5772,5806,5821,5838,5850,5864
"235","227","Q1OMD1 D       All other professional medical services","Q1OMD10",54798,58276,61599,63877,62956,63401,64944,66020,67988,69446,70768,71910,73428,74361,75638,76361,76634,76545,76447,77657,79458,80775,81977,82655,82649,83493,84215,85337,83269,85119,86519,87735,88462,89039,89547,89673,89910,90571,91236,91716,92625,93429,94388,95746,96799,98088,99463,101314,102958,104543,106076,107453,108843,109934,110761,112565,114701
"236","228","Q1PHO1 C     Hospitals and nursing homes (50)","Q1PHO10",381223,385831,389253,389292,392337,396299,400744,408205,410135,413441,416361,417866,420993,420583,422644,423194,423865,425747,427562,428942,430872,432880,434921,437846,435515,440828,441687,448376,449105,452237,456382,456715,462096,461348,462849,463954,465812,467231,470421,474214,476849,481004,484691,487848,492722,496829,502905,509656,516528,523048,527561,534505,539983,544505,550720,555175,557617
"237","229","Q1HSP1 C       Hospitals","Q1HSP10",314656,317076,319131,318335,321954,326092,330029,336959,337196,340131,342835,343734,346589,345671,347088,347187,348260,349639,350609,351298,351698,352581,353571,355377,352775,357459,357499,363530,362794,364595,367882,367652,374012,373486,375537,376653,379188,381025,384047,387876,390509,394149,398121,401217,406017,409890,416004,422205,429048,435974,440473,447050,452008,455592,461013,465523,468022
"238","230","Q1NPH1 C         Nonprofit","Q1NPH10",211102,214001,216596,216942,219601,222260,225286,230383,231745,234571,236767,238071,239847,238744,239459,238827,238556,238778,238769,238355,237248,237297,237440,238557,236801,239473,239337,243060,242832,244514,246713,246399,250751,250250,252036,253724,256445,258034,260278,262874,264361,266169,268468,269491,271677,273379,276791,280342,284304,288820,291603,296088,299384,301986,305597,308629,309930
"239","231","Q1FPH1 C         Proprietary","Q1FPH10",39284,39083,38838,38355,38102,38487,38589,39023,38128,37907,37580,36841,36351,36061,35955,35883,36031,36249,36529,36983,37558,38008,38610,39329,39872,41038,41445,42424,42801,42835,43069,42823,42780,42327,42014,41479,41732,41736,41957,42353,42275,42970,43330,44001,45268,46250,47734,49249,51373,53131,54156,55632,56679,57011,58140,58988,59550
"240","232","Q1GVH1 C         Government","Q1GVH10",64806,64405,64020,63308,64528,65639,66443,67835,67581,67909,68751,69102,70678,71139,71942,72720,73876,74785,75457,76069,76935,77292,77510,77476,76089,76911,76673,77985,77112,77218,78072,78399,80453,80878,81461,81441,81013,81260,81820,82653,83875,85008,86321,87724,89080,90281,91508,92652,93417,94070,94763,95383,95996,96646,97331,97959,98593
"241","233","Q1NRS1 C       Nursing homes","Q1NRS10",66110,68374,69783,70674,70029,69792,70271,70733,72535,72879,73062,73697,73938,74511,75179,75668,75214,75733,76628,77361,79014,80205,81308,82467,82783,83386,84244,84873,86410,87774,88638,89213,88168,87945,87368,87349,86655,86227,86383,86343,86339,86858,86570,86629,86713,86951,86933,87488,87540,87162,87190,87567,88092,89026,89824,89771,89717
"242","234","Q1NPN1 D         Non-profit nursing homes","Q1NPN10",21134,21802,22152,22290,21591,21458,21709,22093,23248,23456,23516,23705,23861,24062,24308,24518,24555,24768,25054,25228,25687,26064,26366,26818,26910,27341,27820,28394,29461,30363,30956,31326,30613,30638,30697,31020,31290,31428,31591,31702,31751,31821,31943,32242,32471,32982,33369,33830,33684,33514,33370,33367,33937,34658,35105,35575,35780
"243","235","Q1FPN1 D         Proprietary and government nursing homes","Q1FPN10",45145,46755,47829,48604,48716,48618,48836,48885,49467,49591,49713,50163,50239,50610,51030,51303,50790,51090,51703,52270,53478,54294,55103,55803,56026,56180,56545,56579,57021,57461,57721,57921,57601,57348,56704,56352,55376,54802,54793,54640,54588,55036,54626,54388,54243,53973,53575,53677,53870,53662,53832,54209,54169,54391,54744,54236,53986
"244","236","Q1HIN1 C     Health insurance (56)","Q1HIN10",69421,69916,70339,70653,70681,71265,72061,73019,74688,75814,76763,77403,77757,78207,78148,78031,78458,77496,76603,75809,75229,74109,73180,72323,71749,70781,70104,69598,69090,69080,69617,70646,72893,74209,75379,76352,76188,77023,78224,79702,82059,83526,84706,85610,85269,85956,86900,88011,89033,90185,91518,92912,94094,94384,95147,95843,96817
"245","237","Q1MIN1 C       Medical care and hospitalization","Q1MIN10",52266,52568,52976,53402,53611,54119,54714,55396,56488,57231,57843,58246,58494,58946,58969,59000,59580,58908,58369,57927,57749,57061,56535,56047,55881,55278,54840,54552,54093,54138,54790,55922,58297,59646,60801,61711,61441,62191,63270,64598,66744,68050,69081,69845,69474,69998,70710,71529,72142,72980,74004,75115,76039,76089,76589,77028,77732
"246","238","Q1IIN1 C       Income loss","Q1IIN10",734,733,722,704,676,669,674,690,723,764,815,872,964,1007,1029,1029,974,953,938,934,959,967,978,993,995,1017,1054,1098,1167,1228,1282,1334,1383,1431,1474,1513,1548,1577,1606,1634,1661,1688,1711,1736,1756,1777,1810,1849,1878,1898,1925,1952,1982,2012,2043,2074,2105
"247","239","Q1PWC1 C       Workers' compensation","Q1PWC10",17119,17365,17470,17462,17414,17543,17764,18019,18559,18811,18965,18990,18772,18625,18466,18281,18206,17930,17552,17140,16581,16072,15604,15183,14751,14350,14068,13805,13682,13568,13415,13281,13150,13094,13084,13118,13182,13242,13340,13465,13654,13788,13914,14028,14038,14180,14381,14638,15034,15337,15627,15890,16124,16375,16635,16889,17147
"248","240","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,273255,272675,274060,277727,282392,284042,285289,287537,287526,290059,291905,294818,299150
"249","241","Q1SSA1 C     Admissions to specified spectator amusements (96)","Q1SSA10",20928,21911,21850,22012,21858,21149,21336,22242,22305,22458,21439,22929,23627,24187,26074,24304,24774,25408,25958,24808,24905,26115,26257,27363,26944,27558,28993,27569,28588,28906,28424,28943,29487,28998,29970,29628,29385,30086,30818,30480,29922,30670,30409,30599,31421,31190,30394,32084,32488,32615,31785,32972,32277,33100,33535,34217,34082
"250","242","Q1MOV1 C       Motion picture theaters","Q1MOV10",6625,7380,7508,7973,8180,6761,6498,7072,6970,7217,5675,6742,6320,6642,7977,6008,6616,6151,7464,7113,6117,7491,6891,7428,7272,7762,6465,7431,8047,7761,7368,7322,8420,7851,8386,7973,7837,8386,9362,8166,8167,8760,8603,8816,8908,8200,8664,8919,9279,9170,8387,9123,8235,8449,8435,8794,8112
"251","243","Q1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","Q1LEG10",7521,7767,7521,7097,6716,7341,7671,7858,7985,7839,8234,8460,9209,9247,9624,9647,9419,9757,9969,9823,9978,10119,9825,10171,10083,10097,10258,10131,10257,10622,10416,11026,10394,10260,10531,10533,10426,10550,10224,10946,10302,10446,10324,10276,10753,11180,10786,11147,11252,11334,11113,11427,11498,12007,12348,12569,13015
"252","244","Q1SPE1 C       Spectator sports","Q1SPE10",6793,6780,6836,6956,6975,7056,7176,7323,7359,7412,7534,7735,8105,8306,8485,8654,8743,9500,8536,7886,8814,8517,9544,9767,9593,9704,12258,10009,10289,10526,10640,10597,10676,10887,11055,11123,11120,11152,11235,11370,11457,11464,11481,11506,11758,11806,10959,12019,11966,12116,12270,12419,12530,12634,12742,12843,12945
"253","245","Q1RXA1 C     Other (94+100+101+102+103)","Q1RXA10",146636,148651,149840,150968,148601,149436,150282,151926,157999,160085,163320,165501,167884,169680,172135,174131,175746,178077,180938,183802,188072,192028,194770,197346,198395,200060,201820,203419,205805,207132,206996,208064,212122,213752,216490,219539,222429,225888,229838,232398,234310,236970,239698,240481,241827,241482,243677,245630,249895,251417,253523,254553,255257,256953,258354,260573,265069
"254","246","Q1RTV1 C       Radio and television repair","Q1RTV10",4064,4084,4029,3922,3741,3653,3566,3506,3419,3599,3516,3408,3543,3592,3615,3620,3552,3554,3582,3637,3697,3798,3864,3915,3849,3849,3838,3828,3904,3930,3943,3947,3972,4016,4068,4130,4073,4109,4155,4225,4204,4191,4165,4130,4073,4030,3987,3956,3958,3941,3924,3900,3908,3934,3959,3984,4016
"255","247","Q1CLU1 C       Clubs and fraternal organizations","Q1CLU10",17251,17608,18173,18529,18844,19534,19816,20124,20616,20676,20816,21150,21434,21033,20834,20444,20532,20415,20439,20547,20277,20057,19913,19642,19401,19380,18970,18612,18083,17847,17694,17647,17901,17993,18198,18404,18212,18369,18838,18884,19001,18934,19000,19168,18980,19059,19355,19711,20478,20956,21394,21817,21789,21758,20821,20635,20523
"256","248","Q1COM1 C       Commercial participant amusements","Q1COM10",32645,33134,33228,33916,32619,33345,33913,34480,36638,36977,38697,39747,40303,42149,44320,46231,47643,48811,50144,51216,53363,54819,56465,58111,58367,59196,61025,62121,63524,64591,64707,64982,66632,66689,67429,68389,69198,70718,72349,73306,73753,75448,77318,76730,76946,76578,76835,77336,79180,79286,80140,79491,79312,80035,80951,81474,84981
"257","249","Q1SIG1 D         Sightseeing","Q1SIG10",2879,2937,2992,3047,3108,3216,3317,3405,3554,3656,3681,3664,3836,3942,4042,4131,4183,4272,4372,4484,4690,4826,4936,5011,4998,5037,5075,5112,5163,5218,5288,5372,5447,5513,5571,5630,5892,5929,5911,5867,5644,5572,5477,5365,5213,5102,5016,4962,4998,4990,4982,4969,4959,4959,4961,4959,4958
"258","250","Q1FLY1 D         Private flying","Q1FLY10",371,370,373,376,384,394,395,388,362,348,342,334,332,333,333,333,330,333,342,355,391,402,409,408,389,384,380,380,404,412,417,420,416,416,416,415,453,467,477,484,481,481,482,484,488,490,493,496,498,501,503,505,508,510,513,515,517
"259","251","Q1BIL1 D         Bowling and billiards","Q1BIL10",3087,3063,2997,2964,2860,2824,2808,2811,2917,2941,2897,2835,2710,2650,2591,2532,2488,2515,2527,2529,2518,2524,2533,2541,2558,2560,2555,2544,2532,2531,2523,2511,2479,2472,2463,2477,2518,2520,2507,2511,2531,2493,2452,2407,2355,2306,2256,2205,2153,2103,2055,2008,1962,1917,1873,1830,1787
"260","252","Q1CAS1 D         Casino gambling","Q1CAS10",14323,14565,14592,15297,14380,15085,15543,15894,17158,17014,18432,19377,19769,21428,23400,25132,26430,27277,28220,28839,30214,31300,32597,33930,34030,34591,36160,37052,37929,38885,38983,39316,40489,40343,41016,41985,42487,43917,45546,46421,46888,48607,50563,50124,50657,50493,50917,51537,53365,53524,54433,53835,53704,54463,55410,55974,59566
"261","253","Q1OPA1 D         Other comml participant amusements","Q1OPA10",12274,12488,12561,12497,12163,12084,12099,12230,12895,13283,13589,13764,13880,13991,14117,14239,14331,14527,14789,15118,15661,15868,16079,16295,16470,16701,16910,17080,17544,17583,17533,17394,17831,17979,17992,17899,17864,17894,17912,18025,18211,18294,18343,18350,18237,18190,18159,18145,18184,18187,18191,18192,18197,18211,18231,18239,18248
"262","254","Q1PAR1 C       Pari-mutuel net receipts","Q1PAR10",4626,4636,4637,4641,4504,4401,4293,4214,4159,4134,4076,4003,3957,3949,3953,3972,4014,4039,4070,4099,4123,4160,4190,4213,4210,4230,4250,4270,4329,4337,4315,4262,4519,4586,4660,4746,4889,4971,5035,5071,5023,4992,4974,4954,4941,4940,4949,4959,5006,5041,5074,5097,5124,5159,5196,5229,5263
"263","255","Q1REO1 C       Other","Q1REO10",88135,89273,89859,90034,88983,88579,88769,89682,93256,94787,96305,97289,98740,99030,99471,99911,100042,101291,102730,104326,106627,109216,110347,111461,112580,113417,113736,114586,115954,116410,116319,117212,119086,120456,122120,123855,126047,127714,129456,130910,132329,133405,134240,135499,136884,136873,138547,139659,141267,142183,142980,144227,145093,146035,147383,149193,150248
"264","256","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3263,3223,3264,3308,3482,3523,3564,3545,3585,3508,3505,3451,3705,3737,3820,3911,3984,4083,4097,4124,4106,4161,4243,4321,4431,4479,4502,4562,4585,4592,4583,4557,4461,4465,4441,4387,4298,4332,4356,4366,4546,4503,4458,4411,4345,4308,4279,4254,4241,4213,4180,4144,4111,4083,4056,4027,3998
"265","257","Q1VET1 D         Veterinarians","Q1VET10",6187,6256,6342,6491,6430,6502,6506,6539,6688,6634,6702,6830,6997,7135,7259,7247,7296,7575,7779,8008,8143,8359,8538,8674,8877,9135,9273,9455,9661,9827,10086,10435,10685,10834,10942,11123,11418,11474,11578,11700,11779,11913,11969,12005,11980,12150,12221,12177,12453,12437,12438,12691,12592,12553,12753,13005,13031
"266","258","Q1CTV1 D         Cable television","Q1CTV10",27696,28251,28342,28149,27510,27270,27074,27104,28264,28559,28726,28525,29413,29236,29191,29239,28626,28597,28911,29491,30695,31425,32024,32839,33561,34028,34156,34760,34972,35275,35101,35366,35295,35625,36257,37016,38087,38778,39519,39682,39900,40187,40456,41154,42277,41588,42154,43456,43877,44148,44235,44488,44500,44370,44761,45520,45978
"267","259","Q1FDV1 D         Film developing","Q1FDV10",6751,6676,6594,6532,6492,6461,6472,6529,6367,6301,6310,6397,6426,6463,6501,6529,6605,6587,6522,6419,6439,6484,6523,6557,6624,6634,6627,6611,6614,6607,6600,6595,6624,6658,6695,6731,6797,6814,6815,6798,6738,6711,6681,6652,6604,6599,6615,6653,6739,6796,6848,6894,6945,7006,7069,7129,7189
"268","260","Q1PIC1 D         Photo studios","Q1PIC10",5839,5925,5958,5950,5879,5844,5898,6018,6141,6218,6315,6426,6495,6558,6618,6662,6676,6717,6759,6800,7071,7115,7124,7094,6985,6911,6823,6724,6392,6281,6226,6230,6409,6473,6524,6554,6487,6512,6556,6620,6796,6819,6829,6821,6784,6743,6690,6625,6544,6463,6378,6291,6207,6127,6051,5971,5892
"269","261","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1376,1404,1430,1443,1365,1324,1334,1385,1517,1574,1610,1609,1559,1542,1537,1540,1571,1586,1599,1613,1607,1594,1585,1578,1582,1574,1562,1545,1487,1515,1587,1702,1686,1682,1665,1647,1644,1653,1663,1688,1742,1767,1783,1797,1792,1786,1774,1767,1748,1731,1712,1697,1682,1665,1649,1632,1615
"270","262","Q1HRE1 D         High school recreation","Q1HRE10",228,223,219,218,220,227,223,228,230,229,235,240,253,260,268,274,279,284,289,293,297,300,302,305,307,310,313,317,324,327,330,332,342,346,347,346,346,345,344,344,343,344,345,346,347,348,350,352,355,358,360,362,364,367,369,372,374
