"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"92","74","        Air transportation (64)","DAITRC1","3.0","2.0","2.0","3.0","3.0","4.0","6.0","8.0","8.0","8.0","12.0","18.0","23.0","23.0","24.0","33.0","55.0","82.0","92.0","102.0","117.0","142.0","189.0","227.0","267.0","299.0","350.0","395.0","446.0","480.0","591.0","678.0","762.0","884.0","927.0","1,084.0","1,279.0","1,475.0","1,812.0","2,236.0","2,846.0","3,075.0","3,480.0","4,128.0","4,712.0","5,543.0","5,890.0","7,128.0","8,291.0","9,096.0","10,384.0","12,768.0","13,377.0","13,480.0","15,066.0","17,552.0","18,088.0","18,987.0","20,935.0","22,987.0","24,840.0","25,891.0","25,069.0","25,581.0","27,742.0","29,226.0","31,072.0","33,269.0","37,216.0","40,269.0","43,042.0","49,166.0","42,873.0","39,515.0","43,348.0","46,163.0","47,654.0","49,368.0","51,718.0","52,211.0"
"93","75","        Water transportation (65)","DWATRC1","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","4.0","5.0","5.0","6.0","7.0","9.0","11.0","12.0","14.0","17.0","19.0","23.0","27.0","31.0","35.0","71.0","143.0","242.0","349.0","390.0","451.0","434.0","340.0","212.0","145.0","303.0","632.0","1,058.0","1,494.0","1,807.0","2,001.0","2,084.0","2,218.0","2,301.0","2,299.0","2,405.0","2,587.0","2,723.0","2,807.0","3,004.0","3,037.0"
"94","76","    Recreation services","DRCARC1","1,582.0","1,528.0","1,420.0","1,099.0","993.0","1,099.0","1,185.0","1,337.0","1,481.0","1,428.0","1,459.0","1,589.0","1,744.0","1,996.0","2,312.0","2,559.0","2,847.0","3,503.0","3,573.0","3,593.0","3,576.0","3,612.0","3,775.0","3,977.0","4,208.0","4,480.0","4,843.0","5,230.0","5,242.0","5,398.0","5,921.0","6,480.0","6,945.0","7,455.0","7,926.0","8,480.0","8,976.0","9,768.0","10,452.0","11,703.0","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,587.0","238,788.0","255,475.0","263,552.0","272,833.0","289,471.0","311,957.0","326,787.0","348,824.0","371,713.0","383,101.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1","1,314.0","1,287.0","1,209.0","922.0","836.0","905.0","966.0","1,086.0","1,189.0","1,150.0","1,172.0","1,274.0","1,388.0","1,613.0","1,881.0","2,032.0","2,249.0","2,735.0","2,729.0","2,692.0","2,660.0","2,601.0","2,628.0","2,661.0","2,722.0","2,886.0","3,121.0","3,337.0","3,190.0","3,199.0","3,476.0","3,799.0","4,073.0","4,333.0","4,566.0","4,808.0","5,048.0","5,443.0","5,711.0","6,346.0","6,926.0","7,575.0","8,091.0","8,628.0","9,364.0","10,775.0","12,106.0","13,211.0","14,961.0","16,623.0","18,282.0","20,149.0","22,611.0","24,641.0","27,214.0","29,383.0","31,994.0","33,921.0","35,799.0","40,016.0","45,305.0","49,733.0","52,106.0","57,425.0","61,233.0","64,206.0","69,535.0","74,607.0","78,995.0","83,320.0","87,287.0","91,929.0","94,315.0","97,513.0","101,854.0","106,542.0","110,555.0","117,843.0","125,094.0","128,307.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1","146.0","141.0","126.0","103.0","93.0","107.0","122.0","139.0","161.0","153.0","160.0","171.0","192.0","219.0","251.0","286.0","319.0","374.0","424.0","474.0","504.0","602.0","712.0","797.0","903.0","1,003.0","1,093.0","1,204.0","1,314.0","1,416.0","1,562.0","1,718.0","1,832.0","1,935.0","2,059.0","2,183.0","2,315.0","2,537.0","2,803.0","3,164.0","3,538.0","3,800.0","4,116.0","4,300.0","4,981.0","5,689.0","6,464.0","7,497.0","8,051.0","8,622.0","9,653.0","10,733.0","12,350.0","14,012.0","16,608.0","18,967.0","21,928.0","24,482.0","27,161.0","31,144.0","34,656.0","37,875.0","39,388.0","42,597.0","45,979.0","46,500.0","49,994.0","52,772.0","55,540.0","60,012.0","65,508.0","70,138.0","72,652.0","73,441.0","77,560.0","84,560.0","87,233.0","91,803.0","99,002.0","103,182.0"
"97","79","      Gambling (91)","DGAMRC1","36.0","35.0","30.0","22.0","22.0","37.0","45.0","51.0","64.0","66.0","66.0","82.0","94.0","98.0","108.0","164.0","192.0","293.0","310.0","315.0","305.0","300.0","320.0","395.0","445.0","444.0","465.0","508.0","543.0","575.0","643.0","700.0","750.0","858.0","930.0","1,045.0","1,102.0","1,176.0","1,268.0","1,379.0","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","80,930.0","89,785.0","95,637.0","103,865.0","109,600.0","113,651.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1","86.0","65.0","55.0","52.0","42.0","50.0","52.0","61.0","67.0","59.0","61.0","62.0","70.0","66.0","72.0","77.0","87.0","101.0","110.0","112.0","107.0","109.0","115.0","124.0","138.0","147.0","164.0","181.0","195.0","208.0","240.0","263.0","290.0","329.0","371.0","444.0","511.0","612.0","670.0","814.0","943.0","959.0","1,042.0","1,224.0","1,349.0","1,447.0","1,636.0","1,897.0","2,139.0","2,423.0","2,925.0","3,253.0","3,737.0","4,142.0","4,555.0","5,203.0","5,783.0","6,450.0","7,378.0","8,387.0","9,449.0","10,498.0","11,023.0","11,697.0","12,886.0","14,347.0","16,145.0","17,913.0","19,270.0","21,374.0","23,652.0","25,852.0","26,595.0","27,822.0","29,127.0","31,070.0","33,362.0","35,313.0","38,017.0","37,961.0"
"99","81","    Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","462,830.0","492,923.0","525,309.0","559,744.0","587,892.0","608,661.0"
"100","82","      Food services","DFSERC1","3,168.0","3,033.0","2,739.0","2,262.0","1,971.0","2,433.0","2,824.0","3,221.0","3,799.0","3,639.0","3,887.0","4,166.0","5,081.0","6,603.0","8,815.0","10,527.0","12,256.0","12,244.0","11,884.0","12,050.0","11,848.0","12,168.0","14,330.0","15,348.0","15,743.0","15,833.0","16,162.0","16,791.0","17,494.0","17,674.0","18,660.0","19,310.0","19,740.0","20,906.0","21,815.0","23,277.0","25,382.0","27,686.0","28,767.0","32,128.0","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,909.0","273,766.0","280,167.0","287,501.0","299,665.0","315,707.0","331,596.0","354,878.0","368,702.0","384,332.0","405,740.0","429,754.0","455,318.0","484,596.0","507,878.0","525,191.0"
"101","83","        Purchased meals and beverages (102)","DPMBRC1","2,911.0","2,788.0","2,541.0","2,102.0","1,816.0","2,248.0","2,610.0","2,985.0","3,528.0","3,392.0","3,633.0","3,888.0","4,611.0","5,670.0","7,138.0","8,129.0","9,503.0","10,895.0","10,861.0","11,029.0","10,848.0","11,092.0","12,698.0","13,579.0","14,093.0","14,355.0","14,870.0","15,593.0","16,276.0","16,430.0","17,454.0","18,101.0","18,459.0","19,567.0","20,465.0","21,903.0","23,897.0","25,917.0","26,823.0","30,155.0","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,599.0","266,247.0","272,388.0","279,515.0","291,454.0","307,284.0","322,891.0","345,950.0","359,567.0","374,863.0","395,620.0","419,099.0","443,529.0","471,163.0","493,905.0","511,529.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,469.0","10,120.0","10,655.0","11,789.0","13,433.0","13,973.0","13,662.0"
"103","85","      Accommodations (104)","DACCRC1","254.0","240.0","215.0","177.0","156.0","169.0","182.0","201.0","221.0","225.0","234.0","246.0","266.0","275.0","328.0","361.0","401.0","443.0","581.0","555.0","549.0","570.0","630.0","679.0","732.0","778.0","827.0","896.0","987.0","993.0","1,078.0","1,175.0","1,224.0","1,351.0","1,491.0","1,601.0","1,799.0","1,949.0","2,190.0","2,466.0","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,302.0","49,984.0","55,248.0","52,526.0","53,851.0","57,090.0","63,169.0","69,991.0","75,148.0","80,014.0","83,470.0"
"104","86","    Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,394.0","21,273.0","22,842.0","25,796.0","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","601,753.0","667,481.0","712,619.0","752,375.0","824,223.0","835,632.0"
"105","87","      Financial services","DFNLRC1","1,728.0","1,386.0","1,043.0","790.0","841.0","689.0","802.0","935.0","974.0","853.0","842.0","866.0","885.0","916.0","1,091.0","1,143.0","1,296.0","1,678.0","1,747.0","1,905.0","1,957.0","2,329.0","2,464.0","2,559.0","3,098.0","3,605.0","4,194.0","4,573.0","4,731.0","4,979.0","5,653.0","6,055.0","6,810.0","6,935.0","7,081.0","8,048.0","8,782.0","9,923.0","11,088.0","12,363.0","14,127.0","15,341.0","17,066.0","18,938.0","20,317.0","23,659.0","30,126.0","32,209.0","35,757.0","43,133.0","47,190.0","51,739.0","54,134.0","62,055.0","87,159.0","90,021.0","107,493.0","123,869.0","135,040.0","134,015.0","135,986.0","141,481.0","158,141.0","178,498.0","193,165.0","200,564.0","212,473.0","237,909.0","267,042.0","295,231.0","331,246.0","370,013.0","358,088.0","366,443.0","371,093.0","403,231.0","427,209.0","457,772.0","515,069.0","520,949.0"
"106","88","        Financial services furnished without payment (107)","DIMPRC1","855.0","775.0","614.0","465.0","398.0","379.0","454.0","514.0","559.0","513.0","513.0","557.0","584.0","631.0","683.0","713.0","753.0","1,064.0","1,184.0","1,246.0","1,297.0","1,447.0","1,557.0","1,682.0","2,184.0","2,384.0","2,785.0","3,132.0","3,212.0","3,181.0","3,497.0","3,899.0","4,130.0","4,302.0","4,222.0","4,906.0","5,246.0","5,805.0","6,377.0","7,017.0","9,112.0","10,922.0","11,811.0","13,174.0","15,127.0","18,610.0","24,070.0","25,049.0","28,164.0","34,164.0","36,976.0","38,248.0","38,656.0","42,677.0","62,731.0","64,259.0","76,748.0","85,386.0","92,388.0","93,115.0","89,713.0","92,998.0","103,632.0","116,217.0","120,720.0","126,767.0","130,579.0","143,873.0","159,690.0","170,254.0","182,314.0","195,389.0","195,015.0","198,288.0","193,832.0","212,835.0","220,041.0","224,767.0","254,605.0","271,409.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRC1","873.0","611.0","429.0","325.0","443.0","310.0","348.0","421.0","415.0","340.0","329.0","309.0","301.0","285.0","408.0","430.0","543.0","614.0","563.0","659.0","660.0","882.0","907.0","877.0","914.0","1,221.0","1,409.0","1,441.0","1,519.0","1,798.0","2,156.0","2,156.0","2,680.0","2,633.0","2,859.0","3,142.0","3,536.0","4,118.0","4,711.0","5,346.0","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","177,261.0","190,396.0","207,168.0","233,005.0","260,464.0","249,540.0"
"108","90","      Insurance","DINSRC1","1,178.0","1,209.0","1,160.0","1,087.0","1,080.0","1,136.0","1,265.0","1,311.0","1,407.0","1,397.0","1,453.0","1,502.0","1,595.0","1,649.0","1,749.0","1,829.0","1,891.0","2,098.0","2,499.0","2,780.0","2,941.0","3,254.0","3,850.0","4,155.0","4,674.0","5,004.0","5,392.0","5,823.0","6,322.0","6,595.0","6,831.0","7,496.0","7,955.0","8,416.0","8,828.0","9,692.0","10,612.0","11,350.0","11,754.0","13,433.0","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,851.0","148,463.0","152,216.0","155,722.0","164,255.0","174,418.0","182,988.0","199,949.0","204,703.0","209,723.0","230,660.0","264,250.0","285,410.0","294,603.0","309,154.0","314,683.0"
"109","91","        Life insurance (110)","DLIFRC1","870.0","897.0","879.0","849.0","843.0","870.0","969.0","976.0","1,019.0","996.0","1,008.0","1,023.0","1,034.0","1,019.0","1,069.0","1,101.0","1,087.0","1,174.0","1,410.0","1,532.0","1,596.0","1,753.0","1,907.0","1,958.0","2,099.0","2,208.0","2,430.0","2,788.0","3,032.0","3,222.0","3,153.0","3,553.0","3,712.0","3,887.0","4,128.0","4,631.0","5,145.0","5,318.0","5,362.0","5,885.0","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","59,717.0","70,547.0","76,502.0","80,945.0","83,834.0","82,694.0"
"110","92","        Net household insurance (111)","DFINRC1","20.0","19.0","18.0","16.0","15.0","16.0","17.0","19.0","21.0","21.0","22.0","23.0","26.0","30.0","36.0","43.0","49.0","51.0","57.0","62.0","63.0","68.0","76.0","82.0","89.0","94.0","101.0","109.0","115.0","121.0","142.0","166.0","185.0","201.0","212.0","222.0","227.0","227.0","252.0","274.0","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,755.0","6,167.0","6,069.0","7,349.0","8,259.0"
"111","93","        Net health insurance (112)","DHINRC1","175.0","177.0","147.0","112.0","107.0","132.0","150.0","178.0","214.0","225.0","249.0","268.0","326.0","396.0","464.0","497.0","547.0","601.0","707.0","778.0","783.0","847.0","871.0","984.0","1,199.0","1,312.0","1,366.0","1,348.0","1,526.0","1,525.0","1,654.0","1,764.0","1,963.0","2,143.0","2,171.0","2,372.0","2,621.0","2,897.0","2,939.0","3,821.0","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","55,971.0","58,599.0","60,747.0","64,095.0","68,374.0","74,696.0","79,230.0","88,070.0","94,132.0","100,962.0","116,944.0","134,433.0","145,127.0","150,615.0","156,273.0","161,780.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1","113.0","116.0","116.0","110.0","115.0","118.0","129.0","138.0","153.0","155.0","174.0","188.0","209.0","204.0","180.0","188.0","208.0","272.0","325.0","408.0","499.0","586.0","996.0","1,131.0","1,287.0","1,390.0","1,495.0","1,578.0","1,649.0","1,727.0","1,882.0","2,013.0","2,095.0","2,185.0","2,317.0","2,467.0","2,619.0","2,908.0","3,201.0","3,453.0","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,069.0","44,434.0","45,698.0","49,071.0","53,515.0","57,614.0","56,974.0","61,698.0","61,950.0"
"113","95","    Other services","DOTSRC1","6,900.0","6,483.0","5,625.0","4,539.0","4,005.0","4,356.0","4,641.0","5,093.0","5,698.0","5,445.0","5,620.0","5,801.0","6,342.0","7,144.0","8,232.0","9,147.0","10,000.0","10,829.0","11,971.0","12,870.0","13,300.0","14,111.0","15,119.0","16,006.0","17,116.0","17,814.0","19,399.0","20,935.0","22,408.0","23,767.0","25,518.0","27,058.0","28,254.0","29,853.0","31,611.0","33,760.0","36,603.0","39,875.0","43,572.0","46,751.0","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,849.0","187,441.0","207,851.0","221,175.0","242,433.0","262,845.0","281,310.0","297,888.0","300,866.0","325,813.0","344,216.0","370,704.0","390,469.0","415,340.0","452,274.0","499,783.0","540,863.0","591,076.0","633,995.0","662,679.0","704,558.0","745,283.0","781,600.0","835,963.0","884,014.0","915,009.0"
"114","96","      Communication","DCOMRC1","674.0","678.0","649.0","565.0","514.0","527.0","563.0","610.0","650.0","653.0","690.0","733.0","831.0","983.0","1,161.0","1,305.0","1,445.0","1,557.0","1,674.0","1,894.0","2,059.0","2,298.0","2,566.0","2,851.0","3,151.0","3,279.0","3,589.0","3,909.0","4,248.0","4,523.0","4,825.0","5,196.0","5,547.0","5,896.0","6,417.0","6,925.0","7,521.0","8,104.0","8,856.0","9,659.0","10,709.0","11,585.0","12,741.0","14,328.0","16,103.0","17,657.0","19,922.0","22,386.0","24,260.0","26,862.0","29,048.0","31,144.0","34,984.0","39,857.0","43,614.0","47,177.0","51,884.0","55,600.0","58,679.0","61,703.0","65,651.0","68,311.0","71,996.0","79,093.0","83,465.0","90,587.0","95,932.0","104,928.0","116,370.0","126,417.0","139,921.0","156,553.0","165,481.0","171,226.0","175,351.0","180,771.0","185,216.0","199,588.0","210,337.0","219,970.0"
"115","97","        Telecommunication services (71)","DTCSRC1","569.0","577.0","554.0","482.0","436.0","443.0","472.0","511.0","542.0","542.0","576.0","615.0","695.0","825.0","973.0","1,078.0","1,190.0","1,289.0","1,377.0","1,570.0","1,732.0","1,943.0","2,171.0","2,422.0","2,684.0","2,790.0","3,062.0","3,342.0","3,649.0","3,893.0","4,186.0","4,516.0","4,829.0","5,111.0","5,525.0","5,953.0","6,493.0","7,013.0","7,675.0","8,343.0","9,285.0","10,095.0","11,048.0","12,444.0","14,153.0","15,546.0","17,741.0","19,829.0","21,565.0","23,874.0","25,717.0","27,574.0","30,889.0","35,140.0","38,639.0","41,786.0","45,978.0","49,261.0","51,879.0","54,390.0","58,135.0","60,702.0","64,003.0","70,998.0","75,008.0","81,291.0","85,168.0","92,770.0","103,149.0","111,081.0","120,001.0","130,226.0","137,580.0","139,841.0","140,166.0","143,120.0","146,067.0","157,790.0","161,992.0","167,970.0"
"116","98","        Postal and delivery services (68)","DPSSRC1","105.0","101.0","95.0","83.0","78.0","84.0","91.0","99.0","108.0","111.0","114.0","118.0","136.0","158.0","188.0","227.0","255.0","268.0","297.0","324.0","327.0","355.0","395.0","429.0","467.0","489.0","527.0","567.0","599.0","630.0","639.0","680.0","718.0","785.0","892.0","972.0","1,028.0","1,091.0","1,181.0","1,316.0","1,424.0","1,490.0","1,693.0","1,884.0","1,950.0","2,111.0","2,181.0","2,557.0","2,695.0","2,988.0","3,331.0","3,570.0","4,095.0","4,717.0","4,975.0","5,391.0","5,906.0","6,339.0","6,800.0","7,288.0","7,466.0","7,509.0","7,793.0","7,790.0","8,045.0","8,491.0","9,153.0","9,483.0","9,646.0","9,787.0","9,865.0","9,890.0","9,658.0","9,456.0","9,057.0","9,200.0","9,261.0","9,497.0","9,739.0","9,530.0"
"117","99","        Internet access (72)","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","25.0","50.0","100.0","200.0","305.0","412.0","805.0","1,611.0","2,675.0","3,575.0","5,549.0","10,055.0","16,437.0","18,243.0","21,929.0","26,128.0","28,451.0","29,888.0","32,301.0","38,606.0","42,470.0"
"118","100","      Education services","DTEDRC1","540.0","563.0","559.0","481.0","409.0","411.0","424.0","452.0","495.0","511.0","518.0","530.0","573.0","652.0","745.0","758.0","766.0","836.0","1,020.0","1,153.0","1,249.0","1,329.0","1,436.0","1,529.0","1,633.0","1,743.0","1,917.0","2,129.0","2,369.0","2,604.0","2,832.0","3,073.0","3,302.0","3,627.0","3,990.0","4,420.0","5,048.0","5,746.0","6,409.0","7,211.0","8,069.0","9,176.0","10,102.0","11,005.0","12,226.0","13,375.0","14,946.0","16,476.0","17,709.0","19,531.0","21,323.0","23,698.0","26,272.0","28,793.0","31,841.0","34,786.0","37,936.0","40,839.0","44,543.0","49,791.0","55,648.0","60,660.0","65,157.0","70,801.0","75,032.0","79,880.0","85,502.0","92,620.0","99,785.0","107,390.0","115,367.0","125,247.0","134,385.0","139,825.0","149,536.0","159,045.0","170,422.0","182,436.0","196,360.0","210,477.0"
"119","101","        Higher education (97)","DHEDRC1","235.0","259.0","266.0","238.0","213.0","220.0","228.0","238.0","247.0","252.0","259.0","269.0","277.0","297.0","330.0","354.0","362.0","418.0","537.0","599.0","652.0","679.0","713.0","746.0","788.0","840.0","919.0","1,020.0","1,142.0","1,262.0","1,374.0","1,495.0","1,639.0","1,811.0","2,004.0","2,297.0","2,727.0","3,124.0","3,466.0","3,931.0","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,350.0","101,217.0","108,837.0","116,594.0","124,967.0","134,976.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1","125.0","132.0","147.0","125.0","97.0","96.0","96.0","110.0","135.0","150.0","153.0","157.0","165.0","177.0","191.0","212.0","239.0","220.0","265.0","311.0","332.0","362.0","406.0","443.0","482.0","523.0","575.0","640.0","717.0","794.0","886.0","989.0","1,118.0","1,242.0","1,352.0","1,449.0","1,565.0","1,693.0","1,820.0","1,993.0","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","28,348.0","30,049.0","31,782.0","33,819.0","36,644.0","38,468.0"
