"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"216","189","        Owner-occupied housing (-156)","W307RC1","-78.0","-64.0","-58.0","-47.0","-33.0","-34.0","-37.0","-41.0","-45.0","-48.0","-55.0","-64.0","-76.0","-77.0","-61.0","-60.0","-61.0","-77.0","-108.0","-137.0","-149.0","-169.0","-208.0","-226.0","-253.0","-273.0","-307.0","-348.0","-365.0","-378.0","-422.0","-443.0","-432.0","-455.0","-485.0","-508.0","-558.0","-640.0","-661.0","-775.0","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-2,753.0","-3,401.0","-5,088.0","-6,989.0","-9,133.0","-8,712.0","-7,460.0","-7,761.0","-10,610.0","-13,170.0","-15,918.0","-15,276.0","-16,121.0","-16,726.0","-16,967.0","-21,912.0","-21,038.0","-23,302.0","-32,051.0","-35,147.0","-44,637.0","-55,338.0","-51,384.0","-39,883.0"
"217","190","        Nonprofit institutions serving households (-157)","W309RC1","-6.0","-5.0","-5.0","-4.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-4.0","-4.0","-3.0","-3.0","-3.0","-4.0","-6.0","-8.0","-9.0","-10.0","-12.0","-13.0","-13.0","-14.0","-16.0","-18.0","-19.0","-21.0","-24.0","-27.0","-28.0","-32.0","-35.0","-39.0","-45.0","-54.0","-57.0","-70.0","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-349.0","-477.0","-769.0","-996.0","-1,261.0","-1,105.0","-912.0","-875.0","-1,073.0","-1,187.0","-1,303.0","-1,228.0","-1,263.0","-1,293.0","-1,384.0","-1,777.0","-1,773.0","-1,957.0","-2,440.0","-2,627.0","-3,265.0","-4,154.0","-3,820.0","-3,143.0"
"218","191","    Less:  Imputed interest received by persons (164)","W553RC1","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","8.0","8.0","9.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,351.0","1,399.0"
"219","192","    Imputed interest paid by private enterprises","W566RC1","1,978.0","1,719.0","1,479.0","1,204.0","970.0","1,009.0","1,121.0","1,262.0","1,331.0","1,290.0","1,362.0","1,311.0","1,381.0","1,484.0","1,624.0","1,872.0","2,037.0","1,940.0","1,747.0","1,684.0","1,664.0","1,698.0","1,639.0","1,879.0","2,360.0","2,578.0","2,987.0","3,234.0","3,298.0","3,225.0","3,634.0","4,040.0","4,297.0","4,339.0","4,162.0","4,965.0","4,795.0","4,829.0","5,835.0","5,872.0","9,253.0","13,464.0","17,236.0","18,421.0","14,847.0","17,615.0","40,012.0","30,310.0","30,858.0","29,282.0","18,988.0","11,973.0","3,426.0","35,266.0","85,680.0","65,379.0","90,503.0","98,986.0","86,797.0","72,258.0","52,032.0","74,948.0","109,897.0","126,294.0","111,276.0","104,553.0","91,253.0","111,811.0","127,253.0","135,940.0","151,426.0","141,628.0","154,267.0","164,168.0","128,955.0","142,385.0","107,130.0","59,751.0","123,224.0","193,906.0"
"220","193","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (146+159)","W560RC1","2,062.0","1,788.0","1,542.0","1,255.0","1,006.0","1,046.0","1,161.0","1,306.0","1,379.0","1,341.0","1,420.0","1,378.0","1,461.0","1,565.0","1,688.0","1,935.0","2,101.0","2,407.0","2,401.0","2,512.0","2,563.0","2,716.0","2,897.0","3,242.0","3,840.0","4,071.0","4,606.0","5,115.0","5,317.0","5,311.0","5,943.0","6,559.0","6,809.0","7,013.0","7,016.0","7,978.0","8,225.0","8,915.0","10,135.0","10,972.0","14,678.0","18,601.0","21,388.0","23,100.0","23,098.0","27,730.0","42,690.0","38,278.0","41,167.0","44,992.0","43,177.0","42,795.0","41,817.0","63,349.0","97,462.0","89,450.0","108,128.0","120,700.0","120,372.0","115,658.0","104,214.0","120,441.0","145,389.0","161,071.0","156,454.0","158,573.0","153,150.0","170,073.0","188,483.0","200,775.0","218,308.0","225,034.0","234,091.0","246,428.0","231,347.0","249,930.0","239,295.0","223,897.0","274,998.0","320,776.0"
"221","194","      By private enterprises for borrower services (-154)","W561RC1","-84.0","-69.0","-63.0","-51.0","-36.0","-37.0","-40.0","-44.0","-48.0","-51.0","-58.0","-67.0","-80.0","-81.0","-64.0","-63.0","-64.0","-467.0","-654.0","-828.0","-899.0","-1,018.0","-1,258.0","-1,363.0","-1,480.0","-1,493.0","-1,619.0","-1,881.0","-2,019.0","-2,086.0","-2,309.0","-2,519.0","-2,512.0","-2,674.0","-2,854.0","-3,013.0","-3,430.0","-4,086.0","-4,300.0","-5,100.0","-5,425.0","-5,137.0","-4,152.0","-4,679.0","-8,251.0","-10,115.0","-2,678.0","-7,968.0","-10,309.0","-15,710.0","-24,189.0","-30,822.0","-38,391.0","-28,083.0","-11,782.0","-24,071.0","-17,625.0","-21,714.0","-33,575.0","-43,400.0","-52,182.0","-45,493.0","-35,492.0","-34,777.0","-45,178.0","-54,020.0","-61,897.0","-58,262.0","-61,230.0","-64,835.0","-66,882.0","-83,406.0","-79,824.0","-82,260.0","-102,392.0","-107,545.0","-132,165.0","-164,146.0","-151,774.0","-126,870.0"
"222","195","    Less:  Imputed interest received","W563RC1","874.0","722.0","657.0","537.0","376.0","383.0","426.0","467.0","514.0","475.0","485.0","461.0","509.0","503.0","472.0","523.0","534.0","281.0","138.0","-50.0","-136.0","-250.0","-459.0","-427.0","-478.0","-496.0","-522.0","-661.0","-758.0","-881.0","-826.0","-913.0","-928.0","-1,145.0","-1,298.0","-1,351.0","-1,907.0","-2,486.0","-2,275.0","-2,996.0","-2,514.0","-442.0","2,282.0","1,868.0","-3,597.0","-4,596.0","11,550.0","1,624.0","-1,134.0","-8,105.0","-20,841.0","-28,393.0","-37,123.0","-9,011.0","19,208.0","-1,423.0","6,554.0","-866.0","-15,236.0","-29,600.0","-45,724.0","-29,308.0","-8,056.0","-8,135.0","-26,501.0","-35,309.0","-46,814.0","-35,895.0","-32,638.0","-34,507.0","-31,122.0","-51,337.0","-36,466.0","-33,263.0","-63,987.0","-66,820.0","-110,535.0","-157,451.0","-119,825.0","-68,335.0"
"223","196","      By banks for borrower services (-151)","W358RC1","-84.0","-69.0","-63.0","-51.0","-36.0","-37.0","-40.0","-44.0","-48.0","-51.0","-58.0","-67.0","-80.0","-109.0","-110.0","-100.0","-176.0","-590.0","-814.0","-1,033.0","-1,137.0","-1,304.0","-1,588.0","-1,737.0","-1,915.0","-1,950.0","-2,134.0","-2,467.0","-2,669.0","-2,768.0","-3,054.0","-3,372.0","-3,438.0","-3,706.0","-3,908.0","-4,182.0","-4,789.0","-5,634.0","-5,917.0","-6,978.0","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-26,050.0","-38,576.0","-49,033.0","-61,149.0","-70,455.0","-60,306.0","-46,952.0","-46,936.0","-61,291.0","-72,003.0","-82,993.0","-78,241.0","-80,724.0","-84,329.0","-86,059.0","-105,271.0","-99,179.0","-103,718.0","-129,089.0","-135,785.0","-164,134.0","-200,302.0","-184,112.0","-154,276.0"
"224","197","      By other private enterprises (149+162)","W565RC1","958.0","791.0","720.0","588.0","412.0","420.0","466.0","511.0","562.0","526.0","543.0","528.0","589.0","612.0","582.0","623.0","710.0","871.0","952.0","983.0","1,001.0","1,054.0","1,129.0","1,310.0","1,437.0","1,454.0","1,612.0","1,806.0","1,911.0","1,887.0","2,228.0","2,459.0","2,510.0","2,561.0","2,610.0","2,831.0","2,882.0","3,148.0","3,642.0","3,982.0","5,255.0","6,704.0","7,831.0","8,236.0","7,575.0","9,001.0","15,203.0","12,826.0","13,487.0","14,344.0","13,806.0","15,220.0","16,462.0","28,405.0","34,806.0","30,225.0","32,604.0","37,710.0","33,797.0","31,549.0","24,731.0","30,998.0","38,896.0","38,801.0","34,790.0","36,694.0","36,179.0","42,346.0","48,086.0","49,822.0","54,937.0","53,934.0","62,713.0","70,455.0","65,102.0","68,965.0","53,599.0","42,851.0","64,287.0","85,941.0"
"225","198","  Personal interest payments","A2109C1","-1,006.0","-1,020.0","-1,009.0","-969.0","-925.0","-881.0","-857.0","-836.0","-803.0","-760.0","-733.0","-728.0","-756.0","-816.0","-856.0","-873.0","-918.0","-1,043.0","-1,250.0","-1,487.0","-1,686.0","-1,940.0","-2,278.0","-2,610.0","-2,975.0","-3,391.0","-3,861.0","-4,550.0","-5,282.0","-5,941.0","-6,681.0","-7,478.0","-8,223.0","-9,186.0","-9,948.0","-11,004.0","-12,113.0","-13,166.0","-13,981.0","-15,307.0","-16,863.0","-18,263.0","-20,325.0","-23,425.0","-27,688.0","-31,773.0","-34,415.0","-40,391.0","-47,940.0","-57,962.0","-71,072.0","-84,810.0","-98,859.0","-112,283.0","-122,275.0","-140,341.0","-155,380.0","-172,235.0","-184,300.0","-197,630.0","-214,343.0","-227,158.0","-232,256.0","-234,026.0","-229,481.0","-231,445.0","-252,033.0","-262,177.0","-277,593.0","-288,837.0","-306,690.0","-335,989.0","-356,693.0","-372,475.0","-381,699.0","-406,292.0","-459,466.0","-529,330.0","-577,919.0","-590,457.0"
"226","199","    Owner-occupied housing (-186+156)","A2020C1","-921.0","-932.0","-921.0","-878.0","-834.0","-791.0","-768.0","-748.0","-719.0","-679.0","-654.0","-651.0","-683.0","-718.0","-744.0","-772.0","-824.0","-928.0","-1,085.0","-1,277.0","-1,436.0","-1,638.0","-1,928.0","-2,227.0","-2,515.0","-2,912.0","-3,320.0","-3,933.0","-4,605.0","-5,273.0","-5,926.0","-6,608.0","-7,284.0","-8,177.0","-8,866.0","-9,789.0","-10,704.0","-11,510.0","-12,201.0","-13,174.0","-14,573.0","-16,011.0","-18,266.0","-21,073.0","-24,120.0","-27,621.0","-32,183.0","-36,224.0","-42,779.0","-50,492.0","-60,396.0","-71,774.0","-83,539.0","-99,591.0","-113,087.0","-125,964.0","-142,684.0","-157,079.0","-166,519.0","-176,792.0","-190,797.0","-205,740.0","-212,673.0","-214,423.0","-205,602.0","-205,876.0","-222,866.0","-232,347.0","-247,263.0","-258,761.0","-277,169.0","-304,388.0","-326,106.0","-342,389.0","-349,501.0","-373,220.0","-425,213.0","-492,528.0","-543,126.0","-559,320.0"
"227","200","    Interest paid by nonprofit institutions serving households (-143)","A2021C1","-85.0","-88.0","-88.0","-91.0","-91.0","-90.0","-89.0","-88.0","-84.0","-81.0","-79.0","-77.0","-73.0","-70.0","-66.0","-64.0","-58.0","-55.0","-57.0","-57.0","-62.0","-65.0","-65.0","-69.0","-71.0","-74.0","-76.0","-77.0","-80.0","-81.0","-86.0","-98.0","-112.0","-123.0","-140.0","-184.0","-230.0","-302.0","-390.0","-470.0","-567.0","-682.0","-769.0","-843.0","-946.0","-1,104.0","-1,388.0","-1,428.0","-1,515.0","-1,891.0","-2,343.0","-2,954.0","-3,744.0","-4,787.0","-5,910.0","-7,713.0","-7,489.0","-8,620.0","-8,710.0","-9,731.0","-10,404.0","-10,765.0","-11,416.0","-11,940.0","-13,771.0","-12,666.0","-13,407.0","-14,468.0","-15,158.0","-15,646.0","-15,906.0","-15,794.0","-15,826.0","-15,248.0","-14,189.0","-13,387.0","-12,277.0","-11,184.0","-11,427.0","-11,762.0"
"228","201","    Borrower services paid by persons (-152)","W308RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-28.0","-46.0","-37.0","-36.0","-60.0","-108.0","-153.0","-188.0","-237.0","-285.0","-314.0","-389.0","-405.0","-465.0","-540.0","-597.0","-587.0","-669.0","-772.0","-827.0","-886.0","-942.0","-1,031.0","-1,179.0","-1,354.0","-1,390.0","-1,663.0","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-5,207.0","-6,536.0","-9,071.0","-11,107.0","-13,142.0","-10,653.0","-8,167.0","-7,663.0","-10,108.0","-12,903.0","-15,760.0","-15,362.0","-15,172.0","-14,430.0","-13,615.0","-15,807.0","-14,761.0","-14,838.0","-18,009.0","-19,685.0","-21,976.0","-25,618.0","-23,366.0","-19,375.0"
"229","202","  Personal interest income (147+160-164)","W520RC1","869.0","789.0","626.0","472.0","406.0","390.0","465.0","529.0","577.0","530.0","530.0","573.0","603.0","633.0","668.0","709.0","751.0","1,009.0","1,085.0","1,106.0","1,122.0","1,222.0","1,291.0","1,399.0","1,836.0","2,025.0","2,369.0","2,642.0","2,673.0","2,664.0","2,911.0","3,221.0","3,410.0","3,535.0","3,414.0","4,022.0","4,228.0","4,649.0","5,219.0","5,571.0","7,567.0","9,484.0","10,661.0","11,774.0","12,470.0","15,216.0","22,522.0","21,040.0","23,024.0","26,717.0","26,358.0","25,244.0","23,716.0","30,789.0","55,427.0","52,854.0","65,736.0","72,997.0","78,227.0","76,800.0","73,209.0","81,599.0","96,165.0","110,937.0","110,984.0","111,403.0","107,510.0","117,518.0","129,349.0","140,667.0","152,412.0","160,833.0","163,370.0","167,856.0","159,782.0","174,565.0","178,003.0","175,241.0","202,256.0","220,423.0"
"230","203","    Net interest, domestic (183)","A2104C1","2,106.0","2,013.0","1,827.0","1,631.0","1,514.0","1,502.0","1,546.0","1,625.0","1,613.0","1,568.0","1,602.0","1,570.0","1,619.0","1,760.0","1,952.0","2,174.0","2,373.0","2,629.0","2,737.0","3,053.0","3,281.0","3,633.0","4,072.0","4,581.0","5,400.0","6,034.0","6,878.0","7,876.0","8,709.0","9,425.0","10,433.0","11,619.0","12,583.0","13,748.0","14,430.0","16,252.0","17,596.0","19,085.0","20,654.0","22,460.0","26,849.0","30,532.0","33,904.0","38,374.0","43,411.0","50,827.0","61,905.0","66,196.0","76,123.0","89,586.0","102,363.0","114,859.0","127,563.0","148,344.0","185,116.0","200,083.0","233,679.0","265,036.0","276,674.0","287,759.0","298,310.0","320,066.0","341,302.0","359,997.0","356,260.0","357,445.0","373,375.0","393,504.0","421,272.0","443,768.0","474,510.0","512,007.0","531,487.0","553,843.0","555,342.0","594,528.0","653,796.0","719,537.0","796,251.0","831,924.0"
"231","204","    Net interest, rest of the world (-150-158-165+166)","W528RC1","-44.0","-37.0","-32.0","-29.0","-23.0","-24.0","-26.0","-38.0","-64.0","-61.0","-80.0","-109.0","-107.0","-108.0","-141.0","-167.0","-143.0","-134.0","-113.0","-115.0","-133.0","-147.0","-172.0","-213.0","-206.0","-195.0","-211.0","-224.0","-251.0","-265.0","-284.0","-280.0","-288.0","-319.0","-303.0","-356.0","-402.0","-416.0","-419.0","-454.0","-543.0","-622.0","-617.0","-718.0","-939.0","-1,387.0","-1,717.0","-1,696.0","-1,883.0","-2,317.0","-3,085.0","-3,485.0","-4,096.0","-2,919.0","-4,048.0","-4,068.0","-5,012.0","-4,638.0","-4,242.0","-3,772.0","-3,058.0","-3,850.0","-4,957.0","-6,220.0","-6,216.0","-6,145.0","-5,343.0","-5,773.0","-6,235.0","-5,392.0","-4,962.0","-4,592.0","-2,901.0","-2,398.0","-1,552.0","-1,210.0","-3,182.0","-2,017.0","-2,631.0","-6,919.0"
"232","205","    Net imputed interest paid by government (-148-153-161)","A2022C1","-187.0","-167.0","-160.0","-161.0","-160.0","-207.0","-198.0","-222.0","-169.0","-217.0","-259.0","-160.0","-153.0","-203.0","-287.0","-425.0","-561.0","-443.0","-289.0","-345.0","-340.0","-324.0","-331.0","-359.0","-383.0","-423.0","-437.0","-460.0","-503.0","-555.0","-557.0","-640.0","-662.0","-708.0","-765.0","-870.0","-853.0","-854.0","-1,035.0","-1,128.0","-1,876.0","-2,163.0","-2,301.0","-2,457.0","-2,314.0","-2,451.0","-3,251.0","-3,069.0","-3,276.0","-2,590.0","-1,848.0","-1,320.0","-892.0","-2,353.0","-3,366.0","-2,820.0","-7,551.0","-15,166.0","-9,905.0","-9,557.0","-7,700.0","-7,459.0","-7,924.0","-8,814.0","-9,579.0","-8,452.0","-8,489.0","-8,036.0","-8,095.0","-8,872.0","-10,446.0","-10,593.0","-8,523.0","-11,114.0","-12,309.0","-12,461.0","-13,145.0","-12,949.0","-13,445.0","-14,125.0"
"233","206","    Personal interest payments (198)","A2109C1","-1,006.0","-1,020.0","-1,009.0","-969.0","-925.0","-881.0","-857.0","-836.0","-803.0","-760.0","-733.0","-728.0","-756.0","-816.0","-856.0","-873.0","-918.0","-1,043.0","-1,250.0","-1,487.0","-1,686.0","-1,940.0","-2,278.0","-2,610.0","-2,975.0","-3,391.0","-3,861.0","-4,550.0","-5,282.0","-5,941.0","-6,681.0","-7,478.0","-8,223.0","-9,186.0","-9,948.0","-11,004.0","-12,113.0","-13,166.0","-13,981.0","-15,307.0","-16,863.0","-18,263.0","-20,325.0","-23,425.0","-27,688.0","-31,773.0","-34,415.0","-40,391.0","-47,940.0","-57,962.0","-71,072.0","-84,810.0","-98,859.0","-112,283.0","-122,275.0","-140,341.0","-155,380.0","-172,235.0","-184,300.0","-197,630.0","-214,343.0","-227,158.0","-232,256.0","-234,026.0","-229,481.0","-231,445.0","-252,033.0","-262,177.0","-277,593.0","-288,837.0","-306,690.0","-335,989.0","-356,693.0","-372,475.0","-381,699.0","-406,292.0","-459,466.0","-529,330.0","-577,919.0","-590,457.0"
"234",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","207","Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0"
"236","208","  Imputations","A2023C1","9,612.0","9,051.0","8,142.0","6,959.0","6,390.0","6,413.0","6,785.0","7,072.0","7,488.0","7,537.0","7,631.0","7,784.0","9,031.0","11,902.0","16,387.0","20,377.0","22,721.0","24,095.0","23,572.0","24,074.0","23,974.0","24,492.0","27,870.0","31,025.0","34,325.0","37,024.0","39,632.0","43,026.0","46,324.0","49,068.0","52,668.0","56,354.0","59,865.0","64,006.0","67,571.0","71,912.0","76,557.0","82,030.0","88,098.0","95,302.0","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,749.0","1,980,302.0","2,096,511.0","2,224,821.0"
"237","209","    Owner-occupied housing (133-134)","A2024C1","5,730.0","5,450.0","4,996.0","4,343.0","3,778.0","3,567.0","3,582.0","3,643.0","3,827.0","4,023.0","4,058.0","4,145.0","4,478.0","4,972.0","5,455.0","5,961.0","6,406.0","6,690.0","7,353.0","8,267.0","9,219.0","10,410.0","11,969.0","13,783.0","15,630.0","17,423.0","18,978.0","20,630.0","22,441.0","24,325.0","26,502.0","28,758.0","30,849.0","33,230.0","35,254.0","37,251.0","39,657.0","42,224.0","44,922.0","47,537.0","51,521.0","55,324.0","60,994.0","66,175.0","71,656.0","78,415.0","86,122.0","93,240.0","101,958.0","114,766.0","129,575.0","150,446.0","171,652.0","190,417.0","206,239.0","223,707.0","242,970.0","260,225.0","280,299.0","304,731.0","328,257.0","353,910.0","374,519.0","395,052.0","417,417.0","450,063.0","480,182.0","507,609.0","538,715.0","569,726.0","615,530.0","659,732.0","706,486.0","733,176.0","748,458.0","790,886.0","849,050.0","908,310.0","955,654.0","1,029,709.0"
"238","210","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (142+143+144)","A2050C1","324.0","327.0","312.0","294.0","282.0","292.0","296.0","308.0","331.0","336.0","338.0","347.0","364.0","382.0","391.0","399.0","403.0","464.0","589.0","665.0","703.0","756.0","885.0","956.0","1,018.0","1,070.0","1,151.0","1,294.0","1,428.0","1,503.0","1,572.0","1,686.0","1,806.0","1,948.0","2,110.0","2,313.0","2,550.0","2,839.0","3,161.0","3,517.0","3,958.0","4,465.0","4,992.0","5,556.0","6,281.0","7,277.0","8,552.0","9,253.0","10,104.0","11,393.0","12,926.0","14,902.0","17,062.0","19,298.0","21,296.0","24,091.0","24,797.0","27,022.0","28,492.0","31,006.0","33,552.0","35,957.0","38,660.0","41,054.0","44,622.0","44,981.0","47,063.0","49,200.0","51,663.0","54,865.0","58,399.0","61,992.0","65,542.0","68,468.0","71,282.0","75,041.0","79,003.0","83,372.0","88,418.0","93,167.0"
"239","211","    Financial services furnished without payment (147+148+150+152+153+158)","A2025C1","1,081.0","974.0","800.0","648.0","574.0","604.0","672.0","769.0","788.0","787.0","848.0","821.0","841.0","944.0","1,113.0","1,308.0","1,461.0","1,613.0","1,554.0","1,672.0","1,735.0","1,880.0","2,019.0","2,211.0","2,727.0","2,954.0","3,382.0","3,758.0","3,904.0","3,935.0","4,272.0","4,747.0","5,005.0","5,252.0","5,208.0","6,042.0","6,403.0","6,971.0","7,725.0","8,442.0","11,281.0","13,338.0","14,257.0","15,783.0","17,598.0","21,287.0","27,372.0","27,366.0","30,284.0","35,412.0","37,531.0","37,729.0","37,485.0","40,822.0","62,331.0","61,879.0","77,812.0","92,451.0","93,535.0","92,653.0","88,050.0","93,919.0","107,340.0","123,579.0","125,970.0","128,061.0","126,840.0","136,134.0","148,240.0","159,037.0","171,772.0","181,550.0","180,126.0","187,974.0","183,715.0","200,615.0","207,087.0","208,501.0","235,910.0","254,032.0"
"240","212","    Premium supplements for property and casualty insurance (160+161+165-166)","W569RC1","23.0","23.0","22.0","20.0","20.0","22.0","23.0","26.0","28.0","27.0","28.0","29.0","31.0","36.0","39.0","41.0","42.0","46.0","55.0","62.0","65.0","69.0","79.0","95.0","112.0","120.0","126.0","136.0","152.0","170.0","188.0","205.0","220.0","233.0","251.0","273.0","302.0","346.0","391.0","432.0","483.0","563.0","705.0","774.0","844.0","921.0","1,090.0","1,323.0","1,707.0","1,978.0","2,271.0","2,644.0","3,039.0","3,455.0","4,140.0","4,924.0","6,137.0","7,391.0","8,499.0","9,204.0","9,706.0","10,336.0","10,615.0","10,850.0","11,807.0","11,801.0","11,227.0","11,573.0","11,651.0","11,410.0","10,776.0","11,415.0","10,607.0","9,457.0","9,227.0","8,590.0","10,578.0","8,701.0","7,139.0","8,209.0"
"241","213","    Employment-related imputations (170)","A2099C1","440.0","418.0","353.0","293.0","278.0","313.0","351.0","375.0","418.0","396.0","402.0","438.0","645.0","1,148.0","1,934.0","2,666.0","3,137.0","3,116.0","2,105.0","2,393.0","2,464.0","2,441.0","3,260.0","3,550.0","3,722.0","3,776.0","3,928.0","4,273.0","4,786.0","5,284.0","5,839.0","6,243.0","6,762.0","7,316.0","7,800.0","8,585.0","9,546.0","10,586.0","11,573.0","13,568.0","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,058.0","543,101.0","563,864.0","577,344.0"
"242","214","    Farm products consumed on farms (167)","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","398.0","383.0","310.0","289.0","288.0","275.0","244.0","253.0","213.0","217.0","173.0","193.0","166.0","146.0","125.0","115.0","103.0","101.0","111.0","136.0","139.0","153.0","148.0","148.0"
"243","215","    Margins on owner-built housing (179)","B1173C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","243.0","296.0","247.0","239.0","209.0","262.0","185.0","175.0","166.0","167.0","231.0","228.0","275.0","302.0","370.0","390.0","352.0","342.0","397.0","447.0","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","3,025.0","2,682.0"
