"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.299,58.454,61.55,64.766,68.116,70.788,72.944,75.776,77.093,78.437,81.274,83.172,84.953,86.663,89.58,91.992,94.791,97.376,100,102.863,105.676,109.989,112.281
"184","177","            All other professional medical services","DOMORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.301,58.482,61.58,64.794,68.145,70.793,72.95,75.785,77.096,78.509,81.289,83.185,84.962,86.672,89.592,92.008,94.79,97.389,100,102.851,105.691,110.012,112.304
"185","178","      Hospital and nursing home services","DHPNRG3",5.56,6.282,6.448,6.58,6.803,7.1,7.308,7.527,8.002,8.566,9.158,9.897,10.284,10.794,11.431,12.575,13.932,15.205,16.415,17.872,19.759,22.31,25.329,28.665,31.661,34.224,36.276,38.271,40.787,44.323,49.022,54.025,59.068,63.932,67.687,70.119,72.812,75.027,76.107,77.149,78.771,81.278,84.17,87.282,91.967,96.348,100,104.15,107.989,111.357,114.507
"186","179","        Hospitals (51)","DHSPRG3",5.198,5.905,6.062,6.188,6.39,6.672,6.869,7.073,7.519,8.043,8.607,9.298,9.652,10.138,10.746,11.796,13.095,14.348,15.535,16.91,18.728,21.252,24.277,27.717,30.841,33.511,35.651,37.775,40.411,44.174,49.245,54.613,60.149,65.627,69.776,72.308,74.867,76.674,77.31,77.879,79.227,81.327,83.737,86.806,91.854,96.338,100,104.377,108.023,111.233,114.258
"187","180","          Nonprofit hospitals' services to households","DNPHRG3",5.197,5.904,6.062,6.187,6.39,6.671,6.869,7.072,7.518,8.042,8.608,9.297,9.651,10.137,10.745,11.797,13.095,14.348,15.535,16.908,18.727,21.252,24.272,27.716,30.837,33.509,35.65,37.773,40.411,44.174,49.243,54.613,60.146,65.624,69.773,72.305,74.865,76.674,77.31,77.879,79.227,81.323,83.736,86.805,91.855,96.343,100,104.373,108.015,111.23,114.257
"188","181","          Proprietary hospitals","DFPHRG3",5.197,5.904,6.062,6.187,6.39,6.671,6.868,7.072,7.518,8.042,8.608,9.297,9.651,10.137,10.745,11.797,13.095,14.348,15.535,16.912,18.731,21.255,24.28,27.728,30.848,33.524,35.658,37.781,40.413,44.176,49.244,54.608,60.144,65.606,69.771,72.312,74.874,76.676,77.309,77.875,79.222,81.323,83.741,86.831,91.859,96.327,100,104.37,108.033,111.224,114.247
"189","182","          Government hospitals","DGVHRG3",5.198,5.906,6.062,6.188,6.39,6.674,6.87,7.074,7.52,8.044,8.604,9.299,9.654,10.142,10.746,11.791,13.096,14.348,15.535,16.914,18.729,21.247,24.29,27.712,30.847,33.51,35.651,37.776,40.405,44.169,49.25,54.61,60.16,65.642,69.786,72.316,74.867,76.673,77.31,77.881,79.227,81.338,83.738,86.794,91.847,96.329,100,104.396,108.041,111.25,114.269
"190","183","        Nursing homes (52)","DNRSRG3",8.552,8.963,9.178,9.349,9.744,10.141,10.424,10.761,11.442,12.289,13.081,14.159,14.783,15.467,16.313,18.118,19.884,21.298,22.66,24.7,27.073,29.794,32.741,35.236,37.282,39.145,40.676,41.923,43.768,46.048,48.821,52.075,54.84,56.913,58.921,60.93,64.209,68.127,71.051,74.071,76.868,81.172,86.276,89.598,92.519,96.395,100,102.988,107.836,112.038,115.873
"191","184","          Nonprofit nursing homes' services to households","DNPNRG3",8.552,8.963,9.178,9.348,9.743,10.14,10.424,10.761,11.441,12.289,13.08,14.159,14.783,15.466,16.312,18.118,19.884,21.297,22.659,24.7,27.073,29.793,32.74,35.235,37.281,39.144,40.675,41.922,43.797,46.043,48.807,52.071,54.843,56.914,58.923,60.928,64.203,68.129,71.057,74.078,76.872,81.177,86.28,89.599,92.517,96.396,100,102.996,107.836,112.047,115.897
"192","185","          Proprietary and government nursing homes","DFPNRG3",8.552,8.963,9.177,9.348,9.743,10.14,10.424,10.761,11.441,12.288,13.08,14.159,14.782,15.466,16.312,18.117,19.883,21.297,22.659,24.699,27.072,29.793,32.739,35.235,37.28,39.144,40.674,41.921,43.752,46.05,48.828,52.078,54.838,56.912,58.92,60.93,64.211,68.125,71.048,74.067,76.866,81.17,86.273,89.597,92.52,96.394,100,102.983,107.836,112.033,115.887
"193","186","    Transportation services","DTRSRG3",15.543,15.891,16.355,16.707,16.779,17,17.294,17.608,18.266,19.089,20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.622,112.403,115.461
"194","187","      Motor vehicle services","DMVSRG3",14.903,15.141,15.499,15.682,15.853,16.027,16.326,16.566,17.206,18.021,19.065,20.34,21.668,22.533,23.736,26.004,29.153,31.188,33.443,36.037,39.536,43.607,47.6,51.142,53.366,55.206,56.793,58.929,61.361,63.756,66.347,68.905,71.577,73.79,76.041,78.296,80.285,81.843,82.991,84.574,86.318,88.732,91.656,94.094,95.792,97.155,100,103.515,106.344,111.154,116.912
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRG3",13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447,18.741,20.092,20.974,22.145,24.378,27.493,29.488,31.706,34.28,37.595,41.443,45.217,48.526,50.564,52.168,53.535,55.155,57.191,59.482,61.861,64.262,66.968,69.417,71.442,73.334,75.013,76.938,78.919,80.844,83.066,85.705,88.685,91.933,94.53,96.733,100,104.211,107.749,112.995,117.605
"196","189","        Other motor vehicle services (61)","DOVSRG3",25.78,25.911,26.03,26.115,26.11,26.178,26.306,26.406,26.591,26.793,27.114,27.513,27.938,28.231,29.225,30.859,33.022,34.596,36.277,37.993,41.825,46.345,50.766,55.009,58.034,61.166,63.915,69.216,73.89,76.324,79.721,82.672,84.504,85.161,88.164,91.659,94.625,95.01,93.933,94.676,95.268,97.188,100.015,100.375,99.517,98.38,100,101.633,102.666,106.406,115.079
"197","190","          Motor vehicle leasing","DMVLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.516,34.711,38.864,41.673,44.74,47.732,52.412,57.915,63.226,68.279,71.868,76.129,79.735,86.103,90.635,94.516,96.28,97.444,100.669,99.914,101.676,105.504,109.387,109.285,105.663,103.969,103.579,104.85,108.878,106.853,104.428,100.919,100,100.439,99.933,102.439,110.361
"198","191","            Auto leasing","DALERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.604,94.479,96.258,97.416,100.646,99.903,101.655,105.445,109.389,109.27,105.675,103.975,103.583,104.866,108.881,106.853,104.452,100.957,100,100.417,99.907,102.435,110.442
"199","192","            Truck leasing","DTLERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.73,94.708,96.302,97.505,100.702,99.893,101.705,105.667,109.396,109.326,105.659,103.974,103.587,104.844,108.886,106.867,104.409,100.883,100,100.463,99.961,102.437,110.51
"200","193","          Motor vehicle rental","DMVRRG3",13.688,13.96,14.384,14.517,14.724,14.863,15.137,15.486,16.106,16.942,18.051,19.362,20.745,21.708,22.879,25.217,28.405,30.486,32.785,34.897,38.323,42.327,46.279,50.034,52.677,55.803,58.438,63.119,67.846,69.436,73.019,76.321,77.258,78.503,82.508,85.602,87.768,88.944,92.096,95.509,98.187,101.041,97.145,102.463,101.355,98.502,100,103.517,106.571,110.365,120.404
"201","194","          Parking fees and tolls","DPFTRG3",19.805,19.842,19.822,19.86,19.794,19.816,19.856,19.852,19.853,19.814,19.808,19.814,19.816,19.814,20.401,21.239,22.309,23.146,24.008,24.947,27.496,30.517,33.479,36.341,38.394,40.3,42.012,45.65,49.012,50.582,53.609,56.47,57.461,58.757,62.058,64.862,66.505,67.413,69.793,74.962,76.83,79.959,83.601,86.613,89.036,93.391,100,102.921,106.33,113.327,122.153
"202","195","      Public transportation","DPUBRG3",17.819,18.415,19.136,19.893,19.732,20.076,20.369,20.878,21.609,22.489,24.024,26.336,28.428,29.415,30.238,32.33,35.322,38.26,40.717,42.572,45.707,58.199,68.484,69.985,71.929,75.463,75.554,71.88,75.108,79.963,84.09,87.241,87.511,89.516,93.528,90.8,92.032,91.529,95.633,96.941,96.921,100.351,95.723,90.302,93.137,94.598,100,106.13,107.384,115.786,111.411
"203","196","        Ground transportation (63)","DGRDRG3",11.019,11.293,11.657,12.075,12.251,12.566,12.803,13.263,13.975,14.717,15.636,17.383,18.835,19.662,19.966,21.072,23.101,24.989,26.731,28.163,30.262,35.03,41.047,45.151,47.354,50.233,52.13,55.795,57.368,59.606,61.413,64.382,67.485,70.226,71.109,71.761,72.565,77.961,79.211,79.863,79.862,81.862,84.416,86.596,91.57,95.997,100,104.699,106.315,111.373,116.127
"204","197","          Railway transportation","DIRRRG3",13.744,13.978,14.402,14.544,14.121,14.161,14.19,14.179,14.25,14.515,15.399,16.722,18.08,17.736,17.524,19.251,21.589,23.573,25.717,27.734,30.229,35.67,42.422,47.58,51.158,54.035,56.002,59.309,62.648,66.072,73.531,76.426,78.514,79.644,80.878,81.686,86.046,91.712,91.607,93.841,97.32,100.373,105.255,109.135,108.013,98.795,100,108.887,106.716,111.741,111.777
"205","198","          Road transportation","DROTRG3",10.639,10.921,11.277,11.739,12.008,12.367,12.639,13.177,13.995,14.81,15.738,17.544,19.013,19.965,20.328,21.367,23.372,25.26,26.974,28.364,30.442,35.181,41.169,45.208,47.312,50.205,52.107,55.807,57.29,59.474,61.002,63.982,67.14,69.947,70.82,71.467,72.178,77.563,78.845,79.459,79.379,81.352,83.847,85.983,91.114,95.917,100,104.58,106.311,111.371,116.285
"206","199","            Intercity buses","DIBURG3",11.146,11.682,11.541,11.741,11.944,12.069,12.364,12.704,13.209,13.897,14.622,15.656,17.531,18.519,19.26,21.228,24.547,26.009,29.48,31.757,34.414,39.271,44.813,48.737,53.005,57.591,61.549,67.912,66.751,69.298,71.231,72.882,76.331,77.553,75.07,75.017,72.787,74.15,74.505,78.547,80.392,84.131,86.835,89.609,92.921,96.529,100,107.237,108.097,114.979,119.48
"207","200","            Taxicabs","DTAXRG3",11.13,11.19,11.503,12.189,12.504,13.229,13.609,14.181,15.028,15.867,16.494,17.493,19.017,20.065,20.694,22.802,25.161,26.578,28.51,30.509,33.161,38.816,42.437,44.798,45.402,46.478,47.797,49.241,52.383,56.452,57.721,59.995,65.029,66.92,68.818,69.731,70.944,78.63,81.73,79.935,78.903,80.028,82.445,84.249,90.258,95.609,100,103.378,105.514,109.746,114.88
"208","201","            Intracity mass transit","DIMTRG3",10.665,10.999,11.506,11.953,12.229,12.508,12.735,13.347,14.302,15.188,16.418,19.21,20.496,21.384,21.329,21.05,22.219,24.798,25.59,26.145,27.635,31.913,39.442,44.347,46.001,49.092,50.494,54.552,55.988,57.169,58.664,62.342,64.716,68.309,70.008,70.834,72.714,79.554,80.791,79.906,78.91,80.03,82.412,84.252,90.259,95.59,100,103.359,105.492,109.724,114.857
"209","202","            Other road transportation service","DORTRG3",11.147,11.681,11.54,11.741,11.944,12.069,12.364,12.704,13.209,13.898,14.622,15.654,17.532,18.52,19.259,21.237,24.545,26.014,29.485,31.757,34.401,39.268,44.818,48.736,53.054,57.632,61.616,67.939,66.756,69.352,71.239,72.842,76.347,77.535,75.006,74.984,72.787,74.148,74.478,78.582,80.381,84.115,86.832,89.598,92.918,96.617,100,107.3,108.111,115.078,119.389
"210","203","        Air transportation (64)","DAITRG3",24.493,26.209,27.917,29.356,27.238,27.115,27.235,27.3,27.335,27.917,30.046,32.348,34.755,35.591,37.06,40.121,43.693,47.385,50.218,52.2,56.014,75.778,89.413,87.36,88.693,92.489,90.802,81.016,85.364,92.04,97.771,100.91,98.856,100.133,106.512,101.125,102.578,97.795,103.714,105.227,105.359,110.346,101.631,91.409,93.59,93.606,100,107.334,108.489,119.566,109.534
"211","204","        Water transportation (65)","DWATRG3",27.786,28.894,29.525,29.94,30.698,31.043,32.009,33.26,34.287,35.861,38.274,41.373,43.574,45.519,47.518,51.444,56.24,60.579,65.029,69.949,73.495,78.644,82.807,86.253,89.251,91.99,95.343,100.206,102.748,104.245,108.251,113.109,117.718,121.444,124.831,127.591,131.494,134.908,138.513,145.453,140.867,125.979,114.001,109.477,100.4,98.818,100,99.627,99.109,97.477,88.357
"212","205","    Recreation services","DRCARG3",16.475,17.087,17.56,17.978,18.367,18.881,19.266,19.773,20.465,21.56,22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.213,109.517,110.785
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRG3",13.032,13.725,14.278,14.756,15.227,15.863,16.377,17.019,17.777,18.862,19.957,21.344,22.435,23.164,24.069,25.867,27.91,29.579,31.277,33.386,35.536,37.944,40.094,42.344,44.474,46.53,48.677,51.016,53.184,55.144,58.136,61.202,64.296,66.019,67.81,70.105,71.747,74.283,76.634,78.54,82.167,86.016,89.303,91.738,95.119,97.41,100,103.61,106.916,109.797,111.087
"214","207","        Membership clubs and participant sports centers","DMDFRG3",13.809,14.71,15.443,16.108,16.724,17.29,17.288,17.563,18.129,18.796,19.359,20.147,21.093,21.645,22.494,23.778,25.232,26.631,28.07,30.336,32.528,35.492,38.781,42.119,44.782,47.179,49.788,52.59,55.687,58.726,62.036,65.335,69.081,71.945,75.354,79.154,79.046,81.556,84.948,87.226,90.076,92.749,95.097,96.188,98.891,99.372,100,103.772,105.357,107.162,107.059
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRG3",15.675,16.121,16.461,16.696,17.032,17.318,17.725,18.342,18.963,19.931,21.242,23.014,24.245,25.211,26.221,28.654,31.22,33.708,36.194,38.592,40.586,43.423,45.642,47.583,49.167,50.658,52.554,55.231,56.652,57.49,59.738,62.471,65.063,66.96,68.728,70.277,72.437,74.334,76.37,78.412,81.86,85.563,88.943,91.653,95.394,97.711,100,103.501,106.776,109.446,110.829
"216","209","        Admissions to specified spectator amusements","DADMRG3",11.078,11.718,12.231,12.689,13.124,13.944,14.769,15.589,16.488,17.819,19.01,20.388,21.424,22.051,22.885,24.394,26.278,27.36,28.504,30.235,32.449,34.121,35.537,37.479,39.837,42.238,44.33,46.004,48.15,50.358,53.902,57.172,60.333,60.994,61.634,63.734,65.98,69.25,71.177,72.686,77.029,81.802,85.732,88.863,92.27,95.743,100,103.594,108.127,112.105,114.289
"217","210","          Motion picture theaters","DMOVRG3",9.595,10.221,10.745,11.214,11.627,12.569,13.561,14.602,15.697,17.213,18.619,20.441,21.64,22.22,23.1,24.72,26.75,27.847,29.012,30.711,32.965,34.653,36.098,38.065,40.462,42.912,45.039,46.745,48.975,51.17,54.756,58.132,61.232,61.957,62.617,64.782,67.067,70.355,72.31,73.854,78.444,83.43,86.502,89.223,93.883,96.853,100,103.504,107.582,110.027,111.743
"218","211","          Live entertainment, excluding sports","DLIGRG3",9.601,10.222,10.74,11.219,11.635,12.597,13.54,14.612,15.692,17.214,18.632,20.427,21.629,22.233,23.134,24.651,26.765,27.884,29.009,30.737,32.978,34.691,36.123,38.086,40.497,42.925,45.059,46.754,48.898,51.168,54.801,58.064,61.365,61.998,62.639,64.769,67.023,70.357,72.341,73.866,78.394,83.417,86.491,89.313,93.839,96.865,100,103.529,107.569,110.026,111.711
"219","212","          Spectator sports","DSPERG3",15.543,16.002,16.301,16.6,17.055,17.357,17.654,17.809,18.205,19.108,19.862,20.414,21.164,21.871,22.619,23.974,25.535,26.585,27.717,29.511,31.67,33.305,34.684,36.594,38.885,41.226,43.26,44.895,46.978,49.154,52.601,55.788,58.907,59.539,60.164,62.192,64.41,67.616,69.479,70.951,74.969,79.386,84.679,88.379,89.986,94.153,100,103.697,108.868,114.809,117.639
"220","213","        Museums and libraries","DMUSRG3",9.608,10.226,10.755,11.216,11.656,12.581,13.562,14.593,15.726,17.225,18.66,20.444,21.637,22.237,23.147,24.655,26.764,27.885,29.017,30.724,32.974,34.692,36.127,38.087,40.487,42.901,45.056,46.739,48.963,51.172,54.743,58.081,61.322,61.991,62.639,64.772,67.021,70.354,72.341,73.878,78.379,83.417,86.522,89.297,93.85,96.868,100,103.531,107.57,110.018,111.697
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRG3",25.524,25.883,26.142,26.374,26.5,26.632,26.496,26.343,26.819,27.893,28.042,27.985,28.644,28.851,29.273,30.333,31.957,32.794,33.466,34.871,36.769,39.393,41.694,43.728,45.236,47.097,49.273,51.195,53.253,55.536,58.309,61.936,66.036,68.798,71.945,72.19,73.454,76.371,80.064,82.835,84.677,87.073,89.335,93.041,95.619,98.058,100,103.166,104.739,107.172,109.238
"222","215","        Cable and satellite television and radio services","DCTVRG3",10.943,11.202,11.862,11.861,11.794,12.145,12.665,13.112,13.78,14.736,15.535,16.356,17.211,17.618,18.213,19.311,20.51,21.406,22.249,23.399,24.548,26.33,27.668,28.802,29.749,31.272,33.286,34.766,37.079,40.05,43.362,47.684,52.893,56.043,59.889,59.433,60.416,64,68.85,73.895,76.729,80.412,83.877,88.872,93.281,97.153,100,103.924,105.905,108.447,110.765
"223","216","        Photo processing","DFDVRG3",35.723,36.031,37,37.781,38.184,38.632,39.401,39.843,40.67,45.105,45.469,45.274,47.431,47.499,47.034,47.784,49.791,50.239,49.44,50.577,53.138,56.845,59.813,62.334,64.374,66.322,68.787,72.316,74.154,75.24,78.171,81.738,85.159,87.623,89.961,91.968,94.806,97.315,99.959,100.492,100.333,101.092,100.434,100.88,101.146,100.779,100,99.666,99.294,100.842,106.01
"224","217","        Photo studios","DPICRG3",25.576,25.912,26.288,27.025,27.223,27.735,28.133,28.408,29.117,30.116,30.646,31.748,32.216,32.617,33.271,35.703,39.444,41.152,42.629,44.739,47.014,50.234,52.892,55.153,56.966,58.668,60.886,64.01,65.647,66.603,69.205,72.382,75.395,77.581,79.642,81.428,83.926,86.142,88.483,89.305,90.002,91.547,94.32,98.135,100.163,99.972,100,100.931,102.408,104.128,105.388
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRG3",39.036,39.612,39.675,39.744,39.897,39.756,38.809,37.955,38.318,38.815,38.384,37.104,37.523,37.6,38.241,39.028,40.247,41.039,42.119,43.981,46.792,50.233,54.182,58.206,60.978,64.145,66.765,68.684,70.618,72.688,73.909,76.351,78.753,82.783,87.012,88.486,90.15,93.744,96.166,97.095,96.703,97.001,97.409,98.649,99.499,100.042,100,100.393,98.837,98.53,97.223
"226","219","        Video media rental","DVIDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,115.306,109.574,109.942,108.295,106.234,105.974,100.321,99.271,100,103.929,106.512,112.401,116.111
"227","220","      Gambling (91)","DGAMRG3",16.456,16.699,16.879,17.078,17.292,17.521,17.794,18.332,18.838,19.642,20.706,21.921,22.853,23.602,25.088,27.834,30.379,32.155,34.231,36.572,39.998,44.345,48.468,51.304,53.414,55.597,57.475,58.531,60.473,62.709,65.378,68.669,71.186,73.052,74.943,76.554,78.423,80.542,82.258,83.479,85.331,88.179,90.659,92.118,94.223,96.739,100,103.225,106.186,110.214,109.826
"228","221","        Casino gambling","DCASRG3",16.443,16.688,16.865,17.064,17.283,17.507,17.78,18.319,18.828,19.633,20.691,21.898,22.836,23.591,25.085,27.846,30.364,32.183,34.264,36.565,39.995,44.368,48.481,51.286,53.407,55.583,57.46,58.524,60.462,62.701,65.374,68.679,71.191,73.059,74.957,76.554,78.428,80.547,82.258,83.479,85.345,88.181,90.657,92.121,94.226,96.738,100,103.224,106.192,110.218,109.827
"229","222","        Lotteries","DLOTRG3",16.439,16.685,16.864,17.062,17.276,17.527,17.722,18.427,18.892,19.638,20.701,21.956,22.884,23.616,25.101,27.844,30.389,32.128,34.212,36.566,40,44.316,48.462,51.337,53.422,55.611,57.492,58.53,60.474,62.71,65.378,68.645,71.175,73.039,74.919,76.549,78.409,80.529,82.253,83.473,85.294,88.172,90.663,92.113,94.216,96.736,100,103.225,106.168,110.203,109.815
"230","223","        Pari-mutuel net receipts","DPARRG3",16.443,16.685,16.865,17.064,17.277,17.507,17.78,18.317,18.82,19.626,20.691,21.907,22.835,23.581,25.063,27.798,30.36,32.111,34.179,36.551,39.966,44.292,48.414,51.283,53.386,55.579,57.453,58.522,60.468,62.697,65.355,68.66,71.162,73.023,74.912,76.54,78.409,80.528,82.26,83.481,85.306,88.173,90.66,92.11,94.219,96.748,100,103.235,106.18,110.21,109.828
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRG3",16.567,16.877,17.029,17.299,17.512,17.975,18.514,19.249,19.98,21.306,22.395,23.28,24.972,25.769,26.694,28.799,31.055,32.629,34.379,36.273,38.463,41.251,43.831,46.228,48.055,49.937,51.849,53.751,55.244,57.028,59.52,62.23,64.898,66.455,67.914,69.633,71.291,72.944,74.418,76.166,78.711,82.817,86.488,89.421,92.827,96.248,100,103.532,107.842,112.821,116.797
"232","225","        Veterinary and other services for pets","DVETRG3",14.291,14.479,14.64,14.888,15.039,15.481,16.01,16.704,17.387,18.706,19.621,20.746,21.806,22.363,22.974,24.318,25.893,26.956,28.087,29.515,31.35,33.468,35.652,37.925,39.849,41.667,43.536,45.544,47.241,49.059,51.644,54.237,56.877,58.244,59.779,61.555,62.975,64.725,66.225,68.149,70.909,76.29,81.061,85.324,89.783,94.684,100,104.116,110.247,117.049,122.719
"233","226","        Package tours","DHOLRG3",15.674,16.117,16.463,16.695,17.028,17.32,17.729,18.361,18.977,19.927,21.246,23.014,24.249,25.213,26.229,28.65,31.226,33.725,36.202,38.595,40.6,43.392,45.644,47.602,49.167,50.663,52.575,55.24,56.654,57.501,59.758,62.491,65.052,66.963,68.738,70.269,72.448,74.356,76.368,78.433,81.881,85.551,88.935,91.641,95.394,97.712,100,103.521,106.768,109.423,110.833
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",28.144,29.054,28.82,29.16,29.7,30.205,30.548,31.264,32.132,33.353,34.972,32.594,38.745,40.619,43.07,49.222,55.185,58.176,62.47,66.017,70.251,76.632,81.758,85.078,86.108,88.722,90.568,89.998,90.384,93.675,96.23,99.522,102.632,104.099,104.063,105.871,107.002,106.91,106.145,105.522,104.186,103.044,102.621,100.841,99.852,99.616,100,101.456,100.839,102.523,103.809
"235","228","    Food services and accommodations","DFSARG3",13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.348,111.599,114.315
"236","229","      Food services","DFSERG3",13.404,13.775,14.058,14.422,14.751,14.984,15.281,15.895,16.789,17.665,18.715,20.096,21.183,21.989,23.543,26.361,28.773,30.651,32.848,35.618,39.378,43.067,46.83,49.288,51.38,53.541,55.683,57.959,60.163,62.637,65.464,68.469,71.112,72.553,73.873,75.07,76.719,78.605,80.785,82.778,84.833,86.973,89.647,92.103,94.138,96.989,100,103.188,106.985,111.681,115.552
"237","230","        Purchased meals and beverages (102)","DPMBRG3",13.408,13.78,14.062,14.425,14.754,14.987,15.281,15.888,16.788,17.665,18.712,20.092,21.182,21.986,23.531,26.339,28.746,30.62,32.81,35.573,39.32,42.997,46.752,49.207,51.298,53.458,55.602,57.882,60.083,62.558,65.382,68.384,71.036,72.48,73.802,74.999,76.647,78.534,80.714,82.716,84.776,86.945,89.664,92.125,94.122,96.978,100,103.182,106.989,111.697,115.551
"238","231","          Meals and nonalcoholic beverages","DMABRG3",13.26,13.609,13.904,14.274,14.608,14.853,15.185,15.887,16.709,17.575,18.656,20.045,21.078,21.919,23.631,26.646,29.146,31.112,33.471,36.334,40.319,44.251,48.134,50.652,52.774,54.922,57.004,59.149,61.388,63.789,66.628,69.657,71.905,73.228,74.449,75.593,77.204,79.026,81.16,83.133,85.159,87.282,89.913,92.295,94.212,97.01,100,103.042,106.727,111.44,115.373
"239","232","            Meals at schools","DMSLRG3",13.645,14.007,14.309,14.689,15.035,15.287,15.628,16.355,17.194,18.085,19.196,20.625,21.685,22.555,24.319,27.415,29.987,32.024,34.453,37.375,41.48,45.557,49.555,52.118,54.298,56.512,58.653,60.857,63.162,65.628,68.566,71.682,73.995,75.355,76.611,77.789,79.449,81.328,83.521,85.178,87.029,88.071,88.972,91.243,94.778,97.391,100,103.424,106.91,111.186,115.72
"240","233","              Elementary and secondary school lunches","DESLRG3",13.644,14.006,14.309,14.688,15.034,15.286,15.627,16.354,17.193,18.084,19.195,20.623,21.684,22.554,24.313,27.411,29.982,32.021,34.452,37.373,41.482,45.55,49.556,52.12,54.297,56.512,58.657,60.86,63.164,65.617,68.557,71.684,73.99,75.352,76.612,77.788,79.45,81.326,83.522,85.177,87.029,88.071,88.971,91.237,94.778,97.394,100,103.426,106.909,111.186,115.721
"241","234","              Higher education school lunches","DHSLRG3",13.644,14.006,14.308,14.688,15.034,15.286,15.626,16.354,17.193,18.083,19.194,20.624,21.683,22.553,24.328,27.418,29.99,32.026,34.452,37.377,41.478,45.562,49.553,52.115,54.298,56.51,58.648,60.853,63.16,65.636,68.572,71.68,73.998,75.357,76.611,77.789,79.449,81.329,83.52,85.179,87.029,88.07,88.972,91.247,94.778,97.39,100,103.422,106.91,111.186,115.709
"242","235","            Other purchased meals","DOPMRG3",13.239,13.587,13.881,14.251,14.584,14.829,15.161,15.86,16.682,17.546,18.626,20.013,21.044,21.884,23.592,26.603,29.098,31.061,33.417,36.276,40.254,44.178,48.055,50.57,52.689,54.833,56.911,59.054,61.289,63.686,66.52,69.544,71.788,73.109,74.328,75.47,77.078,78.897,81.028,83.019,85.054,87.238,89.966,92.355,94.182,96.99,100,103.022,106.718,111.454,115.354
"243","236","              Meals at limited service eating places","DMLSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.192,63.573,66.406,69.416,71.657,72.979,74.193,75.337,76.94,78.747,80.881,82.719,84.584,86.851,89.506,92.052,93.817,96.854,100,102.902,106.63,111.808,116.498
