"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"57","38","    Domestic business","W995RC1","-17,790.0","-21,600.0","-27,310.0","-29,567.0","-22,060.0","-18,678.0","-19,405.0","-12,281.0","-15,397.0","-14,047.0","-11,532.0","-10,993.0","-11,935.0","-8,736.0","-18,133.0","-31,377.0","-30,211.0","-33,869.0","-40,213.0","-54,499.0","-48,996.0","-58,429.0","-48,837.0","-47,481.0","9,161.0","27,032.0","19,253.0","27,295.0","14,614.0","-10.0","-7,217.0","7,275.0","6,134.0","-1,502.0","-12,031.0","-32,373.0","-40,771.0","-33,011.0","-30,154.0","-29,652.0","-59,843.0","-44,889.0","-29,342.0","-41,945.0","-46,546.0","-34,519.0","-16,799.0","-70,993.0","-69,755.0","-77,853.0","-121,731.0","-108,474.0","-85,188.0","-65,356.0","-56,289.0","5,624.0","40,113.0","30,430.0","47,003.0","8,076.0","-68,355.0","-82,987.0","-95,541.0","-86,357.0","-54,729.0","-51,277.0","-9,414.0","-34,549.0","-42,022.0","-26,806.0","19,617.0","1,186.0","-14,120.0","-3,357.0","-6,912.0","-42,567.0","-17,007.0","-13,844.0","-39,388.0","-34,841.0","-82,028.0","-22,342.0","11,143.0","9,740.0","30,289.0","31,275.0","21,080.0","60,825.0","97,259.0","130,246.0","131,114.0","113,490.0","152,032.0","132,779.0","122,327.0","164,793.0","143,712.0","127,335.0","170,407.0","125,535.0","76,498.0","63,426.0","69,124.0","28,249.0","-1,047.0","31,804.0","26,814.0","48,566.0","54,112.0","22,688.0","-26,754.0","-38,854.0","-48,865.0","-83,928.0","-86,940.0","-141,629.0","-279,809.0","-289,222.0","-308,656.0","-274,969.0","-288,857.0","-239,314.0","-244,966.0","-277,914.0","-452,845.0","-441,590.0","-476,680.0","-411,160.0","-392,950.0","-232,231.0","-145,237.0","29,113.0","-2,279.0","2,008.0","81,519.0","99,820.0","82,937.0","109,744.0","176,889.0","115,452.0","193,180.0","91,663.0","54,812.0","-72,331.0","52,126.0","100,402.0","90,648.0","-54,416.0","-149,370.0","-218,606.0","-281,148.0","-353,714.0","-285,932.0","-230,074.0","-112,803.0","-99,878.0","-289,879.0","-181,034.0","-81,680.0","117,246.0","623,366.0","822,098.0","796,567.0","779,700.0","574,282.0","590,780.0","460,317.0","538,623.0","447,478.0","543,544.0","540,927.0","441,184.0","....."
"58","39","    Households and institutions","W996RC1","15,517.0","18,399.0","30,143.0","32,924.0","33,332.0","44,703.0","49,168.0","46,286.0","46,836.0","48,990.0","44,736.0","37,764.0","28,389.0","23,321.0","28,212.0","41,344.0","35,104.0","49,042.0","53,563.0","71,420.0","72,332.0","65,217.0","67,706.0","85,198.0","75,678.0","111,260.0","78,211.0","78,135.0","70,365.0","67,977.0","69,665.0","55,314.0","33,448.0","38,939.0","48,126.0","59,237.0","60,727.0","44,535.0","50,899.0","54,155.0","71,249.0","65,424.0","62,630.0","78,311.0","93,315.0","129,654.0","135,181.0","146,850.0","136,356.0","140,789.0","189,500.0","218,243.0","209,713.0","220,821.0","218,044.0","184,170.0","167,764.0","129,691.0","116,017.0","127,437.0","163,435.0","174,543.0","200,950.0","195,177.0","144,173.0","177,463.0","105,385.0","127,213.0","133,708.0","128,703.0","92,532.0","75,825.0","105,525.0","28,241.0","53,627.0","96,037.0","90,088.0","99,395.0","103,173.0","95,582.0","128,789.0","102,499.0","97,701.0","110,560.0","112,271.0","133,380.0","136,833.0","152,239.0","183,933.0","183,868.0","170,360.0","205,367.0","197,943.0","202,372.0","215,361.0","127,407.0","178,188.0","136,524.0","93,914.0","59,657.0","103,194.0","71,433.0","73,449.0","99,628.0","148,870.0","114,703.0","99,631.0","86,745.0","73,010.0","56,747.0","65,907.0","54,356.0","40,751.0","52,546.0","16,307.0","27,629.0","104,761.0","75,389.0","50,751.0","-5,259.0","-12,346.0","-104,327.0","-139,700.0","-135,602.0","-107,078.0","-101,317.0","-93,177.0","-145,266.0","-124,706.0","-168,761.0","-6,887.0","-212,602.0","-36,792.0","-39,108.0","-115,343.0","-108,629.0","-106,803.0","-67,614.0","-67,284.0","-103,159.0","-161,822.0","-160,260.0","-148,773.0","-159,434.0","-352,665.0","-399,787.0","-301,461.0","-372,333.0","-355,846.0","-272,755.0","-247,179.0","-157,006.0","-168,097.0","-156,704.0","-135,094.0","-42,726.0","192,547.0","444,962.0","365,954.0","486,746.0","502,973.0","567,352.0","459,091.0","423,703.0","504,723.0","535,598.0","550,451.0","550,970.0","524,982.0","495,162.0","477,076.0","453,246.0","....."
"59","40","  Government","AD01RC1","3,874.0","3,846.0","-1,385.0","-642.0","-7,481.0","-20,804.0","-26,276.0","-31,632.0","-27,111.0","-34,884.0","-33,566.0","-29,617.0","-21,509.0","-19,361.0","-13,714.0","-12,786.0","-2,727.0","-9,801.0","-916.0","-1,601.0","-6,854.0","-4,161.0","-18,596.0","-33,361.0","-66,998.0","-116,899.0","-79,136.0","-83,866.0","-71,888.0","-59,021.0","-60,092.0","-58,812.0","-47,655.0","-46,339.0","-44,024.0","-45,871.0","-45,050.0","-24,464.0","-32,215.0","-25,862.0","-13,311.0","-23,343.0","-30,963.0","-39,072.0","-57,557.0","-85,417.0","-90,357.0","-69,282.0","-65,067.0","-62,891.0","-60,822.0","-105,305.0","-124,000.0","-138,151.0","-175,904.0","-207,163.0","-215,889.0","-187,870.0","-211,029.0","-192,379.0","-173,714.0","-179,582.0","-195,953.0","-212,354.0","-179,003.0","-237,708.0","-217,404.0","-227,978.0","-220,135.0","-243,879.0","-262,487.0","-227,426.0","-242,484.0","-179,410.0","-200,911.0","-210,637.0","-200,096.0","-195,653.0","-170,385.0","-180,502.0","-153,596.0","-173,893.0","-190,661.0","-208,766.0","-233,451.0","-237,695.0","-240,457.0","-295,746.0","-239,075.0","-299,936.0","-330,535.0","-335,841.0","-372,014.0","-374,991.0","-384,475.0","-360,838.0","-381,091.0","-337,765.0","-341,348.0","-292,811.0","-271,960.0","-246,769.0","-264,486.0","-265,782.0","-266,484.0","-264,859.0","-227,496.0","-219,310.0","-229,405.0","-188,094.0","-171,980.0","-129,137.0","-123,339.0","-70,314.0","-52,088.0","-49,351.0","10,751.0","18,354.0","33,812.0","44,974.0","57,229.0","64,375.0","71,303.0","64,628.0","173,892.0","151,566.0","139,796.0","120,991.0","94,536.0","15,352.0","-208,068.0","-162,382.0","-367,790.0","-417,168.0","-423,995.0","-480,544.0","-510,040.0","-565,801.0","-625,516.0","-511,768.0","-568,180.0","-546,124.0","-526,050.0","-483,884.0","-402,944.0","-405,092.0","-462,675.0","-402,539.0","-289,501.0","-321,893.0","-325,277.0","-229,565.0","-340,197.0","-378,562.0","-434,608.0","-479,018.0","-612,325.0","-971,016.0","-956,375.0","-1,209,476.0","-1,509,143.0","-1,727,598.0","-1,646,838.0","-1,603,256.0","-1,561,362.0","-1,609,113.0","-1,499,834.0","-1,554,869.0","-1,466,499.0","-1,535,357.0","-1,460,664.0","-1,398,665.0","....."
"60","41","    Federal","AD02RC1","10,260.0","9,936.0","3,412.0","2,664.0","-3,748.0","-16,256.0","-19,228.0","-23,080.0","-18,888.0","-28,300.0","-27,644.0","-24,616.0","-17,572.0","-26,000.0","-13,120.0","-24,392.0","-8,280.0","-12,980.0","-1,972.0","-1,324.0","-5,112.0","-108.0","-12,260.0","-24,128.0","-51,212.0","-105,548.0","-70,672.0","-71,968.0","-59,960.0","-51,720.0","-56,288.0","-62,096.0","-48,136.0","-48,248.0","-52,124.0","-53,208.0","-54,980.0","-33,692.0","-33,136.0","-28,856.0","-17,876.0","-20,108.0","-28,332.0","-33,096.0","-49,064.0","-75,048.0","-84,388.0","-67,864.0","-58,932.0","-59,116.0","-58,464.0","-96,476.0","-112,880.0","-126,996.0","-163,412.0","-191,540.0","-200,068.0","-181,336.0","-209,944.0","-196,124.0","-183,584.0","-191,952.0","-200,340.0","-220,932.0","-183,636.0","-240,192.0","-217,168.0","-227,172.0","-221,792.0","-238,656.0","-259,132.0","-214,768.0","-221,480.0","-172,188.0","-182,904.0","-189,400.0","-182,028.0","-174,580.0","-160,296.0","-167,760.0","-146,952.0","-163,288.0","-173,296.0","-173,304.0","-203,924.0","-202,628.0","-201,120.0","-244,656.0","-188,380.0","-248,188.0","-282,508.0","-282,276.0","-320,608.0","-329,764.0","-339,044.0","-323,488.0","-333,220.0","-292,544.0","-298,604.0","-266,680.0","-239,997.0","-210,465.0","-235,657.0","-230,985.0","-234,010.0","-216,270.0","-191,418.0","-192,946.0","-209,163.0","-161,147.0","-146,019.0","-99,323.0","-89,839.0","-43,355.0","-36,483.0","-38,687.0","17,150.0","35,866.0","56,958.0","58,218.0","87,079.0","96,363.0","99,295.0","97,371.0","204,619.0","176,147.0","180,663.0","177,223.0","161,419.0","114,499.0","-116,545.0","-22,717.0","-223,160.0","-270,392.0","-286,292.0","-331,980.0","-331,840.0","-428,016.0","-507,076.0","-421,868.0","-453,244.0","-427,448.0","-418,828.0","-407,788.0","-342,520.0","-338,740.0","-406,800.0","-321,340.0","-263,204.0","-287,184.0","-271,328.0","-167,204.0","-261,081.0","-304,553.0","-343,730.0","-350,815.0","-460,020.0","-830,756.0","-745,260.0","-988,680.0","-1,281,020.0","-1,544,360.0","-1,482,684.0","-1,477,244.0","-1,450,012.0","-1,509,244.0","-1,430,788.0","-1,459,160.0","-1,352,820.0","-1,449,364.0","-1,334,724.0","-1,271,716.0","....."
"61","42","    State and local","AD03RC1","-6,386.0","-6,090.0","-4,797.0","-3,306.0","-3,733.0","-4,548.0","-7,048.0","-8,552.0","-8,223.0","-6,584.0","-5,922.0","-5,001.0","-3,937.0","6,639.0","-594.0","11,606.0","5,553.0","3,179.0","1,056.0","-277.0","-1,742.0","-4,053.0","-6,336.0","-9,233.0","-15,786.0","-11,351.0","-8,464.0","-11,898.0","-11,928.0","-7,301.0","-3,804.0","3,284.0","481.0","1,909.0","8,100.0","7,337.0","9,930.0","9,228.0","921.0","2,994.0","4,565.0","-3,235.0","-2,631.0","-5,976.0","-8,493.0","-10,369.0","-5,969.0","-1,418.0","-6,135.0","-3,775.0","-2,358.0","-8,829.0","-11,120.0","-11,155.0","-12,492.0","-15,623.0","-15,821.0","-6,534.0","-1,085.0","3,745.0","9,870.0","12,370.0","4,387.0","8,578.0","4,633.0","2,484.0","-236.0","-806.0","1,657.0","-5,223.0","-3,355.0","-12,658.0","-21,004.0","-7,222.0","-18,007.0","-21,237.0","-18,068.0","-21,073.0","-10,089.0","-12,742.0","-6,644.0","-10,605.0","-17,365.0","-35,462.0","-29,527.0","-35,067.0","-39,337.0","-51,090.0","-50,695.0","-51,748.0","-48,027.0","-53,565.0","-51,406.0","-45,227.0","-45,431.0","-37,350.0","-47,871.0","-45,221.0","-42,744.0","-26,131.0","-31,963.0","-36,304.0","-28,829.0","-34,797.0","-32,474.0","-48,589.0","-36,078.0","-26,364.0","-20,242.0","-26,947.0","-25,961.0","-29,814.0","-33,500.0","-26,959.0","-15,605.0","-10,664.0","-6,399.0","-17,512.0","-23,146.0","-13,244.0","-29,850.0","-31,988.0","-27,992.0","-32,743.0","-30,727.0","-24,581.0","-40,867.0","-56,232.0","-66,883.0","-99,147.0","-91,523.0","-139,665.0","-144,630.0","-146,776.0","-137,703.0","-148,564.0","-178,200.0","-137,785.0","-118,440.0","-89,900.0","-114,936.0","-118,676.0","-107,222.0","-76,096.0","-60,424.0","-66,352.0","-55,875.0","-81,199.0","-26,297.0","-34,709.0","-53,949.0","-62,361.0","-79,116.0","-74,009.0","-90,878.0","-128,203.0","-152,305.0","-140,260.0","-211,115.0","-220,796.0","-228,123.0","-183,238.0","-164,154.0","-126,012.0","-111,350.0","-99,869.0","-69,046.0","-95,709.0","-113,679.0","-85,993.0","-125,940.0","-126,949.0","....."
"62","43","    Statistical discrepancy","A030RC1","6,640.0","3,282.0","2,362.0","-791.0","5,091.0","7,465.0","7,845.0","7,140.0","15,034.0","13,606.0","13,199.0","2,225.0","6,998.0","19,514.0","11,125.0","-1,818.0","7,554.0","16,070.0","5,379.0","3,062.0","2,868.0","12,794.0","4,499.0","19,065.0","19,072.0","17,320.0","11,711.0","17,116.0","21,432.0","23,974.0","20,411.0","28,064.0","32,772.0","23,369.0","20,678.0","8,033.0","4,600.0","23,814.0","31,742.0","44,057.0","28,255.0","45,676.0","61,708.0","52,231.0","62,020.0","58,240.0","39,474.0","21,440.0","58,399.0","35,871.0","26,041.0","25,984.0","-3,018.0","-627.0","2,084.0","20,554.0","23,248.0","44,100.0","65,077.0","66,350.0","41,233.0","36,347.0","30,256.0","18,316.0","23,983.0","34,080.0","51,982.0","59,300.0","56,074.0","63,335.0","80,322.0","71,285.0","59,693.0","38,355.0","9,620.0","23,823.0","-6,954.0","158.0","-14,990.0","-16,319.0","4,056.0","58,370.0","78,403.0","83,605.0","97,059.0","82,270.0","89,358.0","68,096.0","52,668.0","77,584.0","92,047.0","96,676.0","71,400.0","90,279.0","136,820.0","141,468.0","152,954.0","124,575.0","141,819.0","123,807.0","114,269.0","126,667.0","99,288.0","95,020.0","76,313.0","57,589.0","34,742.0","41,454.0","23,314.0","36,707.0","29,159.0","14,502.0","-9,198.0","17,138.0","-13,749.0","-50,081.0","-60,836.0","-105,966.0","-120,143.0","-54,351.0","-95,956.0","-86,689.0","-53,805.0","-47,814.0","-220,859.0","-86,936.0","-153,572.0","-74,597.0","-211,619.0","-109,013.0","-89,564.0","-3,222.0","-43,228.0","-45,298.0","20,610.0","-20,415.0","-8,166.0","-26,056.0","60,856.0","40,046.0","22,627.0","-15,469.0","-52,938.0","-43,627.0","-46,589.0","-84,497.0","-80,529.0","-168,765.0","-214,218.0","-208,071.0","-273,535.0","-273,282.0","-166,567.0","-62,230.0","85,613.0","95,239.0","-58,752.0","29,123.0","-8,649.0","28,532.0","42,086.0","90,345.0","104,057.0","73,245.0","-7,167.0","-6,588.0","-7,413.0","24,469.0","-51,987.0","-9,961.0","-38,736.0","-90,904.0","....."
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","44","  Gross private saving","A126RC1","150,145.0","152,725.0","164,229.0","161,725.0","160,648.0","176,409.0","181,533.0","179,686.0","193,289.0","203,275.0","206,756.0","209,489.0","208,260.0","205,508.0","216,190.0","238,391.0","240,500.0","250,556.0","258,970.0","277,869.0","272,988.0","264,548.0","263,631.0","283,412.0","288,910.0","342,602.0","328,333.0","340,547.0","343,884.0","343,609.0","348,167.0","346,909.0","345,712.0","376,006.0","403,168.0","411,441.0","417,458.0","427,089.0","444,695.0","459,207.0","472,373.0","473,460.0","477,649.0","495,448.0","498,683.0","513,235.0","531,559.0","571,569.0","577,651.0","590,766.0","654,865.0","677,394.0","666,719.0","695,922.0","696,559.0","668,222.0","687,208.0","679,041.0","687,364.0","715,050.0","772,578.0","802,209.0","838,445.0","842,758.0","791,297.0","833,148.0","781,903.0","801,365.0","805,468.0","805,293.0","771,049.0","753,303.0","803,304.0","760,709.0","814,069.0","873,973.0","883,754.0","909,441.0","914,165.0","927,819.0","933,558.0","909,279.0","908,803.0","912,763.0","933,960.0","979,218.0","946,484.0","968,637.0","1,025,930.0","1,029,523.0","1,025,144.0","1,065,897.0","1,098,463.0","1,119,129.0","1,081,522.0","1,067,780.0","1,110,704.0","1,092,904.0","1,077,413.0","1,070,820.0","1,123,409.0","1,131,164.0","1,148,074.0","1,191,805.0","1,244,567.0","1,235,824.0","1,259,533.0","1,264,816.0","1,289,879.0","1,287,464.0","1,307,540.0","1,316,922.0","1,342,611.0","1,384,126.0","1,381,204.0","1,393,693.0","1,408,057.0","1,399,551.0","1,405,071.0","1,367,095.0","1,439,444.0","1,376,535.0","1,341,102.0","1,363,953.0","1,377,122.0","1,383,558.0","1,401,717.0","1,342,336.0","1,425,772.0","1,436,586.0","1,583,403.0","1,420,083.0","1,655,423.0","1,677,725.0","1,617,624.0","1,676,594.0","1,661,480.0","1,747,822.0","1,790,390.0","1,799,306.0","1,864,091.0","1,905,764.0","1,930,365.0","1,878,276.0","1,880,375.0","1,904,441.0","1,918,196.0","1,998,473.0","2,055,047.0","2,075,547.0","2,082,279.0","2,105,220.0","1,981,199.0","1,998,665.0","1,967,840.0","2,009,692.0","2,138,948.0","2,411,533.0","2,333,860.0","2,246,690.0","2,488,213.0","2,632,081.0","2,551,866.0","2,606,151.0","2,693,453.0","2,814,627.0","2,810,529.0","2,822,985.0","2,809,697.0","2,856,636.0","2,878,028.0","2,898,245.0","....."
"65","45","    Domestic business","W997RC1","93,447.0","92,841.0","92,911.0","89,569.0","88,050.0","93,421.0","93,528.0","91,389.0","101,587.0","104,838.0","109,312.0","114,195.0","118,349.0","120,914.0","125,019.0","129,382.0","134,123.0","132,212.0","136,133.0","138,476.0","135,671.0","135,357.0","131,431.0","138,415.0","154,314.0","169,209.0","182,951.0","191,342.0","195,711.0","193,524.0","195,926.0","197,866.0","207,138.0","226,138.0","241,576.0","237,498.0","239,418.0","257,341.0","265,041.0","274,968.0","273,064.0","279,850.0","284,682.0","287,718.0","280,356.0","275,741.0","284,317.0","301,797.0","318,992.0","328,728.0","349,045.0","348,691.0","346,489.0","365,834.0","368,314.0","368,091.0","388,067.0","404,665.0","413,005.0","422,711.0","438,083.0","452,735.0","462,547.0","471,514.0","470,811.0","478,527.0","496,311.0","488,611.0","476,748.0","469,888.0","465,274.0","460,709.0","477,557.0","507,485.0","531,430.0","545,236.0","561,063.0","572,526.0","570,074.0","587,053.0","559,615.0","564,264.0","574,749.0","565,036.0","578,588.0","604,564.0","580,054.0","595,915.0","629,423.0","627,507.0","625,441.0","632,005.0","657,085.0","662,611.0","649,101.0","672,960.0","667,714.0","683,095.0","701,057.0","711,752.0","728,376.0","737,162.0","754,930.0","774,660.0","784,729.0","820,424.0","850,321.0","864,117.0","887,019.0","883,466.0","887,497.0","907,892.0","940,816.0","962,099.0","985,637.0","978,156.0","902,327.0","906,716.0","922,312.0","927,378.0","1,001,792.0","1,022,549.0","1,018,083.0","1,025,309.0","999,471.0","996,160.0","1,008,612.0","998,038.0","1,046,899.0","1,100,918.0","1,083,824.0","1,114,330.0","1,160,353.0","1,172,441.0","1,183,795.0","1,239,836.0","1,206,852.0","1,243,988.0","1,255,954.0","1,271,566.0","1,372,594.0","1,375,535.0","1,417,089.0","1,311,649.0","1,484,964.0","1,528,882.0","1,546,901.0","1,567,677.0","1,580,608.0","1,546,513.0","1,563,765.0","1,523,314.0","1,454,230.0","1,477,929.0","1,457,685.0","1,455,744.0","1,392,158.0","1,426,398.0","1,494,916.0","1,289,706.0","1,561,628.0","1,669,709.0","1,793,721.0","1,852,988.0","1,865,327.0","1,898,154.0","1,889,472.0","1,936,564.0","1,930,357.0","1,997,428.0","2,040,483.0","2,061,233.0","....."
"66","46","    Households and institutions","W998RC1","56,698.0","59,884.0","71,318.0","72,156.0","72,598.0","82,988.0","88,005.0","88,297.0","91,702.0","98,437.0","97,444.0","95,294.0","89,911.0","84,594.0","91,171.0","109,009.0","106,377.0","118,344.0","122,837.0","139,393.0","137,317.0","129,191.0","132,200.0","144,997.0","134,596.0","173,393.0","145,382.0","149,205.0","148,173.0","150,085.0","152,241.0","149,043.0","138,574.0","149,868.0","161,592.0","173,943.0","178,040.0","169,748.0","179,654.0","184,239.0","199,309.0","193,610.0","192,967.0","207,730.0","218,327.0","237,494.0","247,242.0","269,772.0","258,659.0","262,038.0","305,820.0","328,703.0","320,230.0","330,088.0","328,245.0","300,131.0","299,141.0","274,376.0","274,359.0","292,339.0","334,495.0","349,474.0","375,898.0","371,244.0","320,486.0","354,621.0","285,592.0","312,754.0","328,720.0","335,405.0","305,775.0","292,594.0","325,747.0","253,224.0","282,639.0","328,737.0","322,691.0","336,915.0","344,091.0","340,766.0","373,943.0","345,015.0","334,054.0","347,727.0","355,372.0","374,654.0","366,430.0","372,722.0","396,507.0","402,016.0","399,703.0","433,892.0","441,378.0","456,518.0","432,421.0","394,820.0","442,990.0","409,809.0","376,356.0","359,068.0","395,033.0","394,002.0","393,144.0","417,145.0","459,838.0","415,400.0","409,212.0","400,699.0","402,860.0","403,998.0","420,043.0","409,030.0","401,795.0","422,027.0","395,567.0","415,537.0","505,730.0","492,835.0","482,759.0","439,717.0","437,652.0","353,986.0","323,019.0","338,644.0","377,651.0","387,398.0","393,105.0","344,298.0","378,873.0","335,668.0","499,579.0","305,753.0","495,070.0","505,284.0","433,829.0","436,758.0","454,628.0","503,834.0","534,436.0","527,740.0","491,497.0","530,229.0","513,276.0","566,627.0","395,411.0","375,559.0","371,295.0","430,796.0","474,439.0","529,034.0","518,514.0","581,904.0","526,971.0","520,737.0","510,155.0","553,947.0","746,789.0","985,134.0","838,945.0","956,984.0","926,584.0","962,372.0","758,146.0","753,164.0","828,126.0","916,473.0","921,057.0","886,420.0","879,340.0","859,208.0","837,544.0","837,011.0","772,841.0"
"67","47","  Gross government saving","A927RC1","45,894.0","43,688.0","38,800.0","36,566.0","31,520.0","17,880.0","14,258.0","9,265.0","8,937.0","3,785.0","5,382.0","5,970.0","15,164.0","19,657.0","22,540.0","23,307.0","34,176.0","31,539.0","35,533.0","39,575.0","36,212.0","34,157.0","35,595.0","16,807.0","-8,795.0","-63,642.0","-19,956.0","-20,584.0","-6,924.0","-1,178.0","-4,329.0","-2,222.0","6,952.0","15,756.0","14,270.0","13,558.0","16,123.0","44,134.0","44,216.0","52,427.0","57,785.0","56,547.0","54,637.0","44,948.0","35,554.0","8,716.0","-1,527.0","13,104.0","36,337.0","30,385.0","24,138.0","-7,291.0","-29,798.0","-34,241.0","-71,739.0","-105,679.0","-103,888.0","-88,821.0","-96,861.0","-69,502.0","-49,713.0","-54,329.0","-66,563.0","-71,977.0","-35,536.0","-85,342.0","-62,936.0","-70,558.0","-60,996.0","-87,006.0","-87,968.0","-61,913.0","-70,110.0","-2,197.0","-20,351.0","-30,379.0","-24,594.0","-12,837.0","6,373.0","1,929.0","30,857.0","12,005.0","3,617.0","-14,306.0","-28,649.0","-38,156.0","-35,611.0","-55,464.0","-27,687.0","-87,029.0","-103,004.0","-123,537.0","-154,342.0","-158,808.0","-172,924.0","-151,636.0","-172,973.0","-127,953.0","-133,425.0","-83,797.0","-75,564.0","-41,865.0","-46,372.0","-51,993.0","-47,721.0","-44,307.0","-35,683.0","-897.0","-5,928.0","37,583.0","56,372.0","87,581.0","109,828.0","135,659.0","179,274.0","176,269.0","230,257.0","241,241.0","277,027.0","289,345.0","306,668.0","319,577.0","333,216.0","351,621.0","450,330.0","424,194.0","419,220.0","402,123.0","376,675.0","317,279.0","78,103.0","144,780.0","-52,851.0","-97,475.0","-98,247.0","-135,063.0","-166,166.0","-209,953.0","-258,041.0","-154,222.0","-208,109.0","-176,538.0","-130,612.0","-108,493.0","-19,912.0","-21,149.0","-9,015.0","24,006.0","115,855.0","100,977.0","98,935.0","150,410.0","112,568.0","81,398.0","38,202.0","1,098.0","-128,820.0","-486,043.0","-426,779.0","-456,586.0","-789,464.0","-1,055,117.0","-1,055,785.0","-988,633.0","-975,048.0","-973,703.0","-927,373.0","-983,674.0","-914,506.0","-966,159.0","-888,622.0","-816,111.0","....."
"68","48","    Federal","A926RC1","29,560.0","26,704.0","20,924.0","18,580.0","13,280.0","-216.0","-3,588.0","-7,212.0","-7,420.0","-13,916.0","-12,988.0","-14,628.0","-6,344.0","-11,684.0","-516.0","-14,608.0","1,592.0","1,732.0","6,496.0","10,980.0","8,524.0","6,416.0","7,216.0","-7,392.0","-29,276.0","-86,300.0","-43,848.0","-44,288.0","-33,500.0","-28,872.0","-31,992.0","-34,796.0","-24,632.0","-18,376.0","-24,220.0","-25,096.0","-24,332.0","-3,084.0","3,380.0","8,332.0","17,160.0","17,668.0","12,756.0","4,388.0","-5,092.0","-27,928.0","-41,428.0","-32,024.0","-10,172.0","-13,516.0","-20,332.0","-47,812.0","-67,620.0","-72,124.0","-109,072.0","-141,964.0","-137,056.0","-132,544.0","-147,636.0","-124,988.0","-113,860.0","-123,156.0","-130,252.0","-140,396.0","-103,904.0","-153,624.0","-129,528.0","-135,264.0","-134,260.0","-154,576.0","-158,756.0","-124,580.0","-127,648.0","-73,084.0","-83,496.0","-92,448.0","-90,484.0","-79,304.0","-70,492.0","-77,024.0","-53,536.0","-72,148.0","-77,056.0","-79,780.0","-105,212.0","-109,576.0","-103,772.0","-116,220.0","-86,632.0","-145,508.0","-167,948.0","-185,460.0","-222,356.0","-227,884.0","-238,400.0","-222,920.0","-235,136.0","-197,784.0","-203,976.0","-172,672.0","-157,385.0","-123,049.0","-140,317.0","-140,465.0","-139,958.0","-124,594.0","-128,646.0","-104,674.0","-112,343.0","-67,667.0","-56,383.0","-28,867.0","-9,963.0","11,497.0","46,901.0","41,125.0","90,270.0","103,418.0","135,222.0","136,730.0","163,059.0","180,835.0","188,839.0","202,667.0","292,467.0","262,455.0","269,875.0","267,123.0","247,619.0","207,659.0","-15,597.0","76,699.0","-116,636.0","-160,828.0","-173,784.0","-203,240.0","-210,400.0","-284,324.0","-360,344.0","-287,104.0","-316,704.0","-290,296.0","-266,160.0","-265,436.0","-190,128.0","-188,348.0","-186,524.0","-165,296.0","-103,540.0","-123,428.0","-107,684.0","-54,240.0","-91,105.0","-125,437.0","-151,954.0","-161,795.0","-272,124.0","-645,248.0","-517,792.0","-538,964.0","-870,740.0","-1,178,876.0","-1,180,324.0","-1,143,032.0","-1,143,844.0","-1,148,580.0","-1,127,184.0","-1,154,924.0","-1,066,472.0","-1,138,564.0","-1,021,496.0","-954,108.0","....."
