"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"198","182","  Persons and nonprofit institutions serving households","W549RC1",0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.3,1.7,1.9,2.2,2.6,3,3.4,4,4.8,6,7.5,8.7,9.4,10.2,10.9,11.3,11.6,12.6,12.8,12.4,12.9,12.8,13.2,12.9,14.1,14.3,13.4,13.5,12.8,12.8,12.5,12.3,11.6,9.5,7.5,8,8.2,8.5,8.8
"199","183","  Government","W550RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
"200","184","  Private enterprises","W551RC1",0.4,0.5,0.7,0.8,0.8,0.9,1.1,1.3,1.7,2,2.2,2.5,2.7,3.1,3.5,4.2,6.1,9.8,10.7,10.5,10.9,11.5,12.1,12.4,14.1,15.5,15.4,15.6,15.8,16.5,17.6,18.3,20.5,23.5,25,25.6,21.9,25.4,26,29.8,25.9,23,23.5,26,27.5,29.9
"201","185","    Of which: Owner-occupied housing","W316RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.3,1.3,1.4,1.4
"202","186","  To the rest of the world (exports)","W554RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1,1.4,1.7,2,1.4,2.1,2,2.2,2.2,2,2.2,2.9,3,3.1
"203","187","  From the rest of the world (imports)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.2,9.8,10.5,10.6
"204",NA,"Defined benefit and defined contribution pension plans:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","188","  Output","Y204RC1",0.6,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.3,1.5,1.8,2.1,2.6,2.9,3.4,4.2,4.7,4.8,5.1,5.7,6.1,6.8,7.2,8,8.7,9,11,12.7,14.1,13.5,15.5,16.8,16.9,17.1,19.2,20.8,24.4,26.7,23.4,21.3,24.2,25.1,26.7,28.3,29.2
"206","189","  Imputed employer contributions","Y604RC1",8.4,7.8,8,8.4,3.7,-0.1,0.8,-8.3,-11.8,-15.6,-17.7,-21.8,-24.8,-25.9,-22.2,-28.6,-23.4,-14.5,-11.9,-4.6,10.5,15.6,12.3,28.2,23.4,19.6,19.7,30.6,42.3,48.9,63.2,67.8,64.3,31.7,-0.9,37,36.1,34.9,39.2,-5.8,-22.9,-30.1,-51.5,-59.1,-60.1,-60.2
"207","190","    Corporate business","Y240RC1",-1.2,-2.2,-3.6,-4.4,-7.8,-10.2,-7.1,-12.5,-13.1,-17.2,-17.6,-18.1,-19.4,-18.8,-14.1,-12.9,-6.6,2.9,7.7,12.7,20.5,23.2,18.1,23.5,20,15.4,13.8,27.3,36.1,35,43,40,28.7,-5.4,-36.8,-10.1,-6.3,-2.2,23.3,-15.3,-25.3,-44.9,-54.9,-49.8,-36.9,-27.9
"208","191","    General government","Y670RC1",8.6,9,10.3,11.3,9.9,8.5,6.9,3.4,0.9,1.2,-0.2,-3.3,-4.8,-6.2,-6.9,-14.8,-15.7,-15.9,-17.1,-14.5,-7.9,-5.6,-3.1,6.9,6.1,7,9,6.6,9.5,16.8,22.5,29.5,36.8,38,33.5,44.6,40,35.2,14,7.5,1.2,11,-9.2,-11.6,-25.1,-33.3
"209","192","    Government enterprises","Y671RC1",0.9,1.1,1.4,1.5,1.6,1.6,1,0.8,0.4,0.4,0.1,-0.3,-0.7,-0.9,-1.2,-0.9,-1.1,-1.5,-2.4,-2.8,-2.2,-2.1,-2.7,-2.2,-2.7,-2.9,-3.1,-3.2,-3.4,-3,-2.3,-1.8,-1.2,-0.9,2.4,2.4,2.4,1.8,1.9,2,1.2,3.7,12.6,2.3,1.9,1.1
"210","193","  Imputed interest on plans' claims on employers","Y609RC1",14.6,19.2,21.4,23.7,26,29,33.1,34.2,38.1,43.2,43.6,47.7,51.1,53.1,55.2,57.7,49.6,53.3,58.7,62.8,63.6,67.5,65.5,73.3,71.4,70.2,67.7,57.5,48.7,37.4,29.2,30.7,62.1,92.8,107,107.9,104.6,102.6,101.5,146.5,199.1,194.9,195.2,208.7,212.2,193.9
"211","194","    Corporate business","Y245RC1",0.7,1.2,1.2,1.2,1.8,2.4,3.9,4,4.5,3.3,1.6,3.7,5.1,5.1,5.6,8,0,3.3,9.2,13.4,8.4,14.3,8,8.8,5.6,4.5,-3.2,-7,-13.6,-14.6,-19.1,-9.2,9.5,22.9,4.2,4.1,0.5,-7,-3.7,41.5,28.8,24.1,27.7,21.4,7.8,2.8
"212","195","    Government","Y672RC1",13.8,18,20.2,22.5,24.2,26.6,29.2,30.2,33.7,39.9,42,44.1,46,48,49.6,49.7,49.6,50,49.4,49.4,55.2,53.2,57.5,64.4,65.8,65.8,70.9,64.5,62.4,52,48.3,39.9,52.6,69.9,102.8,103.8,104.1,109.6,105.2,105,170.3,170.7,167.5,187.4,204.4,191.1
"213","196","  Imputed interest payments to persons","Y233RC1",19.1,24.5,27.6,30.8,33.4,37.5,42.8,46.4,51.3,60.2,68.1,79.3,92.5,109.1,121.5,138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240.1,238.1,243.9,236.4,234.5,233.9,248.9,270.3,280.9,279.8,279,284.9,296,335.4,371.3,360.9,366.2,375.4,374,361.4
"214","197","  Imputed dividend payments to persons","Y234RC1",2,2.4,2.7,3,3.5,4.2,4.7,5.3,6.6,8.3,9.9,10.9,13,15.4,17.3,19.7,22.3,23.2,25,26,29.4,32.7,36.2,39.6,42.6,46.4,50.6,55.7,59.3,59.7,60.5,60,60,61,64.9,77.4,90.7,105.6,121.9,129.7,118,115.6,116.4,129.3,145,161.9
"215","198","  Imputed household contributions and contribution supplements (-188+189+196+197)","Y673RC1",28.9,34.1,37.5,41.4,39.7,40.7,47.4,42.2,45,51.6,58.9,66.6,78.6,96,113.7,125.9,138.7,162.4,180.7,198.3,230.8,252.5,258,281.5,276.4,285.6,301.3,313.3,332.8,330.9,344.7,346.3,356.5,346.1,327.8,375,385,401,430.5,435.9,445.2,422.1,406,418.9,430.7,433.8
"216","199","  Net change in benefit entitlements for defined benefit pension plans","Y632RC1",35.9,41.9,47.3,51.3,50.5,53.9,61.2,59,64.9,71.3,75.6,78.8,82.4,86,93.2,134.4,131.2,130.3,139.8,152.7,170.1,181.6,182,199.4,191,194.7,197.7,181.4,184.4,165.6,154.5,139.5,153.3,169.5,191.2,201.2,200.5,186.8,187.1,211.9,231.4,221.7,207.2,177.2,131.6,87.8
"217","200","Farm products consumed on farms","A2051C1",0.3,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.3
"218","201","  Output","B1008C1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.8
"219","202","  Less: Intermediate inputs","B1161C1",0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.5
"220","203","Employment-related imputations","A2099C1",15.2,17.6,19.3,21.9,24.1,27.9,33.5,40.7,47.7,55.7,63.2,72.7,84.2,95.9,105,113.9,124.2,132.1,140.9,157.8,175.1,194.5,210.8,235.7,255.1,266.9,264.1,267.3,271.4,292.5,319,354.7,385.7,411.6,448.3,482.7,519.7,534.5,557.4,575.6,588.7,597.2,622.7,637.1,662.2,678.8
"221","204","  Food furnished to employees, including military and domestic service \5\","DFOORC1",2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.2,10.9,12.1,13.9,14.7,15,15.6,15.3,16.8,17.1,17.4,17.9
"222","205","  Standard clothing issued to military personnel \5\","DMICRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3
"223","206","  Employees' lodging \5\","A2641C1",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.8,0.8,0.7,0.7,0.6,0.7,0.7
"224","207","  Employer contributions for health and life insurance \6\","B4922C1",12.3,14.5,16.1,18.7,20.8,23.9,28.6,35.2,42.1,49.8,56.5,65.2,76,87.3,96.4,105.2,115.6,123.6,132.2,148.5,165.2,184.1,199.8,223.7,242.9,255.1,252.3,255.4,259.4,280.2,306.4,341.6,372,397.3,432.4,465.8,501,513.3,535.3,552.4,563.7,571.7,595.5,609.6,635,651.4
"225","208","  Contributions for government social insurance for federal government employees for certain programs \7\","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.6,5.1,5.6,6.3,6.5,7,8.1,9.1,9.4,9.4,8.7,8.4
"226","209","Private investment-related imputations and reclassifications","A2087C1",36.8,35.8,46.7,57.9,64.4,59.2,61.3,80.4,106,122.6,126.1,112.5,112.8,106.5,147.3,171.8,177.4,205.5,224.5,237.3,239.3,228.6,220.7,253.9,277.3,311.9,304,338.1,362,411.9,448.2,475.9,533,578.3,651.3,763.7,863,857,731.1,573.6,462.9,448.9,447.8,500.6,552.2,590.3
"227",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","210","  Owner-occupied residential structures \8\","B1166C1",29,27.5,37.5,46.5,52.3,47.1,49.3,66.8,89.5,104.5,106.7,92.7,91.4,81.6,119.3,141.8,146.5,171.7,186.2,196.3,194.8,180.8,171.2,201.5,226.4,259.7,249.8,280.4,291,329,359.3,378.3,431.2,469.1,536.4,638,732.8,716.2,575.2,417.9,315.8,314.2,316.4,362.1,417.4,449.3
"229","211","  Nonresidential fixed investment by nonprofit institutions serving households \9\","B1167C1",7.4,7.8,8.6,10.7,11.3,11.2,11,12.1,14.2,15.6,16.7,17.9,19.8,23.4,25.5,27.5,28.2,30.6,35.3,38.2,41.9,45.2,47.3,49.4,48.1,49,51.6,54.8,68.1,80.3,85.8,94.9,99.1,106.2,112,122.1,126.1,137.4,153.9,155.1,147.1,134.1,130.8,137.4,133.7,139.7
"230",NA,"    Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","212","  Margins on owner-built housing","B1173C1",0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,3,2.8,2.6,2.7,2.2,3,2.8,3.2,2.6,2.8,2.9,2.7,3.1,2.7,2.7,2.9,3,3.6,4.1,3.5,2.1,0.5,0,0.6,0.6,1.1,1.1,1.3
"232",NA,"Government investment-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","213","  General government consumption of fixed capital \10\","A265RC1",33.2,36.1,38.4,40.3,43.1,48.7,53.7,57.2,61.2,66.3,72.8,82.3,93.1,103.1,110.3,118.7,127.3,136.8,147,158.5,169.3,180,189.9,195.8,202.5,208.9,216.6,220.4,224.6,228.9,236.9,247.7,254.9,261.2,270.3,284.9,305.6,326.6,351.4,375.5,390.3,403.8,422.1,436.1,444.2,452.6
"234",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","214","  Gross government investment \11\","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,614.4,592.3,595.8
"236",NA,"Net interest-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","215","  Net interest, domestic (216-221+225)","A2104C1",33,37.9,42,47.6,54,63.4,76,83.9,95.8,113.1,133.6,156.7,182.1,215.2,259.5,293.3,338.3,372.4,399.1,425,451.1,478.2,488.9,502.6,510,533.2,563.8,583.1,615.9,639.9,668.6,719.6,733.6,743,718.8,734.6,798.5,859.7,932.7,978.5,889.8,853.1,837.4,798.3,771,791.6
"238",NA,"      Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","216","    Imputed interest paid by private enterprises","W566RC1",29.1,39.2,46,50.4,49.9,57.4,86.5,80.5,86.3,92.8,88.7,94.9,101,149.5,212.7,211.6,245.3,274.1,294.5,307.1,310.5,324.4,326.5,347.4,356,372.4,377.6,373.2,376.5,369.6,364.1,375.9,401.7,446,443.8,453.3,449.6,432.3,440.1,530.2,543.2,538.6,556.3,547.6,536.9,540.9
"240","217","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (170+181)","W560RC1",14.7,18.6,21.4,23,23,27.6,42.5,38.1,40.9,45,43.2,42.8,41.8,63.3,97.5,89.5,119.2,127.6,129.2,131.4,129.7,126.3,127.9,142.9,157.9,169.1,172.1,178.2,189.2,198.5,207.5,220.7,215.1,223.1,231.5,245.9,258.6,260.9,272.9,275,249.3,255.2,261.1,259.1,275.3,303.3
"241","218","      By private enterprises for borrower services (-178)","W561RC1",-5.4,-5.1,-4.2,-4.7,-8.3,-10.1,-2.7,-8,-10.3,-15.7,-24.2,-30.8,-38.4,-28.1,-11.8,-24.1,-18,-15.1,-16.2,-19.8,-24.2,-26.6,-25.6,-25.2,-26,-29.4,-31.5,-36.1,-43,-50.7,-58.8,-69.6,-71.8,-70.3,-72.7,-76.5,-88.5,-106.6,-125.1,-121.7,-106.3,-101.6,-98.8,-108.3,-120.2,-126.6
"242","219","      By corporate business for unfunded actuarial liability of defined benefit pension plans (194)","Y245RC1",0.7,1.2,1.2,1.2,1.8,2.4,3.9,4,4.5,3.3,1.6,3.7,5.1,5.1,5.6,8,0,3.3,9.2,13.4,8.4,14.3,8,8.8,5.6,4.5,-3.2,-7,-13.6,-14.6,-19.1,-9.2,9.5,22.9,4.2,4.1,0.5,-7,-3.7,41.5,28.8,24.1,27.7,21.4,7.8,2.8
"243","220","      By defined benefit and defined contribution pension plans (196)","Y233RC1",19.1,24.5,27.6,30.8,33.4,37.5,42.8,46.4,51.3,60.2,68.1,79.3,92.5,109.1,121.5,138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240.1,238.1,243.9,236.4,234.5,233.9,248.9,270.3,280.9,279.8,279,284.9,296,335.4,371.3,360.9,366.2,375.4,374,361.4
"244","221","    Imputed interest received by private enterprises","W563RC1",12,18.7,23.6,25.5,22.3,24.3,44.5,35.6,36.7,35.1,22.8,19.3,14,44.1,74.4,56.3,60.3,71.3,76.6,76.6,71,72.5,70.1,79.8,80.2,76.6,72.4,58.7,45.7,27.5,12.4,4.1,36.9,74.9,90.4,87.9,69.5,51.4,33.5,80.4,135.3,124,121.2,124,112.1,87.9
"245","222","      By banks for borrower services (-175)","W358RC1",-7.8,-7.1,-5.5,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.4,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-21.7,-18.4,-19.4,-23.5,-28.8,-31.4,-30.4,-29.8,-31.1,-35.4,-38.4,-44.5,-52.5,-61,-69.8,-81.8,-84,-82.1,-84.5,-89.2,-102.2,-122.7,-143.5,-139.1,-122.1,-123.2,-120.7,-133.9,-150.4,-161.8
"246","223","      By defined benefit pension plans for unfunded actuarial liability (193)","Y609RC1",14.6,19.2,21.4,23.7,26,29,33.1,34.2,38.1,43.2,43.6,47.7,51.1,53.1,55.2,57.7,49.6,53.3,58.7,62.8,63.6,67.5,65.5,73.3,71.4,70.2,67.7,57.5,48.7,37.4,29.2,30.7,62.1,92.8,107,107.9,104.6,102.6,101.5,146.5,199.1,194.9,195.2,208.7,212.2,193.9
"247","224","      By other private enterprises (173+184)","W565RC1",5.3,6.7,7.8,8.2,7.5,8.9,15.1,12.7,13.2,14.3,13.8,15.2,16.5,28.4,34.8,30.2,32.4,36.4,37.3,37.3,36.2,36.4,35,36.3,39.8,41.8,43.1,45.7,49.5,51.1,53,55.2,58.9,64.2,68,69.2,67.1,71.6,75.5,73,58.4,52.3,46.6,49.1,50.3,55.9
"248",NA,"      Reclassifications for owner-occupied housing and fixed assets of nonprofit institutions serving households:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","225","    Monetary interest paid by owner-occupants and nonprofit institutions","A2129C1",16,17.5,19.7,22.7,26.4,30.3,34,39,46.2,55.4,67.7,81.1,95,109.8,121.2,138,153.3,169.6,181.1,194.5,211.6,226.3,232.5,235,234.2,237.4,258.6,268.6,285.1,297.9,316.9,347.8,368.8,372,365.3,369.3,418.5,478.8,526.2,528.7,482,438.4,402.3,374.7,346.2,338.6
"250","226","      Owner-occupied housing","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.4,220.1,222.2,219.4,223.6,243.9,252.9,268.7,280.9,299.6,330.2,351.2,354.8,348.7,353.3,402.9,463.5,510.9,513.8,467.8,425,389.6,362.7,334.2,326.7
"251","227","      Interest paid by nonprofit institutions serving households","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6,12,12,12
"252","228","  Personal interest payments","A2109C1",-17.7,-19,-21,-24.2,-29,-33.3,-34.8,-41.8,-49.8,-61,-76,-91.2,-106.6,-117.7,-124.5,-144.7,-156.6,-172.6,-184,-197.9,-215.8,-230.7,-236.8,-239.2,-238.8,-242.9,-265,-276.2,-293.7,-307,-326.6,-358.5,-379.5,-382.3,-375.7,-380.5,-430.5,-492.8,-542.1,-543.5,-495.4,-457.4,-420.1,-394.9,-369.6,-365.7
"253","229","    Owner-occupied housing (-226)","A2020C1",-15.4,-16.7,-18.8,-21.7,-25.3,-29,-32.6,-37.5,-44.5,-53.3,-64.9,-77.7,-90.7,-104.5,-115.1,-129.8,-145.4,-160.5,-171.6,-183.8,-199.9,-214.4,-220.1,-222.2,-219.4,-223.6,-243.9,-252.9,-268.7,-280.9,-299.6,-330.2,-351.2,-354.8,-348.7,-353.3,-402.9,-463.5,-510.9,-513.8,-467.8,-425,-389.6,-362.7,-334.2,-326.7
"254","230","    Interest paid by nonprofit institutions serving households (-167)","A2021C1",-0.6,-0.8,-0.8,-0.9,-1.1,-1.3,-1.4,-1.6,-1.7,-2.1,-2.7,-3.4,-4.4,-5.2,-6.1,-8.2,-7.8,-9.1,-9.5,-10.7,-11.7,-11.9,-12.3,-12.8,-14.8,-13.9,-14.7,-15.7,-16.4,-16.9,-17.3,-17.6,-17.6,-17.2,-16.6,-16,-15.5,-15.3,-15.2,-14.9,-14.2,-13.4,-12.6,-12,-12,-12
"255","231","    Borrower services paid by persons (-176)","W308RC1",-1.7,-1.6,-1.3,-1.5,-2.6,-3,-0.8,-2.7,-3.6,-5.6,-8.3,-10.1,-11.6,-7.9,-3.3,-6.7,-3.3,-3,-2.9,-3.4,-4.2,-4.4,-4.4,-4.2,-4.5,-5.5,-6.3,-7.6,-8.6,-9.1,-9.7,-10.7,-10.7,-10.3,-10.4,-11.2,-12,-14,-16,-14.8,-13.4,-19.1,-17.9,-20.2,-23.5,-27.1
"256","232","  Personal interest income (171+182+196)","W520RC1",26.7,34.1,38.3,42.7,46,52.8,65.4,67.6,74.5,87.1,94.7,104.7,116.4,140.2,177.2,191.5,219.5,238.5,255.4,267.7,282,293.1,301.8,319.4,327.4,345.2,358.6,360.7,373.8,375.2,380.5,391.2,400.5,424.6,439.5,451.8,463.3,469,489.1,534.5,560.1,559.7,574.9,581.1,596.5,605.4
"257","233","    Net interest, domestic (215)","A2104C1",33,37.9,42,47.6,54,63.4,76,83.9,95.8,113.1,133.6,156.7,182.1,215.2,259.5,293.3,338.3,372.4,399.1,425,451.1,478.2,488.9,502.6,510,533.2,563.8,583.1,615.9,639.9,668.6,719.6,733.6,743,718.8,734.6,798.5,859.7,932.7,978.5,889.8,853.1,837.4,798.3,771,791.6
"258","234","    Net interest, rest of the world (-174-180-186+187)","W528RC1",-0.5,-0.6,-0.6,-0.7,-0.9,-1.4,-1.7,-1.7,-1.9,-2.3,-3.1,-3.5,-4.1,-2.9,-4,-4.1,-6.2,-5.3,-4.4,-4.5,-4.2,-3.6,-3.3,-4.3,-5.4,-6.4,-6.2,-5.7,-5.6,-4.5,-3.7,-3.5,-1.1,-0.7,-0.6,-0.2,-2.6,-0.9,0,0.8,0.9,-0.7,-3.3,-2.7,-1.9,-3.2
"259","235","    Net imputed interest paid by government (-172-177-183+195)","A2022C1",11.9,15.8,17.9,20,21.9,24.1,26,27.1,30.4,37.3,40.2,42.7,45.1,45.6,46.2,46.9,44,44,44.8,45,50.9,49.2,53,60.2,61.5,61.2,66,59.5,57.2,46.7,42.2,33.6,47.5,64.5,97,97.9,97.9,102.9,98.5,98.7,164.7,164.7,160.9,180.4,197.1,182.8
"260","236","    Personal interest payments (228)","A2109C1",-17.7,-19,-21,-24.2,-29,-33.3,-34.8,-41.8,-49.8,-61,-76,-91.2,-106.6,-117.7,-124.5,-144.7,-156.6,-172.6,-184,-197.9,-215.8,-230.7,-236.8,-239.2,-238.8,-242.9,-265,-276.2,-293.7,-307,-326.6,-358.5,-379.5,-382.3,-375.7,-380.5,-430.5,-492.8,-542.1,-543.5,-495.4,-457.4,-420.1,-394.9,-369.6,-365.7
"261",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","237","Gross domestic product","A191RC1",1019.9,1075.9,1167.8,1282.4,1428.5,1548.8,1688.9,1877.6,2086,2356.6,2632.1,2862.5,3211,3345,3638.1,4040.7,4346.7,4590.2,4870.2,5252.6,5657.7,5979.6,6174,6539.3,6878.7,7308.8,7664.1,8100.2,8608.5,9089.2,9660.6,10284.8,10621.8,10977.5,11510.7,12274.9,13093.7,13855.9,14477.6,14718.6,14418.7,14964.4,15517.9,16155.3,16663.2,17348.1
"263","238","  Imputations","A2023C1",128.1,140.3,153.3,166.8,179.8,200.5,224.4,241.7,264.3,300.4,334.6,373.6,418.7,461.3,516.2,548.6,611.3,655.4,697.8,761.8,825.8,884,938,1017.2,1089.3,1155.4,1202,1245.7,1303.2,1385.4,1485.4,1609.8,1704.9,1782.6,1872.3,2007.1,2154.6,2258.1,2334.4,2425.2,2453.9,2510.5,2561.3,2610.1,2689.2,2790.1
"264","239","    Owner-occupied housing (154-157)","A2024C1",54,58.1,63.9,69.6,75.9,83.5,90.9,99.2,108.3,123.6,140.3,161.3,182.7,198.8,212.8,231.7,250.9,270.5,292.9,320,345.5,371.8,391.4,412.5,442.7,477.7,512.4,542.1,575.4,611.7,659.5,711.5,765,803.2,842.5,895.5,965.9,1029,1060.9,1110.9,1130.3,1132.5,1148.4,1166.7,1201,1252.3
