"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"170","163","          Water supply and sewage maintenance","DWSMRG3",6.423,6.63,6.807,6.98,7.191,7.297,7.474,7.753,7.931,8.315,8.876,9.577,10.595,10.984,11.579,12.28,13.475,14.982,16.605,18.544,19.42,20.761,23.272,26.075,28.283,30.17,32.016,33.769,35.586,37.527,39.791,42.428,45.529,48.608,51.253,53.821,55.481,57.73,59.279,61.346,62.632,64.2,66.187,68.416,71.022,75.639,79.976,83.867,88.206,93.485,100,107.429,113.684,120.951,126.876
"171","164","          Garbage and trash collection","DREFRG3",6.195,6.373,6.518,6.704,6.919,7.028,7.214,7.471,7.651,7.981,8.524,9.218,10.203,10.603,11.146,11.84,12.969,14.429,15.988,17.777,18.594,19.847,22.23,24.87,26.929,28.868,30.724,33.189,36.314,39.538,43.001,47.051,51.655,56.316,59.636,62.326,64.733,65.73,66.775,68.284,70.096,71.693,73.215,75.194,77.557,80.606,83.433,87.725,91.82,96.909,100,102.142,104.984,107.519,110.587
"172","165","        Electricity and gas","DELGRG3",12.585,13.005,13.116,13.117,13.087,13.09,13.06,13.086,13.143,13.257,13.517,14.074,15.039,15.778,16.678,19.38,22.295,24.514,27.1,29.048,32.071,37.556,43.051,48.684,52.602,54.872,56.036,55.641,54.764,55.195,56.732,57.688,59.449,60.587,62.47,62.813,62.922,64.368,65.84,63.645,63.389,67.075,74.139,70.337,75.812,78.717,86.714,94.549,96.86,105.043,100,99.613,100.349,97.998,100.851
"173","166","          Electricity (27)","DELCRG3",15.319,15.546,15.604,15.605,15.546,15.494,15.436,15.436,15.546,15.663,16.006,16.524,17.617,18.478,19.624,23.184,26.167,27.889,29.74,31.6,34.009,39.395,45.292,49.781,51.411,54.696,56.656,57.395,57.224,58.007,59.633,61.02,63.295,64.524,65.789,65.814,67.299,68.415,68.78,66.12,65.603,66.664,71.39,70.697,72.368,73.711,78.291,87.767,91.208,97.039,100,100.167,102.044,102.01,104.215
"174","167","          Natural gas (28)","DGHERG3",8.597,9.139,9.285,9.285,9.285,9.337,9.337,9.384,9.384,9.483,9.634,10.176,10.916,11.458,12.005,13.484,16.152,18.919,22.462,24.496,28.415,33.973,38.72,46.233,54.161,54.516,54.166,51.545,49.211,48.905,50.245,50.29,50.921,51.86,55.038,56.067,53.114,55.274,59.115,58.011,58.428,68.953,82.137,70.028,85.944,93.168,111.013,113.829,112.725,127.841,100,98.039,95.363,85.977,90.388
"175","168","    Health care","DHLCRG3",6.243,6.663,6.813,6.986,7.183,7.428,7.659,8,8.51,9.046,9.684,10.416,10.953,11.418,11.957,13.093,14.565,15.969,17.3,18.76,20.589,23.082,25.901,28.816,31.452,33.806,35.856,37.988,40.432,43.584,47.416,51.462,55.439,59.336,62.507,65.047,67.42,69.007,70.389,71.716,73.29,75.354,77.882,79.883,82.918,85.984,88.718,91.41,94.79,97.352,100,102.517,104.399,106.286,107.778
"176","169","      Outpatient services","DOUTRG3",8.303,8.499,8.665,8.918,9.13,9.372,9.678,10.227,10.883,11.49,12.317,13.177,14.052,14.524,14.996,16.324,18.259,20.139,21.922,23.641,25.677,28.495,31.447,34.132,36.612,39.039,41.442,44.151,46.913,50.077,53.408,56.92,60.25,63.64,66.649,69.726,72.114,73.25,75.192,77.054,78.825,80.725,83.253,84.402,86.172,88.364,90.576,92.222,95.643,97.768,100,102.197,103.642,104.893,105.759
"177","170","        Physician services (44)","DPHYRG3",8.029,8.225,8.418,8.662,8.858,9.103,9.395,9.987,10.666,11.258,12.086,12.969,13.841,14.283,14.732,16.104,18.063,20.116,21.973,23.774,25.98,28.728,31.869,34.862,37.592,40.204,42.54,45.632,48.992,52.5,56.35,60.404,63.962,67.981,71.765,75.361,78.325,78.874,79.934,81.647,83.459,84.908,87.323,87.215,88.577,90.364,91.99,92.814,96.622,97.64,100,102.446,104.019,105.243,105.456
"178","171","        Dental services (45)","DDENRG3",6.853,6.989,7.027,7.23,7.425,7.627,7.877,8.131,8.54,9.004,9.644,10.182,10.839,11.278,11.647,12.513,13.819,14.725,15.813,16.911,18.331,20.514,22.471,24.211,25.833,27.93,29.695,31.343,33.47,35.716,37.903,40.377,43.354,46.227,48.609,50.89,53.342,55.803,58.389,60.873,63.719,66.623,69.324,72.416,75.38,79.095,83.486,87.832,92.355,97.1,100,102.743,105.132,107.56,111.254
"179","172","        Paramedical services (46)","DPMSRG3",9.73,9.98,10.222,10.536,10.785,11.024,11.399,12.107,12.922,13.676,14.59,15.712,16.736,17.255,17.888,19.51,21.952,24.418,26.688,28.745,30.705,34.167,37.375,39.866,42.293,44.19,47.269,49.823,51.375,54.317,57.219,60.228,63.271,65.776,67.808,70.479,71.939,73.189,76.016,77.741,78.86,80.871,83.446,85.485,87.27,89.352,91.463,93.197,95.498,98.251,100,101.591,102.472,103.32,104.159
"180","173","          Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.021,57.126,60.235,63.446,66.515,69.2,71.381,74.243,75.562,76.918,80.781,82.968,83.671,86.797,89.074,91.089,91.416,93.572,94.55,95.166,96.887,98.486,100,101.129,101.125,101.944,101.862
"181","174","          Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.954,60.236,63.469,66.811,70.109,72.914,75.205,78.235,82.579,83.658,84.302,84.544,84.111,85.885,89.037,90.519,91.851,92.636,96.063,96.281,98.866,99.07,100,99.96,100.301,100.351,98.853
"182","175","          Other professional medical services","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.247,52.061,54.818,57.681,60.665,63.039,64.959,67.482,68.653,69.866,72.378,74.068,75.652,77.175,79.773,81.923,84.407,86.71,89.05,91.601,94.11,97.952,100,102.191,103.651,104.686,106.503
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.243,52.052,54.808,57.672,60.656,63.035,64.954,67.477,68.649,69.846,72.372,74.063,75.648,77.171,79.769,81.916,84.408,86.707,89.05,91.606,94.111,97.958,100,102.191,103.651,104.687,106.504
"184","177","            All other professional medical services","DOMORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.245,52.077,54.837,57.698,60.683,63.04,64.962,67.485,68.653,69.911,72.387,74.075,75.658,77.181,79.781,81.932,84.404,86.714,89.048,91.591,94.108,97.94,100,102.192,103.651,104.685,106.502
"185","178","      Hospital and nursing home services","DHPNRG3",4.845,5.474,5.619,5.734,5.928,6.187,6.368,6.559,6.973,7.464,7.981,8.624,8.962,9.406,9.961,10.958,12.14,13.25,14.304,15.574,17.218,19.441,22.072,24.979,27.59,29.823,31.611,33.349,35.542,38.623,42.719,47.078,51.472,55.711,58.983,61.103,63.449,65.379,66.321,67.229,68.642,70.826,73.347,76.033,80.117,83.929,87.114,90.713,94.057,96.996,100,102.786,105.032,107.449,109.461
"186","179","        Hospitals (51)","DHSPRG3",4.537,5.154,5.291,5.401,5.578,5.824,5.996,6.174,6.563,7.021,7.513,8.116,8.425,8.849,9.38,10.296,11.431,12.524,13.56,14.761,16.347,18.55,21.19,24.194,26.92,29.251,31.119,32.973,35.274,38.559,42.985,47.67,52.503,57.284,60.906,63.116,65.35,66.927,67.482,67.979,69.155,70.988,73.092,75.749,80.158,84.069,87.267,91.082,94.252,97.05,100,102.949,105.154,107.756,110.012
"187","180","          Nonprofit hospitals' services to households","DNPHRG3",4.537,5.154,5.291,5.401,5.578,5.823,5.995,6.173,6.563,7.02,7.514,8.115,8.424,8.848,9.379,10.297,11.43,12.524,13.56,14.759,16.346,18.551,21.186,24.193,26.917,29.249,31.118,32.971,35.274,38.559,42.983,47.671,52.5,57.282,60.903,63.113,65.348,66.927,67.482,67.979,69.155,70.985,73.091,75.748,80.157,84.075,87.266,91.082,94.249,97.048,100,102.95,105.151,107.753,110.009
"188","181","          Proprietary hospitals","DFPHRG3",4.537,5.153,5.291,5.4,5.577,5.823,5.995,6.173,6.562,7.02,7.513,8.115,8.424,8.848,9.379,10.296,11.429,12.523,13.559,14.762,16.349,18.552,21.192,24.202,26.925,29.26,31.123,32.976,35.274,38.559,42.982,47.664,52.496,57.263,60.898,63.117,65.353,66.925,67.477,67.972,69.147,70.981,73.092,75.767,80.154,84.052,87.27,91.073,94.262,97.047,100,102.938,105.165,107.763,110.002
"189","182","          Government hospitals","DGVHRG3",4.537,5.155,5.291,5.402,5.577,5.826,5.997,6.175,6.564,7.021,7.511,8.117,8.427,8.853,9.381,10.293,11.431,12.525,13.56,14.764,16.349,18.546,21.203,24.19,26.926,29.251,31.12,32.975,35.27,38.556,42.99,47.669,52.514,57.299,60.916,63.125,65.352,66.928,67.484,67.983,69.158,71,73.095,75.741,80.163,84.058,87.268,91.086,94.257,97.061,100,102.951,105.16,107.76,110.014
"190","183","        Nursing homes (52)","DNRSRG3",7.389,7.744,7.929,8.077,8.418,8.761,9.006,9.297,9.885,10.617,11.301,12.233,12.772,13.363,14.094,15.653,17.179,18.401,19.577,21.34,23.39,25.741,28.287,30.443,32.21,33.82,35.143,36.22,37.814,39.784,42.18,44.991,47.38,49.171,50.905,52.641,55.474,58.859,61.385,63.994,66.411,70.13,74.539,77.364,79.894,83.24,86.357,88.915,93.102,96.728,100,101.969,104.42,105.88,106.585
"191","184","          Nonprofit nursing homes' services to households","DNPNRG3",7.388,7.743,7.928,8.076,8.417,8.76,9.005,9.296,9.884,10.616,11.3,12.232,12.771,13.361,14.092,15.652,17.177,18.399,19.575,21.338,23.388,25.738,28.283,30.439,32.207,33.816,35.139,36.216,37.836,39.777,42.164,44.984,47.379,49.168,50.903,52.635,55.465,58.856,61.386,63.995,66.409,70.128,74.537,77.359,79.887,83.236,86.349,88.913,93.085,96.718,100,101.957,104.41,105.872,106.578
"192","185","          Proprietary and government nursing homes","DFPNRG3",7.389,7.744,7.929,8.077,8.418,8.761,9.006,9.297,9.885,10.617,11.301,12.233,12.772,13.363,14.094,15.653,17.179,18.401,19.577,21.34,23.39,25.741,28.286,30.443,32.21,33.82,35.143,36.22,37.802,39.787,42.187,44.995,47.38,49.172,50.906,52.643,55.478,58.86,61.385,63.994,66.412,70.13,74.539,77.367,79.897,83.242,86.36,88.916,93.11,96.733,100,101.975,104.425,105.884,106.589
"193","186","    Transportation services","DTRSRG3",13.435,13.735,14.136,14.441,14.503,14.694,14.948,15.219,15.788,16.5,17.516,18.869,20.195,20.964,21.891,23.767,26.394,28.363,30.331,32.339,35.214,40.874,45.846,48.385,50.222,52.204,53.234,53.767,56.046,58.666,61.245,63.586,65.331,67.188,69.525,70.372,71.926,72.833,74.447,75.759,76.888,79.195,80.084,80.469,82.2,83.421,86.461,90.024,92.097,97.022,100,102.024,104.73,106.75,107.971
"194","187","      Motor vehicle services","DMVSRG3",12.751,12.955,13.261,13.418,13.564,13.713,13.969,14.174,14.722,15.419,16.312,17.403,18.54,19.28,20.309,22.249,24.944,26.684,28.614,30.833,33.828,37.311,40.727,43.758,45.661,47.235,48.593,50.42,52.501,54.551,56.767,58.956,61.242,63.136,65.062,66.991,68.692,70.026,71.008,72.362,73.854,75.92,78.421,80.509,81.958,83.114,85.543,88.535,90.951,95.045,100,100.645,101.974,103.23,104.322
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRG3",11.291,11.488,11.789,11.942,12.09,12.238,12.489,12.692,13.239,13.94,14.838,15.938,17.087,17.837,18.833,20.732,23.381,25.078,26.964,29.153,31.972,35.244,38.455,41.269,43.001,44.366,45.529,46.906,48.638,50.586,52.609,54.651,56.952,59.035,60.758,62.366,63.794,65.432,67.116,68.753,70.643,72.887,75.422,78.184,80.392,82.269,85.042,88.622,91.634,96.071,100,101.918,104.034,105.867,107.536
"196","189","        Other motor vehicle services (61)","DOVSRG3",22.393,22.507,22.61,22.684,22.68,22.739,22.85,22.937,23.097,23.273,23.551,23.898,24.268,24.522,25.385,26.805,28.684,30.051,31.511,33.001,36.33,40.256,44.096,47.781,50.409,53.13,55.518,60.122,64.182,66.296,69.247,71.81,73.401,73.972,76.582,79.616,82.192,82.526,81.59,82.236,82.751,84.418,86.874,87.191,86.452,85.481,86.928,88.377,89.343,92.637,100,97.534,96.93,96.794,96.627
"197","190","          Motor vehicle leasing","DMVLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.517,31.408,35.166,37.708,40.483,43.189,47.424,52.404,57.209,61.781,65.029,68.884,72.147,77.909,82.009,85.521,87.117,88.171,91.088,90.406,92.004,95.463,98.976,98.883,95.606,94.073,93.721,94.871,98.515,96.683,94.481,91.316,90.493,90.889,90.438,92.668,100,94.644,92.114,87.316,84.55
"198","191","            Auto leasing","DALERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.005,85.512,87.122,88.17,91.094,90.422,92.009,95.438,99.007,98.9,95.646,94.107,93.752,94.913,98.548,96.712,94.531,91.376,90.536,90.917,90.466,92.729,100,94.645,92.134,87.337,84.634
"199","192","            Truck leasing","DTLERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.043,85.64,87.082,88.17,91.06,90.329,91.985,95.55,98.922,98.859,95.543,94.019,93.669,94.806,98.461,96.636,94.404,91.228,90.423,90.833,90.382,92.565,100,94.643,92.066,87.267,84.562
"200","193","          Motor vehicle rental","DMVRRG3",11.452,11.679,12.034,12.145,12.318,12.435,12.664,12.956,13.475,14.174,15.101,16.198,17.356,18.161,19.141,21.097,23.764,25.505,27.428,29.195,32.062,35.412,38.717,41.859,44.07,46.685,48.89,52.806,56.761,58.091,61.089,63.851,64.635,65.677,69.027,71.615,73.428,74.412,77.049,79.904,82.144,84.532,81.272,85.722,84.809,82.4,83.695,86.623,89.159,92.348,100,97.098,97.209,96.929,98.713
"201","194","          Parking fees and tolls","DPFTRG3",16.213,16.243,16.226,16.257,16.204,16.222,16.254,16.251,16.252,16.22,16.215,16.22,16.221,16.22,16.701,17.386,18.262,18.947,19.653,20.422,22.508,24.981,27.406,29.749,31.43,32.99,34.391,37.369,40.121,41.407,43.885,46.227,47.038,48.098,50.801,53.097,54.441,55.185,57.133,61.364,62.894,65.455,68.436,70.917,72.911,76.466,81.879,84.285,87.08,92.791,100,103.283,105.673,114.843,118.921
"202","195","      Public transportation","DPUBRG3",15.773,16.3,16.938,17.608,17.466,17.771,18.029,18.48,19.127,19.907,21.265,23.311,25.163,26.037,26.766,28.617,31.265,33.866,36.041,37.683,40.457,51.516,60.619,61.948,63.668,66.796,66.878,63.625,66.482,70.779,74.433,77.222,77.461,79.235,82.787,80.373,81.463,81.018,84.651,85.813,85.8,88.833,84.881,80.252,82.784,84.182,88.913,94.103,95.189,102.484,100,105.75,112.327,116.577,118.171
"203","196","        Ground transportation (63)","DGRDRG3",9.477,9.713,10.026,10.386,10.538,10.808,11.012,11.408,12.02,12.659,13.449,14.952,16.2,16.911,17.173,18.125,19.87,21.494,22.992,24.224,26.029,30.13,35.305,38.836,40.731,43.207,44.839,47.991,49.344,51.269,52.823,55.377,58.046,60.403,61.163,61.724,62.416,67.057,68.134,68.708,68.72,70.466,72.652,74.553,78.759,82.501,85.911,90.138,91.453,95.952,100,104.329,109.351,112.808,117.241
"204","197","          Railway transportation","DIRRRG3",12.284,12.493,12.872,12.999,12.621,12.657,12.683,12.673,12.736,12.973,13.763,14.946,16.16,15.852,15.663,17.207,19.296,21.07,22.985,24.789,27.018,31.882,37.916,42.527,45.724,48.295,50.054,53.009,55.994,59.054,65.721,68.309,70.175,71.184,72.287,73.01,76.907,81.971,81.877,83.874,86.983,89.712,94.075,97.543,96.531,88.289,89.38,97.314,95.368,100.179,100,105.915,105.992,106.595,107.896
"205","198","          Road transportation","DROTRG3",9.143,9.386,9.692,10.089,10.32,10.629,10.862,11.324,12.027,12.728,13.526,15.078,16.34,17.159,17.47,18.364,20.087,21.71,23.182,24.377,26.162,30.236,35.382,38.853,40.661,43.148,44.782,47.962,49.237,51.114,52.427,54.988,57.702,60.115,60.865,61.421,62.032,66.66,67.765,68.306,68.252,69.975,72.111,73.974,78.3,82.336,85.804,89.937,91.338,95.828,100,104.281,109.461,113.017,117.573
"206","199","            Intercity buses","DIBURG3",9.337,9.785,9.667,9.835,10.004,10.11,10.357,10.641,11.064,11.641,12.248,13.114,14.684,15.512,16.133,17.781,20.562,21.786,24.693,26.601,28.827,32.895,37.537,40.824,44.399,48.241,51.556,56.886,55.914,58.047,59.666,61.049,63.938,64.962,62.882,62.837,60.97,62.111,62.409,65.795,67.34,70.471,72.736,75.06,77.841,80.862,83.776,89.829,90.521,96.284,100,104.729,110.56,114.592,118.605
"207","200","            Taxicabs","DTAXRG3",9.686,9.739,10.012,10.609,10.883,11.513,11.844,12.342,13.079,13.81,14.355,15.225,16.551,17.463,18.011,19.846,21.898,23.132,24.813,26.553,28.861,33.783,36.934,38.989,39.514,40.451,41.599,42.856,45.591,49.132,50.236,52.215,56.597,58.243,59.894,60.689,61.745,68.434,71.132,69.57,68.672,69.651,71.754,73.332,78.576,83.224,87.057,89.996,91.849,95.514,100,103.971,108.868,112.233,117.016
"208","201","            Intracity mass transit","DIMTRG3",9.282,9.573,10.014,10.403,10.643,10.886,11.084,11.616,12.448,13.219,14.29,16.72,17.838,18.612,18.563,18.321,19.338,21.583,22.272,22.755,24.052,27.775,34.329,38.597,40.037,42.727,43.948,47.479,48.729,49.757,51.058,54.259,56.325,59.453,60.932,61.65,63.287,69.239,70.317,69.541,68.679,69.659,71.722,73.329,78.597,83.213,87.062,89.995,91.847,95.533,100,103.962,108.861,112.193,117
"209","202","            Other road transportation service","DORTRG3",9.335,9.782,9.664,9.832,10.002,10.107,10.354,10.638,11.062,11.638,12.245,13.11,14.682,15.509,16.128,17.784,20.555,21.785,24.692,26.595,28.809,32.884,37.532,40.813,44.429,48.263,51.6,56.894,55.904,58.078,59.658,61,63.935,64.931,62.813,62.795,60.955,62.095,62.379,65.82,67.317,70.463,72.716,75.041,77.822,80.917,83.769,89.887,90.545,96.347,100,104.853,110.509,114.474,118.606
"210","203","        Air transportation (64)","DAITRG3",22.099,23.647,25.187,26.485,24.575,24.464,24.572,24.631,24.662,25.187,27.108,29.185,31.356,32.111,33.436,36.198,39.421,42.752,45.308,47.096,50.537,68.369,80.67,78.818,80.021,83.446,81.924,73.094,77.017,83.041,88.212,91.044,89.19,90.343,96.098,91.237,92.548,88.233,93.573,94.938,95.057,99.556,91.694,82.471,84.412,84.459,90.229,96.386,97.389,107.383,100,107.236,115.713,121.195,120.628
"211","204","        Water transportation (65)","DWATRG3",31.408,32.66,33.373,33.842,34.699,35.089,36.181,37.595,38.757,40.535,43.262,46.766,49.253,51.452,53.711,58.149,63.57,68.475,73.504,79.066,83.075,88.894,93.6,97.495,100.884,103.979,107.77,113.267,116.14,117.833,122.36,127.852,133.062,137.273,141.102,144.221,148.633,152.492,156.567,164.411,159.228,142.399,128.86,123.746,113.507,111.686,113.034,112.655,112.048,110.194,100,101.134,100.208,97.444,97.045
"212","205","    Recreation services","DRCARG3",14.859,15.411,15.838,16.215,16.566,17.029,17.376,17.833,18.458,19.446,20.272,21.207,22.14,22.708,23.514,25.145,26.999,28.335,29.69,31.466,33.544,36.08,38.38,40.472,42.229,44.054,45.956,47.732,49.582,51.484,54.044,56.994,59.958,61.818,63.798,65.161,66.597,68.815,71.04,72.799,75.138,78.044,80.6,82.922,85.467,87.722,90.19,93.249,95.861,98.848,100,101.075,102.808,105.622,107.46
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRG3",11.761,12.387,12.886,13.317,13.743,14.316,14.78,15.359,16.043,17.023,18.011,19.263,20.248,20.905,21.722,23.345,25.189,26.695,28.227,30.131,32.071,34.244,36.185,38.216,40.138,41.993,43.931,46.042,47.998,49.767,52.468,55.235,58.027,59.582,61.198,63.27,64.751,67.04,69.162,70.882,74.155,77.629,80.596,82.8,85.863,87.907,90.212,93.473,96.407,98.913,100,100.358,100.357,102.772,104.341
"214","207","        Membership clubs and participant sports centers","DMDFRG3",12.902,13.743,14.429,15.05,15.625,16.154,16.153,16.41,16.938,17.562,18.088,18.824,19.707,20.223,21.017,22.216,23.575,24.882,26.227,28.344,30.392,33.161,36.234,39.353,41.841,44.08,46.518,49.136,52.03,54.869,57.962,61.044,64.544,67.22,70.405,73.955,73.855,76.2,79.369,81.497,84.16,86.658,88.851,89.871,92.409,92.845,93.457,96.972,98.444,100.13,100,98.251,97.128,99.867,101.449
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRG3",14.14,14.541,14.848,15.06,15.364,15.621,15.988,16.545,17.105,17.978,19.161,20.759,21.869,22.741,23.652,25.847,28.162,30.406,32.648,34.811,36.61,39.168,41.17,42.921,44.35,45.695,47.405,49.819,51.102,51.858,53.886,56.35,58.689,60.399,61.995,63.391,65.34,67.051,68.887,70.729,73.84,77.18,80.229,82.697,86.068,88.171,90.235,93.392,96.356,98.759,100,100.329,100.429,102.589,104.06
"216","209","        Admissions to specified spectator amusements","DADMRG3",9.751,10.314,10.766,11.169,11.552,12.274,13,13.721,14.512,15.684,16.733,17.945,18.857,19.41,20.144,21.472,23.13,24.082,25.089,26.613,28.562,30.033,31.279,32.989,35.064,37.178,39.019,40.493,42.382,44.325,47.444,50.322,53.105,53.687,54.25,56.098,58.075,60.953,62.65,63.978,67.8,72.002,75.461,78.217,81.248,84.27,87.91,91.083,94.971,98.186,100,101.743,102.364,104.773,106.42
"217","210","          Motion picture theaters","DMOVRG3",8.59,9.151,9.62,10.039,10.409,11.253,12.141,13.073,14.053,15.41,16.668,18.3,19.373,19.893,20.68,22.131,23.948,24.93,25.973,27.494,29.512,31.023,32.317,34.078,36.224,38.418,40.321,41.849,43.845,45.811,49.02,52.043,54.818,55.467,56.058,57.997,60.042,62.986,64.736,66.119,70.228,74.691,77.441,79.878,84.053,86.715,89.526,92.67,96.298,98.476,100,101.525,102.572,104.53,105.727
"218","211","          Live entertainment, excluding sports","DLIGRG3",8.594,9.15,9.614,10.043,10.415,11.276,12.12,13.08,14.047,15.409,16.678,18.285,19.361,19.901,20.708,22.066,23.958,24.96,25.967,27.514,29.52,31.053,32.335,34.092,36.25,38.424,40.334,41.851,43.771,45.802,49.055,51.975,54.93,55.497,56.071,57.978,59.995,62.979,64.755,66.121,70.174,74.67,77.422,79.947,84.027,86.722,89.514,92.712,96.292,98.489,100,101.55,102.522,104.503,105.603
"219","212","          Spectator sports","DSPERG3",13.214,13.604,13.858,14.112,14.499,14.756,15.008,15.14,15.476,16.245,16.885,17.354,17.992,18.593,19.229,20.381,21.708,22.6,23.563,25.088,26.924,28.314,29.486,31.11,33.057,35.048,36.777,38.167,39.937,41.787,44.718,47.427,50.079,50.616,51.147,52.872,54.757,57.483,59.066,60.317,63.734,67.488,71.988,75.133,76.5,80.039,85.05,88.206,92.598,97.626,100,102.14,102.019,105.337,108.125
"220","213","        Museums and libraries","DMUSRG3",8.602,9.155,9.628,10.042,10.435,11.264,12.142,13.065,14.08,15.421,16.706,18.304,19.371,19.909,20.723,22.074,23.962,24.965,25.978,27.507,29.522,31.059,32.344,34.099,36.248,38.409,40.338,41.845,43.836,45.814,49.011,52,54.901,55.5,56.08,57.989,60.003,62.987,64.767,66.142,70.172,74.682,77.462,79.947,84.021,86.733,89.526,92.634,96.306,98.505,100,101.551,102.551,104.569,105.68
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRG3",23.361,23.688,23.926,24.138,24.253,24.375,24.25,24.11,24.545,25.528,25.665,25.612,26.215,26.406,26.791,27.761,29.248,30.014,30.629,31.915,33.652,36.054,38.16,40.021,41.401,43.104,45.096,46.855,48.738,50.828,53.366,56.685,60.438,62.966,65.846,66.07,67.227,69.897,73.277,75.813,77.499,79.692,81.762,85.158,87.503,89.719,91.496,94.387,95.839,98.093,100,100.976,103.015,107.179,109.567
"222","215","        Cable and satellite television and radio services","DCTVRG3",9.879,10.113,10.709,10.708,10.647,10.964,11.434,11.837,12.44,13.303,14.025,14.767,15.538,15.905,16.443,17.434,18.516,19.325,20.086,21.125,22.162,23.771,24.979,26.002,26.857,28.232,30.05,31.386,33.475,36.157,39.147,43.048,47.751,50.595,54.068,53.655,54.543,57.778,62.157,66.712,69.27,72.595,75.724,80.233,84.206,87.701,90.285,93.824,95.62,97.917,100,101.304,103.098,107.64,110.611
"223","216","        Photo processing","DFDVRG3",33.669,33.959,34.872,35.609,35.988,36.411,37.135,37.552,38.332,42.512,42.854,42.671,44.704,44.767,44.329,45.036,46.928,47.351,46.597,47.668,50.082,53.577,56.374,58.75,60.672,62.509,64.832,68.157,69.891,70.913,73.676,77.038,80.262,82.585,84.788,86.68,89.355,91.719,94.211,94.714,94.563,95.279,94.659,95.113,95.367,95.025,94.32,94.017,93.679,95.125,100,101.779,105.459,107.386,108.396
"224","217","        Photo studios","DPICRG3",24.271,24.59,24.946,25.646,25.834,26.32,26.698,26.959,27.632,28.579,29.082,30.128,30.572,30.953,31.573,33.881,37.431,39.052,40.453,42.456,44.615,47.671,50.192,52.338,54.059,55.674,57.779,60.743,62.297,63.204,65.673,68.688,71.547,73.622,75.578,77.273,79.643,81.746,83.967,84.748,85.409,86.875,89.507,93.127,95.036,94.855,94.899,95.773,97.179,98.809,100,100.986,103.091,104.773,105.55
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRG3",40.145,40.738,40.803,40.874,41.031,40.887,39.912,39.034,39.408,39.919,39.475,38.159,38.59,38.669,39.328,40.138,41.391,42.205,43.316,45.232,48.122,51.661,55.723,59.861,62.711,65.968,68.663,70.636,72.625,74.754,76.009,78.521,80.992,85.136,89.486,91.001,92.713,96.409,98.9,99.855,99.452,99.758,100.178,101.453,102.326,102.884,102.836,103.226,101.645,101.338,100,97.861,97.16,98.159,98.428
"226","219","        Video media rental","DVIDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,99.306,94.369,94.686,93.268,91.493,91.288,86.439,85.535,86.14,89.504,91.731,96.768,100,100.645,109.241,117.723,116.047
"227","220","      Gambling (91)","DGAMRG3",14.979,15.201,15.364,15.545,15.74,15.949,16.197,16.687,17.147,17.879,18.848,19.954,20.802,21.483,22.836,25.336,27.653,29.269,31.159,33.289,36.408,40.365,44.118,46.7,48.62,50.607,52.316,53.278,55.046,57.081,59.51,62.506,64.797,66.495,68.217,69.683,71.384,73.313,74.875,75.987,77.672,80.265,82.522,83.848,85.773,88.056,91.011,93.958,96.646,100.325,100,101.649,104.846,107.017,108.618
