"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",148001,147814,148407,148565,149416,149988,150186,150664,150674,150939,152843,153680,156723,157786,158570,157852,158656,159038,163105,164704,166172,168796,169975,170342,169795,170442,171913,173748,174529,175113,176076,177467,179290,180621,181276,182576,183907,184341,186620,188414,190514,192266,195607,198562,200284,201173,203729,204580,204316,203052,202994,204857,206909,207754,208253,207441,206720,208324,208025,207171,210468,211202,212034,210578,210340,210549,209893,210178,209522,210794,210743,207540,202941,202665,202359,206262,207973,209445,207656,208136,211565,216578,220857,222912,226251,228594,231833,233768,237741,239275,241066,241296,240968,238713,239662,240122,241012,240508,239931,237871,237206,237241,239307,240370,243734,250277,253496,253959,256063,259782,262787,266835,269053,272591,274974,277910,280443,287918,289250,285566,282731,277306,276751,273165,273138,272324,271609,274130,273948,278331,279702,279063,278504,278816,280395,281922,281672,281546,278343,277317,276573,275332,275109,273874,273589,272954,273831,273215,273124,278836,283901,287566,288212,282714,278596,280248,278245,283843,286893,290456,294831,294776,294410,295167,297945,301727,304256,300965,292842,286206,283660,282395,285774,286117,288001,287996,288104,287879,287324,284014,283282,283670
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",767690,769651,771825,772431,773631,775371,777585,779785,781447,784621,788465,790350,792054,794159,797384,799015,802083,805273,807967,811200,813938,817917,821958,824104,827586,829797,833951,836650,839212,841906,846958,851204,853966,858421,862362,868220,873808,877734,882507,888368,892403,897368,900844,905474,906864,908477,909410,909219,909914,909685,911266,912068,912562,913797,915426,915946,916416,916891,918217,920873,923805,926018,926952,928478,931958,936549,939213,942999,947302,952315,953490,951454,947071,947556,947949,952633,956094,959863,963862,966421,970611,972176,976582,979104,983222,986711,990200,992017,996220,999916,1002367,1004458,1005380,1006512,1009971,1011967,1015024,1015996,1019264,1017293,1017268,1017008,1019635,1022752,1025877,1030210,1031846,1034195,1039560,1044284,1046337,1048459,1049786,1053012,1056143,1059524,1062393,1067390,1068149,1067433,1068765,1068351,1069836,1070132,1071096,1072460,1073917,1075033,1075357,1076513,1075939,1073364,1070569,1071474,1075608,1080754,1083929,1087327,1087875,1091038,1092783,1095770,1097508,1097608,1095362,1093739,1095306,1097684,1098511,1099773,1098050,1097235,1100033,1103607,1107112,1113181,1117332,1124273,1126576,1123644,1126368,1128633,1134571,1138470,1141160,1141219,1143062,1139838,1134807,1131670,1131737,1139700,1143162,1143696,1146045,1148320,1149868,1156866,1164985,1171179,1176415,1181267
"346","338","      Health, gross output","DHLGRX0",439109,440578,441496,441658,442262,442917,444599,445606,446188,447260,449115,448965,449247,449244,450163,450045,451609,452737,453368,454738,454846,455768,456181,457342,459081,460367,462094,462607,462709,463558,466505,468764,470590,472918,475668,480342,483869,485483,487217,490536,492498,494782,495488,497456,498073,499202,499284,499660,503325,505970,508200,509125,509124,509531,510829,511991,512443,512566,512751,514658,515394,516208,516196,518398,521150,524480,526206,528671,532093,535919,536925,536019,534171,535291,534669,538687,542215,546051,550138,552128,555375,555590,558075,559264,561043,562657,564526,564904,567264,569318,570070,570247,569018,567497,568667,571005,576143,578534,580041,576831,575521,574319,576063,578090,580127,582581,583440,585088,587045,589207,588547,590625,590796,591550,592859,594117,595478,598545,599252,600511,604815,606500,608558,609541,611492,613800,616188,618065,619855,622757,623508,621569,616606,615377,617467,621635,623804,626114,625395,627265,628611,631370,632823,634053,634885,636185,638502,641873,642639,643310,641140,640563,643408,646326,648561,652977,653009,657211,657478,655390,657302,658516,664195,667361,668010,665210,665552,665534,665306,666164,666885,673060,675313,675509,678353,681206,682438,689406,697628,703966,708427,712049
"347","339","        Outpatient services, gross output","DOUGRX0",51153,51286,51354,51641,51784,52002,52187,52344,52517,52639,52882,52648,52729,52793,53161,53341,53463,53541,53450,53525,53676,53902,54153,54347,54521,54747,54967,55261,55623,56065,56577,57039,57464,57998,58593,59217,59863,60460,61085,61672,62209,62675,63088,63426,63749,64032,64175,64253,64009,63776,63641,63498,63461,63528,63603,63667,63768,63871,64011,64142,64269,64377,64462,64535,64583,64586,64592,64659,64692,64652,64514,64345,64258,64373,64505,64517,64437,64399,64481,64703,65023,65287,65502,65579,65638,65603,65489,65405,65376,65416,65446,65458,65452,65513,65465,65243,64871,64622,64481,64456,64406,64327,64223,64156,64112,64130,64020,63800,63524,63309,63130,63041,63075,63255,63558,63847,64179,64578,64947,65299,65608,65795,65843,65808,65734,65612,65429,65259,65101,64942,64935,65078,65452,65800,66107,66338,66428,66383,66281,66354,66570,66871,67171,67468,67838,68008,68031,67904,68096,68523,69051,69159,69051,68777,68919,69315,69933,70295,70484,70728,70996,71365,71804,72124,72497,72732,73206,73614,73946,74166,74366,74635,74895,75055,75211,75385,75411,76053,76689,76643,76600,76529
"348","340","        Nonprofit hospitals, gross output","DHSORX0",346013,347142,347934,347802,348298,348729,350144,350823,351204,352065,353676,353702,353899,353833,354409,353937,355425,356388,356991,358283,358137,358564,358603,359341,360737,361524,362476,362441,362011,362330,364890,366626,368008,369522,371382,375288,378091,379184,380180,382972,384557,386423,386643,387932,388184,388905,388844,389080,392439,394845,396980,397655,397439,397880,398856,400184,400302,400171,400249,402219,402931,403720,403674,405745,408261,411006,412914,414953,418377,421938,422849,422333,421204,422266,420743,423533,426140,429409,433027,435088,437773,437504,439716,440671,442197,443505,445243,445540,447990,450325,451144,451236,450032,448509,449738,452048,457215,459664,461319,458215,456910,455729,457302,458916,460601,463217,463807,465669,467613,470283,470006,472565,472946,473398,474210,474889,475847,478004,478009,479506,483896,485613,487111,487121,488350,490573,493179,495556,497276,500465,501386,499494,494384,492597,494084,497916,499877,502364,502115,504110,505236,507392,508223,509151,510128,511200,513299,516445,517291,517193,514940,514131,516807,519604,522007,525905,525017,528931,529617,527876,529482,529596,533294,535912,536210,534432,534908,534326,532810,533210,533439,539883,542580,542565,545212,547638,548781,555103,562543,568694,573483,577276
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",42020,42228,42289,42282,42246,42248,42332,42500,42525,42613,42619,42685,42689,42685,42653,42815,42776,42865,42989,42998,43092,43352,43468,43691,43861,44127,44672,44916,45075,45156,45035,45097,45118,45393,45685,45834,45916,45842,45955,45902,45748,45706,45777,46115,46158,46284,46286,46347,46891,47360,47588,47975,48222,48125,48370,48145,48375,48525,48494,48304,48204,48126,48075,48134,48321,48897,48713,49069,49035,49338,49566,49346,48720,48664,49427,50636,51631,52235,52622,52332,52575,52791,52851,53008,53203,53543,53789,53955,53895,53577,53481,53553,53534,53477,53467,53713,54054,54246,54240,54159,54203,54261,54536,55016,55410,55230,55607,55612,55900,55611,55408,55020,54776,54897,55090,55379,55450,55962,56294,55705,55313,55096,55605,56612,57407,57615,57580,57250,57477,57349,57185,56995,56771,56981,57278,57383,57500,57367,56996,56799,56801,57104,57426,57430,56909,56967,57162,57517,57242,57582,57133,57258,57537,57936,57621,57742,58042,57962,57347,56750,56785,57525,59083,59309,59289,58020,57404,57565,58543,58785,59081,58521,57801,57852,57888,58140,58202,58192,58325,58548,58244,58129
"350","342","      Recreation services, gross output","DRCGRX0",25610,26068,26437,26357,26276,26394,26398,26555,26660,26991,27330,27796,27154,27347,27592,27878,27865,28076,28427,28131,28137,28360,28941,28738,29213,29399,29644,29805,30175,30242,30291,30260,29617,30046,30227,30311,30424,30515,30910,31097,31111,31297,31291,31691,31825,31977,32456,32302,32384,32526,32682,32787,32871,32950,33007,33079,33177,33274,33389,33500,33579,33665,33758,33923,34076,34198,34355,34553,34708,34720,34612,34520,34597,34896,35249,35511,35574,35560,35572,35754,36085,36470,36784,36949,36984,36966,36968,37017,37120,37249,37351,37459,37592,37769,37935,38050,38137,38292,38480,38676,38833,39017,39258,39491,39661,39826,39927,40010,40091,40238,40391,40587,40742,40870,40952,40958,40850,40657,40480,40432,40340,40258,40088,39899,39712,39576,39539,39511,39462,39349,39198,39018,39017,39016,39052,39109,39019,38743,38384,38158,38043,37997,37958,37935,37965,37955,37911,37840,37906,38083,38289,38326,38308,38207,38318,38511,38820,39046,39231,39427,39760,39962,40086,40038,40245,40550,40947,40935,40913,40987,41106,40986,40838,40695,40688,40756,40876,40957,40986,40889,40901,40812
"351","343","      Education services, gross output","DEDGRX0",106735,107136,107408,107697,107767,107871,107896,108085,108370,108963,109572,110152,110440,110578,110883,111371,111975,112571,113039,113797,114485,115051,115591,116252,117110,117891,118688,119497,120452,120988,121568,122117,122824,123455,123758,124099,124509,125006,125709,126356,126952,128258,129727,130526,130109,129216,128583,128278,127992,127791,127596,127613,127787,127953,127920,127468,127273,127224,127627,128023,128361,128462,128552,128461,128456,128278,128320,128159,127595,127593,127781,128840,129390,129614,129433,128986,129128,129641,130197,130483,130487,130455,130640,131024,131588,132341,133032,133743,134089,133916,133680,133828,134851,136109,137172,137772,138137,138418,138963,139592,140200,140582,140767,141182,141632,142276,142374,142421,142396,142529,142692,142894,143241,143851,144599,145722,146136,146152,145799,145904,146727,147310,147617,147225,147161,147447,147850,148173,147742,147444,147007,147176,147487,147753,148080,148293,148577,148908,149332,149779,149648,149878,150069,150510,150882,151295,151614,151824,151903,152424,152936,153584,154166,154804,155563,156286,156619,157067,157663,158426,158919,158987,159164,159391,159981,160140,159913,159285,159008,158897,159276,159566,160060,160090,160277,160471,160655,160696,160757,160814,160852,161220
"352","344","      Social services, gross output","DSSGRX0",68388,68826,69208,69488,69995,70601,70880,71431,71905,72592,73097,73705,74239,74884,75457,76297,76774,77232,77735,78409,79199,79989,81089,81861,83289,84056,84977,85563,85989,86615,87399,88262,88669,89205,89525,89819,90074,90367,90762,91261,91805,92150,92405,92772,93103,93725,94139,94669,94645,94536,94517,94793,95282,95866,96253,96187,96127,95970,95976,96025,96010,95875,95592,95246,95318,95443,95645,96057,96322,96187,95718,95453,95380,96458,97348,98102,98104,97940,97709,97868,98381,99009,99851,100128,100359,100217,99872,99356,99175,99301,99748,100147,100329,100379,100314,99902,99761,100208,100951,101394,101724,102042,102402,102805,103124,103420,103552,103519,103906,104197,104551,104888,105149,105701,106265,106680,107096,107886,108294,108856,109447,110038,110264,110430,110220,109621,108892,108356,107831,107259,107048,106953,108532,109964,111148,111738,112055,112205,112343,112627,113306,113713,113878,113743,113180,112660,112053,111459,111197,111075,110882,110387,110216,110186,110292,110619,110930,110934,110390,109982,109841,109508,109192,109046,108721,108258,108184,108202,109000,108964,108761,109488,109888,110193,110622,110610,110812,110869,110800,110698,110309,109989
"353","345","      Religious organizations, gross output","DREORX0",66436,66391,66356,66341,66336,66344,66361,66389,66425,66467,66511,66557,66614,66681,66769,66891,67025,67184,67372,67580,67811,68062,68331,68620,68927,69228,69535,69844,70153,70469,70786,71108,71433,71755,72076,72393,72729,72999,73221,73406,73551,73656,73713,73729,73703,73629,73504,73323,73120,72946,72815,72731,72695,72732,72819,72950,73122,73338,73596,73890,74227,74529,74804,75063,75298,75499,75674,75825,75945,76039,76094,76115,76107,76075,76044,76019,75993,75957,75920,75877,75831,75778,75703,75632,75548,75505,75494,75528,75600,75720,75884,76086,76336,76620,76942,77313,77717,78051,78316,78525,78667,78750,78774,78733,78626,78448,78204,77887,77497,77145,76836,76564,76343,76163,76029,75942,75896,75889,75922,75989,76103,76180,76227,76240,76227,76184,76113,76010,75882,75718,75519,75276,74621,74007,73434,72903,72419,71978,71586,71242,70945,70693,70477,70304,70182,70053,69921,69798,69675,69548,69429,69312,69198,69083,68964,68844,68727,68611,68516,68434,68365,68311,68274,68250,68241,68247,68260,68286,68300,68312,68324,68340,68357,68374,68395,68416,68439,68463,68481,68497,68509,68520
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13794,14000,14197,14387,14571,14747,14913,15071,15219,15358,15484,15597,15701,15821,15962,16129,16314,16521,16754,17009,17288,17590,17918,18273,18648,19006,19341,19647,19926,20178,20401,20596,20763,20897,20999,21065,21103,21131,21153,21171,21184,21192,21191,21183,21169,21147,21115,21074,21019,20955,20888,20819,20770,20751,20753,20765,20785,20814,20843,20870,20896,20925,20959,21001,21032,21049,21055,21062,21070,21078,21062,21023,20962,20935,20949,21004,21095,21218,21377,21569,21794,22054,22315,22585,22860,23134,23404,23674,23913,24122,24301,24479,24661,24840,24913,24882,24741,24677,24692,24790,24906,25043,25201,25414,25681,26000,26323,26647,26971,27258,27510,27723,27892,28013,28087,28103,28060,27956,27800,27588,27325,27101,26919,26778,26629,26474,26311,26137,25954,25760,25629,25558,25609,25605,25545,25428,25459,25635,25960,26105,26067,25846,25738,25746,25872,26002,26137,26280,26427,26574,26726,26793,26775,26669,26622,26636,26713,26683,26555,26324,26111,25916,25741,25773,26013,26461,26748,26872,26828,26802,26796,27179,27441,27579,27341,27186,27117,26919,26790,26732,26746,26759
"355","347","      Social advocacy establishments, gross output","DSAORX0",7874,7926,7967,7993,8046,8148,8228,8307,8403,8514,8636,8663,8657,8636,8649,8683,8741,8784,8857,8929,8969,8992,8974,8999,9093,9178,9274,9332,9409,9485,9574,9688,9812,9972,10129,10380,10621,10894,11097,11268,11331,11392,11550,11806,12055,12214,12303,12376,12181,12030,11963,11943,11942,11949,11954,11912,11889,11877,11897,11903,11872,11840,11791,11825,11937,12072,12131,12177,12163,12149,12108,12015,12037,12219,12470,12563,12532,12509,12501,12543,12611,12747,12980,13233,13399,13466,13510,13696,13983,14240,14425,14551,14711,14895,15034,15079,15115,15281,15499,15614,15652,15684,15830,16007,16166,16308,16421,16588,16804,16938,17043,17096,17175,17325,17491,17589,17602,17582,17474,17388,17242,17214,17195,17203,17203,17290,17409,17504,17552,17507,17504,17484,17510,17547,17565,17554,17554,17629,17698,17768,17723,17601,17521,17521,17547,17579,17635,17711,17807,17876,17920,17908,17870,17849,17844,17875,17890,17892,17867,17778,17743,17900,17940,18069,18197,18472,18584,18661,18426,18337,18356,18556,18778,18939,18654,18548,18487,18483,18462,18427,18408,18421
"356","348","      Civic and social organizations, gross output","DCIORX0",8685,8723,8750,8733,8735,8780,8883,8993,9037,9034,9060,9105,9149,9189,9203,9288,9376,9460,9528,9495,9567,9588,9699,9715,9844,9842,9863,9931,9985,10041,10125,10179,10204,10244,10299,10371,10451,10546,10626,10687,10745,10790,10836,10906,10986,11070,11116,11157,11128,11119,11119,11131,11135,11139,11143,11138,11135,11114,11098,11080,11044,11012,10965,10912,10852,10781,10766,10781,10770,10651,10435,10217,10082,10122,10199,10227,10138,10018,9920,9893,9914,9908,9952,9984,10012,9994,9964,9924,9912,9903,9878,9831,9781,9734,9686,9626,9538,9487,9445,9411,9372,9342,9333,9346,9345,9354,9352,9363,9378,9425,9471,9538,9571,9604,9622,9672,9717,9811,9809,9779,9637,9557,9483,9463,9398,9326,9263,9212,9161,9078,9039,9015,9122,9179,9201,9166,9180,9220,9304,9329,9319,9225,9170,9141,9129,9124,9117,9111,9139,9180,9203,9154,9112,9057,9050,9070,9117,9103,9021,8897,8921,8908,8885,8813,8902,9036,9199,9188,9134,9125,9110,9266,9361,9436,9364,9327,9191,9333,9374,9333,9290,9225
"357","349","      Professional advocacy, gross output","DSNGRX0",31527,30469,30448,30224,30088,29991,29867,29766,29639,29802,30001,30077,31123,31982,32862,32518,32489,32765,32895,33130,33595,34420,35027,34097,32129,30586,30270,30121,30061,29959,29947,29868,29726,29596,29366,29169,29770,30519,31506,32281,32910,33532,34314,35063,35483,35916,36498,35977,33786,31534,31234,30877,30695,30652,30475,30201,30213,30460,30779,30676,32147,33211,34031,33378,33583,34503,34817,35466,36396,37753,38543,37046,34167,31792,31416,31373,31183,30872,30471,30267,30111,30136,30254,30282,31396,32391,33390,34130,35123,36096,36956,37734,37990,38534,39163,38220,35691,33056,32884,32431,32344,32163,31953,31643,31487,31975,32230,32652,35420,37279,39196,38466,38798,39851,40160,40660,41488,42856,43280,40954,37101,34173,33474,33349,33054,32744,32356,32074,31930,31655,31500,31330,32078,33042,34138,34958,35895,36923,37894,38781,39134,39463,39894,38687,35778,32970,32511,31902,31938,31833,31659,31356,31149,31603,32078,32549,35640,37834,39935,39094,39529,40742,41226,41863,42972,44932,45751,42971,38039,34284,33344,33486,33345,33093,32594,32067,32131,32055,32066,32211,33370,34664
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",630539,632887,634434,634873,635028,636137,638257,639991,641778,644863,646442,647349,645078,645922,648355,651113,653344,656294,653631,654961,655926,656650,659420,661246,665800,667306,669784,670171,671871,673989,678149,680836,681317,684326,687699,692267,696496,700153,702207,706114,707630,710632,709887,710945,710170,710746,708424,707155,708285,709694,711475,709970,707938,708218,709351,710929,712337,710890,712662,716499,715619,717069,717075,720390,724308,728852,732397,736004,741246,744975,746245,747813,748564,749373,750125,750475,752094,754312,760519,762626,763029,758909,758599,758884,759369,760337,760294,759998,759879,761987,762530,764438,765753,769401,771906,773448,775604,777153,781137,781373,782068,781753,782176,784195,783705,781044,779256,781132,784317,785131,783996,781826,780809,780313,780966,781299,781551,778766,778188,781367,785702,790886,792978,796931,797948,800151,802343,800960,801480,798311,796404,794469,792231,792821,795390,799018,802399,805878,809487,813601,816039,820184,822115,823397,821442,820439,821146,824077,824982,820777,814275,810017,812170,820841,828168,832582,838508,840111,839547,833376,832012,834280,840425,843545,843645,840254,839744,839593,842056,844993,847357,856325,856622,856840,857392,859619,861033,868108,876574,885701,891526,895935
"359","351","      Health services to households","DHLRRX0",444130,445894,446966,447502,447873,448829,451030,452431,453998,456341,457401,457537,455607,456067,458018,459981,461972,464632,461605,462743,463153,463306,464942,466399,469817,470715,472495,472576,473792,475750,479644,482268,483513,486724,490848,496123,500864,504845,506875,510938,512741,515505,514339,514925,514465,515474,513225,511887,513087,514593,516377,514675,512329,512233,513210,515089,516385,514744,515854,519377,518536,520146,520565,523964,527801,532248,535490,538675,543803,547653,549490,551016,551550,551142,551022,551228,553207,555750,562272,564160,564470,559994,559060,559077,559401,560491,560569,560238,560015,562266,563041,565126,566184,569300,571516,573089,575075,576208,579585,579574,580138,579765,580100,582002,581576,578726,577407,579524,583163,584083,582976,580858,579894,579105,579423,579342,579564,577012,577176,580656,585285,590572,592859,596983,598529,601140,603414,602083,603232,600709,599037,596383,593130,593176,595266,599514,603167,606769,610314,614212,616342,620305,622370,623821,622118,621100,621694,624420,625260,621019,614815,611247,613687,622351,629376,633235,638540,639880,639871,634050,632596,634801,640215,643081,642687,639117,638590,638724,641582,644813,647012,654498,653932,653802,654866,657624,659145,665716,673770,682730,688684,693240
"360","352","        Outpatient services to households","DOUSRX0",41623,41671,41678,41885,42002,42194,42368,42595,42834,43049,43305,43151,43408,43637,44145,44388,44571,44709,44630,44748,44874,45020,45113,45169,45235,45322,45483,45701,45988,46337,46719,47071,47500,47867,48407,49089,49781,50482,51128,51563,52152,52636,52956,53226,53500,53793,53911,53872,53671,53444,53403,53443,53542,53632,53770,53929,54098,54078,54327,54605,54842,55136,55368,55583,55833,56077,56384,56606,56767,56774,56777,56813,56919,57103,57344,57411,57348,57371,57495,57725,57980,58043,58038,57927,57556,57028,56607,56294,56018,55810,55563,55391,55315,55373,55398,55265,54872,54566,54401,54354,54283,54206,54074,53936,53759,53429,53253,53184,53196,53175,53162,53088,53036,53025,52993,52968,52968,52914,53047,53235,53472,53691,53923,54205,54448,54635,54698,54728,54737,54660,54634,54712,54814,54939,55090,55229,55378,55463,55585,55734,55931,56116,56384,56677,57098,57441,57713,57909,58168,58404,58497,58489,58511,58566,58900,59018,58889,58812,58689,58840,58997,59273,59489,59635,59729,59929,60280,60584,60706,60791,60911,61327,61578,61809,61944,62071,62109,62548,62841,62839,62764,62658
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",358818,360479,361653,362034,362451,363211,365054,366066,367357,369398,370131,370551,368775,368767,370126,371550,373235,375597,372943,374085,374223,374327,375721,377027,380106,380854,382299,382271,383115,384524,388326,390514,391268,393910,397308,401775,405754,408949,410167,413913,415040,417311,415646,415844,415131,415270,412900,411453,412521,413897,415476,413455,410982,410764,411568,413272,414427,412938,413837,417242,416225,417639,417848,420876,424304,428181,431011,433702,438456,441973,443763,445299,446140,445464,444631,444272,445759,448024,454082,455719,455967,451562,450740,450729,450984,452627,453453,454081,454472,456920,457503,459466,460588,463750,465830,467192,469354,470520,474079,474265,475026,474698,475061,477059,476588,473954,472720,475331,479033,480200,479003,476963,476138,475603,476199,476442,476832,474399,474559,478052,482924,487958,489368,492107,492607,494677,497159,496032,496731,494196,492843,490629,487160,487019,488975,493295,497029,500650,504216,507780,509475,512902,514270,515351,513750,512616,513103,515476,516040,511610,505644,502131,504763,512783,519513,523269,528410,530196,530456,525097,523692,525122,529141,531538,531387,528516,528192,528048,530140,533111,534937,542413,542108,541975,542344,544580,546069,551843,559240,567703,573617,578331
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",44218,44283,44177,44098,43915,43902,44092,44243,44264,44351,44400,44292,43812,44030,44070,44362,44487,44664,44338,44214,44349,44234,44392,44498,44809,44870,45047,44910,44973,45150,44875,44952,44973,45171,45345,45460,45511,45565,45674,45566,45603,45592,45709,45803,45744,46293,46256,46396,46762,47159,47426,47684,47684,47709,47744,47763,47732,47591,47543,47388,47305,47197,47164,47327,47493,47832,47937,48213,48444,48790,48842,48797,48376,48448,48910,49411,49981,50247,50608,50627,50422,50275,50169,50318,50781,50775,50456,49804,49465,49481,49936,50240,50254,50146,50256,50608,50833,51113,51098,50946,50820,50853,50959,51003,51230,51347,51441,51011,50935,50709,50814,50810,50723,50479,50233,49932,49763,49695,49564,49367,48888,48924,49568,50670,51471,51824,51555,51323,51763,51856,51564,51048,51171,51237,51219,51000,50763,50652,50501,50682,50922,51272,51703,51781,51262,51041,50879,51033,51054,51021,50706,50669,50449,51017,50959,50932,51204,50824,50674,50080,49883,50390,51574,51894,51556,50667,50119,50104,50754,50915,51166,50713,50203,49981,50557,50950,50935,51280,51612,52061,52131,52034
"363","355","      Recreation services to households","DRCRRX0",13713,13919,14154,14082,13981,14026,14041,14121,14187,14332,14299,14492,14070,14134,14194,14295,14232,14246,14366,14098,14063,14145,14459,14347,14552,14594,14707,14700,14827,14857,14755,14646,14100,14242,14210,14199,14230,14210,14279,14225,14135,14208,14176,14328,14318,14255,14445,14349,14507,14544,14591,14617,14664,14708,14786,14881,14973,15073,15225,15320,15368,15440,15522,15769,15891,16030,16286,16500,16671,16739,16763,16892,17207,17596,17979,18131,18172,18197,18268,18467,18508,18580,18674,18736,18778,18725,18741,18827,18874,18946,18999,19038,19006,19055,19056,19089,19138,19221,19236,19167,19113,19142,19207,19229,19200,19184,19004,18977,18806,18776,18771,18713,18665,18614,18593,18500,18418,18228,18111,18113,17974,17759,17651,17756,17583,17435,17449,17419,17272,17230,17215,17497,17764,17864,18069,17744,17648,17604,17483,17405,17569,17477,17317,17208,17217,17245,17277,17297,17217,17229,17350,17224,17224,17281,17088,16890,16905,17035,16953,17044,17264,17383,17608,17627,17801,18003,18090,18028,17798,17589,17630,17698,17677,17691,17776,17757,17627,17718,17824,17887,17798,17761
"364","356","      Education services to households","DEDRRX0",93880,93962,93974,94043,93881,93755,93519,93487,93544,93946,94322,94677,94793,94757,94878,95135,95487,95787,95971,96403,96774,97058,97266,97611,98066,98403,98668,98891,99186,99046,98861,98549,98284,97832,97049,96216,95409,94831,94358,93880,93538,93782,94207,94347,93736,92986,92511,92319,92194,92114,91994,92004,92051,91988,91685,91155,90915,90877,91026,91067,90952,90695,90474,90127,89800,89286,88924,88590,88131,88253,88384,89014,89137,89082,88833,88482,88451,88603,88694,88675,88504,88368,88284,88254,88259,88444,88626,88837,88763,88307,87789,87537,87879,88387,88748,88801,88700,88532,88549,88626,88747,88733,88636,88693,88786,88998,88891,88784,88664,88620,88559,88497,88502,88651,88872,89313,89286,88978,88413,88095,88186,88174,88043,87545,87283,87270,87340,87398,87049,86832,86576,86706,86746,86757,86815,86797,86818,86863,86972,87109,86911,86930,86916,87015,87094,87193,87299,87348,87270,87346,87340,87451,87583,87797,88022,88178,88050,88027,88108,88321,88412,88301,88288,88313,88575,88592,88426,88043,87830,87707,87860,88129,88474,88498,88569,88637,88684,88628,88600,88575,88537,88689
"365","357","      Social services to households","DSSRRX0",35955,36088,36201,36261,36446,36708,36793,37030,37232,37556,37795,38092,38352,38660,38930,39334,39551,39750,39958,40267,40626,40981,41469,41798,42436,42755,43144,43409,43604,43922,44326,44729,44960,45168,45347,45534,45715,45908,46116,46351,46573,46676,46751,46873,46947,47143,47208,47287,47144,47063,47058,47119,47289,47501,47689,47723,47821,47913,48077,48258,48438,48509,48512,48539,48708,48855,49056,49296,49479,49305,48998,48782,48800,49272,49643,49842,49692,49459,49211,49190,49337,49535,49809,49837,49775,49620,49356,49070,48937,48932,49032,49082,49024,48977,48900,48723,48771,49020,49367,49535,49612,49685,49773,49880,49888,49950,49922,49799,49775,49791,49808,49844,49858,49971,50081,50097,50149,50272,50284,50372,50424,50563,50595,50692,50692,50560,50482,50504,50543,50641,50780,50981,51400,51735,52022,52085,52063,52009,52026,52149,52433,52660,52743,52685,52559,52454,52358,52324,52348,52333,52194,51941,51889,51829,52026,52258,52513,52521,52207,51942,51791,51707,51686,51634,51391,51058,50866,50813,51042,51018,50950,51229,51348,51471,51568,51546,51654,51780,51789,51766,51696,51579
"366","358","      Religious organizations' services to households","DRELRX0",6451,6438,6425,6412,6399,6385,6371,6356,6340,6323,6304,6284,6264,6244,6225,6207,6191,6176,6163,6151,6140,6130,6121,6113,6105,6096,6087,6077,6065,6053,6040,6026,6012,5996,5978,5960,5942,5923,5905,5890,5876,5864,5853,5844,5836,5830,5825,5821,5820,5819,5820,5821,5825,5831,5840,5849,5860,5871,5884,5897,5911,5923,5933,5942,5950,5956,5960,5963,5963,5962,5959,5953,5946,5937,5929,5922,5916,5910,5904,5899,5894,5890,5884,5880,5875,5873,5874,5878,5885,5895,5909,5925,5945,5967,5992,6021,6052,6078,6099,6115,6126,6132,6134,6130,6122,6108,6089,6065,6034,6007,5983,5962,5945,5931,5920,5913,5910,5909,5912,5917,5926,5932,5936,5937,5936,5932,5927,5919,5909,5896,5880,5861,5810,5763,5718,5677,5639,5605,5574,5547,5524,5505,5488,5474,5465,5455,5444,5435,5425,5415,5406,5397,5388,5379,5370,5361,5351,5343,5335,5329,5323,5319,5316,5314,5314,5314,5315,5317,5318,5319,5320,5321,5323,5324,5326,5327,5329,5331,5332,5334,5335,5335
