"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206"
"331","323","        Moving, storage, and freight services","DMSERC0",305,323,341,355,358,353,345,339,342,352,365,377,384,387,389,391,397,405,412,418,417,412,408,411,430,461,494,527,547,558,565,570,581,595,609,623,673,710,753,796,832,868,905,939,965,994,1028,1073,1104,1135,1193,1248,1298,1349,1396,1433,1476,1518,1570,1640,1714,1799,1854,1877,1849,1818,1829,1904,2009,2114,2230,2339,2443,2519,2596,2682,2786,2851,2983,3124,3284,3481,3655,3780,3907,4059,4108,4162,4319,4433,4439,4405,4242,4239,4270,4337,4455,4549,4747,5061,5475,5673,5853,5939,5998,6069,6184,6273,6394,6482,6478,6374,6257,6183,6094,6050,5835,5758,5723,5759,6136,6332,6442,6423,6336,6279,6267,6168,5982,5886,5922,5975,6130,6243,6349,6318,6497,6649,6839,7064,7370,7690,8051,8301,8714,8888,9148,9215,9142,9463,9853,10133,10548,10964,11302,11565,11788,11957,12209,12376,12535,12817,13075,13363,13735,13956,14022,13947,13650,13379,13157,12917,12625,12363,12231,12156,12342,12487,12812,13335,13937,14566,14980,15519,15958,16418,16809,17304,17432,17533,17526,17718,18161,18357,18438,18286,17820,17660,17608,17268,16699,16825,16605
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERC0",372,383,391,398,398,390,379,369,364,360,360,360,358,358,357,355,354,350,346,346,354,366,380,392,398,397,394,391,397,406,415,422,421,416,416,419,446,468,490,508,518,533,546,555,571,580,595,610,600,606,633,677,737,806,858,891,868,855,841,827,844,856,863,872,852,820,810,805,817,827,833,832,820,815,815,824,819,812,815,834,867,896,919,928,928,925,920,915,935,949,951,954,929,923,920,925,937,952,968,976,977,981,1007,1051,1096,1121,1144,1157,1141,1165,1205,1262,1381,1460,1509,1530,1501,1513,1540,1568,1650,1701,1730,1759,1853,1912,1913,1925,1921,1923,1909,1897,1861,1853,1854,1832,1764,1740,1718,1695,1682,1684,1693,1702,1708,1687,1674,1657,1645,1631,1615,1603,1574,1575,1591,1617,1653,1685,1698,1725,1719,1697,1675,1650,1643,1624,1603,1544,1500,1464,1433,1388,1352,1328,1323,1336,1348,1348,1341,1322,1309,1320,1326,1333,1357,1394,1412,1438,1433,1427,1426,1426,1422,1392,1367,1362,1340,1335,1316,1329,1320,1303,1303
"333","325","        Repair of household appliances","DERERC0",201,281,240,197,266,267,265,264,268,278,287,294,293,288,282,277,278,283,291,299,243,304,303,363,313,326,339,354,368,381,396,410,426,444,465,485,457,448,438,432,443,452,448,435,427,409,389,370,360,351,333,311,269,263,288,300,305,312,335,346,353,366,380,410,402,402,425,441,452,473,496,521,507,548,599,607,594,627,658,761,813,855,938,973,953,983,1012,1054,1084,1150,1155,1100,999,949,937,976,988,984,1011,1073,1093,1038,1057,1069,1102,1117,1128,1130,1071,1043,1035,1019,984,996,1045,1056,1009,1085,1152,1139,1109,1117,1131,1080,1074,1081,1123,1116,1124,1168,1228,1216,1230,1247,1250,1258,1322,1420,1507,1605,1709,1823,1945,2092,2301,2418,2518,2577,2610,2747,2902,3053,3155,3230,3290,3329,3350,3380,3401,3482,3523,3532,3536,3525,3551,3563,3587,3545,3547,3561,3575,3540,3518,3515,3550,3627,3697,3751,3807,3850,3925,4033,4076,4071,4082,4162,4238,4389,4509,4626,4750,4862,4945,4942,4960,5051,5082,5150,5138,5218,5234,5229,5299
"334","326","        Other household services","DMHSRC0",58,61,64,66,67,66,65,66,68,70,73,73,74,74,73,73,72,73,76,85,102,126,148,168,181,185,186,187,200,215,227,238,242,240,243,247,255,266,277,289,301,310,318,322,324,328,331,334,341,346,356,366,371,376,393,410,432,454,473,487,489,497,503,513,520,528,547,577,610,637,678,717,754,780,814,842,903,944,1005,1067,1127,1200,1276,1336,1394,1467,1519,1580,1670,1751,1819,1877,1893,1940,1998,2055,2113,2185,2255,2348,2402,2422,2491,2573,2719,2815,2937,3033,3098,3159,3238,3303,3367,3462,3578,3700,3911,3984,4094,4229,4381,4453,4543,4607,4774,4858,4920,4855,4664,4555,4523,4498,4629,4816,4981,5020,5037,5124,5233,5356,5528,5681,5841,5901,6006,6008,6079,6036,5954,6024,6094,6064,6034,6092,6217,6419,6660,6931,7177,7381,7549,7701,7826,7932,8132,8299,8446,8549,8771,8888,9113,9317,9570,9682,9748,9710,9685,9579,9603,9714,9881,10079,10333,10489,10681,10823,10901,11003,11017,10985,11091,11360,11643,11878,12021,12129,12280,12523,12717,12820,12844,12803,12819
"335","327","      Net foreign travel","DFORRC0",999,1085,1044,1112,1187,1270,1175,1180,1196,1174,1167,1227,1300,1383,1497,1568,1451,1698,1726,1669,1540,1573,1548,1679,1900,1768,1744,1732,1925,1859,1676,1904,2180,2688,2452,2316,2320,2161,2265,2006,2253,2325,2446,2536,2592,2784,2897,2731,2743,3012,2774,3119,3503,3466,3458,3721,3397,3590,3249,3244,3227,3590,3377,3806,3315,3199,3320,3714,3288,2492,2476,3232,3567,3491,3070,3084,3188,2742,3201,2917,2387,2811,3022,2424,1954,1637,1529,1864,-1142,-1579,-1366,-2457,-828,-303,-493,1005,1435,3053,2651,3779,4005,2692,4537,3741,4004,5383,5573,3364,1604,-733,49,352,3761,3597,2033,2560,2534,780,-879,-1307,-4289,-5432,-6797,-9065,-8364,-8641,-9790,-14265,-13971,-16850,-18998,-20453,-21258,-21411,-20446,-20526,-22264,-23179,-21954,-19717,-18231,-19356,-17909,-19834,-19894,-19536,-25580,-27052,-24395,-28219,-20616,-31627,-25959,-24510,-24214,-23171,-19992,-18008,-13752,-16170,-15192,-16453,-18193,-17871,-17528,-18226,-14700,-15734,-16743,-8239,-8982,-9283,-6952,-7263,-10153,-12359,-4102,-4984,-3902,-8343,-4035,-4358,-4539,-5059,-4384,-6730,-4904,-4430,-2215,144,-2253,-1920,-712,-3480,-11459,-21469,-15915,-20463,-25631,-17032,-17393,-19144,-19268
"336","328","        Foreign travel by U.S. residents (129)","DFTRRC0",2068,2056,2128,2192,2271,2350,2323,2308,2304,2294,2335,2427,2492,2559,2609,2672,2615,2883,2937,2925,2896,2961,2956,3139,3364,3292,3300,3428,3577,3615,3500,3732,4008,4444,4300,4244,4277,4111,4315,4097,4539,4663,4787,4879,5210,5427,5522,5497,5615,5833,5679,6285,6653,6722,6795,7158,7291,7383,7229,7393,7709,8053,8060,8686,8567,8314,8882,9273,9256,9029,9373,9862,10103,10405,10121,10511,10719,10769,11505,11435,11447,12033,12253,12519,13034,12704,13486,13992,14790,14458,15199,15557,16380,16609,15940,17159,16504,18325,19449,19298,24474,25903,27109,26950,26721,29095,28847,26953,28146,25329,28420,29285,32482,33852,33880,35513,36966,36229,37719,38430,37974,37424,38742,39595,42437,43295,42581,42496,38349,42231,42254,43879,45045,45493,46062,47361,47032,47304,48798,52137,52769,53241,54036,53308,53510,54659,54458,56216,57616,57342,58594,60233,62720,63981,65852,65758,67974,71374,72049,72494,74581,74349,74724,77980,82327,84034,85025,85641,85784,90076,80100,66555,77685,77688,75765,81249,80316,73096,82402,86025,89512,92658,92532,94556,97918,100186,99929,101017,104629,109216,108556,111707,111445,114080,116155,114283,120407,120076,118646,116065,105296,98175,103408
"337","329","          Passenger fares for foreign travel","DAFTRC0",794,790,818,842,873,902,893,888,886,881,897,932,957,982,1002,1027,1004,1108,1128,1124,1112,1139,1135,1206,1293,1265,1268,1318,1375,1388,1344,1433,1539,1706,1652,1631,1644,1578,1659,1575,1744,1792,1838,1874,2002,2084,2122,2112,2157,2240,2183,2416,2556,2584,2610,2750,2801,2837,2778,2840,2962,3095,3095,3336,3292,3193,3412,3563,3556,3470,3602,3788,3900,4024,3891,3993,4051,4037,4097,4103,4223,4331,4540,4662,4913,4962,5340,5561,5751,5878,6214,6513,6923,6864,6825,7216,7425,8348,8732,8807,7834,8376,8674,9272,8670,9949,9938,9259,9238,8816,9307,9743,10057,11028,11315,11731,12081,12146,12172,12063,12973,12519,12798,12463,14006,13930,13476,13631,11957,13845,14560,15565,15234,15328,15642,16276,16022,16317,17151,17533,18582,19018,19294,18792,18792,18998,19494,19793,19951,20209,20339,21831,22273,23581,24440,24293,24919,26878,27329,26912,29522,28358,28031,29850,31153,33177,34239,34334,35274,36907,33342,24626,31085,31134,29157,32268,33087,30329,34544,35930,37658,38864,38178,39445,41593,42793,43560,44344,46289,49720,48760,50726,50338,51955,52407,48940,53519,53485,52780,50829,43022,39067,41419
"338","330","          U.S. travel outside the United States","DUSTRC0",1274,1266,1310,1350,1398,1448,1430,1420,1418,1413,1438,1495,1535,1577,1607,1645,1611,1775,1809,1801,1784,1822,1821,1933,2071,2027,2032,2110,2202,2227,2156,2299,2469,2738,2648,2613,2633,2533,2656,2522,2795,2871,2949,3005,3208,3343,3400,3385,3458,3593,3496,3869,4097,4138,4185,4408,4490,4546,4451,4553,4747,4958,4965,5350,5275,5121,5470,5710,5700,5559,5771,6074,6203,6381,6230,6518,6668,6732,7408,7332,7224,7702,7713,7857,8121,7742,8146,8431,8739,8283,8682,8732,9139,9405,8765,9579,8715,9610,10348,10127,16271,17148,18051,17286,17651,18746,18507,17280,18481,16092,18685,19086,21966,22433,22102,23287,24379,23539,24975,25820,24441,24317,25351,26528,27799,28713,28441,28181,25702,27689,26986,27616,29090,29410,29632,30283,30175,30143,30785,33715,33270,33255,33735,33520,33564,34544,33873,35285,36455,35891,36982,37118,39114,39008,39982,40035,41558,42919,43092,43934,43340,44199,44845,46262,49238,48845,48722,49192,48326,50933,44478,39433,44092,43938,43884,46025,44113,39647,44733,46867,48461,50294,50746,51443,52509,53492,52437,52353,53947,54987,55182,56629,56624,57414,58866,60381,61833,61468,60683,59782,56981,53769,56541
"339","331","          U.S. student expenditures","DUSSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,297,303,312,318,340,350,364,364,367,369,364,369,379,384,392,400,400,402,414,427,421,428,456,459,391,463,495,507,545,572,548,560,588,592,604,632,652,664,684,690,697,707,698,722,756,788,802,834,844,862,889,916,968,1007,997,1155,1117,1090,1138,1210,1242,1272,1284,1332,1392,1430,1430,1497,1576,1628,1647,1720,1792,1848,1868,1936,2012,2064,2116,2184,2236,2280,2496,2508,2616,2724,2956,3116,3120,3124,3228,3392,3500,3608,3668,3816,3900,3932,4320,4393,4509,4613,4353,4484,4711,4883,4963,5055,5123,5183,5455,5293,5339,5448
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC0",1069,971,1084,1080,1084,1080,1148,1128,1108,1120,1168,1200,1192,1176,1112,1104,1164,1185,1211,1256,1356,1388,1408,1460,1464,1524,1556,1696,1652,1756,1824,1828,1828,1756,1848,1928,1957,1950,2050,2091,2286,2338,2341,2343,2618,2643,2625,2766,2872,2821,2905,3166,3150,3256,3337,3437,3894,3793,3980,4149,4482,4463,4683,4880,5252,5115,5562,5559,5968,6537,6897,6630,6536,6914,7051,7427,7531,8027,8304,8518,9060,9222,9231,10095,11080,11067,11957,12128,15932,16037,16565,18014,17208,16912,16433,16154,15069,15272,16798,15519,20469,23211,22572,23209,22717,23712,23274,23589,26542,26062,28371,28933,28721,30255,31847,32953,34432,35449,38598,39737,42263,42856,45539,48660,50801,51936,52371,56761,52320,59081,61252,64332,66303,66904,66508,67887,69296,70483,70752,71854,71000,72597,71945,73142,73404,74195,80038,83268,82011,85561,79210,91860,88679,88491,90066,88929,87966,89382,85801,88664,89773,90802,92917,95851,99855,102260,99725,101375,102527,98315,89082,75838,84637,84951,85918,93608,84418,78080,86304,94368,93547,97016,97071,99615,102302,106916,104833,105447,106844,109072,110809,113627,112157,117560,127614,135752,136322,140539,144277,133097,122689,117319,122676
"341","333","          Foreign travel in the United States","DFTURC0",1069,971,1084,1080,1084,1080,1148,1128,1108,1120,1168,1200,1192,1176,1112,1104,1164,1185,1211,1256,1356,1388,1408,1460,1464,1524,1556,1696,1652,1756,1824,1828,1828,1756,1848,1928,1957,1950,2050,2091,2286,2338,2341,2343,2618,2643,2625,2766,2872,2821,2905,3166,3150,3256,3337,3437,3894,3793,3980,4149,4482,4463,4683,4880,5252,5115,5562,5559,5968,6537,6897,6630,6536,6914,7051,7427,7531,8027,8304,8518,9060,9222,9231,10095,11080,11067,11957,12128,13477,13497,14094,15128,14367,13981,13525,13010,11901,12044,13526,12159,17053,19747,19048,19605,19041,19975,19470,19802,22665,22126,24342,24827,24493,25975,27423,28533,29795,31116,33737,34836,37335,37840,40317,43178,45278,46317,46496,50754,46166,52807,54783,57821,59624,60129,59514,60764,61999,63071,63144,64226,63189,64684,63775,65155,65203,65885,71533,74796,73388,76761,70175,82751,79515,79179,80608,79026,77989,79218,75441,78201,79055,79948,81840,84631,88504,90620,87770,88926,90119,85615,76058,62148,70928,70973,71621,79248,69698,63226,71324,79391,78416,81750,81711,84199,86721,90949,88667,89222,90443,92434,93947,96275,94606,99727,109464,116237,116595,120407,123835,112347,102373,96910,101884
"342","334","          Medical expenditures of foreigners","DMEFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,352,351,354,385,387,388,388,416,416,416,416,440,440,440,440,468,469,468,467,493,492,493,494,516,516,516,516,541,541,541,541,588,588,588,588,613,627,638,642,675,669,672,672,712,708,706,706,748,748,748,748,796,796,796,796,837,845,861,885,961,992,1021,1046,1079,1104,1124,1149,1172,1192,1220,1236,1314,1338,1360,1393,1444,1482,1520,1558,1452,1468,1488,1509,1444,1446,1461,1488,1524,1558,1588,1612,1631,1650,1669,1692,1745,2010,2026,2073,2114,2158,2184,2208,2240,2280,2326,2378,2423,2452,2482,2511,2457,2462,2507
"343","335","          Expenditures of foreign students in the United States","DEFSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104,2188,2120,2532,2456,2544,2520,2756,2752,2812,2856,2944,2976,3024,3084,3164,3208,3268,3336,3320,3384,3444,3536,3612,3712,3764,3908,3904,4096,3792,4320,4360,4340,4428,4634,4894,4910,4992,5237,5365,5479,5605,5797,5839,5967,6067,6288,6418,6548,6664,6860,6879,7014,7118,7374,7190,7365,7464,7644,7587,7662,7808,8014,8063,8084,8208,8334,8754,8805,8972,9140,9228,9404,9516,9716,9828,9907,10159,10435,10891,10956,11232,11536,12180,12264,12532,12836,12872,13196,13296,13392,13364,13500,13616,13692,13724,13836,13956,14140,14152,14287,14479,14679,15143,15312,15552,15824,17136,17304,17680,17960,18240,17859,17947,18285
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISH) (130)","DNPIRC0",4852,4989,5131,5264,5330,5299,5261,5216,5183,5416,5546,5713,5793,5745,5675,5617,5679,5872,6112,6335,6639,6695,6717,6725,6772,7025,7339,7634,7788,7772,7734,7710,7872,8201,8612,9000,9202,9263,9380,9538,9693,9920,10205,10514,10746,10945,11298,11365,11694,12042,12513,13064,13170,13401,13471,14419,14080,14634,14724,15077,15696,16473,16567,16995,17267,17594,18410,18929,19918,19907,19964,20489,21076,21068,21924,23098,23493,24109,24776,25516,26942,27579,27607,29066,30109,31304,32367,33774,34549,35611,36682,38214,38967,39560,40583,41246,41657,42171,43244,44561,45314,47055,48218,49780,49090,49769,50766,51758,53527,55529,56020,56393,57042,57489,59299,60299,63532,65805,68073,69636,69319,71181,72703,73659,75181,78404,81876,82993,82513,83531,84802,86137,88907,91482,93951,95034,93396,93794,95016,96281,98335,100903,104077,106166,105164,106507,107568,109440,113370,116149,117675,115666,110769,110081,111943,116195,122146,128455,134360,139021,140355,143308,146767,151196,156668,161560,167838,175404,179826,184916,188865,191207,196299,202810,208741,212168,211796,212208,212267,210990,209547,209760,210347,210402,209452,210725,214745,221381,227209,237243,248137,248813,248507,244808,256206,264470,270419,273739,282558,288170,268031,259664,264877
"345","337","    Gross output of nonprofit institutions (133)","DNPERC0",13664,13972,14244,14534,14837,15168,14941,15259,15276,16025,16177,16529,16858,17068,17255,17461,17801,18303,18827,19349,20132,20436,20665,20812,21350,22004,22622,23260,23882,24489,24844,25327,25891,26850,27861,28797,29613,30608,31207,32176,33105,34181,35080,36228,37356,38023,39226,40219,41315,42752,44156,45356,46615,47513,48554,49935,50602,52289,53191,54742,56438,59347,60661,62509,64782,66949,68946,72243,75005,76120,78287,80177,82994,85501,87028,89743,93100,96992,99737,102628,106233,109412,111764,116730,121163,124120,130414,136124,140667,145562,149798,155069,159060,163424,168249,172989,176457,179738,182546,186731,190638,194907,198299,202717,205227,208719,213787,219133,224404,228688,231418,235710,240557,246363,253289,258581,267184,275048,283860,289858,295145,301434,307924,315164,323541,333833,344671,350715,354792,362859,370490,379901,388597,397195,405988,411417,416016,420611,426519,430065,434549,440676,448570,454942,456199,460666,465040,471639,476722,486104,491860,500538,500158,504170,511946,520860,535117,545815,556606,564652,571754,579360,588908,601085,611287,624817,638587,653224,667568,681057,695551,707871,726016,744373,759689,768658,775205,781300,789123,797744,807810,821229,835984,845843,858158,865159,878806,896406,912841,928636,940499,952457,971656,978198,990136,1009983,1031336,1044944,1055237,1066135,1060764,1065788,1070698
"346","338","      Health, gross output","DHLGRC0",4572,4678,4743,4835,4995,5197,5159,5359,5495,5587,5693,5796,5976,6181,6381,6584,6777,6981,7146,7323,7655,7790,7877,7893,8236,8454,8566,8715,9007,9474,9714,10066,10285,10713,11110,11472,11880,12684,13035,13634,14214,14829,15191,15764,16463,16768,17347,18212,18712,19577,20263,20664,21546,21995,22584,22632,23632,24416,24698,25666,26370,27983,29136,30273,31945,33348,33854,36153,37575,38486,40165,41286,42866,45138,45561,46242,48721,51228,52781,54421,55841,57807,59284,61895,64564,65572,69611,72815,76019,79113,81497,83665,86229,89097,92051,95412,97995,100032,101198,103114,105747,107263,108712,110099,112344,113980,117149,120147,122640,123953,125716,128694,131475,135760,139791,143076,147485,151994,156857,160204,164308,167241,170650,175767,181438,186969,192627,196561,200133,205587,210695,217621,221944,227050,231882,235105,239866,242446,245651,247570,249470,252100,255253,258096,259519,261681,264273,267962,267879,273002,274649,280278,281886,285156,290043,293836,302177,306583,310982,313659,318292,321788,326625,331810,333935,339773,345359,350310,358081,364281,372678,381088,391539,401087,407966,413188,420855,425020,429885,434832,440871,449301,458634,466036,475742,478915,486826,494862,505026,512950,518888,523477,537705,539211,544548,556960,569007,574253,575236,581147,579023,582947,584155
"347","339","        Outpatient services, gross output","DOUGRC0",380,395,410,425,437,450,454,468,476,494,510,532,556,585,614,642,661,677,695,717,751,790,832,872,897,913,914,921,937,967,1002,1030,998,924,854,805,891,970,1040,1064,1075,1044,1018,1005,1046,1099,1155,1206,1193,1188,1199,1225,1263,1298,1340,1395,1466,1530,1590,1633,1727,1712,1794,1819,1970,2064,2156,2280,2383,2485,2563,2665,2723,2866,2998,3068,3151,3180,3233,3359,3455,3558,3691,3796,3875,3967,4141,4338,4547,4789,4999,5088,4951,5013,5202,5383,5725,6127,6500,6731,7059,7207,7504,7769,8078,8449,8823,9202,9496,9808,10169,10404,11185,11240,11544,11825,12397,12889,13437,14026,14366,14657,14972,15565,16284,17419,18598,19380,19454,19798,20331,20802,21703,22239,22729,23350,24386,25710,26805,27636,28353,29204,29790,30608,31676,32395,32934,33365,33575,33994,34542,35216,35417,35664,36055,36668,37291,37652,37823,38089,38430,38955,39552,40157,40572,41100,41677,42251,43050,44288,45557,46895,48574,50444,51636,52469,53343,54128,55541,57329,59321,60898,62284,62489,63486,63977,65273,67418,68057,68740,70142,71019,72700,73807,73800,73309,72206,71202,70882,70830,71039,70558,70109
"348","340","        Nonprofit hospitals, gross output","DHSORC0",4101,4192,4236,4304,4417,4579,4520,4685,4803,4871,4956,5030,5175,5337,5491,5644,5807,5977,6094,6214,6463,6525,6555,6538,6847,7064,7172,7291,7535,7932,8086,8379,8601,9073,9502,9861,10162,10832,11036,11526,12029,12615,12995,13546,14122,14363,14810,15526,16031,16830,17383,17647,18665,18920,19344,19229,20159,20872,21046,21911,22477,23966,24917,25953,27358,28614,28979,31063,32283,33036,34541,35453,36903,38944,39131,39621,41819,44171,45545,46939,48172,49926,51126,53498,55918,56629,60392,63241,65991,68743,70824,72884,75582,78282,80870,83828,85831,87190,87668,89069,91219,92458,93554,94517,96366,97360,99930,102340,104268,105194,106514,109115,111222,114403,117204,119551,122848,126359,130340,132806,136575,139160,142043,146038,150263,153949,157984,160753,164556,169573,173814,179790,182176,186405,190539,192864,196263,197182,198965,199696,200663,202132,204256,205925,205607,206593,208227,210959,210331,214560,215129,219484,219760,221856,225625,228307,235969,239197,243039,245087,248965,251667,255446,259605,261121,266006,270493,274124,280122,284270,290742,297196,305437,312857,318108,321994,328153,331126,334597,337788,341966,348593,356172,363041,371249,373014,378613,383893,393290,400105,405080,408327,420949,420907,425559,437300,450470,456353,456916,461703,460298,463777,465533
"349","341","        Nonprofit nursing homes, gross output","DNXORC0",91,92,98,107,141,169,185,207,216,221,227,234,245,259,275,297,309,327,357,393,441,475,491,483,492,477,480,503,535,575,627,658,686,716,754,806,827,881,959,1044,1110,1170,1179,1213,1295,1307,1382,1480,1488,1559,1681,1792,1618,1777,1900,2008,2007,2014,2062,2121,2166,2306,2426,2501,2617,2670,2718,2810,2908,2965,3061,3168,3240,3327,3432,3553,3750,3876,4003,4124,4214,4323,4467,4600,4771,4977,5078,5236,5481,5581,5674,5694,5696,5802,5979,6201,6439,6716,7030,7313,7469,7598,7654,7813,7899,8171,8396,8605,8875,8951,9033,9175,9068,10117,11044,11700,12240,12746,13081,13372,13368,13424,13636,14165,14891,15601,16045,16428,16123,16216,16551,17028,18065,18406,18614,18892,19217,19555,19881,20238,20454,20763,21207,21562,22236,22693,23112,23638,23973,24449,24978,25578,26708,27636,28363,28860,28917,29734,30120,30484,30897,31166,31626,32048,32243,32667,33188,33935,34909,35723,36379,36997,37528,37785,38222,38724,39359,39765,39747,39715,39583,39809,40178,40507,41008,41923,42939,43550,43679,44105,43666,44131,44056,44497,45190,46351,46330,46698,47438,48615,47686,48612,48512
"350","342","      Recreation services, gross output","DRCGRC0",575,591,607,623,631,636,640,641,652,661,674,687,699,709,716,721,730,744,760,777,794,803,814,823,824,823,831,843,869,899,934,964,980,983,986,982,1021,1052,1073,1093,1109,1134,1148,1176,1205,1229,1246,1257,1269,1278,1285,1305,1310,1346,1385,1428,1451,1511,1549,1610,1667,1730,1788,1865,1921,1948,2000,2062,2119,2184,2277,2357,2400,2444,2526,2622,2664,2750,2844,2964,3118,3240,3362,3532,3706,3854,4081,4324,4512,4696,4987,5177,5306,5459,5641,5738,5812,5942,6048,6232,6234,6345,6484,6775,7066,7295,7514,7764,7971,8096,8192,8214,8221,8580,8837,8771,9129,9467,9766,9946,10362,10509,10962,11345,11678,12070,12318,12410,12471,13078,13402,13634,14116,14317,14805,15063,15432,15438,15638,15744,15816,16063,16315,16423,16560,16888,16892,16950,16964,17118,17285,17513,17591,17854,17984,18442,18570,18787,19151,19589,20041,20618,21045,21980,22183,22896,23367,23870,24702,25219,25088,25278,25685,26372,26795,27339,27540,27753,27517,27765,27362,27535,28032,27904,28795,29396,29729,30764,31160,31618,32115,32369,32613,32922,33306,33951,34421,35258,35716,35503,35368,35209,35110
"351","343","      Education services, gross output","DEDGRC0",3026,3064,3104,3147,3219,3299,3388,3472,3433,3720,3658,3714,3793,3888,3985,4073,4142,4188,4255,4327,4426,4556,4688,4823,4960,5099,5235,5384,5542,5703,5872,6023,6142,6239,6355,6510,6828,7037,7253,7489,7649,7829,8033,8258,8439,8598,8886,8885,9124,9289,9479,9676,10008,10143,10654,10727,10803,10987,11703,11817,12116,12472,12429,12547,12785,13201,13986,14245,14364,14427,14565,14711,15141,15142,15264,15855,16296,16805,17321,17677,18235,18526,19252,19860,20188,20777,22090,22688,23143,23629,24360,25450,25768,26413,26795,27315,27966,28551,29126,29730,30210,30871,31549,32423,32827,33442,34183,35106,35739,36186,36591,37224,38235,39066,39982,40779,41397,42380,43760,44762,45636,46733,47384,48000,49115,49834,51131,51795,52280,53032,53822,54777,55872,56203,56752,57189,58297,59154,60517,61200,61650,62384,63578,64649,65618,66586,67265,68399,69983,71308,72482,73327,73532,73774,74833,76552,78505,80093,81558,83170,84331,85522,86561,88595,90388,92350,94899,97363,100080,102550,104305,105039,107221,109709,112579,112288,113244,114677,116400,117556,118596,120824,121498,122757,125304,127964,131517,132840,136143,138974,140785,145229,148957,152138,154865,157587,158942,162360,166590,166635,168598,169598,170781
