"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"306","298","        Labor organization dues","DUNSRX0",14055,14016,14101,13962,13996,13892,14005,14026,13921,13918,13893,13883,13906,13976,13981,13926,13982,14009,14068,14026,13968,13845,13723,13749,13875,13972,14030,14151,14288,14234,14225,14034,13999,14101,14068,14053,13883,13736,13567,13476,13413,13400,13346,13256,13129,13108,13080,13042,12928,13040,13113,13095,13004,12893,12891,12865,12741,12655,12659,12670,12589,12650,12714,12722,12508,12355,12313,12205,12157,12092,12112,12040,11799,11776,11750,11703,11677,11640,11645,11595,11475,11396,11311,11257,11222,11185,11203,11193,11117,11007,11005,10978,11008,10965,10959,11046,11038,11049,11095,11182,11183,11213,11243,11218,11276,11248,11299,11204,11084,11062,10938,10913,10892,10988,11009,11127,11208,11171,10970,10751,10609,10746,10874,10895,10824,10704,10592,10579,10493,10555,10679,10734,10807,10790,10768,10701,10721,10715,10713,10715,10691,10697,10662,10625,10647,10683,10751,10773,10774,10740,10765,10762,10765,10765,10750,10796,10788,10807,10851,10929,10942,11035,11091,11238,11445,11595,11569,11525,11563,11620,11565,11515,11457,11488,11486,11584,11742,11806,11741
"307","299","        Professional association dues","DAXSRX0",4808,4801,4876,4883,4903,4915,4924,4934,4935,4930,4940,4956,4918,4904,4848,4819,4784,4793,4789,4783,4786,4802,4811,4849,4874,4877,4890,4921,4951,4894,4915,4909,4980,5012,5024,5059,5073,5092,5089,5082,5077,5110,5121,5092,5116,5156,5183,5192,5208,5224,5263,5309,5351,5404,5389,5393,5445,5492,5513,5517,5513,5525,5549,5556,5550,5539,5546,5603,5659,5683,5706,5743,5790,5825,5842,5827,5833,5836,5881,5912,5976,5970,5979,5957,5984,6000,6049,6079,6115,6135,6144,6158,6138,6135,6135,6140,6113,6088,6063,6034,6025,6019,6029,6016,6024,6044,6050,6047,6043,6029,6004,5990,5966,5930,5931,5935,5963,5898,5845,5817,5811,5810,5809,5802,5771,5731,5663,5658,5685,5735,5790,5809,5817,5776,5760,5808,5904,5988,6019,5991,6003,5987,5982,5993,6011,6043,6057,6069,6048,6044,6023,6020,5975,5995,5990,5970,5867,5829,5798,5762,5712,5673,5659,5625,5558,5501,5506,5559,5616,5655,5676,5728,5813,5832,5852,5828,5866,5797,5799
"308","300","        Funeral and burial services","DFUNRX0",18338,18551,18704,19053,17646,18252,18436,18742,18219,18406,18311,18075,18213,18014,18349,18035,18384,18047,17766,17477,18177,17729,18050,17946,17069,16794,16486,17167,17887,17766,18016,17362,17642,18115,18003,17682,18345,19023,19034,18154,18092,18908,18494,19572,18431,18545,17707,18500,19378,19415,19769,19429,19040,18267,18956,19026,18378,19369,19120,17571,19814,20169,18275,18620,18894,18772,19391,19052,19661,18987,19056,19785,19649,19308,19846,20635,20534,20695,20083,20388,20567,20297,20009,19700,19286,19760,19877,19227,19209,19057,19105,19135,19221,19258,19813,19751,19376,19462,19308,19574,19994,20704,20207,20003,20437,20557,20045,21381,20459,19427,18626,18954,18746,18889,18873,18791,18507,18495,18478,18649,19226,19925,19645,19345,18978,18839,18712,18810,18609,18454,18724,18635,18170,18140,18435,18231,18481,18122,18023,18144,17968,17825,17389,17457,17149,17229,16621,17108,16839,16754,16829,16582,16397,16399,16613,16310,16256,16469,16800,16451,16214,16137,15936,15907,15667,15739,15947,15722,15743,15890,16267,15937,15740,15837,15506,15543,15453,15620,15893
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",73442,73717,73945,74178,74422,74649,74874,75178,75437,75668,76092,76158,76318,76446,76487,76612,76646,76854,76828,76892,77182,77414,77700,78246,78598,78962,79330,79715,80101,80494,80894,81309,81721,82132,82536,82932,83345,83723,84087,84455,84813,85162,85502,85835,86154,86458,86745,87009,87265,87522,87805,88123,88469,88845,89243,89671,90122,90592,91077,91576,92107,92559,92951,93293,93556,93762,93910,93986,94000,93941,93809,93603,93323,93077,92881,92732,92627,92572,92561,92600,92688,92811,92978,93187,93466,93705,93927,94147,94364,94576,94775,94968,95154,95330,95487,95624,95755,95913,96117,96377,96692,97095,97555,98064,98614,99218,99870,100562,101162,101832,102449,103028,103556,104020,104430,104785,105084,105329,105500,105603,105647,105669,105706,105756,105815,105870,105935,106002,106075,106149,106203,106274,106607,106940,107266,107604,107944,108290,108642,108991,109347,109695,110034,110386,110730,111019,111267,111491,111681,111837,111966,112052,112102,112111,112066,111978,111715,111589,111482,111392,111327,111283,111267,111267,111294,111335,111386,111450,111413,111367,111321,111281,111239,111207,111181,111156,111140,111120,111092
"310","302","        Personal care services","DPCSRX0",56859,57085,57276,57495,57720,57921,58133,58425,58682,58887,59328,59427,59712,59878,59926,60007,60012,60181,60102,60102,60309,60500,60650,61019,61205,61414,61638,61887,62151,62433,62733,63059,63396,63746,64103,64469,64860,65221,65565,65909,66239,66558,66865,67160,67440,67704,67948,68170,68380,68598,68841,69118,69423,69759,70116,70504,70916,71350,71801,72269,72769,73204,73588,73930,74206,74435,74614,74734,74800,74806,74750,74634,74454,74304,74197,74131,74101,74116,74166,74261,74397,74564,74770,75011,75312,75586,75851,76122,76394,76668,76938,77208,77479,77746,78003,78250,78497,78767,79073,79427,79826,80300,80820,81382,81978,82622,83307,84025,84666,85358,85997,86594,87141,87625,88054,88429,88749,89013,89207,89335,89405,89449,89500,89555,89610,89656,89705,89748,89790,89825,89837,89857,90185,90509,90826,91150,91473,91799,92127,92451,92778,93096,93405,93722,94029,94295,94531,94751,94949,95123,95278,95402,95500,95568,95596,95592,95442,95403,95374,95354,95348,95354,95379,95411,95459,95513,95570,95631,95639,95640,95641,95647,95650,95663,95680,95698,95724,95746,95761
"311","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",29152,29399,29598,29586,29691,29742,29809,29950,30064,30156,30390,30239,30133,30120,30057,30140,30094,30221,30111,30078,30229,30396,30483,30785,31094,31393,31673,31942,32193,32427,32647,32854,33042,33208,33352,33475,33575,33671,33764,33859,33952,34042,34130,34217,34300,34378,34451,34516,34580,34648,34727,34824,34934,35059,35197,35348,35511,35686,35868,36061,36268,36449,36611,36759,36881,36986,37073,37137,37182,37203,37201,37176,37126,37089,37072,37075,37094,37133,37190,37266,37362,37472,37600,37744,37916,38067,38205,38337,38461,38580,38686,38785,38875,38955,39022,39075,39118,39175,39253,39356,39484,39651,39844,40059,40293,40553,40836,41137,41404,41710,42008,42302,42590,42864,43129,43384,43631,43869,44090,44296,44492,44642,44761,44850,44906,44923,44906,44852,44762,44635,44460,44256,44656,45019,45348,45647,45910,46140,46335,46491,46612,46692,46729,46732,46691,46652,46618,46598,46587,46586,46598,46616,46645,46680,46719,46764,46759,46804,46848,46891,46935,46979,47026,47072,47120,47165,47205,47241,47283,47321,47358,47398,47438,47481,47527,47574,47624,47673,47718
"312","304","          Miscellaneous personal care services","DMPCRX0",27683,27666,27660,27888,28008,28158,28302,28453,28596,28708,28915,29162,29551,29728,29838,29836,29887,29929,29960,29993,30050,30074,30137,30203,30080,29990,29935,29914,29926,29972,30052,30171,30319,30502,30716,30959,31250,31516,31769,32018,32257,32485,32705,32914,33113,33299,33473,33630,33777,33928,34093,34275,34471,34683,34904,35142,35392,35652,35922,36199,36494,36748,36972,37166,37321,37445,37537,37592,37614,37597,37543,37450,37320,37205,37114,37044,36994,36968,36962,36979,37018,37075,37153,37249,37377,37500,37628,37766,37914,38070,38234,38407,38587,38777,38968,39164,39370,39585,39815,40068,40340,40648,40977,41326,41689,42075,42477,42894,43268,43655,43996,44298,44557,44767,44931,45050,45122,45148,45120,45040,44912,44806,44738,44704,44705,44735,44800,44897,45028,45191,45377,45600,45528,45488,45478,45503,45565,45662,45797,45964,46170,46407,46676,46988,47332,47636,47903,48142,48348,48521,48663,48767,48836,48869,48858,48810,48665,48583,48512,48450,48403,48366,48345,48333,48334,48345,48362,48387,48356,48322,48288,48256,48223,48194,48168,48142,48121,48097,48070
"313","305","        Clothing and footwear services","DCFSRX0",16557,16606,16645,16659,16680,16705,16720,16733,16736,16763,16749,16717,16596,16559,16552,16595,16624,16663,16715,16778,16860,16902,17036,17213,17377,17530,17673,17808,17929,18040,18139,18229,18304,18366,18413,18444,18467,18485,18505,18530,18558,18589,18623,18661,18700,18741,18783,18825,18871,18911,18951,18992,19033,19074,19115,19155,19194,19231,19265,19297,19328,19345,19353,19352,19340,19317,19286,19243,19189,19124,19048,18959,18858,18762,18673,18591,18515,18446,18383,18328,18280,18236,18197,18165,18143,18108,18065,18015,17959,17898,17828,17751,17667,17575,17476,17366,17250,17140,17037,16944,16860,16790,16729,16676,16630,16592,16559,16534,16493,16471,16451,16432,16414,16395,16375,16356,16336,16315,16292,16268,16242,16220,16206,16202,16204,16213,16230,16254,16285,16324,16365,16417,16422,16431,16440,16454,16471,16491,16515,16540,16569,16599,16630,16665,16701,16724,16736,16739,16732,16714,16688,16650,16602,16542,16470,16387,16273,16186,16108,16039,15980,15930,15890,15859,15837,15824,15818,15821,15776,15729,15683,15638,15592,15548,15505,15463,15421,15379,15336
"314","306","          Laundry and drycleaning services","DDRYRX0",7879,7884,7888,7914,7928,7942,7953,7965,7977,7996,8000,7998,7961,7961,7973,8008,8035,8068,8105,8145,8190,8222,8282,8358,8454,8543,8627,8705,8777,8841,8899,8951,8996,9031,9059,9077,9089,9099,9111,9125,9141,9158,9176,9197,9218,9240,9263,9286,9310,9333,9354,9377,9400,9424,9447,9470,9493,9515,9536,9555,9575,9588,9596,9600,9597,9590,9578,9561,9538,9510,9475,9435,9389,9345,9304,9267,9232,9201,9173,9149,9128,9109,9092,9078,9070,9053,9029,8999,8965,8924,8877,8824,8765,8700,8628,8549,8465,8389,8324,8269,8224,8192,8170,8158,8155,8161,8176,8201,8223,8253,8280,8304,8326,8344,8359,8371,8379,8383,8383,8379,8372,8366,8366,8371,8380,8393,8411,8433,8460,8491,8524,8562,8602,8640,8674,8706,8736,8764,8789,8811,8830,8847,8859,8869,8876,8877,8873,8866,8854,8839,8821,8797,8770,8739,8702,8660,8603,8561,8523,8489,8460,8436,8417,8402,8392,8385,8383,8385,8363,8341,8318,8297,8275,8253,8233,8212,8192,8172,8151
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",8011,8057,8094,8084,8095,8103,8108,8111,8111,8121,8107,8081,8005,7974,7958,7965,7969,7980,8000,8028,8067,8088,8163,8269,8343,8411,8474,8534,8587,8635,8678,8716,8748,8774,8793,8805,8815,8821,8829,8838,8849,8862,8875,8891,8907,8924,8941,8959,8978,8995,9012,9029,9047,9065,9083,9102,9119,9137,9153,9167,9182,9191,9194,9193,9186,9175,9158,9136,9109,9076,9038,8993,8942,8894,8848,8805,8766,8730,8697,8667,8640,8615,8593,8574,8559,8541,8522,8502,8482,8462,8440,8418,8395,8371,8347,8320,8292,8260,8226,8190,8152,8115,8077,8036,7993,7947,7898,7847,7782,7730,7682,7638,7599,7562,7529,7499,7473,7450,7430,7413,7399,7385,7373,7364,7356,7350,7345,7342,7341,7341,7341,7344,7320,7300,7283,7271,7263,7260,7261,7266,7276,7289,7306,7327,7353,7371,7384,7391,7393,7389,7379,7364,7343,7315,7281,7241,7187,7145,7107,7073,7044,7019,6999,6983,6972,6965,6962,6963,6941,6918,6895,6873,6851,6829,6808,6786,6766,6745,6724
"316","308","          Repair and hire of footwear","DSCLRX0",687,685,683,681,677,681,679,677,668,665,661,657,647,641,637,638,635,630,625,619,616,606,605,600,594,590,585,582,578,576,574,573,572,572,572,572,574,575,576,577,579,580,582,583,585,587,589,591,593,594,595,595,595,595,594,593,591,589,586,583,579,575,572,568,564,560,557,553,549,546,542,538,534,531,528,525,523,521,520,519,518,518,518,518,519,520,520,519,519,518,517,516,514,512,510,507,504,502,499,497,495,494,493,492,492,492,492,493,493,493,493,493,492,490,489,487,484,482,478,475,471,468,467,467,468,470,474,478,484,492,501,511,501,492,484,478,473,469,466,465,464,465,467,470,474,478,481,484,486,487,489,489,490,489,488,487,484,482,480,479,477,476,475,475,474,474,474,474,473,472,471,470,469,468,467,466,465,464,464
"317","309","      Social services and religious activities (120)","DSOCRX0",78679,78885,79076,79320,79295,79484,79242,79370,79516,79547,79688,79819,79525,79906,80090,80401,80698,81093,81222,81353,81515,81804,82183,82561,82518,82498,82489,82764,82954,83066,83483,83744,83991,84272,84538,84833,85182,85688,86214,86694,87107,87807,88650,88906,89533,89809,90139,90585,91195,91636,91980,92080,92391,92958,93197,93629,94003,94522,95025,95547,95949,96424,96857,97553,98020,98393,98687,99184,99806,100511,101459,102076,103285,103879,104581,105047,105343,105923,106685,107399,107758,107947,108106,108316,108616,109013,109456,109881,110249,110400,110624,110995,111304,111838,112158,112560,112565,112436,112505,112886,113524,114142,114671,114745,115016,115476,116124,116702,117083,117066,116870,116967,117382,117796,118272,118735,119144,118592,117755,117152,117176,118069,118922,119270,119056,118584,118034,118043,118201,118759,119817,120495,120924,121039,120834,120719,121001,121498,121989,122347,122497,122729,123049,123280,124043,124933,125941,126513,126966,127395,127848,128416,128674,129109,129354,129480,129611,129951,130324,130863,131157,131414,131578,131789,132180,132602,132689,132948,133074,133206,133519,133676,133818,133651,133493,133698,134646,135114,135161
"318","310","        Child care","DCHCRX0",22672,22734,22754,22886,22755,22760,22558,22373,22235,22166,22104,22000,21900,21918,21934,21908,21879,21700,21597,21458,21468,21581,21739,21830,21816,21844,21830,21917,21990,22013,22111,22132,22153,22097,22014,21810,21712,21711,21663,21609,21571,21800,22015,21940,22011,22044,22110,22252,22470,22607,22702,22664,22650,22701,22640,22542,22550,22577,22674,22771,22816,22815,22845,22862,22898,22894,22776,22818,22945,23128,23300,23392,23467,23527,23594,23620,23582,23691,23825,23928,24003,23829,23773,23752,23776,23800,23822,23849,23861,23800,23802,23855,23824,23868,23881,23894,23843,23823,23842,23816,23880,23933,24050,24048,24143,24278,24363,24369,24292,24166,24067,24184,24348,24391,24465,24430,24527,24227,24025,23932,24033,24154,24254,24214,24102,23964,23814,23834,23911,23961,24094,24262,24081,24140,24106,24104,24149,24242,24364,24508,24643,24818,25076,25401,25880,26296,26648,26880,27056,27328,27514,27802,27826,27963,27997,27980,27826,27802,27777,27855,27911,27927,27861,27620,27534,27448,27561,27637,27862,27968,28031,27963,27949,27720,27613,27577,27929,28138,28170
"319","311","        Social assistance","DSCWRX0",36051,36194,36317,36424,36488,36628,36632,36799,37006,37132,37293,37439,37247,37515,37632,37865,38133,38578,38849,39052,39144,39231,39452,39789,39861,39908,39972,40145,40262,40360,40656,40864,41042,41324,41644,42011,42291,42664,43097,43564,43982,44468,45094,45467,46009,46269,46591,46956,47412,47775,48102,48380,48812,49357,49664,50172,50583,51144,51583,52074,52506,53043,53520,54216,54628,55015,55473,56043,56620,57214,57979,58588,59702,60304,61000,61493,61892,62429,63086,63727,64117,64590,64974,65336,65705,66114,66537,66952,67375,67665,67896,68175,68438,68848,69074,69329,69326,69194,69208,69518,69992,70445,70777,70835,70951,71191,71627,72144,72642,72810,72829,72826,73027,73300,73642,74077,74361,74190,73685,73306,73287,73950,74578,74911,74837,74567,74218,74156,74194,74581,75285,75624,76085,76107,75925,75768,75875,76144,76441,76616,76591,76573,76550,76408,76604,76973,77493,77781,78000,78141,78346,78593,78814,79138,79422,79610,79895,80177,80445,80820,81045,81291,81516,81785,82166,82539,82553,82739,82823,82971,83237,83452,83637,83708,83723,84040,84705,85028,85045
"320","312","          Homes for the elderly","DELDRX0",7264,7277,7286,7292,7289,7301,7302,7331,7368,7388,7416,7441,7398,7447,7466,7508,7556,7640,7694,7660,7603,7546,7513,7502,7475,7445,7436,7459,7494,7523,7569,7611,7659,7724,7797,7893,7975,8050,8122,8225,8311,8398,8441,8508,8610,8706,8746,8803,8880,8963,9031,9100,9168,9276,9346,9427,9488,9555,9640,9712,9772,9857,9942,10069,10148,10215,10290,10399,10479,10598,10725,10874,11112,11248,11387,11465,11520,11596,11690,11780,11842,11908,11962,11986,12101,12211,12319,12330,12365,12395,12412,12420,12426,12452,12487,12529,12520,12444,12361,12375,12448,12536,12595,12566,12521,12525,12618,12718,12774,12718,12646,12625,12674,12745,12813,12886,12957,12999,12979,12967,12995,13111,13246,13336,13375,13377,13347,13325,13278,13258,13322,13342,13461,13510,13514,13542,13581,13631,13631,13641,13626,13633,13560,13449,13422,13476,13589,13614,13554,13455,13437,13513,13593,13673,13718,13752,13830,13926,14016,14085,14122,14146,14157,14208,14263,14338,14211,14212,14332,14430,14473,14555,14650,14707,14758,14851,14835,14963,14963
"321","313","          Residential mental health and substance abuse","DMENRX0",2412,2420,2426,2432,2434,2442,2442,2452,2466,2474,2484,2493,2480,2497,2504,2519,2537,2566,2584,2588,2586,2583,2588,2602,2551,2514,2497,2498,2513,2536,2582,2637,2708,2801,2909,3051,3206,3372,3533,3707,3869,4030,4173,4312,4467,4610,4724,4830,4930,5037,5140,5239,5360,5503,5643,5789,5930,6075,6225,6379,6527,6692,6846,7024,7175,7317,7488,7660,7812,7969,8129,8285,8509,8681,8870,9040,9201,9394,9603,9803,9977,10188,10396,10613,10780,10957,11107,11283,11436,11554,11663,11771,11869,11960,11979,11988,11962,11953,11951,11992,12043,12088,12108,12079,12075,12101,12205,12326,12438,12425,12376,12343,12391,12469,12545,12630,12700,12727,12672,12598,12582,12685,12807,12856,12829,12765,12682,12650,12636,12670,12733,12746,12762,12738,12698,12683,12694,12720,12740,12763,12754,12757,12738,12700,12746,12815,12916,12972,13008,13031,13074,13142,13220,13325,13438,13533,13649,13743,13812,13888,13956,14026,14085,14137,14212,14287,14324,14323,14332,14290,14276,14325,14462,14503,14557,14614,14689,14768,14855
"322","314","          Individual and family services","DFAMRX0",17189,17269,17340,17403,17446,17525,17527,17610,17713,17777,17857,17931,17842,17973,18033,18148,18280,18497,18627,18781,18883,18982,19147,19368,19488,19587,19671,19765,19790,19800,19877,19928,19940,20060,20152,20221,20196,20231,20309,20398,20465,20570,20740,20863,21070,21174,21246,21361,21518,21613,21706,21774,21904,22031,22119,22294,22410,22548,22621,22750,22858,23010,23147,23402,23504,23617,23762,23934,24131,24255,24556,24737,25154,25342,25574,25743,25869,26035,26246,26448,26542,26670,26734,26785,26807,26858,26924,27031,27129,27167,27175,27239,27318,27471,27523,27565,27603,27633,27787,27965,28185,28382,28569,28695,28842,29022,29231,29495,29767,29920,29992,29979,30009,30064,30182,30306,30290,29933,29438,29034,28926,29161,29400,29416,29251,29027,28858,28873,29020,29381,29881,30252,30548,30643,30651,30649,30790,31003,31279,31448,31537,31585,31691,31774,32015,32307,32609,32806,32991,33157,33286,33385,33468,33639,33785,33869,33846,33846,33852,34029,34134,34258,34407,34568,34797,34937,35096,35177,35078,35126,35268,35348,35287,35367,35344,35493,36059,36159,36019
"323","315","          Vocational rehabilitation services","DVOCRX0",4426,4446,4462,4477,4487,4506,4506,4527,4553,4569,4590,4608,4585,4618,4633,4663,4696,4751,4785,4818,4838,4857,4893,4944,4964,4968,4961,4986,5004,5023,5120,5151,5173,5132,5131,5132,5155,5199,5266,5296,5341,5412,5636,5624,5620,5465,5515,5543,5596,5614,5623,5620,5667,5760,5701,5735,5763,5919,5988,6054,6104,6156,6180,6224,6238,6239,6214,6241,6308,6419,6481,6505,6563,6563,6574,6587,6605,6645,6693,6708,6680,6649,6633,6629,6625,6629,6636,6660,6684,6707,6737,6772,6807,6860,6918,6999,7061,7105,7157,7209,7246,7272,7300,7320,7357,7389,7412,7426,7440,7479,7513,7552,7592,7643,7688,7765,7849,7905,7946,7991,8006,8068,8111,8163,8193,8210,8200,8198,8180,8175,8191,8133,8123,8055,7970,7906,7893,7898,7874,7819,7734,7677,7658,7633,7600,7567,7558,7549,7570,7588,7596,7572,7544,7543,7566,7605,7666,7706,7729,7764,7786,7817,7838,7849,7866,7906,7812,7854,7914,8033,8091,8129,8150,8121,8171,8231,8280,8292,8337
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",1636,1644,1651,1657,1661,1669,1669,1677,1687,1693,1701,1708,1699,1712,1718,1728,1741,1762,1774,1789,1800,1810,1826,1848,1847,1847,1849,1856,1861,1866,1879,1894,1911,1942,1976,2012,2045,2078,2116,2156,2197,2237,2281,2319,2364,2397,2431,2472,2516,2549,2580,2609,2648,2682,2710,2744,2781,2819,2857,2899,2943,2992,3036,3084,3120,3154,3194,3230,3273,3321,3390,3440,3524,3575,3633,3655,3665,3687,3721,3793,3833,3885,3914,3939,3966,3982,4025,4071,4134,4181,4219,4255,4275,4328,4377,4452,4403,4304,4207,4225,4303,4389,4425,4402,4386,4381,4390,4407,4440,4470,4490,4513,4565,4601,4626,4666,4725,4799,4859,4965,5004,5091,5139,5241,5301,5337,5321,5310,5285,5300,5338,5331,5337,5313,5269,5194,5122,5083,5098,5127,5131,5099,5066,5009,4980,4963,4964,4957,4968,4990,5021,5050,5072,5059,5040,5003,5068,5116,5196,5219,5233,5249,5253,5264,5275,5317,5363,5402,5418,5384,5455,5445,5429,5386,5312,5261,5212,5172,5162
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3027,3041,3054,3065,3073,3086,3087,3101,3120,3131,3145,3158,3142,3165,3176,3196,3219,3258,3281,3308,3326,3344,3374,3413,3421,3430,3441,3462,3480,3493,3511,3524,3535,3551,3566,3591,3607,3630,3649,3683,3704,3727,3731,3751,3790,3829,3844,3863,3889,3918,3943,3960,3988,4030,4071,4111,4140,4160,4187,4215,4240,4277,4311,4357,4389,4421,4475,4530,4568,4607,4654,4704,4798,4857,4926,4967,4997,5040,5101,5166,5218,5268,5316,5367,5414,5468,5520,5574,5625,5662,5693,5723,5746,5781,5796,5802,5781,5756,5740,5747,5763,5774,5777,5768,5764,5766,5766,5767,5778,5792,5804,5806,5790,5772,5783,5820,5837,5825,5789,5752,5774,5835,5876,5899,5887,5851,5811,5800,5794,5796,5819,5821,5854,5848,5822,5795,5795,5810,5819,5817,5807,5822,5836,5841,5841,5845,5857,5885,5911,5923,5935,5934,5919,5902,5879,5852,5840,5843,5842,5836,5815,5796,5778,5760,5754,5755,5747,5772,5748,5707,5674,5648,5658,5622,5580,5588,5630,5674,5710
"326","318","        Social advocacy and civic and social organizations","DSADRX0",14085,14098,14141,14153,14168,14203,14142,14237,14265,14210,14215,14251,14171,14217,14241,14337,14361,14427,14349,14336,14356,14410,14400,14342,14236,14144,14080,14095,14098,14086,14109,14136,14179,14219,14231,14333,14484,14611,14738,14791,14815,14817,14830,14779,14795,14788,14742,14700,14660,14622,14565,14436,14339,14321,14324,14346,14315,14260,14249,14206,14151,14107,14052,14047,14087,14095,14056,13957,13897,13848,13879,13812,13839,13789,13746,13714,13669,13628,13625,13620,13541,13447,13304,13200,13134,13124,13146,13148,13097,13031,13034,13086,13170,13254,13338,13474,13533,13557,13593,13684,13777,13880,13948,13955,14003,14073,14183,14219,14168,14093,13964,13939,13982,14077,14136,14200,14233,14161,14043,13928,13888,14015,14153,14217,14196,14135,14083,14131,14167,14279,14489,14643,14800,14836,14847,14888,15014,15143,15206,15231,15254,15308,15367,15383,15436,15513,15622,15650,15683,15672,15712,15719,15715,15668,15580,15522,15522,15595,15719,15795,15797,15783,15783,15973,16071,16211,16157,16148,15945,15815,15794,15811,15783,15788,15724,15651,15566,15490,15481
"327","319","        Religious organizations' services to households","DRELRX0",5569,5557,5558,5569,5578,5592,5603,5628,5655,5675,5714,5758,5852,5898,5932,5930,5950,5969,5976,6021,6052,6086,6096,6085,6057,6033,6011,5994,5980,5969,5962,5959,5959,5962,5968,5976,5989,5998,6006,6013,6018,6021,6023,6024,6023,6020,6014,6006,5997,5985,5973,5961,5949,5936,5923,5909,5894,5878,5861,5842,5823,5805,5787,5771,5756,5742,5730,5718,5708,5699,5691,5683,5676,5668,5659,5649,5639,5628,5615,5603,5589,5574,5558,5541,5524,5507,5490,5476,5463,5452,5441,5433,5426,5421,5416,5412,5409,5407,5406,5406,5408,5413,5420,5428,5437,5448,5459,5471,5477,5487,5495,5501,5506,5507,5507,5504,5499,5491,5481,5468,5452,5437,5425,5416,5409,5405,5403,5403,5406,5411,5417,5427,5415,5406,5399,5395,5393,5394,5397,5403,5411,5422,5434,5449,5466,5483,5500,5518,5536,5555,5574,5594,5615,5636,5656,5677,5691,5710,5727,5744,5759,5773,5786,5798,5808,5818,5825,5831,5837,5843,5849,5856,5862,5869,5876,5883,5891,5899,5906
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1220,1221,1218,1211,1208,1196,1176,1168,1159,1155,1137,1125,1113,1105,1093,1087,1083,1082,1092,1104,1111,1121,1131,1147,1178,1206,1229,1249,1265,1276,1283,1286,1283,1276,1264,1248,1226,1206,1187,1169,1152,1136,1121,1107,1094,1082,1071,1060,1050,1040,1030,1020,1010,1000,990,980,969,959,948,938,927,915,903,889,875,860,845,828,811,794,775,757,738,718,700,681,663,646,628,611,595,578,562,547,531,518,506,496,487,480,475,471,468,466,465,466,468,470,472,475,478,481,485,488,492,496,501,505,509,513,517,520,522,523,524,524,524,523,521,518,515,513,511,511,511,513,515,518,523,528,534,541,548,555,562,569,576,583,590,596,603,609,616,622,628,633,637,640,642,643,643,642,640,637,632,626,619,613,607,602,598,594,591,589,587,586,585,585,582,578,575,572,568,565,562,559,556,553,550
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",46530,46975,47329,47361,47431,47667,48023,47937,48059,48019,47955,47706,47439,47543,47561,47632,47937,48032,48194,48141,48058,48055,47985,48362,48932,49286,49586,49835,50171,50494,50862,51209,51577,52024,52345,52745,53403,53924,54447,54945,55330,55460,55751,55988,56124,56233,56160,55953,55579,55386,55125,54806,54686,54492,54493,54555,54655,54660,54823,55262,56360,56653,56928,56778,56655,56552,56510,56287,56120,55951,55596,55108,55510,54828,54258,54406,54130,53684,53380,52990,52586,52127,51690,51227,51264,51349,51210,51323,51406,51416,51393,51440,51309,51365,51365,51401,51915,52035,52220,52217,52375,52408,52622,52849,53102,53282,53580,53874,54195,54556,54881,55137,55427,55670,55814,55989,56270,56464,56565,56690,56641,56618,56647,56745,56814,56919,57044,57207,57287,57350,57400,57468,57556,57631,57673,57701,57869,58087,58176,58454,58674,58468,58769,59094,59525,59900,60246,60464,60723,60996,61132,61269,61360,61327,61208,60962,60721,60330,60221,60086,60000,59961,59866,59793,59721,59782,59880,59947,59909,59939,59907,59927,59976,59979,59992,60018,60045,60059,60075
