"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216"
"11","3","  Durable goods","DDURRC0",43649,45464,46336,44103,45456,46434,45925,44689,42241,43320,44581,46683,47702,49047,49567,51546,52589,53882,54701,55739,57995,59477,61376,59377,64915,64817,66700,69128,72311,69720,72323,72626,71104,74482,74698,75641,80858,83084,87544,87826,90010,90448,90629,90844,89611,91009,92010,87326,98053,100989,103442,107303,110704,114065,117591,123418,131813,131296,130799,128203,126650,130582,136325,127148,131786,136693,146787,153393,163297,165898,169845,175455,183930,189223,193990,200704,198170,216187,216742,222300,223277,222101,230932,229049,232055,211916,225364,236230,246046,240936,251926,236842,246437,249227,252108,264356,268909,289584,302363,319270,331440,341270,342075,353839,368010,373251,396451,383753,391628,407293,445708,441133,418497,439101,460541,449949,470441,473223,470389,486162,486449,493343,505640,491885,515394,498408,493569,480946,471690,475248,484335,477454,496179,500989,512092,523065,527853,547844,556638,573796,588823,598720,609310,631828,621246,626905,642542,652259,659838,676342,679363,689639,705604,696574,722792,737149,737921,769795,785952,826355,821324,856434,873104,878561,923546,905010,915046,919516,930929,923893,928850,1001714,981300,986442,1010381,990286,981358,1011355,1043330,1043631,1057492,1062936,1075828,1095201,1105231,1134731,1142280,1111166,1150529,1145809,1156921,1166629,1175552,1186981,1194461,1196789,1162966,1146569,1106636,1019270,1020076,1009509,1050090,1038828,1058005,1071713,1087504,1124724,1154487,1143792,1158266,1194897,1234944
"12","4","    Motor vehicles and parts","DMOTRC0",18090,19335,20073,17658,19343,19942,20130,18912,16475,17127,17870,19416,20345,21303,21146,22751,23440,24220,24378,24947,25637,25876,27107,24587,29803,29031,29793,29952,31713,28734,29679,29583,27788,30514,30241,29862,33715,34446,36819,36675,37648,37131,37673,37340,34926,36242,36415,30569,40977,42504,43688,45763,46750,48431,49577,52700,57071,55834,54038,50489,47025,48140,52135,45364,47653,48551,55500,58869,65798,66961,68708,71220,78285,78729,79879,82290,80468,92443,91180,92601,92680,86786,91801,89432,91768,74693,84156,87103,96733,89827,98766,86737,97178,96916,98652,107309,106024,121549,127089,137119,143397,147234,146100,152035,162848,165666,185417,166330,169549,180300,208067,192160,169526,186315,204254,192628,205898,202318,196832,203806,206096,207677,216833,200478,218403,206218,202933,192921,181698,181444,191685,188165,198408,202283,206549,211953,210885,223647,225960,238369,247101,245670,247732,258868,250106,251630,257579,263521,269108,273434,273747,277651,291029,279468,296895,304939,294232,315038,320680,350869,333629,357349,361030,350913,379272,353586,358780,361274,372481,365645,368932,426100,393772,395262,421367,394986,389141,403151,412253,399554,400067,399719,403472,412231,407366,423867,424167,377364,393259,392238,398167,395579,396839,402910,400624,399303,378864,354116,332642,291477,303024,303465,339225,320479,323113,330640,339599,367147,383005,363410,368737,399125,424734
"13","5","      New motor vehicles (55)","DNMVRC0",13349,14077,14962,12103,14637,14589,15030,13610,11175,12035,12534,14054,14725,15543,14990,16979,17309,18042,17626,18570,18815,19166,20399,17612,22901,21701,22018,22243,23723,20864,21936,21662,19799,22216,21472,20837,24972,25297,26848,26843,27134,26628,27061,26545,24328,24955,25158,19311,29200,29800,30645,32495,33155,34571,35155,37801,41544,40179,38209,34908,31530,31890,35069,28275,30966,30771,36832,39704,45386,45615,46651,48904,54272,55526,55842,57791,56159,66451,63861,64465,64445,58435,62321,60424,61325,46093,54349,55558,63679,56260,63724,52903,62522,62041,62223,70326,68920,82920,85878,93749,98252,99929,96346,104137,111958,113681,132114,113567,117560,128379,153239,137009,117598,129643,141272,126646,141176,138151,133936,139618,140230,139095,149270,128621,146676,135976,132453,123551,109768,110759,115990,115096,123171,124475,127714,131400,128004,138215,138967,150398,150130,150538,148918,155215,143900,146172,145871,153861,153542,152666,150044,155631,157327,151762,166539,173207,165647,185811,174587,191451,190771,200416,202513,206534,218980,209580,212233,202041,217260,215267,211837,275708,244765,231985,256211,241242,237067,254697,261570,253093,255986,250254,250805,252677,243896,265429,266859,219393,231708,231603,236765,232110,236914,236123,229052,230517,215149,195862,181343,148517,151947,153397,188516,169932,167374,172960,176975,196548,206098,192580,196451,223568,237589
"14","6","        New autos","DNEARC0",12908,13601,14494,11710,14179,14118,14572,13199,10805,11674,12176,13681,14231,15043,14429,16357,16709,17410,16946,17855,18105,18456,19614,16933,22115,20888,21146,21267,22717,19879,20907,20613,18776,21166,20370,19772,23647,23892,25354,25151,25383,24912,25341,24784,22797,23465,23570,17948,27437,27660,28135,29552,29887,31008,31743,33829,36696,35617,33480,29931,27137,27173,29878,23832,26900,26116,31139,33170,37735,37446,37539,39948,43438,44630,44756,44803,43410,51437,49228,50009,51016,47042,50289,48714,52329,38646,46428,48178,56001,47762,54352,44623,51313,51492,51697,58842,56549,66772,67486,73308,76901,77632,74177,79866,82497,84144,97683,80696,87616,94235,112487,101541,84544,90795,101891,87913,100443,96902,92567,96789,94534,93636,100517,82862,97024,90436,88986,82254,71197,71532,73241,73155,78682,76586,77165,79632,76100,81624,82146,88230,86462,86130,85566,87526,79674,81560,81504,85778,83293,82243,79672,81849,82691,76575,84109,85929,82679,89885,84533,90393,89596,95585,96290,100260,105318,101976,99185,94528,98023,93902,89861,113473,97885,94328,99711,92293,93103,90671,92160,89273,92887,90916,89256,94576,94282,99444,101479,94587,100342,99599,101817,98169,97968,97372,91004,97342,96342,98075,82383,66133,64250,63276,88957,73013,69072,65825,68260,75934,85501,77811,74250,88308,104203
"15","7","          New domestic autos","DNDCRC0",11794,12393,13271,10466,13040,13122,13647,12383,10072,10937,11435,13008,13551,14431,13827,15703,15998,16648,16228,17130,17225,17536,18659,15952,21115,19812,19962,20011,21416,18623,19527,19150,17325,19528,18637,17926,21497,21729,22946,22716,23086,22284,22687,21867,19959,20358,20476,14203,23535,23445,23770,25742,25736,26750,27132,28590,31194,30009,28400,24030,21520,22477,24159,18496,20419,19734,24217,26874,31534,31139,30302,31860,34853,34097,34651,34718,33335,40587,38013,38289,37738,32088,36229,33910,34830,24649,30191,31015,37167,29494,36317,26094,32337,33912,32228,35687,34575,43395,43217,44909,49609,49140,47289,49305,52502,51561,63279,44586,54838,59080,73282,60128,49752,53248,60400,49348,61604,57721,54010,58226,59797,57511,64885,50179,61952,56497,56874,50713,45460,44235,45510,46947,49866,47474,49919,51010,49867,53036,54256,60349,59031,58096,56677,60512,53493,54859,56549,60787,59782,58280,53864,55550,54366,50262,55058,54902,52971,59618,55476,59950,59660,62415,62795,63142,70315,67291,64960,60142,66031,60415,57984,78886,65203,62987,67677,61145,60561,60655,61277,59392,60861,57979,58116,59981,61476,65362,66109,59868,65748,62431,64111,59153,61492,61107,56133,61628,61062,59813,49988,41116,39972,39108,59591,47061,45133,41719,42096,48998,57192,51826,47974,59865,72375
"16","8","          New foreign autos","DNFCRC0",1114,1208,1223,1244,1139,996,925,816,733,737,741,673,680,612,602,654,711,762,718,725,880,920,955,981,1000,1076,1184,1256,1301,1256,1380,1463,1451,1638,1733,1846,2150,2163,2408,2435,2297,2628,2654,2917,2838,3107,3094,3745,3902,4215,4365,3810,4151,4258,4611,5240,5502,5608,5080,5902,5617,4696,5719,5336,6481,6381,6922,6295,6201,6306,7237,8087,8585,10533,10105,10085,10075,10850,11215,11720,13278,14954,14060,14804,17499,13997,16237,17163,18834,18268,18035,18529,18976,17581,19469,23155,21974,23378,24270,28399,27291,28492,26887,30561,29995,32583,34405,36110,32778,35155,39205,41413,34792,37548,41491,38565,38839,39181,38557,38563,34738,36124,35631,32683,35072,33939,32112,31541,25738,27297,27730,26208,28816,29112,27246,28622,26233,28587,27890,27881,27431,28034,28890,27014,26181,26701,24955,24991,23511,23962,25808,26299,28325,26313,29051,31027,29708,30267,29057,30443,29937,33170,33495,37119,35003,34685,34225,34385,31992,33487,31877,34587,32682,31341,32034,31148,32542,30016,30883,29881,32026,32936,31140,34595,32806,34082,35370,34719,34594,37168,37706,39016,36476,36264,34872,35714,35281,38262,32395,25018,24278,24168,29366,25952,23939,24106,26163,26935,28308,25986,26276,28443,31828
"17","9","        New light trucks","DNWTRC0",441,476,468,393,458,471,458,411,370,361,358,373,494,500,561,622,600,632,680,715,710,711,785,679,786,813,872,976,1006,985,1029,1049,1023,1050,1102,1065,1325,1405,1494,1692,1751,1716,1720,1761,1531,1490,1588,1363,1763,2140,2510,2943,3268,3563,3412,3972,4848,4562,4729,4977,4393,4717,5191,4443,4066,4655,5693,6534,7651,8169,9112,8956,10834,10896,11086,12988,12749,15014,14633,14456,13429,11393,12032,11710,8996,7447,7921,7380,7678,8498,9372,8280,11209,10549,10526,11484,12371,16148,18392,20441,21351,22297,22169,24271,29461,29537,34431,32871,29944,34144,40752,35468,33054,38848,39381,38733,40733,41249,41370,42829,45696,45459,48753,45760,49652,45540,43467,41297,38571,39227,42749,41942,44489,47890,50549,51768,51904,56591,56821,62168,63668,64408,63352,67690,64226,64612,64367,68083,70249,70423,70372,73782,74636,75187,82430,87278,82968,95926,90053,101058,101174,104831,106223,106274,113661,107604,113048,107514,119237,121365,121976,162235,146881,137658,156500,148950,143964,164026,169410,163819,163099,159339,161549,158101,149615,165985,165380,124806,131366,132004,134948,133941,138946,138751,138047,133175,118807,97788,98960,82384,87696,90121,99559,96919,98302,107135,108716,120614,120597,114769,122201,135259,133386
"18","10","      Net purchases of used motor vehicles (56)","DNPVRC0",2426,2898,2672,3137,2248,2833,2621,2811,2837,2588,2710,2679,2863,2971,3330,2844,3179,3200,3736,3275,3648,3464,3445,3711,3534,3902,4328,4152,4296,4189,3910,4069,4126,4338,4718,4895,4441,4639,5246,4917,5308,5114,5175,5215,4824,5237,5100,4891,5011,5670,5781,5786,5892,6000,6324,6545,6880,6863,6868,6389,6349,6704,7279,7540,6900,7572,8149,8531,9352,10196,10619,10497,11338,10444,11223,11239,10919,11707,12635,12827,12608,12290,12883,11955,12846,11059,11824,12962,13573,14469,14876,14285,14984,14538,15928,15774,15818,16788,18912,20327,21966,24344,27344,25274,27984,28448,29580,28996,28624,28430,30949,31710,28971,33125,38526,41181,38594,37763,36562,37809,39686,42195,40175,43948,43071,41886,42215,41632,44679,42382,47558,45547,47029,49461,50027,51007,53277,54927,55559,56326,63849,61798,64845,69130,71889,70369,75976,73334,78452,83222,86085,83711,94919,89126,90783,92136,88901,89601,107136,119778,102667,116222,117163,102357,117889,102424,104699,117912,114457,108960,116098,108531,107953,121784,122881,111869,110072,106022,107300,103139,100278,105759,108307,114114,117360,111857,110511,111098,113281,113026,113016,114775,110522,116988,121196,118144,113934,108487,102422,95736,104240,103730,104370,104344,108422,108882,112921,119523,125395,118978,119134,121548,132053
"19","11","        Used autos","DNPURC0",2354,2819,2595,3072,2172,2755,2545,2743,2776,2528,2651,2617,2781,2889,3237,2741,3080,3095,3624,3157,3531,3347,3316,3599,3404,3768,4185,3991,4130,4026,3740,3896,3957,4149,4518,4716,4246,4463,5084,4747,5134,4937,4986,5007,4626,5028,4875,4707,4792,5428,5528,5516,5608,5741,6065,6253,6535,6518,6523,6044,6000,6355,6930,7191,6556,7228,7805,8187,8946,9726,10085,9899,10707,9781,10528,10512,10171,10827,11709,11805,11615,11376,11726,10583,11587,9848,10394,11562,12126,12889,13184,12844,13066,12782,14270,14086,14298,14628,16286,17292,18746,20998,24090,21822,23931,24473,24924,24368,23836,22614,23602,25075,22915,25909,31077,33683,30319,29160,27749,28531,29901,32213,29013,32861,30064,29135,29309,28744,31946,29142,33021,31400,32784,34551,34680,35561,37654,38256,39056,38498,46364,44171,47261,49590,51307,48912,53296,48505,51039,55232,57165,53229,62395,55161,54330,56345,53620,52407,63465,68242,57360,64467,65085,55106,65116,54389,54744,65785,60639,58934,60792,54601,55951,62392,62191,56433,55559,53058,53390,51341,49109,52787,53483,56131,57367,55437,54524,55366,55503,54577,53684,53179,50668,53144,54612,53728,52675,50629,47252,41141,44190,43388,43828,44723,46895,46302,47678,51309,54382,51724,50147,51453,56591
"20","12","          Net transactions in used autos","DNETRC0",728,1096,848,1436,556,1156,1032,1168,1380,1128,1208,1044,1208,1236,1584,1004,1324,1276,1756,1192,1548,1384,1316,1656,1356,1732,2040,1668,1860,1948,1676,1704,1932,2032,2272,2392,1940,2129,2651,2160,2499,2457,2494,2442,2294,2600,2370,2369,2051,2370,2452,2334,2353,2193,2589,2630,2758,2934,3029,2623,3055,3079,3210,3801,3076,3638,3914,3760,4036,4722,4825,4345,5125,4458,5184,5133,5053,4929,5717,6065,6044,6217,6912,6287,7283,6095,6310,6888,6850,7429,7400,7230,7149,7366,8433,7776,7548,7000,8196,9103,10917,12750,15769,13904,16074,16028,16093,15820,15253,13647,13085,14639,12620,13453,17152,20307,18310,17720,15888,16382,16347,19024,16093,18918,17518,17806,17801,17790,19956,17936,21450,19714,21314,22613,22265,22508,24535,24176,23977,23264,29878,27296,29431,29065,31357,28628,33529,29643,30236,33672,35224,31507,39346,33354,31175,33089,32580,31468,41699,45332,36180,41366,41655,33671,41341,32882,33040,42736,37222,34155,36983,31356,31632,38699,40268,34249,33727,33198,32237,30111,29147,28798,29365,31831,31788,30803,31828,31293,30952,31142,30110,29103,28010,29133,29668,29347,29538,29464,27125,24443,26551,25936,26444,26920,28187,28078,29481,31882,33987,31707,30858,31354,34815
"21","13","          Used auto margin","DMARRC0",1762,1870,1888,1780,1762,1755,1663,1727,1553,1571,1612,1748,1754,1847,1843,1932,1955,2029,2074,2174,2194,2190,2217,2164,2275,2281,2387,2573,2527,2355,2336,2470,2308,2415,2536,2617,2602,2644,2735,2891,2942,2802,2804,2880,2648,2758,2823,2659,3061,3394,3400,3509,3582,3885,3801,3949,4098,3921,3820,3754,3290,3649,4095,3777,3872,3992,4277,4811,5301,5420,5676,5983,6020,5783,5791,5826,5613,6425,6546,6324,6170,5778,5453,4963,4988,4461,4816,5434,6053,6260,6607,6465,6793,6318,6734,7231,7650,8542,8980,9081,8716,9161,9219,8817,8753,9359,9724,9440,9474,9878,11411,11337,11193,13358,14824,14273,13075,12507,12927,13215,14787,14423,14154,15176,13947,12730,12909,12355,13558,12774,13138,13254,13205,13674,14150,14789,14853,15816,16815,16969,18221,18610,19565,22261,21685,22019,21501,20596,22538,23294,23676,23457,24784,23542,24890,24991,22776,22673,23501,24645,22915,24836,25165,23169,25510,23242,23439,24784,25152,26514,25544,24980,26054,25428,23658,23919,23567,21595,22888,22965,21697,25724,25854,26035,27314,26369,24431,25808,26285,25171,25309,25811,24392,25746,26679,26116,24872,22900,21862,18434,19375,19187,19119,19537,20443,19959,19932,21162,22129,21752,21024,21834,23511
"22","14","          Employee reimbursement","DREERC0",-136,-147,-141,-144,-146,-156,-150,-152,-157,-171,-169,-175,-181,-194,-190,-195,-199,-210,-206,-209,-211,-227,-217,-221,-227,-245,-242,-250,-257,-277,-272,-278,-283,-298,-290,-293,-296,-310,-302,-304,-307,-322,-312,-315,-316,-330,-318,-320,-321,-336,-324,-327,-326,-336,-325,-325,-321,-336,-326,-333,-345,-373,-375,-387,-392,-402,-386,-384,-391,-416,-416,-429,-438,-460,-447,-447,-495,-527,-554,-584,-599,-619,-639,-667,-684,-708,-732,-760,-777,-799,-822,-850,-876,-903,-896,-921,-900,-914,-891,-891,-886,-913,-897,-899,-896,-914,-893,-893,-891,-911,-894,-900,-898,-902,-899,-898,-1066,-1066,-1066,-1066,-1233,-1233,-1233,-1233,-1401,-1401,-1401,-1401,-1568,-1568,-1568,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"23","15","        Used light trucks","DUTRRC0",73,79,77,65,76,78,76,68,61,60,59,62,82,82,92,103,99,104,112,118,117,117,129,112,130,134,144,161,166,162,170,173,169,189,200,179,195,176,162,171,175,177,189,208,197,209,226,184,219,242,254,269,283,259,259,292,345,345,345,345,349,349,349,349,344,344,344,344,406,470,534,598,631,663,695,727,749,880,925,1022,993,914,1157,1372,1259,1211,1430,1400,1447,1580,1692,1441,1918,1756,1658,1688,1520,2159,2626,3034,3220,3346,3254,3452,4053,3975,4656,4628,4788,5815,7346,6635,6056,7216,7449,7499,8275,8603,8813,9277,9785,9982,11162,11087,13007,12751,12906,12889,12733,13240,14538,14147,14245,14910,15347,15446,15623,16670,16503,17829,17486,17627,17585,19539,20582,21457,22681,24829,27413,27990,28920,30482,32524,33965,36453,35790,35280,37195,43671,51536,45307,51754,52078,47251,52773,48035,49955,52128,53818,50026,55307,53930,52002,59392,60690,55436,54513,52965,53911,51798,51169,52973,54823,57983,59993,56420,55987,55732,57778,58448,59332,61597,59855,63844,66584,64416,61259,57858,55170,54594,60050,60342,60542,59622,61527,62580,65243,68215,71014,67253,68987,70095,75462
"24","16","          Net transactions in used trucks","DUTNRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,786,1021,1230,1336,1405,1373,1461,1727,1724,2089,2179,2447,3073,3968,3608,3185,3778,3905,3968,4573,4798,4915,5126,5126,5188,5867,5999,7507,7583,7844,7966,7820,8323,9440,9570,10441,11411,12092,12276,11844,12297,11781,12282,11659,11396,11129,12248,13085,13723,14614,16123,17961,18436,19108,20168,21998,22667,23970,23329,23899,25332,31192,37534,32222,37218,37448,33591,37727,34208,35525,37564,38927,34362,40017,38160,34957,42335,44631,38904,38164,37494,36786,34338,34482,33950,35426,38656,39187,37005,38310,37559,38759,39869,40353,41824,41007,43641,45060,43822,42364,41765,40329,40135,44695,43647,43848,42847,44273,44591,46888,49614,52412,49433,51600,51380,55603
"25","17","          Used truck margin","DUTMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,1374,1605,1805,1883,1941,1881,1991,2326,2251,2567,2449,2341,2742,3378,3027,2870,3439,3544,3531,3702,3805,3898,4152,4659,4794,5295,5088,5500,5168,5061,4922,4913,4917,5098,4577,3804,3498,3255,3171,3779,4374,4722,5546,5827,6231,6456,7291,7497,7734,8067,8706,9452,9554,9812,10314,10526,11298,12483,12461,11382,11863,12479,14003,13086,14536,14630,13660,15045,13827,14430,14564,14891,15664,15290,15770,17046,17057,16058,16532,16349,15471,17124,17460,16687,19023,19397,19327,20806,19416,17677,18173,19019,18579,18979,19772,18848,20204,21523,20594,18895,16093,14840,14459,15355,16695,16693,16775,17254,17989,18355,18601,18602,17820,17386,18715,19859
"26","18","      Motor vehicle parts and accessories (58)","DMVPRC0",2315,2360,2439,2418,2458,2520,2479,2491,2463,2504,2626,2683,2757,2789,2826,2928,2952,2978,3016,3102,3174,3246,3263,3264,3368,3428,3447,3557,3694,3681,3833,3852,3863,3960,4051,4130,4302,4510,4725,4915,5206,5389,5437,5580,5774,6050,6157,6367,6766,7034,7262,7482,7703,7860,8098,8354,8647,8792,8961,9192,9146,9546,9787,9549,9787,10208,10519,10634,11060,11150,11438,11819,12675,12759,12814,13260,13390,14285,14684,15309,15627,16061,16597,17053,17597,17541,17983,18583,19481,19098,20166,19549,19672,20337,20501,21209,21286,21841,22299,23043,23179,22961,22410,22624,22906,23537,23723,23767,23365,23491,23879,23441,22957,23547,24456,24801,26128,26404,26334,26379,26180,26387,27388,27909,28656,28356,28265,27738,27251,28303,28137,27522,28208,28347,28808,29546,29604,30505,31434,31645,33122,33334,33969,34523,34317,35089,35732,36326,37114,37546,37618,38309,38783,38580,39573,39596,39684,39626,38957,39640,40191,40711,41354,42022,42403,41582,41848,41321,40764,41418,40997,41861,41054,41493,42275,41875,42002,42432,43383,43322,43803,43706,44360,45440,46110,46581,46797,46873,48270,47609,48386,48694,49403,49799,50376,50642,49781,49767,48877,47224,46837,46338,46339,46203,47317,48798,49703,51076,51512,51852,53152,54009,55092
"27","19","        Tires","DTATRC0",1481,1504,1549,1538,1556,1590,1560,1566,1549,1570,1641,1672,1713,1729,1748,1806,1817,1832,1858,1909,1931,1974,1982,1985,2053,2107,2122,2198,2300,2310,2416,2438,2449,2490,2544,2609,2725,2864,3010,3141,3318,3425,3462,3563,3688,3876,3961,4123,4382,4563,4742,4917,5121,5275,5434,5558,5661,5681,5693,5758,5692,5904,5980,5759,5852,6031,6132,6101,6293,6282,6345,6453,6888,6815,6742,6923,7008,7430,7727,8014,8118,8363,8667,8921,9232,9380,9420,9707,10055,9902,10437,10097,10027,10335,10436,10666,10837,11012,11338,11645,11747,11580,11468,11510,11601,11932,11981,12233,12077,12158,12175,11983,11934,12037,12372,12687,13403,13536,13500,13358,13267,13331,13831,14290,14603,14459,14335,14060,13847,14365,14166,13809,14080,14066,14204,14450,14329,14616,14915,14878,15436,15397,15547,15653,15411,15610,15748,15861,16063,16088,15947,16058,16046,15815,16125,16089,16093,15808,15556,15577,15692,15726,15741,15859,16017,15696,15770,15348,15689,16150,16175,15903,15835,16186,16381,16441,16650,16831,17290,17396,17646,17831,18274,18853,19480,19638,19849,20393,20848,20598,21002,21248,21829,22200,22517,22595,22401,22528,22387,22004,21831,21585,21355,21229,21738,22529,22902,23494,23773,23955,24687,24975,25584
"28","20","        Accessories and parts","DPAARC0",834,856,890,880,902,930,919,925,914,934,985,1011,1044,1060,1078,1122,1135,1146,1158,1193,1243,1272,1281,1279,1315,1321,1325,1359,1394,1371,1418,1413,1414,1471,1506,1521,1577,1646,1715,1774,1889,1964,1975,2017,2086,2174,2196,2244,2384,2471,2520,2565,2582,2586,2664,2796,2986,3111,3268,3434,3454,3642,3807,3789,3935,4177,4387,4533,4768,4869,5094,5366,5787,5944,6072,6337,6382,6855,6957,7295,7509,7698,7930,8132,8365,8161,8563,8876,9426,9196,9729,9452,9645,10003,10065,10543,10450,10829,10961,11399,11431,11382,10943,11114,11306,11606,11743,11534,11288,11333,11703,11458,11024,11510,12084,12114,12726,12869,12833,13021,12913,13056,13557,13619,14053,13897,13931,13678,13404,13938,13971,13713,14128,14280,14605,15096,15275,15889,16519,16767,17686,17938,18422,18870,18906,19479,19984,20464,21051,21458,21671,22251,22737,22765,23447,23507,23591,23817,23401,24063,24499,24985,25613,26163,26385,25886,26078,25972,25075,25268,24822,25958,25219,25306,25893,25434,25352,25601,26093,25926,26157,25875,26086,26587,26630,26943,26947,26480,27423,27010,27384,27446,27574,27599,27858,28047,27380,27239,26490,25220,25006,24752,24983,24974,25579,26269,26801,27582,27738,27897,28465,29034,29508
"29","21","    Furnishings and durable household equipment","DFDHRC0",15144,15547,15648,15733,15522,15709,15261,15207,15187,15412,15685,16005,16063,16239,16633,16761,17057,17234,17707,18044,18903,19525,19694,19946,19929,20182,20735,21797,22178,22216,23096,23082,23244,23566,23761,24145,24917,25771,26821,26848,27297,27850,27539,27667,27769,28001,28111,28726,29022,29501,30159,31092,32272,32815,33978,35025,37112,37708,38159,38865,40123,41225,41808,40406,40846,41939,43149,44514,45847,46407,47419,49015,51128,52557,53903,55831,55322,59034,59850,61813,62542,64337,66868,67268,67446,65971,67350,70606,71451,71805,72000,70588,70092,71285,71926,73940,76084,77862,81235,83900,85802,88770,89392,91367,91976,93435,95133,97937,100123,101938,105248,106508,107870,108892,110669,110714,112287,114541,115240,118550,120105,121273,121792,122383,124564,121244,119810,118143,118395,119879,118945,117917,121980,122968,125128,127077,128331,130822,132567,133750,135196,139262,142481,145104,144180,145002,148105,149680,148780,153860,154385,157115,157854,158893,161714,163500,168136,171610,174929,179642,184587,188129,193579,198445,204170,207707,210122,210423,212659,213203,214433,219465,224779,226505,224841,227347,224529,229630,235178,237824,242323,244673,248309,252674,255308,259652,262564,267602,273868,270292,270926,270729,273233,271233,270918,269805,264241,265140,257485,244684,237963,234197,233733,235492,241111,244463,243414,246143,248330,251223,254942,259094,266817
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRC0",8486,8742,8699,8726,8746,8803,8541,8558,8429,8657,8861,9105,9106,9254,9594,9607,9792,10075,10346,10558,11235,11528,11630,11687,11884,11953,12264,12952,12993,13022,13558,13488,13535,13716,13901,14084,14480,14968,15428,15462,15689,15927,15673,15690,15659,15698,15681,16020,16142,16262,16736,17222,17908,18303,18737,19442,20739,21086,21281,21626,22334,23162,23499,22537,22645,23127,23695,24640,25224,25453,26150,27043,28816,29230,29681,30742,30377,32805,33170,34177,34611,35563,37027,37020,37019,35810,36500,38407,38904,38868,38602,37314,36920,37600,37863,38925,40579,41788,44184,46080,47416,49288,49634,50998,51291,52360,53612,55270,56940,58127,60656,61844,62976,64162,65423,65476,66046,67117,67282,69448,70601,70741,70863,70976,72129,69479,68302,67001,66945,67764,67235,66535,68119,68740,69697,70540,71790,73313,73988,75047,75816,78550,80870,82300,81518,82156,84251,85603,85119,88422,89104,90645,91836,92733,94509,96085,98253,100002,101813,104706,107133,109376,112890,115728,119377,121924,123238,122167,123424,123495,124161,126849,130017,130718,129370,130746,129078,132695,135417,137707,140595,141785,144608,147508,148575,151552,154605,157276,160504,159530,160469,160431,162132,161585,161083,159821,156023,155568,149965,141905,138124,135730,135363,136401,140029,140420,141093,142300,143853,145023,146798,149691,155052
