"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"187","179","Q1TEL1 C       Telephone and telegraph (41)","Q1TEL10",57297,58077,59422,58506,58459,60280,62099,63031,64715,66895,69029,69449,68847,70458,72377,72777,74135,74848,76189,76946,76934,78271,80371,82248,83714,85802,87189,89285,91996,94279,98272,101059,101847,102442,105316,106206,108459,113473,117385,118072,120372,124720,127220,127960,128820,131433,132595,131231,131027,131762,131550,130508,131682,133330,134384,134971,136373,137749,140695,139596,141125,143637,145530
"188","180","Q1LOC1 D         Local and cellular telephone","Q1LOC10",29927,30604,31247,30880,30628,31592,32091,32337,32961,34272,35086,35423,35200,36674,37850,38400,38904,39943,41122,41757,41760,43158,44656,45540,46805,48964,49726,50814,51283,52251,53737,55044,56643,58333,60031,61977,64132,67617,69771,72338,74921,78448,80110,82841,86127,88166,89527,91560,92335,94019,93492,93447,94818,95681,95803,96890,98852,100197,102748,102761,103757,106318,108771
"189","181","Q1CEL1 D           Cellular telephone","Q1CEL10",1143,1270,1411,1517,1582,1714,1866,2108,2466,2783,3086,3316,3372,3811,4310,4401,4633,5093,5657,6057,6237,6834,7642,8201,8768,9468,10155,10607,10793,11106,11678,12546,13541,14322,15492,16982,18806,20515,22522,24735,26635,28849,31441,33823,36933,39562,42211,44518,45512,46703,47074,48312,50178,51663,53091,54433,57200,58815,61813,62557,63581,66620,69951
"190","182","Q1OLC1 D           Local telephone","Q1OLC10",33925,34493,34991,34337,33906,34814,35121,34951,35019,35998,36406,36381,36010,36973,37473,37968,38151,38568,38974,39021,38712,39333,39719,39825,40389,41793,41618,42186,42441,43079,43927,44146,44533,45345,45665,45859,45896,47557,47513,47718,48323,49579,48633,49035,49346,48968,47973,47930,47849,48434,47657,46634,46391,46004,45012,44959,44607,44579,44578,44033,44154,44175,43905
"191","183","Q1LDT1 D         Long distance telephone","Q1LDT10",27223,27333,28030,27482,27684,28533,29857,30545,31612,32471,33797,33875,33494,33605,34338,34180,35029,34711,34879,35007,34995,34919,35510,36500,36697,36652,37274,38275,40459,41755,44221,45691,44919,43884,45060,44076,44210,45755,47491,45708,45461,46291,47124,45076,42632,43213,42998,39488,38434,37385,37715,36613,36321,37150,38228,37563,36758,36691,36937,35526,36096,35728,34690
"192","184","Q1INC1 D           Intrastate toll calls","Q1INC10",9965,10098,10287,10104,10155,10701,11406,11856,11659,11802,11822,12139,11908,12172,12421,12644,12945,12916,13185,13798,13677,13660,14036,14520,14895,14933,14360,14234,14685,14399,14879,15285,15307,14624,15064,14532,14854,14475,14521,13798,14100,13930,14506,13975,13810,13268,13330,12456,12948,11649,11709,10531,10677,10872,11392,11039,10709,10696,10746,10125,10518,10817,11081
"193","185","Q1ITC1 D           Interstate toll calls","Q1ITC10",17388,17358,17875,17504,17656,17948,18561,18795,20092,20820,22147,21899,21746,21591,22076,21697,22246,21963,21881,21448,21548,21492,21730,22255,22112,22038,23133,24207,25913,27419,29379,30444,29669,29298,30037,29574,29392,31285,32963,31897,31362,32360,32617,31099,28818,29947,29668,27027,25467,25736,26007,26099,25658,26292,26846,26536,26063,26009,26206,25424,25590,24898,23553
"194","186","Q1DMS1 C       Domestic service (42)","Q1DMS10",14084,14775,14314,14089,13162,13299,13321,13435,13870,14312,14425,14709,14911,14900,14897,14955,15103,15297,15500,15772,15934,16078,16116,16069,15999,15829,15545,15249,15639,15966,16395,16902,17732,18429,18651,18469,17587,16754,16404,16414,17603,17524,17315,16958,16842,16667,16142,15346,15228,15499,15658,15808,16502,16697,16861,16988,17123,17291,17369,17529,17766,17862,18126
"195","187","Q1DMC1 D         Domestic service, cash","Q1DMC10",12961,13637,13241,13023,12102,12203,12190,12274,12679,13080,13192,13461,13705,13707,13694,13730,13805,13957,14142,14388,14562,14696,14721,14659,14567,14402,14147,13886,14241,14562,14995,15494,16288,16919,17107,16924,16073,15302,14989,15012,16154,16071,15868,15514,15372,15204,14705,13959,13798,14027,14163,14317,15010,15220,15396,15536,15624,15790,15853,16002,16191,16265,16491
"196","188","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1131,1151,1089,1081,1065,1098,1131,1158,1190,1231,1232,1248,1209,1197,1207,1227,1297,1337,1354,1381,1371,1380,1393,1407,1428,1422,1393,1359,1394,1401,1399,1409,1445,1511,1545,1545,1514,1451,1414,1401,1449,1452,1447,1444,1470,1463,1437,1387,1432,1474,1497,1494,1491,1476,1462,1448,1496,1499,1513,1524,1573,1595,1634
"197","189","Q1OPO1 C       Other (43)","Q1OPO10",39549,39694,39948,39445,37819,37108,37108,36920,37376,37513,37679,37672,37992,38415,38870,39670,40870,41841,42905,43756,43784,44102,44588,44673,44630,45226,45829,46066,46472,46917,47579,48513,49634,50219,50839,51611,52158,52654,52979,53322,53802,53689,53437,53376,52117,51811,51601,51438,50623,50429,49375,49071,48786,48747,48831,48982,49263,49078,49154,49247,49364,49038,48551
"198","190","Q1MSE1 D         Moving and storage","Q1MSE10",8890,8744,8638,8390,7936,7699,7694,7693,7854,7916,7948,7846,8054,8192,8360,8584,8933,9286,9676,9946,10198,10371,10615,10612,10464,10747,11072,11304,11885,12126,12345,12524,12546,12680,12881,13013,13303,13467,13640,13681,13802,13716,13526,13234,12624,12309,12094,11995,11120,10683,10498,10537,10662,10766,10899,11043,11199,11300,11383,11448,11525,11616,11712
"199","191","Q1FIN1 D         Household insurance","Q1FIN10",4057,4036,4014,3990,3972,3940,3903,3861,3809,3765,3726,3692,3654,3642,3644,3657,3713,3722,3715,3693,3611,3592,3591,3605,3703,3697,3658,3590,3393,3356,3375,3452,3683,3788,3862,3900,3851,3847,3842,3838,3830,3832,3838,3842,3868,3840,3780,3688,3541,3418,3295,3178,3041,2962,2915,2899,2956,2957,2960,2963,2973,2986,2999
"200","192","Q1FIP1 D           Household insurance premiums","Q1FIP10",7438,7499,7542,7566,7526,7544,7578,7629,7724,7797,7871,7945,8010,8082,8155,8229,8303,8376,8448,8519,8588,8653,8716,8774,8836,8883,8922,8955,8961,9004,9064,9141,9259,9353,9445,9533,9609,9696,9788,9885,10000,10104,10212,10328,10422,10604,10827,11079,11352,11601,11843,12069,12242,12439,12637,12834,13025,13210,13394,13577,13761,13951,14148
"201","193","Q1FIB1 D           Less: Household insurance benefits paid","Q1FIB10",3382,3463,3528,3576,3554,3604,3675,3768,3915,4032,4146,4253,4355,4440,4512,4572,4590,4654,4733,4826,4977,5061,5125,5169,5133,5186,5264,5365,5568,5648,5688,5689,5576,5565,5582,5633,5758,5849,5946,6046,6170,6272,6374,6485,6554,6765,7047,7391,7811,8183,8547,8891,9201,9477,9722,9935,10069,10253,10434,10614,10788,10965,11149
"202","194","Q1RCL1 D         Rug and furniture cleaning","Q1RCL10",1054,1087,1107,1114,1100,1104,1112,1126,1157,1176,1192,1195,1277,1323,1371,1421,1468,1518,1574,1633,1698,1758,1818,1878,1939,1996,2052,2107,2169,2210,2242,2263,2323,2355,2389,2426,2495,2522,2554,2589,2639,2668,2701,2737,2691,2696,2705,2717,2723,2734,2747,2761,2779,2788,2795,2799,2789,2789,2791,2794,2794,2792,2791
"203","195","Q1ERE1 D         Electrical repair","Q1ERE10",2913,2891,3024,2971,2963,3037,3167,3102,3098,3106,3042,3010,3018,3039,3043,3087,3132,3190,3257,3373,3577,3598,3580,3495,3369,3413,3482,3526,3612,3651,3655,3652,3685,3727,3740,3676,3741,3775,3754,3754,3746,3644,3578,3594,3400,3401,3446,3611,3483,3498,3509,3514,3502,3488,3468,3440,3388,3355,3325,3297,3236,3135,3067
"204","196","Q1FRE1 D         Reupholstery and furniture repair","Q1FRE10",2639,2689,2712,2703,2673,2642,2604,2562,2473,2433,2391,2350,2281,2262,2251,2249,2250,2273,2309,2355,2389,2387,2379,2364,2355,2353,2351,2350,2331,2362,2415,2491,2632,2681,2722,2754,2768,2776,2783,2789,2812,2797,2764,2715,2629,2577,2536,2509,2507,2491,2476,2457,2434,2402,2363,2316,2240,2188,2137,2089,2038,1987,1938
"205","197","Q1PST1 D         Postage","Q1PST10",9711,9693,9692,9602,9003,8730,8632,8539,8589,8465,8528,8732,8786,8823,8826,8982,9198,9266,9370,9531,9102,9097,9095,9246,9409,9439,9480,9483,9438,9473,9610,9898,10008,10006,10030,10386,10255,10350,10344,10496,10748,10782,10763,10983,10728,10806,10820,10639,10879,11166,10335,10048,9764,9676,9659,9688,9812,9574,9623,9710,9842,9528,8988
"206","198","Q1MHO1 D         Household operation services, n.e.c.","Q1MHO10",9805,10099,10327,10265,9820,9657,9736,9811,10199,10502,10724,10722,10809,11034,11288,11599,12061,12474,12896,13121,13181,13286,13510,13455,13337,13537,13701,13685,13654,13758,13953,14236,14750,14975,15206,15436,15743,15918,16066,16179,16224,16250,16268,16274,16183,16182,16201,16233,16284,16318,16353,16381,16372,16393,16426,16467,16544,16559,16561,16549,16544,16551,16564
"207","199","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292917,291484,285892,281584,281919,280961,279106,278954,280635,279362,279980,280384,283807,283480,283381,283041,284634,286262,287602
"208","200","Q1UOS1 C     User-operated transportation","Q1UOS10",152218,153668,152545,149816,145428,143179,142037,142678,146718,150016,152971,155901,156077,157821,160139,162902,166716,169991,173268,176166,178741,181275,185379,188103,191333,194082,196894,200537,205906,208516,211531,212967,213426,215784,217043,217720,221632,224140,227028,228378,230490,231565,231824,232528,234011,232765,230782,228969,225988,224589,222773,221937,222611,221444,221117,221277,223382,221956,221794,220311,220589,222354,224047
"209","201","Q1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","Q1REP10",109559,110836,109777,107293,103555,101601,100546,101056,104492,107487,110203,112959,113264,114974,117187,119752,123233,126286,129349,132022,134435,136824,140766,143364,146465,149019,151641,155041,160027,162367,165150,166381,166838,168882,169714,170523,173995,176294,179041,180305,182521,183540,183687,184228,185500,184129,182011,180064,177336,176000,174229,173415,174106,172901,172473,172479,174354,172708,172336,170613,170706,172308,173811
"210","202","Q1ARP1 D         Motor vehicle repair","Q1ARP10",95640,95835,94437,91920,87189,84819,83304,82659,84634,85811,86875,87580,88281,89043,90161,91582,93720,95417,96994,98458,99929,100994,102274,103690,105017,105846,106697,107552,108145,108743,109471,110258,111631,112511,113575,114713,115488,116045,116667,117388,118399,119043,119665,120227,121521,121194,120848,120452,119488,119206,119190,119414,120008,120448,120943,121436,123684,122225,122500,120968,121622,123237,124919
"211","203","Q1RLO1 D         Motor vehicle rental, leasing, and other","Q1RLO10",15775,16769,17039,16993,17777,18093,18471,19534,20966,22740,24341,26302,25950,26871,27944,29070,30395,31723,33169,34349,35278,36550,39084,40235,41942,43597,45300,47746,51981,53675,55683,56127,55261,56409,56191,55876,58530,60255,62369,62911,64122,64497,64021,64000,63978,62935,61157,59594,57812,56742,54945,53874,53969,52235,51253,50724,50259,50099,49392,49237,48605,48529,48273
"212","204","Q1MVR1 D           Motor vehicle rental","Q1MVR10",4304,4320,4359,4416,4537,4582,4597,4580,4450,4414,4401,4430,4707,4888,5095,5319,5589,5716,5792,5810,5625,5652,5749,5927,6342,6584,6797,6979,7050,7182,7301,7398,7386,7550,7644,7645,7618,7663,7699,7708,7995,8144,8289,8424,8534,8512,8101,8350,8018,7888,7805,7782,7869,7952,8076,8236,8452,8639,8822,8998,9176,9373,9577
"213","205","Q1MVL1 D           Motor vehicle leasing","Q1MVL10",4434,5456,5715,5583,6034,6102,6197,6915,7952,9390,10760,12558,12102,12894,13791,14688,15637,16778,18020,19045,20005,21096,23293,24127,25325,26537,27775,29684,32989,34143,35627,35665,34707,35534,35056,34548,36798,38308,40225,40624,41544,41715,41032,40817,40502,39520,38163,36419,35129,34195,32427,31304,31139,29276,28200,27625,27203,27105,26456,26417,25865,25887,25696
"214","206","Q1ALE1 D             Auto leasing","Q1ALE10",3832,4613,4691,4461,4788,4730,4780,5510,6447,7854,9164,10806,10122,10602,11123,11476,11863,12487,13045,13420,13926,14482,15974,16376,16522,16994,17353,18406,20841,21315,22129,21886,20722,20757,20435,20002,20891,21546,22233,22238,22139,22217,21999,22369,23256,22942,22029,21314,20386,19777,18998,18147,18123,17136,16607,16157,15894,15818,15149,15095,14793,14440,14402
"215","207","Q1TLE1 D             Truck leasing","Q1TLE10",559,799,990,1098,1221,1354,1399,1374,1463,1471,1512,1646,1897,2214,2595,3149,3720,4242,4933,5592,6049,6587,7290,7723,8788,9535,10422,11281,12145,12825,13496,13777,13985,14777,14622,14547,15908,16761,17992,18386,19405,19499,19033,18448,17246,16578,16134,15105,14744,14417,13429,13157,13017,12140,11594,11468,11309,11288,11307,11322,11072,11448,11295
"216","208","Q1OAS1 D           Other motor vehicle services","Q1OAS10",8317,8170,8115,8168,8383,8620,8928,9276,9762,10024,10172,10204,10063,9963,9877,9834,9914,9915,9972,10047,10129,10220,10321,10435,10488,10652,10869,11145,11909,12319,12708,13052,13192,13344,13527,13732,14135,14291,14439,14575,14582,14638,14699,14761,14949,14918,14891,14861,14683,14660,14679,14729,14892,14890,14829,14702,14450,14227,13989,13742,13494,13259,13033
"217","209","Q1ATN1 C       Other user-operated transportation (76+77)","Q1ATN10",43205,43315,43320,43226,42732,42518,42483,42592,43066,43250,43387,43452,43313,43299,43356,43513,43792,43969,44136,44326,44464,44581,44699,44802,44910,45093,45270,45502,45869,46129,46346,46551,46553,46868,47298,47164,47608,47825,47977,48068,47971,48029,48136,48297,48505,48636,48779,48916,48668,48607,48566,48545,48527,48557,48651,48801,49050,49233,49421,49608,49778,49966,50172
"218","210","Q1TOL1 C         Bridge, tunnel, ferry, and road tolls","Q1TOL10",3329,3289,3273,3286,3313,3349,3436,3552,3736,3833,3917,3967,4000,4025,4052,4084,4136,4175,4214,4250,4311,4364,4432,4511,4649,4755,4845,4918,4995,5015,5015,4996,4746,4685,4658,4668,4894,4976,5039,5079,5070,5072,5076,5083,4887,4861,4885,4962,4861,4859,4864,4874,4888,4899,4910,4918,4923,4917,4903,4881,4859,4845,4833
"219","211","Q1AIN1 C         Insurance","Q1AIN10",39820,39990,40026,39923,39395,39145,39017,39005,39292,39383,39441,39459,39291,39257,39290,39419,39648,39788,39916,40070,40147,40211,40261,40288,40263,40343,40432,40595,40887,41124,41338,41559,41803,42175,42630,42488,42710,42847,42939,42989,42901,42957,43060,43215,43624,43779,43897,43957,43812,43753,43705,43675,43645,43665,43749,43890,44134,44322,44524,44732,44923,45124,45342
"220","212","Q1PLT1 C     Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12163,12194,12100,11973,11847,11713,11620,11688,11683,11644,11658,11541,11603,11700,11854,12103,11879,11672,11668
"221","213","Q1IMT1 C       Mass transit systems (79)","Q1IMT10",7329,7186,7376,8007,7548,7581,7633,7554,7660,7688,7490,7448,7353,7498,7701,7929,7867,8116,8011,8064,7969,7915,7798,7778,7766,7770,7795,7635,7695,7729,7829,7803,8123,8073,8376,8591,8603,8713,8708,8888,9016,9108,9099,9126,9049,9070,8960,8815,8689,8547,8447,8508,8497,8454,8465,8346,8412,8505,8649,8883,8646,8433,8421
"222","214","Q1TAX1 C       Taxicab (80)","Q1TAX10",3411,3463,3462,3413,3312,3263,3199,3146,3090,3070,3085,3123,3144,3150,3157,3167,3165,3189,3225,3271,3403,3408,3374,3301,3238,3224,3210,3199,3147,3156,3194,3261,3492,3539,3551,3529,3436,3395,3344,3285,3170,3145,3126,3116,3113,3124,3139,3157,3157,3165,3172,3180,3185,3189,3192,3195,3190,3195,3204,3220,3232,3239,3247
"223","215","Q1PIT1 C     Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,46827,46613,42826,40180,44109,44766,44852,45599,46810,46780,47907,48349,49780,51046,50927,52083,54064,54097,53603
"224","216","Q1IRR1 C       Railway (82)","Q1IRR10",798,810,796,833,877,816,788,729,652,596,583,596,588,580,566,546,556,512,488,496,488,494,485,448,430,447,464,461,469,456,458,458,453,470,471,478,484,470,466,476,492,514,541,524,515,515,530,572,569,543,503,491,498,502,536,556,576,574,522,636,651,573,527
"225","217","Q1IBU1 C       Bus (83)","Q1IBU10",1487,1291,1612,1723,1702,1780,1707,1672,1752,1721,1755,1688,1838,1881,1822,1946,1869,1887,2052,2031,2046,2143,2130,2117,1987,2094,2202,2346,2514,2423,2487,2613,2582,2452,2314,2254,2233,2244,2354,2542,2445,2416,2325,2318,2359,2325,2285,2195,2292,2184,2184,2172,2104,2028,2054,2020,1964,1921,1751,1832,1838,1742,1636
"226","218","Q1IAI1 C       Airline (84)","Q1IAI10",25430,24802,24578,24413,23503,24072,23864,24088,23250,22724,24974,22836,23066,23533,23902,24408,25059,25633,26350,27483,27200,26753,26802,28004,29621,30048,30502,31082,31925,31747,31800,31493,32495,33503,33429,33802,34550,34579,35256,35249,36152,37181,36947,36619,36696,36561,32762,30137,33533,34186,34154,34836,36185,36178,37218,37640,39004,40039,39832,40642,42340,42613,42362
"227","219","Q1TRO1 C       Other (85)","Q1TRO10",5242,5308,5299,5384,5309,5387,5434,5501,5863,6165,6420,6466,6231,6190,6251,6378,6649,6938,7049,7146,7009,7196,7447,7759,7872,7958,7946,7872,7825,7890,7883,7792,7862,7963,8072,8159,8324,8332,8303,8215,8099,7902,7706,7521,7310,7273,7222,7163,7647,7811,7952,8062,8070,8128,8183,8235,8394,8695,9016,9150,9456,9446,9388
"228","220","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1053541,1065657,1082692,1099080,1113527,1129864,1144352,1158810,1169838,1180126,1187561,1202172,1211434,1225532,1241622,1255433,1269141,1282315,1299853
"229","221","Q1PHY1 C     Physicians (47)","Q1PHY10",192222,194067,195746,196921,197327,197431,198150,199293,202895,204911,205216,204210,201791,199245,196881,195489,196142,196314,196617,196938,199105,199760,200477,201160,204047,204706,205255,205673,208733,209791,211077,212615,216898,218168,219371,220500,221065,223104,225613,228530,231272,234733,238775,242565,243360,246605,251815,256923,261846,267154,272477,277619,282258,286661,289401,296142,297559,301306,305450,310052,314442,318540,322810
"230","222","Q1DEN1 C     Dentists (48)","Q1DEN10",53597,53650,53511,53221,52449,52235,52283,52526,53527,54139,54556,54740,54206,54168,54206,54370,54753,55073,55447,55835,56712,56860,56718,56466,56609,56972,57219,57467,57783,58033,58239,58400,58804,59130,59402,59606,59627,59850,60133,60495,61110,61537,62046,62616,63227,63853,64506,65148,65917,66347,66584,66607,65938,65804,65834,66053,66800,67194,67561,67876,68206,68627,69076
"231","223","Q1OPS1 C     Other professional services (49)","Q1OPS10",86862,92592,98017,101915,101606,102639,105361,107079,111398,114566,117164,119325,122084,124430,127370,129569,130509,131931,133012,135356,138875,141157,143679,145339,145888,147827,149496,151084,148158,150142,152170,154020,155851,155511,155505,155180,155347,156520,158097,158871,159443,161176,161865,163825,166326,168488,171212,173648,174702,176707,178594,182424,185469,188150,189632,191467,194802,197337,200320,203776,205683,206715,208869
"232","224","Q1HHC1 D       Home health care","Q1HHC10",21440,23400,25258,26659,26990,27295,28005,28417,30621,32093,33169,34279,35424,36749,38313,39731,40191,41543,42595,43603,45470,46582,48150,48934,49304,49841,50344,50597,49317,48930,49114,49425,49922,48676,47769,47056,46667,46892,47190,46988,45723,46223,45474,45567,46182,46495,47393,47623,48010,48601,49022,51461,52671,53839,54336,54878,56525,58116,59954,62366,63206,62953,63433
"233","225","Q1MLB1 D       Medical laboratories","Q1MLB10",7967,8177,8334,8461,8673,8854,9169,9285,9508,9725,9889,9774,9724,9750,9782,9795,9890,9955,10081,10153,10043,9859,9633,9787,9904,10303,10641,10731,11072,11504,11910,12145,12707,13064,13372,13595,13783,14056,14545,14947,15764,16157,16605,17093,17784,18218,18544,18753,18577,18724,18938,19224,19673,20028,20381,20716,21017,21287,21527,21738,21951,22194,22448
"234","226","Q1EEX1 D       Eye examinations","Q1EEX10",2505,2606,2712,2816,2883,2979,3122,3232,3191,3229,3275,3324,3484,3567,3658,3729,3840,3955,3972,4037,4038,4109,4144,4190,4257,4391,4479,4595,4631,4696,4720,4800,4830,4786,4860,4889,5014,5022,5143,5230,5334,5370,5397,5413,5384,5399,5430,5477,5562,5620,5674,5723,5742,5791,5851,5923,6016,6099,6184,6270,6356,6445,6538
"235","227","Q1OMD1 D       All other professional medical services","Q1OMD10",54798,58276,61599,63877,62956,63401,64944,66020,67988,69446,70768,71910,73428,74361,75638,76361,76634,76545,76447,77657,79458,80775,81977,82655,82649,83493,84215,85337,83269,85119,86519,87735,88462,89039,89547,89673,89910,90571,91236,91716,92625,93429,94388,95746,96972,98370,99840,101787,102543,103751,104946,106024,107403,108528,109109,110002,111321,111949,112808,113616,114402,115330,116650
"236","228","Q1PHO1 C     Hospitals and nursing homes (50)","Q1PHO10",381223,385831,389253,389292,392337,396299,400744,408205,410135,413441,416361,417866,420993,420583,422644,423194,423865,425747,427562,428942,430872,432880,434921,437846,435515,440828,441687,448376,449105,452237,456382,456715,462096,461348,462849,463954,465812,467231,470421,474214,476849,481004,484691,487848,494676,499864,507267,514357,520780,527440,532526,536315,538636,541344,543428,548167,550537,555778,562013,565107,571144,577538,585844
"237","229","Q1HSP1 C       Hospitals","Q1HSP10",314656,317076,319131,318335,321954,326092,330029,336959,337196,340131,342835,343734,346589,345671,347088,347187,348260,349639,350609,351298,351698,352581,353571,355377,352775,357459,357499,363530,362794,364595,367882,367652,374012,373486,375537,376653,379188,381025,384047,387876,390509,394149,398121,401217,407815,412776,420102,426688,432521,439356,444302,447418,449485,451913,454111,459120,461453,466129,471364,474516,480888,487101,494891
"238","230","Q1NPH1 C         Nonprofit","Q1NPH10",211102,214001,216596,216942,219601,222260,225286,230383,231745,234571,236767,238071,239847,238744,239459,238827,238556,238778,238769,238355,237248,237297,237440,238557,236801,239473,239337,243060,242832,244514,246713,246399,250751,250250,252036,253724,256445,258034,260278,262874,264361,266169,268468,269491,271848,273521,277383,280638,283422,287329,290129,291447,292203,293406,293940,297454,298301,300846,303658,304840,308577,312275,317207
"239","231","Q1FPH1 C         Proprietary","Q1FPH10",39284,39083,38838,38355,38102,38487,38589,39023,38128,37907,37580,36841,36351,36061,35955,35883,36031,36249,36529,36983,37558,38008,38610,39329,39872,41038,41445,42424,42801,42835,43069,42823,42780,42327,42014,41479,41732,41736,41957,42353,42275,42970,43330,44001,45905,47271,48795,50258,52735,54488,55509,56252,56813,56998,57466,57602,57477,57962,58587,58612,59343,60002,60933
"240","232","Q1GVH1 C         Government","Q1GVH10",64806,64405,64020,63308,64528,65639,66443,67835,67581,67909,68751,69102,70678,71139,71942,72720,73876,74785,75457,76069,76935,77292,77510,77476,76089,76911,76673,77985,77112,77218,78072,78399,80453,80878,81461,81441,81013,81260,81820,82653,83875,85008,86321,87724,90077,92016,93969,95852,96442,97630,98760,99824,100580,101620,102816,104177,105783,107425,109220,111162,113062,114917,116847
"241","233","Q1NRS1 C       Nursing homes","Q1NRS10",66110,68374,69783,70674,70029,69792,70271,70733,72535,72879,73062,73697,73938,74511,75179,75668,75214,75733,76628,77361,79014,80205,81308,82467,82783,83386,84244,84873,86410,87774,88638,89213,88168,87945,87368,87349,86655,86227,86383,86343,86339,86858,86570,86629,86866,87103,87199,87716,88315,88164,88319,88987,89247,89528,89417,89155,89191,89757,90763,90699,90370,90551,91068
"242","234","Q1NPN1 D         Non-profit nursing homes","Q1NPN10",21134,21802,22152,22290,21591,21458,21709,22093,23248,23456,23516,23705,23861,24062,24308,24518,24555,24768,25054,25228,25687,26064,26366,26818,26910,27341,27820,28394,29461,30363,30956,31326,30613,30638,30697,31020,31290,31428,31591,31702,31751,31821,31943,32242,32513,32959,33302,33581,33784,33723,33647,33696,33839,33867,33711,33605,33459,33577,33996,33923,33665,33529,33374
"243","235","Q1FPN1 D         Proprietary and government nursing homes","Q1FPN10",45145,46755,47829,48604,48716,48618,48836,48885,49467,49591,49713,50163,50239,50610,51030,51303,50790,51090,51703,52270,53478,54294,55103,55803,56026,56180,56545,56579,57021,57461,57721,57921,57601,57348,56704,56352,55376,54802,54793,54640,54588,55036,54626,54388,54355,54150,53908,54148,54544,54454,54682,55299,55416,55667,55711,55555,55735,56182,56769,56778,56703,57017,57687
"244","236","Q1HIN1 C     Health insurance (56)","Q1HIN10",69421,69916,70339,70653,70681,71265,72061,73019,74688,75814,76763,77403,77757,78207,78148,78031,78458,77496,76603,75809,75229,74109,73180,72323,71749,70781,70104,69598,69090,69080,69617,70646,72893,74209,75379,76352,76188,77023,78224,79702,82059,83526,84706,85610,85951,86844,87904,89036,90322,92331,94406,96249,98160,98984,100195,101516,102989,105274,107747,110372,111532,112803,115176
"245","237","Q1MIN1 C       Medical care and hospitalization","Q1MIN10",52266,52568,52976,53402,53611,54119,54714,55396,56488,57231,57843,58246,58494,58946,58969,59000,59580,58908,58369,57927,57749,57061,56535,56047,55881,55278,54840,54552,54093,54138,54790,55922,58297,59646,60801,61711,61441,62191,63270,64598,66744,68050,69081,69845,69474,69998,70710,71529,72335,73979,75711,77254,78928,79552,80562,81693,83008,85075,87305,89661,90607,91676,93807
"246","238","Q1IIN1 C       Income loss","Q1IIN10",734,733,722,704,676,669,674,690,723,764,815,872,964,1007,1029,1029,974,953,938,934,959,967,978,993,995,1017,1054,1098,1167,1228,1282,1334,1383,1431,1474,1513,1548,1577,1606,1634,1661,1688,1711,1736,1756,1783,1812,1840,1868,1898,1928,1957,1984,2013,2043,2071,2098,2129,2160,2190,2220,2251,2283
"247","239","Q1PWC1 C       Workers' compensation","Q1PWC10",17119,17365,17470,17462,17414,17543,17764,18019,18559,18811,18965,18990,18772,18625,18466,18281,18206,17930,17552,17140,16581,16072,15604,15183,14751,14350,14068,13805,13682,13568,13415,13281,13150,13094,13084,13118,13182,13242,13340,13465,13654,13788,13914,14028,14738,15089,15419,15716,16213,16553,16857,17117,17295,17473,17635,17782,17885,18027,18193,18388,18570,18731,18899
"248","240","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,274733,274127,274534,276187,278459,280133,281147,285056,286134,289817,291537,296843,301063,301074,303563,304065,307735,308349,308529
