"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"287","279","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27428,27462,27436,27407,27311,27311,27543,27840,29325,30136,30561,30507,29717,29474,29313,29216,29264,29452,29752,30172,30977,31261,31476,31620,31333,31559,31920,32413,33390,33936,34462,34939,35549,35852,36121,36352,36556,36783,37068,37406,38099,38302,38458,38565,38485,38715,38915,39079,39612,39903,40178,40429,40444,40599,41050,41800,42707,43466,44019,44348,44444,44458,44415,44298,44123,44019,44030,44148,44344,44547,44770,45001,45215
"288","280","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25161,25181,25154,25134,25068,25073,25316,25604,27083,27902,28348,28327,27550,27311,27152,27051,27099,27274,27550,27944,28757,29051,29277,29432,29184,29395,29717,30149,30992,31478,31966,32433,33100,33414,33688,33913,34067,34278,34551,34881,35569,35780,35939,36046,35958,36185,36381,36543,37079,37368,37639,37884,37894,38041,38476,39205,40092,40841,41394,41734,41851,41886,41861,41761,41602,41513,41537,41667,41874,42089,42323,42565,42790
"289","281","Q1BAR1 D         Barber shops","Q1BAR10",2275,2290,2290,2282,2252,2246,2234,2242,2245,2235,2212,2179,2167,2164,2162,2167,2167,2180,2203,2229,2221,2210,2199,2188,2149,2164,2202,2264,2398,2458,2496,2505,2449,2437,2433,2439,2489,2505,2517,2525,2529,2522,2519,2519,2527,2530,2534,2536,2533,2534,2538,2544,2549,2558,2573,2595,2614,2624,2624,2613,2592,2572,2553,2537,2521,2506,2493,2481,2469,2458,2447,2436,2425
"290","282","Q1COT1 C       Other (19)","Q1COT10",19794,20475,20248,19398,17590,16745,16165,15986,17694,18786,19569,19870,20342,20650,20984,21356,21615,22149,22876,23747,23918,24221,24590,25008,25684,25833,25944,26080,25941,26128,26449,26898,27854,28326,28835,29382,30316,30790,31303,31829,32698,32896,33040,33111,33007,32919,32889,32910,33378,33760,34242,34803,35338,35931,36660,37525,38546,39372,39853,39961,39784,39911,40466,41459,42797,43975,44864,45427,45685,45882,46099,46324,46532
"291","283","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1184,1178,1168,1153,1128,1116,1105,1097,1088,1084,1085,1092,1102,1108,1113,1122,1122,1139,1165,1200,1272,1301,1328,1352,1354,1385,1429,1487,1526,1546,1564,1579,1675,1703,1724,1739,1753,1759,1768,1779,1803,1801,1800,1798,1793,1779,1772,1769,1766,1772,1783,1796,1809,1822,1837,1854,1882,1899,1893,1864,1824,1830,1896,2026,2215,2386,2508,2568,2571,2562,2555,2548,2540
"292","284","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18604,19293,19076,18241,16456,15623,15053,14883,16601,17699,18483,18777,19240,19543,19871,20234,20493,21012,21712,22549,22648,22921,23262,23656,24332,24449,24514,24592,24415,24582,24884,25318,26180,26622,27111,27643,28563,29030,29535,30051,30895,31095,31239,31312,31215,31140,31117,31140,31612,31988,32460,33007,33529,34109,34823,35670,36664,37473,37960,38097,37960,38080,38570,39433,40582,41589,42356,42859,43114,43319,43544,43776,43991
"293","285","Q1PBU1 C     Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,524354,524769,529971,527448,518769,524391,531146,539448,548974,554505,559379,569358,571422,574700,584167,589277,593029,598577,600652,608437,618798,625397,632529,636184,647122
"294","286","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12340,12455,12284,12066,13000,14588,14269,15172,17106,15727,16389,17866,19992,20053,21579,24028,25344,23377,23350,24347,25079,27379,29437,30533,33455,34260,33351,35644,37898,38728,44134,44557,46054,52388,56791,57247,64280,70794,73540,86963,101168,99005,101474,100677,93179,86498,80277,85745,86833,87892,90565,86345,78167,85764,89082,90599,94888,91213,91237,98102,97653,97230,101079,102039,108104,107685,106087,112032,115328,116011,119917,121351,128007
"295","287","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2507,2603,2508,2334,2894,3381,3194,3531,4100,3471,3668,4354,5120,5085,5595,6741,7172,6303,6322,6764,7245,8398,9442,10012,10946,11297,10771,11862,12795,12789,15475,15310,15901,19275,22547,23001,27339,31164,31757,41915,51751,51177,54163,55008,49268,45694,41632,44824,44845,45713,48250,44051,35696,41662,41778,41901,43713,38706,36190,40375,37391,33354,36085,34618,36605,33460,29976,31259,32213,30657,31874,32874,38488
"296","288","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1986,2038,1977,1954,2127,2573,2732,3120,3423,3448,3643,3831,4043,4223,4722,4828,4889,3999,3731,3562,3402,3973,4240,4305,4902,5178,4934,5281,5388,5703,6626,6966,6932,7551,7649,7585,7751,8282,8099,9201,11023,9824,9744,9423,9080,8677,7967,9199,8834,8843,8924,8604,8025,9076,9898,9588,10138,9296,9298,10227,10450,10757,11317,11485,12170,12653,11946,13245,13658,15261,16331,16255,15219
"297","289","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1956,1889,1680,2019,2006,1872,1830,1813,2184,2146,2254,2117,2151,1713,1562,1271,1807,1679,1923,2097,2292,2120,1880,1927,2499,2044,1980,2056,2154,1960,1750,1571,1365,1368,1333,1115,1146,1088,1072,1165,1315,1233,1132,1305,1669,1357,1413,1686,1484,1269,1263,1058,1161,1600,2268,2523,2491,2302,2197,2459,2739,2846,3199,3849,4650,4314,4237,4304,4857,4709,4770,4463,5365
"298","290","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2492,2482,2458,2432,2512,2597,2674,2736,2758,2713,2639,2540,2774,2518,2355,2257,2454,2501,2511,2490,2457,2454,2448,2440,2395,2359,2337,2324,2290,2407,2500,2444,2540,2563,2390,2465,2613,2678,2602,2693,2657,2603,2610,2564,2680,2673,2505,2575,2661,2635,2546,2567,2594,2594,2601,2611,2486,2475,2489,2519,2630,2665,2665,2627,2542,2502,2459,2418,2388,2362,2338,2314,2290
"299","291","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2670,2640,2564,2457,2561,2753,2828,2804,3054,3204,3381,3425,3738,4003,4200,4769,4923,4783,4811,4937,4816,4828,5315,5515,5740,6171,6290,6533,6817,7309,8035,8831,8940,9940,9355,8893,9559,10429,12201,13259,13988,13815,13951,13207,12715,11657,10845,11207,11378,11204,10818,10164,10030,10265,10816,11186,11676,11727,11967,12508,12427,12999,13045,13283,14437,14778,15282,15965,16353,16892,17185,17461,17321
"300","292","Q1CMD1 D         Commodities revenue","Q1CMD10",1956,1656,1902,2150,1162,1405,1275,1057,1537,1371,1420,1426,1521,1589,1785,1719,1760,1999,1756,2057,2099,2076,1836,1700,2448,2000,1734,1567,2090,2190,2261,2123,2504,2438,2537,2336,2500,2412,2391,2024,2698,2415,2072,2396,2898,2962,2953,3459,3257,3446,3872,4031,3645,3913,4455,4341,4446,4875,5132,5385,5679,6173,6131,6783,6930,7560,7776,8358,9089,8807,10356,10051,11966
"301","293","Q1SAX1 D         Investment counseling services","Q1SAX10",5173,5368,5550,5570,5638,5668,5655,5667,5703,5697,5743,5784,6110,6360,6685,7078,7340,7733,8163,8227,8160,8236,8441,8583,8911,9406,9875,10335,10606,11029,11190,11402,11839,12440,13055,13689,14645,15674,16707,17246,17627,17832,17822,16969,14886,13541,12872,12857,14183,14656,15095,15499,15549,15749,16059,16990,18350,19375,20793,21656,22621,23687,24143,24481,25653,26429,27376,29030,29355,29558,29559,30289,30398
"302","294","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",46658,45907,45183,45878,46786,47402,47956,48474,49969,49046,49081,48992,49235,50545,50540,50881,49623,48046,49441,48561,47913,48504,49660,48872,48996,48843,49997,49134,48184,48689,50476,51071,51313,53184,54676,58257,58208,60839,63673,63778,64228,62798,64694,65256,66883,68004,66314,67861,69269,71939,73858,74488,75217,75796,77132,77816,76698,78412,79783,81900,83297,87888,89648,91219,91327,93083,94435,93909,95231,96911,98070,98920,100481
"303","295","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14755,14336,14224,14744,15188,15128,15297,15647,16373,15817,16335,16491,16185,16285,16162,16021,15663,15276,15353,15059,14983,14931,14992,14623,14471,14531,14647,14625,14421,14647,14988,15569,15370,15432,15311,15833,16197,16724,17184,16915,17046,17427,17785,18508,17936,19015,18879,19767,20198,20461,20818,21184,21636,21370,21850,21624,21566,21250,20986,20917,20964,22590,22425,22762,22724,22914,23805,23232,23935,24186,24570,24882,25184
"304","296","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13538,13310,12730,13107,13931,14288,13844,14113,14746,14558,14003,13570,13279,13277,13084,13257,13312,12950,13848,13057,12732,12946,13486,13161,13020,12175,13144,11943,12566,12689,13307,12926,12732,13290,13056,14095,13810,14811,14662,13249,14604,14104,13890,13124,14419,14286,13176,13831,13682,14307,13947,13763,13852,13906,13953,13959,13237,13223,13314,13470,14044,14242,14235,14017,13562,13360,13142,12922,12870,12896,12928,12961,12989
"305","297","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11633,11582,11484,11371,11050,11348,11876,11783,12117,12002,11878,11901,12551,13410,13662,13946,13513,12810,13163,13259,12984,13127,13369,13087,13315,13494,13171,13195,11812,11550,12006,12016,12406,13453,15083,16878,16430,17254,19382,20679,19082,17277,18504,18556,18559,18428,17708,17548,18693,20272,21801,21778,21304,21438,21634,22009,21164,22630,23492,24740,24684,26660,27931,28849,29070,30597,31164,31440,31953,33079,33527,33720,34673
"306","298","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7229,7164,7113,7087,7241,7330,7422,7462,7346,7299,7309,7345,7435,7698,7711,7760,7330,7216,7419,7386,7375,7677,8050,8205,8349,8641,9152,9337,9474,9893,10283,10629,10857,11063,11269,11498,11808,12109,12466,12893,13493,13990,14520,15068,16003,16268,16489,16663,16626,16835,17154,17592,18249,18899,19490,20007,20492,21056,21727,22502,23338,24103,24757,25288,25684,25953,26103,26114,26302,26615,26942,27278,27607
"307","299","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",113061,114673,116566,118538,118245,121976,124406,125788,125750,126668,127753,128924,130004,130770,131499,132258,133815,133946,133125,132044,129777,129374,128996,130722,133153,135151,137201,138755,140770,142554,144138,145160,146827,148949,151469,154208,157559,158743,159559,159932,163180,162489,169405,173817,173845,175521,176867,178474,177067,174922,173392,172567,169715,169363,170330,172527,176643,181290,184363,185686,185220,183066,182106,181800,182820,184449,186497,189230,193203,197740,201402,204666,207920
"308","300","Q1IMC1 D         Commercial banks","Q1IMC10",56041,57911,59967,62141,64814,66720,68263,69420,69614,70381,71149,71908,73241,73516,73327,72682,71285,70113,68912,67783,66293,65864,65996,66654,68698,69575,70131,70307,69691,69334,68884,68396,67498,67318,67435,67810,69701,69621,68898,67627,63842,63291,63970,65901,70943,73249,75751,78456,79795,79511,78798,77699,73738,71605,70185,69468,71774,74522,75791,75421,73720,70088,67614,65770,64955,64857,65146,67646,68678,69394,70147,70919,71670
"309","301","Q1IMN1 D         Other financial institutions","Q1IMN10",58610,58319,58081,57866,54819,56693,57603,57831,57574,57722,58048,58480,58244,58770,59692,61021,63788,64988,65322,65338,64482,64474,63990,65039,65568,66683,68115,69416,71874,73914,75838,77268,79744,81985,84332,86672,88152,89390,90875,92429,99404,99243,105418,107823,102915,102249,100976,99717,96865,94974,94180,94522,95867,97913,100591,103792,105486,107269,109081,110895,112333,114169,116042,117960,120110,122048,123954,123839,126916,130991,134091,136741,139416
"310","302","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",85101,85439,86449,87761,95759,97978,96444,94090,91666,91675,90885,91484,96953,100560,101401,102327,99750,96699,92276,91671,95757,98102,97020,97084,95305,93417,92034,91963,97416,97279,96574,97918,95220,94638,91973,90667,90796,90711,91565,92400,96746,96773,95429,95363,92997,91377,89838,86294,79770,78558,79774,79982,78520,75850,77043,79726,83704,86368,85943,86026,86388,87873,93169,95373,92508,93034,92409,91953,92663,93909,94393,94523,95386
"311","303","Q1GAL1 C       Legal services (65)","Q1GAL10",62262,62579,62374,61757,60385,60048,59885,60335,60759,61797,61992,61841,61118,61043,60934,60740,60739,60443,60045,59546,58590,58697,58799,59144,60124,60349,60763,61179,61324,61787,62199,62561,62996,63247,63493,63704,64091,64225,64264,64226,63687,63759,63893,64078,64785,64633,64468,64282,63585,63566,63925,64598,66512,67201,67214,67354,66812,66699,67065,67711,68021,67682,67240,67559,68138,69528,70385,71229,73031,71939,71041,70265,70197
"312","304","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",15133,14935,14978,14793,14660,14888,14946,15347,15427,15311,15753,15596,15682,15661,15399,15335,15472,14566,15141,14753,15181,15005,15127,14962,14903,14873,14587,14671,14116,14450,14423,14365,15396,14545,14755,14099,14864,14410,14235,14167,14302,13775,14005,13825,13888,14394,14154,13961,13663,13514,13531,13721,13416,14074,14203,14552,13612,13211,13098,12921,13493,13282,13155,13167,12905,13192,13220,13277,13276,13276,13276,13276,13276
"313","305","Q1PBO1 C       Other (67)","Q1PBO10",23894,24273,24420,24399,24191,24449,24733,24937,24944,24987,25128,25222,25672,26205,26508,26674,26784,27104,27404,27866,27723,27699,27832,27885,28236,28376,28589,28699,29142,29710,30098,30674,31068,31300,31579,31873,32486,32855,32964,33095,33017,33138,33130,33275,33500,33481,33323,33362,33592,34004,34906,34975,35142,35391,35610,36357,36690,36722,37281,37425,37547,37680,38095,38393,38652,38705,38440,38579,38208,38120,37828,37103,36859
"314","306","Q1UNS1 D         Labor union expenses","Q1UNS10",8754,8913,8969,9065,9049,9281,9459,9560,9651,9639,9610,9590,9660,9835,9784,9714,9710,9820,9931,10139,10092,10057,10108,10085,10166,10220,10293,10184,10311,10482,10453,10613,10594,10592,10641,10669,10758,10817,10780,10809,10959,11022,10945,10933,10865,10847,10687,10754,10997,11208,11923,11768,11663,11742,11682,12107,12032,11665,11667,11481,11405,11392,11611,11480,11552,11479,11315,11443,10867,10602,10225,9701,9619
"315","307","Q1ASS1 D         Profession association expenses","Q1ASS10",3521,3675,3791,3753,3791,3831,3846,3817,3823,3845,3959,4004,4042,4098,4198,4243,4209,4238,4243,4327,4517,4626,4687,4657,4595,4555,4550,4614,4715,4772,4858,4938,4965,4955,4976,5033,5098,5238,5299,5350,5324,5337,5402,5506,5694,5765,5836,5886,5980,6057,6068,6146,6290,6332,6449,6437,6485,6603,6899,6967,7101,7134,7161,7477,7549,7621,7513,7504,7667,7780,7920,7826,7699
"316","308","Q1GEN1 D         Employment agency fees","Q1GEN10",2962,3016,2962,2806,2536,2343,2252,2253,2193,2197,2214,2231,2093,2068,2013,1922,1908,1831,1809,1781,1810,1744,1720,1707,1628,1620,1625,1627,1808,1902,1981,2056,2173,2230,2277,2322,2402,2430,2477,2559,2604,2672,2685,2726,2739,2714,2705,2680,2727,2847,2967,3014,3003,2952,2905,2998,3102,3185,3342,3595,3731,3910,4130,4282,4416,4488,4503,4543,4594,4656,4563,4388,4315
"317","309","Q1AMO1 D         Money orders","Q1AMO10",779,797,810,813,804,798,808,817,835,841,852,862,876,890,910,936,943,981,1002,1034,1094,1153,1213,1267,1329,1329,1321,1319,1328,1356,1393,1437,1479,1540,1602,1663,1744,1787,1823,1851,1889,1887,1892,1903,1810,1806,1811,1832,1856,1893,1931,1972,2009,2052,2107,2174,2247,2302,2334,2340,2324,2319,2332,2364,2413,2469,2529,2594,2642,2680,2719,2760,2800
"318","310","Q1CLA1 D         Classified ads","Q1CLA10",1260,1241,1199,1150,1075,1043,1018,1005,997,1000,996,991,977,977,978,987,996,1030,1040,1049,1058,1067,1076,1085,1092,1104,1118,1134,1161,1174,1187,1197,1208,1212,1216,1219,1212,1219,1227,1234,1279,1262,1221,1163,1032,1006,993,993,1033,1038,1038,1033,1016,1002,995,995,1000,1008,1017,1027,1038,1047,1055,1062,1066,1068,1067,1064,1066,1071,1076,1082,1087
"319","311","Q1ACC1 D         Tax return preparation services","Q1ACC10",4161,4035,4024,4133,4335,4520,4654,4699,4601,4561,4565,4594,4944,5172,5397,5607,5744,5895,6017,6109,5546,5370,5278,5284,5640,5715,5778,5838,5700,5782,5883,6007,6183,6272,6339,6417,6639,6711,6741,6769,6744,6838,6937,7041,7210,7302,7386,7457,7473,7517,7566,7623,7673,7750,7866,8021,8199,8336,8412,8422,8367,8290,8200,8093,7978,7898,7867,7885,7872,7830,7792,7754,7714
"320","312","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2328,2411,2455,2479,2427,2469,2544,2638,2678,2734,2753,2772,2959,3066,3160,3233,3262,3320,3384,3457,3579,3650,3711,3768,3789,3847,3922,4009,4123,4240,4343,4426,4469,4503,4532,4554,4639,4658,4621,4526,4218,4120,4049,4004,4149,4041,3908,3763,3532,3457,3430,3439,3510,3576,3619,3636,3639,3644,3652,3660,3670,3697,3743,3809,3880,3905,3874,3788,3761,3778,3797,3816,3834
"321","313","Q1TED1 C     Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167819,169845,170430,172019,172369,172882,174618,174164,175939,176072,176763,175400,174511,173887,173306,173992,174698,174677,175379,175522,175800,176006,176910,178768,179758,181671,183697,185217,187046
"322","314","Q1HED1 C       Higher education (105)","Q1HED10",68915,69317,69970,70048,70397,70772,71128,71851,72545,72726,72750,73075,73251,73160,73953,73949,73799,74064,74797,75462,75806,76053,75932,76058,76640,77227,77588,77778,77371,77377,77838,78533,79605,80108,80714,81607,82340,83021,83329,84316,85405,86038,86827,87162,88806,90126,91411,92141,92008,92826,94172,93622,94646,96189,96798,97081,96362,95281,94489,94886,95418,95360,96209,95999,95855,96224,96307,96863,96869,97262,98193,98911,99583
"323","315","Q1PED1 D         Private higher education","Q1PED10",34503,34717,35153,35207,35359,35544,35711,36244,36683,36621,36511,36787,37423,37462,38269,38288,38164,38367,38972,39490,39848,40090,40015,40276,40860,41267,41497,41621,41043,40769,40905,41225,42019,42300,42644,43252,43678,43991,43910,44496,45047,45398,45886,45924,46367,46928,47441,47417,48049,48835,50133,49468,50386,51986,52748,53318,53327,52923,52535,53129,53654,53483,54267,53906,53622,53900,53855,54328,54209,54524,55411,56057,56674
"324","316","Q1GED1 D         Public higher education","Q1GED10",34696,34882,35064,35084,35289,35482,35676,35826,36066,36342,36500,36528,35971,35826,35757,35730,35713,35768,35875,36007,35979,35977,35932,35785,35769,35943,36074,36139,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,43961,43998,44061,44163,44282,44267,44146,43900,43214,42557,42159,42009,42048,42143,42254,42369,42476,42580,42692,42804,42908,43005,43121,43243,43348
"325","317","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",28770,28942,29278,29068,28815,29040,29317,29052,29397,29552,30176,29655,29856,30050,30505,30604,30712,30822,30958,31184,31602,31786,32033,32307,32382,32484,32547,32511,32518,32600,32675,32738,32895,33084,33411,33685,33935,34068,34063,34276,34503,34556,34532,34881,34989,35014,34907,35237,35319,35483,35993,35824,36228,36448,36498,36522,36593,36735,36930,36962,37253,37439,37621,37692,37765,37738,37726,38020,38028,38116,38420,38376,38471
"326","318","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23057,23364,23931,23900,23800,24093,24309,24004,24187,24241,24516,24291,24196,24309,24671,24732,24727,24742,24684,24714,24999,25099,25380,25658,25718,25756,25821,25641,25463,25425,25369,25358,25607,25707,25855,26028,26026,26061,26012,26110,26148,26105,25987,26176,26183,26056,25765,25860,25957,26056,26317,26244,26535,26657,26764,26721,26797,26909,26997,27049,27317,27445,27470,27449,27418,27379,27517,27824,27877,27952,28240,28194,28310
"327","319","Q1NSC1 D         Nursery schools","Q1NSC10",5735,5600,5370,5191,5040,4974,5036,5075,5234,5333,5676,5385,5676,5756,5849,5887,5999,6091,6284,6476,6609,6693,6660,6656,6671,6735,6733,6875,7059,7179,7308,7381,7290,7380,7557,7658,7910,8007,8050,8166,8355,8450,8544,8705,8806,8958,9142,9379,9365,9430,9682,9585,9697,9798,9738,9806,9802,9830,9940,9919,9939,9999,10159,10255,10363,10376,10218,10201,10153,10167,10178,10181,10159
"328","320","Q1OED1 C       Other (107)","Q1OED10",27103,26859,26658,26581,26614,26889,26899,27171,27559,27706,28133,28125,28212,28531,28621,28826,29175,29149,29156,29131,29567,30001,30568,31396,32096,32560,33460,33119,33567,34823,35830,36548,37565,38163,38007,38672,39040,39641,40546,40530,41678,42418,43216,43868,44023,44705,44107,44636,45040,44562,44434,44704,45051,43400,43424,41759,41531,41873,41914,42162,42057,41925,41599,41885,42238,42094,42906,43909,44871,46274,47054,47858,48889
"329","321","Q1VED1 D         Commercial and vocational schools","Q1VED10",18142,18056,17830,17828,17611,17645,17345,17401,17736,17928,18350,18293,18046,18321,18522,18816,19187,19193,19117,18957,19530,20007,20707,21328,21659,21980,22653,22125,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30603,29927,29327,29653,30262,28689,28841,27880,27567,27759,27506,27549,27452,27291,27182,27277,27364,27484,27815,28298,28904,29565,29721,30133,30727
"330","322","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8941,8786,8809,8736,8975,9208,9502,9712,9768,9728,9740,9786,10103,10150,10047,9966,9953,9922,9999,10128,10006,9973,9860,10071,10429,10571,10803,10978,10997,11277,11673,11874,12087,12270,12241,12436,12523,12499,12750,13091,13143,13195,13253,13457,13866,14120,13896,14243,14447,14671,15187,15118,14825,14795,14650,13922,14029,14185,14525,14753,14751,14796,14556,14770,15068,14752,15284,15848,16213,17022,17738,18161,18622
"331","323","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,176908,179563,182895,185543,185927,188134,190596,191190,189474,189549,189249,189538,192226,193883,195079,196349,193335,193227,194023,194169,195694,198823,200764,202201,200992,202094,204213,205680,208844
"332","324","Q1POL1 D       Political organizations","Q1POL10",1074,2418,3768,3750,854,457,353,864,2129,3742,4048,3742,925,444,374,373,1061,2453,3848,3911,1130,543,456,713,2527,3599,4348,4579,1074,533,458,465,1306,2967,4563,4561,1317,627,523,810,2836,4122,4959,5243,1246,625,539,548,1418,3064,4505,4648,1531,704,578,775,3179,4425,4918,4768,1348,693,556,535,1418,3100,4562,4695,1503,670,553,736,3011
"333","325","Q1MUS1 D       Museums and libraries","Q1MUS10",4364,4453,4394,4322,4230,4387,4463,4353,4398,4500,4668,4420,4760,4922,5110,5280,5351,5518,5651,5702,5750,5906,6087,6097,6254,6387,6564,6763,6822,6886,6923,7007,6996,6978,6966,7080,7273,7278,7255,7322,7441,7544,7522,7627,7846,8022,8180,8264,8062,8129,8216,8243,8614,8647,8638,8442,8299,8277,8388,8469,8466,8399,8429,8390,8425,8743,8853,8960,9254,9380,9439,9592,9593
"334","326","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9194,8943,9004,9208,9667,9841,10000,10067,9763,9880,10004,9940,10183,10176,9940,9763,9415,9203,9096,9099,9102,8973,8763,8705,8611,8421,8266,7948,7496,7386,7438,7565,7961,8234,8394,8640,8939,9031,9204,9422,9164,9180,9314,9677,10388,10714,10954,11100,11129,11129,11065,10940,10896,10904,10924,10950,10979,11002,11011,11004,10981,10983,11019,11084,11170,11246,11309,11355,11407,11467,11532,11599,11662
"335","327","Q1WEL1 D       Social welfare","Q1WEL10",65853,66709,66856,66746,67350,67391,68383,68945,70468,71753,73464,74536,75188,76186,77114,77059,77547,78113,79658,81340,82134,82847,83039,83454,83466,84497,85654,86781,88202,89007,89981,90573,90794,91831,93541,94720,96625,97880,99467,101083,102882,104404,105747,107839,110993,113399,115966,117872,117762,118225,119282,119976,121412,122823,122677,122764,122583,122438,122656,123841,124175,124794,125623,125665,126089,127103,127343,128380,129751,131362,133351,134294,135122
"336","328","Q1CHC1 D         Child care","Q1CHC10",20986,20648,19797,18920,18540,17950,17763,17608,18160,18512,19014,19391,19585,19873,20028,20026,20118,20273,20869,21401,21631,21897,21692,21576,21577,21678,21582,22039,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26435,26789,27079,27209,26983,27312,27941,27461,27718,27931,27884,27904,27818,27871,28331,28718,28653,28487,28368,27971,27958,28242,28160,28408,28229,28322,28858,29062,29159
"337","329","Q1SCW1 D         Social welfare","Q1SCW10",45602,46684,47511,48127,49022,49553,50661,51333,52330,53268,54488,55198,55656,56372,57135,57082,57477,57890,58859,60018,60583,61037,61413,61924,61936,62855,64080,64762,65790,66334,66950,67439,67942,68846,70109,71089,72420,73443,75058,76354,77743,79057,80150,81854,84562,86617,88905,90695,90826,90949,91354,92572,93754,94962,94863,94931,94843,94636,94355,95141,95551,96367,97350,97839,98294,99019,99359,100147,101769,103327,104769,105510,106255
"338","330","Q1REL1 D       Religion","Q1REL10",36794,38296,39925,39466,40227,40325,40065,39840,40217,40543,41717,41933,41177,41384,41780,42316,43526,44055,44314,44457,43817,43839,44145,44717,46003,46322,46540,46315,45183,45021,44888,45008,45994,46365,46611,46692,46386,46147,45987,45912,45853,45865,45888,46032,46452,46832,47289,47791,47578,47603,47550,47415,47073,46529,46485,46648,47282,47880,48266,48426,48368,48337,48375,48469,48599,48730,48867,49000,49119,49230,49363,49502,49623
"339","331","Q1FOR1 C     Net foreign travel","Q1FOR10",-12907,-13642,-14754,-20724,-19677,-22371,-24867,-27023,-28286,-28919,-28693,-27142,-29070,-30363,-28436,-25959,-24957,-25519,-25599,-28496,-26987,-28201,-34632,-35741,-32314,-36175,-27955,-40638,-33246,-32383,-30991,-28159,-23580,-22466,-16674,-19705,-21151,-19992,-19811,-20576,-19032,-17985,-13962,-13993,-16310,-6857,-9340,-10891,-8199,-9045,-14048,-15525,-7998,-9853,-8625,-13655,-10119,-10741,-11411,-12160,-12008,-15375,-12615,-10295,-8135,-5610,-8287,-8180,-7661,-12259,-17219,-23165,-25955
"340","332","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",54894,54904,52553,51008,44649,50230,49807,50917,51188,51089,50274,53190,52654,52428,54601,57812,57702,58715,58006,56363,58017,56729,56610,58794,59867,59287,59792,60754,64003,63955,66667,67482,71314,73696,75115,74591,74185,75230,76854,78200,82353,84537,85091,85680,84891,89777,78861,65088,76250,74930,70658,76094,73694,65709,73607,75386,77353,78750,77395,77747,79804,79554,78604,80487,83518,85666,83423,86548,87953,86318,86357,85498,84929
