"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"65","44","        Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,705.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,325.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,139.0","170,091.0","162,123.0","193,783.0","174,536.0","183,616.0","201,134.0","213,278.0","217,571.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,216.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,540.0","226,974.0","247,224.0","269,329.0","277,630.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,725.0","475,172.0","496,703.0","460,837.0","474,187.0","468,062.0","431,090.0","408,781.0","355,279.0","344,133.0","312,594.0","224,394.0","214,997.0","240,432.0","284,998.0","337,351.0","344,824.0","351,677.0","387,470.0","398,311.0","397,495.0","383,380.0","351,001.0","384,501.0","451,290.0","473,505.0","440,557.0","453,775.0","474,911.0","459,154.0","467,525.0","495,449.0","562,309.0","607,956.0","602,493.0","597,739.0","606,969.0"
"66","45","        Profits after tax (without IVA and CCAdj)","A055RC1","59,234.0","57,375.0","55,562.0","54,531.0","51,931.0","51,698.0","52,552.0","49,842.0","56,712.0","59,168.0","63,180.0","65,363.0","69,557.0","70,625.0","73,820.0","80,172.0","91,827.0","94,861.0","96,553.0","101,389.0","107,516.0","110,051.0","115,248.0","102,152.0","89,227.0","94,038.0","110,647.0","118,595.0","126,926.0","130,751.0","132,928.0","133,099.0","143,947.0","152,787.0","159,235.0","160,239.0","165,635.0","184,134.0","190,459.0","201,979.0","204,314.0","212,081.0","216,244.0","211,864.0","211,616.0","182,422.0","191,246.0","196,987.0","200,194.0","188,042.0","192,364.0","188,543.0","168,344.0","169,656.0","165,336.0","159,978.0","162,242.0","181,458.0","192,235.0","197,022.0","204,660.0","205,213.0","195,965.0","196,999.0","186,592.0","187,689.0","192,366.0","194,325.0","158,100.0","155,037.0","154,199.0","158,740.0","170,668.0","197,663.0","212,146.0","220,921.0","232,899.0","248,551.0","247,130.0","258,325.0","253,915.0","246,582.0","236,422.0","236,425.0","246,297.0","259,134.0","263,512.0","265,565.0","281,813.0","288,670.0","294,296.0","298,127.0","310,814.0","323,369.0","307,005.0","314,304.0","312,544.0","327,311.0","340,193.0","359,593.0","386,378.0","398,840.0","418,796.0","430,238.0","444,779.0","467,438.0","475,099.0","482,337.0","505,031.0","506,933.0","502,580.0","514,542.0","526,749.0","544,801.0","566,394.0","567,920.0","488,241.0","485,681.0","481,001.0","463,922.0","493,066.0","507,569.0","505,729.0","523,087.0","496,983.0","488,861.0","481,941.0","460,193.0","494,893.0","520,233.0","475,296.0","458,938.0","506,787.0","564,128.0","620,409.0","695,087.0","689,949.0","692,004.0","733,418.0","787,367.0","901,867.0","939,710.0","978,788.0","973,699.0","1,185,827.0","1,206,249.0","1,251,723.0","1,319,957.0","1,352,850.0","1,391,705.0","1,409,044.0","1,358,655.0","1,270,812.0","1,341,698.0","1,285,345.0","1,313,691.0","1,203,491.0","1,229,619.0","1,188,823.0","671,444.0","1,044,256.0","1,120,618.0","1,273,189.0","1,374,367.0","1,450,187.0","1,436,755.0","1,499,071.0","1,494,460.0","1,350,245.0","1,423,145.0","1,430,386.0","1,507,073.0","1,669,654.0","1,645,932.0","1,715,131.0","1,694,648.0","1,694,094.0","1,760,651.0","1,803,373.0","1,786,137.0","1,734,896.0","1,842,152.0","1,894,645.0","1,837,538.0","1,893,833.0"
"67","46","          Net dividends","B056RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,396.0","29,308.0","30,404.0","31,520.0","32,544.0","33,308.0","33,568.0","33,456.0","32,932.0","32,680.0","32,852.0","33,376.0","36,160.0","38,112.0","39,924.0","41,860.0","42,676.0","43,940.0","45,632.0","46,828.0","48,268.0","49,456.0","51,776.0","53,672.0","55,428.0","56,944.0","58,040.0","59,668.0","61,780.0","64,280.0","64,664.0","65,556.0","68,688.0","72,688.0","75,900.0","77,748.0","77,689.0","76,522.0","77,139.0","79,514.0","81,049.0","82,100.0","84,344.0","86,364.0","88,597.0","90,853.0","91,052.0","92,726.0","95,415.0","96,997.0","98,309.0","99,463.0","103,242.0","106,368.0","107,489.0","107,621.0","108,848.0","109,847.0","113,316.0","117,237.0","121,724.0","126,424.0","132,800.0","138,729.0","148,014.0","155,695.0","161,056.0","167,131.0","170,157.0","169,931.0","169,998.0","166,162.0","175,206.0","180,156.0","183,128.0","183,562.0","185,158.0","188,167.0","191,018.0","193,722.0","196,560.0","201,107.0","207,605.0","216,008.0","225,616.0","233,781.0","240,002.0","244,492.0","247,787.0","253,245.0","261,756.0","273,013.0","286,263.0","298,750.0","309,819.0","319,280.0","327,654.0","335,746.0","343,527.0","350,881.0","357,141.0","359,878.0","358,457.0","352,811.0","344,529.0","341,808.0","346,553.0","358,695.0","375,749.0","386,867.0","390,151.0","385,968.0","374,245.0","368,303.0","367,072.0","372,687.0","386,821.0","398,820.0","403,685.0","411,392.0","411,469.0","412,757.0","436,353.0","475,311.0","515,468.0","543,143.0","549,026.0","648,718.0","556,630.0","571,420.0","576,793.0","617,266.0","687,428.0","718,312.0","734,899.0","763,384.0","781,942.0","822,554.0","833,588.0","837,552.0","867,830.0","829,815.0","800,154.0","736,655.0","681,251.0","585,181.0","526,657.0","505,431.0","521,815.0","542,776.0","576,043.0","615,168.0","657,963.0","681,810.0","719,051.0","755,874.0","774,861.0","803,706.0","817,310.0","1,032,668.0","835,543.0","1,098,735.0","911,662.0","992,332.0","902,771.0","902,294.0","898,441.0","917,041.0","922,114.0"
"68","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","35,270.0","33,251.0","31,294.0","29,931.0","27,423.0","27,438.0","28,312.0","25,622.0","31,664.0","34,212.0","38,012.0","40,427.0","43,453.0","44,197.0","46,716.0","52,464.0","63,431.0","65,553.0","66,149.0","69,869.0","74,972.0","76,743.0","81,680.0","68,696.0","56,295.0","61,358.0","77,795.0","85,219.0","90,766.0","92,639.0","93,004.0","91,239.0","101,271.0","108,847.0","113,603.0","113,411.0","117,367.0","134,678.0","138,683.0","148,307.0","148,886.0","155,137.0","158,204.0","152,196.0","149,836.0","118,142.0","126,582.0","131,431.0","131,506.0","115,354.0","116,464.0","110,795.0","90,655.0","93,134.0","88,197.0","80,464.0","81,193.0","99,358.0","107,891.0","110,658.0","116,063.0","114,360.0","104,913.0","104,273.0","91,177.0","90,692.0","94,057.0","94,862.0","54,858.0","48,669.0","46,710.0","51,119.0","61,820.0","87,816.0","98,830.0","103,684.0","111,175.0","122,127.0","114,330.0","119,596.0","105,901.0","90,887.0","75,366.0","69,294.0","76,140.0","89,203.0","93,514.0","99,403.0","106,607.0","108,514.0","111,168.0","114,565.0","125,656.0","135,202.0","115,987.0","120,582.0","115,984.0","126,204.0","132,588.0","143,585.0","160,762.0","165,059.0","178,794.0","185,746.0","196,992.0","214,193.0","213,343.0","209,324.0","218,768.0","208,183.0","192,761.0","195,262.0","199,095.0","209,055.0","222,867.0","217,039.0","131,100.0","125,803.0","122,544.0","111,111.0","148,537.0","165,761.0","159,176.0","164,392.0","121,234.0","101,994.0","91,790.0","74,225.0","120,648.0","151,930.0","108,224.0","86,251.0","119,966.0","165,308.0","216,724.0","283,695.0","278,480.0","279,247.0","297,065.0","312,056.0","386,399.0","396,567.0","429,762.0","324,981.0","629,197.0","634,829.0","674,930.0","702,691.0","665,422.0","673,393.0","674,145.0","595,271.0","488,870.0","519,144.0","451,757.0","476,139.0","335,661.0","399,804.0","388,669.0","-65,211.0","363,005.0","535,437.0","746,532.0","868,936.0","928,372.0","893,979.0","923,028.0","879,292.0","692,282.0","741,335.0","711,335.0","751,199.0","894,793.0","842,226.0","897,821.0","661,980.0","858,551.0","661,916.0","891,711.0","793,805.0","832,125.0","939,858.0","996,204.0","920,497.0","971,719.0"
"69","48","      Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-143,904.0","-89,464.0","-32,560.0","-7,228.0","-32,296.0","11,304.0","-13,900.0","-3,104.0","-1,720.0","15,172.0","2,848.0","-2,972.0","-24,608.0","-12,688.0","4,004.0","31,484.0","60,928.0"
"70","49","    Capital consumption adjustment","A059RC1","7,714.0","7,749.0","7,652.0","7,421.0","7,056.0","6,700.0","6,355.0","6,020.0","5,694.0","5,670.0","5,948.0","6,527.0","7,409.0","7,973.0","8,219.0","8,149.0","7,761.0","7,233.0","6,563.0","5,755.0","4,804.0","3,462.0","1,728.0","-398.0","-2,917.0","-4,906.0","-6,365.0","-7,293.0","-7,691.0","-7,880.0","-7,857.0","-7,624.0","-7,181.0","-6,937.0","-6,889.0","-7,041.0","-7,389.0","-7,826.0","-8,351.0","-8,962.0","-9,662.0","-10,887.0","-12,636.0","-14,911.0","-17,710.0","-18,572.0","-17,496.0","-14,482.0","-9,530.0","-5,539.0","-2,510.0","-441.0","667.0","2,857.0","6,131.0","10,485.0","15,923.0","21,059.0","25,893.0","30,425.0","34,656.0","39,934.0","46,259.0","53,632.0","62,050.0","66,526.0","67,056.0","63,640.0","56,280.0","51,272.0","48,614.0","48,309.0","50,354.0","51,603.0","52,055.0","51,711.0","50,569.0","49,364.0","48,095.0","46,760.0","45,363.0","43,133.0","40,070.0","36,175.0","31,448.0","27,375.0","23,957.0","21,193.0","19,083.0","17,439.0","16,264.0","15,554.0","15,313.0","15,303.0","15,526.0","15,982.0","16,670.0","18,308.0","20,893.0","24,429.0","28,914.0","32,200.0","34,290.0","35,180.0","34,873.0","35,222.0","36,223.0","37,878.0","40,188.0","42,734.0","45,515.0","48,532.0","51,783.0","54,287.0","56,044.0","57,053.0","57,313.0","58,608.0","60,938.0","64,302.0","68,701.0","70,195.0","68,783.0","64,466.0","57,244.0","51,828.0","48,217.0","46,411.0","42,594.0","38,257.0","55,183.0","85,403.0","118,548.0","117,480.0","110,322.0","102,017.0","84,937.0","103,805.0","100,769.0","96,415.0","82,619.0","74,093.0","64,967.0","51,073.0","-124,432.0","-137,453.0","-148,152.0","-163,814.0","-153,861.0","-163,706.0","-173,711.0","-185,690.0","-175,410.0","-180,672.0","-181,604.0","-181,922.0","-52,317.0","-56,238.0","-65,215.0","-67,927.0","-93,803.0","-81,638.0","-74,695.0","-78,824.0","-96,434.0","-101,397.0","-54,437.0","39,220.0","73,545.0","72,941.0","77,816.0","88,141.0","-110,734.0","-105,987.0","-100,789.0","-97,769.0","-127,865.0","-131,417.0","-133,095.0","-134,811.0","-330,451.0","-331,255.0","-330,397.0","-326,485.0","-546,887.0"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Includes actual employer contributions and actuarially imputed employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","reflect benefits accrued by defined benefit pension plan participants through service to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","employers in the current period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
