"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"65","46","  Other private services","B909RC1","552.0","572.0","572.0","580.0","588.0","636.0","652.0","644.0","704.0","732.0","756.0","748.0","776.0","800.0","768.0","800.0","872.0","884.0","896.0","964.0","1,884.0","1,908.0","1,908.0","1,968.0","2,120.0","2,280.0","2,352.0","2,468.0","2,660.0","2,784.0","3,040.0","3,144.0","3,164.0","3,168.0","3,184.0","3,368.0","3,720.0","3,896.0","3,988.0","4,180.0","4,428.0","4,572.0","4,588.0","4,808.0","4,736.0","5,164.0","5,332.0","5,308.0","6,036.0","6,256.0","6,332.0","6,716.0","7,114.0","7,434.0","7,558.0","7,638.0","6,987.0","7,267.0","7,395.0","7,411.0","7,611.0","7,807.0","8,191.0","9,259.0","8,697.0","8,729.0","9,505.0","10,477.0","12,489.0","13,718.0","14,301.0","14,808.0","16,204.0","17,297.0","17,696.0","18,110.0","18,198.0","18,288.0","18,467.0","18,844.0","19,095.0","19,437.0","20,534.0","20,653.0","21,958.0","22,740.0","24,018.0","24,432.0","26,691.0","26,614.0","26,243.0","27,784.0","24,648.0","25,216.0","25,752.0","25,904.0","26,100.0","27,428.0","28,300.0","29,212.0","30,560.0","31,424.0","31,472.0","32,812.0","33,812.0","34,488.0","36,132.0","36,352.0","38,204.0","39,340.0","39,636.0","41,540.0","41,416.0","42,264.0","43,868.0","45,064.0","45,004.0","47,512.0","48,380.0","49,472.0","54,292.0","56,472.0","56,656.0","56,120.0","59,336.0","60,076.0","61,940.0","62,988.0","64,468.0","66,700.0","67,512.0","67,864.0","71,468.0","70,876.0","73,380.0","77,008.0","78,264.0","77,932.0","79,992.0","85,016.0","87,404.0","88,944.0","89,316.0","96,824.0","91,988.0","95,552.0","99,336.0","104,004.0","121,976.0","125,688.0","127,576.0","133,992.0","142,168.0","146,572.0","154,124.0","156,524.0","163,816.0","170,112.0","176,748.0","179,496.0","169,544.0","173,284.0","175,264.0","180,196.0","180,460.0","184,228.0","187,936.0","193,068.0","191,288.0","199,668.0","204,604.0","203,056.0","199,076.0","199,328.0","200,996.0","205,512.0","205,783.0","206,415.0","207,735.0","209,418.0"
"66","47","  Other","B910RC1","1,092.0","1,108.0","1,120.0","1,164.0","1,152.0","1,148.0","1,144.0","1,184.0","1,144.0","1,204.0","1,232.0","1,236.0","1,216.0","1,272.0","1,280.0","1,276.0","1,332.0","1,344.0","1,440.0","1,436.0","1,480.0","1,556.0","1,552.0","1,504.0","1,580.0","1,704.0","1,652.0","1,696.0","1,744.0","1,840.0","1,952.0","1,848.0","1,932.0","1,932.0","1,956.0","2,100.0","2,176.0","2,228.0","2,256.0","2,368.0","2,448.0","2,564.0","2,632.0","2,476.0","2,536.0","2,536.0","2,820.0","2,608.0","2,732.0","2,816.0","2,848.0","2,808.0","2,872.0","3,049.0","3,292.0","3,087.0","3,291.0","3,450.0","3,207.0","3,195.0","3,273.0","3,377.0","3,439.0","3,492.0","3,703.0","3,641.0","3,670.0","3,610.0","3,772.0","3,580.0","3,846.0","3,674.0","3,753.0","4,094.0","4,380.0","4,600.0","4,441.0","4,423.0","4,569.0","4,476.0","4,453.0","4,487.0","4,642.0","4,947.0","4,573.0","4,852.0","5,077.0","4,930.0","4,899.0","5,004.0","5,618.0","5,419.0","5,269.0","5,757.0","5,629.0","5,601.0","5,761.0","5,712.0","5,854.0","5,409.0","5,884.0","5,998.0","6,307.0","6,255.0","6,499.0","6,244.0","6,356.0","6,289.0","6,477.0","6,554.0","6,768.0","6,785.0","6,798.0","6,960.0","7,095.0","6,942.0","6,908.0","6,906.0","7,327.0","7,291.0","6,647.0","6,781.0","7,041.0","7,016.0","7,205.0","7,416.0","7,498.0","7,582.0","7,635.0","7,723.0","7,749.0","7,669.0","7,839.0","7,765.0","7,789.0","7,849.0","8,003.0","8,123.0","8,267.0","8,443.0","8,870.0","9,160.0","9,398.0","9,392.0","9,601.0","9,500.0","9,696.0","9,641.0","9,684.0","9,816.0","9,926.0","9,999.0","10,293.0","10,395.0","10,527.0","10,551.0","10,450.0","10,473.0","10,428.0","10,578.0","10,380.0","10,239.0","10,429.0","10,944.0","8,983.0","9,080.0","9,626.0","9,707.0","9,189.0","8,953.0","9,287.0","9,155.0","8,524.0","8,422.0","8,141.0","8,256.0","7,943.0","8,126.0","8,054.0","7,976.0"
"67",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","48","  Exports of durable goods","A332RC1","20,458.0","23,998.0","24,532.0","25,754.0","26,268.0","27,988.0","27,216.0","27,002.0","27,730.0","27,798.0","28,204.0","26,460.0","29,992.0","29,738.0","31,188.0","33,244.0","36,880.0","40,318.0","42,434.0","45,816.0","50,752.0","55,828.0","57,168.0","62,096.0","62,032.0","63,770.0","63,488.0","65,934.0","66,432.0","68,220.0","69,740.0","71,784.0","70,400.0","72,770.0","73,126.0","71,870.0","74,295.0","84,168.0","85,944.0","96,634.0","101,232.0","104,205.0","107,732.0","118,903.0","131,038.0","133,568.0","130,792.0","137,904.0","138,689.0","145,706.0","138,049.0","138,017.0","129,312.0","130,373.0","124,681.0","114,333.0","116,282.0","118,988.0","118,748.0","127,526.0","127,766.0","130,908.0","133,423.0","137,409.0","136,568.0","139,949.0","135,423.0","137,047.0","137,373.0","143,053.0","141,210.0","148,834.0","148,481.0","156,718.0","165,155.0","181,391.0","195,327.0","206,759.0","209,645.0","223,386.0","229,616.0","240,014.0","243,585.0","246,001.0","259,274.0","261,130.0","264,385.0","263,102.0","269,321.0","282,020.0","287,849.0","289,927.0","296,557.0","293,822.0","303,092.0","308,579.0","306,929.0","311,670.0","310,895.0","326,388.0","331,009.0","342,113.0","359,024.0","366,313.0","379,690.0","387,595.0","401,194.0","407,600.0","411,276.0","416,090.0","420,161.0","437,039.0","457,124.0","481,639.0","497,726.0","492,789.0","494,194.0","478,032.0","477,230.0","496,756.0","492,804.0","496,942.0","512,631.0","532,544.0","547,004.0","571,201.0","591,322.0","584,094.0","573,195.0","540,930.0","503,070.0","483,981.0","479,409.0","498,472.0","504,411.0","488,847.0","486,114.0","491,118.0","499,716.0","530,347.0","545,563.0","562,401.0","573,010.0","581,928.0","600,789.0","622,647.0","632,751.0","663,087.0","691,577.0","708,468.0","715,731.0","744,418.0","755,206.0","772,414.0","792,820.0","812,338.0","825,812.0","865,016.0","866,307.0","760,627.0","651,406.0","630,995.0","672,174.0","733,075.0","754,062.0","796,502.0","810,556.0","843,760.0","865,660.0","892,328.0","912,642.0","919,082.0","946,845.0","949,124.0","945,784.0","942,593.0","941,963.0","969,052.0","962,679.0","985,303.0"
"69","49","  Exports of nondurable goods","A339RC1","11,182.0","15,950.0","14,952.0","16,218.0","16,756.0","17,040.0","17,548.0","18,362.0","18,138.0","17,926.0","20,244.0","15,728.0","19,704.0","19,130.0","20,636.0","23,544.0","27,480.0","30,618.0","33,182.0","38,968.0","42,300.0","44,784.0","44,080.0","46,916.0","50,004.0","42,174.0","43,660.0","47,454.0","47,084.0","48,048.0","49,244.0","50,528.0","50,928.0","53,406.0","53,006.0","49,102.0","50,732.0","61,935.0","63,327.0","64,560.0","65,760.0","71,519.0","80,307.0","86,511.0","86,785.0","90,624.0","96,104.0","96,303.0","103,503.0","96,295.0","96,127.0","100,000.0","95,539.0","95,579.0","86,917.0","83,271.0","84,427.0","83,806.0","88,649.0","90,754.0","90,501.0","93,722.0","94,942.0","93,826.0","89,097.0","83,552.0","81,972.0","85,361.0","83,151.0","79,987.0","83,293.0","87,103.0","85,839.0","91,932.0","99,013.0","101,658.0","109,258.0","114,676.0","122,002.0","122,086.0","125,188.0","134,764.0","128,786.0","129,454.0","131,430.0","133,455.0","133,788.0","139,980.0","145,159.0","139,269.0","138,073.0","142,635.0","144,373.0","147,743.0","149,646.0","147,988.0","145,261.0","146,790.0","143,468.0","148,328.0","146,583.0","154,316.0","165,013.0","175,876.0","182,532.0","188,024.0","194,397.0","192,078.0","196,890.0","195,853.0","195,283.0","200,730.0","201,143.0","205,407.0","206,937.0","208,003.0","200,256.0","194,802.0","189,521.0","192,642.0","194,983.0","200,057.0","204,208.0","211,617.0","215,023.0","219,990.0","231,360.0","228,526.0","226,059.0","222,956.0","214,629.0","209,982.0","210,628.0","219,232.0","224,773.0","224,538.0","236,216.0","233,000.0","239,298.0","247,385.0","256,348.0","265,158.0","265,870.0","280,949.0","288,089.0","301,061.0","295,060.0","297,656.0","317,023.0","330,667.0","339,751.0","344,780.0","355,164.0","368,714.0","388,949.0","415,692.0","453,289.0","498,769.0","508,430.0","412,275.0","360,673.0","379,565.0","401,457.0","429,402.0","451,377.0","459,086.0","475,756.0","522,635.0","557,485.0","576,936.0","584,342.0","585,919.0","573,825.0","590,333.0","599,816.0","595,662.0","589,670.0","579,725.0","609,423.0","642,135.0"
"70","50","  Exports of agricultural goods \2\","B181RC1","4,096.0","7,072.0","6,280.0","6,932.0","6,772.0","7,132.0","7,512.0","8,080.0","7,952.0","7,632.0","8,556.0","7,184.0","8,592.0","8,596.0","9,412.0","11,456.0","14,788.0","16,852.0","18,296.0","21,972.0","22,924.0","22,984.0","20,752.0","22,980.0","25,060.0","19,592.0","21,252.0","23,068.0","22,360.0","23,060.0","23,860.0","24,240.0","24,848.0","26,060.0","23,536.0","22,884.0","24,892.0","32,346.0","32,085.0","30,260.0","28,971.0","32,961.0","38,587.0","41,337.0","38,942.0","40,227.0","44,699.0","44,304.0","48,192.0","43,590.0","41,792.0","42,803.0","39,466.0","41,560.0","35,062.0","32,945.0","34,952.0","35,206.0","39,346.0","39,033.0","39,202.0","38,246.0","38,449.0","37,824.0","32,753.0","29,036.0","27,447.0","29,284.0","28,024.0","25,098.0","26,754.0","28,818.0","25,541.0","27,807.0","32,959.0","31,794.0","35,419.0","37,193.0","40,857.0","39,643.0","40,864.0","43,122.0","40,203.0","40,132.0","42,354.0","41,755.0","40,042.0","36,716.0","39,241.0","38,581.0","40,380.0","42,220.0","42,880.0","43,412.0","45,459.0","44,541.0","43,549.0","44,227.0","42,618.0","44,015.0","43,460.0","44,946.0","47,547.0","52,433.0","54,951.0","55,528.0","59,739.0","58,745.0","63,343.0","62,669.0","60,558.0","59,509.0","57,980.0","58,359.0","58,353.0","59,182.0","56,453.0","53,096.0","49,707.0","53,367.0","47,289.0","49,256.0","52,183.0","49,893.0","51,466.0","52,367.0","54,707.0","52,667.0","54,298.0","54,646.0","55,622.0","54,992.0","54,385.0","54,414.0","55,038.0","54,209.0","57,334.0","58,310.0","62,247.0","65,646.0","64,150.0","63,128.0","60,530.0","63,963.0","63,111.0","65,997.0","64,195.0","66,241.0","69,870.0","72,042.0","73,469.0","76,097.0","80,610.0","84,938.0","97,202.0","105,710.0","116,948.0","126,555.0","125,872.0","102,496.0","92,547.0","101,913.0","101,064.0","108,396.0","113,561.0","107,155.0","117,285.0","137,887.0","145,855.0","141,521.0","135,800.0","136,891.0","133,032.0","143,362.0","158,806.0","144,490.0","144,754.0","132,587.0","141,375.0","159,142.0"
"71","51","  Exports of nonagricultural goods","A182RC1","27,544.0","32,876.0","33,204.0","35,040.0","36,252.0","37,896.0","37,252.0","37,284.0","37,916.0","38,092.0","39,892.0","35,004.0","41,104.0","40,272.0","42,412.0","45,332.0","49,572.0","54,084.0","57,320.0","62,812.0","70,128.0","77,628.0","80,496.0","86,032.0","86,976.0","86,352.0","85,896.0","90,320.0","91,156.0","93,208.0","95,124.0","98,072.0","96,480.0","100,116.0","102,596.0","98,088.0","100,135.0","113,757.0","117,186.0","130,934.0","138,021.0","142,763.0","149,452.0","164,077.0","178,881.0","183,965.0","182,197.0","189,903.0","194,000.0","198,411.0","192,384.0","195,214.0","185,385.0","184,392.0","176,536.0","164,659.0","165,757.0","167,588.0","168,051.0","179,247.0","179,065.0","186,384.0","189,916.0","193,411.0","192,912.0","194,465.0","189,948.0","193,124.0","192,500.0","197,942.0","197,749.0","207,119.0","208,779.0","220,843.0","231,209.0","251,255.0","269,166.0","284,242.0","290,790.0","305,829.0","313,940.0","331,656.0","332,168.0","335,323.0","348,350.0","352,830.0","358,131.0","366,366.0","375,239.0","382,708.0","385,542.0","390,342.0","398,050.0","398,153.0","407,279.0","412,026.0","408,641.0","414,233.0","411,745.0","430,701.0","434,132.0","451,483.0","476,490.0","489,756.0","507,271.0","520,091.0","535,852.0","540,933.0","544,823.0","549,274.0","554,886.0","578,260.0","600,287.0","628,687.0","646,310.0","641,610.0","637,997.0","619,738.0","617,044.0","636,031.0","640,498.0","647,743.0","664,656.0","694,268.0","710,561.0","738,824.0","767,975.0","759,953.0","744,956.0","709,240.0","662,077.0","638,971.0","635,652.0","663,290.0","674,146.0","659,176.0","664,996.0","665,808.0","676,767.0","712,086.0","737,761.0","764,431.0","778,350.0","798,914.0","825,767.0","857,711.0","863,616.0","894,502.0","938,730.0","967,093.0","982,013.0","1,013,101.0","1,029,760.0","1,056,190.0","1,084,567.0","1,122,320.0","1,162,153.0","1,237,230.0","1,248,865.0","1,070,406.0","919,532.0","908,647.0","972,567.0","1,054,081.0","1,091,878.0","1,148,433.0","1,169,027.0","1,228,508.0","1,277,290.0","1,327,743.0","1,361,184.0","1,368,110.0","1,387,638.0","1,396,095.0","1,386,794.0","1,393,765.0","1,386,879.0","1,416,190.0","1,430,727.0","1,468,296.0"
"72","52","  Imports of durable goods","A333RC1","17,264.0","22,168.0","21,818.0","21,778.0","21,658.0","22,418.0","23,088.0","23,936.0","25,048.0","27,200.0","27,430.0","26,730.0","32,016.0","31,938.0","33,096.0","36,110.0","38,926.0","40,444.0","41,170.0","42,672.0","44,458.0","49,908.0","53,572.0","53,346.0","47,748.0","43,104.0","44,838.0","46,866.0","52,304.0","55,636.0","58,892.0","60,424.0","62,898.0","68,077.0","70,601.0","75,198.0","82,646.0","88,504.0","90,817.0","94,136.0","95,568.0","99,784.0","99,710.0","106,727.0","114,440.0","109,693.0","107,432.0","116,164.0","119,195.0","126,281.0","125,502.0","133,217.0","129,965.0","129,174.0","125,373.0","116,006.0","132,818.0","139,324.0","149,642.0","167,508.0","181,574.0","192,053.0","196,808.0","199,321.0","195,689.0","202,111.0","204,566.0","214,294.0","221,517.0","239,083.0","245,327.0","249,250.0","250,291.0","261,554.0","264,829.0","280,059.0","284,282.0","289,534.0","293,799.0","311,496.0","312,446.0","314,913.0","304,661.0","309,113.0","309,080.0","315,475.0","316,855.0","316,688.0","309,867.0","308,347.0","318,200.0","325,682.0","334,638.0","342,300.0","350,983.0","358,880.0","370,375.0","380,258.0","387,425.0","407,530.0","419,478.0","444,838.0","462,162.0","489,701.0","501,114.0","514,643.0","512,371.0","514,903.0","525,064.0","529,709.0","539,093.0","539,713.0","563,406.0","582,352.0","600,502.0","607,850.0","624,949.0","633,420.0","631,182.0","661,347.0","676,279.0","702,915.0","729,709.0","753,211.0","789,658.0","817,866.0","843,115.0","838,950.0","808,013.0","760,708.0","737,925.0","721,868.0","742,887.0","776,028.0","787,581.0","788,114.0","779,546.0","794,630.0","799,322.0","848,780.0","873,350.0","930,115.0","954,233.0","983,403.0","998,771.0","1,017,551.0","1,023,112.0","1,057,278.0","1,104,618.0","1,120,767.0","1,137,588.0","1,155,841.0","1,165,829.0","1,169,867.0","1,187,995.0","1,174,784.0","1,192,794.0","1,218,438.0","1,187,971.0","1,048,718.0","865,215.0","826,139.0","897,401.0","983,510.0","1,018,239.0","1,097,635.0","1,142,660.0","1,174,765.0","1,201,633.0","1,212,089.0","1,249,601.0","1,274,832.0","1,315,019.0","1,329,632.0","1,322,882.0","1,332,156.0","1,327,459.0","1,356,164.0","1,366,234.0","1,379,114.0"
"73","53","  Imports of nondurable goods","A340RC1","13,508.0","16,948.0","16,718.0","17,050.0","17,690.0","17,650.0","18,092.0","18,888.0","18,328.0","20,240.0","22,210.0","19,014.0","23,076.0","22,154.0","24,192.0","25,154.0","27,534.0","29,596.0","30,930.0","36,100.0","44,374.0","56,480.0","57,028.0","58,914.0","53,188.0","49,160.0","53,934.0","57,162.0","61,236.0","65,688.0","70,028.0","74,320.0","84,726.0","85,073.0","82,569.0","81,374.0","87,688.0","86,629.0","88,589.0","90,630.0","96,613.0","104,291.0","117,065.0","131,389.0","145,215.0","138,774.0","126,714.0","135,848.0","150,990.0","145,492.0","134,990.0","135,589.0","127,658.0","116,670.0","131,831.0","125,489.0","109,690.0","123,437.0","136,209.0","132,081.0","140,880.0","145,870.0","143,048.0","145,709.0","129,699.0","142,314.0","135,954.0","148,551.0","136,188.0","126,017.0","129,432.0","133,210.0","139,246.0","147,509.0","157,969.0","157,620.0","157,204.0","156,145.0","157,322.0","158,718.0","169,540.0","175,800.0","172,786.0","179,907.0","201,296.0","180,328.0","189,428.0","203,132.0","187,100.0","182,676.0","182,236.0","188,773.0","188,832.0","195,582.0","202,877.0","205,615.0","205,490.0","209,887.0","204,684.0","205,394.0","207,745.0","217,184.0","233,498.0","232,643.0","244,350.0","249,612.0","247,348.0","245,453.0","259,462.0","268,688.0","275,316.0","292,746.0","298,053.0","289,607.0","297,867.0","302,980.0","295,851.0","293,456.0","291,316.0","291,482.0","301,438.0","320,711.0","347,724.0","369,182.0","403,533.0","413,377.0","439,938.0","455,099.0","456,025.0","427,705.0","406,791.0","383,100.0","379,653.0","420,437.0","436,412.0","461,241.0","494,264.0","482,563.0","487,109.0","491,794.0","534,257.0","560,352.0","576,242.0","623,560.0","640,191.0","661,477.0","702,675.0","763,566.0","748,337.0","775,907.0","801,055.0","741,804.0","773,201.0","808,311.0","823,662.0","897,452.0","969,076.0","1,043,493.0","1,082,190.0","842,882.0","656,375.0","648,803.0","707,457.0","764,354.0","824,087.0","835,536.0","842,855.0","869,062.0","962,167.0","1,022,536.0","1,002,827.0","1,012,764.0","1,004,541.0","977,798.0","952,095.0","947,451.0","954,464.0","932,505.0","938,293.0","925,888.0"
"74","54","  Imports of nonpetroleum goods","A187RC1","28,296.0","36,412.0","35,928.0","36,020.0","36,388.0","37,216.0","38,420.0","39,688.0","40,544.0","43,948.0","45,668.0","41,440.0","50,816.0","49,748.0","52,480.0","56,092.0","60,324.0","62,640.0","63,752.0","66,996.0","70,200.0","77,256.0","81,720.0","82,472.0","74,036.0","67,544.0","71,476.0","74,872.0","82,848.0","87,940.0","93,344.0","96,108.0","99,640.0","108,010.0","108,998.0","113,940.0","126,928.0","134,839.0","136,015.0","141,644.0","144,721.0","151,673.0","150,258.0","162,777.0","171,977.0","166,852.0","162,744.0","174,652.0","182,731.0","189,586.0","187,391.0","198,056.0","190,711.0","192,840.0","190,760.0","180,049.0","198,786.0","208,242.0","220,751.0","242,579.0","264,377.0","278,216.0","283,291.0","287,177.0","281,303.0","289,768.0","291,018.0","305,552.0","315,931.0","333,825.0","343,084.0","350,070.0","353,986.0","368,661.0","372,354.0","392,301.0","401,270.0","404,370.0","411,837.0","432,496.0","433,622.0","437,984.0","428,000.0","435,911.0","441,049.0","446,314.0","448,031.0","447,705.0","439,679.0","440,710.0","450,348.0","465,185.0","476,755.0","487,533.0","499,349.0","509,753.0","519,805.0","535,355.0","544,367.0","565,588.0","581,420.0","612,853.0","637,131.0","670,743.0","688,408.0","707,403.0","704,492.0","705,376.0","720,836.0","727,386.0","741,205.0","749,379.0","778,003.0","804,019.0","831,339.0","842,173.0","862,398.0","875,468.0","875,216.0","906,307.0","928,254.0","958,135.0","996,567.0","1,029,743.0","1,070,602.0","1,112,893.0","1,156,415.0","1,157,063.0","1,132,672.0","1,074,187.0","1,041,575.0","1,016,006.0","1,036,163.0","1,086,394.0","1,111,052.0","1,121,656.0","1,124,153.0","1,143,158.0","1,148,391.0","1,200,743.0","1,238,673.0","1,314,951.0","1,342,114.0","1,380,089.0","1,414,178.0","1,438,337.0","1,447,616.0","1,511,791.0","1,548,767.0","1,568,989.0","1,590,458.0","1,611,037.0","1,642,207.0","1,651,681.0","1,666,699.0","1,653,761.0","1,692,871.0","1,741,737.0","1,715,958.0","1,530,484.0","1,298,952.0","1,235,185.0","1,315,824.0","1,428,468.0","1,488,492.0","1,578,082.0","1,639,146.0","1,684,532.0","1,719,601.0","1,758,210.0","1,792,245.0","1,819,801.0","1,846,643.0","1,867,099.0","1,866,899.0","1,865,463.0","1,878,201.0","1,914,218.0","1,912,474.0","1,928,315.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
