"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"313","305","        Clothing and footwear services","DCFSRX0",21956,22097,22249,22400,22525,22565,22510,22351,22106,21836,21578,21329,21065,20762,20413,20004,19995,19898,19791,19652,19427,19238,19046,18848,18647,18492,18388,18332,18268,18168,18047,17925,17692,17480,17292,17146,16844,16497,16194,15996,15499,15099,14899,14944,14791,14858,14889,14870,14974,14975,14909,14823,14811,14807,14875,14907,14902,14946,14899,14828,14730,14649,14705
"314","306","          Laundry and drycleaning services","DDRYRX0",13675,13833,14012,14206,14398,14513,14544,14483,14342,14225,14153,14122,14115,14020,13830,13537,13563,13516,13460,13383,13239,13138,13039,12938,12840,12774,12746,12755,12780,12772,12724,12659,12511,12378,12264,12193,11972,11714,11505,11405,11117,10869,10755,10826,10735,10774,10795,10751,10843,10864,10840,10791,10793,10779,10816,10839,10877,10924,10899,10842,10770,10713,10752
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",7719,7694,7662,7619,7554,7484,7406,7317,7222,7072,6883,6653,6380,6162,6002,5894,5873,5837,5796,5740,5661,5574,5481,5386,5286,5200,5127,5066,4980,4889,4817,4760,4674,4598,4527,4458,4387,4306,4222,4132,3929,3783,3703,3682,3624,3655,3665,3690,3703,3684,3639,3596,3574,3576,3602,3610,3570,3568,3548,3533,3507,3484,3501
"316","308","          Repair and hire of footwear","DSCLRX0",716,718,715,706,694,680,667,654,641,631,626,625,627,626,622,615,599,582,570,563,560,556,552,548,542,536,530,524,518,514,511,510,510,507,503,496,487,477,469,461,453,446,440,436,432,430,429,429,428,427,431,437,447,454,458,460,459,458,457,458,458,457,457
"317","309","      Social services and religious activities (120)","DSOCRX0",98545,99185,100042,101178,102220,103456,104311,106155,108440,109606,111070,111381,111761,112491,112999,114144,114494,115367,116678,117845,118557,119071,120645,120201,120886,122280,121983,123860,124683,124638,125790,126533,127636,129341,130327,131032,131078,131690,132184,132630,132613,132855,132939,134332,135578,135870,136447,137583,136953,137719,137212,137938,139144,138323,139616,139893,140570,141758,143119,144501,144955,146343,148169
"318","310","        Child care","DCHCRX0",26930,27024,26911,27026,27207,27277,27232,27741,28046,28167,28510,28350,28368,28412,28400,28464,28381,28409,28638,28930,28724,28866,29046,28539,28617,28543,28241,28501,28481,28544,28941,29621,30128,30458,30781,30959,30729,30770,30314,29890,30024,29985,30000,30721,30599,29807,29441,29590,29416,29868,29818,29874,30031,30096,30221,30397,30198,29995,30256,30047,30452,30635,30670
"319","311","        Social assistance","DSCWRX0",48985,49848,50863,52024,53099,54336,55385,56935,59004,60236,61525,62353,62996,63778,64319,65118,65541,66342,67334,68089,69081,69580,70853,71139,71946,73378,73529,74961,75648,75468,76082,76062,76459,77668,78352,79158,79593,80205,81078,81774,81911,82218,82484,83359,84393,85803,86704,87646,87353,87525,87543,88540,89249,88863,89483,89119,90166,91082,92648,94162,94700,95749,97107
"320","312","          Homes for the elderly","DELDRX0",9615,9855,10111,10342,10580,10888,11151,11519,12074,12372,12634,12829,13106,13270,13330,13405,13411,13469,13600,13704,13838,13830,14024,14105,14192,14544,14718,15033,15362,15491,15557,15437,15401,15495,15436,15583,15719,15837,15867,15872,15777,15780,15960,16231,16431,16733,17058,17474,17662,17790,17854,18053,18229,18372,18671,18970,19449,19783,20103,20330,20450,20457,20795
"321","313","          Residential mental health and substance abuse","DMENRX0",3327,3407,3520,3619,3707,3799,3887,3978,4116,4227,4350,4467,4552,4623,4672,4706,4854,5055,5194,5307,5412,5452,5620,5749,5891,6050,6022,6020,5961,5931,5972,6010,6174,6383,6486,6619,6718,6803,6872,6911,6915,6939,7017,7104,7222,7347,7407,7467,7364,7339,7310,7320,7422,7433,7566,7645,7750,7863,7934,8039,8174,8213,8193
"322","314","          Individual and family services","DFAMRX0",23287,23600,24001,24394,24788,25329,25798,26416,27321,27888,28459,28801,28945,29210,29355,29652,29628,29876,30239,30590,31058,31186,31669,31233,31397,31808,31737,32754,33295,33349,33843,33972,34338,34974,35347,35782,35670,35878,36537,37142,37336,37557,37675,37986,38336,39082,39547,39893,39647,39720,39885,40598,41101,40897,40920,40314,40722,41102,42261,43349,43781,44810,45749
"323","315","          Vocational rehabilitation services","DVOCRX0",5976,6053,6106,6377,6547,6639,6661,6889,6994,7043,7129,7069,7061,7118,7213,7376,7611,7774,7895,8012,8115,8273,8474,8684,8784,8922,8944,8912,8731,8556,8446,8291,8178,8192,8188,8206,8305,8374,8443,8453,8654,8809,8847,8793,8928,9132,9176,9245,9297,9319,9181,9092,8998,8761,8865,8783,8675,8613,8586,8635,8508,8544,8511
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",2800,2908,3016,3141,3285,3427,3551,3718,3931,4031,4156,4299,4385,4536,4669,4818,4852,4960,5185,5267,5444,5629,5822,6110,6344,6630,6726,6853,6927,6827,6960,7029,7011,7148,7366,7421,7621,7765,7849,7954,7911,7882,7772,8048,8242,8234,8237,8268,8113,8105,8067,8205,8187,8068,8059,7963,8068,8165,8194,8244,8241,8191,8293
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3875,3924,4009,4054,4099,4164,4250,4332,4488,4596,4720,4818,4884,4961,5024,5106,5130,5155,5176,5167,5175,5174,5212,5230,5314,5403,5360,5372,5357,5299,5293,5313,5349,5470,5527,5547,5559,5546,5511,5443,5318,5251,5213,5197,5233,5275,5279,5299,5272,5254,5248,5273,5312,5334,5407,5458,5519,5577,5596,5591,5579,5569,5606
"326","318","        Social advocacy and civic and social organizations","DSADRX0",15791,15521,15480,15383,15237,15208,15093,14960,14900,14769,14689,14388,14192,14151,14160,14440,14402,14382,14400,14448,14258,14072,14136,13859,13662,13662,13479,13617,13713,13712,13746,13701,13738,13791,13755,13551,13537,13613,13743,13935,13671,13660,13482,13304,13714,13534,13655,13751,13643,13810,13422,13184,13562,13144,13667,14085,13917,14347,13915,13999,13536,13685,14095
"327","319","        Religious organizations' services to households","DRELRX0",6438,6399,6355,6304,6244,6191,6151,6121,6096,6065,6026,5978,5923,5876,5844,5826,5820,5826,5850,5884,5922,5950,5962,5958,5937,5916,5899,5885,5874,5886,5926,5994,6076,6124,6129,6087,6008,5946,5914,5913,5931,5935,5918,5879,5764,5640,5549,5489,5434,5377,5325,5279,5237,5206,5190,5186,5191,5198,5207,5217,5221,5225,5229
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1144,1111,1077,1043,1006,962,911,852,790,729,672,619,570,537,518,512,547,582,620,658,695,727,752,768,775,794,829,880,937,1006,1085,1175,1267,1328,1341,1308,1230,1172,1134,1112,1076,1058,1056,1067,1107,1099,1122,1133,1138,1166,1136,1105,1111,1060,1101,1140,1151,1202,1176,1187,1157,1169,1204
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",62054,61377,61377,61865,63887,64001,63701,62956,62286,61514,60436,59141,58845,59087,59167,59179,59864,60145,60717,61537,62661,63565,64108,64465,64272,64114,64061,64130,64316,64391,64636,64972,65705,66163,66586,67168,67245,66691,65547,64436,62426,60667,59393,58842,58561,58208,58200,58947,59513,60379,61265,61524,61620,62002,62482,63252,63638,64335,64710,64794,65140,65530,65654
"330","322","        Domestic services","DDMSRX0",26390,25358,24978,25085,26775,26755,26545,26129,25983,25689,24982,23959,23864,24297,24565,24779,25455,25432,25492,25630,25985,26215,26250,26286,25892,25659,25589,25396,25581,25801,26047,25814,26128,26468,26964,27335,27366,27312,26961,26420,25631,24836,24054,23280,22673,22289,22107,22056,22529,23207,23608,23912,24023,24097,24251,24406,24544,24667,24801,24803,24850,25006,25167
"331","323","        Moving, storage, and freight services","DMSERX0",15269,15443,15659,15909,16155,16248,16156,15872,15423,14965,14532,14118,13733,13431,13231,13124,12997,13017,13210,13561,14016,14394,14634,14723,14736,14679,14621,14838,14869,14688,14528,14771,14929,14884,14758,15000,15204,14950,14464,14245,13542,12936,12606,12796,12980,12827,12656,13099,13141,13481,13814,13739,13524,13784,14104,14385,14584,14870,14987,15214,15456,15589,15525
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2849,2790,2738,2690,2643,2580,2497,2394,2278,2172,2081,2001,1934,1885,1853,1838,1826,1811,1787,1755,1716,1685,1667,1660,1659,1658,1655,1648,1636,1617,1596,1571,1540,1512,1486,1461,1439,1402,1351,1287,1178,1108,1077,1082,1063,1039,1051,1066,1047,1013,1031,1017,1034,1023,1001,1043,1024,1063,1069,1022,1013,1009,989
"333","325","        Repair of household appliances","DERERX0",5840,5807,5778,5748,5713,5660,5589,5496,5387,5283,5190,5106,5033,4988,4974,4990,5089,5186,5280,5365,5429,5459,5448,5389,5291,5217,5175,5165,5182,5222,5277,5349,5297,5237,5174,5108,5026,4947,4872,4800,4638,4508,4417,4364,4340,4323,4411,4498,4498,4383,4462,4401,4435,4348,4218,4307,4197,4278,4275,4124,4100,4083,4004
"334","326","        Other household services","DMHSRX0",11660,11907,12120,12289,12417,12549,12696,12858,13034,13257,13537,13877,14244,14483,14562,14478,14559,14778,15024,15277,15532,15799,16083,16379,16663,16875,17002,17036,17000,17041,17194,17459,17798,18058,18213,18255,18188,18062,17895,17681,17436,17279,17241,17320,17511,17736,17977,18231,18301,18312,18372,18478,18619,18779,18961,19160,19360,19524,19651,19734,19837,19968,20105
"335","327","      Net foreign travel","DFORRX0",-26909,-33565,-40515,-33378,-31673,-27087,-23551,-24654,-21951,-11793,-12683,-10190,-8458,-12082,-19785,-9339,-5016,-11808,-7680,-7981,-6574,-4126,-4820,-6341,-10263,-12671,-7520,-4283,-3304,-1786,-7423,-6425,-10428,-13093,-18366,-26625,-25306,-33079,-28535,-23231,-21262,-25601,-22974,-24197,-29727,-30988,-34100,-38288,-37359,-39605,-38885,-38461,-30969,-35103,-35949,-36301,-41517,-39587,-39939,-41159,-44641,-43626,-47954
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",95765,87877,87480,92066,96050,103707,105590,102932,103472,106035,98152,78416,96020,92960,84137,95062,91966,81761,94805,97884,103174,105895,104126,104441,107574,104941,104924,107973,108463,110990,107518,110629,109456,107983,105766,105598,109590,105005,103175,104406,98162,94790,100793,101372,100806,101602,102955,101963,100852,104728,102421,102795,111176,112248,112644,111919,112296,113915,116339,116775,114670,119355,115230
"337","329","          Passenger fares for foreign travel","DAFTRX0",35875,33793,33580,35904,37049,38444,39727,37650,38364,39959,35472,24497,32570,32423,29013,31727,32221,28636,32769,34058,37313,37923,36679,37808,38329,37982,37256,37472,38234,40040,38405,38641,37709,38782,37447,36871,38033,37014,35753,35952,32556,32621,34849,35892,34851,34656,35320,35428,36406,35706,33893,32111,34677,34021,34272,32677,33732,34505,36147,34893,33084,34559,33818
"338","330","          U.S. travel outside the United States","DUSTRX0",57234,51378,51114,53379,56101,62175,62659,61986,61653,62436,59204,50655,59882,56795,51380,59388,55419,49069,57984,59618,61425,63535,62993,62134,64641,62404,63150,65465,65176,65778,63960,67234,66894,64195,63330,63976,66763,63197,62464,63190,60395,57010,60809,60408,60773,61634,62221,60984,58665,63570,63135,65653,71632,73461,73605,74738,73784,74577,75184,77213,77106,80313,76702
"339","331","          U.S. student expenditures","DUSSRX0",2412,2518,2594,2597,2691,2839,2936,3073,3166,3263,3303,3622,3667,3728,3784,4142,4304,4038,4079,4216,4322,4350,4403,4387,4523,4438,4443,5031,5006,5043,5066,4734,4873,4903,4926,4717,4783,4765,4954,5247,5267,5156,5111,5042,5187,5350,5421,5494,5553,5450,5535,5510,5427,5554,5536,5544,5616,5625,5652,5601,5644,5687,5743
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",122674,121442,127995,125444,127723,130794,129141,127586,125423,117828,110835,88606,104478,105043,103923,104401,96982,93568,102485,105865,109748,110022,108947,110782,117837,117612,112444,112257,111767,112776,114941,117054,119884,121076,124132,132223,134896,138084,131710,127637,119424,120391,123767,125569,130533,132589,137056,140251,138211,144333,141307,141255,142144,147351,148594,148220,153813,153502,156277,157934,159311,162982,163185
"341","333","          Foreign travel in the United States","DFTURX0",101019,99842,105793,103345,105450,108170,106419,104556,102788,95561,88848,67326,82561,83046,81876,82537,75337,72222,81165,84830,88765,89193,88380,90440,97385,97061,92041,92046,91681,92711,94875,96715,99560,100683,103432,110703,113392,116370,109906,105273,97101,97945,101157,103428,108206,110190,114449,117344,115028,121093,117939,117780,118444,123488,124420,123524,129181,128565,130661,132376,133733,137260,136702
"342","334","          Medical expenditures of foreigners","DMEFRX0",2530,2554,2566,2595,2652,2676,2691,2724,2501,2485,2477,2469,2310,2254,2235,2222,2243,2269,2265,2262,2293,2294,2293,2300,2360,2672,2671,2691,2696,2698,2692,2691,2695,2694,2691,2688,2694,2695,2691,2687,2691,2693,2691,2688,2687,2692,2687,2686,2683,2680,2686,2686,2684,2681,2686,2683,2684,2677,2683,2682,2682,2683,2683
"343","335","          Expenditures of foreign students in the United States","DEFSRX0",18159,18175,18410,18477,18440,18642,18971,19607,19501,19707,19913,20695,20510,20586,20714,20426,20555,20322,19844,19335,19082,18888,18615,18275,18111,17926,17912,17671,17534,17477,17420,17676,17591,17643,17927,18688,18622,18792,19021,19677,19651,19751,19909,19445,19646,19724,19955,20265,20530,20605,20715,20819,21046,21237,21541,22038,22033,22322,22982,22951,22991,23177,23874
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,272350,273168,279958,275249,278335,288139,289833,300698,296290,297230,301900,309494,309109,312088,318272
"345","337","    Gross output of nonprofit institutions (133)","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1093242,1095976,1094558,1104430,1121420,1124547,1138448,1140440,1136046,1146214,1151716,1171657,1159423,1172650,1187363
"346","338","      Health, gross output","DHLGRX0",440395,442279,445464,448447,449552,451464,454317,456430,460514,462958,468620,476309,485523,492605,497005,499382,505831,509260,511754,513325,515933,521343,528990,536288,534710,542318,552547,557643,562742,567162,569778,569057,578239,575557,578094,583703,588266,590990,594151,599436,606624,611611,618036,622611,616483,623851,627090,632749,635992,641102,639786,647199,657121,659575,670599,668969,675138,685628,691109,710623,695739,704485,714743
"347","339","        Outpatient services, gross output","DOUGRX0",51264,51809,52349,52723,52894,53448,53550,54134,54745,55650,57027,58603,60470,62185,63421,64153,63809,63496,63679,64008,64369,64568,64648,64504,64379,64451,64736,65456,65577,65399,65452,65407,64658,64396,64163,63984,63321,63124,63861,64941,65749,65718,65263,64985,65786,66383,66402,67170,67441,67866,68234,68479,69513,69949,70812,71258,71962,72865,74034,75315,75885,76653,77625
"348","340","        Nonprofit hospitals, gross output","DHSORX0",347030,348276,350723,353148,354047,355250,357804,358836,361579,362261,366508,372064,379152,384651,387587,388943,394754,397658,399781,400880,403441,408337,415415,422373,421404,426361,435296,439297,443648,447952,450804,450098,459399,456951,458940,464231,469301,472970,474982,478506,485540,488681,495337,500448,493688,500052,503821,508255,511597,515737,514195,521163,529957,532467,540785,540885,545403,555571,559631,577246,562601,570239,579078
"349","341","        Nonprofit nursing homes, gross output","DNXORX0",42179,42259,42452,42639,42675,42819,43026,43504,44220,45049,45084,45638,45904,45785,46017,46306,47280,48107,48297,48441,48135,48451,48939,49417,48937,51501,52510,52883,53512,53809,53523,53552,54180,54208,54987,55483,55640,54898,55306,55987,55338,57211,57436,57177,57010,57416,56865,57320,56946,57491,57347,57545,57630,57127,58984,56772,57727,57118,57364,57951,57175,57502,57934
"350","342","      Recreation services, gross output","DRCGRX0",26038,26342,26537,27372,27365,27940,28232,28679,29419,30074,30056,30195,30616,31169,31602,32245,32531,32869,33087,33387,33668,34066,34539,34617,34914,35549,35804,36734,36973,37128,37467,37918,38303,38842,39470,39921,40240,40733,40920,40523,40229,39729,39504,39188,39028,38957,38195,37963,37906,37929,38239,38263,38814,39333,39958,40501,40696,40245,40081,40306,40274,40718,40700
"351","343","      Education services, gross output","DEDGRX0",107093,107778,108117,109562,110634,111973,113773,115632,117896,120312,122170,123770,125075,127189,130121,128692,127793,127784,127554,127624,128458,128398,128024,128071,129479,129252,130389,130706,132320,133916,134120,137017,138506,140125,141194,142357,142539,143329,145486,145951,147218,147278,147921,147209,147773,148593,149586,150153,151447,152070,153283,155029,156410,157555,158177,158872,158656,159793,160280,160399,160804,161444,161963
"352","344","      Social services, gross output","DSSGRX0",68807,70028,71405,73131,74860,76768,78447,80980,84107,86055,88110,89516,90401,91739,92760,94178,94566,95313,96189,95990,95826,95336,96008,95786,96396,98049,97986,99663,100149,99277,100075,100198,100306,101720,102777,103497,104218,105246,106680,108345,109916,110090,108360,107086,109881,111999,112759,113778,111983,110706,109760,110259,110496,109394,109172,107696,106705,106490,106780,106881,106387,106232,106711
"353","345","      Religious organizations, gross output","DREORX0",66394,66340,66392,66511,66688,67033,67588,68337,69230,70156,71109,72075,72983,73537,73715,73485,72960,72719,72964,73608,74520,75287,75815,76083,76075,75990,75876,75704,75516,75616,76102,76958,78028,78647,78711,78180,77159,76357,75956,75933,76170,76217,76002,75504,74021,72433,71257,70491,69786,69050,68393,67800,67262,66864,66647,66597,66661,66755,66872,66997,67057,67097,67156
"354","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13997,14568,15068,15480,15828,16321,17017,17927,18998,19917,20587,20987,21129,21182,21181,21112,20954,20780,20768,20842,20927,21027,21062,21054,20949,21106,21580,22318,23133,23903,24480,24879,24703,24913,25432,26323,27246,27876,28083,27781,27115,26627,26134,25649,25586,25507,26044,25776,25967,26511,26860,26841,26664,25910,25874,26552,26601,27340,27454,27587,27720,27659,27725
"355","347","      Social advocacy establishments, gross output","DSAORX0",7923,8062,8313,8604,8647,8736,8918,8988,9182,9408,9692,10160,10871,11330,11803,12298,12058,11945,11918,11892,11834,11945,12157,12091,12242,12535,12552,12986,13458,13973,14562,15003,15298,15650,16001,16439,16928,17199,17560,17481,17217,17232,17488,17498,17541,17579,17730,17548,17547,17829,17965,18086,18247,17951,17859,18131,17695,17951,17824,17731,17766,17705,17624
"356","348","      Civic and social organizations, gross output","DCIORX0",8720,8749,8971,9066,9180,9375,9530,9668,9850,9986,10169,10305,10541,10741,10909,11114,11122,11135,11139,11098,11007,10848,10772,10434,10134,10128,9909,9948,9990,9913,9830,9682,9490,9375,9341,9356,9425,9571,9670,9800,9559,9396,9212,9044,9168,9189,9317,9179,9115,9181,9200,9148,9132,8924,8915,9201,9209,9505,9601,9746,9727,9720,9757
"357","349","      Professional advocacy, gross output","DSNGRX0",30815,30101,29757,29960,31989,32591,33207,34514,30995,30047,29847,29377,30598,32907,34953,36130,32185,30741,30296,30638,33130,33821,35560,37781,32458,31142,30283,30224,32392,35116,37560,38639,33877,32313,31694,32286,37298,39039,40769,42363,34916,33049,32120,31495,33086,35926,38603,39348,33594,31748,31257,32026,37466,39265,41507,44137,35048,32924,32172,31976,34369,38021,41438
"358","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,820540,822453,814597,828755,842558,836473,848525,840507,840255,849360,850435,862982,851342,861563,870268
"359","351","      Health services to households","DHLRRX0",445664,448068,452486,457093,456564,462195,462501,464882,471009,474039,481808,491232,504195,513062,514576,513529,514685,513079,514895,516658,519749,528004,539323,549386,551238,553395,563634,559377,560154,560840,564783,571302,576956,579826,581226,578552,583407,579952,579443,578281,589572,598884,602910,598710,593857,603150,613623,622166,621297,623034,616429,630781,644292,639750,651129,643143,644535,652314,653883,665892,655179,665411,673738
"360","352","        Outpatient services to households","DOUSRX0",41657,42027,42599,43168,43730,44556,44751,45101,45346,46008,47097,48454,50464,52117,53227,53859,53506,53539,53932,54336,55115,55831,56585,56788,57122,57376,57733,58002,57063,56041,55423,55345,54613,54281,53923,53289,53178,53049,52976,53065,53695,54429,54721,54669,54947,55357,55750,56392,56694,57179,57786,58880,60196,61183,61956,62182,61775,61947,62102,62499,63181,63890,64615
"361","353","        Nonprofit hospitals' services to households","DNPHRX0",360317,362565,366159,370026,369223,373461,373750,375692,381086,383303,390036,397664,408290,415421,415540,413208,413964,411734,413089,414672,417237,424454,434390,443678,445412,446018,455256,451010,452355,455158,459186,465591,471318,474663,476236,474002,479412,476234,476491,475670,486750,493130,496641,492556,487718,496991,507157,514174,513561,514761,508033,521176,533216,528299,537429,531696,532551,540536,541535,552363,542581,551033,558554
"362","354","        Nonprofit nursing homes' services to households","DNPNRX0",44226,43972,44200,44348,43971,44504,44300,44374,44909,45011,44933,45325,45584,45587,45752,46315,47116,47692,47747,47507,47222,47550,48198,48810,48578,49880,50552,50254,50671,49583,50144,50337,51015,50873,51064,51267,50819,50671,49976,49542,49127,51322,51547,51489,51209,50805,50702,51585,51027,51083,50626,50722,50867,50300,51778,49302,50247,49812,50237,50978,49431,50498,50553
"363","355","      Recreation services to households","DRCRRX0",13929,14030,14116,14374,14133,14257,14176,14317,14618,14795,14500,14217,14240,14189,14274,14349,14547,14663,14880,15206,15443,15897,16486,16798,17594,18167,18414,18663,18748,18882,19014,19067,19199,19140,19212,19055,18784,18664,18504,18151,17795,17591,17380,17314,17899,17665,17486,17334,17565,17809,17988,17847,17643,17845,18285,18669,18337,18413,18491,18615,18512,18705,18711
"364","356","      Education services to households","DEDRRX0",93938,93893,93517,94315,94809,95470,96383,97311,98379,99041,98565,97032,94866,93733,94096,92605,92100,92014,91252,90990,90707,89738,88548,88550,89017,88512,88624,88302,88443,88635,87735,88645,88594,88702,88705,88891,88614,88550,89157,88495,88134,87366,87262,86705,86773,86826,86997,86954,87198,86997,86744,86908,86702,86461,86014,85777,85130,85573,85604,85508,85380,85326,85122
"365","357","      Social services to households","DSSRRX0",36082,36472,37018,37814,38647,39545,40284,41416,42778,43645,44671,45350,45913,46533,46857,47213,47088,47303,47744,48083,48486,48701,49277,49028,49238,49664,49246,49727,49584,48980,49046,48867,49053,49611,49847,49890,49791,49891,50109,50309,50528,50648,50510,50800,51719,52052,52202,52696,52183,52009,51489,51620,51673,50893,50839,50064,49804,49969,50157,50373,50282,50244,50334
"366","358","      Religious organizations' services to households","DRELRX0",6438,6399,6355,6304,6244,6191,6151,6121,6096,6065,6026,5978,5923,5876,5844,5826,5820,5826,5850,5884,5922,5950,5962,5958,5937,5916,5899,5885,5874,5886,5926,5994,6076,6124,6129,6087,6008,5946,5914,5913,5931,5935,5918,5879,5764,5640,5549,5489,5434,5377,5325,5279,5237,5206,5190,5186,5191,5198,5207,5217,5221,5225,5229
"367","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1144,1111,1077,1043,1006,962,911,852,790,729,672,619,570,537,518,512,547,582,620,658,695,727,752,768,775,794,829,880,937,1006,1085,1175,1267,1328,1341,1308,1230,1172,1134,1112,1076,1058,1056,1067,1107,1099,1122,1133,1138,1166,1136,1105,1111,1060,1101,1140,1151,1202,1176,1187,1157,1169,1204
"368","360","      Services of social advocacy establishments to households","DSASRX0",2034,2059,2098,2135,2099,2076,2080,2061,2068,2058,2029,2006,2009,1995,2029,2115,2191,2263,2312,2320,2283,2276,2290,2251,2254,2290,2283,2359,2432,2498,2571,2611,2623,2647,2670,2707,2759,2774,2809,2779,2741,2747,2788,2784,2871,2854,2888,2946,2978,3065,2986,2929,2985,2865,2941,2980,2887,2941,2822,2808,2729,2755,2816
"369","361","      Civic and social organizations' services to households","DCISRX0",7006,6948,7045,7041,7052,7113,7129,7115,7120,7084,7076,7030,7056,7097,7165,7307,7277,7268,7265,7246,7202,7121,7094,6895,6727,6729,6569,6562,6557,6513,6494,6461,6482,6471,6431,6341,6213,6180,6161,6209,6066,5984,5898,5824,6043,5959,5992,5993,5921,5997,5826,5716,5892,5711,5957,6181,6158,6399,6260,6363,6160,6237,6428
"370","362","      Professional advocacy services to households","DSNRRX0",29819,29700,29395,29184,29052,28873,28453,28271,27966,27744,27707,27224,26902,26841,26717,26765,26899,27010,27157,27288,26979,26747,27144,26972,26836,26982,26698,27126,27352,27483,27594,27506,27715,27862,27770,27645,27673,27859,28059,28198,28020,28132,27870,27306,27468,27199,27199,27220,26858,27052,26719,26652,27166,26808,27306,27587,27308,27629,27131,27432,27042,26929,27235
"371",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","363","  Control Group","DCGPRX0",1767256,1795838,1824747,1876199,1887839,1925530,1944769,1966374,1960953,1977375,1987889,2023858,2049023,2058350,2066898,2100882,2116417,2160380,2226679,2258017,2286676,2302539,2335550,2365289,2408888,2442196,2459581,2506137,2555452,2566822,2585993,2626898,2649432,2659787,2682036,2689032,2664602,2696587,2659620,2577089,2561903,2551516,2576261,2607777,2642509,2670171,2695275,2743097,2770165,2787503,2798478,2816803,2851936,2857365,2883985,2904101,2949776,2964203,2992449,3026379,3031468,3072627,3102068
"373","364","  PCE food and energy","DPFERX0",1148138,1164671,1174534,1176665,1158059,1184098,1188302,1206612,1199129,1187078,1189412,1188435,1186236,1197926,1203448,1217548,1218844,1216951,1226372,1232282,1241125,1242447,1241936,1255729,1272346,1271480,1278250,1287768,1273407,1290167,1299684,1307651,1315224,1307668,1307137,1296381,1296562,1292797,1260231,1259910,1267184,1267691,1268483,1275006,1285847,1280836,1290822,1303641,1295764,1283937,1286780,1275117,1264715,1285779,1291567,1275244,1301878,1291719,1288354,1298423,1320063,1295872,1285190
"374","365","  PCE energy goods and services \1\","DNRGRX0",492733,503763,507616,495851,482636,499687,502916,514866,508911,489687,494545,491204,491649,503709,506308,514807,509400,508381,505760,513887,515319,516071,509129,515189,520392,516576,516902,517736,501336,510253,517433,515142,521075,517576,516418,503781,506808,500780,481079,496603,505833,500319,496476,495903,500047,500453,506971,508565,499428,489188,494237,485385,471584,487644,490884,475183,494498,490036,483378,488140,509432,489976,480423
"375","366","  PCE excluding food","DPXFRX0",6964189,7070124,7151833,7256125,7382368,7449607,7527153,7593326,7630195,7646772,7679091,7805068,7832688,7874693,7931646,7972009,8004768,8102334,8221437,8291898,8372437,8430732,8512520,8599579,8659824,8758997,8826287,8853730,8958023,9002549,9057754,9147301,9197991,9235639,9279394,9288827,9271675,9285287,9222815,9121470,9089404,9039126,9093933,9085582,9131698,9217803,9279205,9370759,9419555,9440497,9488278,9524711,9589946,9619212,9667059,9715828,9803499,9855871,9904471,9997451,10032408,10103506,10190677
