"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"176","169","      Outpatient services","DOUTRG3",9.16,9.376,9.56,9.839,10.073,10.34,10.677,11.283,12.007,12.677,13.589,14.538,15.503,16.024,16.545,18.01,20.144,22.218,24.185,26.082,28.329,31.437,34.695,37.657,40.393,43.07,45.721,48.71,51.757,55.248,58.923,62.797,66.471,70.211,73.531,76.926,79.561,80.814,82.956,85.01,86.964,89.06,91.85,93.174,95.128,97.554,100,101.86,105.641,108.015,110.476,112.888,114.425
"177","170","        Physician services (44)","DPHYRG3",8.717,8.93,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122,14.08,15.027,15.507,15.995,17.483,19.61,21.839,23.855,25.81,28.206,31.189,34.599,37.849,40.813,43.649,46.185,49.541,53.19,56.998,61.178,65.579,69.442,73.805,77.914,81.818,85.036,85.632,86.783,88.642,90.61,92.182,94.805,94.798,96.274,98.239,100,100.955,105.091,106.204,108.773,111.436,113.044
"178","171","        Dental services (45)","DDENRG3",8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551,12.196,12.983,13.508,13.95,14.987,16.552,17.637,18.94,20.255,21.956,24.571,26.915,28.999,30.942,33.453,35.568,37.542,40.089,42.779,45.399,48.362,51.928,55.369,58.223,60.954,63.891,66.839,69.936,72.911,76.32,79.799,83.033,86.738,90.29,94.739,100,105.208,110.664,116.348,119.824,123.098,125.94
"179","172","        Paramedical services (46)","DPMSRG3",10.641,10.914,11.18,11.522,11.795,12.056,12.467,13.241,14.132,14.957,15.957,17.183,18.304,18.871,19.563,21.337,24.007,26.705,29.188,31.437,33.58,37.366,40.875,43.6,46.254,48.328,51.696,54.489,56.186,59.404,62.578,65.868,69.196,71.936,74.158,77.079,78.676,80.044,83.135,85.021,86.246,88.445,91.261,93.491,95.446,97.694,100,101.889,104.418,107.427,109.332,111.054,112.032
"180","173","          Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.136,60.42,63.709,67.105,70.351,73.19,75.498,78.525,79.92,81.353,85.44,87.753,88.497,91.803,94.21,96.341,96.689,98.969,100,100.65,102.468,104.16,105.766,106.956,107.053
"181","174","          Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.416,62.84,66.214,69.699,73.141,76.067,78.456,81.618,86.15,87.275,87.947,88.2,87.748,89.598,92.886,94.433,95.824,96.433,100,100.302,103.103,103.466,104.439,104.373,104.699
"182","175","          Other professional medical services","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.305,58.465,61.561,64.777,68.128,70.794,72.95,75.783,77.099,78.461,81.281,83.179,84.958,86.669,89.587,92,94.79,97.38,100,102.859,105.682,109.998,112.291,114.753,116.395
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,58.455,61.551,64.767,68.117,70.789,72.945,75.777,77.094,78.438,81.275,83.173,84.954,86.664,89.581,91.993,94.791,97.376,100,102.863,105.677,109.999,112.289,114.751,116.393
"184","177","            All other professional medical services","DOMORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.304,58.484,61.583,64.797,68.148,70.796,72.954,75.788,77.1,78.513,81.293,83.189,84.966,86.677,89.596,92.013,94.788,97.387,100,102.851,105.691,109.998,112.297,114.757,116.398
"185","178","      Hospital and nursing home services","DHPNRG3",5.561,6.283,6.449,6.581,6.803,7.1,7.308,7.528,8.003,8.566,9.159,9.897,10.285,10.795,11.432,12.576,13.933,15.207,16.416,17.873,19.761,22.312,25.331,28.668,31.663,34.226,36.279,38.273,40.79,44.326,49.026,54.029,59.072,63.937,67.692,70.125,72.817,75.033,76.113,77.155,78.777,81.284,84.176,87.289,91.974,96.353,100,104.152,107.995,111.35,114.801,118.02,120.29
"186","179","        Hospitals (51)","DHSPRG3",5.198,5.905,6.062,6.188,6.391,6.672,6.869,7.073,7.519,8.043,8.608,9.298,9.653,10.139,10.746,11.797,13.096,14.349,15.536,16.911,18.729,21.253,24.278,27.719,30.842,33.513,35.653,37.777,40.413,44.177,49.248,54.616,60.152,65.63,69.78,72.312,74.871,76.679,77.315,77.883,79.231,81.331,83.742,86.811,91.859,96.345,100,104.386,108.026,111.215,114.6,117.991,120.201
"187","180","          Nonprofit hospitals' services to households","DNPHRG3",5.198,5.905,6.062,6.188,6.391,6.672,6.869,7.073,7.519,8.043,8.609,9.298,9.652,10.138,10.746,11.798,13.096,14.349,15.536,16.91,18.729,21.254,24.274,27.719,30.84,33.512,35.653,37.776,40.415,44.179,49.248,54.619,60.152,65.631,69.78,72.312,74.872,76.681,77.318,77.886,79.235,81.331,83.744,86.813,91.864,96.354,100,104.389,108.023,111.217,114.601,117.998,120.197
"188","181","          Proprietary hospitals","DFPHRG3",5.197,5.904,6.062,6.187,6.39,6.671,6.868,7.072,7.518,8.042,8.608,9.297,9.651,10.137,10.745,11.796,13.095,14.348,15.534,16.912,18.731,21.255,24.28,27.728,30.848,33.523,35.658,37.781,40.413,44.176,49.244,54.608,60.144,65.606,69.771,72.312,74.874,76.676,77.308,77.874,79.221,81.322,83.74,86.83,91.858,96.326,100,104.365,108.024,111.203,114.589,117.968,120.174
"189","182","          Government hospitals","DGVHRG3",5.197,5.905,6.062,6.188,6.389,6.674,6.869,7.074,7.52,8.043,8.604,9.298,9.654,10.141,10.746,11.79,13.095,14.348,15.534,16.913,18.728,21.246,24.288,27.711,30.845,33.508,35.649,37.774,40.403,44.167,49.247,54.607,60.157,65.638,69.782,72.312,74.863,76.669,77.306,77.877,79.223,81.334,83.733,86.789,91.843,96.323,100,104.388,108.038,111.215,114.603,117.984,120.191
"190","183","        Nursing homes (52)","DNRSRG3",8.553,8.964,9.178,9.349,9.744,10.141,10.425,10.761,11.442,12.289,13.081,14.16,14.783,15.467,16.313,18.119,19.885,21.298,22.66,24.701,27.074,29.795,32.741,35.237,37.283,39.146,40.677,41.924,43.769,46.049,48.822,52.077,54.841,56.914,58.922,60.931,64.21,68.128,71.053,74.073,76.87,81.174,86.278,89.6,92.525,96.397,100,102.994,107.852,112.042,115.829,118.146,120.732
"191","184","          Nonprofit nursing homes' services to households","DNPNRG3",8.552,8.963,9.177,9.348,9.743,10.14,10.424,10.761,11.441,12.288,13.08,14.159,14.782,15.466,16.312,18.117,19.883,21.297,22.659,24.699,27.072,29.793,32.739,35.234,37.28,39.143,40.674,41.921,43.796,46.042,48.806,52.07,54.842,56.913,58.921,60.927,64.202,68.128,71.055,74.076,76.87,81.175,86.278,89.597,92.518,96.396,100,102.998,107.843,112.038,115.835,118.147,120.727
"192","185","          Proprietary and government nursing homes","DFPNRG3",8.552,8.963,9.178,9.349,9.744,10.141,10.424,10.761,11.442,12.289,13.081,14.16,14.783,15.467,16.313,18.118,19.884,21.298,22.66,24.7,27.074,29.794,32.741,35.236,37.282,39.145,40.676,41.923,43.754,46.052,48.831,52.08,54.841,56.915,58.922,60.933,64.214,68.128,71.051,74.071,76.87,81.174,86.277,89.601,92.53,96.397,100,102.991,107.857,112.044,115.826,118.146,120.726
"193","186","    Transportation services","DTRSRG3",15.542,15.889,16.353,16.705,16.777,16.998,17.292,17.606,18.265,19.087,20.263,21.829,23.362,24.251,25.324,27.494,30.534,32.811,35.088,37.41,40.737,47.285,53.036,55.974,58.098,60.391,61.583,62.2,64.836,67.866,70.85,73.558,75.577,77.725,80.428,81.409,83.206,84.255,86.122,87.639,88.947,91.616,92.634,93.063,95.06,96.456,100,104.217,106.643,112.467,115.707,118.111,121.393
"194","187","      Motor vehicle services","DMVSRG3",14.901,15.139,15.496,15.68,15.85,16.025,16.324,16.564,17.204,18.018,19.062,20.337,21.665,22.53,23.733,26,29.149,31.183,33.438,36.031,39.531,43.6,47.593,51.134,53.358,55.198,56.785,58.92,61.352,63.747,66.337,68.895,71.567,73.779,76.03,78.284,80.272,81.831,82.978,84.561,86.305,88.718,91.642,94.08,95.78,97.149,100,103.514,106.313,111.167,116.892,117.671,119.209
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRG3",13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447,18.741,20.092,20.974,22.144,24.378,27.493,29.488,31.706,34.28,37.595,41.442,45.217,48.526,50.564,52.168,53.535,55.155,57.191,59.482,61.86,64.262,66.968,69.417,71.442,73.334,75.013,76.938,78.919,80.844,83.066,85.705,88.685,91.933,94.53,96.733,100,104.211,107.752,112.971,117.592,119.836,122.323
"196","189","        Other motor vehicle services (61)","DOVSRG3",25.758,25.889,26.008,26.092,26.088,26.156,26.283,26.383,26.568,26.77,27.09,27.49,27.914,28.207,29.2,30.833,32.994,34.567,36.246,37.961,41.789,46.305,50.722,54.962,57.984,61.114,63.861,69.156,73.827,76.258,79.652,82.601,84.431,85.088,88.088,91.58,94.544,94.928,93.852,94.595,95.186,97.105,99.929,100.289,99.442,98.349,100,101.64,102.558,106.508,114.936,112.078,111.317
"197","190","          Motor vehicle leasing","DMVLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.515,34.71,38.863,41.672,44.739,47.73,52.409,57.913,63.223,68.276,71.865,76.126,79.732,86.1,90.631,94.512,96.276,97.44,100.665,99.91,101.672,105.5,109.383,109.28,105.659,103.965,103.575,104.846,108.873,106.849,104.421,100.919,100,100.435,99.82,102.362,110.416,104.514,101.753
"198","191","            Auto leasing","DALERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.601,94.475,96.254,97.412,100.643,99.9,101.651,105.441,109.385,109.266,105.671,103.971,103.579,104.862,108.877,106.849,104.447,100.955,100,100.412,99.796,102.359,110.367,104.462,101.776
"199","192","            Truck leasing","DTLERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.726,94.704,96.298,97.501,100.698,99.889,101.701,105.663,109.392,109.322,105.655,103.97,103.583,104.84,108.882,106.863,104.398,100.884,100,100.459,99.845,102.356,110.482,104.585,101.835
"200","193","          Motor vehicle rental","DMVRRG3",13.688,13.961,14.384,14.518,14.724,14.863,15.138,15.486,16.107,16.942,18.051,19.362,20.746,21.708,22.88,25.218,28.405,30.486,32.786,34.897,38.324,42.328,46.279,50.034,52.678,55.804,58.439,63.12,67.848,69.437,73.021,76.322,77.26,78.505,82.509,85.603,87.77,88.946,92.098,95.511,98.189,101.043,97.146,102.465,101.356,98.505,100,103.516,106.049,110.486,119.644,116.196,116.405
"201","194","          Parking fees and tolls","DPFTRG3",19.808,19.845,19.824,19.862,19.797,19.819,19.859,19.854,19.855,19.817,19.811,19.816,19.818,19.817,20.404,21.241,22.311,23.149,24.011,24.95,27.499,30.521,33.484,36.346,38.399,40.305,42.017,45.656,49.018,50.588,53.616,56.477,57.468,58.764,62.066,64.87,66.513,67.421,69.801,74.971,76.84,79.969,83.611,86.624,89.055,93.402,100,102.939,106.353,113.344,122.144,126.139,129.071
"202","195","      Public transportation","DPUBRG3",17.817,18.413,19.134,19.891,19.73,20.074,20.367,20.876,21.607,22.487,24.022,26.333,28.425,29.412,30.235,32.327,35.318,38.256,40.713,42.568,45.702,58.194,68.477,69.978,71.921,75.455,75.547,71.873,75.1,79.954,84.082,87.233,87.502,89.506,93.518,90.791,92.022,91.52,95.623,96.931,96.911,100.341,95.713,90.293,93.121,94.592,100,106.157,107.554,116.048,112.622,119.22,126.924
"203","196","        Ground transportation (63)","DGRDRG3",11.018,11.292,11.656,12.074,12.251,12.566,12.803,13.262,13.974,14.717,15.636,17.382,18.834,19.661,19.965,21.071,23.1,24.988,26.73,28.162,30.26,35.029,41.045,45.149,47.352,50.23,52.128,55.792,57.365,59.603,61.411,64.379,67.482,70.223,71.106,71.758,72.562,77.958,79.208,79.86,79.859,81.859,84.413,86.593,91.567,95.994,100,104.687,106.302,111.349,116.095,121.045,126.71
"204","197","          Railway transportation","DIRRRG3",13.746,13.98,14.404,14.546,14.123,14.163,14.192,14.181,14.252,14.517,15.401,16.725,18.083,17.739,17.527,19.254,21.592,23.577,25.721,27.738,30.234,35.676,42.428,47.588,51.165,54.043,56.011,59.318,62.658,66.082,73.542,76.437,78.526,79.656,80.89,81.699,86.059,91.725,91.621,93.855,97.334,100.388,105.271,109.151,108.03,98.806,100,108.892,106.711,111.711,111.475,118.021,118.452
"205","198","          Road transportation","DROTRG3",10.638,10.92,11.276,11.738,12.008,12.366,12.638,13.176,13.994,14.809,15.737,17.543,19.011,19.964,20.326,21.366,23.371,25.259,26.972,28.363,30.44,35.179,41.167,45.205,47.309,50.202,52.103,55.804,57.287,59.471,60.998,63.978,67.136,69.943,70.815,71.463,72.174,77.559,78.84,79.454,79.374,81.347,83.842,85.977,91.109,95.914,100,104.567,106.298,111.348,116.262,121.158,127.037
"206","199","            Intercity buses","DIBURG3",11.146,11.682,11.541,11.741,11.944,12.069,12.364,12.704,13.209,13.897,14.622,15.656,17.531,18.519,19.26,21.228,24.547,26.009,29.48,31.757,34.414,39.271,44.813,48.737,53.005,57.591,61.549,67.912,66.752,69.299,71.231,72.882,76.331,77.553,75.07,75.017,72.788,74.15,74.505,78.548,80.392,84.131,86.835,89.609,92.921,96.527,100,107.229,108.078,114.994,119.479,125.107,131.987
"207","200","            Taxicabs","DTAXRG3",11.129,11.189,11.503,12.189,12.504,13.228,13.608,14.18,15.027,15.866,16.493,17.492,19.016,20.064,20.693,22.801,25.159,26.576,28.508,30.507,33.159,38.814,42.435,44.795,45.399,46.475,47.794,49.238,52.38,56.449,57.717,59.991,65.025,66.916,68.814,69.727,70.94,78.626,81.725,79.931,78.898,80.023,82.44,84.244,90.252,95.6,100,103.373,105.503,109.714,114.871,119.434,124.914
"208","201","            Intracity mass transit","DIMTRG3",10.665,10.999,11.506,11.953,12.229,12.508,12.736,13.347,14.302,15.188,16.419,19.211,20.496,21.385,21.329,21.051,22.219,24.798,25.59,26.146,27.635,31.913,39.443,44.348,46.002,49.094,50.495,54.553,55.989,57.17,58.665,62.343,64.717,68.311,70.01,70.836,72.716,79.556,80.793,79.908,78.911,80.032,82.414,84.254,90.261,95.593,100,103.361,105.489,109.725,114.86,119.409,124.903
"209","202","            Other road transportation service","DORTRG3",11.147,11.681,11.54,11.741,11.944,12.069,12.364,12.703,13.209,13.898,14.622,15.654,17.532,18.519,19.259,21.236,24.545,26.014,29.485,31.757,34.401,39.268,44.818,48.736,53.054,57.631,61.616,67.938,66.756,69.351,71.239,72.841,76.346,77.535,75.005,74.984,72.787,74.147,74.477,78.581,80.38,84.114,86.831,89.597,92.916,96.613,100,107.3,108.105,115.047,119.385,125.147,132.002
"210","203","        Air transportation (64)","DAITRG3",24.497,26.213,27.921,29.36,27.242,27.119,27.239,27.304,27.339,27.921,30.05,32.353,34.76,35.596,37.066,40.128,43.7,47.392,50.226,52.208,56.023,75.79,89.427,87.374,88.707,92.504,90.816,81.028,85.377,92.055,97.787,100.926,98.871,100.149,106.529,101.141,102.594,97.81,103.731,105.243,105.375,110.363,101.647,91.423,93.586,93.617,100,107.347,108.712,119.895,111.71,119.686,129.115
"211","204","        Water transportation (65)","DWATRG3",27.787,28.895,29.525,29.941,30.698,31.044,32.009,33.261,34.288,35.861,38.275,41.374,43.575,45.52,47.519,51.445,56.241,60.58,65.03,69.95,73.497,78.645,82.809,86.255,89.253,91.991,95.345,100.208,102.75,104.247,108.253,113.111,117.721,121.446,124.833,127.594,131.497,134.911,138.516,145.455,140.87,125.982,114.003,109.479,100.429,98.806,100,99.63,99.379,97.016,88.04,89.062,88.23
"212","205","    Recreation services","DRCARG3",16.473,17.084,17.557,17.975,18.364,18.878,19.263,19.77,20.462,21.557,22.473,23.51,24.544,25.173,26.067,27.874,29.93,31.411,32.914,34.882,37.186,39.997,42.547,44.866,46.814,48.837,50.945,52.914,54.965,57.074,59.911,63.182,66.467,68.53,70.725,72.235,73.827,76.287,78.753,80.703,83.298,86.522,89.358,91.929,94.755,97.266,100,103.384,106.274,109.555,110.867,112.049,113.909
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRG3",13.032,13.725,14.278,14.755,15.227,15.863,16.377,17.018,17.776,18.861,19.956,21.343,22.435,23.163,24.068,25.866,27.909,29.578,31.276,33.385,35.534,37.942,40.092,42.343,44.473,46.529,48.676,51.014,53.182,55.142,58.134,61.2,64.294,66.017,67.807,70.103,71.744,74.281,76.631,78.537,82.164,86.013,89.3,91.734,95.123,97.41,100,103.604,106.929,109.775,111.031,111.47,111.426
"214","207","        Membership clubs and participant sports centers","DMDFRG3",13.809,14.709,15.443,16.107,16.723,17.289,17.288,17.563,18.128,18.796,19.359,20.147,21.092,21.645,22.494,23.777,25.231,26.63,28.07,30.335,32.527,35.491,38.78,42.118,44.781,47.178,49.787,52.589,55.686,58.725,62.035,65.334,69.079,71.943,75.353,79.152,79.044,81.554,84.946,87.224,90.074,92.747,95.095,96.186,98.891,99.369,100,103.771,105.351,107.137,107.004,105.129,103.892
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRG3",15.675,16.12,16.46,16.695,17.032,17.318,17.724,18.341,18.963,19.93,21.241,23.013,24.244,25.21,26.22,28.653,31.219,33.707,36.193,38.591,40.585,43.421,45.641,47.581,49.165,50.656,52.552,55.229,56.651,57.488,59.736,62.469,65.061,66.957,68.726,70.274,72.435,74.332,76.367,78.409,81.857,85.56,88.94,91.65,95.395,97.709,100,103.497,106.776,109.429,110.803,111.198,111.3
"216","209","        Admissions to specified spectator amusements","DADMRG3",11.082,11.723,12.236,12.694,13.129,13.95,14.775,15.595,16.494,17.826,19.018,20.396,21.432,22.06,22.895,24.404,26.289,27.371,28.515,30.248,32.462,34.135,35.551,37.494,39.853,42.256,44.348,46.023,48.17,50.378,53.924,57.195,60.357,61.019,61.659,63.76,66.007,69.278,71.206,72.716,77.06,81.835,85.767,88.9,92.322,95.786,100,103.594,108.142,112.003,114.149,116.212,116.796
"217","210","          Motion picture theaters","DMOVRG3",9.593,10.219,10.743,11.211,11.624,12.566,13.558,14.599,15.693,17.209,18.614,20.436,21.635,22.215,23.094,24.714,26.743,27.84,29.004,30.703,32.956,34.645,36.089,38.056,40.452,42.902,45.027,46.734,48.963,51.158,54.742,58.118,61.217,61.942,62.602,64.766,67.051,70.337,72.292,73.836,78.425,83.409,86.481,89.202,93.866,96.838,100,103.506,107.556,109.987,111.694,113.401,114.544
"218","211","          Live entertainment, excluding sports","DLIGRG3",9.6,10.222,10.74,11.218,11.634,12.597,13.54,14.611,15.692,17.213,18.631,20.426,21.628,22.232,23.133,24.649,26.764,27.882,29.007,30.736,32.977,34.69,36.121,38.084,40.495,42.924,45.057,46.752,48.896,51.165,54.799,58.061,61.362,61.995,62.636,64.766,67.02,70.354,72.337,73.863,78.391,83.414,86.487,89.309,93.845,96.868,100,103.538,107.568,110.013,111.711,113.445,114.563
"219","212","          Spectator sports","DSPERG3",15.542,16.001,16.3,16.599,17.054,17.356,17.653,17.808,18.204,19.107,19.861,20.413,21.163,21.87,22.618,23.973,25.533,26.583,27.715,29.509,31.668,33.303,34.682,36.592,38.883,41.224,43.258,44.893,46.975,49.151,52.598,55.785,58.904,59.536,60.16,62.189,64.406,67.613,69.476,70.947,74.965,79.381,84.674,88.374,89.981,94.151,100,103.697,108.996,114.912,117.713,120.275,120.085
"220","213","        Museums and libraries","DMUSRG3",9.608,10.226,10.754,11.216,11.656,12.581,13.562,14.593,15.726,17.225,18.66,20.444,21.637,22.237,23.147,24.655,26.764,27.885,29.016,30.724,32.974,34.691,36.127,38.087,40.487,42.901,45.056,46.739,48.963,51.172,54.743,58.081,61.321,61.991,62.638,64.771,67.02,70.354,72.341,73.878,78.379,83.416,86.521,89.297,93.842,96.874,100,103.459,107.564,110.017,111.69,113.429,114.549
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRG3",25.511,25.869,26.128,26.359,26.486,26.618,26.482,26.329,26.804,27.878,28.027,27.97,28.628,28.836,29.257,30.316,31.94,32.777,33.448,34.852,36.749,39.372,41.672,43.705,45.212,47.072,49.246,51.167,53.224,55.506,58.278,61.902,66,68.761,71.907,72.151,73.415,76.33,80.021,82.791,84.632,87.026,89.287,92.991,95.577,98.033,100,103.179,104.73,107.14,109.203,110.276,112.472
"222","215","        Cable and satellite television and radio services","DCTVRG3",10.943,11.201,11.862,11.861,11.794,12.145,12.665,13.111,13.78,14.735,15.535,16.356,17.211,17.618,18.213,19.31,20.51,21.405,22.249,23.399,24.548,26.33,27.668,28.801,29.748,31.271,33.285,34.765,37.078,40.049,43.361,47.683,52.892,56.042,59.888,59.432,60.415,63.999,68.849,73.894,76.728,80.41,83.876,88.87,93.28,97.15,100,103.911,105.852,108.385,110.694,112.143,114.074
"223","216","        Photo processing","DFDVRG3",35.722,36.029,36.998,37.779,38.182,38.63,39.399,39.841,40.668,45.103,45.467,45.272,47.429,47.496,47.032,47.781,49.788,50.237,49.438,50.574,53.135,56.843,59.811,62.331,64.371,66.319,68.784,72.312,74.151,75.236,78.167,81.734,85.155,87.619,89.957,91.964,94.802,97.31,99.954,100.487,100.328,101.088,100.429,100.875,101.141,100.774,100,99.649,99.291,100.822,105.993,107.845,111.776
"224","217","        Photo studios","DPICRG3",25.575,25.911,26.287,27.024,27.223,27.734,28.133,28.408,29.117,30.115,30.646,31.747,32.215,32.616,33.27,35.702,39.442,41.151,42.628,44.738,47.013,50.233,52.89,55.151,56.964,58.667,60.885,64.008,65.646,66.601,69.203,72.38,75.393,77.579,79.64,81.426,83.923,86.14,88.48,89.303,90,91.544,94.318,98.132,100.161,99.958,100,100.925,102.406,104.124,105.38,106.417,108.652
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRG3",39.035,39.611,39.674,39.744,39.897,39.756,38.809,37.955,38.318,38.815,38.384,37.104,37.523,37.6,38.241,39.028,40.247,41.039,42.118,43.981,46.791,50.233,54.182,58.206,60.977,64.144,66.765,68.683,70.617,72.688,73.908,76.35,78.753,82.782,87.012,88.486,90.15,93.744,96.166,97.094,96.703,97,97.408,98.648,99.497,100.041,100,100.392,98.837,98.464,97.165,95.09,94.37
"226","219","        Video media rental","DVIDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,115.324,109.591,109.959,108.312,106.251,105.991,100.339,99.288,100,103.941,106.531,112.379,116.135,116.897,127.301
"227","220","      Gambling (91)","DGAMRG3",16.458,16.701,16.881,17.08,17.294,17.523,17.796,18.334,18.839,19.644,20.708,21.924,22.856,23.604,25.091,27.837,30.382,32.158,34.235,36.575,40.002,44.35,48.473,51.31,53.419,55.603,57.48,58.537,60.479,62.715,65.385,68.676,71.194,73.059,74.951,76.561,78.431,80.55,82.266,83.488,85.34,88.188,90.668,92.128,94.233,96.743,100,103.236,106.295,110.356,109.995,111.812,115.368
"228","221","        Casino gambling","DCASRG3",16.445,16.691,16.868,17.067,17.286,17.51,17.783,18.322,18.832,19.636,20.694,21.902,22.84,23.595,25.089,27.85,30.369,32.188,34.27,36.571,40.001,44.376,48.489,51.294,53.416,55.592,57.469,58.534,60.472,62.711,65.384,68.691,71.203,73.071,74.969,76.567,78.44,80.56,82.271,83.493,85.359,88.195,90.672,92.136,94.241,96.748,100,103.243,106.311,110.369,109.999,111.822,115.38
"229","222","        Lotteries","DLOTRG3",16.438,16.683,16.862,17.06,17.274,17.525,17.721,18.425,18.89,19.636,20.699,21.954,22.881,23.614,25.098,27.842,30.386,32.125,34.209,36.562,39.996,44.311,48.457,51.332,53.417,55.605,57.486,58.524,60.468,62.703,65.371,68.638,71.168,73.031,74.912,76.541,78.401,80.521,82.245,83.465,85.285,88.163,90.654,92.103,94.207,96.724,100,103.212,106.243,110.309,109.979,111.781,115.333
"230","223","        Pari-mutuel net receipts","DPARRG3",16.444,16.686,16.866,17.065,17.277,17.508,17.781,18.317,18.821,19.627,20.692,21.908,22.836,23.582,25.064,27.799,30.361,32.113,34.181,36.553,39.968,44.294,48.416,51.285,53.388,55.582,57.455,58.524,60.47,62.7,65.358,68.663,71.165,73.026,74.916,76.543,78.412,80.532,82.264,83.484,85.31,88.177,90.664,92.114,94.22,96.746,100,103.237,106.277,110.351,110.003,111.814,115.362
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRG3",16.571,16.881,17.033,17.303,17.517,17.98,18.519,19.254,19.985,21.312,22.401,23.285,24.978,25.776,26.701,28.806,31.062,32.637,34.387,36.282,38.473,41.261,43.842,46.239,48.067,49.95,51.862,53.765,55.258,57.042,59.535,62.246,64.915,66.472,67.931,69.651,71.309,72.962,74.437,76.185,78.731,82.838,86.51,89.444,92.865,96.278,100,103.557,107.793,112.603,116.373,118.736,122.171
"232","225","        Veterinary and other services for pets","DVETRG3",14.291,14.479,14.641,14.888,15.039,15.481,16.011,16.705,17.387,18.706,19.621,20.747,21.806,22.363,22.975,24.318,25.893,26.956,28.087,29.515,31.351,33.468,35.653,37.925,39.849,41.668,43.536,45.545,47.242,49.06,51.645,54.238,56.877,58.245,59.78,61.556,62.976,64.726,66.226,68.15,70.91,76.291,81.062,85.325,89.786,94.692,100,104.119,110.194,117.004,122.632,126.878,133.225
"233","226","        Package tours","DHOLRG3",15.674,16.117,16.463,16.695,17.028,17.321,17.729,18.361,18.977,19.927,21.246,23.015,24.25,25.213,26.229,28.65,31.226,33.725,36.202,38.595,40.6,43.392,45.644,47.602,49.167,50.663,52.575,55.241,56.655,57.501,59.759,62.491,65.053,66.964,68.739,70.269,72.449,74.356,76.369,78.434,81.882,85.551,88.935,91.642,95.413,97.72,100,103.564,106.776,109.416,110.822,111.199,111.279
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",28.144,29.055,28.821,29.16,29.7,30.205,30.548,31.264,32.132,33.353,34.972,32.594,38.746,40.619,43.07,49.222,55.186,58.177,62.47,66.018,70.251,76.633,81.759,85.079,86.109,88.723,90.569,90,90.385,93.676,96.231,99.524,102.633,104.101,104.064,105.872,107.003,106.911,106.146,105.523,104.187,103.045,102.622,100.842,99.855,99.616,100,101.455,100.837,102.514,103.811,102.883,102.603
