"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"54","46","    Farm product raw material wholesalers","PK42253",81.348,81.183,84.27,85.705,83.867,82.602,82.667,81.531,81.342,81.184,79.001,78.266,75.128,75.704,74.565,71.871,71.862,71.976,72.464,66.944,64.491,67.018,66.695,63.923,64.603,63.538,62.725,62.174,62.641,62.445,57.78,62.423,60.57,59.972,59.949,59.263,60.894,63.633,65.75,64.593,66.211,63.714,60.941,58.956,61.131,64.106,64.596,66.5,66.979,64.77,64.829,62.522,61.921,61.779,64.626,64.281,62.973,61.309,59.823,60.315,60.521,61.087,60.451,59.213,59.538,60.263,66.474,71.328,74.44,73.518,70.698,70.071,69.971,73.075,69.96,70.686,72.336,71.967,69.489,70.91,75.5,81.037,82.698,81.866,82.096,82.112,85.105,83.788,85.925,81.537,78.695,72.922,72.98,69.504,67.902,68.578,69.824,67.725,73.201,69.639,70.739,69.565,71.367,70.339,68.992,70.405,70.518,71.124,70.347,69.592,68.528,70.186,70.369,70.422,74.256,72.677,73.927,84.676,91.946,88.861,87.488,94.372,92.501,89.948,91.631,94.093,93.336,95.79,103.725,107.441,113.427,120.167,129.264,131.229,138.333,137.987,135.538,142.117,143.742,136.408,133.452,108.623,105.559,93.225,98.534,97.143,95.532,99.858,105.241,108.077,98.127,99.866,94.41,100.869,100.608,101.717,99.544,96.698,98.229,99.371,100.93,96.75,103.578,110.963,118.288,129.91,133.724,138.302,142.492,155.392,146.198,160.864,158.162,161.098,157.759,164.45,162.31,155.13,156.171,148.598,154.658,155.394,157.833,155.531,152.473,147.936,169.076,175.792,173.061,172.953,168.979,170.922,169.36,165.166,165.788,155.98,163.611,161.889,162.701,146.555,139.193,136.346,133.618,134.294,133.582,135.627,142.048,147.852,149.161,138.71,130.907,124.86,121.418,120.557,126.016,125.248
"55","47","    Chemical and allied products wholesalers","PK42263",62.868,62.756,62.445,62.225,62.186,62.048,62.227,62.501,62.475,62.302,62.378,62.343,62.201,61.809,62.146,61.913,61.867,61.773,61.692,61.468,61.302,61.227,61.339,61.192,60.956,60.636,60.456,60.432,60.656,60.888,61.14,61.242,61.709,62.278,62.597,62.826,63.092,63.483,63.907,64.127,64.338,64.727,65.62,65.218,65.329,65.345,65.39,65.57,66.216,66.579,66.658,66.2,66.055,65.764,64.612,63.996,64.526,63.81,63.422,62.78,62.797,62.702,63.439,64.264,64.317,64.417,64.905,65.304,65.543,66.101,66.193,65.964,67.304,69.528,70.381,68.771,68.746,69.018,68.481,68.694,68.569,68.807,68.837,69.517,71.06,71.143,71.21,72.176,72.474,73.27,74.107,75.759,77.232,78.094,78.911,79.108,79.337,79.951,81.392,81.432,80.885,80.307,81.387,81.829,84.993,88.572,87.962,88.161,89.303,89.342,89.319,89.53,90.757,92.044,92.395,93.052,91.871,91.419,90.353,90.905,91.089,91.084,91.752,92.215,94.015,94.509,95.566,94.032,95.184,96.869,100.26,99.96,102.42,103.004,105.148,107.391,110.928,113.494,118.768,117.914,119.308,111.404,104.7,98.087,97.181,97.548,97.324,96.796,97.833,99.683,100.017,101.215,101.994,102.171,103.189,104.994,106.767,108.595,109.862,110.737,110.169,108.404,107.095,107.784,108.653,109.974,112.371,114.277,117.481,120.768,122.353,126.028,128.581,128.635,128.575,128.294,128.282,126.088,123.938,122.612,122.354,123.961,126.896,127.7,126.402,121.668,120.388,120.411,121.357,121.582,120.819,121.017,123.143,125.805,124.801,123.522,123.538,123.654,122.804,122.682,122.363,121.55,120.618,121.181,122.523,123.209,122.525,123.483,121.975,122.179,123.273,122.902,123.689,122.354,122.122,119.379
"56","48","    Petroleum and petroleum products wholesalers","PK42273",44.123,42.731,40.797,38.275,36.572,35.364,34.713,36.002,35.324,35.977,35.904,35.831,33.106,31.378,29.178,29.051,28.515,27.259,27.219,25.287,25.218,26.363,25.7,23.85,25.279,23.876,26.232,31.498,31.09,30.855,34.053,36.503,37.871,37.344,39.895,44.117,44.811,49.991,52.889,46.993,46.754,52.448,51.456,50.134,54.133,53.93,56.555,54.741,52.93,52.373,48.726,50.368,51.164,49.522,44.432,45.195,47.832,39.487,37.678,35.106,34.88,35.832,40.11,44.297,42.659,42.598,44.508,44.99,47.037,50.765,49.035,50.536,55.79,66.06,66.764,51.718,46.842,51.184,52.3,54.011,52.014,52.242,54.241,58.403,63.028,62.858,61.838,63.017,66.186,64.728,67.648,69.791,71.405,81.302,83.184,75.599,76.95,81.539,86.833,86,81.183,86.626,91.672,98.244,110.73,119.633,102.463,106.899,109.868,105.099,105.695,113.876,115.795,119.387,116.928,120.743,104.066,99.75,103.502,109.688,101.93,107.815,110.76,115.671,118.406,116.635,120.564,116.073,125.11,131.299,155.924,151.788,155.58,158.746,166.514,164.659,176.99,186.092,190.097,175.332,178.776,144.278,105.52,78.399,83.545,84.053,75.912,80.732,88.267,102.716,92.781,111.029,111.641,118.672,126.824,131.567,147.42,140.354,142.303,139.495,125.454,115.136,113.527,120.006,128.029,141.795,146.763,161.173,168.651,180.316,189.289,191.685,182.682,170.428,170.617,163.512,176.913,175.767,184.203,190.598,190.482,195.673,196.467,188.931,171.905,161.415,159.352,170.183,188.189,188.486,177.004,176.266,175.673,189.62,172.31,166.434,164.882,169.871,174.507,177.248,177.446,175.586,170.509,175.488,173.293,175.989,170.455,170.864,170.209,175.636,173.369,171.687,165.283,154.105,147.759,126.521
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",78.719,78.545,78.952,78.952,79.126,78.719,78.893,78.952,77.963,77.905,77.905,78.196,78.545,78.486,78.486,78.486,78.428,78.428,78.428,78.37,78.312,78.952,79.242,79.359,79.533,79.765,79.01,79.068,79.242,79.126,79.94,79.417,79.533,79.591,79.475,79.824,79.882,80.347,80.231,79.824,82.207,82.091,82.091,82.614,82.614,83.021,82.556,83.137,84.01,83.661,84.3,84.3,84.417,84.591,84.533,84.591,84.417,84.998,85.056,85.289,85.23,85.172,85.114,85.172,85.289,85.463,85.405,85.289,85.463,85.579,86.161,86.219,85.754,85.463,86.742,86.8,86.568,86.568,86.8,86.451,85.87,87.207,86.451,87.905,89.823,89.881,90.056,89.998,87.789,87.73,87.73,89.009,87.905,88.661,88.951,88.428,91.568,91.8,92.091,91.858,92.091,91.974,92.207,92.207,92.149,92.498,92.556,92.614,93.021,93.254,93.951,94.184,93.719,93.835,93.893,91.8,91.8,91.8,92.381,93.428,92.73,93.428,91.684,92.556,92.614,93.021,93.021,93.312,93.428,93.951,94.009,94.067,94.474,96.102,96.219,96.335,96.219,96.451,96.509,96.567,96.567,97.614,97.556,97.498,98.835,99.823,99.881,99.823,99.881,100.114,99.823,99.184,99.532,101.044,101.16,101.102,101.044,100.87,101.102,100.986,101.044,100.986,100.928,100.986,101.567,103.718,103.893,104.125,104.3,104.242,104.3,104.532,104.474,104.474,104.416,104.416,104.765,107.032,107.207,107.265,107.207,107.265,107.73,107.73,107.73,107.672,108.718,109.009,109.59,110.346,109.76,109.801,110.053,110.234,110.607,110.584,110.765,110.438,110.506,110.754,110.714,110.576,110.499,110.893,110.94,111.028,111.231,111.942,112.201,112.107,112.109,112.229,112.097,110.504,110.618,110.963
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",64.791,64.721,64.929,65.254,65.235,64.835,64.778,64.726,65.21,64.96,64.909,64.809,64.572,64.382,64.194,64.277,64.583,64.49,64.763,64.736,64.913,65.058,65.08,67.642,67.709,67.512,67.633,67.694,67.631,67.793,67.66,67.829,69.305,69.341,69.337,69.352,69.06,70.521,70.308,69.895,70.233,70.297,70.308,70.736,71.106,71.589,71.687,71.861,73.78,73.854,73.992,73.659,74.283,73.891,73.731,73.651,73.497,73.072,73.359,73.192,73.059,73.008,73.576,74.411,74.566,74.661,75.094,75.39,75.718,75.615,75.463,74.24,74.711,75.343,76.048,75.851,75.954,75.816,75.032,75.21,75.46,75.839,76.316,76.784,77.286,77.695,78.153,78.627,78.665,78.385,78.587,78.706,78.78,79.1,79.335,79.244,80.25,80.434,81.432,81.903,82.161,82.689,83.174,83.459,83.628,84.049,84.12,84.582,85.326,85.172,85.309,85.701,85.806,85.571,85.896,85.859,85.466,85.776,86.3,86.532,87.058,89.109,90.278,90.956,91.176,91.584,92.434,92.388,92.939,93.604,94.717,95.841,97.927,99.548,101.81,103.987,106.314,109.978,113.254,114.525,115.003,112.998,110.058,105.656,102.561,100.262,101.097,101.115,101.24,100.027,98.607,98.379,98.239,98.652,99.657,100.135,100.789,100.973,101.932,102.414,102.911,102.986,103.043,103.304,103.911,105.231,106.504,108.093,110.617,110.549,111.895,113.597,113.341,113.561,114.856,114.502,115.211,115.159,116.015,115.5,115.482,115.478,115.725,115.786,116.294,115.935,117.149,117.859,118.217,118.034,117.421,117.841,117.847,118.067,118.252,117.897,118.342,117.987,117.912,115.94,115.776,114.7,113.857,115.002,115.057,116.04,116.622,117.73,118.565,118.109,116.775,116.715,117.038,115.95,115.944,116.372
"59","51","Retail trade industries","PK443",90.121,90.472,90.536,90.126,89.949,89.749,89.67,89.871,89.875,89.836,89.795,89.596,89.514,89.256,88.928,88.725,88.883,88.609,88.906,89.005,88.825,88.803,88.792,88.642,88.951,88.708,88.687,89.568,89.688,89.529,90.066,90.419,90.79,90.753,90.636,90.825,91.299,91.705,92.4,92.194,91.918,92.299,92.532,91.84,92.575,92.467,92.409,92.55,92.555,92.599,92.442,92.38,93.037,93.029,92.511,92.083,92.357,91.738,91.001,90.6,90.556,90.544,91.003,91.663,91.496,91.484,91.605,91.742,91.707,91.825,91.758,91.611,92.042,92.632,92.603,91.757,90.876,90.923,91.308,91.824,92.251,91.785,91.785,91.945,92.474,92.777,92.999,93.01,93.594,93.91,93.767,93.658,93.899,94.654,95.154,95.013,94.742,95.121,95.348,95.713,95.463,95.431,96.078,96.782,98.544,98.231,97.062,96.974,97.664,97.505,97.605,98.276,98.466,98.524,99.157,99.55,98.499,97.471,97.236,97.907,97.901,98.262,98.93,99.206,99.688,99.818,99.951,99.682,100.142,100.393,101.457,101.692,101.923,102.064,102.287,102.348,102.962,104.259,105.054,104.7,104.812,103.153,99.406,97.273,97.635,98.51,98.127,98.276,98.71,100.633,100.377,100.888,101.196,101.493,102.035,102.144,102.524,102.359,102.314,102.12,101.946,101.786,101.918,102.131,102.337,102.868,103.098,103.854,104.324,104.821,105.643,106.489,107.05,106.982,107.177,107.455,107.652,107.532,107.641,107.406,107.737,108.062,108.44,108.439,108.005,107.625,107.492,108.187,108.769,109.029,108.38,108.048,107.996,108.767,108.154,107.54,107.505,107.94,108,107.982,107.932,107.703,107.52,107.658,107.63,107.591,107.357,107.625,107.763,108.144,108.145,107.722,107.629,107.378,106.374,105.323
"60","52","  Motor vehicle and parts dealers","PK4413",95.887,96.382,96.929,95.969,95.859,95.375,95.463,96.089,95.682,96.032,96.256,95.698,95.885,95.731,95.413,95.591,95.486,94.344,95.493,96.174,95.753,95.821,96.22,95.923,96.455,96.114,95.775,95.776,96.479,95.835,96.669,96.936,97.162,97.53,97.009,96.918,97.527,96.972,97.445,98.166,97.669,97.45,98.265,97.136,98.028,97.853,98.136,99.069,98.677,98.685,98.734,98.572,98.15,98.512,98.606,98.785,97.845,98.511,98.642,99.165,98.607,98.219,98.278,98.402,98.404,98.403,98.734,98.822,98.887,98.814,98.638,98.422,97.791,97.576,97.69,97.448,97.31,97.052,97.082,96.773,96.616,96.107,96.046,96.035,96.148,96.342,96.466,96.595,96.758,96.811,96.672,96.379,96.758,97.106,97.732,98.001,98.161,98.324,98.296,98.467,98.805,98.796,98.518,98.184,98.501,98.912,99.137,99.238,99.408,99.447,99.513,99.576,99.616,99.55,99.731,99.753,99.742,99.688,99.509,99.416,99.519,99.468,99.695,99.742,99.75,99.71,99.859,99.977,100.14,100.227,100.473,100.5,100.342,99.991,99.764,99.422,99.307,99.164,99.219,99.092,98.936,98.583,98.374,97.989,98.148,98.267,98.376,98.666,99.072,99.622,99.489,99.918,100.739,101.792,102.659,103.25,103.681,103.951,104.057,104.263,104.401,104.642,104.889,105.113,105.139,105.141,105.224,105.274,105.587,106.059,106.304,106.948,107.787,108.414,108.486,108.569,108.59,108.505,108.645,108.672,108.739,108.756,109.181,109.383,109.561,109.476,109.629,109.535,109.511,109.589,109.688,109.916,109.86,109.949,110.181,110.187,110.204,110.233,110.267,110.264,110.393,110.318,110.272,110.262,110.089,110.256,109.769,110.222,110.179,110.036,110.111,110.149,110.019,109.998,109.802,109.801
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",159.97,160.496,160.12,159.753,159.564,159.671,158.642,158.298,158.3,157.849,157.179,157.348,156.434,156.06,155.979,156.039,154.102,154.319,154.606,153.533,153.466,152.455,151.781,151.06,150.922,150.053,149.312,149.122,148.125,147.435,146.377,146.562,146.321,144.8,143.989,143.468,143.485,143.058,143.539,142.912,142.397,141.912,142.13,141.213,142.005,140.718,140.013,138.902,139.009,138.264,137.579,137.101,136.063,135.768,135.489,134.431,133.472,133.204,133.062,131.729,131.309,130.653,130.218,130.107,130.055,129.587,128.958,128.426,127.87,127.554,126.732,126.155,125.696,125.203,124.753,124.376,123.257,122.583,122.314,121.904,121.371,121.327,120.81,120.386,120.311,120.311,120.086,119.963,119.385,119.467,118.809,118.215,117.914,117.709,117.218,116.768,116.74,116.197,116.26,116.205,115.986,115.243,114.981,114.463,114.233,113.901,113.754,113.814,113.594,113.125,112.721,112.369,111.784,111.388,111.293,111.253,110.652,110.607,110.191,109.765,109.293,109.402,109.049,108.659,108.326,108.132,107.615,106.837,106.652,106.195,105.735,105.376,105.384,105.207,105.241,104.102,103.879,103.835,103.835,103.835,103.613,103.456,102.746,102.159,101.974,101.874,101.647,101.488,101.173,100.807,99.815,98.798,98.608,98.298,98.033,97.508,97.187,96.464,96.207,95.596,95.296,94.597,93.996,93.647,93.44,93.292,92.659,91.913,91.761,91.639,91.406,91.421,91.248,91.161,90.861,90.386,89.824,89.503,89.076,88.829,88.602,88.328,87.976,87.44,87.189,86.704,86.481,85.94,85.624,85.434,85.176,84.729,84.72,84.64,84.28,83.633,83.522,83.371,82.574,82.234,81.966,81.683,81.379,80.804,80.928,80.296,80.086,79.824,79.345,79.108,78.704,78.402,78.046,77.901,77.005,76.322
"62","54","  Building material and garden equipment and supplies dealers","PK4443",99.601,100.224,100.638,100.857,101.039,100.477,100.67,100.177,99.653,98.832,98.924,97.933,98.191,98.564,98.687,98.15,97.652,96.869,97.009,96.925,96.283,95.23,95.154,95.402,95.271,96.118,96.521,96.516,96.917,98.229,99.046,98.34,97.175,96.208,96.185,96.358,95.728,96.829,97.58,96.89,96.336,96.349,95.828,95.356,95.596,95.913,96.606,96.875,96.708,96.654,96.434,95.498,98.298,98.767,97.578,96.663,95.941,94.68,94.254,92.562,94.403,94.769,95.184,95.516,95.277,95.077,95.08,95.143,94.73,94.409,94.429,94.238,94.28,94.643,94.449,94.176,94.136,94.116,94.415,94.577,95.368,95.399,95.468,95.173,95.736,96.668,97.423,98.261,98.566,98.114,97.921,98.565,98.801,98.248,97.77,98.061,98.858,99.567,99.824,99.998,99.577,99.97,99.828,99.686,100.148,100.456,99.886,99.971,100.458,100.951,101.117,101.193,101.074,100.749,100.607,100.377,100.603,99.906,100.267,100.516,100.647,100.988,101.225,101.041,100.957,101.27,101.237,100.767,100.73,100.554,100.464,100.506,100.235,100.247,100.506,100.56,100.972,100.701,101.086,101.409,101.702,101.534,100.928,100.866,100.271,100.193,100.011,100.164,100.412,100.602,100.67,99.701,99.674,99.437,99.409,99.366,99.522,99.847,100.233,100.753,101.057,100.341,99.839,99.378,99.293,99.332,99.156,99.324,99.842,100.26,100.81,100.833,100.847,100.676,100.864,101.534,101.475,101.654,101.503,101.447,101.868,102.438,102.639,102.819,103.032,102.998,102.843,102.872,102.706,102.759,103.241,103.249,103.886,104.384,104.519,104.882,104.448,104.091,103.887,104.172,104.355,104.345,104.174,103.95,104.4,105.057,104.983,104.398,104.262,104.284,104.299,104.622,105.066,104.975,104.505,104.445
"63","55","  Food and beverage stores","PK4453",72.243,72.537,72.333,72.414,72.406,72.797,72.661,72.736,72.836,72.86,73.366,73.231,73.552,73.658,73.623,73.539,73.749,73.98,73.773,73.929,74.251,74.218,74.494,74.734,75.253,75.33,75.097,75.337,75.439,75.548,75.559,75.927,76.506,76.194,76.719,76.629,77.215,77.496,77.476,77.632,78.014,77.916,78.396,78.622,78.449,78.643,78.151,78.763,78.703,79.093,79.43,79.682,79.977,80.127,80.734,80.586,80.902,81.031,80.509,81.133,80.779,81.129,81.164,81.671,81.179,81.26,81.385,81.453,81.5,81.382,81.63,81.632,81.797,82.179,82.362,82.268,82.208,82.718,82.915,83.293,83.559,83.748,84.164,84.574,84.487,84.639,84.972,85.116,85.839,86.043,86.136,86.198,86.086,86.677,87.018,86.94,86.795,86.686,86.864,87.56,87.573,87.506,87.758,87.86,88.188,88.245,88.383,88.429,88.758,88.642,88.775,88.747,88.801,89.033,89.288,89.532,89.654,89.72,89.605,89.674,90.311,90.965,91.412,91.748,92.115,92.583,92.869,93.116,93.513,93.923,94.461,94.746,95.304,95.741,96.028,97.069,97.559,98.344,99.444,99.906,100.446,100.626,100.322,99.959,100.064,100.023,99.916,99.943,99.707,100.159,99.877,100.023,99.824,99.984,100.156,100.32,100.472,100.612,100.811,100.847,100.911,100.861,101.018,101.14,101.449,101.664,101.828,102.193,102.625,103.269,104.16,104.549,104.991,105.174,105.552,106.147,106.804,106.965,107.015,107.231,107.501,107.552,107.895,108.001,107.917,108.146,108.238,108.381,108.315,108.617,108.767,108.911,108.887,109.1,109.211,109.233,109.082,109.393,109.571,109.682,109.627,109.648,109.585,109.631,109.686,110.002,110.46,110.828,111.434,111.571,111.812,112.062,112.249,112.291,112.395,112.514
"64","56","  Clothing and clothing accessories stores","PK4483",112.121,111.966,111.738,113.382,113.466,112.765,112.579,111.531,111.658,111.135,111.12,111.399,111.122,110.055,109.931,109.294,110.108,109.887,109.655,110.983,109.528,109.899,109.647,108.652,108.753,107.888,107.503,108.962,108.849,108.825,108.983,108.194,108.012,108.778,108.565,108.022,107.714,107.997,107.978,107.366,107.031,106.514,106.502,106.011,106.923,106.442,106.325,106.15,106.327,106.797,106.968,105.179,104.818,105.055,104.733,103.793,103.395,103.221,103.103,103.057,102.832,102.75,103.366,103.208,102.745,102.323,101.891,102.417,101.816,101.549,101.482,101.178,100.628,100.403,99.503,99.283,99.071,99.451,99.836,99.771,99.666,99.716,99.443,98.829,99.018,98.99,99.25,99.47,99.7,99.887,99.668,99.1,98.831,99.084,99.366,98.967,99.076,98.809,99.107,98.62,98.715,98.188,97.932,98.469,98.286,98.019,98.151,97.832,98.008,97.201,97.96,98.56,98.948,99.105,98.31,99.046,99.296,99.018,98.699,99.011,99.265,99.711,99.229,98.815,98.778,98.554,98.289,97.825,97.988,98.397,98.639,99.086,99.275,98.947,98.62,98.907,98.921,98.814,99.289,99.847,99.781,99.155,99.068,98.481,98.463,99.714,100.011,99.955,99.819,100.191,100.051,100.135,100.729,100.462,100.089,100.412,100.057,100.027,100.185,99.596,99.736,99.855,99.568,99.801,99.613,99.194,99.452,99.728,100.181,100.232,100.237,100.656,101.534,101.993,102.689,103.928,103.101,103.65,104.186,104.08,104.584,104.232,104.904,105.106,105.286,105.204,104.762,104.836,105.391,106.095,105.58,105.213,105.857,105.95,105.229,105.018,105.135,105.527,106.15,106.356,105.879,105.451,105.258,105.622,105.41,105.003,105.328,105.171,105.402,105.973,106.116,106.002,105.932,105.579,104.809,103.927
"65","57","  General merchandise stores","PK4523",96.479,96.991,97.333,97.295,97.567,97.319,97.17,96.857,96.764,96.651,96.541,96.733,97.016,96.57,96.714,96.204,96.997,96.69,96.717,97.01,96.806,96.997,96.702,96.522,97.186,96.413,96.362,96.887,96.919,96.711,97.035,96.708,96.796,96.879,97.02,96.657,97.134,96.671,96.56,96.723,97.168,96.697,96.882,96.679,96.941,96.614,96.471,96.645,96.712,96.685,96.886,96.275,96.017,96.171,96.149,95.683,95.818,95.735,95.652,95.377,95.184,95.342,95.303,95.609,95.216,95.125,95.007,95.14,94.945,94.753,94.767,94.555,94.449,94.479,94.324,94.259,94.016,94.221,94.442,94.553,94.571,94.595,94.615,94.549,94.637,94.785,94.977,95.057,95.343,95.466,95.394,95.197,95.165,95.58,95.791,95.561,95.647,95.575,95.67,95.958,96.043,95.812,95.884,96.032,96.21,96.255,96.246,96.282,96.521,96.355,96.647,96.804,96.933,97.052,97.12,97.365,97.379,97.246,96.957,97.106,97.279,97.681,97.884,97.906,98.014,98.092,98.108,97.94,98.138,98.489,98.812,98.946,99.184,99.258,99.308,99.67,99.874,100.192,100.718,101.02,101.327,101.131,100.379,99.628,99.776,100.221,100.168,100.179,100.063,100.515,100.111,100.059,100.025,99.788,99.606,99.513,99.551,99.461,99.489,99.198,99.019,98.865,98.748,98.688,98.702,98.631,98.535,98.631,98.829,99.045,99.348,99.599,99.842,99.932,100.186,100.529,100.598,100.603,100.558,100.538,100.725,100.669,100.826,100.609,100.426,100.324,100.222,100.18,100.122,100.307,100.094,99.776,99.813,99.848,99.506,99.172,99.133,99.216,99.042,98.94,98.711,98.563,98.42,98.279,98.253,98.206,98.266,98.134,98.095,98.124,98.024,97.837,97.845,97.649,97.007,96.538
"66","58","    Department stores","PK45213",106.589,107.278,107.857,107.767,108.149,107.99,107.421,107.001,106.985,106.876,106.378,107.027,106.921,106.353,106.662,105.822,106.972,106.366,106.426,106.822,106.462,106.613,106.34,105.798,106.19,105.368,105.539,106.117,106.135,105.838,106.013,105.679,105.772,105.837,105.962,105.768,105.628,105.17,105.201,105.119,105.764,105.049,105.08,104.8,105.088,104.789,104.649,104.707,104.424,104.637,104.651,104.153,103.423,103.565,103.451,103.033,102.784,102.925,102.647,102.264,101.839,101.918,101.983,102.138,101.831,101.637,101.401,101.635,101.292,101.158,101.093,100.783,100.528,100.392,100.05,100.014,99.782,99.932,100.183,100.183,100.108,100.124,99.957,99.637,99.764,99.878,100.039,100.141,100.256,100.353,100.177,99.825,99.787,100.119,100.268,99.872,100.166,100.066,100.19,100.206,100.338,99.999,99.811,99.882,99.706,99.742,99.839,99.828,99.925,99.605,100.07,100.248,100.369,100.425,100.175,100.459,100.68,100.63,100.222,100.324,100.334,100.603,100.564,100.368,100.246,100.026,99.886,99.539,99.589,99.924,100.039,100.177,100.274,100.004,99.792,99.879,99.886,99.782,99.996,100.351,100.507,100.232,100.1,99.702,99.814,100.476,100.567,100.505,100.374,100.458,100.069,99.882,100.033,99.616,99.15,99.078,98.995,98.91,98.928,98.428,98.233,98.151,97.893,97.751,97.584,97.229,97.051,96.986,97.155,97.173,97.14,97.363,97.681,97.904,98.238,98.734,98.454,98.58,98.643,98.547,98.852,98.716,98.988,98.872,98.783,98.652,98.509,98.279,98.284,98.599,98.299,97.826,98.097,98.005,97.504,97.198,97.211,97.245,97.106,97.057,96.734,96.519,96.382,96.306,96.336,96.133,96.169,95.876,95.719,95.805,95.71,95.439,95.409,95.2,94.416,93.784
"67","59","    Other general merchandise stores","PK45293",87.931,88.192,88.168,88.22,88.337,87.921,88.451,88.282,88.061,87.937,88.439,87.921,88.852,88.563,88.473,88.429,88.743,88.863,88.845,89.011,89.024,89.283,88.946,89.258,90.345,89.591,89.237,89.723,89.784,89.685,90.221,89.892,89.979,90.092,90.265,89.7,90.947,90.454,90.17,90.634,90.86,90.668,91.042,90.922,91.166,90.799,90.644,90.956,91.417,91.127,91.539,90.8,91.023,91.193,91.262,90.738,91.263,90.96,91.064,90.89,90.91,91.142,91.005,91.454,90.977,90.976,90.958,91.006,90.934,90.69,90.772,90.64,90.656,90.822,90.813,90.726,90.473,90.723,90.925,91.122,91.212,91.243,91.404,91.525,91.585,91.758,91.974,92.04,92.45,92.591,92.595,92.506,92.478,92.955,93.209,93.094,93.037,92.984,93.059,93.532,93.585,93.423,93.664,93.863,94.267,94.318,94.241,94.306,94.634,94.565,94.749,94.893,95.028,95.184,95.444,95.666,95.558,95.378,95.159,95.337,95.605,96.084,96.427,96.572,96.812,97.057,97.161,97.092,97.372,97.732,98.168,98.3,98.613,98.867,99.054,99.558,99.863,100.396,101.079,101.354,101.736,101.579,100.519,99.595,99.759,100.102,99.98,100.024,99.915,100.541,100.13,100.142,100.021,99.868,99.819,99.717,99.811,99.718,99.751,99.557,99.385,99.197,99.145,99.121,99.217,99.274,99.215,99.383,99.594,99.898,100.35,100.613,100.824,100.855,101.073,101.351,101.569,101.522,101.431,101.444,101.581,101.558,101.669,101.41,101.189,101.099,101.012,101.046,100.963,101.098,100.918,100.659,100.606,100.691,100.408,100.064,100.005,100.106,99.919,99.797,99.602,99.479,99.333,99.169,99.124,99.133,99.201,99.127,99.131,99.139,99.037,98.88,98.901,98.709,98.117,97.705
