"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"123","111","  Excluding imputations (109-110)","W529RC1",6.3,4.8,3.4,2.3,2.3,2.5,3.3,3.6,4.5,3.2,3.5,3.9,4.8,5,6.7,7.4,8.7,10.2,10.9,15.1,15.4,16.2,18.8,18.5,19.3,18.5,20.6,22.4,23.4,23.4,28.1,28.6,28.5,31,32.5,34.6,38.6,44.9,48.4,56.2,61.7,68.3,76.2,90.6,109.3,149.5,145.3,173.6,206.2,244.6,298.7,350.6,393.4,386,410.4,511.2,524.3,568.6,635.4,706.6,768.4,810.1,749.9,824,880.8,1010.5,1138.1,1219.4,1354.4,1435.3,1591.1,1873.9,1731.4,1756.3,1898.7,2240.1,2608.8,2977.6,3227.8,3332.3
"124","112","  Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9
"125","113","    Imputations (166)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,7.2,5.3
"126","114","    Excluding imputations (112-113)","W515RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1248.4,1471.6,1393.8,1424.6,1539.1,1791.9,2023.4,2233.4,2362.5,2533.6
"127","115","  Income payments to the rest of the world","A655RC1",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3,3.3,4,5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,85.9,93.4,105.2,128.3,151.2,154.1,138.2,122.7,124,160,199.6,214.2,256.1,268.9,291.7,342.8,271.1,264.4,284.6,357.4,475.9,648.6,746,667.3
"128","116","    Imputations(150+165)","W532RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,4.8,4.4,3.9,3.3,4.4,5.8,7.1,7.1,7.2,6.3,6.5,6.9,6.7,6.5,6.5,6.1,6.3,5.7,6.4,5.4,5.9,7.4,9.9
"129","117","    Excluding imputations (115-116)","W533RC1",0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1.3,1.6,1.6,1.6,1.9,2.1,2.4,2.8,3,3.7,5.3,6,5.9,7.1,10.3,13.3,13.4,14.3,15.7,23.5,35.4,44.1,58.6,63,61.3,82.4,81.4,88.6,100.7,124.4,147.9,149.7,132.5,115.6,117,152.8,193.3,207.7,249.1,262.3,285.1,336.2,265,258.1,278.9,351,470.5,642.7,738.7,657.4
"130",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","118","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1",20.1,14.6,9.1,3.6,3.8,6.8,9.4,12.7,16.2,12.4,14.9,19.6,30.2,38.9,43.1,42.5,33.6,39.6,48.8,57.5,47.4,62,78.7,76.9,79.1,76.5,90.4,97.6,99.5,91.8,106.6,110.3,113.7,125.2,132.3,144.2,160,174.9,175.1,186.4,201.3,199.7,220.2,246.2,300.2,311.6,313.2,365.4,417.9,502.4,580.2,588,682.6,626.2,652.1,784.9,780.7,777.1,815.1,892,980.3,1001.8,1031,1042.3,1094.2,1203.5,1271.6,1370.3,1511.7,1569.1,1637,1666.2,1592.3,1538.9,1569.4,1716.3,1823.7,1953.8,2025.4,1925.2
"132","119","  Imputations (176+182)","W558RC1",5.4,5,4.4,2.8,2.4,3.3,3.7,5.3,5.2,5.7,6.5,6.8,13.8,30.2,40.2,37.8,25.8,10.6,15.4,21.3,23.3,29,35.4,40.2,42.6,43,45,45.8,46,47.6,55.5,53.2,55.5,58.9,61.3,63.9,66.1,69.2,72.9,77.4,79.3,78.5,87.5,99.5,110.2,114.1,122.8,145,171.5,197.3,211.8,209.7,216.1,214.9,266.2,306.9,331.5,373.3,402.7,416.6,429.9,436.8,433,468.7,488.3,524.3,527.8,572.8,604.6,660.1,716.3,757.9,803.9,860.8,937.2,1056.1,1165.9,1192.4,1106.8,1004.8
"133","120","  Excluding imputations (118-119)","W559RC1",14.7,9.6,4.7,0.8,1.4,3.4,5.7,7.3,10.9,6.7,8.3,12.8,16.4,8.7,2.9,4.7,7.9,28.9,33.4,36.2,24.1,33,43.2,36.7,36.5,33.5,45.4,51.8,53.5,44.2,51,57.2,58.2,66.4,71,80.2,93.9,105.7,102.2,109,122,121.2,132.7,146.7,190,197.5,190.3,220.4,246.5,305.1,368.4,378.3,466.5,411.3,385.9,478,449.2,403.8,412.5,475.4,550.4,565,598.1,573.6,606,679.2,743.7,797.5,907.1,909,920.7,908.3,788.4,678,632.2,660.2,657.8,761.5,918.5,920.3
"134","121","Net saving","W201RC1",9.7,5.6,-0.5,-4.4,-4.1,-1.4,1.8,3.4,7.2,2.5,4.3,8.8,18.8,26.1,28.4,20.4,8.7,15.3,19.9,29.6,16.4,30.7,41.3,37.9,36.5,32.8,45.2,52.3,48.8,37.5,50.7,54.7,56.1,64.3,69.8,77,87.7,92.3,87.6,91.6,99.3,84.5,91.5,110.1,151.4,138.1,106.5,133.8,164.9,214.9,234.3,198.6,252.7,187.9,151.3,279,232.9,170.8,211.2,290.5,272.7,226.4,227,187.9,180.4,275.5,349.6,431.8,561.9,633.9,613.6,615.8,439.4,255.9,198.7,291.4,362,513.7,280.2,-23
"135","122","  Imputations (176+182-140-144-181)","W534RC1",3.6,3.2,2.6,1.3,0.9,1.6,1.9,3.4,3.1,3.5,4.3,4.4,10.8,25.6,32.8,27.6,14.3,-1.7,2.8,9.3,12.1,18.3,23.6,27.1,28.4,27.9,28.9,28.4,27.5,28.5,35.6,32.5,34.1,36.4,37.6,39.2,40.1,41.5,43.2,45.4,44.7,41.2,47.6,57.2,64.1,61.5,64,81.6,102,119.9,125.1,111,105.4,94.4,139.5,172.3,188.6,220.3,238.4,240.8,241.6,235.5,220.2,247.2,254.7,279.2,270.2,306.3,327.5,371.2,409.9,431.2,459.2,500.9,557,643.8,715.7,703.4,587.4,465.4
"136","123","  Excluding imputations (121-122)","W535RC1",6.1,2.4,-3.1,-5.7,-5,-3,-0.1,0,4.1,-1,0,4.4,8,0.5,-4.4,-7.3,-5.7,17,17.1,20.2,4.3,12.4,17.7,10.8,8.1,4.9,16.3,23.9,21.3,9,15,22.2,22,28,32.2,37.8,47.7,50.7,44.4,46.2,54.6,43.3,43.8,52.9,87.3,76.7,42.5,52.2,62.9,95,109.2,87.6,147.3,93.5,11.8,106.8,44.3,-49.4,-27.3,49.7,31.1,-9.1,6.7,-59.2,-74.3,-3.7,79.4,125.5,234.3,262.7,203.7,184.6,-19.7,-245,-358.3,-352.4,-353.7,-189.7,-307.2,-488.4
"137","124","  Personal saving","A071RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.6,38.6,31,15.5,7.3,13.2,9.4,14.9,19.3,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4
"138","125","    Imputations (176-140-144)","A2121C1",1.6,0.8,0.4,-0.1,-0.3,-0.2,0.1,0.3,0.5,0.5,1,1.3,1.7,0.3,-0.3,-0.4,0,5.2,8.4,11.4,10.6,15.9,14,13.7,14.2,15.8,18.9,17.4,15.7,14.9,19.8,18.1,17.2,18.3,20.1,21.3,21.9,20.1,19.9,22.8,23.9,21.8,31.3,40.8,45.1,36.8,35.8,52.3,74.2,85.7,83.5,63.8,58.6,48.4,86.8,107.6,109.5,132.7,146.2,153,149.1,132.6,120,148.7,165.8,194.1,178.8,206.6,223.3,260.2,281.1,293.7,309.6,334.7,383.9,464.9,532.4,503.1,368.2,228.6
"139","126","    Excluding imputations (124-125)","A2122C1",2.1,2.1,2,-0.4,-0.5,0.7,2.4,3.9,3.8,0.8,2.2,3.1,9.7,28.3,34.9,39,31.1,10.3,-1.1,1.8,-1.3,-1,5.4,6.7,7.1,4,0.6,8.3,11.1,13.3,6.3,8.2,14.7,15.1,13,19.3,20.8,24.2,34.3,29.7,28.5,47.6,49.1,36.6,57.9,77.4,90.2,70.5,51.1,56.7,74,132.5,178.1,215.6,140.2,188.6,144.1,113.8,77.3,103.6,115.9,144.1,193.2,199.3,119.6,76.6,107.4,74.5,57.1,81.2,-73.3,-80.6,-104.7,-52.5,-94.2,-161.1,-404.7,-268.1,-189.3,57.8
"140","127","  Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-214.8,-682.7
"141","128","    Imputations (182-181)","A2010C1",2,2.4,2.2,1.5,1.2,1.8,1.8,3.1,2.7,3,3.3,3.1,9,25.3,33.1,28.1,14.4,-6.9,-5.6,-2.1,1.5,2.4,9.6,13.4,14.2,12.1,10,11,11.7,13.6,15.9,14.4,16.9,18,17.5,18,18.2,21.5,23.4,22.6,20.8,19.4,16.3,16.3,19,24.7,28.2,29.3,27.9,34.3,41.6,47.2,46.8,46.1,52.8,64.6,79.1,87.6,92.3,87.9,92.5,102.8,100.2,98.4,88.9,85.1,91.4,99.7,104.2,111,128.9,137.5,149.5,166.2,173,179,183.3,200.4,219.2,236.8
"142","129","    Excluding imputations (127-128)","A2011C1",0.6,-0.8,-3.3,-2.1,-1.7,-2.7,-2.6,-4,-0.4,-2.4,-3.3,-1.4,-4.9,-32.5,-45.8,-53.4,-41.7,3.5,12.3,7,-5.6,4.5,2.7,-6.7,-9,-10.6,-0.8,0.9,-4.3,-16.2,-8.8,-2.9,-10.1,-10.4,-6.5,-10.7,-8.4,-11.4,-25.7,-17.5,-4.2,-27.8,-38.5,-25.6,-15.1,-29.8,-96.4,-75.6,-60.9,-44.5,-42.6,-95.1,-96,-183.5,-224.1,-212.2,-235.3,-261.5,-229.7,-209.1,-206.4,-273.1,-324.4,-402.3,-370.1,-297.3,-288.4,-225,-128.1,-30.5,11.8,89,-125,-473,-588.2,-566.8,-440.4,-353.1,-434,-919.5
"143","130","Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"144","131","  Imputations (140+144+181)","A2092C1",1.9,1.9,1.7,1.5,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.4,3,4.6,7.4,10.1,11.4,12.3,12.6,12,11.2,10.7,11.9,13.1,14.2,15.1,16,17.4,18.6,19,19.9,20.7,21.4,22.5,23.7,24.7,26,27.6,29.6,32,34.6,37.3,39.9,42.3,46.1,52.7,58.8,63.4,69.4,77.3,86.7,98.6,110.8,120.5,126.7,134.6,142.9,153,164.2,175.8,188.2,201.3,212.7,221.5,233.5,245.1,257.6,266.4,277,288.9,306.4,326.7,344.8,359.9,380.2,412.3,450.2,488.9,519.4,539.4
"145","132","  Excluding imputations (130-131)","A2093C1",7.8,7.6,7.1,6.2,5.9,6,6,6.2,6.9,7,7,7.3,8.1,9.1,9.1,9.4,9.7,10.8,14,16.5,17.9,19.2,21.9,23.2,24.5,25.5,26.8,29.7,32.3,34.2,35.5,35.9,36.8,38.1,39.6,41.7,44.7,48.8,53.3,58.4,64.5,71.1,77.9,84.8,94.7,111,131.6,144.8,162.4,184.1,212.2,245.4,282.6,313,324.4,339.7,362.6,385.4,406.9,435.2,463.2,489.9,511.6,522.9,544.5,574,611.8,646.1,686.8,731.6,788,857.7,911.5,945.1,973.9,1020.5,1091.2,1171.8,1240.6,1307.7
"146",NA,"          Specific imputations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","133","  Imputed rental of owner-occupied housing","A2013C1",6.6,6.2,5.7,4.9,4.3,4.1,4.2,4.3,4.5,4.7,4.7,4.9,5.3,5.8,6.3,6.8,7.3,8.3,9.5,10.9,12,13.5,15.3,17.2,19.2,21,22.7,24.5,26.4,28.4,30.6,32.9,35,37.4,39.6,41.9,44.6,47.3,50.4,54,59,63.8,70,76.7,84,92.8,101.9,111.9,124.7,141.8,160.7,182.5,205.3,222.3,240.1,262.2,284.7,308.3,333.2,361.7,389.3,417.6,441.8,468.2,494.4,532.8,566.6,599.5,636.3,681.1,727.7,777.7,838.8,880.1,923.4,973.7,1057,1124.8,1158.8,1202.8
"149","134","  Intermediate inputs","A2014C1",0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.6,2.2,2.6,2.8,3.1,3.3,3.4,3.6,3.6,3.7,3.9,4,4,4.1,4.1,4.1,4.2,4.3,4.6,4.9,5.1,5.5,6.5,7.4,8.5,9,10.5,12.3,14.4,15.8,18.6,22.7,27,31.1,32,33.6,31.9,33.8,38.5,41.8,48.1,52.9,57,61.1,63.6,67.3,73.2,77,82.8,86.5,91.9,97.6,111.4,112.2,118,132.3,146.9,175,182.8,208,216.5,203.1,173.1
"150","135","  Taxes on production and imports","A2016C1",1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,1,0.9,1,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.8,2,2.2,2.5,2.7,3.1,3.6,4,4.5,4.8,5.3,5.9,6.4,7,7.7,8.3,9,10.1,11.4,12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.5,42.5,45.2,47.9,52.4,55.8,60.3,64,68.6,70.9,70.9,74.3,74.4,76.8,79.5,81.1,83.9,86.6,91.5,98.7,104.7,111.6,118.7,126,134,138.2
"151","136","  Subsidies","B1154C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6
"152","137","  Net interest (186-156-164)","A2015C1",0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.8,10.7,11.5,12.2,13.1,14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,142.2,156.6,165.9,176.2,190.2,205,211.9,213.6,204.7,204.9,221.9,231.3,246.2,257.7,276.1,303.2,324.9,341.2,348.2,371.9,423.9,491.2,541.8,557.9
"153","138","  Current transfer payments","W536RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,8.8,6.5
"154","139","  Rental income of persons with capital consumption adjustment (133-134-135+136-137-138-140)","B1156C1",2.9,2.5,2.2,1.8,1.4,1.1,1.2,1.2,1.4,1.5,1.6,1.6,1.8,2.1,2.5,2.8,3,3,3,3.2,3.6,4.3,4.9,5.9,7,8,8.4,8.6,9.1,9.6,10.5,11.5,12.2,13,13.5,13.6,13.9,14.4,14.9,14.5,14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,71.1,123.9
"155","140","  Consumption of fixed capital","B2607C1",0.9,0.9,0.8,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,2,2.3,2.5,2.8,3.2,3.4,3.7,3.9,4.2,4.5,4.8,5,5.2,5.5,5.6,5.8,6,6.3,6.8,7.3,7.8,8.5,9.5,10.1,11.1,12.3,13.9,16,17.9,19.7,22.5,26.3,30.5,35,38.8,41.4,43,45.5,47.9,51.2,54.9,58.9,62.9,66.4,68.9,71.3,75.8,80.9,86.6,91.2,96.6,102.3,110,118.5,127.7,135,146.2,163.5,181.4,199.2,207.9,206.8
"156","141","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.3,8.6,9.3,10.1,11.4,12.9,14.9,17.1,19.3,21.3,24.1,24.8,27,28.5,31,33.6,36,38.7,41.1,44.6,45,47.1,49.2,51.7,54.9,58.4,62,65.5,68.5,71.3,75,79,83.4,88.4,93.2
"157","142","  Taxes on production and imports","B1320C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.7,1.8,2,2.1,2.2,2.5,2.6,2.9,3.1,3.4,3.6,3.6,3.9,3.9,4,4.3,4.4,4.7,4.9,5.1,5.6,5.9,6.3,6.6,7.1,7.8,8.3
"158","143","  Net interest (187+190)","B1131C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.6,8.7,9.7,10.4,10.8,11.4,11.9,13.8,12.7,13.4,14.5,15.2,15.6,15.9,15.8,15.8,15.2,14.2,13.4,12.3,11.2,11.4,11.8
"159","144","  Consumption of fixed capital","B1157C1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.4,2.7,3,3.3,3.7,4.3,5.1,6,6.6,7.3,8.2,9.3,10.6,11.8,12.9,13.6,14.4,15.2,16.2,17.3,18.6,20.2,22.1,23.8,25.5,27.2,28.5,29.8,30.7,32.2,34.8,37.8,41.3,44.6,47.7,51.2,55.4,60.1,65,69.2,73.1
"160","145","Financial services furnished without payment (146+151)","W537RC1",2.1,1.8,1.6,1.3,1,1,1.1,1.3,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.2,2.9,3.1,3.4,3.6,3.9,4.3,4.8,5.5,5.8,6.5,7.3,7.7,7.7,8.6,9.5,9.8,10.3,10.4,11.6,12.4,13.9,15.3,17.2,21.6,24.7,25.6,27.9,32.6,39.5,44.2,46.8,52.4,63.5,73.4,81.3,89.6,94.3,105.4,112,121.9,142.1,150.2,157.1,154.1,159,169.6,184.8,191.9,203.3,209.5,221.2,241.6,256.9,275.7,300.2,302.2,317.2,326.2,351.5,370.9,390.6,427.4,444.5
"161","146","  Depositor services","B1310C1",2,1.7,1.5,1.2,1,1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.6,1.8,2,2.3,2.3,2.4,2.4,2.6,2.7,3,3.6,3.8,4.4,4.8,5,5,5.6,6.2,6.4,6.6,6.5,7.5,7.7,8.3,9.4,10.2,13.8,17.5,20,21.6,21.5,25.9,40.5,35.6,37.7,41,38.7,37.7,36,56.8,89.8,80.3,95.9,103.5,101.2,95.9,83.7,98.6,122.7,137.9,130.6,131.3,126.5,143,160.8,172.6,189.7,195,203,213.4,197.1,215.7,206.8,190.3,243.3,290.3
"162","147","    Persons \2\","B1611C1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,1,1.1,1.1,1.1,1.2,1.2,1.3,1.8,1.9,2.3,2.6,2.6,2.5,2.8,3.1,3.2,3.4,3.2,3.8,4,4.4,4.9,5.2,7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.4,60.2,66,70.1,68,63.7,71.4,85.6,100.1,99.2,99.6,96.3,106.1,117.8,128.8,140.9,148.2,150.3,155.7,147.8,162.6,166,163.3,191.4,210
"163","148","    Government","W538RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.3,0.4,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,1,1.1,1.4,1.8,2.3,2.4,2.3,2.4,3.2,3,3.2,2.5,1.8,1.3,0.8,2.3,3.3,2.7,4.7,5.1,3.9,3.3,3.1,3.6,4.9,4.7,4,3.9,3.8,4.3,4.8,5,6.1,6.1,5.4,5.9,5.3,5.5,5.1,5.2,6.7,8.1
"164","149","    Private enterprises","W539RC1",0.9,0.8,0.7,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.2,1.3,1.3,1.5,1.7,1.8,1.7,2,2.3,2.3,2.3,2.4,2.6,2.6,2.9,3.3,3.6,4.8,6.2,7.1,7.5,6.8,8.1,14.1,11.5,11.8,12.4,11.6,12.8,13.7,25.3,31.3,26,26.5,27.9,23.1,21,13.9,19.5,26.8,26.4,20.7,21.2,20.8,26.8,32.1,33.1,37.1,35.3,42.2,46.9,40.1,43.3,31.7,18,39.7,63.6
