"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"191","184","P1INCG D           Intrastate toll calls","P1INCG3",74.904,76.083,76.472,76.471,76.481,76.447,75.491,73.824,74.781,74.784,75.751,76.703,80.479,84.968,87.149,90.891,93.817,97.076,98.208,99.111,100.149,98.917,101.997,109.153,116.923,123.355,124.751,124.833,122.118,117.892,112.365,109.705,106.887,104.391,103.415,102.546,97.566,100.595,103.84,105.477,104.435,100,97.11,93.653,85.159,78.523,76.051
"192","185","P1ITCG D           Interstate toll calls","P1ITCG3",94.305,95.766,96.104,96.077,96.171,96.211,94.993,92.707,93.946,93.97,95.197,96.433,101.117,106.716,109.428,114.224,117.811,121.962,123.353,123.295,122.5,124.368,134.731,148.772,152.148,148.634,142.438,132.631,113.033,108.427,104.857,101.972,100.997,101.373,103.724,111.983,110.919,115.195,113.999,111.05,107.908,100,96.039,91.477,83.929,75.558,70.949
"193","186","P1DMSG C       Domestic service (42)","P1DMSG3",13.885,14.74,14.92,15.321,15.622,16.139,16.907,17.845,18.49,20.35,21.802,23.601,25.003,26.255,28.123,30.9,33.251,37.698,40.682,43.561,47.852,51.676,56.148,59.356,60.557,62.141,64.018,65.414,66.719,68.925,70.824,72.685,76.766,79.254,81.301,82.834,85.78,88.256,90.528,93.083,95.803,100,103.773,107.616,110.301,112.752,116.63
"194","187","P1DMCG D         Domestic service, cash","P1DMCG3",13.154,14.072,14.254,14.681,14.982,15.528,16.32,17.238,18.029,19.976,21.44,23.268,24.726,25.825,27.408,30.209,32.646,37.216,40.129,42.866,47.083,50.885,55.417,58.799,60.104,61.655,63.684,65.075,66.26,68.445,70.107,71.735,76.04,78.755,80.87,82.377,85.397,87.826,90.12,92.792,95.617,100,103.816,107.91,110.639,112.936,116.982
"195","188","P1DMIG D         Domestic service, in kind","P1DMIG3",21.105,21.33,21.492,21.641,21.942,22.181,22.716,23.862,23.019,23.937,25.243,26.699,27.464,30.379,35.435,37.895,39.358,42.495,46.201,50.599,55.653,59.694,63.675,65.377,65.678,67.585,68.078,69.538,71.983,74.413,78.695,83.111,84.618,84.647,85.938,87.758,89.933,92.896,94.951,96.24,97.817,100,103.323,104.672,106.921,110.986,113.085
"196","189","P1OPOG C       Other (43)","P1OPOG3",14.014,14.324,14.502,14.682,15.539,16,16.485,17.02,17.728,19.102,20.122,20.981,23.113,24.292,25.191,27.837,29.513,33.583,35.363,37.819,40.769,43.829,48.83,53.296,55.286,57.271,60.783,62.928,64.189,67.676,69.64,70.96,76.295,78.674,80.813,82.285,86.735,89.057,91.302,93.259,96.338,100,104.949,109.488,114.798,117.811,122.065
"197","190","P1MSEG D         Moving and storage","P1MSEG3",14.121,14.33,14.462,14.736,15.01,15.353,15.969,16.372,16.922,17.668,18.561,19.38,20.878,22.11,23.605,26.675,28.515,30.771,33.014,35.468,39.017,43.861,48.132,52.035,55.169,58.744,62.272,65.215,66.76,68.927,70.633,72.261,76.604,79.332,81.499,83.011,86.051,88.535,90.793,93.815,96.262,100,104.055,106.806,109.277,110.745,115.782
"198","191","P1FING D         Household insurance","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","192","P1FIPG D           Household insurance premiums","P1FIPG3",22.536,22.468,22.567,22.727,23.4,24.525,26.161,27.682,29.246,30.627,31.947,33.185,35.097,36.015,36.368,36.324,38.446,42.209,45.126,46.727,49.614,54.138,58.373,62.641,65.679,67.172,68.91,71.698,73.853,76.469,78.4,79.649,81.118,82.875,85.24,88.181,91.118,93.13,95.688,96.335,97.754,100,102.474,104.894,110.729,112.11,113.395
"200","193","P1FIBG D           Less: Household insurance benefits paid","P1FIBG3",47.707,47.839,47.58,47.306,47.092,47.05,46.794,47.229,47.898,49.354,50.984,52.316,53.527,54.377,55.42,60.165,65.809,68.413,70.658,73.911,78.111,83.419,88.678,92.779,94.529,95.343,95.774,96.23,97.57,99.02,99.373,100.479,101.277,102.672,103.14,104.555,103.814,102.939,101.757,101.859,100.611,100,98.071,95.761,92.869,91.314,90.345
"201","194","P1RCLG D         Rug and furniture cleaning","P1RCLG3",15.576,16.03,16.185,16.368,16.564,16.92,17.197,17.994,18.789,19.459,20.342,21.089,21.816,22.024,22.809,25.38,28.115,29.833,31.554,34.847,39.472,45.064,50.467,54.466,57.487,60.738,63.787,66.502,69.459,72.428,76.203,79.603,82.916,84.844,87.205,89.486,90.731,92.262,94.542,95.919,98.012,100,103.606,106.78,109.2,112.235,114.829
"202","195","P1EREG D         Electrical repair","P1EREG3",15.039,15.428,15.69,15.754,15.757,16.017,16.472,17.246,18.09,19.127,20.743,22.369,24.439,25.479,27.034,30.278,33.968,36.441,38.183,40,42.647,45.87,49.552,53.372,56.107,59.13,61.697,63.606,65.459,67.394,68.496,70.79,73.033,76.728,80.663,82.03,83.555,86.925,89.133,91.27,96.025,100,107.037,112.12,117.385,124.865,132.041
"203","196","P1FREG D         Reupholstery and furniture repair","P1FREG3",19.698,19.954,20.209,20.601,20.861,21.19,21.639,22.286,23.264,24.425,25.856,27.216,28.116,29.162,30.371,32.64,34.861,36.469,38.046,39.965,42.626,45.854,49.589,53.377,56.057,59.126,61.675,63.608,65.459,67.37,68.51,70.774,72.993,76.712,80.647,82.02,83.553,86.9,89.137,91.29,96.017,100,106.948,112.094,117.362,124.818,132.031
"204","197","P1PSTG D         Postage","P1PSTG3",13.478,13.942,14.073,14.202,16.32,16.851,16.981,17.112,17.574,19.953,20.544,20.678,24.248,25.763,26.098,30.259,31.112,39.502,40.057,43.369,45.752,45.805,53.781,60.256,60.327,60.399,65.778,66.72,66.752,73.389,75.777,75.777,86.948,88.019,88.019,88.019,97.111,97.111,97.111,97.102,100,100,103.889,109.9,115.615,115.615,115.608
"205","198","P1MHOG D         Household operation services, n.e.c.","P1MHOG3",16.838,17.234,17.635,17.984,18.299,18.618,19.031,19.687,20.333,21.401,22.955,24.757,26.059,27.115,28.266,30.794,33.66,36.347,38.901,42.628,46.824,50.575,55.09,58.396,59.693,61.222,63.271,64.621,65.81,67.977,69.617,71.257,75.51,78.204,80.322,81.808,84.803,87.238,89.476,91.978,94.599,100,104.582,107.687,110.297,113.158,117.91
"206","199","P1TOTG B   Transportation","P1TOTG3",15.436,15.803,16.243,16.545,16.647,16.902,17.307,17.752,18.419,19.204,20.43,22.099,23.815,24.71,25.663,27.496,30.273,32.981,35.261,37.47,40.799,46.751,51.884,54.543,56.968,59.749,61.416,62.857,65.75,69.123,72.549,75.488,77.972,81.187,85.29,87.279,89.602,91.516,93.34,95.397,97.528,100,101.691,102.924,105.958,108.279,111.8
"207","200","P1UOSG C     User-operated transportation","P1UOSG3",15.064,15.358,15.708,15.861,16.036,16.264,16.709,17.132,17.781,18.545,19.69,21.169,22.812,23.69,24.699,26.498,29.299,31.995,34.31,36.743,40.254,44.017,47.538,50.586,53.235,55.835,57.973,60.882,63.7,66.744,70.011,72.808,75.914,79.548,83.523,86.661,89.235,91.696,92.997,95.335,97.92,100,103.09,105.916,108.952,111.858,115.559
"208","201","P1REPG C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","P1REPG3",15.723,16.002,16.429,16.635,16.845,17.045,17.391,17.688,18.444,19.417,20.67,22.199,23.798,24.85,26.232,28.883,32.568,34.934,37.562,40.54,44.466,49.028,53.507,57.479,59.969,62.107,63.947,66.38,69.196,71.849,74.745,77.608,80.565,83.001,85.545,88.083,90.369,92.145,93.508,95.355,97.274,100,103.357,106.11,108,109.59,112.893
"209","202","P1ARPG D         Motor vehicle repair","P1ARPG3",15.49,15.761,16.174,16.384,16.587,16.789,17.135,17.413,18.164,19.125,20.356,21.866,23.443,24.471,25.838,28.444,32.078,34.405,36.994,39.998,43.864,48.351,52.757,56.62,58.996,60.868,62.465,64.354,66.73,69.401,72.177,74.979,78.133,80.992,83.358,85.564,87.523,89.77,92.079,94.326,96.917,100,103.541,107.368,110.41,112.987,116.803
"210","203","P1RLOG D         Motor vehicle rental, leasing, and other","P1RLOG3",15.386,15.693,16.168,16.319,16.551,16.707,17.016,17.407,18.105,19.038,20.284,21.758,23.312,24.401,25.723,28.36,31.937,34.276,36.853,39.247,43.105,47.624,52.045,56.241,59.183,62.684,65.662,70.879,76.018,78.247,81.525,84.433,86.139,86.73,89.795,93.288,96.447,97.011,96.308,97.347,97.948,100,103.006,103.568,102.898,102.14,104.25
"211","204","P1MVRG D           Motor vehicle rental","P1MVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.267,68.844,72.392,75.68,76.608,77.833,81.803,84.87,87.018,88.184,91.314,94.686,97.124,100,96.23,101.863,100.817,97.975,99.477
"212","205","P1MVLG D           Motor vehicle leasing","P1MVLG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.574,88.159,89.898,91.299,94.428,93.852,95.726,99.551,103.491,103.659,100.687,99.218,98.787,100,103.841,101.93,99.606,96.269,95.356
"213","206","P1ALEG D             Auto leasing","P1ALEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.482,90.176,91.879,92.995,96.06,95.359,97.033,100.649,104.412,104.299,100.874,99.211,98.78,100,103.829,101.921,99.595,96.261,95.349
"214","207","P1TLEG D             Truck leasing","P1TLEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.943,80.812,83.169,86.489,89.982,89.956,92.887,97.493,101.892,102.605,100.4,99.228,98.796,100,103.855,101.94,99.62,96.279,95.363
"215","208","P1OASG D           Other motor vehicle services","P1OASG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.278,65.846,69.194,72.323,73.225,74.439,78.177,81.123,83.178,84.299,87.31,93.745,96.078,100,104.553,108.32,111.333,116.756,125.049
"216","209","P1ATNG C       Other user-operated transportation (76+77)","P1ATNG3",12.524,12.821,12.994,13.032,13.125,13.388,13.99,14.628,15.014,15.31,16.152,17.413,19.022,19.474,19.677,19.761,20.697,23.842,25.358,26.51,28.935,30.835,32.233,33.299,36.013,39.414,42.179,46.192,48.954,52.924,57.118,59.712,63.13,69.633,77.274,82.059,85.487,90.149,91.239,95.329,100.347,100,102.078,105.176,112.314,119.859,124.954
"217","210","P1TOLG C         Bridge, tunnel, ferry, and road tolls","P1TOLG3",24.768,24.834,24.788,24.836,24.77,24.781,24.845,24.838,24.839,24.779,24.772,24.779,24.781,24.779,25.513,26.553,27.896,28.943,30.019,31.203,34.362,38.165,41.863,45.448,48.002,50.376,52.561,57.14,61.299,63.212,67.069,70.609,71.857,73.491,77.611,81.117,83.169,84.307,87.254,93.73,96.083,100,104.565,108.323,111.346,116.789,125.055
"218","211","P1AING C         Insurance","P1AING3",11.37,11.678,11.863,11.899,12.003,12.284,12.929,13.624,14.044,14.372,15.297,16.693,18.49,18.997,19.142,19.127,20.024,23.4,24.97,26.123,28.484,30.217,31.416,32.27,34.992,38.465,41.272,45.235,47.875,52.004,56.219,58.731,62.329,69.283,77.281,82.202,85.779,90.844,91.712,95.526,100.847,100,101.792,104.816,112.413,120.192,124.948
"219","212","P1PLTG C     Purchased local transportation","P1PLTG3",13.191,13.498,14.048,14.676,15.028,15.523,15.851,16.586,17.711,18.773,20.009,22.544,24.239,25.415,25.74,26.71,28.793,31.271,32.902,34.378,36.789,42.724,50.519,55.682,57.354,60.351,62.069,65.9,68.486,71.167,72.952,77.002,80.976,84.854,87.053,88.113,90.231,99.101,101.309,99.875,98.605,100,102.998,105.287,112.827,119.459,124.973
"220","213","P1IMTG C       Mass transit systems (79)","P1IMTG3",13.327,13.744,14.377,14.934,15.281,15.628,15.914,16.678,17.869,18.978,20.516,24.006,25.612,26.722,26.653,26.305,27.774,30.987,31.977,32.67,34.53,39.885,49.316,55.418,57.482,61.343,63.093,68.166,69.963,71.431,73.306,77.905,80.852,85.358,87.491,88.518,90.885,99.444,100.962,99.866,98.604,100,102.993,105.283,112.819,119.46,124.954
"221","214","P1TAXG C       Taxicab (80)","P1TAXG3",13.914,13.983,14.375,15.233,15.626,16.538,17,17.722,18.78,19.829,20.612,21.861,23.765,25.074,25.861,28.495,31.443,33.214,35.628,38.126,41.44,48.508,53.032,55.983,56.737,58.082,59.73,61.535,65.462,70.546,72.132,74.973,81.265,83.638,86,87.141,88.657,98.262,102.139,99.897,98.605,100,103.013,105.297,112.85,119.456,124.963
"222","215","P1PITG C     Purchased intercity transportation","P1PITG3",20.158,21.174,22.003,22.785,21.751,21.752,21.931,22.102,22.324,22.929,24.565,26.447,28.55,29.305,30.453,33.067,36.279,39.264,41.876,43.664,46.886,61.963,73.099,72.972,74.774,78.335,77.771,71.484,74.852,79.967,84.66,87.923,87.071,88.152,93.527,90.222,91.388,88.66,92.927,94.517,95.331,100,94.265,87.061,88.918,87.54,89.621
"223","216","P1IRRG C       Railway (82)","P1IRRG3",13.694,13.926,14.349,14.492,14.07,14.11,14.138,14.128,14.198,14.461,15.341,16.655,18.012,17.663,17.462,19.217,21.497,23.497,25.61,27.61,30.147,35.536,42.178,47.375,51.039,53.862,55.819,59.131,62.431,65.844,73.269,76.15,78.232,79.351,80.581,81.387,85.731,91.381,91.272,93.49,96.951,100,104.871,108.735,107.611,98.363,99.61
"224","217","P1IBUG C       Bus (83)","P1IBUG3",13.255,13.893,13.726,13.964,14.204,14.354,14.705,15.109,15.709,16.526,17.389,18.622,20.848,22.023,22.907,25.233,29.199,30.924,35.054,37.767,40.95,46.708,53.295,57.965,63.047,68.506,73.219,80.779,79.388,82.427,84.724,86.761,90.774,92.246,89.307,89.228,86.567,88.183,88.609,93.356,95.631,100,103.27,106.558,110.5,114.799,118.905
"225","218","P1IAIG C       Airline (84)","P1IAIG3",22.2,23.755,25.303,26.607,24.687,24.576,24.684,24.744,24.775,25.302,27.232,29.319,31.5,32.258,33.59,36.364,39.602,42.948,45.515,47.312,50.769,68.682,81.04,79.181,80.374,83.835,82.304,73.431,77.355,83.41,88.629,91.455,89.592,90.766,96.539,91.66,92.967,88.631,93.999,95.391,95.505,100,92.179,82.86,84.84,83.01,84.623
"226","219","P1TROG C       Other (85)","P1TROG3",12.665,12.935,13.231,13.647,13.746,13.895,14.168,14.744,15.36,16.064,17.172,18.574,19.536,20.156,21.075,23.021,25.101,27.187,28.677,29.409,31.244,38.908,48.138,53.197,55.481,58.665,61.091,64.338,66.034,66.477,68.994,75.003,76.819,77.402,84.029,85.403,86.907,88.511,89.819,91.208,94.371,100,100.536,98.962,99.914,99.791,103.667
"227","220","P1TMDG B   Medical care","P1TMDG3",9.677,10.044,10.329,10.603,10.838,11.173,11.547,12.088,12.81,13.755,14.672,15.707,16.669,17.521,18.268,19.813,21.872,23.867,26.151,28.501,30.801,34.041,38.11,42.167,45.656,49.057,51.522,53.372,55.672,59.887,64.856,69.711,73.846,77.836,81.522,84.877,88.025,90.357,92.6,94.924,97.186,100,103.588,106.12,109.663,113.583,116.911
"228","221","P1PHYG C     Physicians (47)","P1PHYG3",9.457,9.688,9.915,10.202,10.434,10.722,11.067,11.764,12.563,13.26,14.237,15.276,16.304,16.824,17.353,18.969,21.276,23.694,25.881,28.003,30.602,33.839,37.539,41.064,44.28,47.357,50.109,53.751,57.708,61.84,66.375,71.15,75.342,80.075,84.534,88.769,92.26,92.906,94.153,96.162,98.296,100,102.844,102.754,104.325,106.484,107.632
"229","222","P1DENG C     Dentists (48)","P1DENG3",10.286,10.49,10.548,10.852,11.145,11.449,11.823,12.206,12.818,13.515,14.475,15.284,16.27,16.928,17.482,18.782,20.743,22.102,23.735,25.384,27.515,30.792,33.73,36.341,38.776,41.923,44.573,47.047,50.239,53.61,56.893,60.606,65.075,69.388,72.963,76.386,80.067,83.762,87.64,91.364,95.647,100,104.085,108.737,113.188,118.763,125.35
"230","223","P1OPSG C     Other professional services (49)","P1OPSG3",12.06,12.37,12.67,13.058,13.37,13.665,14.131,15.006,16.018,16.954,18.09,19.478,20.745,21.39,22.168,24.187,27.21,30.262,33.075,35.624,38.052,42.343,46.317,49.405,52.414,54.765,58.578,61.745,63.695,67.328,70.877,74.582,78.33,81.43,83.933,87.183,88.987,90.532,93.951,96.095,97.512,100,103.259,105.689,107.82,110.467,112.979
"231","224","P1HHCG D       Home health care","P1HHCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.186,65.76,69.339,73.035,76.568,79.659,82.174,85.468,86.984,88.546,92.996,95.59,96.409,100,102.627,104.779,105.087,107.641,108.55
"232","225","P1MLBG D       Medical laboratories","P1MLBG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.323,70.144,73.91,77.801,81.642,84.909,87.576,91.105,96.164,97.419,98.17,98.451,97.946,100,103.682,105.409,106.958,108.166,112.187
"233","226","P1EEXG D       Eye examinations","P1EEXG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.731,73.196,75.566,78.843,81.858,85.135,87.326,89.015,91.601,93.04,94.464,96.213,97.156,100,103.268,103.991,104.276,106.538,108.994
"234","227","P1OMDG D       All other professional medical services","P1OMDG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.802,67.448,71.021,74.731,78.598,81.674,84.165,87.432,88.946,90.519,93.783,95.961,98.013,100,103.485,106.268,109.488,112.472,115.548
"235","228","P1PHOG C     Hospitals and nursing homes (50)","P1PHOG3",9.254,9.843,10.113,10.331,10.683,11.101,11.435,11.813,12.579,13.445,14.382,15.528,16.155,16.941,17.934,19.722,21.868,23.824,25.737,27.998,30.893,34.555,38.899,43.043,46.33,49.219,51.755,53.88,56.782,60.799,65.452,70.102,74.807,78.867,82.261,84.875,87.65,90.185,91.878,94.23,96.621,100,104.227,108.078,112.831,117.733,122.11
"236","229","P1HSPG C       Hospitals","P1HSPG3",8.992,9.575,9.841,10.057,10.389,10.792,11.121,11.49,12.239,13.069,13.994,15.101,15.698,16.471,17.451,19.147,21.279,23.268,25.217,27.421,30.299,34.002,38.456,42.769,46.175,49.161,51.812,54.043,57.012,61.248,66.13,70.886,75.846,80.21,83.784,86.408,88.972,91.173,92.559,94.662,96.89,100,103.932,107.748,112.681,117.656,122.131
"237","230","P1NPHG C         Nonprofit","P1NPHG3",10.357,10.787,11.09,11.338,11.713,12.146,12.521,12.952,13.807,14.733,15.78,17.02,17.698,18.561,19.663,21.574,23.987,26.207,28.414,30.882,34.093,38.096,42.908,47.221,50.339,53.133,55.771,57.767,60.563,64.56,68.714,72.551,76.625,79.9,82.78,85.177,87.464,89.656,91.339,94.133,96.638,100,104.412,108.297,112.564,117.239,121.859
"238","231","P1FPHG C         Proprietary","P1FPHG3",6.391,7.26,7.454,7.608,7.858,8.203,8.446,8.696,9.245,9.889,10.585,11.433,11.868,12.465,13.213,14.506,16.102,17.644,19.103,20.797,23.034,26.137,29.856,34.097,37.933,41.223,43.848,46.458,49.695,54.323,60.555,67.151,73.958,80.675,85.796,88.921,92.072,94.287,95.065,95.758,97.418,100,102.973,106.662,112.812,118.33,122.507
"239","232","P1GVHG C         Government","P1GVHG3",6.386,7.257,7.449,7.605,7.852,8.203,8.443,8.694,9.243,9.887,10.577,11.432,11.877,12.477,13.22,14.504,16.102,17.643,19.103,20.8,23.032,26.123,29.866,34.072,37.931,41.209,43.84,46.449,49.683,54.31,60.558,67.152,73.975,80.71,85.81,88.921,92.058,94.279,95.063,95.762,97.416,100,102.962,106.641,112.822,118.342,122.505
"240","233","P1NRSG C       Nursing homes","P1NRSG3",10.94,11.462,11.736,11.955,12.46,12.968,13.33,13.761,14.631,15.715,16.727,18.107,18.904,19.779,20.86,23.169,25.427,27.235,28.977,31.586,34.621,38.1,41.868,45.059,47.675,50.058,52.016,53.61,56.189,59.116,62.677,66.854,70.404,73.064,75.641,78.222,81.947,85.931,88.912,92.311,95.409,100,105.602,109.626,113.471,117.99,121.844
"241","234","P1NPNG D         Non-profit nursing homes","P1NPNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.61,63.72,67.545,72.061,75.898,78.763,81.541,84.321,87.368,89.601,91.367,94.179,96.636,100,104.46,108.356,112.626,116.684,121.325
"242","235","P1FPNG D         Proprietary and government nursing homes","P1FPNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.908,56.738,60.162,64.165,67.566,70.122,72.595,75.072,79.115,83.937,87.535,91.245,94.698,100,106.285,110.387,113.971,118.767,122.15
"243","236","P1HING C     Health insurance (56)","P1HING3",8.483,8.653,9.326,9.626,9.314,9.512,10.009,10.55,10.66,12.778,13.123,13.454,15.587,17.867,17.932,17.654,17.722,18.451,22.931,26.508,24.679,24.588,28.567,34.946,41.298,49.529,49.142,42.619,36.519,43.051,53.607,61.98,62.997,65.606,70.73,75.985,82.371,88.698,93.542,95.866,97.864,100,102.3,103.478,108.042,113.063,116.562
"244","237","P1MING C       Medical care and hospitalization","P1MING3",4.997,5.52,6.231,6.582,6.53,6.7,7.073,7.301,6.967,10.106,9.299,9.928,11.584,14.736,14.312,13.314,10.779,11.371,16.743,19.109,20.119,19.947,22.696,28.803,35.045,44.884,46.116,35.812,28.85,37.104,50.359,60.271,62.652,66.884,73.757,78.813,84.158,88.312,92.388,94.41,97.143,100,103.681,107.108,111.71,116.579,120.208
"245","238","P1IING C       Income loss","P1IING3",80.336,77.397,81.805,81.041,74.242,74.486,77.864,87.609,96.794,93.207,108.456,94.853,115.969,129.109,141.908,141.224,186.574,187.353,210.496,287.555,170.664,140.096,171.298,262.475,285.382,278.774,252.363,332.874,299.466,348.717,325.893,361.85,269.421,264.837,148.926,189.552,143.693,106.151,93.537,94.811,96.78,100,102.862,104.497,106.87,109.742,113.441
"246","239","P1PWCG C       Workers' compensation","P1PWCG3",15.952,15.216,15.376,15.933,15.597,16.093,16.937,17.331,17.579,18.643,20.799,23.414,25.325,23.439,22.98,25.575,28.699,30.377,30.708,30.938,32.673,36.457,43.126,43.639,49.554,52.416,47.594,49.18,47.49,46.462,49.721,51.832,52.356,50.14,55.496,59.4,72.347,89.762,99.147,102.892,101.475,100,95.633,86.518,91.144,97.133,99.983
"247","240","P1RECG B   Recreation","P1RECG3",19.725,20.364,20.828,21.274,21.731,22.409,23.013,23.797,24.653,26.093,27.321,28.686,30.006,30.761,31.855,33.957,36.312,37.875,39.509,41.667,44.427,47.682,50.87,53.389,55.586,57.992,60.207,62.46,64.663,67.173,70.171,73.804,77.446,79.687,82.079,83.688,85.735,88.557,91.264,93.598,96.422,100,103.362,106.35,109.236,112.037,115.095
"248","241","P1SSAG C     Admissions to specified spectator amusements (96)","P1SSAG3",13.681,14.437,15.05,15.619,16.165,17.176,18.211,19.198,20.326,21.99,23.44,25.177,26.44,27.192,28.21,30.056,32.326,33.581,34.904,36.961,39.671,41.717,43.442,45.816,48.699,51.634,54.191,56.237,58.858,61.559,65.893,69.887,73.756,74.562,75.343,77.91,80.653,84.653,87.006,88.852,94.163,100,104.435,108.182,112.343,116.564,121.659
"249","242","P1MOVG C       Motion picture theaters","P1MOVG3",11.5,12.251,12.879,13.44,13.935,15.065,16.254,17.501,18.814,20.631,22.315,24.5,25.936,26.632,27.686,29.628,32.061,33.376,34.772,36.808,39.51,41.533,43.266,45.623,48.496,51.433,53.981,56.027,58.699,61.331,65.628,69.675,73.39,74.258,75.05,77.645,80.383,84.324,86.669,88.514,93.998,100,103.499,106.743,112.323,115.903,119.65
"250","243","P1LEGG C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","P1LEGG3",12.411,13.037,13.599,14.218,14.788,15.974,17.223,18.405,19.832,21.827,23.458,25.878,27.265,27.879,28.937,30.757,33.063,34.048,35.046,36.848,39.552,41.612,43.307,45.66,48.551,51.462,54.021,56.053,58.623,61.344,65.7,69.612,73.57,74.328,75.095,77.65,80.349,84.353,86.723,88.554,93.971,100,103.51,106.871,112.32,115.93,119.669
"251","244","P1SPEG C       Spectator sports","P1SPEG3",19.581,20.159,20.536,20.912,21.485,21.866,22.24,22.435,22.934,24.072,25.022,25.717,26.662,27.552,28.495,30.202,32.168,33.49,34.917,37.177,39.897,41.957,43.694,46.1,48.986,51.935,54.498,56.557,59.181,61.922,66.265,70.28,74.209,75.006,75.792,78.348,81.141,85.18,87.522,89.381,94.465,100,105.965,110.43,112.451,117.644,124.887
"252","245","P1RXAG C     Other (94+100+101+102+103)","P1RXAG3",21.568,22.097,22.458,22.826,23.226,23.746,24.16,24.84,25.567,26.887,28.006,29.217,30.527,31.27,32.368,34.509,36.857,38.474,40.161,42.32,45.063,48.551,52.013,54.546,56.602,58.9,61.049,63.331,65.464,67.942,70.744,74.323,77.93,80.371,82.989,84.461,86.412,89.071,91.827,94.228,96.716,100,103.226,106.117,108.841,111.469,114.295
"253","246","P1RTVG C       Radio and television repair","P1RTVG3",40.281,40.875,40.94,41.012,41.169,41.026,40.05,39.167,39.537,40.053,39.606,38.284,38.722,38.799,39.459,40.271,41.53,42.345,43.46,45.38,48.286,51.842,55.927,60.053,62.909,66.175,68.882,70.866,72.87,75.002,76.266,78.785,81.255,85.426,89.795,91.31,93.042,96.743,99.222,100.19,99.678,100,100.43,101.776,102.67,103.227,103.177
"254","247","P1CLUG C       Clubs and fraternal organizations","P1CLUG3",18.047,18.542,18.783,19.191,19.528,20.268,20.895,21.639,22.389,23.337,24.622,25.896,27.333,28.344,29.626,33.293,35.788,37.66,39.809,42.361,46.982,52.408,57.278,59.611,60.953,62.859,63.773,65.31,67.561,70.87,73.651,75.546,77.923,79.882,82.418,84.344,87.093,89.502,91.479,94.45,97.105,100,103.595,105.466,103.888,105.992,108.328
"255","248","P1COMG C       Commercial participant amusements","P1COMG3",17.771,18.622,19.273,19.838,20.406,20.912,21.134,21.694,22.386,23.355,24.546,26.119,27.404,28.356,29.649,32.256,34.961,37.388,39.87,42.638,45.561,49.523,53.169,56.118,58.431,60.67,62.984,65.308,67.491,69.45,72.391,75.904,78.987,81.25,83.486,85.445,87.656,90.021,92.197,93.757,96.411,100,103.124,105.196,108.143,110.886,114.195
