"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"201","193","          Motor vehicle rental","DMVRRX0",9361,9541,9694,9808,9884,9951,10017,10079,10132,10182,9794,10127,9846,9863,9862,9840,10001,10240,10606,11094,11669,12183,12575,12824,12902,13021,13238,13297,13486,13729,14078,14158,14148,14187,14558,14523,14489,14501,14509,13548,12472,12119,12187,12287,12602,12875,12776,12789,13357,13611,14143,14372,14844,14788,15082,15467,14711,15438,15720
"202","194","          Parking fees and tolls","DPFTRX0",17923,18134,18333,18513,18662,18783,18882,18952,18975,18913,18760,18513,18195,17964,17864,17877,18144,18443,18677,18821,18874,18899,18910,18901,18865,18828,18798,18767,18735,18725,18749,18802,18866,18890,18871,18801,18668,18457,18167,17791,17354,17008,16793,16712,16675,16707,16849,17101,17412,17565,17518,17265,16844,16495,16273,16176,16184,16211,16241
"203","195","      Public transportation","DPUBRX0",75867,75970,78275,79632,81391,83286,84602,85089,85728,84821,81047,77901,82220,81764,83002,83853,84888,83527,85296,86310,89039,90329,88758,88768,87484,87758,88157,85641,84594,86961,86312,88351,89196,88313,87059,87192,85824,83957,82771,79149,79012,80141,79448,78493,77429,76508,76470,75908,74981,76452,76180,75771,75098,75390,74375,75434,78389,78632,78446
"204","196","        Ground transportation (63)","DGRDRX0",30531,30903,31036,31588,31925,32300,32580,33038,33971,34377,34032,33864,33849,33294,32551,32091,32065,32062,32140,32348,33302,33598,33801,34401,34204,34116,34529,34923,35433,35939,36160,36628,36963,36518,36109,36329,35981,36732,36828,35395,34864,34581,34431,34276,34213,34182,33888,34211,34737,35041,34729,34515,33883,32965,32515,32253,32840,32102,31672
"205","197","          Railway transportation","DIRRRX0",639,633,633,647,668,705,740,719,705,716,745,797,800,771,712,694,705,720,771,794,846,836,753,898,929,820,775,865,855,871,824,930,980,991,939,1105,1076,1087,1062,974,943,973,958,1008,1038,1037,1015,1030,1059,1071,1096,1170,1159,1175,1169,1149,1159,1160,1243
"206","198","          Road transportation","DROTRX0",29927,30309,30442,30979,31292,31623,31860,32348,33306,33700,33315,33078,33060,32538,31866,31427,31384,31362,31377,31560,32459,32767,33064,33509,33283,33302,33766,34063,34586,35077,35351,35704,35986,35529,35175,35221,34902,35643,35765,34423,33923,33609,33472,33267,33174,33144,32873,33180,33677,33968,33632,33349,32728,31796,31352,31110,31686,30949,30444
"207","199","            Intercity buses","DIBURX0",1750,1748,1787,1854,1902,1938,1929,1953,1980,1961,1951,1864,1941,1862,1869,1855,1840,1810,1871,1852,1869,1825,1675,1718,1736,1660,1676,1708,1679,1680,1579,1542,1530,1547,1515,1519,1495,1593,1639,1474,1335,1245,1258,1163,1109,1113,973,912,1057,1062,1046,1078,1109,1123,1121,1137,1160,1224,1258
"208","200","            Taxicabs","DTAXRX0",4948,4825,4699,4570,4446,4378,4375,4436,4547,4655,4746,4820,4865,4824,4688,4461,4207,4054,4042,4174,4410,4603,4714,4740,4699,4692,4745,4858,5010,5121,5171,5158,5090,5013,4942,4875,4811,4757,4716,4687,4594,4539,4523,4546,4570,4575,4564,4534,4460,4588,4618,4660,4588,4666,4721,4767,4833,4811,4808
"209","201","            Intracity mass transit","DIMTRX0",14670,15094,15251,15814,16186,16489,16616,16839,17423,17495,16794,16349,16015,15535,15039,15041,15335,15522,15400,15266,15638,15540,15678,15928,15669,15736,16101,16243,16646,16951,17115,17264,17305,16714,16408,16604,16548,17431,17759,16843,16945,17016,16992,16848,16707,16546,16259,16448,16649,16736,16823,17029,17414,17019,17000,16745,17130,15972,15323
"210","202","            Other road transportation service","DORTRX0",8576,8661,8724,8760,8777,8837,8958,9140,9378,9611,9837,10055,10246,10321,10265,10067,10001,9973,10064,10271,10543,10803,10999,11126,11186,11220,11244,11252,11247,11319,11481,11733,12054,12254,12313,12222,12047,11859,11649,11413,11048,10810,10699,10709,10789,10909,11074,11284,11505,11576,11145,10590,9638,9012,8541,8490,8593,8964,9077
"211","203","        Air transportation (64)","DAITRX0",44313,44087,45998,46724,47944,49264,50149,50183,50023,48823,45533,42646,46740,46724,48515,49677,50628,49226,50823,51560,53289,54246,52449,51876,50821,51183,51170,48292,46767,48563,47687,49199,49670,49196,48320,48204,47184,44698,43462,41268,41638,43041,42471,41633,40586,39664,39874,38972,37538,38616,38651,38428,38311,39351,38762,39790,42007,42940,43168
"212","204","        Water transportation (65)","DWATRX0",1252,1281,1323,1380,1449,1522,1594,1665,1731,1781,1811,1820,1815,1827,1864,1926,1997,2059,2118,2173,2216,2249,2266,2266,2248,2244,2254,2276,2302,2329,2363,2403,2439,2462,2488,2518,2526,2544,2554,2557,2530,2523,2536,2569,2629,2681,2725,2761,2783,2866,2870,2907,2977,3080,3121,3425,3546,3583,3595
"213","205","    Recreation services","DRCARX0",308883,313772,320533,324116,323830,326596,327077,326321,328928,325533,323721,323508,325551,326059,326943,330647,330460,335647,341109,346194,351576,355220,357794,358556,362436,364471,364514,367279,372191,374357,377088,386071,388818,390514,394570,394393,393155,392505,387678,382548,378954,375332,373619,376095,379061,377044,382389,385330,383107,388664,391334,392082,394022,394362,395422,393725,396052,395115,396054
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",116483,117099,118816,118433,117685,119169,118395,118430,118796,117826,115736,115732,117390,117444,117323,118912,118949,120097,121395,123144,123352,125255,126683,126617,128813,129384,131263,133478,133937,135216,136814,138440,140526,141530,144206,143390,143579,142897,141228,140335,138695,137848,136562,138589,139867,138104,141898,145151,142464,146972,149281,149541,150999,150345,148683,148068,146456,147082,145947
"215","207","        Membership clubs and participant sports centers","DMDFRX0",30442,30499,31164,30945,30715,30678,30178,30244,30139,30111,30083,29504,30286,30468,30820,30710,31084,31252,31811,32657,33208,34161,35091,34689,35820,36603,36906,37540,37811,38154,38756,39352,40562,41071,41883,41948,41558,41455,41267,40253,39410,39099,38908,39079,39929,40401,40541,40074,40430,40909,42006,42021,41531,42087,43203,43184,42764,42507,41950
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",40903,40605,40437,40376,40383,40367,40319,40225,40051,39703,38830,37645,37242,36609,36244,36138,36349,36482,36551,36518,36302,36263,36360,36594,36924,37169,37328,37369,37345,37389,37499,37625,37804,38007,38396,38758,39045,39024,38852,38307,37380,36900,37018,37552,38337,38098,38688,39715,39966,41000,41611,42568,43036,44119,44689,45064,45538,45482,45507
"217","209","        Admissions to specified spectator amusements","DADMRX0",40213,41177,42379,42169,41430,42954,42800,42904,43617,42896,41451,43301,44242,44519,44239,46080,45427,46333,47031,47889,47723,48601,48683,48711,49167,48475,49910,51292,51567,52602,53635,54760,55620,56050,57558,56412,56695,56022,54752,55504,55748,55685,54646,55997,55570,53671,56701,59180,55908,58793,59526,58817,60438,58313,55183,54210,52497,53276,52805
"218","210","          Motion picture theaters","DMOVRX0",10267,11146,12632,11225,10919,11848,11638,11710,11961,11018,11680,11794,12467,12178,11201,12210,11142,11718,11981,12303,11583,11805,11220,11291,11161,9987,11071,11303,11044,11213,11285,11223,11139,10964,12142,10971,11655,11355,10310,11187,11531,11654,10716,12089,12433,11275,11412,11235,10180,11756,12169,10504,11985,10920,10388,11410,9846,11219,10862
"219","211","          Live entertainment, excluding sports","DLIGRX0",13379,13490,13119,14186,13582,13971,13961,14004,14528,14800,13934,14105,14232,14569,15041,15598,16020,16288,16621,17022,17481,18015,18609,19246,19864,20327,20623,20753,21187,21937,22735,23599,24159,24524,24746,24800,24696,24665,24701,24783,24837,24993,25280,25681,25028,25483,26057,27047,26276,26708,27673,29449,30120,29449,27476,25491,25393,25420,25450
"220","212","          Spectator sports","DSPERX0",16732,16671,16721,16873,17093,17255,17333,17318,17227,17196,15905,17531,17660,17896,18142,18394,18406,18445,18532,18646,18755,18859,18937,18205,18161,18201,18233,19274,19376,19479,19631,19949,20338,20583,20674,20658,20350,20006,19745,19537,19381,19037,18650,18227,18110,16921,19229,20895,19454,20333,19684,18863,18336,17949,17322,17310,17253,16650,16506
"221","213","        Museums and libraries","DMUSRX0",4683,4656,4690,4815,5010,5147,5121,5076,5064,5145,5316,5395,5729,5965,6095,6161,6208,6184,6150,6210,6203,6296,6572,6668,6914,7100,7108,7279,7213,7087,6942,6723,6539,6395,6368,6253,6274,6386,6341,6266,6155,6165,5991,5962,6048,5982,5977,6135,6180,6244,6134,6142,5966,5848,5735,5759,5828,5965,5829
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",82722,83932,85318,86139,87055,87813,88238,88942,89896,88205,88747,88584,86804,86173,85893,86092,85990,86133,87139,88619,90021,90968,90583,90930,90145,88868,88648,88626,88232,89654,88834,91039,92175,93314,93287,93902,94418,94664,95073,93684,93524,92941,93474,94282,94365,95056,95146,95922,96568,96961,97907,96212,96434,96338,96932,99011,100696,99604,99846
"223","215","        Cable and satellite television and radio services","DCTVRX0",52694,53589,54741,55356,56195,56953,57445,58374,59687,58164,58221,59204,57729,57160,56762,56744,56490,56445,57181,58327,59383,60279,60193,61234,61419,60926,61270,61569,61248,62647,61713,63767,64625,65634,65671,66578,67587,68387,69413,68726,69227,69197,70203,71419,71500,72125,72302,73269,74132,74886,76088,74765,75350,75520,76370,78320,79991,78807,79017
"224","216","        Photo processing","DFDVRX0",7039,7039,7011,6953,6864,6771,6680,6589,6497,6421,6364,6326,6298,6270,6237,6201,6118,6015,5918,5819,5708,5549,5336,5067,4746,4415,4083,3748,3424,3186,3051,3021,3072,3101,3087,3027,2929,2828,2733,2644,2561,2490,2432,2387,2373,2394,2447,2531,2633,2695,2703,2657,2567,2490,2441,2419,2417,2418,2419
"225","217","        Photo studios","DPICRX0",7540,7485,7462,7467,7492,7512,7526,7531,7519,7473,7391,7270,7127,7024,6978,6989,6973,6948,6951,6974,7011,7055,7105,7159,7209,7242,7255,7247,7221,7220,7253,7319,7408,7481,7532,7560,7557,7514,7428,7299,7135,6995,6894,6831,6847,6876,6886,6876,6842,6788,6715,6620,6511,6426,6373,6353,6346,6337,6330
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",5577,5723,5913,6146,6405,6617,6750,6799,6780,6778,6815,6902,7029,7117,7166,7146,7023,6973,7016,7149,7351,7470,7471,7355,7155,7047,7029,7110,7293,7460,7580,7629,7718,7794,7843,7848,7826,7792,7709,7567,7482,7434,7374,7287,7386,7537,7632,7713,7866,7891,8029,8038,8031,8035,7935,8141,8168,8307,8361
"227","219","        Video media rental","DVIDRX0",9467,9702,9840,9872,9802,9711,9628,9538,9439,9312,9843,8941,8602,8542,8649,8905,9295,9676,10028,10337,10574,10639,10508,10177,9692,9311,9089,9029,9105,9197,9282,9355,9401,9348,9186,8909,8532,8151,7789,7445,7120,6827,6572,6354,6252,6119,5880,5535,5108,4729,4429,4210,4069,3970,3907,3879,3867,3853,3840
"228","220","      Gambling (91)","DGAMRX0",76112,78769,81885,84279,83823,84193,84990,83659,85180,84643,84509,84921,86254,87409,89042,90586,90446,94009,96567,97891,101493,101815,103108,102909,104990,107464,105601,105966,110716,109379,110594,114863,113610,113123,114267,114133,111904,111289,108789,107202,106688,105433,104444,103474,104330,103077,104565,103415,103617,104205,102972,104852,104574,105013,106745,104119,106385,105687,106897
"229","221","        Casino gambling","DCASRX0",51405,54154,57398,59972,59741,60284,61181,59881,61370,60716,60371,60483,61451,62297,63695,65084,65035,68644,71185,72461,76004,76260,77484,77215,79245,81655,79708,79969,84524,82994,84058,88222,86959,86566,87903,88067,86225,85936,83636,82134,81649,80407,79401,78400,79172,77952,79376,78134,78516,79059,77660,79490,79088,79496,81266,78662,80858,80088,81236
"230","222","        Lotteries","DLOTRX0",18926,18801,18643,18441,18207,18044,17974,17993,18090,18246,18462,18736,19047,19311,19515,19656,19764,19861,19954,20018,20050,20110,20209,20344,20499,20669,20854,21047,21239,21421,21597,21761,21890,21918,21837,21638,21344,21108,20975,20938,20975,21011,21038,21052,21082,21111,21127,21128,21111,21117,21159,21235,21332,21418,21492,21551,21596,21642,21694
"231","223","        Pari-mutuel net receipts","DPARRX0",5782,5816,5845,5867,5876,5866,5837,5787,5721,5681,5676,5704,5757,5802,5833,5848,5648,5505,5428,5412,5439,5445,5416,5351,5246,5140,5039,4951,4954,4964,4938,4881,4760,4639,4527,4428,4335,4245,4178,4130,4065,4014,4005,4022,4076,4014,4062,4153,3990,4029,4153,4127,4154,4099,3988,3906,3931,3956,3967
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",33675,33992,34462,35190,35172,35327,35327,35171,34854,34676,34523,34009,34932,34854,34460,34842,34869,35201,35811,36335,36474,36947,37201,37919,38335,38621,38900,39115,39171,40012,40791,41668,42468,42504,42751,42915,43236,43656,42615,41336,40052,39110,39134,39749,40498,40799,40783,40879,40471,40612,41323,41599,42169,42785,43099,42565,42456,42723,43278
"233","225","        Veterinary and other services for pets","DVETRX0",21689,21794,22131,22424,22227,22224,22284,22288,22132,22148,21977,21785,22301,22217,21964,22498,22465,22700,23294,23867,23811,24157,24411,24806,25149,25464,25891,25963,26408,27085,27514,27778,28506,28580,28756,28841,28599,28978,28308,27758,27253,26775,26807,27111,27447,27305,27222,27212,26806,26496,26916,26773,27181,27975,28066,28165,28362,28804,29359
"234","226","        Package tours","DHOLRX0",8863,8876,8824,9017,8918,8849,8627,8352,8093,7809,7679,7217,7471,7336,7092,6931,7048,7250,7366,7392,7581,7715,7710,7999,8044,7998,7851,7973,7616,7785,8112,8673,8737,8693,8774,8884,9483,9635,9426,8920,8398,8118,8199,8506,8801,9124,9098,9144,9115,9561,9818,10223,10336,10084,10288,9596,9253,9036,8999
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",3391,3531,3688,3862,4044,4206,4341,4444,4520,4607,4713,4837,4970,5084,5166,5223,5169,5084,5029,4997,4983,4985,5001,5030,5066,5097,5121,5136,5142,5152,5171,5196,5223,5232,5223,5192,5135,5028,4868,4653,4401,4218,4128,4131,4251,4379,4475,4537,4570,4603,4642,4687,4734,4774,4803,4823,4837,4851,4866
"236","228","    Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,624173,631641,636906,643430,650207,654143,656194,666584,670652,671926,671854
"237","229","      Food services","DFSERX0",444128,448028,448980,460222,468080,470794,471759,470151,475736,472591,473035,474100,478855,480819,481407,481614,485081,494111,500939,506783,510817,512061,515636,521064,522981,529345,529991,535565,543585,539825,543013,551734,547182,549233,550828,554399,545432,546888,541254,533983,525168,518179,514231,514078,518993,523578,526721,531396,537987,544309,549355,554519,560459,563233,564246,572895,575999,577128,576270
"238","230","        Purchased meals and beverages (102)","DPMBRX0",432590,436446,437370,448583,456403,459070,459994,458351,463889,460715,461112,462175,466914,468850,469377,469469,472751,481635,488389,494150,498101,499229,502656,507854,509477,515503,515762,520914,528473,524334,527213,535787,531182,533241,534857,538539,529723,531280,525654,518344,509457,502468,498605,498730,504016,508807,511921,516332,522511,528491,533373,538573,544681,547581,548671,557324,560433,561546,560677
"239","231","          Meals and nonalcoholic beverages","DMABRX0",379274,382226,383330,392482,398351,400309,401502,400093,404701,401625,400395,400115,403791,405398,406055,406247,409024,416898,422602,427961,431042,432276,435228,439751,441158,446163,446247,450689,457192,453858,456568,463527,459426,461689,463172,466153,458744,460299,455008,448873,441093,435146,431858,432371,439014,444837,448118,451597,455246,459319,462847,466577,472269,475258,476529,484292,487437,488478,488006
"240","232","            Meals at schools","DMSLRX0",18941,19187,19419,19624,19795,19944,20076,20186,20262,20302,20308,20276,20214,20177,20189,20244,20273,20271,20279,20272,20243,20224,20221,20230,20235,20227,20205,20162,20102,20076,20101,20173,20281,20404,20549,20709,20851,20855,20703,20380,19931,19599,19446,19470,19938,20451,20800,20983,21018,21061,21149,21280,21436,21571,21678,21753,21811,21875,21948
"241","233","              Elementary and secondary school lunches","DESLRX0",7565,7627,7693,7756,7814,7868,7921,7970,8008,8025,8020,7990,7941,7897,7869,7854,7846,7838,7842,7846,7848,7855,7869,7889,7908,7921,7928,7925,7911,7891,7867,7838,7801,7758,7715,7668,7609,7522,7404,7252,7074,6924,6816,6749,6619,6472,6359,6281,6230,6182,6133,6083,6033,5995,5974,5969,5897,5790,5686
"242","234","              Higher education school lunches","DHSLRX0",11376,11560,11726,11868,11981,12075,12155,12216,12254,12277,12288,12285,12273,12280,12320,12390,12428,12432,12437,12426,12395,12369,12352,12341,12327,12306,12277,12237,12191,12186,12234,12335,12480,12646,12835,13042,13242,13333,13298,13128,12857,12675,12630,12720,13319,13979,14441,14702,14789,14879,15015,15196,15403,15576,15704,15784,15913,16085,16262
"243","235","            Other purchased meals","DOPMRX0",360341,363045,363913,372865,378564,380372,381432,379913,384444,381331,380096,379849,383582,385225,385869,386006,388751,396627,402323,407689,410800,412053,415008,419521,420923,425936,426042,430526,437087,433779,436465,443353,439144,441283,442621,445441,437894,439444,434306,428492,421161,415546,412412,412902,419076,424383,427312,430608,434223,438256,441699,445299,450837,453692,454854,462550,465640,466616,466068
"244","236","              Meals at limited service eating places","DMLSRX0",185321,185274,185558,190586,192568,194497,194784,193860,197759,194914,194082,195080,196308,197846,199473,197485,199339,203238,205380,210654,210623,212030,212273,214585,215256,218312,217650,219372,223800,220785,221271,221709,218705,221185,223885,224595,221669,223095,221494,218978,214660,214265,211948,212008,217222,219207,222783,224840,225804,226700,227053,228561,230079,231495,232435,236848,240557,242511,243330
"245","237","              Meals at other eating places","DMOERX0",172844,175502,176108,179916,183470,183339,184123,183573,184210,183908,183348,182007,184497,184569,183627,185710,186557,190442,193934,194061,197165,197076,199788,201986,202737,204647,205351,208058,210150,209792,211977,218321,217099,216773,215437,217604,213125,213200,209620,206420,203429,198212,197489,197911,198835,202205,201530,202711,205369,208537,211653,213702,217641,219003,219192,222536,221828,220954,219686
"246","238","              Meals at drinking places","DMDPRX0",2223,2273,2248,2377,2515,2552,2533,2484,2525,2522,2674,2802,2800,2849,2843,2832,2888,2976,3017,3050,3046,2997,2970,2973,2952,3009,3059,3105,3166,3206,3201,3239,3238,3254,3271,3198,3072,3131,3189,3095,3072,3070,2975,2983,3022,2970,3009,3069,3057,3019,2986,3030,3107,3185,3220,3158,3251,3154,3059
"247","239","          Alcohol in purchased meals","DAPMRX0",53127,54050,53856,55941,57934,58660,58374,58142,59081,58998,60679,62058,63131,63460,63325,63220,63728,64734,65787,66182,67059,66948,67423,68098,68314,69339,69514,70224,71280,70474,70643,72257,71752,71551,71684,72384,70979,70982,70644,69471,68365,67322,66746,66358,65011,63991,63829,64760,67269,69160,70501,71957,72378,72297,72123,73017,72990,73063,72672
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",11528,11573,11600,11635,11675,11722,11761,11797,11844,11874,11921,11923,11938,11965,12027,12143,12326,12473,12547,12630,12713,12830,12977,13206,13501,13838,14226,14648,15110,15490,15797,15946,15998,15990,15970,15856,15706,15604,15598,15638,15711,15711,15626,15348,14980,14778,14809,15070,15479,15818,15981,15950,15790,15668,15593,15594,15592,15609,15619
"249","241","          Food supplied to civilians","DCFDRX0",10833,10872,10891,10920,10947,10976,11002,11019,11064,11088,11116,11083,11064,11054,11077,11158,11265,11346,11435,11552,11644,11744,11815,11904,12016,12133,12223,12276,12384,12500,12594,12715,12851,12950,13019,13080,13110,13107,13085,13031,12959,12898,12887,12844,12821,12844,12895,12962,13015,13099,13177,13251,13344,13427,13485,13567,13651,13755,13849
"250","242","          Food supplied to military","DMFDRX0",697,702,711,716,730,748,761,780,782,787,806,842,875,912,951,986,1062,1128,1113,1080,1070,1087,1164,1304,1486,1707,2004,2373,2726,2989,3203,3230,3146,3040,2951,2776,2596,2497,2513,2607,2751,2814,2739,2504,2159,1934,1913,2108,2463,2719,2804,2699,2446,2241,2107,2028,1941,1854,1769
"251","243","      Accommodations (104)","DACCRX0",61546,60801,61814,62664,63380,65189,66015,65834,64431,62401,59268,57483,60362,62292,62653,63251,63719,64951,67484,67455,69547,69172,70804,71474,72853,74984,78283,78945,80008,80247,80674,81420,82882,82364,81524,83378,83746,85594,85028,82795,80670,81665,83985,83358,84085,84119,84604,84927,86187,87331,87552,88911,89749,90909,91949,93694,94662,94807,95596
"252","244","        Hotels and motels","DHOTRX0",47314,46609,47541,48325,48987,50650,51371,51130,49734,47764,44776,43070,45792,47591,47856,48302,48748,49992,52457,52438,54455,54093,55666,56317,57665,59738,62941,63585,64621,64884,65359,66177,67710,67267,66434,68140,68343,69971,69235,66852,64556,65336,67432,66559,67045,66872,67203,67421,68639,69739,69893,71184,71947,73046,74036,75762,76617,76583,77201
"253","245","        Housing at schools","DSCHRX0",14736,14751,14769,14782,14791,14827,14903,15013,15142,15240,15302,15323,15314,15345,15441,15598,15598,15522,15488,15477,15477,15477,15474,15466,15445,15429,15424,15423,15417,15379,15307,15195,15058,14988,15012,15127,15317,15517,15722,15924,16123,16330,16553,16790,17035,17238,17392,17494,17545,17596,17662,17741,17822,17894,17955,18004,18125,18290,18460
"254","246","    Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,750683,751370,762775,759031,757195,751065,738117,737701,747589,754935,756448
"255","247","      Financial services","DFNLRX0",322410,334803,344846,361030,384104,383531,386602,388035,379948,373143,364082,369856,371415,372092,373947,372749,368363,369957,372705,376204,385043,385613,389045,399858,402323,408592,412402,410831,419008,423200,424616,432987,437978,443225,446364,443587,442668,441678,447947,449882,454186,455040,454411,445322,447092,456195,452556,457122,464349,461389,467825,460651,457025,451403,439284,439820,448183,454380,455902
"256","248","        Financial services furnished without payment (107)","DIMPRX0",183227,186027,188894,192047,195594,196273,195762,193409,191063,188364,187263,186797,187235,185252,183653,183623,182776,181812,181613,184135,188949,192392,195321,199251,201997,202404,202139,200784,199599,198092,197986,202822,205821,206741,209774,207452,207366,208796,212398,218077,228154,230658,232039,226663,227721,233551,237776,242881,247430,247362,246536,243154,237180,232456,227700,224858,228844,232779,234662
"257","249","          Commercial banks","DIMCRX0",51259,50330,50158,49371,48579,46986,44699,43188,42878,42648,43044,43790,45735,48060,49029,50901,51131,49983,48702,47910,48862,49609,51094,52990,53654,53311,53190,52590,52701,50772,48575,49066,47310,44823,47031,44574,45381,48000,51499,57207,63633,68684,70252,69976,68698,69337,68179,69749,72526,71025,74416,74530,72918,71011,69347,68475,67818,66088,67013
"258","250","          Other depository institutions and regulated investment companies","DIMNRX0",94793,98648,101400,104886,108615,110744,113028,113035,112057,110659,110085,109681,108725,104610,102258,100215,99162,99512,100659,103910,107442,109889,111043,112854,114991,115702,115200,113889,111700,111742,113705,117683,122615,126408,126876,127613,126809,125308,125020,124424,127862,125500,125731,121207,123350,128112,133372,136889,138807,140427,136214,132652,128178,125249,122044,119978,124596,130258,131180
"259","251","          Pension funds","DPENRX0",37365,37425,37843,38608,39576,40107,40035,39333,38107,36848,35680,34591,33603,32880,32395,32184,32108,32123,32287,32560,32892,33144,33283,33298,33225,33350,33739,34383,35223,35996,36654,37186,37572,37780,37821,37677,37371,37096,36906,36789,36697,36460,36053,35462,35635,36081,36323,36356,36200,36066,36005,36013,36069,36132,36201,36272,36332,36392,36460
"260","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",139468,148689,155694,168517,187784,186570,190284,194253,188405,184257,176092,182524,183670,186482,190155,188944,185278,188015,191098,191992,195955,192827,193214,200218,199784,205893,210169,210000,219930,226064,227677,231123,233064,237559,237491,237134,236255,233642,236265,232152,226022,224364,222383,218675,219399,222662,214629,214062,216772,213934,221149,217375,219754,218889,211494,214983,219372,221615,221240
"261","253","          Financial service charges and fees","DFEERX0",50694,52296,55503,57261,57990,58107,60146,63901,63395,65586,64102,66217,67561,69772,72434,74325,74676,74418,75751,76282,76647,76600,77318,78437,78725,83190,84437,85215,86238,87044,89135,88718,90254,91179,91651,92080,89979,88210,88799,88927,91604,92322,93768,92746,90089,88038,82635,82411,84296,83830,84914,85031,83596,82779,81875,83586,83527,82281,82071
"262","254","          Securities commissions","DEQTRX0",29394,32297,33212,39444,49306,47356,47260,48058,44979,41677,38469,41663,40828,41200,41347,37069,31980,37279,38687,37150,39964,35879,34077,36898,35137,35044,36930,36578,39243,39062,35429,36978,38337,39342,40052,39568,39885,37876,38428,35514,31471,33624,34222,32253,31614,33848,31093,32671,32935,30225,34176,31241,32391,31991,24903,25534,29360,29059,27614
"263","255","            Direct commissions","DDCTRX0",18918,21302,22770,27752,34508,34177,35386,35873,32945,30443,28787,30989,31237,31455,31138,27117,22619,26795,27039,25902,27877,24155,22493,24507,22072,21445,22846,21512,23269,22254,19617,19971,20443,20608,19728,20421,20870,20267,20912,20889,18390,19603,19365,17339,16981,17946,17059,17943,18125,16545,18445,17265,18464,17974,10828,10723,13306,11956,11391
"264","256","              Exchange-listed equities","DDCERX0",9507,11308,10513,13031,15172,15170,16577,17269,16459,15989,16103,17366,16515,16720,16502,13779,10709,12611,11371,10109,11566,8426,6782,9147,7213,6611,6455,5999,6116,6371,5173,4621,4830,4728,5387,4990,4874,4025,4671,4805,3964,4173,3329,3001,2305,2357,1397,1545,1576,1400,1676,1354,1416,1348,1248,1460,1411,1549,1496
"265","257","              Other direct commissions","DDCORX0",9333,9982,12069,14525,19047,18744,18577,18391,16283,14236,12448,13351,14507,14492,14404,13201,11845,14129,15630,15751,16271,15670,15644,15301,14800,14781,16349,15478,17131,15833,14426,15372,15618,15889,14329,15418,15989,16248,16241,16090,14424,15429,16038,14338,14670,15578,15612,16349,16500,15100,16725,15858,16991,16569,9567,9259,11878,10396,9885
"266","258","            Indirect commissions","DICTRX0",6928,7342,6981,7958,10056,9485,8619,9397,9093,8146,6809,7116,6306,6419,6744,6388,5786,6508,7078,6825,7215,7330,6923,7276,7458,7845,7992,9202,9321,10154,9556,9858,9943,9930,11364,9422,9622,8583,8813,6435,6135,6868,7302,7636,7581,8237,6866,7224,7346,6761,8234,7324,6931,7464,7047,7131,8236,9116,7889
"267","259","              Over-the-counter equity securities","DICVRX0",316,378,403,546,716,712,737,894,831,893,556,521,485,570,625,558,526,635,580,561,621,534,546,570,540,499,424,500,556,587,564,557,544,564,547,608,653,594,719,543,580,701,817,852,852,892,762,606,703,805,859,673,672,645,662,636,649,623,558
"268","260","              Other imputed commissions","DICORX0",9791,9691,8631,8756,10619,9556,7885,8021,8210,6799,6307,6812,5941,5820,6051,5805,5229,5816,6525,6286,6590,6857,6410,6745,6983,7438,7695,8845,8890,9708,9121,9442,9549,9508,11039,8905,9052,8061,8120,5905,5556,6165,6482,6786,6737,7353,6117,6584,6625,5991,7372,6621,6241,6781,6364,6465,7531,8409,7262
"269","261","            Mutual fund sales charges","DMUTRX0",4602,4821,4677,5251,6599,5731,5603,5326,5193,5056,4663,5296,5054,5100,5192,4943,4587,5201,5716,5510,5979,5471,5484,5961,6197,6331,6655,6667,7301,7436,6953,7669,8294,8949,9445,9688,9384,8947,8651,8319,6969,7143,7543,7280,7035,7616,7146,7481,7458,6906,7470,6691,7075,6689,6618,7152,7422,7531,7761
