"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"133","124","    Food purchased for off-premise consumption (3)","BOPFRG",13.77,12.93,10.51,8.65,8.74,9.8,10.39,10.37,10.68,9.95,9.89,9.93,10.88,12.95,14.84,15.24,15.68,17.35,19.97,20.98,20.26,20.43,22.5,23.08,22.66,22.71,22.31,22.49,23.17,24.12,23.9,24.13,24.25,24.44,24.71,25.24,25.72,26.81,26.88,27.71,28.95,30.58,31.29,32.74,36.78,42.39,45.57,46.48,49.22,53.81,58.99,64.01,68.58,70.43,71.24,73.31,74.11,75.8,78.11,80.42,84.64,88.78,91.56,92.22,93.46,95.01,97.07,100,101.86,103.2,104.93,107.28,110.37
"134","125","    Purchased meals and beverages (4)","BPMBRG",9.26,8.65,7.42,6.23,6.06,6.58,7.1,7.1,7.35,6.98,6.83,6.92,7.48,8.65,9.71,10.13,10.43,12.02,13.47,14.03,13.6,13.75,14.64,14.97,14.92,15.21,15.3,15.55,16.08,16.46,17.07,17.54,17.9,18.36,18.78,19.07,19.45,20.22,21.37,22.48,23.82,25.57,26.96,27.98,29.95,33.52,36.59,38.97,41.76,45.28,50.04,54.72,59.5,62.63,65.29,68.04,70.77,73.67,76.47,79.62,83.22,87.04,90.42,92.26,93.94,95.48,97.58,100,102.8,105.38,108.02,110.81,114.32
"135","126","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","B483RG",13.53,12.33,9.51,7.44,7.15,8.19,10.23,10.6,10.96,9.41,8.93,9.11,11.2,13.81,15.89,16.16,16.95,18.11,21.32,22.35,20.05,19.78,22.51,22.38,21.27,19.68,18.47,17.79,18.27,19.33,19.02,19.03,19.26,19.7,19.74,19.69,20.69,22.02,22.55,23.75,25.42,26.9,28.01,30.17,34.61,36.28,38.94,41.18,43.56,49.05,55.34,59.26,63.53,66.61,68.53,71.32,73.08,75.61,78.96,81.86,85.59,89.74,92.06,93.32,94.95,95.8,97.53,100,102.62,104.14,106.37,107.89,109.32
"136","127","    Addenda: Food excluding alcoholic beverages (8)","BFXARG",11.2,10.48,8.56,7.03,7.03,8.01,8.78,8.82,9.13,8.34,8.2,8.22,9.13,10.94,12.56,12.67,13.1,14.81,17.36,18.41,17.64,17.87,19.76,20.06,19.71,19.69,19.37,19.52,20.15,21.02,20.92,21.18,21.36,21.62,21.91,22.38,22.87,23.93,24.23,25.12,26.42,28.07,28.91,30.32,34.07,39.29,42.45,43.85,46.83,51.3,56.56,61.57,66.28,68.51,69.78,72.14,73.48,75.48,78.07,80.69,84.85,88.94,91.12,91.99,93.43,95.07,97.26,100,102.21,104.07,106.1,108.5,111.74
"137","128","            Alcoholic beverages purchased for off-premise consumption (9)","BAOPRG",NA,NA,NA,NA,19.47,18.46,18.05,17.83,18.01,18.19,18.37,18.82,19.98,22.77,25.28,28.47,29.06,30.13,30.99,30.54,30.13,29.42,30.49,32.83,32.29,33.01,32.83,33.14,33.86,34.04,34.35,34.9,35.02,35.18,35.52,35.73,35.94,36.35,36.88,37.71,38.54,39.84,40.99,41.67,42.36,44.99,48.09,49.12,49.88,52.57,56.7,61.44,65.53,68.24,70.81,72.16,73.78,75.87,77.23,79.06,81.48,84.87,94.78,97.4,97.5,97.39,97.68,100,101.59,102.18,104.34,107.54,109.9
"138","129","            Other alcoholic beverages (10)","BAPMRG",NA,NA,NA,NA,9.65,9.11,8.94,8.8,8.91,8.97,9.08,9.31,9.87,11.26,12.51,14.06,14.35,14.88,15.31,15.08,14.88,14.54,15.08,16.21,15.96,16.3,16.21,16.38,16.72,16.81,17.9,18.48,18.78,19.22,19.62,19.86,20.06,20.37,21.92,23.11,24.24,25.95,27.71,28.49,29.42,31.72,34.22,36.02,37.73,40.63,43.9,47.01,50.99,53.73,56.22,59.1,62.34,66.33,68.93,72.8,76.41,80.16,86.83,89.7,92.26,94.32,96.86,100,103.38,106.31,109.41,112.73,117.16
"139","130","  Clothing and shoes","B169RG",24.68,23.57,20.61,16.91,17.26,20.02,19.67,19.67,20.7,20.19,19.73,19.95,21.9,26.22,29.26,33.09,35.95,38.81,41.83,44.42,42.55,42.19,45.82,45,44.87,44.92,44.76,45.6,46.26,46.47,46.88,47.5,47.81,47.96,48.43,48.78,49.3,50.67,52.83,55.82,59.06,61.49,63.47,64.85,67.19,71.95,74.69,77.16,80.33,81.92,83.53,86.54,89.04,90.15,91.15,91.52,93.34,92.65,95.62,98.78,100.19,103.48,105.47,106.24,105.74,103.95,101.42,100,100.03,98.04,96.46,95.22,93.35
"140","131","    Shoes (12)","BSHURG",17.32,16.35,14.07,11.79,11.35,12.33,12.06,12.17,12.76,12.65,12.49,12.65,13.42,15.75,17.43,18.85,19.88,21.89,25.47,27.54,27.16,27.54,30.96,30.36,30.14,30.9,31.28,32.86,33.84,34.33,35.77,37,37.37,37.91,38.29,38.49,39.15,41.46,43.5,45.83,48.67,51.18,52.88,54.36,56.62,60.03,62.73,65.21,68.28,70.81,75.96,81.37,85.18,86.84,86.93,87.52,88.15,87.3,89.56,93.18,96.38,98.37,100.54,102.87,103.14,102.17,100.75,100,99.84,98.86,96.31,94.83,94.23
"141","132","    Women's and children's clothing and accessories except shoes (14)","BWCLRG",27.8,26.57,23.31,18.98,20.19,24.06,23.6,23.5,24.66,23.93,23.34,23.36,26.2,31.45,35.82,42.17,46.89,49.17,51.62,55.18,52.11,51.06,54.69,53.4,53.41,53.34,53,53.51,53.96,54.13,54.35,54.6,54.75,54.67,55.14,55.38,55.82,56.91,59.44,62.88,66.25,68.79,71.14,72.89,75.4,80.62,83.28,85.76,88.88,90.44,91.03,92.99,94.26,94.35,95.2,95.1,97.22,95.97,99.65,102.68,103,107.21,108.75,109.12,108.33,106.13,102.45,100,99.74,96.96,95.11,93.87,92.24
"142","133","    Men's and boys' clothing and accessories except shoes (15+16)","B484RG",23.21,22.3,19.55,16.05,15.94,18.45,18.2,18.26,19.3,18.81,18.31,18.81,20.34,24.49,26.65,28.8,30.51,34.27,37.19,38.68,37.42,37.38,40.78,40.46,40.19,39.96,39.7,40.44,41.17,41.22,41.2,41.92,42.4,42.61,43.15,43.74,44.27,45.45,47.08,49.7,52.86,54.99,56.54,57.32,59.39,64.09,66.9,69.3,72.54,73.67,74.94,78.24,81.94,84.37,86.11,87.17,89.1,89.5,91.54,94.68,97.12,99.47,102.13,102.82,102.45,101,99.94,100,100.65,99.6,98.98,97.85,94.89
"143","134","  Gasoline, fuel oil, and other energy goods","A173RG",12.57,12.16,10.81,10.55,10.32,10.89,10.79,11.08,11.3,11.1,10.72,10.73,11.23,11.89,12.31,12.58,12.56,13.05,14.67,16.7,16.95,17.14,17.61,17.93,18.62,18.92,19.12,19.72,20.63,20.4,20.68,21.08,21.05,21.17,21.22,21.07,21.8,22.31,23.04,23.45,24.18,24.54,24.96,25.26,27.89,38.77,41.57,43.53,46.62,48.71,65.28,90.64,102.18,97.55,94,93.04,93.29,73.51,76,76.59,83.24,95.22,93.83,93.13,92.25,92.49,93.69,100,100.09,87.55,94.59,121.92,118.11
"144","135","    Gasoline and oil (75)","B170RG",15.2,14.52,12.28,12.77,12.66,13.29,13.32,13.75,14.08,13.7,13.07,12.85,13.43,14.05,14.19,14.22,14.11,14.46,16.21,18.18,18.57,18.59,18.98,19.36,20.18,20.62,20.83,21.46,22.39,22.17,22.49,23.14,22.91,23.05,23,22.85,23.71,24.26,25.06,25.43,26.27,26.5,26.69,27.04,29.63,40.02,42.71,44.52,47.1,49.15,65.87,91.41,101.71,96.57,93.41,92.01,92.76,72.85,75.65,76.29,83.34,94.83,93.64,93.26,92.32,92.77,94.21,100,100,87.09,94.77,121.14,116.8
"145","136","    Fuel oil and coal (40)","B171RG",7.68,7.53,7.1,6.4,6.16,6.54,6.39,6.51,6.6,6.58,6.48,6.67,6.99,7.52,7.96,8.23,8.26,8.71,9.82,11.42,11.48,11.79,12.27,12.45,12.81,12.87,13.01,13.45,14.15,13.95,14.14,14.03,14.38,14.43,14.7,14.57,14.91,15.28,15.76,16.24,16.62,17.32,18.49,18.64,21.33,33.76,37.01,39.52,44.59,46.87,62.8,87.41,106.42,105.19,98.87,101.12,97.63,78.74,78.82,79.04,82.58,98.62,95.52,92.1,91.78,90.3,89.62,100,100.78,91.54,92.66,129.05,130.74
"146","137","  Other","B172RG",13.68,13.19,12.54,11.82,11.25,11.55,11.52,11.46,11.87,11.66,11.52,11.75,12.14,13.35,14.27,15.16,15.71,16.41,18.72,19.75,19.24,19.32,20.59,20.58,20.87,20.9,21.11,21.48,22.15,22.65,23.02,23.36,23.41,23.46,23.74,23.99,24.28,24.75,25.33,26.26,27.22,28.43,29.44,30.16,30.95,33.9,37.88,39.95,42.3,44.71,47.63,51.87,56.19,60.66,64.91,67.25,69.86,72.63,75.52,78.88,83.05,87.24,91.6,95.01,96.54,97.13,98.5,100,100.88,102.91,106.96,109.4,112.01
"147","138","    Tobacco products (7)","BTOBRG",7.15,6.74,6.86,6.86,6.09,6.29,6.23,6.19,6.35,6.39,6.5,6.68,6.84,7.05,7.5,7.74,8.09,8.35,8.99,9.33,9.54,9.72,10.03,10.48,10.99,11.07,11.17,11.4,11.76,11.99,12.46,12.88,12.98,13.09,13.48,13.8,14.39,15.16,15.73,16.72,17.61,19.09,19.9,20.98,21.57,22.62,24.23,25.26,26.47,27.93,29.55,31.8,34.3,38.07,45.43,48.34,51.12,54.55,58.31,63.5,71.53,78.78,87.85,95.27,98.67,94.71,97.04,100,104.65,117.8,151.81,168.54,181.46
"148","139","    Toilet articles and preparations (21)","BTLGRG",19.27,18.9,18.25,17.84,17.81,16.25,16.01,16.04,16.31,16.35,16.25,16.08,16.62,18.11,18.42,19.27,19.61,20.49,24.66,25.34,24.42,23.71,26.36,25.48,25.58,25.47,25.68,26.49,27.34,28.5,28.68,28.65,28.56,28.79,28.9,28.92,28.83,28.51,29.02,29.87,31.16,31.96,33,33.85,34.73,38.7,43.85,46.45,49.09,51.5,54.82,59.37,64.8,69.9,73.75,76.05,78.25,80.59,82.15,84.74,87.94,91.11,94.04,96.27,97.63,98.95,99.72,100,100.2,101.71,103.21,104.56,105.56
"149","140","    Semidurable house furnishings (33)","BSDHRG",21.03,19.26,15.8,12.98,13.82,15.55,15.55,15.38,15.89,14.37,13.65,14.12,16.22,21.24,24.48,27.69,29.83,31.77,39.87,41.22,35.69,36.07,39.32,35.86,35.27,34.34,34.17,34.38,34.55,34.42,34.53,34.96,35.24,35.15,35.17,35.3,35.57,36.04,37.04,38.45,39.6,40.42,41.36,42.12,43.06,48.6,52.24,54.76,57.57,61.08,65.94,71.59,76.31,83.08,88.58,91.85,94.41,96.35,99.24,102.06,102.47,103.14,103.15,103.91,103.88,103.92,102.25,100,97.84,95.68,94.61,92.07,89.94
"150","141","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","BCLPRG",15.65,15.59,14.09,12.61,12.36,12.33,12.29,12.25,12.4,12.35,12.18,12.08,12.38,13.45,13.92,14.55,14.86,15.97,20.77,21.92,19.84,19.43,21.73,20.7,20.96,21.79,21.95,22.19,23.12,23.81,24.05,24.29,24.1,24.02,24.16,24.1,24.15,24.53,25.15,25.75,26.21,27.42,28.6,29.06,29.76,35.33,44.15,47.62,51.75,54.71,58.44,64.08,69.64,73.72,75.94,77.23,79.53,80.81,82.9,84.74,89.01,91.81,94.47,94.56,94.48,94.66,97.61,100,101.01,102.7,104.53,109.16,113.17
"151","142","    Drug preparations and sundries (45)","BDRGRG",20.58,20.47,20.1,19.34,18.31,17.6,17.14,17.15,17.28,17.41,17.33,17.31,17.51,17.94,18.05,18.18,18.31,18.69,20.2,21.4,21.74,22.01,22.8,23.1,23.28,23.5,23.74,24.27,25.01,25.87,26.25,26.2,25.61,24.93,24.53,24.42,24.33,24.37,24.23,24.25,24.58,25.09,25.45,25.51,25.58,26.5,28.64,30.32,32.22,34.47,36.79,40.04,44.39,48.93,53.02,56.7,60.46,64.08,67.59,71.35,76.02,81.55,87.49,92.32,94.97,97.08,97.88,100,101.49,103.77,107.59,111.15,115.8
"152","143","    Nondurable toys and sport supplies (89)","BTOYRG",25.26,25,23.41,21.42,21.24,22.52,22.76,23.42,24.42,24.11,23.21,24.05,24.05,27.87,28.25,33.83,36.19,36.2,37.35,40.56,40.99,40.74,43.56,43.5,43.69,43.05,43.37,45.09,45.66,46.23,46.22,46.94,47.6,48.29,48.89,49.24,48.69,48.52,49.34,51.24,53.78,55.02,56.21,57.05,57.56,59.86,63.52,65.08,65.97,68.47,71.65,77.29,82.06,85.5,86.4,86.78,86.4,86.86,88.83,92.69,95.61,97.29,98.32,99.45,99.92,100.65,99.45,100,99.08,94.67,89.05,84.18,80.78
"153","144","    Stationery and writing supplies (35)","BSTYRG",12.45,12.12,10.35,9.94,8.56,8.85,8.57,8.7,9.85,9.97,9.94,10.29,10.19,11.92,12.37,13.54,13.19,13.32,14.91,16.28,16.14,17.01,19.04,19.42,19.51,19.32,20.33,21.6,22.42,22.73,22.78,23.05,23.08,23.33,23.59,24.08,24.76,25.68,26.76,27.76,28.58,30.02,30.85,31.27,32.79,39.47,43.63,45.63,48.28,49.68,52.68,56.47,60.78,64.93,67.82,69.6,71.41,72.46,73.42,75.04,77.9,80.45,83.31,87.27,89.12,91.33,95.86,100,104.41,107.2,106.47,104.69,104.83
"154","145","    Net foreign remittances (111 less 113)"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","146","    Magazines, newspapers, and sheet music (88)","BMAGRG",6.96,6.88,6.83,6.72,6.56,6.58,6.61,6.66,6.69,6.91,6.99,7.04,7.07,7.26,7.93,8.2,8.46,8.79,9.46,10.35,11.04,11.21,11.45,12.12,12.63,12.79,13.03,13.19,14.14,15.05,15.38,15.6,15.88,16.12,16.85,17.49,17.98,18.58,19.19,20.36,21.45,22.84,24.59,25.38,26.07,28.44,32.72,35.28,37.73,40.23,43,47.48,52.27,57.09,60.9,62.63,66.03,68.68,70.69,73.2,75.97,79.52,84.03,87.31,90.05,92.7,96.08,100,101,103.22,105.57,107.49,109.59
"156","147","    Flowers, seeds, and potted plants (95)","BFLORG",17.2,16.83,13.52,8.69,9.36,13.47,16.05,14.28,20.01,14.53,11.95,13.09,12.59,16.99,21.3,24.26,24.78,25.55,29.32,34.15,30.95,29.58,30.08,34.15,31.4,29.27,32.08,28.34,29.32,28.93,29.39,30.11,30.82,31.45,31.99,32.75,33.06,33.61,34.46,36.09,37.44,39.1,41.13,42.34,43.41,46.07,49.77,52.13,54.4,57.17,61.79,69.26,76.24,79.77,80.54,80.71,83.26,83.68,87.27,89.32,91.41,95.32,99.25,102.42,99.96,100.18,103.23,100,96.79,98.05,95.85,100.08,103.5
"157","148","Services","B005RG",9.97,9.71,9.08,8.26,7.72,7.56,7.66,7.81,8.09,8.16,8.17,8.22,8.43,8.87,9.32,9.77,10.09,10.55,11.2,11.83,12.15,12.51,13.05,13.57,14.26,14.69,15,15.39,15.83,16.28,16.74,17.19,17.51,17.82,18.07,18.4,18.76,19.29,19.86,20.69,21.73,22.89,24.17,25.22,26.37,28.46,30.8,32.9,35.49,38.31,41.43,45.88,50.58,54.81,58.33,61.35,64.36,67.31,70.2,73.61,77.12,80.95,84.82,88.5,91.57,94.16,97.25,100,103.12,105.53,107.81,110.85,114.32
"158","149","  Housing","B174RG",16.69,16.21,15.3,13.71,12.32,11.25,11.32,11.57,12.11,12.48,12.46,12.49,12.71,13.05,13.17,13.29,13.47,13.8,14.3,15.17,15.65,16.17,16.86,17.56,18.43,18.98,19.24,19.58,19.95,20.34,20.7,21.04,21.35,21.62,21.9,22.14,22.38,22.73,23.19,23.8,24.62,25.64,26.86,27.86,29.06,30.19,32.17,34.31,37.22,39.87,43.06,47.11,51.97,56.36,59.74,62.88,66.68,70.61,73.89,77.16,80.36,84.12,86.79,89.16,91.55,94.08,97,100,102.96,106.31,109.3,112.77,117.15
"159","150","    Owner-occupied nonfarm dwellings--space rent (24)","BOWNRG",17.83,17.36,16.43,14.76,12.72,11.91,11.88,12.16,12.72,13.14,13.14,13.19,13.42,13.72,13.72,13.75,13.81,13.89,14.34,15.29,15.96,16.52,17.19,17.89,18.86,19.51,19.79,20.15,20.51,20.91,21.19,21.52,21.78,22.04,22.28,22.5,22.71,23.03,23.46,24.03,24.79,25.82,27.01,27.96,29.16,30.27,32.28,34.42,37.36,39.93,43.04,47.04,51.89,56.3,59.71,62.77,66.46,70.42,73.67,77.04,80.25,84.1,86.54,88.87,91.25,93.82,96.92,100,102.9,106.24,109.13,112.38,116.69
"160","151","    Tenant-occupied nonfarm dwellings--rent (25)","BTENRG",18.02,17.54,16.61,14.91,13.93,12,12,12.29,12.85,13.28,13.28,13.33,13.56,13.84,13.87,13.9,13.95,14.04,14.49,15.45,16.13,16.69,17.37,18.08,19.04,19.72,20,20.36,20.73,21.13,21.42,21.74,22.02,22.29,22.54,22.73,22.97,23.29,23.7,24.28,25.05,26.11,27.3,28.25,29.49,30.58,32.63,34.81,37.76,40.35,43.49,47.52,52.45,56.81,60.34,63.76,67.96,72.2,75.45,78.52,81.66,85.21,88.35,90.74,92.97,95.2,97.48,100,102.8,106.07,109.18,113,117.89
"161","152","    Rental value of farm dwellings (26)","BFARRG",9.58,9.1,8.23,7.18,6.76,7.18,7.77,7.88,8.26,8.33,8.19,8.09,8.3,8.92,9.69,10.67,11.96,14.71,15.72,15.79,14.22,14.29,15.23,15.96,15.82,15.02,15.02,14.85,15.16,15.65,17.22,17.93,18.99,19.63,20.76,21.75,22.46,23.65,25.13,26.28,28.52,28.73,31.58,34.95,36.16,38.34,39.04,40.96,44.35,48.36,52.54,57.18,61.86,64.4,65.58,65.51,65.8,65.86,68.41,67.42,71.16,73.92,75.26,78.86,84.58,91.73,95.19,100,106.33,111.93,118.24,126.19,135.46
"162","153","    Other (27)","BOHORG",9.67,9.48,8.98,8.2,7.36,6.94,6.93,7.07,7.4,7.6,7.67,7.57,7.69,8.12,8.45,8.58,8.69,8.89,9.36,9.91,10.34,10.68,11.38,11.88,12.42,12.8,13.14,13.55,14.06,14.44,14.79,15.04,15.22,15.36,15.43,15.59,15.86,16.13,16.8,17.58,18.65,19.94,20.82,21.35,22.27,23.72,25.45,27.35,29.56,33.06,37.34,42.14,46.71,51.59,54.21,58.2,62.27,65.01,69.13,73.18,76.71,80.26,84.39,87.11,89.88,92.49,95.84,100,104.33,107.96,111.22,116.23,118.21
"163","154","  Household operation","B186RG",13.54,13,12.2,11.46,11.07,11.08,11.15,11.19,11.49,11.25,11.3,11.4,11.68,12.42,13.64,14.78,15.55,15.85,16.31,16.84,17.18,17.57,18.08,18.84,19.45,19.67,19.97,20.27,20.73,21.39,22.03,22.76,22.98,23.16,23.41,23.66,23.86,24.11,24.53,25.27,26.1,27.18,29.07,30.54,31.96,35.31,38.66,42.1,45.11,47.74,50.92,56.29,63.34,70.6,75.41,79.3,81.81,83.09,82.74,83.96,86.01,87.6,90.76,92.8,95.24,96.92,98.06,100,101.71,100.61,100.46,102.23,106.18
"164","155","    Electricity (37)","BELCRG",28.48,27.58,26.53,25.73,25.43,24.72,23.99,23.21,22.72,22.38,22.01,21.78,21.64,21.51,21.48,21.43,21.32,20.48,20.23,20.42,20.61,20.64,20.83,21.02,21.28,21.39,21.66,21.72,21.83,22.1,22.39,22.72,22.81,22.81,22.72,22.65,22.56,22.56,22.72,22.89,23.4,24.15,25.75,27.01,28.68,33.89,38.25,40.76,43.47,46.19,49.71,57.58,66.2,72.76,75.15,79.95,82.81,83.89,83.64,84.79,87.16,89.19,92.52,94.31,96.16,96.2,98.38,100,100.37,96.51,95.68,97.24,104.12
"165","156","    Gas (38)","BNGSRG",13.13,12.86,12.63,12.33,12.11,12.03,11.99,11.93,11.8,11.97,12.09,12,11.87,11.84,11.72,11.67,11.53,11.33,11.43,11.83,12.34,12.38,12.32,12.57,12.94,13.19,13.73,13.96,14.17,15.01,15.54,16.52,16.78,16.78,16.78,16.87,16.87,16.96,16.96,17.14,17.41,18.39,19.73,20.71,21.7,24.37,29.19,34.19,40.59,44.27,51.35,61.4,69.98,83.55,97.88,98.52,97.89,93.15,88.94,88.38,90.8,90.89,92.02,93.72,99.47,101.32,96,100,107.14,103.68,105.26,124.05,147.65
"166","157","    Water and other sanitary services (39)","BWATRG",5.52,5.52,5.52,5.34,4.86,4.92,5.16,5.16,5.16,5.16,5.1,5.22,5.16,5.22,5.22,5.34,5.46,5.58,5.82,6,6.06,6.42,6.66,7.26,7.68,8.1,8.88,9.12,9.84,10.44,10.86,11.21,11.5,11.8,12.16,12.34,12.64,13.11,13.41,14.05,15,16.19,17.91,18.58,19.58,20.77,22.78,25.33,28.07,31.33,32.81,35.07,39.31,44.03,47.75,50.96,54.1,57.24,60.63,64.22,68.35,73.18,78.82,84.44,89.09,93.48,96.49,100,102.5,105.88,108.28,110.95,114.21
"167","158","    Telephone and telegraph (41)","BTELRG",33.3,33.54,33.67,33.74,33.57,33.1,32.9,32.72,32.28,32.28,32.23,32.29,32.46,34.23,35.34,36.38,36.97,36.98,37.55,39.47,41.16,44.29,45.22,46.9,48.55,47.79,47.26,47.85,48.78,50.23,51.4,52.21,52.38,52.38,52.39,52.47,51.72,50.58,51.25,51.25,51.93,52.54,55.12,58.22,59.71,62.23,64.24,66.52,67.28,68.02,67.76,68.95,75.63,83.42,88.49,95.04,97.68,100.71,98.28,97.11,97,96.68,97.42,97.51,97.99,100.11,99.69,100,100.22,98.83,96.24,92.59,90.28
"168","159","    Domestic service (42)","BDMSRG",5.65,5.23,4.55,3.87,3.57,3.66,3.75,3.93,4.34,4.1,4.22,4.34,4.67,5.47,7.14,8.83,10.14,10.89,11.27,11.54,11.54,11.57,12.16,13,13.62,13.8,13.83,14.16,14.69,15.14,15.73,16.7,16.9,17.36,17.7,18.28,19.15,20.22,20.95,23.05,24.7,26.74,28.33,29.74,31.85,35.01,37.67,42.71,46.09,49.35,54.21,58.54,63.61,67.24,68.6,70.4,72.53,74.11,75.58,78.08,80.23,82.35,86.97,89.79,92.1,93.84,97.18,100,102.57,105.44,108.5,113.22,117.48
"169","160","    Other (43)","BOPORG",6.43,6.16,5.83,5.75,5.88,6.1,6.27,6.18,6.43,6.26,6.2,6.32,6.74,7.16,7.71,8.23,8.44,8.79,9.8,10.44,10.75,11.01,11.73,12.45,12.81,13.29,13.55,13.86,14.17,14.58,15.31,15.64,15.84,16.05,17.01,17.57,18.19,18.85,19.7,21.23,22.37,23.35,25.74,27.04,28,30.7,32.47,36.95,38.99,41.59,44.8,48.21,53.72,58.68,60.97,63.26,67.21,69.76,71.28,75.08,77.31,78.86,84.6,87.47,90.23,92.03,97.12,100,102.78,104.97,108.47,113.06,116.63
"170","161","  Transportation","B177RG",9.87,9.69,9.2,8.58,8.09,8.3,8.52,8.5,8.43,8.46,8.54,8.37,8.5,9,9.27,9.2,9.29,9.59,10.36,11.2,11.99,12.65,13.31,14.04,15.02,15.57,15.57,15.63,16.12,17.01,17.78,18.28,18.89,19.09,19.04,19.07,19.67,20.28,20.8,21.4,22.51,24.73,27.3,28.26,28.81,30.65,32.25,35.83,39.82,42.08,45.01,51.91,56.87,59.59,62.52,64.5,65.52,67.7,71.8,75.15,78.23,81.75,86.75,90.62,94.12,95.68,98.36,100,103.55,104.93,105.36,105.86,108.08
"171","162","    User-operated transportation","B487RG",10.48,9.89,9.3,8.44,7.65,8,8.37,8.41,8.38,8.31,8.42,8.34,8.57,9.24,9.59,9.6,9.56,9.87,10.8,11.66,12.13,12.66,13.15,14,15.29,15.89,15.64,15.46,15.88,16.87,17.67,18.13,18.67,18.64,18.62,18.53,19.24,19.87,20.29,20.78,21.7,23.85,26.59,27.52,27.94,29.67,30.71,34.52,39.15,41.59,44.44,49,51.91,55,58.28,59.69,60.99,64.99,69.29,72.15,74.85,78.31,84.67,89.09,92.19,94.9,97.88,100,103.35,105.36,106.09,105.33,109.05
"172","163","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRG",11.42,11.04,10.37,9.01,8.05,8.32,8.61,8.62,8.64,8.64,8.62,8.59,8.97,9.75,9.86,9.99,10.07,10.4,11.26,11.88,12.18,12.45,13.37,13.72,14.45,14.96,15.29,15.88,16.44,16.71,17.07,17.37,17.84,18.06,18.29,18.51,18.88,19.2,20.02,21.08,22.44,24.1,25.84,26.98,28.48,31.36,35.36,37.93,40.78,44.02,48.28,53.23,58.1,62.41,65.11,67.43,69.43,72.07,75.1,77.98,81.13,84.23,87.44,90.09,92.84,95.6,98.09,100,101.42,103.38,105.38,108.31,111.94
"173","164","      Other user-operated transportation (76+77)","B2631G",6.98,5.77,5.48,5.8,5.51,6.01,6.48,6.63,6.46,6.25,6.67,6.47,6.33,6.61,7.47,7.16,6.82,7.04,8.09,9.58,10.52,11.78,11.07,13.08,15.67,16.41,14.8,12.87,12.95,15.46,17.25,18.04,18.72,18.07,17.43,16.57,18.03,19.39,18.79,17.9,17.72,20.84,25.74,26.07,23.98,23.02,17.58,23.76,32.07,32.48,31.9,35.2,33.65,33.9,38.03,37.23,36.65,44.32,52,54.77,56.13,60.64,76.11,85.7,89.85,92.37,97.11,100,110.79,113.02,108.59,92.4,96.52
"174","165","    Purchased local transportation","B477RG",5.54,5.59,5.34,5.08,5.02,5.21,5.28,5.33,5.46,5.47,5.56,5.46,5.48,5.6,5.71,5.53,5.66,5.9,6.3,6.81,7.69,8.4,9.2,9.73,10.25,10.89,11.47,11.91,12.35,12.79,13.31,13.62,14.17,14.81,15.16,15.66,15.99,16.73,17.87,18.94,20.18,22.74,24.45,25.64,25.97,26.95,29.05,31.55,33.19,34.68,37.11,43.1,50.97,56.17,57.86,60.88,62.62,66.48,69.09,71.8,73.59,77.68,81.69,85.6,87.82,88.89,91.02,100,102.29,100.8,99.52,100.93,103.96
"175","166","      Mass transit systems (79)","BSTRRG",5.16,5.26,5.27,5.27,5.27,5.27,5.28,5.26,5.25,5.28,5.28,5.3,5.29,5.38,5.37,5.36,5.34,5.49,5.74,6.43,7.24,7.89,8.8,9.46,10.1,10.95,11.38,11.84,12.28,13.02,13.4,13.82,14.46,15.02,15.37,15.72,16,16.77,17.97,19.08,20.63,24.14,25.75,26.87,26.8,26.45,27.93,31.16,32.15,32.85,34.72,40.1,49.59,55.72,57.8,61.68,63.44,68.54,70.35,71.83,73.71,78.33,81.3,85.83,87.97,89.01,91.39,100,101.53,100.43,99.16,100.56,103.58
