"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"222","215","        Cable and satellite television and radio services","DCTVRC0",63,80,96,118,139,155,167,196,237,302,381,456,520,613,746,914,1099,1308,1641,2015,2430,3145,4471,5632,7109,8338,9419,10533,11810,13687,15901,18032,19269,21408,23166,22343,24488,27400,30131,33461,37472,41555,44540,45812,48091,52860,55341,58494,62752,67101,70012,73242,77290,82226,88402
"223","216","        Photo processing","DFDVRC0",201,222,241,262,295,331,385,471,534,591,652,682,724,806,1079,1323,1464,1836,1874,1983,2338,2643,2795,2710,3158,3493,3806,4110,4431,4955,5427,5368,5466,5499,5767,5944,6097,6377,6530,6612,6629,6409,6060,5946,5691,5146,4007,2981,2878,2648,2468,2480,2818,2662,2622
"224","217","        Photo studios","DPICRC0",304,323,330,343,363,403,452,509,569,689,825,953,1064,922,1023,1167,1331,1627,1614,1806,1989,2074,2221,2459,2712,2779,2996,3381,3717,4115,4282,4679,4867,5318,5727,5994,6510,6455,6072,6381,6396,6529,6635,6546,6616,6718,6869,6947,7284,7361,6964,6939,6950,6722,6686
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRC0",994,1092,1165,1211,1262,1294,1311,1361,1462,1581,1680,1709,1808,1959,2133,2285,2571,2726,2922,2818,2896,2872,2863,2841,2937,3033,3363,3437,3868,4188,4163,4160,3994,4082,4298,4265,4485,4472,4614,5241,5808,6627,6831,7218,7204,7626,7286,7732,7929,7827,7394,7405,7730,7888,8179
"226","219","        Video media rental","DVIDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,692,1324,2344,3021,3336,4198,4884,5636,5792,6290,7021,7954,8415,8068,8193,8317,9204,9019,8585,7919,8500,8959,7994,8266,8449,7721,6718,5985,5046,4657,4464
"227","220","      Gambling (91)","DGAMRC0",643,700,750,858,930,1045,1102,1176,1268,1379,1518,1667,1869,2177,2654,3037,3447,3930,4411,5182,5865,6702,8427,9678,11053,12564,14253,15516,16938,19686,21255,23660,24664,28080,33277,39608,45418,50291,54513,55881,62341,67556,69990,74057,81251,90109,96477,104657,109967,110153,105010,105559,108947,112488,116349
"228","221","        Casino gambling","DCASRC0",139,160,180,207,235,272,284,326,368,396,448,510,570,691,854,1050,1254,1494,1725,2227,2640,3171,4454,5124,5766,6268,6801,7186,7931,8988,9587,11461,12310,14931,19095,24076,28528,32454,36249,37141,43297,48379,50120,52938,59472,67577,72941,79819,84449,84761,79964,79958,82496,85217,88549
"229","222","        Lotteries","DLOTRC0",1,1,1,1,1,4,3,2,19,36,35,61,104,223,351,428,531,634,803,967,1104,1240,1465,1964,2648,3462,4608,5403,6007,7274,8323,8722,8943,9783,10833,12013,13188,13980,14247,14453,14519,14489,15170,16249,17065,17766,18901,20203,21085,21158,21019,21458,22178,22951,23534
"230","223","        Pari-mutuel net receipts","DPARRC0",503,539,569,650,694,769,814,848,881,947,1035,1096,1195,1263,1449,1559,1662,1802,1883,1988,2121,2291,2508,2590,2639,2834,2844,2927,3000,3424,3345,3477,3411,3366,3350,3519,3702,3857,4018,4287,4525,4688,4700,4871,4715,4765,4635,4635,4433,4235,4026,4143,4272,4319,4265
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRC0",240,263,290,329,371,444,511,612,670,814,943,959,1042,1224,1349,1447,1636,1897,2139,2423,2925,3253,3737,4142,4555,5203,5783,6450,7378,8387,9449,10498,11023,11697,12886,14347,16145,17913,19270,20993,22920,24768,25333,26393,28021,30383,32987,35650,39289,41214,39511,41682,43345,46244,47420
"232","225","        Veterinary and other services for pets","DVETRC0",160,185,215,246,281,340,395,462,474,582,659,660,705,782,854,937,1061,1212,1320,1471,1651,1927,2207,2426,2688,2946,3278,3660,4171,4487,4798,5148,5554,5839,6524,7431,8545,9816,10960,11882,12720,13838,14541,15469,16892,18752,20881,23084,25769,27106,26986,28239,29052,31171,33272
"233","226","        Package tours","DHOLRC0",28,28,32,36,36,39,44,59,87,104,127,147,164,197,241,288,313,379,456,512,627,737,825,950,1065,1137,1395,1497,1669,2167,2627,3225,3365,3905,4262,4805,5176,5672,5709,6004,6569,6702,6176,5959,6253,6835,7188,7518,8452,9249,8305,9072,9721,10334,9361
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERC0",53,50,43,47,54,65,72,91,109,128,157,152,173,245,254,222,262,306,363,441,646,589,705,766,802,1119,1110,1293,1538,1732,2024,2125,2104,1953,2100,2111,2425,2424,2601,3107,3631,4227,4616,4965,4876,4797,4918,5048,5068,4859,4220,4371,4572,4739,4787
"235","228","    Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298407,308298,316137,326558,343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,658685,701719,736474
"236","229","      Food services","DFSERC0",18660,19310,19740,20906,21815,23277,25382,27686,28767,32128,34736,38589,40728,45014,50509,55905,63531,71615,78783,89238,101668,111466,122022,129826,139699,148776,156206,167450,182348,201641,216670,235116,244186,254140,265709,273396,279587,286661,298533,314619,330526,353822,367569,383060,404589,432059,458108,486255,509596,523673,517914,532208,567570,604215,632912
"237","230","        Purchased meals and beverages (102)","DPMBRC0",17454,18101,18459,19567,20465,21903,23897,25917,26823,30155,32683,36524,38740,43004,48337,53183,60363,68006,75034,84967,96740,105929,115851,123279,133273,142393,149978,161472,176606,195568,210214,228346,237257,247054,258399,265877,271808,278675,290322,306196,321821,344894,358434,373590,394363,421183,445973,472333,494869,508661,502315,516903,550792,587087,615254
"238","231","          Meals and nonalcoholic beverages","DMABRC0",13167,13786,14138,15070,15821,17083,18832,20559,21587,24582,26895,30110,32097,35692,40279,44569,50907,57740,63792,72373,82448,90272,98945,105995,115284,123579,130431,140709,154935,171495,184224,199074,205805,213360,225296,233570,239844,246906,258151,271148,283640,302627,313053,324271,342220,365347,386581,408866,427944,440158,435117,451070,477301,508286,533739
"239","232","            Meals at schools","DMSLRC0",841,905,972,1087,1200,1321,1449,1587,1705,1824,1968,2055,2081,2143,2386,2652,2882,3140,3519,3837,4159,4525,5008,5308,5593,5893,6159,6561,6869,7336,7955,8578,9016,9580,10142,10784,11374,12049,12823,13510,14497,15209,15584,15918,16590,17011,17443,17962,18913,19868,19612,21091,22422,23635,24788
"240","233","              Elementary and secondary school lunches","DESLRC0",640,679,720,804,874,949,1018,1092,1129,1227,1341,1406,1414,1464,1551,1632,1623,1603,1704,1866,1976,2065,2226,2330,2451,2574,2730,2944,3161,3304,3413,3593,3745,3815,4052,4280,4549,4859,5237,5467,5756,6003,6154,6216,6418,6614,6838,7034,7141,7148,6891,6603,6534,6554,6491
"241","234","              Higher education school lunches","DHSLRC0",201,225,252,283,326,372,432,495,576,597,627,649,667,679,835,1020,1259,1537,1815,1971,2183,2460,2782,2978,3143,3319,3429,3617,3708,4031,4542,4984,5272,5765,6090,6504,6825,7189,7586,8043,8741,9206,9430,9702,10172,10397,10606,10928,11772,12721,12721,14487,15888,17081,18297
"242","235","            Other purchased meals","DOPMRC0",12326,12882,13165,13983,14621,15762,17383,18972,19882,22758,24928,28056,30016,33549,37892,41916,48025,54599,60273,68537,78288,85747,93937,100687,109691,117686,124272,134147,148066,164159,176269,190496,196788,203780,215154,222785,228471,234857,245328,257638,269143,287419,297468,308353,325630,348336,369137,390904,409031,420289,415505,429979,454880,484651,508950
"243","236","              Meals at limited service eating places","DMLSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75630,85628,92549,99589,102554,107744,114659,117117,120623,122242,123583,130975,135585,144620,150217,156270,164807,176548,186819,196004,203302,212430,213220,222924,234133,247596,263694
"244","237","              Meals at other eating places","DMOERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71006,77107,82335,89421,92706,94456,98999,104281,106444,111219,120371,125126,131850,140865,145168,149786,158353,169240,179664,192006,202699,204822,199260,203998,217612,233684,241802
"245","238","              Meals at drinking places","DMDPRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429,1425,1385,1486,1528,1580,1496,1387,1404,1396,1374,1537,1707,1934,2083,2297,2470,2548,2654,2893,3030,3037,3025,3058,3135,3371,3455
"246","239","          Alcohol in purchased meals","DAPMRC0",4287,4314,4321,4497,4644,4820,5064,5357,5236,5573,5788,6413,6643,7312,8058,8614,9456,10266,11242,12593,14292,15657,16906,17284,17989,18814,19547,20764,21671,24073,25989,29272,31452,33694,33102,32308,31963,31769,32170,35048,38181,42267,45381,49318,52143,55836,59392,63468,66924,68504,67198,65833,73491,78801,81515
"247","240","        Food furnished to employees (including military) (103)","DFOORC0",1206,1209,1281,1339,1350,1374,1485,1769,1944,1973,2053,2065,1988,2010,2172,2722,3168,3609,3749,4271,4928,5537,6171,6547,6426,6383,6228,5978,5742,6073,6456,6770,6929,7086,7310,7519,7779,7986,8211,8423,8705,8928,9135,9470,10226,10876,12135,13922,14727,15012,15599,15305,16778,17128,17658
"248","241","          Food supplied to civilians","DCFDRC0",751,782,816,853,886,918,991,1105,1146,1225,1343,1464,1544,1634,1769,2266,2664,3074,3196,3688,4303,4892,5519,5941,5874,5814,5689,5456,5219,5557,5910,6244,6401,6573,6768,6961,7220,7448,7688,7907,8174,8354,8517,8736,9329,9903,10499,11207,11978,12560,12897,13222,13941,14717,15611
"249","242","          Food supplied to military","DMFDRC0",455,427,465,486,464,456,494,664,798,748,710,601,444,376,403,456,504,535,553,583,625,645,652,606,552,569,539,522,523,516,546,526,528,513,542,558,559,538,523,516,531,574,618,734,897,973,1636,2715,2749,2452,2702,2083,2837,2411,2047
"250","243","      Accommodations (104)","DACCRC0",1078,1175,1224,1351,1491,1601,1799,1949,2190,2466,2725,3035,3069,3872,4323,4709,5290,6186,6882,7866,9253,10255,11893,12682,13851,16140,18094,19237,22031,24206,25927,27619,29208,32173,32698,34902,36550,39897,44895,47217,49804,54960,52094,53251,57308,64365,72534,79997,86038,88793,82420,85503,91115,97504,103562
"251","244","        Hotels and motels","DHOTRC0",834,905,920,1009,1095,1145,1268,1348,1519,1737,1939,2191,2167,2927,3309,3594,3991,4679,5249,6062,7304,8062,9389,9782,10590,12583,14241,15114,17657,19510,20916,22310,23466,26002,25979,27918,29247,32094,36713,38785,41004,45713,42187,42673,46032,52419,59876,66764,72367,73921,65971,67424,71924,77235,81977
"252","245","        Housing at schools","DSCHRC0",244,270,304,342,396,456,531,601,671,729,786,844,902,945,1014,1115,1299,1507,1633,1804,1949,2193,2504,2900,3261,3557,3853,4123,4374,4696,5011,5310,5743,6171,6719,6984,7303,7803,8182,8431,8801,9246,9907,10579,11276,11946,12658,13233,13671,14872,16449,18079,19191,20269,21584
"253","246","    Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19395,21273,22843,25797,28502,31073,34139,38339,41501,45906,54018,59262,67792,80634,87631,95609,102006,116335,145888,156571,188094,199804,205301,219809,238375,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,801067,821049,849228
"254","247","      Financial services","DFNLRC0",5653,6055,6810,6935,7081,8048,8783,9923,11089,12364,14128,15343,17068,18940,20321,23662,30130,32214,35763,43140,47198,51749,54145,62068,87174,90037,115048,127008,133214,134415,138620,135653,142950,161829,184657,197739,212882,233805,259823,286798,319633,360027,341159,347295,357424,387385,417448,446170,480341,486591,452240,473277,490327,496095,515138
"255","248","        Financial services furnished without payment (107)","DIMPRC0",3497,3899,4130,4302,4222,4906,5247,5805,6378,7018,9113,10924,11813,13176,15131,18613,24074,25054,28170,34171,36984,38258,38667,42690,62746,64275,84303,88525,90562,93515,92347,87170,88441,99548,112212,123942,130988,139769,152471,161821,170701,185403,178086,179140,183461,200884,216057,221834,236571,241158,229379,248903,259694,259078,265853
"256","249","          Commercial banks","DIMCRC0",2240,2504,2496,2465,2630,2964,3129,3450,3809,4543,5816,7219,7616,8267,9233,11505,15335,14613,16396,18353,18709,17954,16112,23138,35415,33330,46675,43594,37858,38524,39555,36274,36466,44386,49585,52649,53487,53113,54078,54397,52674,50869,47040,53537,56306,59799,65030,65159,60823,66089,68136,75006,77239,78471,74772
"257","250","          Other depository institutions and regulated investment companies","DIMNRC0",1211,1343,1580,1780,1532,1875,2043,2278,2491,2346,3076,3368,3761,4378,5146,5976,7102,8020,8765,12193,13937,15027,16454,12492,19597,21774,26130,32060,39465,40952,39883,39962,42072,46708,51198,56965,58897,64192,71613,80358,90151,103084,100940,97682,99182,110657,118528,120340,135804,136320,125075,135340,141926,138318,144742
"258","251","          Pension funds","DPENRC0",46,52,54,57,60,68,75,78,79,129,220,337,437,531,752,1133,1638,2421,3009,3626,4338,5277,6102,7060,7734,9171,11498,12871,13239,14039,12909,10934,9903,8454,11429,14328,18604,22464,26780,27066,27876,31450,30106,27921,27973,30428,32499,36335,39944,38749,36168,38557,40529,42289,46338
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRC0",2156,2156,2680,2633,2859,3142,3536,4118,4711,5346,5015,4419,5255,5764,5190,5049,6056,7160,7593,8969,10214,13491,15478,19378,24428,25762,30745,38483,42652,40900,46273,48483,54509,62281,72445,73797,81894,94036,107352,124977,148932,174624,163073,168155,173963,186501,201391,224336,243770,245433,222861,224374,230633,237017,249285
"260","253","          Financial service charges and fees","DFEERC0",744,787,820,856,881,965,1063,1178,1301,1405,1531,1648,1761,1860,2052,2259,2478,2757,3115,3518,4101,5141,6616,8210,9156,10699,12507,14757,16188,17757,19512,21162,23348,25586,28241,28987,30717,33165,34842,39574,45679,53166,59767,67343,72772,76733,83263,89174,94580,93563,92610,88740,89425,93692,96819
"261","254","          Securities commissions","DEQTRC0",1211,1154,1635,1541,1735,1908,2175,2608,3042,3543,3048,2301,2987,3368,2545,2137,2861,3605,3578,4430,4921,6851,6928,8762,12734,12270,15167,20336,17982,13971,16635,16112,19262,22537,27333,25873,30159,35601,41790,45962,54915,63003,46447,42243,39546,40311,38782,39555,40974,39102,32893,33447,34334,30568,31566
"262","255","            Direct commissions","DDCTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8668,6505,8291,7979,10437,12042,15072,14563,18119,22073,25522,28548,35777,39729,30290,28256,25558,24827,22180,21466,21698,21385,18674,17427,17416,14355,13723
"263","256","              Exchange-listed equities","DDCERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11716,14327,16592,18170,16560,15692,11218,8966,6713,5872,5407,4722,3617,1832,1422,1302,1317
"264","257","              Other direct commissions","DDCORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13806,14221,19185,21559,13730,12564,14340,15861,15467,15594,16291,16664,15057,15595,15995,13053,12405
"265","258","            Indirect commissions","DICTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5889,5241,5702,5395,5318,5908,6725,6613,7447,7856,10028,9935,10807,13435,7562,5631,5468,6028,6571,7245,7738,8431,6985,7841,8439,7382,8434
"266","259","              Over-the-counter equity securities","DICVRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3264,3238,4028,6402,2237,1064,793,720,511,544,641,847,738,667,609,512,523
"267","260","              Other imputed commissions","DICORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6763,6696,6780,7033,5324,4568,4676,5308,6060,6701,7097,7584,6247,7174,7830,6870,7911
"268","261","            Mutual fund sales charges","DMUTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,2225,2642,2738,3507,4587,5536,4697,4593,5673,6241,7479,8330,9839,8595,8356,8520,9456,10030,10844,11539,9286,7234,8179,8479,8832,9409
"269","262","          Portfolio management and investment advice services","DPMIRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4323,4961,5576,6546,7121,9151,11710,13649,15774,19767,24610,32496,41019,50593,49292,51217,54452,62180,71294,87147,98773,103203,89143,93640,97803,103487,110940
"270","263","          Trust, fiduciary, and custody activities","DTRURC0",201,215,225,236,243,269,298,331,367,398,436,470,507,536,593,653,717,798,900,1021,1192,1499,1934,2406,2538,2793,3070,3390,4159,4211,4551,4663,4779,5008,5162,5288,5243,5502,6111,6944,7320,7861,7568,7353,7193,7277,8052,8460,9443,9566,8216,8547,9071,9269,9960
"271","264","      Insurance","DINSRC0",6831,7496,7955,8416,8828,9692,10612,11350,11754,13433,14374,15730,17071,19399,21180,22244,23888,27048,32029,37494,40433,43860,47861,54267,58714,66534,73046,72796,72087,85394,99755,111737,123838,133261,147929,149136,153497,158544,169421,180479,189491,206257,211663,215289,231048,247962,272185,278038,288150,284892,266716,289961,310740,324954,334090
"272","265","        Life insurance (110)","DLIFRC0",3153,3553,3712,3887,4128,4631,5145,5318,5362,5885,6258,6885,6933,7501,8398,9055,10037,11883,13302,15312,16912,19054,20470,22808,23498,25026,28304,28751,28091,33483,38578,42312,51781,53610,59192,54612,54340,52030,55171,55982,56936,64975,61949,58796,60397,72143,79035,84092,87475,87455,80020,87555,100556,103319,105447
"273","266","        Net household insurance (111)","DFINRC0",142,166,185,201,212,222,227,227,252,274,300,341,389,444,501,570,617,696,844,1021,1174,1284,1338,1421,1508,1623,1706,1861,2124,2421,2552,2478,2441,2296,2310,2502,2633,2895,2903,3358,3588,3835,4188,4267,4928,5758,6171,6107,7435,8093,7340,7619,8003,8088,8307
"274","267","          Household insurance premiums and premium supplements","DFIPRC0",270,312,351,390,421,460,492,521,579,639,708,812,918,1025,1116,1244,1418,1655,1966,2281,2574,2908,3186,3445,3762,4104,4451,4973,5301,5575,5687,5980,6138,6490,6918,7414,7908,8285,8649,9051,9523,10162,10989,12288,13800,15167,16195,17278,18473,18761,18762,19312,19999,21060,21994
"275","268","          Less: Household insurance normal losses","DFIBRC0",128,146,166,189,209,237,265,294,327,365,408,471,530,581,615,673,801,959,1122,1260,1401,1624,1848,2024,2254,2480,2745,3113,3177,3154,3135,3502,3696,4193,4608,4913,5275,5389,5747,5692,5935,6327,6801,8022,8872,9409,10025,11171,11037,10668,11422,11693,11996,12972,13687
"276","269","        Net health insurance (112)","DHINRC0",1654,1764,1963,2143,2171,2372,2621,2897,2939,3821,4105,4431,5181,6323,6695,6910,7307,8068,10547,12856,13047,13571,15512,18863,21521,26487,28365,25629,23571,29082,36575,43437,45186,50051,56049,59272,62028,66917,73540,80757,85733,94377,101092,106528,116652,116545,129363,130646,131261,127392,119390,135846,143265,154515,160351
"277","270","          Medical care and hospitalization","DMINRC0",699,793,924,1032,1069,1174,1306,1383,1296,1953,1918,2146,2580,3497,3602,3556,3240,3594,5415,6396,7158,7605,9101,11811,14453,18916,20562,16519,14148,18878,25963,31825,34120,38426,43496,46954,49154,52080,56158,63449,68610,75529,80701,86494,97742,97504,106891,106232,105039,102234,97534,116755,124817,127868,132040
"278","271","          Income loss","DIINRC0",536,531,579,606,580,623,687,792,860,986,1181,1125,1345,1555,1701,1734,2189,2193,2407,3357,2275,1868,1875,2462,2098,2103,2064,2440,2191,2490,2356,2617,1825,2102,1500,1800,1400,1105,1172,1321,1488,1697,1892,1999,2134,2222,2316,2471,2616,2720,2694,2647,2688,2763,2815
"279","272","          Workers' compensation","DPWCRC0",419,440,460,505,522,575,628,722,783,882,1006,1160,1256,1271,1392,1620,1878,2281,2725,3103,3614,4098,4536,4590,4970,5468,5739,6670,7232,7714,8256,8995,9241,9523,11053,10518,11474,13732,16210,15987,15635,17151,18499,18035,16776,16819,20156,21943,23606,22438,19162,16444,15760,23884,25495
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRC0",1882,2013,2095,2185,2317,2467,2619,2908,3201,3453,3711,4073,4568,5131,5586,5709,5927,6401,7336,8305,9300,9951,10541,11175,12187,13398,14671,16555,18301,20408,22050,23510,24430,27304,30378,32750,34496,36702,37807,40382,43234,43070,44434,45698,49071,53516,57616,57193,61979,61952,59966,58941,58916,59032,59985
"281","274","    Other services","DOTSRC0",25518,27058,28254,29853,31611,33760,36603,39875,43572,46751,50460,54595,58051,63677,69332,74361,80344,88620,97744,108319,117213,127144,137178,150931,169864,187464,207860,221167,242433,262761,281112,297463,300546,325730,344374,371168,391199,416403,452299,496040,533573,580748,619010,643459,683510,721496,755330,801416,841934,871941,875121,905104,934834,970444,987854
"282","275","      Communication","DCOMRC0",4825,5196,5547,5896,6417,6925,7521,8104,8856,9659,10709,11585,12741,14328,16103,17657,19922,22386,24260,26862,29048,31144,34984,39857,43614,47177,51884,55600,58679,61703,65651,68311,71996,79093,83465,90587,95932,104928,116370,125317,137493,152741,159088,162686,166848,172477,177797,189973,203303,217288,217855,226844,238088,251735,260051
"283","276","        Telecommunication services (71)","DTCSRC0",4186,4516,4829,5111,5525,5953,6493,7013,7675,8343,9285,10095,11048,12444,14153,15546,17741,19829,21565,23874,25717,27574,30889,35140,38639,41786,45978,49261,51879,54390,58135,60702,64003,70998,75008,81291,85168,92770,103149,109981,117573,126414,131187,131301,130446,132828,137689,144838,149042,154032,149587,152123,156021,160613,165581
"284","277","          Land-line telephone services, local charges","DLOCRC0",2151,2320,2481,2626,2839,3059,3337,3605,3945,4288,4773,5189,5679,6396,7275,7991,9119,10193,11086,12272,13218,14064,15868,18048,20017,22129,23994,25866,26846,27219,28313,29484,30704,32226,33809,35834,37793,40408,43313,45772,48632,52044,53821,52553,48219,45356,45538,46237,44522,44405,40447,40123,38048,37317,38542
"285","278","          Land-line telephone services, long-distance charges","DLDTRC0",2035,2196,2348,2485,2686,2894,3156,3408,3730,4055,4512,4906,5369,6048,6878,7555,8622,9636,10479,11602,12499,13510,15021,17092,18622,19657,21883,23222,24791,26580,28470,28972,30211,33907,34776,36936,36100,38628,44130,44753,44736,41780,36602,29815,27656,26298,23357,21334,20426,20229,17636,15477,14975,14666,15101
"286","279","          Cellular telephone services","DCELRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,173,242,591,1352,2246,3088,4866,6423,8522,11274,13735,15706,19455,24204,32590,40763,48933,54572,61173,68794,77268,84094,89398,91504,96523,102998,108629,111938
"287","280","        Postal and delivery services (68)","DPSSRC0",639,680,718,785,892,972,1028,1091,1181,1316,1424,1490,1693,1884,1950,2111,2181,2557,2695,2988,3331,3570,4095,4717,4975,5391,5906,6339,6800,7288,7466,7509,7793,7790,8045,8491,9153,9483,9646,9787,9865,9890,9658,9456,9795,10155,10406,11627,11918,12902,12008,11738,10776,10402,10202
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRC0",633,673,711,776,882,961,1015,1077,1166,1295,1393,1450,1640,1819,1881,2034,2101,2469,2609,2891,3238,3488,4028,4660,4839,5158,5582,5923,6284,6665,6725,6654,6819,6707,6879,7225,7797,8075,8232,8203,8203,8072,7845,7733,8012,8277,8506,9575,9784,10738,10046,9775,8653,8208,7938
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRC0",6,7,7,9,10,11,13,14,15,21,31,40,53,65,69,77,80,88,86,97,93,82,67,57,136,233,324,416,516,623,741,855,974,1083,1166,1266,1356,1408,1414,1584,1662,1818,1813,1723,1783,1878,1900,2052,2134,2164,1962,1963,2123,2194,2264
"290","283","        Internet access (72)","DINTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,50,100,200,305,412,805,1611,2675,3575,5549,10055,16437,18243,21929,26607,29494,29702,33508,42343,50354,56260,62983,71291,80720,84268
"291","284","      Education services","DTEDRC0",2832,3073,3302,3627,3990,4420,5048,5746,6409,7211,8069,9176,10102,11005,12226,13375,14946,16476,17709,19531,21323,23698,26272,28793,31841,34786,37936,40839,44543,49791,55648,60660,65157,70801,75032,79880,85502,92619,99785,107390,115367,125248,134385,139825,149662,159120,170733,183406,196576,208923,219859,235502,250882,264876,276124
"292","285","        Higher education (97)","DHEDRC0",1374,1495,1639,1811,2004,2297,2727,3124,3466,3931,4457,5188,5889,6487,7107,7637,8170,8861,9640,10258,11409,12862,14767,17007,18806,20533,22260,24130,26097,28465,31516,34742,38400,42334,45449,48628,51912,56361,61261,66027,70774,76776,82917,86986,94981,102481,110853,119676,128285,136912,146658,158260,170570,182364,190961
"293","286","          Proprietary and public higher education","DGEDRC0",375,426,477,558,659,801,970,1154,1351,1581,1847,2297,2743,3057,3448,3730,4004,4397,4864,5354,5930,6737,7744,8799,9914,10949,11980,13100,14234,15787,17577,19443,21802,24624,26591,28588,30552,32510,35124,37968,41046,44753,48266,52477,57990,62580,67840,73638,78908,84237,91209,99792,108166,115511,121686
"294","287","          Nonprofit private higher education services to households","DPEDRC0",999,1069,1162,1253,1345,1496,1757,1970,2115,2350,2610,2891,3146,3430,3659,3907,4166,4464,4776,4904,5479,6125,7023,8208,8892,9584,10280,11030,11863,12678,13939,15299,16598,17710,18857,20041,21359,23851,26137,28059,29728,32024,34651,34509,36991,39902,43013,46038,49377,52675,55449,58468,62405,66854,69275
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRC0",886,989,1118,1242,1352,1449,1565,1693,1820,1993,2193,2439,2656,2929,3327,3868,4356,4638,4808,5620,6014,6652,7021,7182,7949,8705,9450,9969,10904,11864,13570,14849,15620,16679,17297,18112,19170,20086,20706,21487,22770,24124,25687,26856,27696,28564,29559,31003,32758,34139,34815,35273,37048,37807,38906
"296","289","          Elementary and secondary schools","DESCRC0",852,943,1060,1172,1270,1357,1461,1576,1694,1853,2020,2218,2386,2625,2937,3351,3672,3915,4079,4748,5031,5602,5922,6087,6610,7158,7637,7980,8795,9598,10550,11655,12369,12962,13321,13838,14558,15355,15627,16208,17082,18075,19172,20049,20508,21003,21702,22547,23350,24347,24750,25087,25647,26290,27618
