"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"181","174","          Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.252,26.562,29.775,33.382,36.465,39.419,39.577,40.62,39.85,42.139,47.259,54.547,60.185,68.542,77.195,80.854,88.115,95.432,100,105.708,107.381,114.467,119.384,119.524
"182","175","          Other professional medical services","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.625,40.485,43.71,51.063,54.889,59.455,62.606,63.406,66.611,68.85,71.229,74.56,76.483,79.99,84.661,91.21,93.931,96.925,100,100.716,104.466,107.031,108.237,109.662
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.146,51.835,54.867,62.786,66.11,70.723,74.238,74.8,78.286,79.432,76.747,78.908,79.171,81.337,85.649,90.242,93.202,96.745,100,103.855,108.604,111.131,113.98,116.175
"184","177","            All other professional medical services","DOMORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.448,20.875,24.433,30.809,35.502,39.987,42.508,43.721,46.44,50.567,61.693,67.045,71.839,77.662,82.954,92.882,95.19,97.236,100,95.289,97.314,99.944,98.311,98.404
"185","178","      Hospital and nursing home services","DHPNRA3",16.269,16.024,17.036,18.742,20.385,21.905,23.217,25.837,28.633,32.072,35.351,37.515,42.187,45.489,47.799,49.98,53.078,56.325,59.042,62.647,64.692,66.299,68.398,68.692,69.283,68.752,69.723,71.466,72.361,73.949,73.641,74.277,74.855,75.608,76.002,76.401,77.073,78.206,81.145,83.809,84.841,86.79,90.587,95.305,95.284,97.019,100,101.326,104.041,105.737,108.927,111.711
"186","179","        Hospitals (51)","DHSPRA3",19.861,18.796,19.664,21.47,22.982,23.962,25.623,28.205,30.99,34.447,37.439,39.58,44.353,47.899,50.184,52.631,56.047,59.668,62.495,66.244,68.581,70.141,72.552,73.165,72.73,71.351,71.995,73.371,74.471,75.246,74.26,73.759,74.144,74.483,74.558,74.814,74.891,75.796,78.684,81.407,82.946,85.277,89.806,95.237,94.719,96.727,100,101.537,104.356,106.11,109.8,112.877
"187","180","          Nonprofit hospitals' services to households","DNPHRA3",21.957,20.901,21.989,23.722,25.562,26.506,28.008,30.612,33.4,36.719,40.316,42.893,47.691,50.936,52.983,55.898,60.015,63.864,67.38,71.367,73.007,74.76,76.978,77.023,75.959,74.21,74.218,75.105,76.312,77.279,76.149,75.724,75.77,75.859,75.416,74.578,73.357,73.915,77.378,80.388,82.502,84.372,87.762,93.411,92.961,96.168,100,101.357,104.333,104.783,107.589,110.605
"188","181","          Proprietary hospitals","DFPHRA3",13.947,13.216,13.904,14.978,16.17,16.768,17.734,19.294,21.098,23.134,25.429,27.074,30.102,32.123,33.584,35.483,38.098,40.605,42.563,45.7,48.335,50.446,52.492,54.836,55.699,57.745,61.268,65.248,67.648,69.022,68.623,67.971,67.376,65.74,63.029,63.703,67.073,71.998,74.948,76.959,75.419,76.383,81.971,91.868,95.95,95.542,100,103.016,105.317,112.577,119.981,122.353
"189","182","          Government hospitals","DGVHRA3",16.35,15.041,15.26,17.784,18.359,19.71,22.355,25.507,28.9,33.732,35.073,36.016,41.804,47.353,50.98,52.151,53.65,57.186,58.179,61.492,66.047,66.595,69.902,71.386,72.307,70.05,71.076,72.5,72.411,72.147,71.291,70.621,72.795,75.24,78.86,82.633,85.118,84.69,85.554,87.736,89.225,94.01,101.806,103.672,100.019,99.407,100,101.226,103.83,106.622,111.026,114.759
"190","183","        Nursing homes (52)","DNRSRA3",3.207,5.551,6.938,8.165,10.087,13.216,13.277,15.78,18.354,21.414,25.321,27.363,31.273,33.481,35.661,36.78,38.564,40.291,42.405,45.22,46.104,47.746,48.574,47.648,52.297,55.308,57.648,60.945,60.893,66.225,69.212,75.608,77.198,80.235,82.456,83.684,87.794,90.194,93.365,95.694,94.114,94.146,94.375,95.682,98.071,98.459,100,100.281,102.477,103.888,104.631,105.971
"191","184","          Nonprofit nursing homes' services to households","DNPNRA3",2.656,4.596,5.745,6.761,8.353,10.944,10.994,13.067,15.199,17.733,20.968,22.659,25.897,27.726,29.531,30.458,31.935,33.365,35.116,37.447,38.179,39.538,40.224,39.457,43.307,45.8,47.738,50.469,56.209,65.509,65.435,70.574,69.982,75.585,78.622,80.059,81.955,83.687,88.984,92.76,93.017,93.23,94.825,96.379,98.292,97.638,100,99.341,100.052,98.583,99.856,100.126
"192","185","          Proprietary and government nursing homes","DFPNRA3",3.513,6.08,7.6,8.943,11.049,14.477,14.543,17.285,20.105,23.457,27.737,29.973,34.256,36.675,39.063,40.289,42.243,44.135,46.451,49.534,50.502,52.301,53.208,52.194,57.286,60.584,63.148,66.76,63.493,66.624,71.307,78.401,81.2,82.815,84.583,85.695,91.033,93.803,95.794,97.322,94.723,94.655,94.126,95.296,97.948,98.915,100,100.802,103.822,106.83,107.279,109.212
"193","186","    Transportation services","DTRSRA3",19.583,20.219,20.466,21.232,22.156,23.369,24.558,25.976,27.357,29.104,31.052,32.138,33.498,35.422,36.011,36.212,36.7,38.534,41.256,42.251,43.527,40.947,39.423,38.565,41.471,46.334,51.189,53.416,55.607,58.818,60.141,60.078,57.224,60.119,63.523,69.544,74.787,80.916,87.02,90.642,95.648,100.102,99.18,96.471,96.826,99.231,100,99.823,100.677,95.118,86.759,87.488
"194","187","      Motor vehicle services","DMVSRA3",17.526,18.392,19.017,20.004,21.165,22.405,23.498,24.882,25.967,27.31,28.787,30.491,32.115,33.566,33.459,32.559,33.754,35.187,38.004,39.042,40.066,38.434,38.5,37.14,40.25,45.783,52.12,53.276,55.834,59.511,60.968,60.384,56.246,60.22,64.39,70.631,76.747,83.226,90.398,93.22,98.2,101.786,101.399,97.25,96.732,98.185,100,100.128,100.669,95.234,85.557,85.803
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRA3",23.372,24.509,25.266,26.528,28.035,29.578,30.908,32.689,34.044,35.61,37.354,39.381,41.267,42.951,42.747,41.542,42.973,44.744,48.358,49.715,51.128,48.516,48.274,46.639,50.819,56.679,64.258,65.74,69.337,73.977,75.5,74.136,66.774,68.462,71.161,76.01,80.329,83.898,86.832,89.921,93.04,95.837,97.285,95.95,97.824,98.926,100,97.208,97.294,90.849,82.884,82.317
"196","189","        Other motor vehicle services (61)","DOVSRA3",4.709,4.968,5.251,5.6,5.977,6.483,6.979,7.455,7.896,8.64,9.436,10.345,11.322,12.217,12.321,12.112,12.775,13.445,14.441,14.742,14.854,15.599,16.454,15.695,16.325,21.33,24.926,25.348,25.577,27.099,28.401,29.545,32.626,41.864,49.487,58.984,69.227,82.402,99.594,101.787,111.368,116.936,111.926,100.55,93.674,96.091,100,108.54,110.428,108.048,93.313,95.977
"197","190","          Motor vehicle leasing","DMVLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,0.657,1.125,1.632,2.028,2.384,3.142,4.074,5.139,5.184,5.825,8.582,10.766,11.289,11.889,12.45,13.902,16.794,20.037,32.313,42.594,55.466,70.857,87.729,111.599,112.75,125.502,132.705,124.048,106.901,93.379,93.312,100,115.474,119.997,117.089,96.525,100.203
"198","191","            Auto leasing","DALERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.684,24.035,26.053,29.455,33.158,57.366,72.518,85.059,101.706,115.959,144.252,136.741,144.64,147.292,148.283,127.747,112.364,94.488,100,127.848,140.46,144.7,123.253,133.6
"199","192","            Truck leasing","DTLERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901,1.657,2.58,4.996,7.811,8.968,14.71,27.883,42.097,61.406,81.15,90.376,107.65,119.094,101.444,87.458,75.672,92.216,100,103.942,100.929,91.361,71.62,69.087
"200","193","          Motor vehicle rental","DMVRRA3",8.705,9.099,9.351,9.847,10.386,10.986,11.51,12.093,12.628,13.698,15.259,17.068,18.913,20.187,19.724,18.412,18.32,18.285,19.272,18.447,17.456,16.94,16.377,14.391,17.168,27.546,36.854,40.71,42.66,45.871,43.762,43.554,45.797,44.292,50.088,57.341,57.456,66.84,72.421,75.476,81.116,84.344,84.983,83.246,85.19,96.836,100,102.501,101.481,100.236,86.19,91.766
"201","194","          Parking fees and tolls","DPFTRA3",17.978,19.007,20.215,21.619,23.134,25.231,27.321,29.284,31.113,34.11,37.078,40.437,44.103,47.742,48.613,47.209,49.247,51.124,54.244,55.325,54.008,55.099,56.349,53.822,52.396,60.228,63.379,60.234,57.512,60.859,64.59,60.887,64.179,72.733,73.547,74.646,77.653,82.914,90.345,94.805,99.212,102.443,102.288,97.869,100.022,101.263,100,99.069,97.909,95.77,91.113,90.197
"202","195","      Public transportation","DPUBRA3",23.738,23.835,23.232,23.496,23.886,25.016,26.391,27.854,29.853,32.451,35.39,35.132,35.917,38.803,40.864,43.462,42.354,45.042,47.481,48.35,50.171,45.559,40.897,41.029,43.491,46.946,48.732,53.233,54.58,56.73,57.748,58.815,58.823,59.254,60.9,66.354,69.474,74.708,78.179,83.68,88.71,95.244,92.977,94.216,97.053,102.144,100,98.999,100.696,94.804,90.054,92.126
"203","196","        Ground transportation (63)","DGRDRA3",91.378,90.315,86.142,84.805,83.201,83.507,84.173,85.252,84.941,86.419,88.85,87.455,87.328,88.889,90.093,93.72,91.206,91.861,92.12,89.438,89.541,81.142,74.154,71.067,70.485,71.054,71.6,67.56,66.34,71.675,73.326,76.718,79.282,80.264,82.865,85.839,87.748,85.384,86.993,93.958,98.031,100.63,102.958,101.985,97.133,99.919,100,103.174,102.02,101.763,98.385,97.521
"204","197","          Railway transportation","DIRRRA3",450.942,437.157,410.549,402.057,394.841,409.346,412.543,428.643,406.514,373.593,352.316,322.229,279.08,308.356,326.496,347.608,299.788,292.444,269.716,243.796,251.036,224.796,212.344,193.654,186.411,167.742,150.057,128.544,117.373,125.046,124.062,124.365,121.198,93.522,88.783,81.617,76.4,72.723,73.065,75.533,77.813,86.394,90.377,90.782,90.132,99.396,100,101.55,115.94,121.709,112.518,119.496
"205","198","          Road transportation","DROTRA3",80.601,79.979,76.519,75.408,73.968,73.805,74.395,75.007,75.353,77.814,80.899,80.31,81.363,82.175,82.937,86.073,84.775,85.637,86.517,84.501,84.401,76.561,69.765,67.155,66.779,67.944,69.054,65.558,64.649,69.904,71.643,75.145,77.905,79.839,82.681,85.989,88.137,85.818,87.47,94.587,98.722,101.109,103.377,102.354,97.355,99.934,100,103.222,101.611,101.179,97.966,96.884
"206","199","            Intercity buses","DIBURA3",106.872,101,102.762,105.327,101.95,117.025,127.872,141.991,149.554,150.721,149.007,152.256,148.698,146.551,152.39,161.078,141.868,139.809,134.646,138.831,160.099,170.334,168.7,161.647,134.034,112.575,93.81,68.006,76.543,91.98,77.037,64.604,67.65,67.359,73.861,79.272,87.934,92.434,105.055,109.003,114.489,123.836,124.4,120.714,114.902,107.373,100,93.045,85.494,86.736,69.91,70.35
"207","200","            Taxicabs","DTAXRA3",134.436,135.102,123.002,119.745,118.117,111.605,111.679,111.679,114.306,133.918,152.457,167.444,183.134,194.605,189.646,183.652,194.161,206.224,208.703,180.627,152.932,119.332,98.797,83.838,101.204,122.626,133.578,126.735,111.788,100.081,98.871,106.626,100.203,95.925,97.859,99.654,104.591,99.823,98.948,108.65,102.848,95.247,101.371,101.755,88.253,98.053,100,106.813,103.12,98.214,96.567,97.041
"208","201","            Intracity mass transit","DIMTRA3",88.01,87.775,84.463,82.777,81.17,79.879,78.809,77.135,75.255,73.172,73.063,66.967,64.992,63.28,64.75,70.627,68.8,66.677,68.585,72.864,76.741,70.038,63.879,64.954,64.77,64.76,66.748,67.517,66.749,73.926,79.057,85.184,90.338,93.485,93.636,94.313,89.692,82.424,80.025,87.795,94.843,101.303,102.533,99.962,98.709,99.572,100,105.47,102.878,105.256,104.054,102.899
"209","202","            Other road transportation service","DORTRA3",22.163,21.13,21.754,22.471,21.95,25.234,27.573,30.697,32.834,33.637,34.12,35.236,34.69,34.949,36.784,38.914,34.673,34.753,33.958,35.239,40.456,42.49,41.769,40.465,35.619,33.024,31.764,27.562,31.03,38.824,39.524,39.379,42.444,45.801,53.178,61.761,74.146,82.252,92.128,96.831,100.84,99.802,102.177,103.794,96.671,100.331,100,98.678,101.332,97.75,92.441,90.31
"210","203","        Air transportation (64)","DAITRA3",5.059,5.427,5.729,6.321,7.138,8.386,9.853,11.339,13.908,16.803,19.877,19.948,21.009,24.335,26.677,28.985,28.282,31.563,34.642,36.56,38.897,35.352,31.39,32.374,35.64,39.816,41.794,49.171,51.455,52.4,53.306,53.833,53.207,53.601,54.648,60.637,63.554,71.377,75.288,80.292,85.715,93.485,88.509,90.7,97.198,103.475,100,96.507,99.595,90.318,84.64,88.481
"211","204","        Water transportation (65)","DWATRA3",0.151,0.145,0.159,0.177,0.172,0.186,0.202,0.264,0.375,0.429,0.493,0.529,0.557,0.642,0.754,0.832,0.827,0.929,1.041,1.086,1.266,1.391,1.479,1.635,3.201,6.232,10.19,13.972,15.191,17.346,16.047,12.047,7.214,4.772,9.739,19.859,32.23,44.355,52.266,55.112,59.28,70.53,80.88,84.137,93.829,100.429,100,103.462,108.024,111.834,111.577,110.887
"212","205","    Recreation services","DRCARA3",11.028,11.638,12.136,12.725,13.242,13.781,14.296,15.159,15.671,16.657,17.647,18.274,18.899,19.903,21.597,23.058,24.248,25.919,27.558,28.895,30.302,31.327,33.985,35.633,38.676,41.246,44.228,46.274,48.376,52.971,56.276,58.715,58.295,62.15,66.069,69.448,74.731,78.109,80.588,83.273,87.336,89.957,89.856,90.419,93.27,98.131,100,103.567,107.603,106.205,102.012,104.025
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",23.156,24.033,24.766,25.495,26.033,26.31,26.762,27.764,27.89,29.212,30.132,30.816,31.31,32.34,33.777,36.164,37.656,38.776,41.531,43.227,44.667,46.103,48.962,50.524,53.125,54.825,57.063,57.728,58.441,63.004,67.659,70.551,70.36,75.519,78.398,79.514,84.142,87.197,89.493,92.103,92.229,92.787,91.692,92.284,93.752,96.746,100,103.186,106.993,106.801,102.915,106.116
"214","207","        Membership clubs and participant sports centers","DMDFRA3",23.033,24.718,26.267,26.796,26.938,26.617,26.755,27.329,27.405,26.946,26.312,25.67,24.531,24.886,27.151,30.106,33.624,37.163,40.391,39.39,40.005,40.359,40.645,41.67,45.572,48.727,55.816,60.333,63.493,66.445,69.338,70.281,69.654,72.729,71.816,70.942,75.612,79.879,92.038,91.941,92.365,91.437,89.953,91.79,92.013,96.314,100,101.773,106.895,106.411,102.75,105.665
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRA3",13.942,15.203,16.551,18.042,19.42,20.789,20.716,22.205,23.258,25.324,27.991,30.211,32.061,35.416,39.452,41.205,42.61,43.619,45.639,46.66,49.669,53.763,59.917,60.939,64.134,64.059,67.179,63.527,63.65,71.405,79.669,84.448,84.696,95.783,98.377,100.637,107.588,108.507,102.084,102.924,100.617,99.98,96.841,90.671,92.685,95.042,100,103.604,109.271,112.186,106.585,111.646
"216","209","        Admissions to specified spectator amusements","DADMRA3",35.412,35.044,34.229,34.24,34.172,33.78,35.215,36.144,35.376,37.508,37.864,37.979,38.267,37.419,35.59,38.135,38.424,37.769,41.074,45.497,45.875,45.04,46.212,49.12,50.37,52.956,50.243,52.107,51.338,54.409,57.448,60.587,60.513,62.062,68.344,70.295,73.213,77.947,79.948,86.227,87.82,90.015,90.639,94.775,96.713,99.285,100,104.909,107.756,105.185,102.519,104.774
"217","210","          Motion picture theaters","DMOVRA3",110.282,103.727,98.572,93.461,89.793,83.783,87.009,84.696,79.305,82.516,82.119,80.852,81.25,79.629,72.338,82.988,83.326,75.564,82.811,90.915,86.884,75.478,76.475,83.531,79.937,80.881,73.076,72.448,71.325,77.008,84.714,89.636,86.673,80.877,81.916,83.123,84.902,87.947,92.72,99.262,102.794,104.714,105.481,109.123,106.79,105.738,100,102.614,103.4,101.78,104.928,106.516
"218","211","          Live entertainment, excluding sports","DLIGRA3",18.902,19.122,17.365,17.773,17.379,17.34,16.422,17.019,17.454,15.978,15.217,14.57,13.738,14.402,15.079,15.862,16.353,18.782,20.723,23.986,25.747,28.694,31.66,31.444,33.854,36.731,39.794,46.873,46.48,48.26,45.405,50.291,49.696,54.588,63.798,66.037,68.792,69.76,71.077,77.515,79.402,81.372,84.083,87.121,90.467,94.919,100,105.101,106.081,104.033,99.667,99.746
"219","212","          Spectator sports","DSPERA3",12.176,13.842,15.38,17.192,18.804,20.58,22.749,25.422,26.072,30.54,32.261,33.863,35.136,33.332,32.472,31.703,31.767,32.572,34.733,37.982,39.774,41.877,41.423,44.765,47.918,51.249,46.124,44.499,43.588,46.276,52.105,52.444,54.677,57.572,64.297,66.437,70.224,79.656,80.589,86.553,86.647,89.236,87.762,93.236,96.458,99.473,100,106.107,111.904,108.303,103.813,108.363
"220","213","        Museums and libraries","DMUSRA3",10.172,10.999,11.97,12.771,13.439,13.879,13.313,13.922,14.006,14.724,16.215,17.38,18.442,20.043,22.111,25.432,26.083,28.425,31.308,33.682,35.164,38.063,41.997,41.893,42.295,42.758,44.99,46.008,46.721,49.409,51.63,52.023,50.752,54.576,59.462,59.869,60.875,59.13,59.647,65.085,68.869,74.387,76.461,87.534,89.27,91.999,100,96.191,88.903,88.166,84.849,85.071
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",7.359,7.982,8.43,8.822,9.346,9.859,10.508,11.582,12.569,13.641,15.173,16.33,17.282,17.923,20.463,22.556,24.327,27.494,28.932,29.737,31.574,32.769,35.625,37.521,42.988,47.156,52.11,55.995,59.722,65.663,69.594,71.604,69.841,72.499,74.831,75.422,79.695,80.91,81.225,84.829,90.584,94.318,95.225,92.425,94.484,99.956,100,101.744,107.583,109.171,107.883,108.94
"222","215","        Cable and satellite television and radio services","DCTVRA3",0.967,1.21,1.368,1.681,1.983,2.155,2.22,2.518,2.905,3.461,4.139,4.698,5.093,5.864,6.909,7.984,9.033,10.303,12.44,14.526,16.695,20.143,27.253,32.978,40.302,44.967,47.721,51.097,53.714,57.636,61.842,63.776,61.437,64.421,65.236,63.401,68.355,72.202,73.805,76.367,82.361,87.153,89.553,86.935,88.931,96.052,100,103.418,110.852,115.411,116.99,119.591
"223","216","        Photo processing","DFDVRA3",14.298,15.656,16.534,17.638,19.648,21.772,24.83,30.039,33.38,33.295,36.437,38.278,38.787,43.119,58.294,70.355,74.715,92.863,96.317,99.63,111.804,118.146,118.74,110.473,124.657,133.83,140.597,144.419,151.838,167.345,176.413,166.88,163.101,159.47,162.886,164.229,163.422,166.512,166.002,167.189,167.898,161.084,153.325,149.776,142.162,128.273,100,74.252,71.652,64.938,57.451,56.268
"224","217","        Photo studios","DPICRA3",17.114,17.948,18.075,18.274,19.199,20.921,23.133,25.798,28.136,32.941,38.76,43.22,47.553,40.7,44.271,47.063,48.586,56.925,54.514,58.122,60.914,59.445,60.461,64.195,68.546,68.202,70.848,76.052,81.524,88.958,89.088,93.074,92.946,98.697,103.539,105.98,111.682,107.9,98.804,102.874,102.318,102.685,101.288,96.046,95.449,97.481,100,100.577,104.321,103.686,98.561,95.918
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRA3",33.28,36.037,38.386,39.822,41.348,42.533,44.153,46.864,49.865,53.233,57.182,60.2,62.973,68.088,72.874,76.5,83.465,86.816,90.648,83.72,80.876,74.702,69.056,63.789,62.932,61.795,65.833,65.389,71.577,75.297,73.602,71.201,66.282,64.445,64.543,62.992,65.014,62.337,62.7,70.533,78.481,89.278,91.645,95.613,96.041,102.775,100,107.547,114.62,113.629,108.607,108.142
"226","219","        Video media rental","DVIDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.211,7.875,15.067,26.675,34.38,37.965,47.774,55.581,64.139,65.915,71.582,79.906,90.514,95.761,91.821,93.236,99.604,109.851,109.282,106.048,98.054,109.406,114.695,100,97.941,96.223,83.346,69.99,64.93
"227","220","      Gambling (91)","DGAMRA3",4.204,4.508,4.779,5.405,5.786,6.417,6.66,6.903,7.242,7.554,7.888,8.182,8.799,9.924,11.382,11.74,12.208,13.15,13.864,15.245,15.777,16.261,18.707,20.296,22.264,24.314,26.682,28.522,30.136,33.776,34.979,37.071,37.278,41.357,47.775,55.667,62.312,67.182,71.303,72.022,78.605,82.43,83.063,86.498,92.113,99.042,100,105.327,107.004,101.244,95.856,95.83
"228","221","        Casino gambling","DCASRA3",1.236,1.402,1.56,1.773,1.988,2.271,2.335,2.602,2.857,2.949,3.165,3.405,3.649,4.282,4.977,5.513,6.037,6.786,7.36,8.904,9.65,10.448,13.431,14.606,15.783,16.486,17.303,17.95,19.176,20.956,21.439,24.396,25.278,29.877,37.24,45.976,53.176,58.904,64.422,65.041,74.165,80.205,80.822,84.009,90.865,98.986,100,104.511,106.585,102.643,95.462,94.634
"229","222","        Lotteries","DLOTRA3",0.032,0.032,0.031,0.031,0.03,0.12,0.097,0.064,0.529,0.965,0.89,1.462,2.392,4.97,7.359,8.09,9.196,10.385,12.353,13.918,14.526,14.726,15.91,20.134,26.087,32.764,42.182,48.582,52.277,61.047,67,66.87,66.127,70.493,76.1,82.588,88.519,91.363,91.158,91.124,89.587,86.481,88.058,92.839,95.642,99.099,100,108.806,109.547,97.5,98.147,99.45
"230","223","        Pari-mutuel net receipts","DPARRA3",55.24,58.307,60.897,68.784,72.537,79.317,82.697,83.601,84.532,87.133,90.329,90.343,94.5,96.716,104.402,101.275,98.855,101.335,99.483,98.214,95.832,93.404,93.544,91.2,89.264,92.076,89.389,90.317,89.59,98.617,92.422,91.446,86.556,83.238,80.746,83.025,85.264,86.495,88.192,92.737,95.78,96.012,93.612,95.489,95.423,99.55,100,103.466,103.449,96.813,92.855,98.169
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRA3",4.184,4.5,4.904,5.486,6.107,7.119,7.957,9.166,9.666,11.012,12.141,11.885,12.029,13.703,14.58,14.49,15.196,16.771,17.941,19.269,21.928,22.741,24.591,25.843,27.334,30.048,32.166,34.606,38.515,42.414,45.783,48.653,48.985,50.762,54.723,59.42,65.314,70.823,74.678,80.934,86.662,90.028,88.683,89.732,91.738,95.769,100,104.609,111.304,110.376,101.512,107.15
"232","225","        Veterinary and other services for pets","DVETRA3",5.648,6.476,7.415,8.373,9.468,11.098,12.484,13.98,13.782,15.735,16.982,16.092,16.359,17.696,18.807,19.491,20.736,22.749,23.771,25.217,26.651,29.128,31.32,32.366,34.13,35.779,38.096,40.667,44.675,46.283,47.005,48.029,49.408,50.73,55.219,61.085,68.655,76.74,83.738,88.222,90.766,91.782,90.771,91.738,93.379,96.439,100,104.439,108.308,107.341,102.111,102.37
"233","226","        Package tours","DHOLRA3",1.887,1.822,2.002,2.228,2.184,2.342,2.563,3.361,4.766,5.429,6.246,6.684,7.041,8.146,9.603,10.503,10.476,11.729,13.145,13.841,16.114,17.726,18.87,20.828,22.607,23.424,27.685,28.277,30.734,39.329,45.871,53.851,53.979,60.854,64.708,71.352,74.55,79.607,78.014,84.958,93.046,94.981,87.272,84.13,87.038,94.724,100,105.112,117.987,120.409,105.138,125.457
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",3.508,3.227,2.833,3.034,3.405,4.063,4.447,5.478,6.403,7.225,8.446,8.774,8.39,11.36,11.093,8.475,8.916,9.902,10.925,12.547,17.296,14.449,16.213,16.935,17.5,23.717,23.043,26.998,31.988,34.763,39.54,40.144,38.542,35.258,37.941,37.48,42.597,42.625,46.059,55.346,65.515,77.115,84.551,92.545,94.223,95.209,100,104.329,110.573,103.392,91.238,92.557
"235","228","    Food services and accommodations","DFSARA3",28.328,28.625,28.718,29.75,30.493,32.053,34.343,36.051,35.68,37.896,38.718,40.06,40.017,43.073,45.221,44.807,46.67,49.485,50.808,52.961,54.603,54.628,55.173,55.538,57.363,58.951,59.737,61.463,64.657,68.504,70.396,72.903,72.948,74.807,76.518,77.732,77.92,78.434,80.169,82.258,84.288,88.13,88.007,89.382,92.709,96.474,100,103.321,104.713,103.743,100.067,103.207
"236","229","      Food services","DFSERA3",30.18,30.391,30.443,31.427,32.061,33.677,36.009,37.762,37.147,39.429,40.239,41.63,41.682,44.38,46.512,45.976,47.869,50.653,51.996,54.317,55.974,56.111,56.49,57.105,58.945,60.242,60.817,62.635,65.709,69.791,71.754,74.446,74.445,75.939,78.036,79.062,79.171,79.294,80.419,82.684,84.742,88.46,89.164,90.465,93.58,97.091,100,103.031,104.316,102.718,98.786,101.301
"237","230","        Purchased meals and beverages (102)","DPMBRA3",28.961,29.225,29.205,30.178,30.859,32.515,34.792,36.291,35.547,37.979,38.86,40.443,40.689,43.516,45.701,44.922,46.718,49.413,50.88,53.14,54.737,54.812,55.131,55.738,57.801,59.26,60.011,62.065,65.395,69.552,71.532,74.29,74.308,75.834,77.957,78.981,79.065,79.184,80.337,82.65,84.738,88.525,89.218,90.529,93.659,97.204,100,102.843,104.121,102.542,98.513,101.278
"238","231","          Meals and nonalcoholic beverages","DMABRA3",25.446,25.96,26.057,27.053,27.754,29.472,31.78,33.163,33.107,35.844,36.944,38.494,39.023,41.728,43.68,42.863,44.76,47.558,48.84,51.044,52.402,52.277,52.677,53.625,55.98,57.661,58.635,60.961,64.676,68.895,70.855,73.237,73.347,74.666,77.618,79.306,79.804,80.338,81.869,83.918,85.675,89.162,89.547,90.389,93.604,97.201,100,102.889,104.225,102.699,98.717,101.641
"239","232","            Meals at schools","DMSLRA3",31.941,33.473,35.213,38.339,41.355,44.779,48.055,50.279,51.394,52.267,53.111,51.621,49.724,49.225,50.846,50.131,49.808,50.809,52.925,53.193,51.956,51.472,52.362,52.772,53.376,54.03,54.411,55.867,56.35,57.919,60.119,62.004,63.139,65.875,69.95,74.302,77.962,82.117,86.582,88.801,92.686,95.693,97.361,97.628,98.732,98.795,100,101.126,104.272,106.029,105.41,108.713
"240","233","              Elementary and secondary school lunches","DESLRA3",68.49,70.785,73.465,79.836,84.852,90.622,95.031,97.44,95.837,99.007,101.916,99.464,95.16,94.71,93.087,86.886,79.004,73.033,72.175,72.861,69.519,66.158,65.54,65.225,65.861,66.458,67.9,70.587,73.027,73.479,72.648,73.14,73.848,73.867,77.177,80.29,83.539,87.187,91.491,93.656,96.512,99.448,100.927,99.412,98.89,99.247,100,99.552,97.831,94.091,91.833,91.991
