"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"137","123","    Farm","B1163C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1
"138","124","  Subsidies (nonfarm)","B1154C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.6,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.1,0,0.1,0,0,0,0
"139","125","  Consumption of fixed capital","A2017C",0.9,0.9,0.8,0.7,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,2,2.4,2.5,2.8,3.2,3.5,3.7,3.9,4.2,4.6,4.8,5,5.3,5.5,5.6,5.8,6,6.3,6.8,7.3,7.8,8.5,9.4,10.1,11.2,13.1,14.1,16.1,17.9,19.7,22.5,26.2,30.8,35.1,38.7,41.7,43.5,45.3,49.4,51.1,54.7,58.6,66.7,66.3,70.3,84.1,78,85.6,88.1,90.7,96,101.1,111.6,116.7,128.4
"140","126","    Nonfarm","B1152C",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.2,1.2,1.4,1.8,2.1,2.2,2.5,2.8,3.1,3.3,3.5,3.8,4.2,4.4,4.6,4.9,5,5.2,5.3,5.5,5.9,6.3,6.8,7.3,8,8.8,9.5,10.5,12.3,13.3,15.1,16.8,18.6,21.3,24.8,29.2,33.3,36.8,39.7,41.4,43.2,47.3,48.8,52.4,56.2,64.2,63.7,67.6,81.5,75.3,82.7,85.1,87.6,92.7,97.6,107.8,112.7,124.1
"141","127","    Farm","B1162C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,1.9,2,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.6,2.6,2.7,2.9,3,3.2,3.3,3.5,3.8,4,4.3
"142","128","  Proprietors' income with inventory valuation and capital consumption adjustments (114-117-120-123-127)","B1165C",0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
"143","129","  Rental income of persons with capital consumption adjustment (113-116-119-122+124-126)","B1156C",2.4,2.1,1.8,1.5,1.1,0.9,0.9,0.9,1,1.2,1.3,1.3,1.5,1.8,2.1,2.3,2.5,2.4,2.3,2.6,3.1,3.7,4.3,5.2,6.3,7.3,7.7,8,8.4,8.9,9.7,10.6,11.2,12,12.4,12.5,12.8,13.4,13.9,13.6,13.8,13.7,14.6,13.9,14,13.9,13.3,12.2,9.1,9.7,9.8,13,15.3,12.2,9.9,9.2,4.8,3,7.1,14.9,12.4,18.5,21.8,19.8,45.5,60.1,60.7,70.5,69.9,80.4,90.2,92.2,84.2
"144","130","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving individuals \1\","A2050C",0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.6,1.6,1.6,1.8,1.9,2,2.2,2.4,2.6,2.9,3.2,3.6,4,4.5,5,5.5,6.3,7.3,8.4,9.1,9.9,11.2,12.7,14.6,16.8,19,20.7,22.2,24.1,25.7,28.1,30.8,33.6,36.1,38.9,41.8,45.4,45.7,48.1,49.8,52.2,55.2,55.2,58.7,61.2
"145","131","  Net interest (interest paid)","B1131C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,6.7,7.8,8.3,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.4,15.8,16,16.4,16.6,16.7
"146","132","  Indirect business tax and nontax liability","B1320C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.6,1.8,1.9,2,2.2,2.3,2.5,2.8,3,3.2,3.4,3.6,3.7,3.8,3.9,4,4.3,4.4,4.6,4.8
"147","133","  Consumption of fixed capital","B1157C",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.4,2.7,2.9,3.3,3.7,4.2,5,5.8,6.3,6.9,7.8,8.7,9.9,10.9,12.1,12.8,13.5,14.2,15.2,16.4,17.6,19.2,21.2,23.3,25.5,27,28.2,29.7,30.5,32.4,34.9,34.4,37.4,39.7
"148","134","Services furnished without payment by financial intermediaries except life insurance carriers (imputed interest received)","B1310C",2.1,1.8,1.6,1.3,1,1,1.1,1.2,1.3,1.2,1.3,1.3,1.4,1.5,1.5,1.8,2,2.5,2.7,3,3.2,3.5,3.9,4.3,5,5.3,6,6.7,7.1,7.3,8,8.9,9.2,9.7,10,11,11.7,13,14.2,15.8,19.4,22.1,22.6,24.6,29.3,34.5,38.1,38.8,43,54.9,64.9,71.6,76.9,84.7,99.4,109.6,126,140.7,160.3,166.7,170.2,178.7,195.7,211.7,219.4,235,255.5,269.3,306.5,323.8,336.5,375.9,373.2
"149","135","  Persons \2\","B1611C",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
"150","136","  Government","A2079C",0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.4,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.6,1.9,2.1,2.2,2.4,2.4,2.2,2.1,2.5,2.8,2.7,2.8,2.7,3.3,3.5,4,4.8,5.6,6.2,5.7,6,6.4,7.2,7.3,7.3,7.8,9,9.6,10.6,9.6,10.5,11.9,11.1
"151","137","  Business","A2075C",1,0.8,0.7,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,1,1.1,1.3,1.3,1.5,1.7,1.9,2,2.1,2.3,2.6,2.8,2.9,3.2,3.5,3.7,3.9,4,4.3,4.6,5.1,5.5,6.3,7.6,8.3,8.2,8.7,10.6,12.8,12.8,12.6,13.7,17.2,21.5,25.4,31.2,34.5,33,37,39.6,41.6,43.1,44.6,47.6,48.2,49.5,52,54.7,57.6,65.9,67.2,74.4,74.5,76.3,84.8,84.3
"152","138","  Rest of the world \3\","B1607C",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0.8,1.2,1.5,1.4,1.5,1.8,2.1,2.4,2.3,2.9,4.2,4.9,6.1,6.6,8.1,8.6,8.5,9.2,10,10.9,11.9,13.3,14.5,15.5,17.3,18.5,16,21.1,18.3
"153","139","Farm products consumed on farms","A2051C",1.2,1.1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.8,1.4,1.3,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"154","140","  Output","B1008C",1.7,1.6,1.3,1,1,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6
"155","141","  Less: Intermediate inputs","B1161C",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,0.9,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
"156","142","Employment-related imputations","A2099C",0.8,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.8,0.7,0.7,0.9,1.3,2.3,3.5,4.2,4.8,4.1,3.1,3,3.1,3.2,4.2,4.3,4.4,4.4,4.5,4.9,5.4,6,6.3,6.7,7.3,7.8,8.3,9.1,10,11.1,12,14,15.7,18.1,19.7,22.3,24.6,28.3,34,41.2,48.2,56.3,63.8,73.3,85,96.6,105.7,114.6,125,132.9,146.4,163.6,185.6,207.1,224.2,249.1,269.5,282.1,279.3,280.6,269.2,286.4,306.2,333.7,354.8
"157","143","  Food furnished to employees, including military and domestic service \4\","B1160C",0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.7,1.2,1.9,2.6,3,1.6,1.3,1.4,1.3,1.4,2,2.2,2,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.7,3.2,3.7,4.1,4.3,4.9,5.6,6.2,6.9,7.3,7.2,7.2,7,6.8,6.6,7,7.4,7.7,7.9,8.1,8.4,8.8,9.2,9.5,10,10.3,10.7,10.9,11.2
"158","144","  Standard clothing issued to military personnel \4\","BMICRC",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"159","145","  Employees' lodging \4\","A2641C",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"160","146","  Employer contributions for health and life insurance \5\","B4922C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1,1.3,1.5,1.7,1.9,2.3,2.7,3.2,3.6,4,4.5,4.9,5.4,5.9,6.7,7.5,8.2,8.9,10.8,12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,137.1,153.5,175,195.8,212.4,236.2,256.3,269.1,266.1,267.2,255.4,272.3,291.8,318.8,339.6
"161","147","  Contributions for social insurance for Federal Government employees for certain programs \6\","A1676C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.6,3.3,3.2,3.1,3.1,3,3.1,3.2
"162","148","Private investment-related imputations","A2087C",2.6,1.9,1.4,0.7,0.5,0.7,0.9,1.2,1.5,1.5,2,2.4,2.9,1.6,1.1,1.1,1.6,7.1,10.8,14.2,13.6,19.2,17.8,17.8,18.5,20.4,23.9,22.8,21.6,21,26.1,24.8,24,25.4,27.5,29.2,30.4,29.3,29.7,33.5,35.7,34.4,45.2,56.3,62.6,57,58.8,77.5,102.6,118.7,121.6,107.4,106.5,100.9,141.2,164.9,169.5,196.3,212.5,224.2,230.8,219.8,204.6,244.8,264.4,296.4,284,314,335.2,376.8,407.6,431.7,453.9
"163","149","  Owner-occupied residential structures \7\","B1166C",2,1.3,1,0.5,0.4,0.6,0.8,1,1.2,1.3,1.8,2.1,2.7,1.5,1,1.1,1.4,6.6,10.2,13.1,12.1,17.3,15.8,15.9,16.5,18,21.4,20.1,18.6,17.8,22.7,21.2,20.1,21,23.1,24.3,24.8,23.5,24,27.6,29,27.5,37.5,46.5,52.3,47.1,49.3,66.8,89.5,104.8,107.1,93,91.6,81.6,119.1,141.1,145.4,170,181.3,191.5,194.7,180.8,163.2,197.8,220,250.4,235.8,263.1,272.9,308.6,339,356.6,377.6
"164","150","  Nonresidential fixed investment by nonprofit institutions serving individuals \8\","B1167C",0.6,0.5,0.4,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.3,0.5,0.6,1,1.2,1.6,1.7,1.6,1.8,2.1,2.3,2.6,2.8,3,3.2,3.4,3.7,4.1,4.1,4.5,5.3,5.4,5.3,5.5,6.3,6.5,7.2,9.1,9.6,9.1,8.5,9.2,10.9,11.4,11.9,12.5,13.4,17.8,19.7,21.3,21.5,23.1,26.9,28.8,32.3,35,37.1,42.1,39.2,40.5,42.6,44.7,55.6,60.9,61,67,68.1
"165","151","  Margins on owner-built housing","B1173C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,4.4,3.9,3.8,3.9,4.4,4.8,5.2,5.4,5.6,6.2,6.7,7.3,7.7,8.1,8.2
"166","152","Government investment-related imputations","A2018C",3.7,4,3.8,2.8,2.7,3.6,3.7,5.2,4.9,5.3,5.7,5.6,12.6,31.8,45.1,45.3,34,14.1,14.9,16.3,18,17.3,25.7,31.3,33.8,33,32,34.9,37.2,39.5,42.9,42.3,45.9,48.7,50,51.5,53.1,58.9,63.7,66.1,67.5,69.6,70.3,74.7,79.7,91.1,101.3,105.3,108.7,121.2,136.4,154.2,167.9,180.4,194.7,216,239.8,260.3,277.5,285.6,304,329.7,341.5,348.6,352.4,363.1,382.5,399.4,419.2,437.2,473.3,499.3,523.5
"167","153","  General government consumption of fixed capital \9\","A265RC",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,6,8.7,9.9,10.6,10.3,9.3,8.3,7.5,8.1,9,9.8,10.5,11.1,12,12.8,13,13.6,14.1,14.6,15.4,16.3,16.9,17.6,18.6,19.9,21.5,23,24.8,26.4,28.4,30.3,33.7,36.7,38.9,41.2,44.1,47.9,53.9,61,68.1,71.9,76.7,81,87.1,93.2,99.4,106.3,113.9,121.2,125.5,131.5,137.5,144.3,149.2,154.6,160.1,168.6,179.5,187.7
"168","154","  Gross government investment \10\","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"169",NA,"Interest-related imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","155","  Net interest (118+131+134-137-138)","A2104C",2.2,2.1,1.9,1.7,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.8,2,2.2,2.6,2.8,3.1,3.4,3.8,4.4,4.9,5.7,6.4,7.3,8.4,9.2,10.1,11.1,12.4,13.2,14.4,15.2,16.9,18.4,20.1,21.6,23.6,27.3,30.7,33.6,38,44.2,50.8,57.8,63.9,74,91.4,109,125,138.5,157.1,183.4,204.3,233.5,260.6,289.8,307.8,324.9,346.7,368.9,383.4,382.3,394,424.3,443.5,485.8,514,544.9,599.9,620
"171","156","    Monetary interest paid by persons","A2129C",1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.3,3.7,4.4,5.1,5.8,6.5,7.2,7.9,8.8,9.5,10.5,11.5,12.5,13.3,14.5,16,17.5,19.7,22.7,26.4,30.3,34,39.1,46.2,55.4,67.7,81.1,95.1,109.8,121.3,136.6,153.2,168.2,180.7,194.2,210.7,225.3,232.8,234.5,229.5,229.9,249.2,257,270.9,283.2,300.6,329.9,349.4
"172","157","      Owner-occupied housing (118)","A2015C",1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,14,15.4,16.7,18.9,21.8,25.3,29.1,32.6,37.5,44.5,53.3,65,77.7,90.7,104.6,115.2,129.9,145.3,159.9,171.2,183.5,199,213.4,220.4,221.7,214.7,216.1,234.4,241.6,255.1,267.2,284.2,313.2,332.7
"173","158","      Interest paid by nonprofit institutions serving individuals (131)","B1131C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,6.7,7.8,8.3,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.4,15.8,16,16.4,16.6,16.7
"174","159","    Imputed interest paid by banks, credit agencies, and investment companies (134)","B1310C",2.1,1.8,1.6,1.3,1,1,1.1,1.2,1.3,1.2,1.3,1.3,1.4,1.5,1.5,1.8,2,2.5,2.7,3,3.2,3.5,3.9,4.3,5,5.3,6,6.7,7.1,7.3,8,8.9,9.2,9.7,10,11,11.7,13,14.2,15.8,19.4,22.1,22.6,24.6,29.3,34.5,38.1,38.8,43,54.9,64.9,71.6,76.9,84.7,99.4,109.6,126,140.7,160.3,166.7,170.2,178.7,195.7,211.7,219.4,235,255.5,269.3,306.5,323.8,336.5,375.9,373.2
"175","160","    Less:  Imputed interest received","A2019C",1,0.8,0.8,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,1,1.2,1.3,1.4,1.5,1.7,2,2.1,2.2,2.4,2.7,3,3,3.4,3.7,3.8,4.1,4.3,4.6,4.9,5.5,5.9,6.7,8.2,8.9,8.7,9.3,11.5,14,14.3,14,15.2,19,23.7,27.8,33.5,37.5,37.2,41.9,45.7,48.3,51.2,53.1,56.1,57.4,59.6,62.9,66.7,71,80.4,82.7,91.7,93,92.2,105.9,102.6
"176","161","      By business (137)","A2075C",1,0.8,0.7,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,1,1.1,1.3,1.3,1.5,1.7,1.9,2,2.1,2.3,2.6,2.8,2.9,3.2,3.5,3.7,3.9,4,4.3,4.6,5.1,5.5,6.3,7.6,8.3,8.2,8.7,10.6,12.8,12.8,12.6,13.7,17.2,21.5,25.4,31.2,34.5,33,37,39.6,41.6,43.1,44.6,47.6,48.2,49.5,52,54.7,57.6,65.9,67.2,74.4,74.5,76.3,84.8,84.3
"177","162","      By the rest of the world (138)","B1607C",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0.8,1.2,1.5,1.4,1.5,1.8,2.1,2.4,2.3,2.9,4.2,4.9,6.1,6.6,8.1,8.6,8.5,9.2,10,10.9,11.9,13.3,14.5,15.5,17.3,18.5,16,21.1,18.3
"178","163","  Interest paid by persons","A2109C",-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2.2,-2.5,-2.9,-3.3,-3.7,-4.4,-5.1,-5.8,-6.5,-7.2,-7.9,-8.8,-9.5,-10.5,-11.5,-12.5,-13.3,-14.5,-16,-17.5,-19.7,-22.7,-26.4,-30.3,-34,-39.1,-46.2,-55.4,-67.7,-81.1,-95.1,-109.8,-121.3,-136.6,-153.2,-168.2,-180.7,-194.2,-210.7,-225.3,-232.8,-234.5,-229.5,-229.9,-249.2,-257,-270.9,-283.2,-300.6,-329.9,-349.4
"179","164","    Owner-occupied housing (-118)","A2020C",-1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-1.2,-1.4,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.6,-4.3,-5,-5.7,-6.3,-7.1,-7.7,-8.6,-9.4,-10.3,-11.3,-12.2,-12.9,-14,-15.4,-16.7,-18.9,-21.8,-25.3,-29.1,-32.6,-37.5,-44.5,-53.3,-65,-77.7,-90.7,-104.6,-115.2,-129.9,-145.3,-159.9,-171.2,-183.5,-199,-213.4,-220.4,-221.7,-214.7,-216.1,-234.4,-241.6,-255.1,-267.2,-284.2,-313.2,-332.7
"180","165","    Interest paid by nonprofit institutions serving individuals (-131)","A2021C",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.5,-0.6,-0.8,-0.8,-0.9,-1.1,-1.3,-1.4,-1.6,-1.7,-2.1,-2.7,-3.4,-4.4,-5.2,-6.1,-6.7,-7.8,-8.3,-9.5,-10.7,-11.7,-11.9,-12.3,-12.8,-14.8,-13.9,-14.7,-15.4,-15.8,-16,-16.4,-16.6,-16.7
"181","166","  Personal interest income (134-136-137-138)","B1611C",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
