"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"252","245","E1RXA1 C     Other (94+100+101+102+103)","E1RXA10",4680,5179,5655,6139,6606,7102,7397,8015,8585,9613,10718,11762,12844,14093,16252,18545,21077,23928,26407,28825,32372,36959,43493,48886,54949,60037,67998,73161,79116,90113,100751,110759,116942,129982,141877,151727,166822,178966,190080,203038,220163,237864,251905,264972,281554,296931
"253","246","E1RTV1 C       Radio and television repair","E1RTV10",806,875,935,978,1027,1046,1039,1043,1090,1218,1316,1383,1531,1730,1867,1976,2229,2329,2459,2352,2414,2469,2539,2618,2640,2585,2711,2616,2926,3182,3154,3171,2939,2977,3226,3270,3553,3716,3900,4054,4127,4172,4029,4034,4019,4076
"254","247","E1CLU1 C       Clubs and fraternal organizations","E1CLU10",913,932,979,1013,1067,1121,1164,1272,1344,1424,1463,1494,1473,1459,1585,1755,1954,2109,2249,2350,2941,3697,4700,6071,6460,6770,8135,8864,9547,10564,12122,13515,15257,16627,17255,17276,17394,17087,16299,17118,18038,19026,19956,21051,22090,22703
"255","248","E1COM1 C       Commercial participant amusements","E1COM10",879,1068,1231,1362,1463,1561,1584,1688,1815,1926,2121,2367,2612,3046,3545,4187,4858,5606,6358,7178,8046,9080,10784,11587,12856,13776,15126,16010,17299,19966,22200,25224,26531,30887,36109,42256,48815,54172,59422,63084,68831,75812,79630,83500,89225,94859
"256","249","E1SIG1 D         Sightseeing","E1SIG10",36,44,53,61,69,84,94,103,120,147,186,219,257,300,333,386,413,447,508,587,718,809,867,909,888,982,1131,1254,1214,1597,2009,2180,2499,2868,3227,3581,4150,4425,4730,5091,5646,5514,5299,5167,5376,5591
"257","250","E1FLY1 D         Private flying","E1FLY10",18,22,25,27,29,31,33,38,44,64,93,138,178,221,207,218,222,218,180,202,202,192,177,167,178,184,189,231,256,268,267,274,299,273,269,281,343,335,372,382,450,482,511,538,570,599
"258","251","E1BIL1 D         Bowling and billiards","E1BIL10",473,597,696,749,770,757,738,720,719,711,706,717,733,775,841,921,1045,1154,1299,1393,1472,1562,1617,1649,1857,1913,1977,1970,1958,2058,2128,2151,2123,2267,2148,2166,2175,2265,2332,2335,2442,2471,2573,2738,2871,2966
"259","252","E1CAS1 D         Casino gambling","E1CAS10",139,160,180,207,235,272,284,326,368,396,448,510,570,691,854,1050,1254,1494,1725,2227,2640,3171,4454,5124,5766,6268,6801,7186,7931,8988,9587,11461,12310,14931,19095,24076,28528,32454,36248,38812,43142,49046,52328,56143,60762,65369
"260","253","E1OPA1 D         Other commercial participant amusements","E1OPA10",213,245,277,318,360,417,435,501,564,608,688,783,874,1059,1310,1612,1924,2293,2646,2769,3014,3346,3669,3738,4167,4429,5028,5369,5940,7055,8209,9158,9300,10548,11371,12152,13620,14693,15741,16465,17150,18300,18920,18913,19646,20334
"261","254","E1PAR1 C       Pari-mutuel net receipts","E1PAR10",503,539,569,650,694,769,814,848,881,947,1035,1096,1195,1263,1449,1559,1662,1802,1883,1988,2121,2291,2508,2590,2639,2834,2844,2927,3000,3424,3345,3477,3411,3366,3350,3519,3702,3857,4018,4412,4853,4986,5085,5314,5319,5300
"262","255","E1REO1 C       Other","E1REO10",1579,1765,1941,2136,2355,2605,2796,3164,3455,4098,4783,5422,6033,6595,7806,9067,10374,12082,13458,14957,16850,19422,22961,26020,30354,34072,39181,42743,46344,52977,59930,65372,68804,76124,81937,85405,93357,100134,106441,114369,124313,133868,143204,151074,160900,169992
"263","256","E1PET1 D         Pets and pets services excluding veterinarians","E1PET10",85,101,116,132,148,166,190,212,226,269,315,376,440,457,503,569,597,673,715,793,904,1152,1396,1576,1716,1761,1856,1938,2140,2241,2403,2440,2747,2813,3120,3424,3647,3998,4184,4199,4175,4480,4430,4486,4752,5042
"264","257","E1VET1 D         Veterinarians","E1VET10",134,155,180,207,237,290,338,398,406,501,564,547,573,645,703,766,882,1010,1105,1233,1380,1581,1788,1953,2173,2418,2721,3079,3529,3827,4113,4477,4825,5108,5590,6163,6933,7765,8653,9718,10723,11916,12962,14082,15123,16300
"265","258","E1CTV1 D         Cable television","E1CTV10",9,20,29,44,57,67,80,102,139,185,245,295,340,410,512,643,783,951,1237,1554,1878,2458,3596,4655,6070,7279,8292,9433,10711,12497,14591,16676,17925,19883,21810,21372,23862,27174,30131,33139,37234,40424,44033,47118,51630,55765
"266","259","E1FDV1 D         Film developing","E1FDV10",201,222,241,262,295,331,385,471,534,591,652,682,724,806,1079,1323,1464,1836,1874,1983,2338,2643,2795,2710,3158,3493,3806,4110,4431,4955,5427,5368,5466,5499,5767,5944,6097,6377,6530,6638,6756,6695,6575,6769,6522,6206
"267","260","E1PIC1 D         Photo studios","E1PIC10",304,323,330,343,363,403,452,509,569,689,825,953,1064,922,1023,1167,1331,1627,1614,1806,1989,2074,2221,2459,2712,2779,2996,3381,3717,4115,4282,4679,4867,5318,5727,5994,6510,6455,6072,6331,6433,6816,6899,6789,6814,6839
"268","261","E1CMP1 D         Sporting and recreational camps","E1CMP10",148,152,158,162,166,166,179,200,230,226,306,362,401,470,566,618,652,681,805,806,777,769,732,614,760,780,928,858,884,969,962,1039,1035,1243,1249,1317,1356,1370,1414,1534,1590,1772,1902,1903,1905,1893
"269","262","E1HRE1 D         High school recreation","E1HRE10",8,16,24,32,39,46,56,67,69,90,87,78,69,52,50,53,58,64,71,81,91,94,95,122,138,141,148,140,136,137,163,163,172,184,213,237,257,273,295,317,330,344,365,387,410,431
"270","263","E1LOT1 D         Lotteries","E1LOT10",1,1,1,1,1,4,3,2,19,36,35,61,104,223,351,428,531,634,803,967,1104,1240,1465,1964,2648,3462,4608,5403,6007,7274,8323,8722,8943,9783,10833,12013,13188,13980,14247,14428,14614,14625,15196,16176,16989,17818
"271","264","E1VID1 D         Video cassette rental","E1VID10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,692,1324,2344,3021,3336,4198,4884,5636,5792,6290,7021,7954,8415,8068,8193,8656,9444,9719,9773,9543,8899,8529
"272","265","E1NEC1 D         Commercial amusements n.e.c.","E1NEC10",689,775,862,953,1049,1132,1113,1203,1263,1511,1754,2068,2318,2610,3019,3500,4076,4606,5234,5734,6389,7411,8873,9597,10287,10635,11482,11380,11453,12764,14782,16172,17032,20003,20607,20989,23093,24674,26722,29409,33014,37076,41071,43822,47857,51169
"273","266","E1ISP1 D           Internet service providers","E1ISP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,100,200,305,412,805,1611,2675,3575,4709,7004,9481,12156,13228,15435,17144
"274","267","E1NIS1 D           Commercial amusements n.e.c. except internet service providers","E1NIS10",689,775,862,953,1049,1132,1113,1203,1263,1511,1754,2068,2318,2610,3019,3500,4076,4606,5234,5734,6389,7411,8873,9597,10287,10635,11482,11380,11453,12739,14732,16072,16832,19698,20195,20184,21483,21999,23147,24701,26010,27595,28915,30594,32421,34025
"275","268","E1OSR1 B   Other","E1OSR10",29446,31334,33325,35002,36867,40428,44183,48447,52983,57667,62916,68837,74016,81380,87950,97087,109692,120074,132819,151785,166157,183780,196748,218754,261575,282097,319800,349892,381242,409363,432830,460995,490568,535489,569840,596658,622545,667599,722408,790488,860709,945940,980715,1028218,1078130,1139508
"276","269","E1PER1 C     Personal care","E1PER10",6201,6439,6746,7063,7234,7690,8188,8907,9516,10110,10326,10633,10395,10827,11393,11814,12499,13380,14974,16465,17529,18567,19359,19582,23682,25323,28158,31197,34769,40245,44301,48050,46291,51472,53610,56726,61197,64387,69650,75012,80745,87029,90428,92893,95053,97511
"277","270","E1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","E1CRC10",3246,3328,3348,3417,3470,3639,3822,3986,4123,4314,4469,4484,4329,4470,4404,4431,4537,4684,4945,5260,5496,5745,5861,5810,6294,6891,7262,7692,8392,9628,10625,11294,10981,11365,11411,11702,12297,12517,13646,14295,15070,15737,15808,15784,14701,13597
"278","271","E1SCL1 D         Shoe repair","E1SCL10",243,260,281,284,255,243,260,261,267,283,292,305,315,385,385,387,397,409,400,399,413,431,445,425,450,461,464,468,498,548,593,647,648,665,636,560,534,502,476,426,441,428,421,426,429,434
"279","272","E1LAU1 D         Cleaning, laundering, and garment repair","E1LAU10",3003,3068,3067,3133,3215,3396,3562,3725,3856,4031,4177,4179,4014,4085,4019,4044,4140,4275,4545,4861,5083,5314,5416,5385,5844,6430,6798,7224,7894,9080,10032,10647,10333,10700,10775,11143,11763,12015,13170,13869,14628,15309,15387,15358,14272,13163
"280","273","E1DRY1 D           Drycleaning","E1DRY10",1659,1675,1654,1670,1703,1858,2055,2258,2404,2495,2555,2526,2396,2421,2123,2099,2112,2142,2277,2538,2686,2850,2845,2653,2905,3097,3110,3208,3552,3965,4232,4091,4379,5483,5606,5931,6250,6487,7239,7635,8004,8266,8243,8203,7516,6814
"281","274","E1LGR1 D           Laundry and garment repair","E1LGR10",1344,1393,1413,1463,1512,1538,1507,1467,1452,1536,1622,1653,1618,1664,1896,1945,2028,2133,2268,2323,2397,2464,2571,2732,2939,3333,3688,4016,4342,5115,5801,6556,5954,5217,5170,5211,5514,5529,5931,6234,6625,7043,7144,7156,6756,6350
"282","275","E1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","E1BBB10",2486,2593,2839,3088,3160,3372,3571,4024,4361,4637,4622,4877,4754,4902,5236,5513,5811,6209,7293,7960,8332,8610,8738,8671,10880,11770,13092,14544,16498,18324,19888,20937,21606,24065,24119,24906,26847,28126,31246,33556,35558,38356,40147,41637,43660,45818
"283","276","E1BEA1 D         Beauty shops, including combination","E1BEA10",1351,1472,1682,1905,1991,2166,2376,2768,3053,3255,3288,3524,3485,3610,3903,4203,4529,4944,5874,6580,6991,7309,7476,7448,9552,10442,11684,13026,14888,16625,18252,19254,19902,22330,22373,23096,24965,26196,28993,31280,33143,35834,37528,38954,40892,42960
"284","277","E1BAR1 D         Barber shops","E1BAR10",1135,1121,1157,1183,1169,1206,1195,1256,1308,1382,1334,1353,1269,1292,1333,1310,1282,1265,1419,1380,1341,1301,1262,1223,1328,1328,1408,1518,1610,1699,1636,1683,1704,1735,1746,1810,1882,1930,2254,2276,2414,2522,2620,2684,2768,2858
"285","278","E1COT1 C       Other (19)","E1COT10",469,518,559,558,604,679,795,897,1032,1159,1235,1272,1312,1455,1753,1870,2151,2487,2736,3245,3701,4212,4760,5101,6508,6662,7804,8961,9879,12293,13788,15819,13704,16042,18079,20118,22053,23744,24757,27161,30118,32936,34472,35471,36692,38096
"286","279","E1WCR1 D         Watch, clock, and jewelry repair","E1WCR10",289,324,334,316,337,360,395,418,455,496,512,523,538,573,583,593,645,663,670,686,719,733,718,710,711,686,765,799,854,882,906,940,934,951,989,1048,1202,1308,1454,1624,1711,1801,1861,1901,1932,1969
"287","280","E1CRP1 D         Miscellaneous personal services","E1CRP10",180,194,225,242,267,319,400,479,577,663,723,749,774,882,1170,1277,1506,1824,2066,2559,2982,3479,4042,4391,5797,5976,7039,8162,9025,11411,12882,14879,12770,15091,17090,19070,20850,22436,23303,25537,28407,31135,32611,33571,34760,36127
"288","281","E1PBU1 C     Personal business","E1PBU10",13104,14118,15349,15922,16661,18419,20101,22032,23655,26014,28920,31785,34305,37715,41328,46608,54909,60460,67153,78925,85916,95229,102270,115059,143643,151839,177525,198306,213605,224156,236249,250859,279658,306656,329982,336123,349561,376036,412925,446055,491581,539098,536516,552125,577723,611866
"289","282","E1BRO1 C       Brokerage charges and investment counseling (61)","E1BRO10",1211,1154,1635,1541,1735,1908,2175,2608,3042,3543,3048,2301,2987,3368,2545,2137,2861,3605,3578,4430,4921,6851,6928,8762,12734,12270,15167,20336,23364,19817,22998,23217,26765,31603,38171,37948,43464,51500,60841,69105,84365,100581,77768,75694,77269,82004
"290","283","E1EQT1 D         Equities commissions including imputed","E1EQT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11596,8642,10867,10326,13331,15280,18985,18116,22244,26771,32086,35094,43502,53025,36203,33242,31121,29592
"291","284","E1MUT1 D         Broker charges on mutual fund sales","E1MUT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,2225,2642,2738,3507,4587,5536,4697,4593,5673,6241,7513,8470,10004,8498,8178,8389,9179
"292","285","E1TDS1 D         Trading profits on debt securities","E1TDS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121,1150,1235,1132,1199,1231,1158,1167,1394,1220,1267,1031,1052,1246,1491,1187,1522,1816
"293","286","E1TSC1 D         Trust services of commercial banks","E1TSC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,1197,1447,1656,1890,2216,2204,2161,2016,1956,1971,2260,2405,2608,2536,2517,2567,2698
"294","287","E1IAS1 D         Investment advisory services of brokers","E1IAS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1608,1650,1924,2015,2214,2712,3559,4231,4563,5662,7248,8797,11005,13740,11931,11370,11290,12471
"295","288","E1CMD1 D         Commodities revenue","E1CMD10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840,1954,1891,1916,1225,1438,1653,1893,1928,1937,2166,2454,2332,2395,3068,4151,5083,6258
"296","289","E1SAX1 D         Investment counseling services","E1SAX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2715,2999,2992,3434,3399,4139,5074,5682,6726,8280,9862,11956,15599,17563,14041,15047,17297,19990
"297","290","E1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","E1BNK10",868,927,970,1017,1050,1161,1287,1430,1585,1718,1881,2028,2188,2313,2557,2818,3095,3444,3882,4406,5144,6471,8348,10383,11536,13380,15561,18248,19850,21412,23638,25544,28168,30934,34011,35254,37190,40474,43711,50162,58295,64244,69063,75502,82531,90205
"298","291","E1DAB1 D         Commercial bank service charges on deposit accounts","E1DAB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6338,6977,7720,8742,9951,11152,11686,11791,12101,12523,13442,14353,16019,17691,19683,22125,23601,24698
"299","292","E1FDB1 D         Commercial bank fees on fiduciary accounts","E1FDB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4404,4619,5202,5560,5946,6541,7100,7683,8029,8897,10504,12043,12847,13931,13544,13444,13709,14407
"300","293","E1OFB1 D         Commercial bank other fee income","E1OFB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5196,5672,6504,6938,7486,8216,9691,10139,10691,11429,10682,13411,17648,18355,18806,21680,24024,26425
"301","294","E1OBB1 D         Charges and fees of other depository institutions","E1OBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3912,4144,4212,4304,4785,5025,5534,5642,6369,7625,9082,10355,11780,14268,17030,18253,21196,24675
"302","295","E1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","E1IMP10",3451,3847,4076,4245,4162,4839,5172,5728,6299,6889,8892,10587,11377,12645,14379,17481,22437,22633,25161,30546,32646,32981,32566,35630,55012,55104,65417,72637,78945,78969,76749,81879,93656,107631,109419,113629,113260,121829,133056,143632,157161,167223,180016,193684,195196,203604
"303","296","E1IMC1 D         Commercial banks","E1IMC10",2240,2504,2496,2465,2630,2964,3129,3450,3808,4543,5816,7219,7616,8267,9233,11505,15335,14613,16396,18353,18709,17954,16112,23138,35415,33330,39265,40571,39431,38095,36959,42016,51616,60929,58264,56551,54098,57398,61023,62477,65864,64251,77701,95631,90416,98634
"304","297","E1IMN1 D         Other financial institutions","E1IMN10",1211,1343,1580,1780,1532,1875,2043,2278,2491,2346,3076,3368,3761,4378,5146,5976,7102,8020,8765,12193,13937,15027,16454,12492,19597,21774,26152,32066,39514,40874,39790,39863,42040,46702,51155,57078,59162,64431,72033,81155,91297,102972,102315,98053,104780,104970
"305","298","E1LIF1 C       Expense of handling life insurance and pension plans (64)","E1LIF10",3199,3605,3766,3943,4188,4699,5220,5396,5440,6013,6478,7221,7368,8030,9147,10184,11670,14299,16305,18931,21242,24321,26561,29855,31218,34181,39784,41602,41308,47498,51461,53213,61647,62024,70577,68890,72890,74435,81880,82726,85164,96078,91918,84750,91509,95673
"306","299","E1GAL1 C       Legal services (65)","E1GAL10",1953,2005,2271,2397,2618,2771,3011,3398,3581,3769,4157,4911,5431,5978,6887,7615,7913,8706,9611,11025,11650,13097,15461,17155,18851,21395,24503,27247,30818,34620,37600,40913,41708,44860,46155,46978,47354,50511,53748,57459,61025,63854,67980,71258,77299,84049
"307","300","E1FUN1 C       Funeral and burial expenses (66)","E1FUN10",1411,1496,1528,1618,1710,1741,1809,1902,1966,2149,2241,2343,2454,2590,2696,2823,2928,3259,3504,3830,3996,4545,4836,5069,5430,6044,6767,7091,7486,8340,8767,9526,10114,10969,11473,11620,12377,12721,13001,13825,14018,13977,14604,14633,15697,17359
"308","301","E1PBO1 C       Other (67)","E1PBO10",1011,1084,1103,1161,1198,1300,1428,1571,1742,1933,2222,2394,2500,2791,3117,3550,4005,4515,5112,5757,6316,6963,7570,8204,8862,9466,10327,11145,11834,13500,15037,16566,17599,18636,20177,21803,23026,24565,26689,29145,31552,33140,35167,36603,38222,38972
"309","302","E1UNS1 D         Labor union expenses","E1UNS10",656,702,717,742,765,817,861,922,999,1074,1189,1294,1357,1493,1687,1970,2216,2489,2785,3095,3459,3890,4193,4609,4642,4769,4996,5207,5361,5769,6184,6715,7222,7628,7865,8136,8509,8978,9476,9940,10457,10965,11554,12037,12466,12178
"310","303","E1ASS1 D         Profession association expenses","E1ASS10",37,43,44,49,53,63,84,100,127,154,182,214,251,301,342,393,486,568,652,773,867,974,1074,1215,1322,1443,1603,1777,1963,2217,2511,2813,3006,3155,3421,3568,4022,4111,4423,4706,5039,5392,6072,6146,6328,6240
"311","304","E1GEN1 D         Employment agency fees","E1GEN10",95,108,101,108,115,118,130,145,146,182,228,222,243,278,288,287,265,320,384,504,514,612,700,662,765,902,1088,1169,1231,1482,1697,1997,1725,1721,1668,1640,1607,1509,1828,2158,2423,2672,2764,2997,2958,2956
"312","305","E1AMO1 D         Money orders","E1AMO10",77,75,75,75,74,73,74,80,84,85,86,90,80,83,88,94,100,111,133,133,149,169,202,233,255,284,306,339,364,381,416,477,519,576,647,754,952,1127,1230,1452,1724,1893,1882,2127,2340,2558
"313","306","E1CLA1 D         Classified ads","E1CLA10",86,95,97,109,120,126,139,149,142,140,144,120,115,123,138,130,132,180,205,254,279,281,306,253,372,476,523,582,671,727,748,722,665,676,701,783,863,946,1053,1122,1171,1231,1043,1114,1108,1093
"314","307","E1ACC1 D         Tax return preparation services","E1ACC10",53,53,61,71,64,95,130,163,230,254,320,355,328,370,419,516,643,668,777,747,735,689,724,872,1094,1082,1234,1401,1535,1882,2175,2251,2715,2888,3523,4303,4112,4649,4962,5672,6355,6890,7677,8304,8715,9124
"315","308","E1THE1 D         Personal business services, n.e.c.","E1THE10",7,7,7,7,7,8,10,12,14,44,73,99,126,143,155,160,163,179,176,251,314,348,371,360,412,510,577,670,708,1042,1305,1591,1748,1992,2353,2620,2962,3245,3717,4095,4383,4098,4175,3877,4306,4824
"316","309","E1TED1 C     Education and research","E1TED10",4032,4376,4699,5128,5596,6175,7006,7972,8874,10095,11316,12695,13940,15288,16885,18511,20610,22540,24158,26798,29777,33481,37602,41311,45371,49409,53880,58138,63194,70236,77683,83700,89269,96036,101480,107281,114346,122650,129682,140028,150488,163771,178077,190736,201697,215323
"317","310","E1HED1 C       Higher education (105)","E1HED10",1987,2151,2351,2580,2830,3215,3806,4333,4763,5374,6059,6962,7818,8592,9350,10036,10729,11599,12565,13264,14767,16616,19071,22037,24260,26484,28720,31147,33648,36389,39985,43778,47905,52255,55764,59255,62906,66789,69834,74993,79977,86358,95134,103853,112179,121595
"318","311","E1PED1 D         Private higher education","E1PED10",1612,1725,1874,2022,2171,2414,2836,3179,3412,3793,4212,4665,5075,5535,5902,6306,6725,7202,7701,7910,8837,9879,11327,13238,14418,15692,16996,18418,19914,21174,23064,25082,26965,28631,30416,32178,34151,36384,37188,39923,42298,45564,49302,51876,53878,56312
"319","312","E1GED1 D         Public higher education","E1GED10",375,426,477,558,659,801,970,1154,1351,1581,1847,2297,2743,3057,3448,3730,4004,4397,4864,5354,5930,6737,7744,8799,9842,10792,11724,12729,13734,15215,16921,18696,20940,23624,25348,27078,28756,30406,32646,35070,37680,40794,45832,51977,58301,65283
"320","313","E1EED1 C       Nursery, elementary, and secondary schools (106)","E1EED10",1142,1275,1443,1604,1747,1873,2024,2190,2355,2579,2841,3164,3451,3807,4329,5043,5693,6057,6273,7473,8280,9491,10400,10868,12023,13170,14296,15085,16510,17748,19789,21219,21896,23063,24133,25416,26995,28409,29411,30963,32721,34618,36534,38310,39505,41323
"321","314","E1ESC1 D         Elementary and secondary schools","E1ESC10",1092,1209,1359,1502,1628,1740,1873,2021,2172,2375,2591,2843,3059,3367,3764,4293,4701,5008,5215,6209,6855,7969,8806,9280,10081,10926,11667,12201,13451,14570,15801,17224,18043,18776,19439,20247,21302,22452,22850,23975,24991,26104,27107,28188,28857,29960
"322","315","E1NSC1 D         Nursery schools","E1NSC10",50,66,84,102,119,133,151,169,183,204,250,321,392,440,565,750,992,1049,1058,1264,1425,1522,1594,1588,1942,2244,2629,2884,3059,3178,3988,3994,3853,4287,4694,5169,5693,5958,6561,6988,7730,8513,9426,10122,10648,11363
"323","316","E1OED1 C       Other (107)","E1OED10",902,950,904,944,1018,1086,1176,1449,1755,2141,2417,2568,2671,2890,3206,3433,4189,4884,5320,6062,6730,7374,8131,8406,9088,9756,10864,11907,13036,16100,17909,18704,19469,20718,21583,22610,24445,27451,30437,34071,37789,42795,46409,48573,50013,52405
"324","317","E1VED1 D         Commercial and vocational schools","E1VED10",639,658,609,641,708,753,845,1038,1255,1438,1586,1731,1740,1777,2003,2091,2705,3326,3644,4082,4359,4676,5011,5145,5683,6199,6957,7531,8428,10572,11802,12368,12445,13172,13642,14560,16056,18175,20203,22789,25769,29533,32154,33259,34447,36442
"325","318","E1RED1 D         Foundations and nonprofit research","E1RED10",263,292,295,303,310,333,330,411,500,703,830,837,930,1113,1203,1341,1484,1558,1677,1980,2372,2698,3120,3261,3405,3557,3906,4376,4608,5528,6108,6336,7024,7547,7941,8050,8388,9276,10234,11282,12020,13262,14256,15314,15567,15963
"326","319","E1RAW1 C     Religious and welfare activities (108)","E1RAW10",5050,5198,5340,5453,5740,6559,7102,7694,8529,9260,9964,10973,12464,14013,14974,16653,18287,20821,23231,26585,30274,34757,39153,42956,46149,51783,55657,61933,66686,74444,80993,88651,92918,102283,106467,115250,120356,130464,134234,145962,154478,172284,186470,202882,211174,225727
"327","320","E1POL1 D       Political organizations","E1POL10",30,131,39,91,46,201,61,136,76,297,89,194,96,301,101,200,109,301,108,329,159,516,160,531,280,1568,244,1364,414,2324,372,2071,496,2757,435,2374,615,3363,579,3139,788,4290,768,4149,1150,5254
"328","321","E1MUS1 D       Museums and libraries","E1MUS10",80,94,106,118,129,146,156,179,197,221,264,306,340,376,429,534,577,650,746,885,1040,1231,1458,1554,1689,1870,2122,2336,2546,2813,3115,3310,3385,3559,4082,4602,5103,5674,6204,6493,6969,7533,8322,8524,9295,9866
"329","322","E1FOU1 D       Foundations to religion and welfare","E1FOU10",79,107,136,159,191,175,300,327,324,302,400,477,744,675,673,956,1042,1184,1396,1286,1777,2069,2313,2721,3121,3358,3674,4069,4555,5286,6358,6563,7206,7532,7874,7408,7324,7104,6596,7600,8722,9334,11199,11842,12291,12623
"330","323","E1WEL1 D       Social welfare","E1WEL10",1165,1227,1265,1215,1328,1711,2002,2424,2858,3191,3647,4041,4782,5808,6318,6772,7649,9089,10640,12549,14822,17361,19625,21321,23227,25729,29081,32308,36413,39414,44852,48485,51757,57063,61703,65643,70862,74835,80632,86165,94505,105218,117344,125853,133291,140505
"331","324","E1CHC1 D         Child care","E1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9930,10210,12638,12512,11935,13089,14524,15874,17350,18031,19682,20968,23181,25517,28237,30319,31910,34241
"332","325","E1SCW1 D         Social welfare","E1SCW10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26483,29204,32214,35973,39822,43974,47179,49769,53512,56803,60950,65197,71324,79701,89107,95535,101381,106264
"333","326","E1REL1 D       Religion","E1REL10",3696,3639,3794,3870,4047,4326,4583,4628,5074,5249,5565,5956,6502,6854,7452,8192,8910,9597,10341,11535,12475,13580,15597,16829,17832,19257,20536,21855,22759,24607,26296,28221,30075,31372,32373,35223,36453,39488,40223,42565,43494,45909,48837,52514,55147,57478
"334","327","E1FOR1 C     Net foreign travel","E1FOR10",1060,1203,1191,1437,1636,1585,1786,1841,2409,2188,2390,2751,2912,3537,3370,3500,3387,2872,3303,3012,2661,1746,-1636,-155,2730,3744,4581,318,2988,282,-6396,-10265,-17569,-20958,-21699,-18722,-22915,-25938,-24083,-16568,-16582,-16242,-10776,-10418,-7517,-10919
"335","328","E1FTR1 C       Foreign travel by U.S. residents (110)","E1FTR10",2111,2313,2340,2583,2840,2988,3346,3606,4249,4200,4717,5414,5853,6832,7324,8127,8759,9380,10285,11107,12063,13304,15001,16522,18394,26109,27904,27795,33932,37336,38433,42702,41678,45943,48818,53338,54711,58447,64694,71099,75540,84415,80730,77438,79189,87015
"336","329","E1AFT1 D         Passenger fares for foreign travel","E1AFT10",811,889,899,992,1091,1148,1286,1385,1632,1614,1812,2080,2249,2625,2814,3122,3365,3604,3952,4072,4439,5194,6089,6957,8328,8539,9454,9276,11033,12115,12688,13761,13982,15620,16756,18922,19269,20583,23647,26510,28940,33237,32549,30871,33140,36889
"337","330","E1UST1 D         U.S. travel outside the U.S.","E1UST10",1300,1424,1441,1591,1749,1840,2060,2221,2617,2586,2905,3334,3604,4207,4510,5005,5394,5776,6333,7035,7624,8110,8609,9222,9700,17189,18046,18086,22447,24678,25159,28283,26998,29603,31205,33445,34316,36611,39651,43002,44793,49144,45928,44118,43350,47268
