"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"47","26","  Financing disbursements from credit programs \5\","M318271",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-296.0","-296.0","-296.0","-296.0","331.0","331.0","331.0","331.0","-576.0","-576.0","-576.0","-576.0","-1,086.0","-1,086.0","-1,086.0","-1,086.0","-2,932.0","-2,932.0","-2,932.0","-2,932.0","-5,181.0","-5,181.0","-5,181.0","-5,181.0","-2,752.0","-2,752.0","-2,752.0","-2,752.0","-3,847.0","-3,847.0","-3,847.0","-3,847.0","-4,282.0","-4,282.0","-4,282.0","-4,282.0","-5,822.0","-5,822.0","-5,823.0","-5,823.0","-3,930.0","-3,937.0","-3,930.0","-3,937.0","-1,729.0","-1,729.0","-1,729.0","-1,729.0","1,057.0","1,057.0","1,057.0","1,057.0","1,419.0","1,419.0","1,419.0","1,420.0","3,999.0","3,999.0","3,999.0","3,999.0","-4,449.0","-4,451.0","-4,451.0","-4,451.0","-7,057.0","-7,057.0","-7,057.0","-12,132.0","-94,882.0","-86,047.0","-157,539.0","-65,739.0","29,255.0","-133,984.0","-20,112.0","-32,594.0","6,694.0","-24,632.0","-33,955.0","-8,792.0","-24,660.0","-24,660.0","-24,660.0","-24,660.0","-35,287.0"
"48","27","  Other differences in funds covered \6\","M318281","-562.0","-581.0","-611.0","-656.0","-720.0","-735.0","-799.0","-856.0","-910.0","-1,031.0","-956.0","-914.0","-1,243.0","-1,062.0","-2,413.0","-1,096.0","-1,365.0","-1,366.0","-1,056.0","-2,297.0","-2,422.0","-2,787.0","-1,998.0","-2,645.0","-6,920.0","-4,172.0","-2,717.0","-4,438.0","-6,402.0","-2,686.0","-3,926.0","-1,614.0","-6,347.0","-2,053.0","-7,152.0","-3,526.0","-5,888.0","-4,565.0","-5,487.0","-2,563.0","-5,520.0","-7,691.0","-6,798.0","-3,757.0","-6,746.0","-7,717.0","-7,862.0","-5,438.0","-9,727.0","-9,018.0","-10,354.0","-7,030.0","-5,848.0","-9,536.0","-9,843.0","-4,991.0","-5,425.0","-8,386.0","-9,350.0","-3,172.0","-6,273.0","-7,897.0","-8,957.0","1,085.0","-2,772.0","-4,422.0","-2,533.0","91.0","90.0","-1,875.0","-812.0","-1,507.0","-22.0","-29.0","-40.0","-28.0","-10.0","-66.0","-200.0","-25.0","-67.0","-80.0","-131.0","-57.0","-142.0","-53.0","-112.0","-147.0","-123.0","-12.0","-9.0","65.0","27.0","25.0","-9.0","-16.0","-74.0","-100.0","-103.0","-80.0","-101.0","-92.0","-124.0","-43.0","-144.0","-202.0","868.0","-55.0","-87.0","-358.0","948.0","213.0","201.0","225.0","219.0","208.0","281.0","536.0","532.0","500.0","672.0","991.0","915.0","1,457.0","1,374.0","614.0","-665.0","1,326.0","957.0","1,068.0","1,157.0","1,250.0","1,014.0","1,370.0","1,146.0","1,516.0","894.0","1,375.0","4,295.0","1,454.0","1,617.0","1,578.0","-1,659.0","1,253.0","1,309.0","1,550.0","1,498.0","1,710.0","1,428.0","1,482.0","1,408.0","1,660.0","1,445.0","1,588.0","1,551.0","1,718.0","1,442.0","1,755.0","1,794.0","1,870.0","1,684.0","1,654.0","1,549.0","2,237.0","1,673.0","1,895.0","1,980.0","2,056.0","1,704.0","1,851.0","1,860.0","2,091.0","2,008.0","1,930.0","2,268.0","2,146.0"
"49","28","  Net investment \7\","M318291","1,814.0","1,193.0","1,280.0","660.0","961.0","782.0","523.0","613.0","-252.0","-335.0","-64.0","-549.0","-328.0","214.0","-474.0","-143.0","445.0","246.0","-314.0","-460.0","-29.0","309.0","312.0","393.0","200.0","-112.0","919.0","1,055.0","1,004.0","865.0","1,162.0","1,089.0","1,272.0","1,543.0","1,512.0","1,143.0","1,057.0","1,735.0","2,087.0","2,405.0","2,056.0","2,286.0","3,146.0","2,501.0","3,178.0","3,017.0","2,988.0","3,178.0","3,186.0","3,781.0","3,992.0","4,193.0","3,617.0","4,534.0","4,337.0","4,800.0","4,909.0","5,476.0","6,282.0","6,709.0","6,558.0","6,981.0","6,835.0","8,813.0","8,203.0","9,477.0","10,939.0","10,557.0","9,083.0","9,780.0","11,689.0","11,018.0","10,303.0","11,571.0","11,921.0","11,110.0","8,182.0","8,109.0","7,599.0","7,790.0","6,794.0","6,810.0","7,351.0","6,101.0","6,598.0","7,360.0","7,180.0","5,918.0","4,706.0","6,085.0","4,876.0","3,226.0","3,332.0","4,081.0","4,135.0","3,420.0","1,871.0","1,747.0","1,214.0","567.0","-1,579.0","-886.0","762.0","-1,247.0","-705.0","-573.0","-760.0","-2,178.0","224.0","-299.0","-343.0","-2,192.0","-3,709.0","-2,412.0","-1,344.0","-1,858.0","-3,041.0","-1,575.0","-52.0","-1,246.0","-2,445.0","-322.0","-88.0","913.0","-1,822.0","-658.0","-1,309.0","-323.0","-1,802.0","415.0","210.0","1,726.0","908.0","3,980.0","5,428.0","4,930.0","4,097.0","7,073.0","8,290.0","6,579.0","6,957.0","7,422.0","9,081.0","8,924.0","6,394.0","8,081.0","10,885.0","8,157.0","8,961.0","9,831.0","9,206.0","9,346.0","8,238.0","10,266.0","10,870.0","9,247.0","8,958.0","12,415.0","14,187.0","13,877.0","9,863.0","12,890.0","14,116.0","12,572.0","11,057.0","14,080.0","15,218.0","14,279.0","9,591.0","10,458.0","10,614.0","8,258.0","4,694.0","5,889.0","7,096.0","4,112.0"
"50","29","  Capital transfers paid \8\","M318301","1,269.0","1,298.0","1,554.0","1,739.0","1,171.0","1,185.0","1,387.0","1,517.0","1,144.0","1,465.0","1,620.0","1,720.0","1,201.0","1,260.0","1,877.0","1,713.0","1,256.0","1,508.0","1,450.0","1,783.0","1,766.0","2,103.0","1,729.0","2,328.0","2,106.0","2,137.0","2,621.0","2,847.0","2,173.0","2,341.0","2,915.0","3,188.0","2,347.0","2,479.0","3,369.0","2,998.0","2,421.0","2,646.0","3,317.0","3,600.0","2,894.0","3,036.0","4,048.0","4,544.0","3,363.0","3,799.0","4,457.0","5,120.0","3,492.0","3,794.0","4,199.0","4,251.0","2,903.0","3,626.0","4,118.0","4,023.0","3,313.0","3,423.0","4,517.0","4,329.0","3,390.0","4,097.0","5,158.0","5,138.0","3,383.0","4,629.0","5,771.0","5,782.0","3,923.0","4,988.0","6,200.0","4,970.0","3,835.0","4,727.0","5,461.0","5,076.0","3,887.0","4,718.0","5,935.0","5,214.0","4,200.0","4,777.0","5,463.0","5,564.0","4,538.0","4,825.0","5,891.0","5,730.0","4,593.0","5,171.0","6,053.0","5,561.0","4,528.0","5,430.0","6,427.0","6,172.0","4,687.0","5,303.0","7,217.0","6,430.0","5,039.0","5,685.0","7,335.0","6,902.0","6,041.0","6,714.0","7,707.0","6,995.0","6,318.0","6,711.0","7,891.0","7,500.0","6,151.0","6,995.0","8,407.0","7,478.0","5,805.0","6,577.0","8,408.0","8,114.0","5,888.0","7,749.0","9,900.0","8,844.0","7,711.0","8,845.0","10,287.0","10,148.0","8,634.0","10,397.0","12,373.0","11,104.0","10,298.0","11,003.0","13,136.0","11,473.0","8,447.0","11,849.0","14,435.0","11,624.0","9,632.0","10,659.0","15,350.0","11,531.0","10,157.0","12,352.0","31,594.0","12,936.0","10,933.0","12,705.0","15,734.0","13,599.0","9,991.0","13,251.0","16,735.0","14,652.0","11,087.0","13,793.0","20,134.0","83,778.0","67,806.0","50,003.0","35,099.0","40,934.0","30,334.0","42,773.0","29,276.0","24,788.0","20,073.0","28,183.0","30,221.0","34,645.0","20,385.0","19,199.0","23,973.0","27,529.0"
"51","30","  Financial transactions","M318311","901.0","-148.0","820.0","1,861.0","639.0","328.0","8.0","433.0","1,431.0","489.0","485.0","1,823.0","915.0","250.0","346.0","805.0","1,579.0","-1,588.0","1,192.0","418.0","1,144.0","2,073.0","2,518.0","2,647.0","4,016.0","2,227.0","3,882.0","3,896.0","2,780.0","348.0","4,157.0","2,899.0","2,899.0","962.0","5,563.0","7,056.0","5,763.0","1,837.0","5,873.0","5,375.0","6,503.0","4,893.0","3,213.0","6,019.0","6,915.0","7,833.0","4,310.0","6,587.0","10,558.0","7,480.0","6,094.0","9,259.0","7,982.0","6,237.0","5,133.0","10,067.0","6,165.0","1,836.0","-2,570.0","3,155.0","1,203.0","5,129.0","4,152.0","12,373.0","6,406.0","6,624.0","4,095.0","9,612.0","3,674.0","-1,337.0","2,103.0","5,065.0","2,154.0","-3,279.0","-2,308.0","-1,176.0","2,864.0","4,645.0","5,441.0","7,019.0","384.0","5,186.0","10,595.0","7,334.0","5,201.0","28,499.0","14,731.0","17,842.0","4,495.0","16,036.0","41,586.0","-2,186.0","13,877.0","4,998.0","-7,341.0","-2,201.0","248.0","-7,880.0","-12,050.0","7,259.0","-9,165.0","3,370.0","-5,534.0","6,498.0","-4,667.0","-5,603.0","-4,521.0","2,204.0","-848.0","-2,433.0","894.0","6,553.0","1,475.0","-1,045.0","896.0","6,774.0","666.0","-1,729.0","2,450.0","12,558.0","4,756.0","-4,496.0","-5,391.0","16,052.0","258.0","-94.0","-4,285.0","11,235.0","6,549.0","-1,687.0","-8,642.0","14,862.0","6,214.0","2,619.0","-13,552.0","9,747.0","13,581.0","-4,335.0","-10,188.0","9,785.0","-493.0","3,585.0","-10,668.0","9,082.0","6,128.0","2,368.0","-17,455.0","11,761.0","-4,756.0","11,481.0","-12,060.0","14,482.0","6,799.0","-3,348.0","-8,623.0","16,819.0","8,816.0","14,421.0","20,131.0","306,772.0","152,167.0","8,415.0","46,546.0","-8,050.0","20,932.0","42,558.0","-16,480.0","-10,166.0","37,486.0","-25,162.0","-25,240.0","38,625.0","28,716.0","11,618.0","-23,901.0","40,750.0"
"52","31","    Loan disbursements less loan repayments and sales","M318321","884.0","-231.0","791.0","1,924.0","600.0","303.0","-27.0","500.0","1,505.0","428.0","533.0","1,780.0","815.0","116.0","490.0","768.0","1,578.0","-1,678.0","1,225.0","383.0","1,181.0","2,020.0","2,581.0","2,628.0","4,152.0","2,317.0","3,876.0","3,815.0","2,803.0","353.0","4,132.0","2,897.0","3,014.0","1,071.0","5,657.0","7,096.0","5,914.0","1,985.0","6,178.0","5,503.0","6,358.0","4,886.0","3,387.0","6,050.0","7,215.0","7,773.0","4,520.0","6,616.0","10,529.0","6,312.0","5,940.0","8,646.0","8,131.0","5,040.0","4,823.0","9,052.0","4,057.0","4,249.0","2,074.0","3,812.0","1,519.0","7,289.0","2,848.0","9,126.0","5,335.0","8,723.0","2,687.0","2,808.0","3,113.0","3,164.0","3,370.0","583.0","118.0","2,812.0","-3,714.0","661.0","109.0","1,518.0","-2,341.0","8,729.0","4,231.0","4,145.0","-5,110.0","946.0","1,023.0","2,497.0","919.0","3,593.0","2,675.0","1,247.0","5,223.0","2,620.0","2,549.0","729.0","-1,541.0","3,149.0","3,048.0","-676.0","-764.0","3,021.0","-3,029.0","1,025.0","-593.0","5,140.0","2,522.0","2,584.0","1,532.0","2,748.0","5,129.0","2,875.0","2,082.0","5,421.0","6,594.0","6,390.0","2,910.0","2,060.0","3,356.0","2,878.0","5,209.0","7,447.0","6,341.0","3,998.0","2,336.0","6,675.0","3,912.0","6,185.0","-4,658.0","9,386.0","8,736.0","4,892.0","-6,243.0","6,879.0","6,789.0","9,173.0","-6,672.0","5,064.0","12,431.0","4,471.0","-7,691.0","6,135.0","2,916.0","7,763.0","-5,412.0","1,403.0","8,173.0","7,040.0","-10,061.0","-93.0","-390.0","15,997.0","-419.0","8,436.0","9,149.0","2,573.0","-2,451.0","9,449.0","8,817.0","16,127.0","1,424.0","311,359.0","110,141.0","-102,140.0","1,943.0","86,795.0","-33,740.0","69,036.0","21,514.0","626.0","50,051.0","-16,019.0","-19,485.0","24,784.0","30,687.0","12,285.0","-12,479.0","38,782.0"
"53","32","    Deposit insurance","B1069C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","778.0","157.0","430.0","-250.0","820.0","268.0","919.0","327.0","-240.0","494.0","364.0","1,526.0","-1,250.0","1,671.0","-280.0","646.0","-339.0","677.0","-1,388.0","-248.0","-1,578.0","-551.0","-550.0","-340.0","-1,056.0","273.0","-1,953.0","1,288.0","1,502.0","751.0","1,306.0","-26.0","3,352.0","19,158.0","6,778.0","6,213.0","28,372.0","16,513.0","15,536.0","2,235.0","15,013.0","36,853.0","-4,378.0","11,486.0","4,110.0","-5,694.0","-6,712.0","-4,571.0","-5,766.0","-5,767.0","1,167.0","-5,079.0","4,229.0","-2,299.0","-3,432.0","-5,393.0","-4,563.0","-1,372.0","-2,718.0","-2,563.0","-1,436.0","-1,069.0","-1,910.0","-3,721.0","-2,649.0","-1,540.0","-729.0","-799.0","-529.0","-1,056.0","-1,697.0","-211.0","-689.0","-610.0","-120.0","-1,591.0","-281.0","-82.0","-375.0","-428.0","-232.0","221.0","682.0","795.0","-16.0","-733.0","-334.0","1,325.0","-375.0","319.0","60.0","-4.0","94.0","70.0","48.0","822.0","83.0","-492.0","514.0","314.0","518.0","-194.0","177.0","118.0","724.0","-206.0","1,252.0","419.0","1,783.0","19,000.0","7,595.0","7,144.0","7,208.0","11,853.0","6,782.0","3,059.0","19,309.0","278.0","-2,501.0","765.0","806.0","2,179.0","678.0","2,162.0","1,007.0","151.0","3,887.0"
"54","33","    Net purchases of foreign currency","M318341","36.0","181.0","59.0","59.0","101.0","86.0","38.0","64.0","40.0","64.0","26.0","36.0","41.0","35.0","2.0","1.0","3.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55","34","    Other","M318351","-19.0","-98.0","-30.0","-122.0","-62.0","-61.0","-3.0","-131.0","-114.0","-3.0","-74.0","7.0","59.0","99.0","-146.0","36.0","-2.0","88.0","-33.0","34.0","-38.0","53.0","-63.0","19.0","-136.0","-90.0","6.0","81.0","-23.0","-5.0","25.0","2.0","-115.0","-109.0","-94.0","-40.0","-151.0","-148.0","-305.0","-128.0","145.0","7.0","-174.0","-31.0","-300.0","60.0","-210.0","-29.0","17.0","390.0","-3.0","183.0","101.0","377.0","42.0","96.0","1,781.0","-2,173.0","-5,138.0","-1,021.0","-1,842.0","-910.0","-367.0","3,527.0","425.0","-1,760.0","731.0","8,192.0","809.0","-2,923.0","-716.0","5,032.0","2,376.0","-5,035.0","1,133.0","116.0","1,467.0","1,625.0","7,031.0","-3,016.0","-3,821.0","-2,311.0","-3,453.0","-390.0","-2,035.0","-2,370.0","-2,701.0","-1,287.0","-415.0","-224.0","-490.0","-428.0","-158.0","159.0","-106.0","1,362.0","1,771.0","-1,438.0","-5,519.0","3,071.0","-1,057.0","-1,884.0","-2,642.0","4,790.0","-1,796.0","-3,624.0","-4,681.0","2,174.0","-3,414.0","-3,872.0","-119.0","3,042.0","-1,398.0","-4,786.0","-474.0","5,443.0","-1,891.0","-4,078.0","-1,703.0","6,808.0","-1,374.0","-7,805.0","-7,117.0","9,497.0","-2,063.0","-5,998.0","455.0","2,224.0","-1,759.0","-6,347.0","-2,620.0","7,301.0","-1,370.0","-6,538.0","-6,147.0","5,017.0","-175.0","-8,431.0","-2,816.0","3,590.0","-3,405.0","-4,272.0","-5,326.0","7,631.0","-2,867.0","-4,755.0","-6,902.0","11,340.0","-4,680.0","-5,034.0","-11,447.0","5,869.0","-2,468.0","-6,645.0","-5,966.0","6,118.0","-420.0","-3,489.0","-293.0","-12,182.0","34,882.0","103,347.0","32,750.0","-101,627.0","51,613.0","-45,787.0","-38,272.0","-8,291.0","-13,330.0","-9,949.0","-7,934.0","13,163.0","-4,133.0","-1,674.0","-11,573.0","-1,919.0"
"56","35","  Net purchases of nonproduced assets","M318361","11.0","44.0","30.0","19.0","-23.0","-80.0","-31.0","-135.0","-583.0","46.0","58.0","40.0","65.0","62.0","-92.0","-749.0","-1,308.0","-288.0","-1,201.0","-408.0","-940.0","-3,485.0","54.0","-1,302.0","-193.0","-152.0","-63.0","-25.0","-210.0","-750.0","-1,084.0","-343.0","36.0","-234.0","-866.0","-357.0","21.0","-797.0","263.0","-126.0","-635.0","-63.0","-683.0","-1,467.0","-658.0","188.0","-475.0","-3,123.0","51.0","-1,330.0","-3,264.0","-983.0","-883.0","-257.0","-126.0","-2,426.0","10.0","-3,658.0","-1,294.0","-7.0","-706.0","-1,558.0","-1,079.0","-614.0","47.0","-48.0","-1,131.0","-70.0","-9.0","-1,858.0","-2.0","-1,155.0","-1.0","-47.0","-206.0","-184.0","45.0","607.0","-595.0","-213.0","31.0","-387.0","-182.0","-198.0","-108.0","-340.0","-359.0","26.0","38.0","37.0","34.0","40.0","52.0","52.0","45.0","40.0","56.0","39.0","25.0","34.0","-17.0","-234.0","352.0","-27.0","-41.0","-693.0","-7,087.0","-108.0","-293.0","-175.0","-410.0","-3,907.0","-318.0","-6,911.0","-1,025.0","-547.0","-746.0","-2,789.0","-2,125.0","-365.0","-67.0","-204.0","-859.0","-87.0","-87.0","-124.0","-293.0","-121.0","-1,167.0","-176.0","-107.0","0.0","-13.0","-18.0","-45.0","-190.0","-205.0","-341.0","-228.0","-144.0","-103.0","-211.0","-148.0","-370.0","-261.0","-274.0","-1,190.0","-268.0","-350.0","-555.0","-629.0","-12,874.0","-549.0","-1,267.0","-187.0","-1,346.0","-2,662.0","-5,463.0","-2,440.0","-9,820.0","-6,956.0","-1,215.0","-394.0","-312.0","-196.0","-430.0","-284.0","-62.0","-53.0","-170.0","-406.0","-257.0","-348.0","-316.0","-346.0","-346.0"
"57","36","  Other \9\","M318391","611.0","-1,121.0","-150.0","19.0","248.0","-22.0","-130.0","-127.0","-28.0","-45.0","-39.0","-127.0","-2.0","167.0","-473.0","30.0","-234.0","611.0","-306.0","-92.0","-51.0","-448.0","-182.0","130.0","-5.0","67.0","-18.0","33.0","305.0","-214.0","71.0","52.0","101.0","91.0","23.0","-86.0","144.0","32.0","87.0","173.0","182.0","206.0","186.0","163.0","131.0","63.0","237.0","225.0","-61.0","42.0","-30.0","139.0","-135.0","-102.0","-79.0","-21.0","157.0","147.0","153.0","132.0","175.0","174.0","184.0","123.0","169.0","136.0","173.0","154.0","127.0","91.0","186.0","136.0","148.0","158.0","162.0","104.0","156.0","87.0","141.0","239.0","261.0","254.0","278.0","386.0","253.0","102.0","158.0","512.0","-19.0","-15.0","10.0","-27.0","-28.0","-67.0","-1.0","16.0","54.0","66.0","112.0","148.0","110.0","89.0","135.0","164.0","108.0","67.0","110.0","136.0","102.0","79.0","121.0","148.0","82.0","81.0","121.0","148.0","102.0","76.0","114.0","138.0","95.0","111.0","146.0","185.0","150.0","141.0","218.0","173.0","116.0","112.0","182.0","193.0","105.0","138.0","193.0","177.0","111.0","122.0","169.0","144.0","127.0","127.0","167.0","172.0","129.0","180.0","223.0","172.0","171.0","114.0","199.0","131.0","226.0","114.0","261.0","153.0","152.0","151.0","180.0","237.0","156.0","160.0","223.0","185.0","152.0","148.0","186.0","167.0","217.0","172.0","218.0","258.0","165.0","143.0","277.0","145.0"
"58","37","Less: Netting and grossing differences","M318401","-1,188.0","-745.0","-663.0","-1,064.0","-1,028.0","-917.0","-420.0","-879.0","-756.0","-873.0","-547.0","-1,213.0","-910.0","-1,309.0","-847.0","-933.0","-1,086.0","-1,279.0","-533.0","-483.0","-1,061.0","-1,011.0","-987.0","-1,007.0","-885.0","-1,500.0","-1,068.0","-1,200.0","-1,734.0","-1,781.0","-1,868.0","-1,850.0","-2,430.0","-2,176.0","-1,879.0","-1,961.0","-1,922.0","-2,223.0","-2,501.0","-3,097.0","-3,081.0","-2,930.0","-3,015.0","-3,553.0","-3,332.0","-3,209.0","-3,442.0","-4,245.0","-4,633.0","-4,690.0","-4,894.0","-7,439.0","-7,389.0","-7,398.0","-6,960.0","-7,734.0","-7,790.0","-8,036.0","-7,745.0","-8,530.0","-9,262.0","-9,248.0","-8,829.0","-9,751.0","-9,522.0","-11,517.0","-10,858.0","-11,143.0","-11,527.0","-11,314.0","-11,551.0","-11,230.0","-10,938.0","-10,605.0","-10,961.0","-11,293.0","-12,635.0","-12,545.0","-11,234.0","-11,763.0","-13,093.0","-12,858.0","-14,196.0","-12,014.0","-12,072.0","-12,342.0","-12,234.0","-15,501.0","-15,217.0","-15,085.0","-14,874.0","-14,616.0","-15,694.0","-15,437.0","-15,083.0","-17,739.0","-15,315.0","-16,110.0","-19,363.0","-16,100.0","-16,469.0","-15,985.0","-19,089.0","-15,152.0","-16,345.0","-15,927.0","-19,661.0","-14,740.0","-16,521.0","-16,066.0","-21,032.0","-20,028.0","-17,215.0","-16,538.0","-21,495.0","-16,538.0","-17,537.0","-16,859.0","-21,557.0","-18,262.0","-15,983.0","-17,180.0","-21,634.0","-17,557.0","-18,953.0","-18,927.0","-23,148.0","-16,813.0","-18,695.0","-18,606.0","-22,619.0","-19,080.0","-19,165.0","-21,026.0","-27,534.0","-20,204.0","-22,551.0","-23,631.0","-24,579.0","-22,489.0","-24,535.0","-25,138.0","-26,365.0","-23,761.0","-25,799.0","-26,564.0","-28,883.0","-26,017.0","-29,554.0","-31,161.0","-31,604.0","-29,381.0","-32,586.0","-32,566.0","-34,453.0","-32,407.0","-35,076.0","-35,847.0","-39,461.0","-37,084.0","-42,482.0","-42,831.0","-50,287.0","-94,192.0","-38,280.0","-42,304.0","-46,679.0","-42,612.0","-45,212.0","-45,002.0","-46,899.0","-39,903.0","-41,804.0","-40,670.0","-39,677.0","-32,771.0"
"59","38","  Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,202.0","-675.0","-947.0","-1,032.0","-1,068.0","-1,054.0","-1,071.0","-1,061.0","-1,077.0","-1,286.0","-1,301.0","-1,279.0","-1,335.0","-1,425.0","-1,377.0","-1,426.0","-1,427.0","-1,442.0","-1,426.0","-1,444.0","-1,454.0","-1,678.0","-1,689.0","-1,699.0","-2,380.0","-1,682.0","-2,364.0","-2,371.0","-2,384.0","-3,043.0","-3,070.0","-3,093.0","-3,113.0","-2,822.0","-2,816.0","-2,859.0","-2,949.0","-3,063.0","-3,073.0","-3,095.0","-3,142.0","-3,332.0","-3,353.0","-3,415.0","-4,508.0","-2,836.0","-3,987.0","-3,977.0","-4,071.0","-4,534.0","-4,555.0","-4,590.0","-4,615.0","-5,191.0","-5,162.0","-5,273.0","-5,043.0","-5,138.0","-4,898.0","-4,961.0","-4,967.0","-5,152.0","-5,119.0","-5,183.0","-5,155.0","-5,200.0","-5,190.0","-5,202.0","-6,657.0","-4,059.0","-5,402.0","-5,443.0","-5,510.0","-5,447.0","-5,457.0","-5,493.0","-5,540.0","-6,060.0","-6,019.0","-6,134.0","-6,108.0","-6,643.0","-6,585.0","-6,616.0","-6,709.0","-7,177.0","-7,213.0","-7,333.0","-7,266.0","-8,229.0","-8,234.0","-8,411.0","-8,455.0","-9,855.0","-9,888.0","-10,045.0","-10,161.0","-11,544.0","-11,540.0","-11,843.0","-11,784.0","-12,865.0","-12,618.0","-12,931.0","-12,938.0","-13,788.0","-13,589.0","-13,864.0","-13,887.0","-14,175.0","-14,341.0","-14,552.0","-18,507.0","-11,394.0","-15,264.0","-15,488.0","-15,500.0","-15,950.0","-15,635.0","-16,043.0","-16,076.0","-16,004.0","-15,959.0","-16,303.0","-15,585.0"
