"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"50","29","        Capital transfers paid \8\","M318301","1,268.0","1,298.0","1,553.0","1,739.0","1,171.0","1,184.0","1,386.0","1,514.0","1,141.0","1,462.0","1,616.0","1,714.0","1,195.0","1,254.0","1,868.0","1,704.0","1,247.0","1,499.0","1,440.0","1,774.0","1,757.0","2,094.0","1,720.0","2,319.0","2,094.0","2,122.0","2,606.0","2,832.0","2,158.0","2,329.0","2,903.0","3,176.0","2,334.0","2,464.0","3,351.0","2,980.0","2,400.0","2,625.0","3,296.0","3,576.0","2,870.0","3,009.0","4,021.0","4,514.0","3,333.0","3,767.0","4,424.0","5,087.0","3,460.0","3,764.0","4,169.0","4,221.0","2,873.0","3,597.0","4,091.0","3,996.0","3,286.0","3,397.0","4,493.0","4,305.0","3,368.0","4,074.0","5,133.0","5,110.0","3,349.0","4,592.0","5,733.0","5,748.0","3,893.0","4,961.0","6,173.0","4,943.0","3,803.0","4,693.0","5,425.0","5,040.0","3,853.0","4,685.0","5,901.0","5,181.0","4,167.0","4,741.0","5,427.0","5,528.0","4,502.0","4,787.0","5,852.0","5,691.0","4,551.0","5,128.0","6,010.0","5,519.0","4,485.0","5,387.0","6,384.0","6,129.0","4,687.0","5,303.0","7,217.0","6,430.0","5,040.0","5,685.0","7,335.0","6,902.0","6,040.0","6,714.0","7,706.0","6,996.0","6,320.0","6,711.0","7,891.0","7,499.0","6,151.0","6,995.0","8,408.0","7,479.0","5,803.0","6,579.0","8,408.0","8,086.0","5,886.0","7,725.0","9,793.0","8,752.0","7,543.0","8,677.0","10,333.0","10,008.0","8,498.0","10,255.0","12,220.0","11,014.0","10,196.0","10,859.0","13,005.0","11,354.0","8,329.0","11,726.0","14,306.0","11,502.0","9,521.0","10,536.0","15,213.0","11,446.0","10,003.0","12,222.0","31,465.0","12,822.0","10,833.0","12,585.0","15,604.0","13,472.0","9,886.0","13,111.0","16,599.0","14,526.0","10,995.0","13,666.0","20,002.0","83,650.0","67,715.0","49,909.0","35,000.0","40,801.0","30,036.0","42,427.0","28,897.0","24,865.0"
"51","30","        Financial transactions","M318311","902.0","-148.0","821.0","1,861.0","639.0","329.0","9.0","436.0","1,434.0","492.0","489.0","1,829.0","921.0","256.0","355.0","814.0","1,588.0","-1,579.0","1,202.0","427.0","1,153.0","2,082.0","2,527.0","2,656.0","4,028.0","2,242.0","3,897.0","3,911.0","2,795.0","360.0","4,169.0","2,911.0","2,912.0","977.0","5,581.0","7,074.0","5,784.0","1,858.0","5,894.0","5,399.0","6,527.0","4,920.0","3,240.0","6,049.0","6,945.0","7,865.0","4,343.0","6,620.0","10,590.0","7,510.0","6,124.0","9,289.0","8,012.0","6,266.0","5,160.0","10,094.0","6,192.0","1,862.0","-2,546.0","3,179.0","1,225.0","5,152.0","4,177.0","12,401.0","6,440.0","6,661.0","4,133.0","9,646.0","3,704.0","-1,310.0","2,130.0","5,092.0","2,186.0","-3,245.0","-2,272.0","-1,140.0","2,898.0","4,678.0","5,475.0","7,052.0","417.0","5,222.0","10,631.0","7,370.0","5,237.0","28,537.0","14,770.0","17,881.0","4,537.0","16,079.0","41,629.0","-2,144.0","13,920.0","5,041.0","-7,298.0","-2,158.0","248.0","-7,880.0","-12,050.0","7,259.0","-9,166.0","3,370.0","-5,534.0","6,498.0","-4,238.0","-5,101.0","-5,283.0","2,779.0","-619.0","-2,365.0","425.0","6,623.0","1,660.0","-1,112.0","486.0","7,297.0","878.0","-1,284.0","1,839.0","12,275.0","5,013.0","-4,767.0","-5,509.0","16,607.0","474.0","-302.0","-4,842.0","11,107.0","6,611.0","-1,720.0","-8,691.0","14,758.0","4,822.0","2,562.0","-12,927.0","8,977.0","11,893.0","-6,481.0","-12,599.0","7,134.0","-1,241.0","4,215.0","-9,160.0","8,666.0","5,397.0","3,260.0","-16,860.0","11,879.0","-4,173.0","12,697.0","-10,639.0","15,938.0","7,956.0","-3,738.0","-7,466.0","16,387.0","8,788.0","13,376.0","19,308.0","307,027.0","152,159.0","7,573.0","47,859.0","-10,041.0","22,330.0","42,475.0","-20,093.0","-715.0"
"52","31","          Loan disbursements less loan repayments and sales","M318321","885.0","-231.0","792.0","1,924.0","600.0","304.0","-26.0","503.0","1,508.0","431.0","537.0","1,786.0","821.0","122.0","499.0","777.0","1,587.0","-1,669.0","1,235.0","392.0","1,190.0","2,029.0","2,590.0","2,637.0","4,164.0","2,332.0","3,891.0","3,830.0","2,818.0","365.0","4,144.0","2,909.0","3,027.0","1,086.0","5,675.0","7,114.0","5,935.0","2,006.0","6,199.0","5,527.0","6,382.0","4,913.0","3,414.0","6,080.0","7,245.0","7,805.0","4,553.0","6,649.0","10,561.0","6,342.0","5,970.0","8,676.0","8,161.0","5,069.0","4,850.0","9,079.0","4,084.0","4,275.0","2,098.0","3,836.0","1,541.0","7,312.0","2,873.0","9,154.0","5,369.0","8,760.0","2,725.0","2,842.0","3,143.0","3,191.0","3,397.0","610.0","150.0","2,846.0","-3,678.0","697.0","143.0","1,551.0","-2,307.0","8,762.0","4,264.0","4,181.0","-5,074.0","982.0","1,059.0","2,535.0","958.0","3,632.0","2,717.0","1,290.0","5,266.0","2,662.0","2,592.0","772.0","-1,498.0","3,192.0","3,048.0","-676.0","-764.0","3,021.0","-3,030.0","1,025.0","-593.0","5,140.0","3,645.0","2,990.0","1,084.0","2,844.0","5,816.0","2,745.0","1,406.0","5,515.0","6,764.0","5,998.0","2,778.0","2,877.0","3,207.0","3,260.0","4,599.0","7,399.0","6,952.0","3,500.0","2,391.0","6,795.0","4,193.0","6,037.0","-5,183.0","8,605.0","9,529.0","5,103.0","-6,676.0","7,116.0","5,923.0","8,767.0","-6,729.0","4,215.0","11,022.0","2,206.0","-10,079.0","2,601.0","3,112.0","7,683.0","-4,600.0","802.0","9,108.0","7,391.0","-10,036.0","61.0","-255.0","16,918.0","27.0","8,464.0","9,707.0","2,889.0","-1,679.0","6,473.0","7,693.0","14,580.0","1,025.0","311,066.0","109,571.0","-102,514.0","-25.0","85,337.0","-33,975.0","69,314.0","18,615.0","37,848.0"
"53","32","          Deposit insurance","B1069C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","778.0","157.0","430.0","-250.0","820.0","268.0","919.0","327.0","-240.0","494.0","364.0","1,526.0","-1,250.0","1,671.0","-280.0","646.0","-339.0","677.0","-1,388.0","-248.0","-1,578.0","-551.0","-550.0","-340.0","-1,056.0","273.0","-1,953.0","1,288.0","1,502.0","751.0","1,306.0","-26.0","3,352.0","19,158.0","6,778.0","6,213.0","28,372.0","16,513.0","15,536.0","2,235.0","15,013.0","36,853.0","-4,378.0","11,486.0","4,110.0","-5,694.0","-6,712.0","-4,571.0","-5,766.0","-5,767.0","1,167.0","-5,079.0","4,229.0","-2,299.0","-3,432.0","-5,392.0","-4,563.0","-1,371.0","-2,718.0","-2,563.0","-1,436.0","-1,069.0","-1,910.0","-3,721.0","-2,648.0","-1,539.0","-729.0","-799.0","-529.0","-1,056.0","-1,697.0","-211.0","-689.0","-610.0","-120.0","-1,591.0","-281.0","-82.0","-375.0","-428.0","-232.0","221.0","682.0","795.0","-16.0","-733.0","-334.0","1,325.0","-375.0","319.0","60.0","-4.0","94.0","70.0","48.0","822.0","83.0","-492.0","514.0","314.0","518.0","-194.0","177.0","118.0","724.0","-206.0","1,252.0","419.0","1,783.0","19,000.0","7,595.0","7,144.0","7,208.0","12,953.0","6,731.0","3,007.0","19,258.0","226.0","-2,174.0"
"54","33","          Net purchases of foreign currency","M318341","36.0","181.0","59.0","59.0","101.0","86.0","38.0","64.0","40.0","64.0","26.0","36.0","41.0","35.0","2.0","1.0","3.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55","34","          Other","M318351","-19.0","-98.0","-30.0","-122.0","-62.0","-61.0","-3.0","-131.0","-114.0","-3.0","-74.0","7.0","59.0","99.0","-146.0","36.0","-2.0","88.0","-33.0","34.0","-38.0","53.0","-63.0","19.0","-136.0","-90.0","6.0","81.0","-23.0","-5.0","25.0","2.0","-115.0","-109.0","-94.0","-40.0","-151.0","-148.0","-305.0","-128.0","145.0","7.0","-174.0","-31.0","-300.0","60.0","-210.0","-29.0","17.0","390.0","-3.0","183.0","101.0","377.0","42.0","96.0","1,781.0","-2,173.0","-5,138.0","-1,021.0","-1,842.0","-910.0","-367.0","3,527.0","425.0","-1,760.0","731.0","8,192.0","809.0","-2,923.0","-716.0","5,032.0","2,376.0","-5,035.0","1,133.0","116.0","1,467.0","1,625.0","7,031.0","-3,016.0","-3,821.0","-2,311.0","-3,453.0","-390.0","-2,035.0","-2,370.0","-2,701.0","-1,287.0","-415.0","-224.0","-490.0","-428.0","-158.0","159.0","-106.0","1,362.0","1,771.0","-1,438.0","-5,519.0","3,071.0","-1,057.0","-1,884.0","-2,642.0","4,790.0","-2,491.0","-3,528.0","-4,996.0","2,653.0","-3,872.0","-3,674.0","88.0","3,018.0","-1,383.0","-4,462.0","-753.0","5,149.0","-1,530.0","-4,015.0","-1,704.0","6,573.0","-1,728.0","-7,578.0","-7,290.0","9,932.0","-2,128.0","-6,058.0","423.0","2,877.0","-2,490.0","-6,591.0","-2,236.0","6,960.0","-1,896.0","-6,189.0","-5,465.0","5,096.0","-454.0","-8,312.0","-2,839.0","4,473.0","-4,349.0","-3,562.0","-4,630.0","7,816.0","-4,533.0","-4,214.0","-6,332.0","11,304.0","-4,232.0","-4,739.0","-10,472.0","7,297.0","-1,869.0","-7,351.0","-5,581.0","8,662.0","676.0","-2,987.0","-717.0","-11,634.0","35,444.0","102,879.0","34,931.0","-102,109.0","53,298.0","-46,097.0","-38,934.0","-36,389.0"
"56","35","        Net purchases of nonproduced assets","M318361","12.0","46.0","32.0","21.0","-22.0","-78.0","-29.0","-133.0","-582.0","48.0","60.0","42.0","66.0","64.0","-90.0","-747.0","-1,306.0","-286.0","-1,198.0","-405.0","-937.0","-3,481.0","58.0","-1,298.0","-189.0","-148.0","-58.0","-19.0","-204.0","-743.0","-1,078.0","-339.0","40.0","-230.0","-862.0","-352.0","26.0","-792.0","268.0","-121.0","-630.0","-57.0","-676.0","-1,460.0","-650.0","196.0","-466.0","-3,114.0","62.0","-1,319.0","-3,254.0","-973.0","-865.0","-241.0","-109.0","-2,415.0","25.0","-3,646.0","-1,283.0","5.0","-692.0","-1,546.0","-1,065.0","-601.0","60.0","-34.0","-1,116.0","-58.0","5.0","-1,847.0","8.0","-1,147.0","8.0","-37.0","-195.0","-174.0","55.0","617.0","-585.0","-203.0","40.0","-376.0","-170.0","-188.0","-97.0","-328.0","-348.0","39.0","50.0","50.0","47.0","50.0","63.0","64.0","57.0","55.0","68.0","51.0","38.0","52.0","9.0","-215.0","372.0","-4.0","90.0","-572.0","-6,888.0","-19.0","-192.0","-7.0","113.0","-3,695.0","-186.0","-6,710.0","-368.0","-333.0","-908.0","-2,800.0","-1,287.0","-801.0","-145.0","-203.0","41.0","-68.0","34.0","-280.0","120.0","-114.0","-970.0","-318.0","586.0","38.0","71.0","1.0","156.0","62.0","-695.0","-179.0","862.0","-163.0","11.0","-186.0","448.0","-247.0","72.0","-148.0","-411.0","8.0","56.0","-579.0","200.0","-13,026.0","-331.0","-1,081.0","547.0","-434.0","-1,933.0","-5,979.0","-1,658.0","-9,614.0","-6,740.0","-663.0","446.0","-118.0","-48.0","-190.0","457.0","30.0"
"57","36","          Outer Continental Shelf","M318371","-44.0","-12.0","0.0","-13.0","-53.0","-109.0","-66.0","-172.0","-640.0","-6.0","1.0","-21.0","-1.0","-1.0","-112.0","-767.0","-1,336.0","-314.0","-1,276.0","-483.0","-1,013.0","-3,557.0","-29.0","-1,385.0","-276.0","-231.0","-162.0","-103.0","-260.0","-794.0","-1,128.0","-379.0","1.0","-271.0","-902.0","-397.0","-21.0","-836.0","22.0","-265.0","-723.0","-150.0","-770.0","-1,562.0","-757.0","90.0","-561.0","-3,148.0","-4.0","-1,377.0","-3,302.0","-1,023.0","-920.0","-283.0","-146.0","-2,464.0","-18.0","-3,685.0","-1,340.0","-9.0","-721.0","-1,575.0","-1,109.0","-678.0","-5.0","-84.0","-1,176.0","-105.0","-38.0","-1,895.0","-45.0","-1,195.0","-50.0","-81.0","-246.0","-223.0","4.0","-431.0","-642.0","-241.0","-13.0","-409.0","-204.0","-230.0","-127.0","-368.0","-379.0","0.0","-1.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","-1.0","1.0","0.0","-1.0","-50.0","-266.0","320.0","-67.0","-3.0","-20.0","90.0","-70.0","-53.0","-63.0","186.0","-140.0","-236.0","-144.0","308.0","-238.0","-395.0","-372.0","552.0","-563.0","-158.0","-103.0","782.0","-116.0","-9.0","-321.0","225.0","-166.0","-10.0","-367.0","543.0","-31.0","0.0","-68.0","99.0","-24.0","-734.0","-290.0","805.0","-169.0","-37.0","-200.0","406.0","-195.0","-17.0","-189.0","401.0","-31.0","-9.0","-523.0","494.0","-359.0","-8.0","-34.0","401.0","-493.0","-2,027.0","-4,265.0","-1,740.0","-267.0","-265.0","-23.0","335.0","-136.0","-20.0","-254.0","388.0","-36.0"
"58","37","          Land and other \9\","M318381","56.0","58.0","32.0","34.0","31.0","31.0","37.0","39.0","58.0","54.0","59.0","63.0","67.0","65.0","22.0","20.0","30.0","28.0","78.0","78.0","76.0","76.0","87.0","87.0","87.0","83.0","104.0","84.0","56.0","51.0","50.0","40.0","39.0","41.0","40.0","45.0","47.0","44.0","246.0","144.0","93.0","93.0","94.0","102.0","107.0","106.0","95.0","34.0","66.0","58.0","48.0","50.0","55.0","42.0","37.0","49.0","43.0","39.0","57.0","14.0","29.0","29.0","44.0","77.0","65.0","50.0","60.0","47.0","43.0","48.0","53.0","48.0","58.0","44.0","51.0","49.0","51.0","1,048.0","57.0","38.0","53.0","33.0","34.0","42.0","30.0","40.0","31.0","39.0","51.0","50.0","47.0","50.0","64.0","64.0","57.0","55.0","69.0","50.0","38.0","53.0","59.0","51.0","52.0","63.0","93.0","-552.0","-6,978.0","51.0","-139.0","56.0","-73.0","-3,555.0","50.0","-6,566.0","-676.0","-95.0","-513.0","-2,428.0","-1,839.0","-238.0","13.0","-100.0","-741.0","48.0","43.0","41.0","-105.0","52.0","-960.0","49.0","43.0","69.0","71.0","69.0","57.0","86.0","39.0","111.0","57.0","6.0","48.0","14.0","42.0","-52.0","89.0","41.0","-812.0","39.0","65.0","-56.0","-294.0","-12,667.0","-323.0","-1,047.0","146.0","59.0","94.0","-1,714.0","82.0","-9,347.0","-6,475.0","-640.0","111.0","18.0","-28.0","64.0","69.0","66.0"
"59","38","        Other \10\","M318391","611.0","-1,121.0","-150.0","19.0","248.0","-22.0","-130.0","-127.0","-28.0","-45.0","-39.0","-127.0","-2.0","167.0","-473.0","30.0","-234.0","611.0","-306.0","-92.0","-51.0","-448.0","-182.0","130.0","-5.0","67.0","-18.0","33.0","305.0","-214.0","71.0","52.0","101.0","91.0","23.0","-86.0","144.0","32.0","87.0","173.0","182.0","206.0","186.0","163.0","131.0","63.0","237.0","225.0","-61.0","42.0","-30.0","139.0","-135.0","-102.0","-79.0","-21.0","157.0","147.0","153.0","132.0","175.0","174.0","184.0","123.0","169.0","136.0","173.0","154.0","127.0","91.0","186.0","136.0","148.0","158.0","162.0","104.0","156.0","87.0","141.0","239.0","261.0","254.0","278.0","386.0","253.0","102.0","158.0","512.0","-19.0","-15.0","10.0","-27.0","-28.0","-67.0","-1.0","16.0","54.0","66.0","112.0","148.0","110.0","89.0","135.0","164.0","108.0","67.0","110.0","136.0","102.0","79.0","121.0","148.0","82.0","81.0","121.0","148.0","102.0","76.0","114.0","138.0","95.0","111.0","146.0","185.0","150.0","141.0","218.0","173.0","116.0","112.0","182.0","193.0","105.0","139.0","194.0","177.0","111.0","122.0","169.0","144.0","127.0","127.0","167.0","172.0","129.0","180.0","223.0","172.0","171.0","114.0","199.0","131.0","226.0","114.0","261.0","153.0","152.0","151.0","180.0","237.0","156.0","160.0","223.0","185.0","152.0","148.0","186.0","161.0"
"60","39","Less: Netting and grossing differences","M318401","-1,382.0","-948.0","-869.0","-1,281.0","-1,258.0","-1,074.0","-683.0","-1,187.0","-1,062.0","-1,078.0","-815.0","-1,617.0","-1,314.0","-1,516.0","-1,118.0","-1,344.0","-1,531.0","-1,439.0","-1,003.0","-967.0","-1,559.0","-937.0","-1,503.0","-1,529.0","-1,186.0","-928.0","-1,598.0","-1,741.0","-2,288.0","-858.0","-2,436.0","-2,418.0","-3,005.0","-2,719.0","-599.0","-2,568.0","-2,540.0","-2,856.0","-1,046.0","-3,753.0","-3,744.0","-3,611.0","-1,086.0","-4,268.0","-4,073.0","-3,971.0","-920.0","-5,061.0","-5,471.0","-5,558.0","-1,777.0","-8,335.0","-8,278.0","-8,288.0","-3,628.0","-8,608.0","-8,659.0","-8,903.0","-4,154.0","-9,424.0","-10,173.0","-10,180.0","-5,326.0","-10,735.0","-10,537.0","-12,549.0","-6,942.0","-12,164.0","-12,495.0","-12,265.0","-7,423.0","-12,168.0","-11,566.0","-11,220.0","-6,645.0","-11,933.0","-13,290.0","-13,192.0","-6,393.0","-12,395.0","-13,719.0","-13,490.0","-9,479.0","-12,672.0","-12,729.0","-13,017.0","-7,311.0","-16,182.0","-15,919.0","-15,787.0","-9,099.0","-15,345.0","-16,407.0","-16,143.0","-8,981.0","-18,349.0","-15,875.0","-16,664.0","-13,095.0","-16,586.0","-16,990.0","-16,521.0","-12,703.0","-15,877.0","-16,902.0","-16,435.0","-12,951.0","-15,195.0","-17,031.0","-16,585.0","-14,424.0","-20,583.0","-17,546.0","-16,925.0","-14,441.0","-16,875.0","-17,511.0","-16,957.0","-14,653.0","-17,898.0","-15,997.0","-17,198.0","-15,098.0","-17,560.0","-19,145.0","-18,789.0","-16,118.0","-16,824.0","-18,962.0","-18,507.0","-15,453.0","-19,080.0","-18,981.0","-21,046.0","-20,054.0","-20,204.0","-22,056.0","-23,282.0","-21,680.0","-21,486.0","-24,105.0","-24,395.0","-21,545.0","-22,643.0","-25,108.0","-25,818.0","-24,044.0","-25,021.0","-29,508.0","-29,915.0","-26,420.0","-27,885.0","-32,578.0","-32,334.0","-29,019.0","-32,258.0","-34,879.0","-35,238.0","-34,737.0","-37,471.0","-41,772.0","-42,909.0","-46,001.0","-93,802.0","-40,003.0","-43,852.0","-42,967.0","-41,732.0"
"61","40","        Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,202.0","-675.0","-947.0","-1,032.0","-1,068.0","-1,054.0","-1,071.0","-1,061.0","-1,077.0","-1,286.0","-1,301.0","-1,279.0","-1,335.0","-1,425.0","-1,377.0","-1,426.0","-1,427.0","-1,442.0","-1,426.0","-1,444.0","-1,454.0","-1,678.0","-1,689.0","-1,699.0","-2,380.0","-1,682.0","-2,364.0","-2,371.0","-2,384.0","-3,043.0","-3,070.0","-3,093.0","-3,113.0","-2,822.0","-2,816.0","-2,859.0","-2,949.0","-3,063.0","-3,073.0","-3,095.0","-3,142.0","-3,332.0","-3,353.0","-3,415.0","-4,508.0","-2,836.0","-3,987.0","-3,977.0","-4,071.0","-4,534.0","-4,555.0","-4,590.0","-4,615.0","-5,191.0","-5,162.0","-5,273.0","-5,043.0","-5,138.0","-4,898.0","-4,961.0","-4,967.0","-5,152.0","-5,119.0","-5,183.0","-5,155.0","-5,200.0","-5,190.0","-5,202.0","-6,657.0","-4,059.0","-5,402.0","-5,443.0","-5,510.0","-5,447.0","-5,457.0","-5,493.0","-5,540.0","-6,060.0","-6,019.0","-6,134.0","-6,108.0","-6,643.0","-6,585.0","-6,616.0","-6,709.0","-7,177.0","-7,213.0","-7,333.0","-7,266.0","-8,229.0","-8,234.0","-8,411.0","-8,455.0","-9,855.0","-9,888.0","-10,045.0","-10,161.0","-11,544.0","-11,540.0","-11,843.0","-11,784.0","-12,865.0","-12,618.0","-12,931.0","-12,938.0","-13,788.0","-13,589.0","-13,864.0","-13,887.0","-14,175.0","-14,341.0","-14,552.0","-18,507.0","-11,394.0","-15,264.0","-15,488.0","-15,500.0"
"62","41","        Interest receipts","W706MC1","-514.0","-574.0","-554.0","-688.0","-595.0","-659.0","-614.0","-741.0","-586.0","-718.0","-682.0","-883.0","-675.0","-725.0","-711.0","-859.0","-742.0","-786.0","-673.0","-804.0","-710.0","-775.0","-773.0","-896.0","-769.0","-869.0","-936.0","-1,068.0","-1,046.0","-1,033.0","-1,100.0","-1,108.0","-1,102.0","-1,273.0","-1,262.0","-1,312.0","-1,295.0","-1,553.0","-1,563.0","-1,786.0","-1,709.0","-1,755.0","-1,881.0","-2,109.0","-1,924.0","-2,076.0","-2,329.0","-2,657.0","-2,613.0","-2,717.0","-3,056.0","-3,473.0","-3,580.0","-3,592.0","-3,773.0","-3,772.0","-3,806.0","-3,797.0","-3,927.0","-4,046.0","-4,030.0","-4,305.0","-4,180.0","-4,115.0","-4,190.0","-4,410.0","-4,932.0","-5,330.0","-5,616.0","-5,497.0","-5,888.0","-4,800.0","-4,346.0","-4,159.0","-3,976.0","-3,832.0","-5,847.0","-4,450.0","-4,286.0","-4,422.0","-3,960.0","-3,886.0","-4,459.0","-4,047.0","-4,182.0","-4,037.0","-4,112.0","-6,904.0","-5,488.0","-4,902.0","-5,038.0","-4,533.0","-4,427.0","-4,322.0","-4,161.0","-4,184.0","-3,659.0","-3,636.0","-3,601.0","-3,497.0","-2,856.0","-2,690.0","-2,585.0","-2,841.0","-2,934.0","-3,099.0","-2,817.0","-2,991.0","-3,646.0","-3,576.0","-3,736.0","-3,144.0","-2,888.0","-3,040.0","-3,064.0","-3,322.0","-2,590.0","-2,827.0","-2,943.0","-3,129.0","-3,065.0","-3,106.0","-3,065.0","-3,035.0","-3,706.0","-3,667.0","-3,197.0","-2,897.0","-2,828.0","-2,762.0","-2,931.0","-3,401.0","-2,605.0","-2,615.0","-2,816.0","-2,897.0","-2,665.0","-2,964.0","-2,880.0","-2,688.0","-2,460.0","-2,286.0","-2,255.0","-2,222.0","-2,289.0","-2,301.0","-2,226.0","-2,359.0","-2,805.0","-2,697.0","-2,522.0","-2,193.0","-3,056.0","-3,049.0","-3,075.0","-3,264.0","-2,777.0","-2,961.0","-3,495.0","-3,809.0","-7,324.0","-9,977.0","-9,798.0","-10,595.0","-9,726.0","-9,786.0","-10,074.0","-9,805.0"
"63","42","        Current surplus of government enterprises","W707MC1","118.0","129.0","221.0","-19.0","242.0","529.0","498.0","243.0","467.0","437.0","636.0","65.0","208.0","367.0","367.0","151.0","294.0","564.0","442.0","535.0","395.0","842.0","233.0","334.0","724.0","1,726.0","602.0","586.0","217.0","1,699.0","171.0","74.0","207.0","348.0","2,243.0","203.0","395.0","262.0","2,153.0","-345.0","-111.0","7.0","2,754.0","-88.0","67.0","200.0","3,598.0","11.0","134.0","-108.0","3,865.0","-718.0","-551.0","-310.0","4,303.0","-563.0","-351.0","-385.0","4,254.0","-565.0","-278.0","-269.0","4,404.0","-440.0","-319.0","-513.0","4,492.0","-1,052.0","-815.0","-847.0","4,553.0","-993.0","-433.0","-280.0","4,245.0","-575.0","-735.0","-992.0","4,865.0","-869.0","-834.0","-943.0","3,717.0","-191.0","117.0","-167.0","5,354.0","-9.0","-1,249.0","-1,556.0","5,677.0","-1,260.0","-1,596.0","-1,693.0","5,671.0","-2,339.0","-755.0","-733.0","3,293.0","-542.0","-574.0","-619.0","3,338.0","-1,205.0","-1,038.0","-989.0","3,088.0","-720.0","-587.0","-613.0","3,336.0","-928.0","-985.0","-1,030.0","3,307.0","-1,199.0","-1,277.0","-1,305.0","3,121.0","-1,374.0","-1,275.0","-1,302.0","2,786.0","-1,000.0","-1,015.0","-993.0","3,039.0","190.0","249.0","292.0","4,169.0","-723.0","-706.0","-703.0","3,027.0","-1,823.0","-1,827.0","-1,829.0","1,481.0","-1,500.0","-1,495.0","-1,394.0","2,718.0","-117.0","-83.0","-68.0","3,967.0","-269.0","-341.0","-308.0","4,255.0","-724.0","-717.0","-694.0","4,432.0","-297.0","-341.0","-318.0","4,467.0","-157.0","-128.0","-115.0","4,367.0","298.0","50.0","89.0","4,425.0","259.0"
