"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"97","79","      Sports and recreational vehicles","DWHLRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","842.0","766.0","697.0","783.0","907.0","1,150.0","1,371.0","1,721.0","1,945.0","2,631.0","3,258.0","3,472.0","4,178.0","5,479.0","6,409.0","6,199.0","7,451.0","8,578.0","9,983.0","10,845.0","11,706.0","9,826.0","10,424.0","10,346.0","10,748.0","13,759.0","14,622.0","15,714.0","16,434.0","17,024.0","17,310.0","16,617.0","15,963.0","15,864.0","17,979.0","20,379.0","22,491.0","24,076.0","26,034.0","28,655.0","31,824.0","34,917.0","35,377.0","36,547.0","40,639.0","45,012.0","47,741.0","49,660.0","51,104.0","48,979.0"
"98","80","      Other sporting and recreational goods","DORIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,596.0","3,837.0","4,086.0","4,413.0","4,751.0","5,170.0","5,742.0","6,705.0","7,179.0","7,898.0","8,313.0","8,434.0","8,715.0","9,917.0","10,881.0","12,127.0","13,633.0","15,762.0","16,936.0","19,318.0","21,460.0","23,224.0","25,513.0","26,796.0","28,564.0","31,888.0","33,904.0","36,668.0","41,841.0","46,310.0","51,527.0","55,428.0","58,436.0","62,804.0","67,234.0","72,970.0","77,016.0","81,258.0","84,779.0","91,482.0","99,712.0","108,714.0","113,312.0","118,003.0","121,541.0","128,142.0","135,249.0","144,160.0","152,095.0","156,938.0"
"99","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","50.0","43.0","47.0","54.0","65.0","72.0","91.0","109.0","128.0","157.0","152.0","173.0","245.0","254.0","222.0","262.0","306.0","363.0","441.0","646.0","589.0","705.0","766.0","802.0","1,119.0","1,110.0","1,293.0","1,538.0","1,732.0","2,024.0","2,125.0","2,104.0","1,953.0","2,100.0","2,111.0","2,425.0","2,424.0","2,601.0","3,107.0","3,631.0","4,227.0","4,616.0","4,965.0","5,072.0","5,140.0","5,410.0","5,821.0","6,088.0","5,549.0"
"100","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1","1,314.0","1,287.0","1,209.0","922.0","836.0","905.0","966.0","1,086.0","1,189.0","1,150.0","1,172.0","1,274.0","1,388.0","1,613.0","1,881.0","2,032.0","2,249.0","2,735.0","2,729.0","2,692.0","2,660.0","2,601.0","2,628.0","2,661.0","2,722.0","2,886.0","3,121.0","3,337.0","3,190.0","3,199.0","3,476.0","3,799.0","4,073.0","4,333.0","4,566.0","4,808.0","5,048.0","5,443.0","5,711.0","6,346.0","6,926.0","7,575.0","8,091.0","8,628.0","9,364.0","10,775.0","12,106.0","13,211.0","14,961.0","16,623.0","18,282.0","20,149.0","22,611.0","24,641.0","27,214.0","29,383.0","31,994.0","33,921.0","35,799.0","40,016.0","45,305.0","49,733.0","52,106.0","57,425.0","61,233.0","64,206.0","69,535.0","74,607.0","78,995.0","83,320.0","87,287.0","91,929.0","94,315.0","97,513.0","101,854.0","106,542.0","110,555.0","117,843.0","125,094.0","128,307.0"
"101","83","      Membership clubs and participant sports centers","DMDFRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","990.0","1,131.0","1,262.0","1,343.0","1,402.0","1,432.0","1,439.0","1,494.0","1,546.0","1,576.0","1,585.0","1,609.0","1,610.0","1,676.0","1,901.0","2,228.0","2,640.0","3,080.0","3,528.0","3,718.0","4,049.0","4,457.0","4,905.0","5,461.0","6,351.0","7,154.0","8,648.0","9,873.0","11,002.0","12,142.0","13,385.0","14,289.0","14,973.0","16,282.0","16,840.0","17,474.0","18,599.0","20,272.0","24,329.0","24,955.0","25,890.0","26,390.0","26,619.0","27,475.0","28,139.0","29,426.0","30,532.0","31,909.0","33,338.0","33,882.0"
"102","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","795.0","892.0","991.0","1,096.0","1,203.0","1,310.0","1,336.0","1,482.0","1,605.0","1,836.0","2,163.0","2,529.0","2,828.0","3,248.0","3,763.0","4,295.0","4,840.0","5,349.0","6,009.0","6,551.0","7,334.0","8,493.0","9,949.0","10,549.0","11,471.0","11,806.0","12,844.0","12,764.0","13,118.0","14,934.0","17,314.0","19,192.0","20,047.0","23,332.0","24,597.0","25,729.0","28,352.0","29,343.0","28,362.0","29,360.0","29,964.0","31,122.0","31,335.0","30,233.0","31,453.0","33,085.0","34,920.0","37,398.0","40,232.0","41,716.0"
"103","85","      Admissions to specified spectator amusements","DADMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,631.0","1,707.0","1,741.0","1,806.0","1,865.0","1,959.0","2,162.0","2,343.0","2,425.0","2,779.0","2,993.0","3,219.0","3,409.0","3,431.0","3,387.0","3,868.0","4,198.0","4,297.0","4,868.0","5,720.0","6,189.0","6,390.0","6,828.0","7,654.0","8,343.0","9,300.0","9,261.0","9,967.0","10,278.0","11,392.0","12,875.0","14,402.0","15,180.0","15,739.0","17,514.0","18,628.0","20,085.0","22,443.0","23,660.0","26,060.0","28,127.0","30,616.0","32,310.0","35,018.0","37,065.0","38,491.0","39,214.0","42,092.0","44,494.0","45,550.0"
"104","86","        Motion picture theaters","DMOVRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,043.0","1,045.0","1,044.0","1,033.0","1,029.0","1,038.0","1,163.0","1,219.0","1,227.0","1,400.0","1,507.0","1,629.0","1,733.0","1,744.0","1,647.0","2,022.0","2,197.0","2,074.0","2,368.0","2,752.0","2,823.0","2,578.0","2,721.0","3,134.0","3,188.0","3,421.0","3,244.0","3,338.0","3,443.0","3,884.0","4,572.0","5,136.0","5,231.0","4,939.0","5,056.0","5,308.0","5,612.0","6,099.0","6,608.0","7,226.0","7,948.0","8,611.0","8,993.0","9,597.0","9,883.0","9,867.0","9,083.0","9,413.0","9,619.0","9,546.0"
"105","87","        Live entertainment, excluding sports","DLIGRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","277.0","298.0","285.0","304.0","309.0","334.0","339.0","380.0","418.0","420.0","433.0","454.0","454.0","489.0","533.0","597.0","668.0","800.0","918.0","1,126.0","1,296.0","1,520.0","1,746.0","1,828.0","2,093.0","2,407.0","2,738.0","3,346.0","3,470.0","3,770.0","3,799.0","4,458.0","4,656.0","5,167.0","6,102.0","6,530.0","7,040.0","7,494.0","7,851.0","8,742.0","9,504.0","10,364.0","11,104.0","11,880.0","12,692.0","13,158.0","13,786.0","14,913.0","15,342.0","15,529.0"
"106","88","        Spectator sports","DSPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","311.0","364.0","412.0","469.0","527.0","587.0","660.0","744.0","780.0","959.0","1,053.0","1,136.0","1,222.0","1,198.0","1,207.0","1,249.0","1,333.0","1,423.0","1,582.0","1,842.0","2,070.0","2,292.0","2,361.0","2,692.0","3,062.0","3,472.0","3,279.0","3,283.0","3,365.0","3,738.0","4,504.0","4,808.0","5,293.0","5,633.0","6,357.0","6,790.0","7,433.0","8,851.0","9,202.0","10,092.0","10,675.0","11,642.0","12,213.0","13,541.0","14,490.0","15,467.0","16,345.0","17,766.0","19,533.0","20,476.0"
"107","89","      Museums and libraries","DMUSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","69.0","79.0","88.0","96.0","107.0","111.0","124.0","135.0","155.0","185.0","218.0","244.0","273.0","313.0","384.0","428.0","485.0","556.0","634.0","710.0","809.0","929.0","977.0","1,049.0","1,123.0","1,241.0","1,317.0","1,401.0","1,548.0","1,731.0","1,850.0","1,906.0","2,072.0","2,281.0","2,375.0","2,499.0","2,548.0","2,643.0","2,945.0","3,306.0","3,800.0","4,051.0","4,787.0","5,197.0","5,539.0","5,889.0","6,444.0","7,030.0","7,158.0"
"108","90","    Magazines, newspapers, books, and stationery","DNBSRC1","963.0","885.0","804.0","635.0","620.0","672.0","719.0","787.0","863.0","839.0","903.0","961.0","1,071.0","1,183.0","1,428.0","1,597.0","1,811.0","2,069.0","2,217.0","2,398.0","2,517.0","2,631.0","2,861.0","3,042.0","3,231.0","3,295.0","3,461.0","3,606.0","3,794.0","3,965.0","4,207.0","4,357.0","4,275.0","4,725.0","5,094.0","5,423.0","5,743.0","6,712.0","6,853.0","7,356.0","8,153.0","9,081.0","9,278.0","9,862.0","10,699.0","11,560.0","12,525.0","13,406.0","14,867.0","17,693.0","20,576.0","22,840.0","25,177.0","26,888.0","28,886.0","31,574.0","32,717.0","34,341.0","37,555.0","41,228.0","44,109.0","47,345.0","48,832.0","50,281.0","53,658.0","58,417.0","62,467.0","66,308.0","69,897.0","72,772.0","77,002.0","80,990.0","79,791.0","80,704.0","83,462.0","88,282.0","93,074.0","98,246.0","103,440.0","105,599.0"
"109","91","    Gambling","DGAMRC1","36.0","35.0","30.0","22.0","22.0","37.0","45.0","51.0","64.0","66.0","66.0","82.0","94.0","98.0","108.0","164.0","192.0","293.0","310.0","315.0","305.0","300.0","320.0","395.0","445.0","444.0","465.0","508.0","543.0","575.0","643.0","700.0","750.0","858.0","930.0","1,045.0","1,102.0","1,176.0","1,268.0","1,379.0","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","80,930.0","89,785.0","95,637.0","103,865.0","109,600.0","113,651.0"
"110","92","    Pets, pet products, and related services","DPETRC1","166.0","153.0","126.0","97.0","97.0","109.0","120.0","136.0","150.0","142.0","144.0","152.0","172.0","198.0","218.0","233.0","253.0","316.0","367.0","392.0","385.0","399.0","446.0","474.0","498.0","522.0","554.0","589.0","632.0","669.0","723.0","838.0","906.0","960.0","1,045.0","1,318.0","1,507.0","1,724.0","1,846.0","2,132.0","2,361.0","2,711.0","2,956.0","3,130.0","3,737.0","4,366.0","4,772.0","5,506.0","6,132.0","6,491.0","7,200.0","8,393.0","9,693.0","10,309.0","11,334.0","12,158.0","13,484.0","13,681.0","14,788.0","15,960.0","17,242.0","18,813.0","19,623.0","20,595.0","22,482.0","24,935.0","27,333.0","30,025.0","32,489.0","34,532.0","37,025.0","39,650.0","41,851.0","44,639.0","46,778.0","49,813.0","53,131.0","56,946.0","61,576.0","65,093.0"
"111","93","    Photographic goods and services","DPHORC1","175.0","155.0","140.0","109.0","99.0","115.0","129.0","152.0","179.0","169.0","178.0","191.0","221.0","238.0","240.0","272.0","309.0","440.0","494.0","530.0","525.0","574.0","638.0","683.0","734.0","763.0","864.0","952.0","1,028.0","1,090.0","1,199.0","1,240.0","1,269.0","1,344.0","1,515.0","1,691.0","1,889.0","2,151.0","2,372.0","2,748.0","3,088.0","3,314.0","3,663.0","4,176.0","4,904.0","5,374.0","5,748.0","6,654.0","6,821.0","7,503.0","8,353.0","9,068.0","9,539.0","9,940.0","11,159.0","12,181.0","12,906.0","13,995.0","15,172.0","16,087.0","16,682.0","16,701.0","16,619.0","16,841.0","17,536.0","17,995.0","18,649.0","18,836.0","18,567.0","19,162.0","19,548.0","19,721.0","19,258.0","18,999.0","19,264.0","19,108.0","18,720.0","18,180.0","18,912.0","19,005.0"
"112","94","    Package tours \14\","DXHLRC1","54.0","36.0","29.0","32.0","23.0","28.0","27.0","31.0","31.0","26.0","27.0","25.0","28.0","21.0","25.0","25.0","30.0","28.0","28.0","28.0","25.0","23.0","23.0","23.0","24.0","23.0","24.0","26.0","26.0","26.0","28.0","28.0","32.0","36.0","36.0","39.0","44.0","59.0","87.0","104.0","127.0","147.0","164.0","197.0","241.0","288.0","313.0","379.0","456.0","512.0","627.0","737.0","825.0","950.0","1,065.0","1,137.0","1,395.0","1,497.0","1,669.0","2,167.0","2,627.0","3,225.0","3,365.0","3,905.0","4,262.0","4,805.0","5,176.0","5,672.0","5,709.0","6,386.0","7,301.0","7,787.0","7,438.0","7,388.0","7,554.0","8,037.0","8,450.0","8,293.0","8,802.0","8,632.0"
"113","95","  Education","DEDURC1","618.0","630.0","623.0","520.0","447.0","453.0","470.0","504.0","556.0","567.0","575.0","589.0","637.0","725.0","837.0","872.0","897.0","985.0","1,154.0","1,300.0","1,407.0","1,499.0","1,632.0","1,728.0","1,843.0","1,947.0","2,136.0","2,370.0","2,618.0","2,863.0","3,107.0","3,361.0","3,608.0","3,952.0","4,347.0","4,827.0","5,465.0","6,212.0","6,877.0","7,720.0","8,652.0","9,913.0","10,853.0","11,748.0","13,004.0","14,202.0","15,886.0","17,433.0","18,809.0","20,877.0","22,869.0","25,444.0","28,258.0","30,968.0","34,349.0","37,699.0","41,171.0","44,485.0","48,789.0","54,435.0","60,571.0","65,957.0","70,561.0","76,442.0","81,087.0","86,364.0","92,304.0","99,626.0","107,120.0","115,245.0","123,931.0","134,290.0","143,615.0","149,528.0","159,684.0","169,412.0","180,657.0","192,659.0","206,783.0","220,783.0"
"114","96","    Educational books","DEBKRC1","78.0","67.0","64.0","39.0","38.0","42.0","46.0","52.0","61.0","56.0","57.0","59.0","64.0","73.0","92.0","114.0","131.0","149.0","134.0","147.0","158.0","170.0","196.0","199.0","210.0","204.0","219.0","241.0","249.0","259.0","275.0","288.0","306.0","325.0","357.0","407.0","417.0","466.0","468.0","509.0","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","10,148.0","10,367.0","10,235.0","10,222.0","10,423.0","10,306.0"
"115","97","    Higher education","DHEDRC1","235.0","259.0","266.0","238.0","213.0","220.0","228.0","238.0","247.0","252.0","259.0","269.0","277.0","297.0","330.0","354.0","362.0","418.0","537.0","599.0","652.0","679.0","713.0","746.0","788.0","840.0","919.0","1,020.0","1,142.0","1,262.0","1,374.0","1,495.0","1,639.0","1,811.0","2,004.0","2,297.0","2,727.0","3,124.0","3,466.0","3,931.0","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,350.0","101,217.0","108,837.0","116,594.0","124,967.0","134,976.0"
"116","98","    Nursery, elementary, and secondary schools","DNEHRC1","125.0","132.0","147.0","125.0","97.0","96.0","96.0","110.0","135.0","150.0","153.0","157.0","165.0","177.0","191.0","212.0","239.0","220.0","265.0","311.0","332.0","362.0","406.0","443.0","482.0","523.0","575.0","640.0","717.0","794.0","886.0","989.0","1,118.0","1,242.0","1,352.0","1,449.0","1,565.0","1,693.0","1,820.0","1,993.0","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","28,348.0","30,049.0","31,782.0","33,819.0","36,644.0","38,468.0"
"117","99","    Commercial and vocational schools \15\","DVEDRC1","180.0","172.0","146.0","118.0","99.0","95.0","100.0","104.0","113.0","109.0","106.0","104.0","131.0","178.0","224.0","192.0","165.0","198.0","218.0","243.0","265.0","288.0","317.0","340.0","363.0","380.0","423.0","469.0","510.0","548.0","572.0","589.0","545.0","574.0","634.0","674.0","756.0","929.0","1,123.0","1,287.0","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,838.0","27,779.0","29,803.0","32,024.0","34,749.0","37,033.0"
"118","100","  Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","462,830.0","492,923.0","525,309.0","559,744.0","587,892.0","608,661.0"
"119","101","    Food services","DFSERC1","3,168.0","3,033.0","2,739.0","2,262.0","1,971.0","2,433.0","2,824.0","3,221.0","3,799.0","3,639.0","3,887.0","4,166.0","5,081.0","6,603.0","8,815.0","10,527.0","12,256.0","12,244.0","11,884.0","12,050.0","11,848.0","12,168.0","14,330.0","15,348.0","15,743.0","15,833.0","16,162.0","16,791.0","17,494.0","17,674.0","18,660.0","19,310.0","19,740.0","20,906.0","21,815.0","23,277.0","25,382.0","27,686.0","28,767.0","32,128.0","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,909.0","273,766.0","280,167.0","287,501.0","299,665.0","315,707.0","331,596.0","354,878.0","368,702.0","384,332.0","405,740.0","429,754.0","455,318.0","484,596.0","507,878.0","525,191.0"
"120","102","      Purchased meals and beverages \16\","DPMBRC1","2,911.0","2,788.0","2,541.0","2,102.0","1,816.0","2,248.0","2,610.0","2,985.0","3,528.0","3,392.0","3,633.0","3,888.0","4,611.0","5,670.0","7,138.0","8,129.0","9,503.0","10,895.0","10,861.0","11,029.0","10,848.0","11,092.0","12,698.0","13,579.0","14,093.0","14,355.0","14,870.0","15,593.0","16,276.0","16,430.0","17,454.0","18,101.0","18,459.0","19,567.0","20,465.0","21,903.0","23,897.0","25,917.0","26,823.0","30,155.0","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,599.0","266,247.0","272,388.0","279,515.0","291,454.0","307,284.0","322,891.0","345,950.0","359,567.0","374,863.0","395,620.0","419,099.0","443,529.0","471,163.0","493,905.0","511,529.0"
"121","103","      Food furnished to employees (including military)","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,469.0","10,120.0","10,655.0","11,789.0","13,433.0","13,973.0","13,662.0"
"122","104","    Accommodations \17\","DACCRC1","254.0","240.0","215.0","177.0","156.0","169.0","182.0","201.0","221.0","225.0","234.0","246.0","266.0","275.0","328.0","361.0","401.0","443.0","581.0","555.0","549.0","570.0","630.0","679.0","732.0","778.0","827.0","896.0","987.0","993.0","1,078.0","1,175.0","1,224.0","1,351.0","1,491.0","1,601.0","1,799.0","1,949.0","2,190.0","2,466.0","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,302.0","49,984.0","55,248.0","52,526.0","53,851.0","57,090.0","63,169.0","69,991.0","75,148.0","80,014.0","83,470.0"
"123","105","  Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,394.0","21,273.0","22,842.0","25,796.0","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","601,753.0","667,481.0","712,619.0","752,375.0","824,223.0","835,632.0"
"124","106","    Financial services","DFNLRC1","1,728.0","1,386.0","1,043.0","790.0","841.0","689.0","802.0","935.0","974.0","853.0","842.0","866.0","885.0","916.0","1,091.0","1,143.0","1,296.0","1,678.0","1,747.0","1,905.0","1,957.0","2,329.0","2,464.0","2,559.0","3,098.0","3,605.0","4,194.0","4,573.0","4,731.0","4,979.0","5,653.0","6,055.0","6,810.0","6,935.0","7,081.0","8,048.0","8,782.0","9,923.0","11,088.0","12,363.0","14,127.0","15,341.0","17,066.0","18,938.0","20,317.0","23,659.0","30,126.0","32,209.0","35,757.0","43,133.0","47,190.0","51,739.0","54,134.0","62,055.0","87,159.0","90,021.0","107,493.0","123,869.0","135,040.0","134,015.0","135,986.0","141,481.0","158,141.0","178,498.0","193,165.0","200,564.0","212,473.0","237,909.0","267,042.0","295,231.0","331,246.0","370,013.0","358,088.0","366,443.0","371,093.0","403,231.0","427,209.0","457,772.0","515,069.0","520,949.0"
"125","107","      Financial services furnished without payment","DIMPRC1","855.0","775.0","614.0","465.0","398.0","379.0","454.0","514.0","559.0","513.0","513.0","557.0","584.0","631.0","683.0","713.0","753.0","1,064.0","1,184.0","1,246.0","1,297.0","1,447.0","1,557.0","1,682.0","2,184.0","2,384.0","2,785.0","3,132.0","3,212.0","3,181.0","3,497.0","3,899.0","4,130.0","4,302.0","4,222.0","4,906.0","5,246.0","5,805.0","6,377.0","7,017.0","9,112.0","10,922.0","11,811.0","13,174.0","15,127.0","18,610.0","24,070.0","25,049.0","28,164.0","34,164.0","36,976.0","38,248.0","38,656.0","42,677.0","62,731.0","64,259.0","76,748.0","85,386.0","92,388.0","93,115.0","89,713.0","92,998.0","103,632.0","116,217.0","120,720.0","126,767.0","130,579.0","143,873.0","159,690.0","170,254.0","182,314.0","195,389.0","195,015.0","198,288.0","193,832.0","212,835.0","220,041.0","224,767.0","254,605.0","271,409.0"
"126","108","      Financial service charges, fees, and commissions","DOFIRC1","873.0","611.0","429.0","325.0","443.0","310.0","348.0","421.0","415.0","340.0","329.0","309.0","301.0","285.0","408.0","430.0","543.0","614.0","563.0","659.0","660.0","882.0","907.0","877.0","914.0","1,221.0","1,409.0","1,441.0","1,519.0","1,798.0","2,156.0","2,156.0","2,680.0","2,633.0","2,859.0","3,142.0","3,536.0","4,118.0","4,711.0","5,346.0","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","177,261.0","190,396.0","207,168.0","233,005.0","260,464.0","249,540.0"
