"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2005) dollars \4\","A067RX1","2,921,985.0","2,951,553.0","3,011,563.0","3,033,545.0","3,048,639.0","3,102,039.0","3,143,978.0","3,133,689.0","3,195,882.0","3,243,872.0","3,258,270.0","3,292,738.0","3,313,494.0","3,344,553.0","3,412,955.0","3,548,815.0","3,589,099.0","3,624,537.0","3,642,751.0","3,687,166.0","3,630,612.0","3,599,481.0","3,610,686.0","3,594,392.0","3,580,332.0","3,747,545.0","3,696,913.0","3,734,322.0","3,789,250.0","3,820,540.0","3,854,911.0","3,882,610.0","3,885,785.0","3,930,030.0","3,988,963.0","4,069,449.0","4,094,518.0","4,141,540.0","4,175,136.0","4,207,872.0","4,253,906.0","4,224,169.0","4,248,346.0","4,282,295.0","4,294,285.0","4,234,171.0","4,277,794.0","4,366,104.0","4,356,099.0","4,356,656.0","4,453,305.0","4,462,319.0","4,467,513.0","4,498,797.0","4,518,470.0","4,534,353.0","4,570,105.0","4,603,373.0","4,672,511.0","4,768,930.0","4,873,196.0","4,957,077.0","5,034,346.0","5,082,173.0","5,069,695.0","5,170,388.0","5,138,423.0","5,191,598.0","5,253,370.0","5,313,033.0","5,340,886.0","5,344,110.0","5,376,884.0","5,318,570.0","5,413,713.0","5,490,589.0","5,559,574.0","5,611,753.0","5,654,954.0","5,705,883.0","5,770,763.0","5,747,081.0","5,784,282.0","5,828,631.0","5,872,477.0","5,911,135.0","5,915,383.0","5,875,537.0","5,893,573.0","5,938,340.0","5,950,912.0","5,989,691.0","6,080,103.0","6,126,692.0","6,157,829.0","6,245,408.0","6,153,779.0","6,249,452.0","6,262,832.0","6,355,117.0","6,329,701.0","6,437,657.0","6,485,036.0","6,571,046.0","6,613,633.0","6,614,158.0","6,663,702.0","6,703,163.0","6,774,587.0","6,847,441.0","6,905,726.0","6,943,563.0","7,005,696.0","7,058,257.0","7,139,116.0","7,238,251.0","7,402,862.0","7,508,627.0","7,587,544.0","7,643,077.0","7,694,853.0","7,712,463.0","7,762,379.0","7,884,127.0","8,049,794.0","8,132,261.0","8,218,563.0","8,230,851.0","8,292,722.0","8,270,046.0","8,480,577.0","8,381,704.0","8,607,644.0","8,655,018.0","8,625,317.0","8,645,739.0","8,677,517.0","8,808,759.0","8,932,083.0","8,983,535.0","9,023,379.0","9,112,602.0","9,173,516.0","9,301,805.0","9,188,532.0","9,253,249.0","9,308,397.0","9,359,302.0","9,534,595.0","9,619,083.0","9,665,318.0","9,791,993.0","9,836,286.0","9,850,970.0","9,889,718.0","9,944,118.0","10,087,401.0","10,288,451.0","10,053,715.0","10,047,928.0","9,950,959.0","9,957,278.0","9,819,577.0","9,805,413.0","9,922,524.0","10,057,772.0","10,114,384.0","10,151,979.0","10,183,243.0","10,208,086.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","3,211","3,277","3,376","3,430","3,478","3,567","3,638","3,661","3,757","3,846","3,889","3,942","3,999","4,050","4,159","4,348","4,442","4,562","4,657","4,799","4,856","4,940","5,076","5,168","5,233","5,532","5,543","5,678","5,813","5,898","6,026","6,149","6,250","6,414","6,590","6,800","6,939","7,145","7,309","7,483","7,688","7,822","8,037","8,272","8,519","8,582","8,846","9,227","9,414","9,551","9,896","10,041","10,158","10,304","10,484","10,612","10,766","10,921","11,204","11,485","11,840","12,136","12,391","12,556","12,636","12,955","12,923","13,128","13,353","13,485","13,622","13,698","13,937","13,879","14,238","14,529","14,807","15,079","15,342","15,591","15,927","16,035","16,182","16,391","16,727","16,966","17,135","17,184","17,294","17,474","17,582","17,775","18,131","18,335","18,481","18,794","18,553","18,891","18,933","19,255","19,202","19,576","19,817","20,114","20,299","20,362","20,534","20,682","20,972","21,275","21,485","21,683","21,932","22,092","22,335","22,656","23,123","23,443","23,695","23,870","24,046","24,173","24,379","24,823","25,506","25,817","26,170","26,282","26,602","26,591","27,200","26,827","27,552","27,856","27,829","27,957","28,201","28,585","29,099","29,330","29,646","30,093","30,405","31,001","30,740","31,080","31,538","31,909","32,572","33,031","33,341","33,680","34,081","34,344","34,579","35,042","35,810","36,854","36,311","35,690","35,127","35,245","34,935","35,044","35,557","36,001","36,208","36,436","36,834","37,152"
"61","39","      Chained (2005) dollars","A229RX0","14,468","14,581","14,836","14,901","14,938","15,153","15,305","15,202","15,457","15,644","15,665","15,782","15,843","15,954","16,238","16,840","16,994","17,124","17,167","17,334","17,034","16,851","16,861","16,741","16,642","17,378","17,092","17,221","17,437","17,543","17,656","17,736","17,709","17,867","18,085","18,397","18,467","18,632","18,728","18,820","18,978","18,796","18,847","18,938","18,938","18,621","18,756","19,092","19,009","18,969","19,337","19,326","19,307","19,399","19,434","19,455","19,568","19,670","19,917","20,280","20,684","20,997","21,273","21,423","21,331","21,708","21,519","21,687","21,902","22,104","22,165","22,125","22,218","21,930","22,268","22,528","22,766","22,932","23,048","23,198","23,415","23,266","23,352","23,467","23,590","23,672","23,605","23,364","23,363","23,466","23,432","23,504","23,789","23,891","23,924","24,181","23,756","24,052","24,022","24,298","24,136","24,476","24,577","24,827","24,921","24,852","24,958","25,029","25,232","25,431","25,565","25,623","25,784","25,903","26,113","26,393","26,924","27,234","27,435","27,553","27,669","27,657","27,747","28,098","28,616","28,837","29,062","29,026","29,174","29,024","29,683","29,261","29,982","30,079","29,898","29,895","29,942","30,326","30,674","30,776","30,852","31,089","31,219","31,577","31,127","31,279","31,386","31,479","32,000","32,211","32,281","32,617","32,688","32,661","32,703","32,801","33,203","33,794","32,944","32,848","32,467","32,423","31,901","31,782","32,099","32,473","32,581","32,628","32,670","32,693"
"62","40","  Population (midperiod, thousands)","B230RC0","201,955","202,419","202,986","203,584","204,086","204,721","205,419","206,130","206,763","207,362","208,000","208,642","209,142","209,637","210,181","210,737","211,192","211,663","212,191","212,708","213,144","213,602","214,147","214,700","215,135","215,652","216,289","216,848","217,314","217,776","218,338","218,917","219,427","219,956","220,573","221,201","221,719","222,281","222,933","223,583","224,152","224,737","225,418","226,117","226,754","227,389","228,070","228,689","229,155","229,674","230,301","230,903","231,395","231,906","232,498","233,074","233,546","234,028","234,603","235,153","235,605","236,082","236,657","237,232","237,673","238,176","238,789","239,387","239,861","240,368","240,962","241,539","242,009","242,520","243,120","243,721","244,208","244,716","245,354","245,966","246,460","247,017","247,698","248,374","248,936","249,711","250,595","251,482","252,258","253,063","253,965","254,835","255,585","256,439","257,386","258,277","259,039","259,826","260,714","261,547","262,250","263,020","263,870","264,678","265,388","266,142","267,000","267,820","268,487","269,251","270,128","270,991","271,709","272,487","273,391","274,246","274,950","275,703","276,564","277,400","278,103","278,864","279,751","280,592","281,304","282,007","282,792","283,570","284,246","284,939","285,706","286,451","287,092","287,746","288,488","289,204","289,815","290,467","291,197","291,899","292,471","293,114","293,845","294,577","295,198","295,826","296,575","297,316","297,959","298,625","299,411","300,213","300,913","301,617","302,406","303,166","303,810","304,445","305,177","305,890","306,496","307,101","307,815","308,521","309,120","309,724","310,438","311,140","311,696","312,243"
"63",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","41","    Disposable personal income, current dollars","A067RP1","4.7","9.5","13.8","7.8","6.8","12.0","9.7","3.9","12.3","11.0","5.8","6.9","6.9","6.2","12.3","20.8","9.8","12.3","9.7","13.9","5.7","8.0","12.6","8.5","6.0","26.0","2.0","11.3","10.8","6.9","10.1","9.6","7.8","12.0","12.7","14.6","9.5","13.6","10.8","11.2","12.5","8.3","12.8","13.6","13.8","4.1","14.3","19.6","9.3","6.9","16.5","7.1","5.6","6.8","8.3","6.0","6.8","6.8","11.9","11.4","13.8","11.3","9.7","6.5","3.3","11.4","0.1","7.5","7.9","4.9","5.2","3.2","8.0","-0.8","11.9","9.5","8.8","8.4","8.3","7.7","9.8","3.7","4.9","6.4","9.4","7.2","5.5","2.6","3.8","5.6","4.0","5.9","9.5","6.0","4.8","8.4","-3.9","8.8","2.3","8.3","0.0","9.3","6.4","7.4","4.9","2.4","4.8","4.2","6.8","7.1","5.4","5.1","5.8","4.1","5.8","7.2","9.6","6.8","5.7","4.2","4.0","3.2","4.8","8.8","12.6","6.0","6.8","2.8","6.0","0.8","10.7","-4.4","12.3","5.4","0.6","2.9","4.4","6.5","8.5","4.2","5.2","7.1","5.3","9.2","-2.5","5.4","7.1","5.8","9.5","6.7","4.9","5.3","5.8","4.1","3.9","6.5","10.0","13.1","-4.9","-5.8","-5.4","2.2","-2.6","2.2","6.8","5.9","3.3","3.5","5.2","4.2"
"65","42","    Disposable personal income, chained (2005) dollars","A067RL1","0.7","4.1","8.4","3.0","2.0","7.2","5.5","-1.3","8.2","6.1","1.8","4.3","2.5","3.8","8.4","16.9","4.6","4.0","2.0","5.0","-6.0","-3.4","1.3","-1.8","-1.6","20.0","-5.3","4.1","6.0","3.3","3.6","2.9","0.3","4.6","6.1","8.3","2.5","4.7","3.3","3.2","4.4","-2.8","2.3","3.2","1.1","-5.5","4.2","8.5","-0.9","0.1","9.2","0.8","0.5","2.8","1.8","1.4","3.2","2.9","6.1","8.5","9.0","7.1","6.4","3.9","-1.0","8.2","-2.5","4.2","4.8","4.6","2.1","0.2","2.5","-4.3","7.3","5.8","5.1","3.8","3.1","3.7","4.6","-1.6","2.6","3.1","3.0","2.7","0.3","-2.7","1.2","3.1","0.8","2.6","6.2","3.1","2.0","5.8","-5.7","6.4","0.9","6.0","-1.6","7.0","3.0","5.4","2.6","0.0","3.0","2.4","4.3","4.4","3.4","2.2","3.6","3.0","4.7","5.7","9.4","5.8","4.3","3.0","2.7","0.9","2.6","6.4","8.7","4.2","4.3","0.6","3.0","-1.1","10.6","-4.6","11.2","2.2","-1.4","1.0","1.5","6.2","5.7","2.3","1.8","4.0","2.7","5.7","-4.8","2.8","2.4","2.2","7.7","3.6","1.9","5.3","1.8","0.6","1.6","2.2","5.9","8.2","-8.8","-0.2","-3.8","0.3","-5.4","-0.6","4.9","5.6","2.3","1.5","1.2","1.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4. The current-dollar measure is deflated by the implicit price deflator for personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
