"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"226","219","        Video media rental","DVIDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,692,1324,2344,3021,3336,4198,4884,5636,5792,6290,7021,7954,8415,8068,8193,8317,9204,9019,8585,7919,8364,8677,7620,7757,7810,7137,6209,5541,5699,5987
"227","220","      Gambling (91)","DGAMRC0",643,700,750,858,930,1045,1102,1176,1268,1379,1518,1667,1869,2177,2654,3037,3447,3930,4411,5182,5865,6702,8427,9678,11053,12564,14253,15516,16938,19686,21255,23660,24664,28080,33277,39608,45418,50291,54513,55881,62341,67556,69990,74057,80667,89046,92933,101052,105702,103833,97810,98078,101516,103525
"228","221","        Casino gambling","DCASRC0",139,160,180,207,235,272,284,326,368,396,448,510,570,691,854,1050,1254,1494,1725,2227,2640,3171,4454,5124,5766,6268,6801,7186,7931,8988,9587,11461,12310,14931,19095,24076,28528,32454,36249,37141,43297,48379,50120,52938,58566,65498,68393,73796,77497,77480,71865,71689,74601,76131
"229","222","        Lotteries","DLOTRC0",1,1,1,1,1,4,3,2,19,36,35,61,104,223,351,428,531,634,803,967,1104,1240,1465,1964,2648,3462,4608,5403,6007,7274,8323,8722,8943,9783,10833,12013,13188,13980,14247,14453,14519,14489,15170,16249,17122,18215,19003,21340,22117,20438,20304,20603,21014,21493
"230","223","        Pari-mutuel net receipts","DPARRC0",503,539,569,650,694,769,814,848,881,947,1035,1096,1195,1263,1449,1559,1662,1802,1883,1988,2121,2291,2508,2590,2639,2834,2844,2927,3000,3424,3345,3477,3411,3366,3350,3519,3702,3857,4018,4287,4525,4688,4700,4871,4979,5333,5538,5915,6088,5916,5641,5786,5902,5901
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRC0",240,263,290,329,371,444,511,612,670,814,943,959,1042,1224,1349,1447,1636,1897,2139,2423,2925,3253,3737,4142,4555,5203,5783,6450,7378,8387,9449,10498,11023,11697,12886,14347,16145,17913,19270,21374,23652,25852,26595,27822,29533,31963,34665,37553,41591,43084,40795,43237,45063,47371
"232","225","        Veterinary and other services for pets","DVETRC0",160,185,215,246,281,340,395,462,474,582,659,660,705,782,854,937,1061,1212,1320,1471,1651,1927,2207,2426,2688,2946,3278,3660,4171,4487,4798,5148,5554,5839,6524,7431,8545,9816,10960,11882,12720,13838,14541,15469,16569,18047,19763,21490,23587,24821,24737,25885,26808,28380
"233","226","        Package tours","DHOLRC0",28,28,32,36,36,39,44,59,87,104,127,147,164,197,241,288,313,379,456,512,627,737,825,950,1065,1137,1395,1497,1669,2167,2627,3225,3365,3905,4262,4805,5176,5672,5709,6386,7301,7787,7438,7388,7958,8870,9583,10432,12073,12625,11196,12318,12861,13440
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERC0",53,50,43,47,54,65,72,91,109,128,157,152,173,245,254,222,262,306,363,441,646,589,705,766,802,1119,1110,1293,1538,1732,2024,2125,2104,1953,2100,2111,2425,2424,2601,3107,3631,4227,4616,4965,5005,5046,5320,5631,5932,5639,4863,5034,5394,5551
"235","228","    Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298607,308668,316717,327398,344560,363009,381580,410126,421228,438183,464167,499079,533906,570198,600498,618252,607244,631013,670948,713590
"236","229","      Food services","DFSERC0",18660,19310,19740,20906,21815,23277,25382,27686,28767,32128,34736,38589,40728,45014,50509,55905,63531,71615,78783,89238,101668,111466,122022,129826,139699,148776,156206,167450,182348,201641,216670,235116,244186,254140,265909,273766,280167,287501,299665,315707,331596,354878,368702,384332,406353,434371,461256,490433,514828,529187,523768,541047,573433,609061
"237","230","        Purchased meals and beverages (102)","DPMBRC0",17454,18101,18459,19567,20465,21903,23897,25917,26823,30155,32683,36524,38740,43004,48337,53183,60363,68006,75034,84967,96740,105929,115851,123279,133273,142393,149978,161472,176606,195568,210214,228346,237257,247054,258599,266247,272388,279515,291454,307284,322891,345950,359567,374863,396233,423716,449470,477001,500749,514855,508867,526458,557616,592449
"238","231","          Meals and nonalcoholic beverages","DMABRC0",13167,13786,14138,15070,15821,17083,18832,20559,21587,24582,26895,30110,32097,35692,40279,44569,50907,57740,63792,72373,82448,90272,98945,105995,115284,123579,130431,140709,154935,171495,184224,199074,205805,213360,225496,233940,240424,247746,259284,272236,284710,303684,314186,325544,344133,367969,390217,413730,434081,446623,441978,457433,484562,514280
"239","232","            Meals at schools","DMSLRC0",841,905,972,1087,1200,1321,1449,1587,1705,1824,1968,2055,2081,2143,2386,2652,2882,3140,3519,3837,4159,4525,5008,5308,5593,5893,6159,6561,6869,7336,7955,8578,9016,9580,10342,11155,11954,12889,13956,14598,15567,16265,16718,17192,18059,18569,19298,20186,21516,22748,23125,24151,25594,26788
"240","233","              Elementary and secondary school lunches","DESLRC0",640,679,720,804,874,949,1018,1092,1129,1227,1341,1406,1414,1464,1551,1632,1623,1603,1704,1866,1976,2065,2226,2330,2451,2574,2730,2944,3161,3304,3413,3593,3745,3815,4052,4280,4549,4859,5237,5467,5756,6003,6154,6216,6423,6624,6853,7056,7168,7167,6910,6875,7006,7164
"241","234","              Higher education school lunches","DHSLRC0",201,225,252,283,326,372,432,495,576,597,627,649,667,679,835,1020,1259,1537,1815,1971,2183,2460,2782,2978,3143,3319,3429,3617,3708,4031,4542,4984,5272,5765,6290,6874,7405,8029,8719,9131,9811,10262,10564,10976,11636,11945,12445,13129,14348,15580,16215,17276,18588,19624
"242","235","            Other purchased meals","DOPMRC0",12326,12882,13165,13983,14621,15762,17383,18972,19882,22758,24928,28056,30016,33549,37892,41916,48025,54599,60273,68537,78288,85747,93937,100687,109691,117686,124272,134147,148066,164159,176269,190496,196788,203780,215154,222785,228471,234857,245328,257638,269143,287419,297468,308353,326074,349399,370918,393545,412566,423876,418853,433282,458968,487492
"243","236","              Meals at limited service eating places","DMLSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75630,85628,92549,99589,102554,107744,114659,117117,120623,122242,123583,130975,135585,144620,150217,156270,166088,179314,191245,202244,211457,220952,221774,231751,243199,255944
"244","237","              Meals at other eating places","DMOERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71006,77107,82335,89421,92706,94456,98999,104281,106444,111219,120371,125126,131850,140865,145168,149786,157558,167622,177150,188594,198319,200128,194295,198721,212894,228482
"245","238","              Meals at drinking places","DMDPRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429,1425,1385,1486,1528,1580,1496,1387,1404,1396,1374,1537,1707,1934,2083,2297,2428,2463,2523,2706,2789,2795,2784,2810,2876,3066
"246","239","          Alcohol in purchased meals","DAPMRC0",4287,4314,4321,4497,4644,4820,5064,5357,5236,5573,5788,6413,6643,7312,8058,8614,9456,10266,11242,12593,14292,15657,16906,17284,17989,18814,19547,20764,21671,24073,25989,29272,31452,33694,33102,32308,31963,31769,32170,35048,38181,42267,45381,49318,52100,55747,59254,63271,66668,68231,66889,69025,73053,78169
"247","240","        Food furnished to employees (including military) (103)","DFOORC0",1206,1209,1281,1339,1350,1374,1485,1769,1944,1973,2053,2065,1988,2010,2172,2722,3168,3609,3749,4271,4928,5537,6171,6547,6426,6383,6228,5978,5742,6073,6456,6770,6929,7086,7310,7519,7779,7986,8211,8423,8705,8928,9135,9469,10120,10655,11786,13432,14079,14332,14901,14589,15817,16612
"248","241","          Food supplied to civilians","DCFDRC0",751,782,816,853,886,918,991,1105,1146,1225,1343,1464,1544,1634,1769,2266,2664,3074,3196,3688,4303,4892,5519,5941,5874,5814,5689,5456,5219,5557,5910,6244,6401,6573,6768,6961,7220,7448,7688,7907,8174,8354,8517,8736,9223,9682,10150,10716,11330,11880,12199,12506,13177,13966
"249","242","          Food supplied to military","DMFDRC0",455,427,465,486,464,456,494,664,798,748,710,601,444,376,403,456,504,535,553,583,625,645,652,606,552,569,539,522,523,516,546,526,528,513,542,558,559,538,523,516,531,574,618,733,897,973,1636,2716,2749,2452,2702,2083,2640,2646
"250","243","      Accommodations (104)","DACCRC0",1078,1175,1224,1351,1491,1601,1799,1949,2190,2466,2725,3035,3069,3872,4323,4709,5290,6186,6882,7866,9253,10255,11893,12682,13851,16140,18094,19237,22031,24206,25927,27619,29208,32173,32698,34902,36550,39897,44895,47302,49984,55248,52526,53851,57814,64708,72650,79765,85670,89065,83476,89966,97515,104529
"251","244","        Hotels and motels","DHOTRC0",834,905,920,1009,1095,1145,1268,1348,1519,1737,1939,2191,2167,2927,3309,3594,3991,4679,5249,6062,7304,8062,9389,9782,10590,12583,14241,15114,17657,19510,20916,22310,23466,26002,25979,27918,29247,32094,36713,38785,41004,45713,42187,42673,45445,51084,57620,63382,67991,69828,62201,66582,72629,77987
"252","245","        Housing at schools","DSCHRC0",244,270,304,342,396,456,531,601,671,729,786,844,902,945,1014,1115,1299,1507,1633,1804,1949,2193,2504,2900,3261,3557,3853,4123,4374,4696,5011,5310,5743,6171,6719,6984,7303,7803,8182,8517,8981,9535,10338,11179,12369,13623,15029,16383,17680,19237,21275,23384,24886,26542
"253","246","    Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19394,21273,22842,25796,28501,31071,34137,38337,41497,45903,54014,59257,67786,80627,87623,95599,101995,116322,145873,156555,180539,196665,207127,219409,235741,253218,281979,311759,341016,349027,364689,393631,431297,469649,514234,569962,562791,576166,602466,651686,698429,732625,790290,806980,741766,796272,807054,829067
"254","247","      Financial services","DFNLRC0",5653,6055,6810,6935,7081,8048,8782,9923,11088,12363,14127,15341,17066,18938,20317,23659,30126,32209,35757,43133,47190,51739,54134,62055,87159,90021,107493,123869,135040,134015,135986,141481,158141,178498,193165,200564,212473,237909,267042,295231,331246,370013,358088,366443,371634,400727,424035,453286,501753,524895,477339,512503,518101,538832
"255","248","        Financial services furnished without payment (107)","DIMPRC0",3497,3899,4130,4302,4222,4906,5246,5805,6377,7017,9112,10922,11811,13174,15127,18610,24070,25049,28164,34164,36976,38248,38656,42677,62731,64259,76748,85386,92388,93115,89713,92998,103632,116217,120720,126767,130579,143873,159690,170254,182314,195389,195015,198288,193692,212458,219902,224557,250814,273210,250863,283384,283730,298671
"256","249","          Commercial banks","DIMCRC0",2240,2504,2496,2465,2630,2964,3129,3450,3809,4543,5816,7219,7616,8267,9233,11505,15335,14613,16396,18353,18709,17954,16112,23138,35415,33330,39107,40475,39706,38148,36948,42135,51693,61095,58137,55523,53132,57276,61368,62911,64383,60965,64092,72818,66627,71612,69457,68596,76492,98842,92536,111358,107213,107932
"257","250","          Other depository institutions and regulated investment companies","DIMNRC0",1211,1343,1580,1780,1532,1875,2043,2278,2491,2346,3076,3368,3761,4378,5146,5976,7102,8020,8765,12193,13937,15027,16454,12492,19597,21774,26161,32060,39465,40952,39883,39962,42072,46708,51198,56965,58897,64192,71613,80358,90151,103084,100940,97682,99182,110657,118528,120340,135765,136999,122895,135040,138107,150661
"258","251","          Pension funds","DPENRC0",46,52,54,57,60,67,75,77,78,128,219,336,435,529,749,1129,1633,2416,3003,3619,4330,5267,6091,7047,7720,9155,11480,12851,13217,14015,12882,10901,9867,8414,11385,14279,18550,22405,26709,26985,27780,31340,29983,27788,27883,30189,31917,35621,38557,37369,35432,36986,38410,40078
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRC0",2156,2156,2680,2633,2859,3142,3536,4118,4711,5346,5015,4419,5255,5764,5190,5049,6056,7160,7593,8969,10214,13491,15478,19378,24428,25762,30745,38483,42652,40900,46273,48483,54509,62281,72445,73797,81894,94036,107352,124977,148932,174624,163073,168155,177942,188269,204133,228729,250939,251685,226476,229119,234371,240161
"260","253","          Financial service charges and fees","DFEERC0",744,787,820,856,881,965,1063,1178,1301,1405,1531,1648,1761,1860,2052,2259,2478,2757,3115,3518,4101,5141,6616,8210,9156,10699,12507,14757,16188,17757,19512,21162,23348,25586,28241,28987,30717,33165,34842,39574,45679,53166,59767,67343,76089,76858,83388,89372,94822,93826,91850,88179,88890,93248
"261","254","          Securities commissions","DEQTRC0",1211,1154,1635,1541,1735,1908,2175,2608,3042,3543,3048,2301,2987,3368,2545,2137,2861,3605,3578,4430,4921,6851,6928,8762,12734,12270,15167,20336,17982,13971,16635,16112,19262,22537,27333,25873,30159,35601,41790,45962,54915,63003,46447,42243,40219,41982,41448,43836,48024,45723,37814,38058,37508,32589
"262","255","            Direct commissions","DDCTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8668,6505,8291,7979,10437,12042,15072,14563,18119,22073,25522,28548,35777,39729,30290,28256,26102,25637,23035,22522,23032,22322,19176,16858,15944,11939
"263","256","              Exchange-listed equities","DDCERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11716,14327,16592,18170,16560,15692,12053,10408,8474,8122,8271,7223,5533,2791,2003,1633
"264","257","              Other direct commissions","DDCORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13806,14221,19185,21559,13730,12564,14049,15230,14562,14400,14761,15099,13643,14067,13941,10306
"265","258","            Indirect commissions","DICTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5889,5241,5702,5395,5318,5908,6725,6613,7447,7856,10028,9935,10807,13435,7562,5631,5294,6189,7227,8739,11054,12185,9901,11314,11305,9992
"266","259","              Over-the-counter equity securities","DICVRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3264,3238,4028,6402,2237,1064,810,774,581,654,820,1083,944,847,727,674
"267","260","              Other imputed commissions","DICORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6763,6696,6780,7033,5324,4568,4483,5415,6646,8085,10234,11102,8957,10467,10578,9318
"268","261","            Mutual fund sales charges","DMUTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,2225,2642,2738,3507,4587,5536,4697,4593,5673,6241,7479,8330,9839,8595,8356,8823,10155,11185,12575,13937,11216,8737,9886,10259,10658
"269","262","          Portfolio management and investment advice services","DPMIRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4323,4961,5576,6546,7121,9151,11710,13649,15774,19767,24610,32496,41019,50593,49292,51217,54431,62133,71214,87017,98588,102507,88542,94278,98844,105026
"270","263","          Trust, fiduciary, and custody activities","DTRURC0",201,215,225,236,243,269,298,331,367,398,436,470,507,536,593,653,717,798,900,1021,1192,1499,1934,2406,2538,2793,3070,3390,4159,4211,4551,4663,4779,5008,5162,5288,5243,5502,6111,6944,7320,7861,7568,7353,7202,7297,8084,8504,9505,9629,8270,8603,9129,9298
"271","264","      Insurance","DINSRC0",6831,7496,7955,8416,8828,9692,10612,11350,11754,13433,14374,15730,17071,19399,21180,22244,23888,27048,32029,37494,40433,43860,47861,54267,58714,66534,73046,72796,72087,85394,99755,111737,123838,133261,147851,148463,152216,155722,164255,174418,182988,199949,204703,209723,230832,250959,274394,279339,288537,282085,264427,283769,288953,290235
"272","265","        Life insurance (110)","DLIFRC0",3153,3553,3712,3887,4128,4631,5145,5318,5362,5885,6258,6885,6933,7501,8398,9055,10037,11883,13302,15312,16912,19054,20470,22808,23498,25026,28304,28751,28091,33483,38578,42312,51781,53610,59192,54612,54340,52030,55171,55982,56936,64975,61949,58796,60263,70770,76627,81120,83788,82350,75258,82456,85602,86322
"273","266","        Net household insurance (111)","DFINRC0",142,166,185,201,212,222,227,227,252,274,300,341,389,444,501,570,617,696,844,1021,1174,1284,1338,1421,1508,1623,1706,1861,2124,2421,2552,2478,2441,2296,2310,2502,2633,2895,2903,3358,3588,3835,4188,4267,4928,5755,6167,6069,7356,7984,7262,7504,7856,8066
"274","267","          Household insurance premiums and premium supplements","DFIPRC0",270,312,351,390,421,460,492,521,579,639,708,812,918,1025,1116,1244,1418,1655,1966,2281,2574,2908,3186,3445,3762,4104,4451,4973,5301,5575,5687,5980,6138,6490,6918,7414,7908,8285,8649,9051,9523,10162,10989,12288,13800,15166,16194,17283,18346,18536,18638,18983,19737,20395
"275","268","          Less: Household insurance normal losses","DFIBRC0",128,146,166,189,209,237,265,294,327,365,408,471,530,581,615,673,801,959,1122,1260,1401,1624,1848,2024,2254,2480,2745,3113,3177,3154,3135,3502,3696,4193,4608,4913,5275,5389,5747,5692,5935,6327,6801,8022,8873,9411,10028,11214,10990,10552,11376,11479,11880,12329
"276","269","        Net health insurance (112)","DHINRC0",1654,1764,1963,2143,2171,2372,2621,2897,2939,3821,4105,4431,5181,6323,6695,6910,7307,8068,10547,12856,13047,13571,15512,18863,21521,26487,28365,25629,23571,29082,36575,43437,45186,50051,55971,58599,60747,64095,68374,74696,79230,88070,94132,100962,116570,120919,133986,135176,135626,130033,122185,135331,136362,135452
"277","270","          Medical care and hospitalization","DMINRC0",699,793,924,1032,1069,1174,1306,1383,1296,1953,1918,2146,2580,3497,3602,3556,3240,3594,5415,6396,7158,7605,9101,11811,14453,18916,20562,16519,14148,18878,25963,31825,34120,38426,43418,46281,47873,49258,50992,57334,62055,69220,73784,80928,94563,97515,106898,106235,105039,102109,97289,114293,117341,118095
"278","271","          Income loss","DIINRC0",536,531,579,606,580,623,687,792,860,986,1181,1125,1345,1555,1701,1734,2189,2193,2407,3357,2275,1868,1875,2462,2098,2103,2064,2440,2191,2490,2356,2617,1825,2102,1500,1800,1400,1105,1172,1375,1540,1699,1849,1999,2146,2248,2356,2528,2692,2799,2772,2723,2766,2775
"279","272","          Workers' compensation","DPWCRC0",419,440,460,505,522,575,628,722,783,882,1006,1160,1256,1271,1392,1620,1878,2281,2725,3103,3614,4098,4536,4590,4970,5468,5739,6670,7232,7714,8256,8995,9241,9523,11053,10518,11474,13732,16210,15987,15635,17151,18499,18035,19861,21156,24732,26413,27895,25125,22124,18315,16255,14582
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRC0",1882,2013,2095,2185,2317,2467,2619,2908,3201,3453,3711,4073,4568,5131,5586,5709,5927,6401,7336,8305,9300,9951,10541,11175,12187,13398,14671,16555,18301,20408,22050,23510,24430,27304,30378,32750,34496,36702,37807,40382,43234,43069,44434,45698,49071,53515,57614,56974,61767,61718,59722,58478,59133,60395
"281","274","    Other services","DOTSRC0",25518,27058,28254,29853,31611,33760,36603,39875,43572,46751,50460,54595,58051,63677,69332,74361,80344,88620,97744,108319,117213,127144,137178,150931,169849,187441,207851,221175,242433,262845,281310,297888,300866,325813,344216,370704,390469,415340,452274,499783,540863,591076,633995,662679,702848,740448,777095,824692,867406,892553,894708,922819,956155,985457
"282","275","      Communication","DCOMRC0",4825,5196,5547,5896,6417,6925,7521,8104,8856,9659,10709,11585,12741,14328,16103,17657,19922,22386,24260,26862,29048,31144,34984,39857,43614,47177,51884,55600,58679,61703,65651,68311,71996,79093,83465,90587,95932,104928,116370,126417,139921,156553,165481,171226,175327,180424,184398,195215,207094,216620,215690,223585,232811,235188
"283","276","        Telecommunication services (71)","DTCSRC0",4186,4516,4829,5111,5525,5953,6493,7013,7675,8343,9285,10095,11048,12444,14153,15546,17741,19829,21565,23874,25717,27574,30889,35140,38639,41786,45978,49261,51879,54390,58135,60702,64003,70998,75008,81291,85168,92770,103149,111081,120001,130226,137580,139841,140170,143124,145902,154275,159437,164412,159106,161491,168978,173768
"284","277","          Land-line telephone services, local charges","DLOCRC0",2151,2320,2481,2626,2839,3059,3337,3605,3945,4288,4773,5189,5679,6396,7275,7991,9119,10193,11086,12272,13218,14064,15868,18048,20017,22129,23994,25866,26846,27219,28313,29484,30704,32226,33809,35834,37793,40408,43313,46872,51060,55856,60215,61092,57741,55166,52921,54438,53082,52833,48014,47560,48407,46812
"285","278","          Land-line telephone services, long-distance charges","DLDTRC0",2035,2196,2348,2485,2686,2894,3156,3408,3730,4055,4512,4906,5369,6048,6878,7555,8622,9636,10479,11602,12499,13510,15021,17092,18622,19657,21883,23222,24791,26580,28470,28972,30211,33907,34776,36936,36100,38628,44130,44753,44736,41780,36602,29815,27761,26500,23627,21664,20823,20622,17979,15778,16039,15708
"286","279","          Cellular telephone services","DCELRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,173,242,591,1352,2246,3088,4866,6423,8522,11274,13735,15706,19455,24204,32590,40763,48933,54667,61458,69354,78173,85532,90957,93114,98153,104532,111248
"287","280","        Postal and delivery services (68)","DPSSRC0",639,680,718,785,892,972,1028,1091,1181,1316,1424,1490,1693,1884,1950,2111,2181,2557,2695,2988,3331,3570,4095,4717,4975,5391,5906,6339,6800,7288,7466,7509,7793,7790,8045,8491,9153,9483,9646,9787,9865,9890,9658,9456,9029,8849,8608,8885,9228,9261,8600,8376,8186,8080
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRC0",633,673,711,776,882,961,1015,1077,1166,1295,1393,1450,1640,1819,1881,2034,2101,2469,2609,2891,3238,3488,4028,4660,4839,5158,5582,5923,6284,6665,6725,6654,6819,6707,6879,7225,7797,8075,8232,8203,8203,8072,7845,7733,7216,6906,6607,6685,6897,6898,6458,6233,5968,5702
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRC0",6,7,7,9,10,11,13,14,15,21,31,40,53,65,69,77,80,88,86,97,93,82,67,57,136,233,324,416,516,623,741,855,974,1083,1166,1266,1356,1408,1414,1584,1662,1818,1813,1723,1813,1943,2001,2200,2331,2363,2142,2143,2218,2378
"290","283","        Internet access (72)","DINTRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,50,100,200,305,412,805,1611,2675,3575,5549,10055,16437,18243,21929,26128,28451,29888,32055,38429,42947,47984,53718,55647,53340
"291","284","      Education services","DTEDRC0",2832,3073,3302,3627,3990,4420,5048,5746,6409,7211,8069,9176,10102,11005,12226,13375,14946,16476,17709,19531,21323,23698,26272,28793,31841,34786,37936,40839,44543,49791,55648,60660,65157,70801,75032,79880,85502,92620,99785,107390,115367,125247,134385,139825,149525,158898,170343,182386,195685,209258,221200,236961,252194,265377
"292","285","        Higher education (97)","DHEDRC0",1374,1495,1639,1811,2004,2297,2727,3124,3466,3931,4457,5188,5889,6487,7107,7637,8170,8861,9640,10258,11409,12862,14767,17007,18806,20533,22260,24130,26097,28465,31516,34742,38400,42334,45449,48628,51912,56361,61261,66027,70774,76776,82917,86986,94350,101175,108747,116557,124974,134261,144970,156662,167519,177971
"293","286","          Proprietary and public higher education","DGEDRC0",375,426,477,558,659,801,970,1154,1351,1581,1847,2297,2743,3057,3448,3730,4004,4397,4864,5354,5930,6737,7744,8799,9914,10949,11980,13100,14234,15787,17577,19443,21802,24624,26591,28588,30552,32510,35124,37968,41046,44753,48266,52477,57555,61694,66411,71479,77027,83111,91127,99661,106260,112344
"294","287","          Nonprofit private higher education services to households","DPEDRC0",999,1069,1162,1253,1345,1496,1757,1970,2115,2350,2610,2891,3146,3430,3659,3907,4166,4464,4776,4904,5479,6125,7023,8208,8892,9584,10280,11030,11863,12678,13939,15299,16598,17710,18857,20041,21359,23851,26137,28059,29728,32024,34651,34509,36795,39481,42337,45077,47947,51150,53844,57001,61259,65627
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRC0",886,989,1118,1242,1352,1449,1565,1693,1820,1993,2193,2439,2656,2929,3327,3868,4356,4638,4808,5620,6014,6652,7021,7182,7949,8705,9450,9969,10904,11864,13570,14849,15620,16679,17297,18112,19170,20086,20706,21487,22770,24124,25687,26856,28337,29943,31740,33749,36029,38032,38778,39396,41404,43665
"296","289","          Elementary and secondary schools","DESCRC0",852,943,1060,1172,1270,1357,1461,1576,1694,1853,2020,2218,2386,2625,2937,3351,3672,3915,4079,4748,5031,5602,5922,6087,6610,7158,7637,7980,8795,9598,10550,11655,12369,12962,13322,13839,14558,15355,15627,16208,17082,18075,19172,20049,21187,22462,24006,25471,26881,28526,28998,29479,30189,31991
"297","290","          Day care and nursery schools","DNSCRC0",34,46,58,70,82,92,104,116,126,141,172,221,270,303,390,517,684,723,730,872,983,1050,1099,1095,1339,1547,1813,1989,2110,2267,3020,3194,3251,3717,3976,4273,4612,4731,5079,5279,5688,6049,6515,6807,7150,7481,7734,8278,9148,9507,9780,9917,11215,11674
"298","291","        Commercial and vocational schools (99)","DVEDRC0",572,589,545,574,634,674,756,929,1123,1287,1419,1549,1557,1589,1792,1870,2420,2977,3261,3653,3900,4184,4484,4604,5086,5548,6226,6740,7542,9461,10562,11068,11137,11788,12287,13140,14420,16172,17818,19876,21823,24347,25781,25984,26838,27779,29856,32080,34682,36965,37452,40903,43271,43741
"299","292","      Professional and other services (121)","DPRSRC0",4323,4535,4854,5131,5483,5785,6230,6855,7274,7842,8620,9653,10408,11389,12746,14038,14894,16546,18303,20741,22146,24847,28162,30755,33565,37482,42370,46404,51151,57332,62207,67743,70190,75293,78376,80877,82829,87635,92767,100054,107189,113015,120915,126620,136635,142038,148580,155065,163757,168500,163160,164609,166856,175692
"300","293","        Legal services","DGALRC0",1971,2024,2292,2419,2642,2797,3039,3429,3614,3804,4195,4956,5481,6033,6951,7686,7986,8787,9700,11121,11738,13182,15543,17236,18937,21485,24600,27348,30927,34729,37692,40984,41751,44889,46204,47035,47420,50608,53861,57899,62157,65378,70075,73878,80335,83682,87219,91705,96824,98870,96359,97683,98064,105198
"301","294","        Accounting and other business services","DPRORC0",254,277,280,310,321,375,447,514,581,675,829,863,884,993,1094,1195,1313,1481,1704,1944,2056,2163,2349,2405,2874,3111,3471,3729,3975,4846,5744,6532,7089,7722,8643,9894,10155,10995,11959,13796,15484,17155,18569,20049,21526,23529,25276,26604,29227,31021,28457,27937,29053,30771
