"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"71","50","    Chain-type quantity index","B253RA",10.18,9.92,9.4,8.24,7.89,7.09,7.26,6.97,7.89,7.78,7.17,6.19,5.99,6.06,6.26,6.78,7.06,7.76,7.94,7.79,8.23,7.23,6.7,6.81,6.56,6.68,7.01,6.75,6.37,7.51,7.13,7.52,7.82,7.57,8.06,8.09,8.52,9.12,9.46,9.89,10.57,10.23,9.88,9.23,8.53,8.44,8.5,8.4,7.93,8.16,8.97,8.56,9.92,10.4,10.59,10.6,10.67,9.94,10.46,10.65,10.52,11.2,11.22,10.64,10.67,11.78,11.99,12.55,13.12,13.11,13.47,13.74,11.72,13.92,13.48,14.61,14.45,14.2,14.25,14.55,14.49,14.48,14.25,14.49,14.98,15.2,16.25,15.85,13.72,17.38,16.94,17.52,17.85,18.29,18.33,18.56,18.22,18.19,19.48,16.86,19.59,19.13,20.25,21.6,23.56,24.71,24.69,26.11,26.58,27.66,26.14,26.55,26.44,25.22,25.71,27.08,26.77,27.12,27.64,27.88,27.33,28.04,28.32,27.15,27.52,31.34,31.54,32.82,32.84,33.08,34.62,37.24,38.42,39.1,38.42,38.27,38.6,38.55,37.4,38.01,35.78,36.19,34.37,32.44,32.92,33.14,33.71,35.02,34.87,35.69,36.87,38.02,37.65,37.51,37.04,38.14,38.25,38.98,39.6,41.22,40.77,42.5,45.05,47.24,50.12,51.5,52.3,54.72,56.38,59.32,58.68,60.57,62.8,64.03,62.95,64.55,65.53,68.16,68.2,70.48,71.39,72.11,72.66,74.77,73.49,75.18,73,78.06,77.3,80.86,83.57,87,88.91,89.98,93.26,95.73,96.89,97.92,99.81,105.39,108.8,114.13,117.53,117.58,117.52,114.9,115.06,120.12,117.3,118.64,122.38,126.82,128.89,133.8,139.88,137.33,135.19,129.39,122.89,120.4,119.36,123.84,125.08,121.34,121.91,121.29
"72","51","    Chain-type price index","B253RG",24.76,27.11,28.82,29.7,29.89,29.7,29.25,28.67,28.07,27.41,26.87,26.5,26,26.05,26.32,26.88,28.69,29.87,30.81,31.29,30.32,30.09,29.92,29.79,29.9,29.79,29.67,29.55,29.39,29.31,29.26,29.26,29.34,29.47,29.64,29.87,30.19,30.53,30.88,31.22,31.57,31.75,31.78,31.71,31.4,31.28,31.31,31.43,31.69,31.51,31.55,31.88,31.86,31.81,31.97,31.85,32.12,32.62,32.46,32.72,32.58,32.13,32.08,32.11,32.25,32.17,32.04,32.02,32.2,32.08,32.34,32.74,33.62,33.48,33.48,33.27,33.97,34.26,34.74,35.46,36.24,36.04,35.9,36.05,36.21,37.13,36.45,36.67,37.31,37.2,37.72,38.77,39,39.83,39.48,39.51,40.71,40.65,40.22,40.47,41.04,41.33,41.41,42.56,44.27,46.53,49.65,52.63,56.66,58.8,62.57,66.31,68.49,67.94,67.41,67.73,68.59,69.34,69.64,70.94,71.77,72.77,72.03,72.08,73.55,75.5,76.67,79.58,82.36,86.02,87.95,89.28,91.73,92.72,95.47,98.92,101.44,101.5,101.27,101.29,101.65,101.02,99.61,98.54,98.64,98.98,99.5,100.79,101.2,101.73,100.12,98.31,96.93,96.34,94.92,94.3,93.21,92.5,91.66,92.58,92.99,94.68,94.9,96.98,98.35,100.97,102.57,102.1,103.06,102.97,101.99,101.28,100.85,100.96,101.38,102.26,102.34,101.71,100.48,100.5,100.12,99.99,99.64,99.26,99.28,99.4,99.21,98.96,99.56,99.93,100.4,101.2,102.51,103.21,102.81,102.08,101.4,100.92,99.67,98.01,97.81,97.55,97.23,96.58,95.44,94.7,93.69,93.16,92.82,92.75,92.91,93.42,93.71,94.08,94.17,94.25,94.19,93.84,93.26,92.39,92.14,92.67,93.45,93.67,94.46,94.83
"73","52","    Implicit price deflator","A253RD",25,27.28,28.9,29.71,29.87,29.68,29.24,28.65,28.02,27.36,26.82,26.46,25.98,26.03,26.3,26.87,28.66,29.83,30.76,31.25,30.3,30.08,29.91,29.78,29.9,29.79,29.67,29.55,29.4,29.31,29.26,29.25,29.34,29.48,29.64,29.86,30.17,30.5,30.86,31.2,31.56,31.75,31.79,31.72,31.4,31.28,31.31,31.43,31.7,31.51,31.55,31.88,31.85,31.81,31.97,31.85,32.12,32.62,32.46,32.72,32.59,32.13,32.08,32.11,32.25,32.18,32.04,32.03,32.2,32.07,32.34,32.73,33.62,33.49,33.49,33.28,33.97,34.26,34.73,35.45,36.23,36.04,35.9,36.05,36.22,37.13,36.45,36.67,37.29,37.17,37.69,38.75,38.99,39.82,39.48,39.52,40.71,40.66,40.22,40.47,41.03,41.32,41.38,42.52,44.18,46.42,49.52,52.52,56.62,58.81,62.63,66.4,68.51,67.94,67.4,67.7,68.58,69.33,69.62,70.93,71.79,72.78,72.03,72.05,73.46,75.38,76.53,79.43,82.22,85.89,87.84,89.2,91.69,92.72,95.5,98.97,101.47,101.51,101.25,101.25,101.61,100.97,99.55,98.5,98.59,98.95,99.49,100.79,101.23,101.77,100.17,98.34,96.93,96.34,94.92,94.31,93.23,92.52,91.66,92.56,92.93,94.61,94.82,96.89,98.28,100.92,102.54,102.09,103.06,102.99,102.01,101.3,100.85,100.96,101.37,102.26,102.35,101.73,100.5,100.52,100.13,100,99.64,99.26,99.29,99.4,99.21,98.96,99.53,99.9,100.37,101.18,102.51,103.21,102.82,102.1,101.43,100.97,99.71,98.05,97.84,97.56,97.24,96.58,95.44,94.71,93.7,93.16,92.82,92.74,92.91,93.41,93.71,94.07,94.16,94.24,94.17,93.82,93.23,92.36,92.1,92.63,93.41,93.63,94.43,94.8
"74",NA,"  Exports of services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","53","    Current dollars","A646RT",1.02,1.06,1.01,0.96,0.9,0.85,0.87,0.87,0.92,0.94,0.85,0.74,0.79,0.8,0.8,0.86,0.96,1.07,1.12,1.18,1.23,1.18,1.06,1.04,1.13,1.09,1.09,1.07,1.07,1.07,1.13,1.14,1.17,1.19,1.28,1.3,1.32,1.4,1.44,1.52,1.63,1.63,1.65,1.88,1.51,1.6,1.58,1.62,1.61,1.61,1.66,1.67,1.82,1.84,1.93,1.92,1.9,2,2.01,2.05,2.11,2.27,2.23,2.31,2.31,2.42,2.35,2.45,2.66,2.59,2.71,2.79,2.77,2.94,3.05,3.12,3.05,3.18,3.27,3.31,3.6,3.47,3.54,3.75,3.75,3.87,4.04,4.02,4.03,4.29,4.52,4.39,4.55,4.92,4.91,5.06,5.33,5.39,5.44,5.38,5.41,5.56,5.61,6,6.5,6.81,7.32,7.28,8.44,9.05,9.09,9.93,10.15,10.11,10.37,11.05,11.58,11.63,12.47,12.95,13.11,13.74,13.95,14.12,15.22,15.44,16.11,16.93,17.07,17.21,17.54,18.02,19.26,20.2,21.73,21.93,23.68,24.84,25.62,25.47,26.37,26.67,26.34,26.41,27.33,27.25,27.68,26.74,29.47,30.64,30.55,30.49,31.36,31.44,31.13,32.4,35.76,35.63,37.38,38.71,40.33,42.28,42.83,43.57,45.51,47.11,48.53,48.31,51.88,52.67,54.46,55.74,58.65,60.55,62.82,66.05,63.46,67.93,69.75,72.88,73.3,73.31,74.08,73.5,76.3,77.59,77.61,78.61,81.33,84.06,84.97,86.59,87.6,89.21,94.26,96.02,96,99.05,97.8,107.15,105.41,108.79,110.25,109.53,109.65,111.91,109.49,112.49,111.78,113.31,114.83,116.77,120.79,124.97,123.7,124.92,122.27,120.84,116.22,110.81,116.38,120.72,123.56,126.22,125.09,125.02
"76","54","    Chain-type quantity index","B646RA",5.35,5.79,5.65,5.39,5.03,4.77,4.82,4.77,5.03,5.15,4.61,4.06,4.29,4.35,4.31,4.61,5.08,5.55,5.73,5.93,6.05,5.71,5.1,4.96,5.3,5.09,5.1,4.99,5.04,5.03,5.33,5.36,5.5,5.57,5.96,6.03,6.15,6.51,6.6,6.91,7.21,7.11,7.11,7.99,6.46,6.9,6.86,7.15,7.34,7.28,7.41,7.37,7.87,7.98,8.37,8.3,8.36,8.73,8.74,8.86,8.99,9.64,9.44,9.76,9.76,10.23,9.93,10.31,11.27,10.87,11.31,11.59,11.38,12.07,12.46,12.69,12.4,12.82,13.07,13.11,14.21,13.58,13.73,14.38,14.2,14.55,15.1,14.91,14.89,15.63,16.23,15.6,16.24,17.3,17.02,17.34,17.81,17.84,17.87,17.55,17.27,17.56,17.49,18.47,20.18,20.6,21.59,21.01,23.27,24.44,23.86,25.57,25.82,25.36,25.53,26.93,27.73,27.59,29.29,29.98,30.04,30.93,30.96,30.75,32.5,32.35,33.16,34.39,34.34,33.69,33.36,33.15,34.15,34.93,36.85,36.4,38.4,39.6,40.08,39.2,40.16,39.85,38.72,38.43,39.25,38.97,39.3,37.92,42.12,43.31,42.85,42.22,43.34,43.07,42.18,43.45,47.56,47.25,49.28,50.84,52.6,54.6,54.9,55.41,57.69,59.28,60.76,60.06,63.64,64.04,66,67.05,69.63,71.27,72.27,73.73,70.19,75.24,76.65,79.53,79.43,78.87,78.98,78.17,81.15,82.11,82.16,82.86,85.78,88.22,88.35,89.67,90.24,90.9,95.92,97.56,96.57,99.55,97.67,106.21,104.64,107.02,108.59,107.67,108.32,110.43,108.04,110.78,110.36,111.28,112.56,114.33,117.13,120.28,118.47,119.76,117.91,117.17,112.87,108.77,114.24,117.18,118.87,121.19,118.67,118.88
"77","55","    Chain-type price index","B646RG",18.99,18.28,17.91,17.79,17.82,17.9,18.05,18.16,18.24,18.33,18.33,18.29,18.35,18.42,18.48,18.61,18.86,19.19,19.58,19.98,20.34,20.62,20.83,21.04,21.28,21.36,21.41,21.39,21.27,21.2,21.21,21.22,21.31,21.36,21.46,21.53,21.47,21.6,21.78,22.05,22.62,22.98,23.27,23.5,23.37,23.26,22.98,22.6,21.9,22.17,22.47,22.67,23.13,23.11,23.12,23.08,22.77,22.91,23.06,23.17,23.51,23.56,23.61,23.69,23.67,23.66,23.69,23.81,23.6,23.81,23.97,24.12,24.38,24.39,24.48,24.59,24.62,24.83,25.04,25.24,25.37,25.55,25.76,26.05,26.43,26.59,26.77,26.98,27.07,27.44,27.83,28.13,28.01,28.47,28.86,29.2,29.93,30.19,30.44,30.66,31.32,31.65,32.06,32.47,32.2,33.06,33.92,34.7,36.28,37.04,38.1,38.85,39.33,39.89,40.62,41.05,41.76,42.18,42.59,43.23,43.63,44.45,45.08,45.94,46.86,47.75,48.59,49.26,49.7,51.05,52.56,54.35,56.42,57.87,59.02,60.3,61.69,62.73,63.92,64.95,65.66,66.9,68,68.69,69.62,69.93,70.43,70.51,69.98,70.75,71.3,72.21,72.36,73,73.79,74.56,75.18,75.43,75.87,76.17,76.71,77.46,78.02,78.63,78.89,79.48,79.87,80.45,81.54,82.25,82.52,83.17,84.27,84.99,86.97,89.63,90.44,90.3,91.02,91.65,92.29,92.95,93.79,94.02,94.03,94.49,94.47,94.87,94.82,95.3,96.19,96.57,97.09,98.16,98.28,98.44,99.43,99.51,100.16,100.9,100.75,101.66,101.53,101.72,101.23,101.35,101.34,101.55,101.29,101.82,102.02,102.14,103.13,103.9,104.42,104.32,103.71,103.15,102.99,101.89,101.9,103.04,103.97,104.18,105.43,105.19
"78","56","    Implicit price deflator","A646RD",18.99,18.28,17.91,17.79,17.83,17.9,18.04,18.16,18.23,18.33,18.34,18.29,18.34,18.41,18.48,18.62,18.86,19.18,19.54,19.94,20.35,20.65,20.86,21.05,21.27,21.36,21.41,21.4,21.27,21.21,21.21,21.22,21.32,21.36,21.46,21.52,21.46,21.59,21.77,22.04,22.61,22.96,23.25,23.49,23.36,23.26,22.99,22.62,21.9,22.16,22.47,22.67,23.13,23.11,23.12,23.08,22.77,22.91,23.05,23.17,23.5,23.56,23.61,23.69,23.67,23.66,23.69,23.8,23.6,23.8,23.97,24.11,24.38,24.38,24.47,24.59,24.61,24.82,25.03,25.23,25.37,25.55,25.76,26.04,26.43,26.58,26.76,26.97,27.06,27.44,27.82,28.12,28,28.46,28.86,29.19,29.92,30.19,30.45,30.67,31.31,31.64,32.05,32.46,32.19,33.05,33.9,34.67,36.25,37.01,38.07,38.82,39.31,39.88,40.61,41.04,41.74,42.16,42.58,43.21,43.63,44.44,45.07,45.93,46.84,47.72,48.57,49.25,49.72,51.07,52.58,54.37,56.4,57.83,58.97,60.25,61.66,62.72,63.92,64.96,65.67,66.92,68.02,68.72,69.63,69.94,70.43,70.51,69.98,70.75,71.3,72.21,72.36,73,73.79,74.57,75.18,75.42,75.85,76.14,76.68,77.44,78.01,78.63,78.89,79.47,79.87,80.44,81.53,82.24,82.51,83.15,84.24,84.95,86.92,89.58,90.41,90.28,91.01,91.64,92.29,92.95,93.8,94.02,94.03,94.49,94.46,94.87,94.81,95.29,96.18,96.56,97.08,98.15,98.26,98.43,99.41,99.49,100.14,100.88,100.74,101.65,101.53,101.72,101.23,101.35,101.34,101.54,101.28,101.82,102.01,102.14,103.13,103.9,104.42,104.31,103.7,103.13,102.97,101.87,101.87,103.02,103.95,104.15,105.41,105.17
"79",NA,"Imports of goods and services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","57","  Current dollars","A021RT",0.78,0.85,0.8,0.87,1,1.04,1.09,1.05,1,0.97,0.93,0.94,0.99,1.06,1.35,1.42,1.54,1.58,1.49,1.45,1.55,1.52,1.58,1.7,1.64,1.71,1.69,1.61,1.53,1.68,1.59,1.61,1.68,1.78,1.81,1.88,1.96,1.97,2,1.93,2.09,2.1,2.05,2.04,2.02,2.08,2.05,2.16,2.22,2.34,2.37,2.34,2.42,2.44,2.38,2.26,2.25,2.27,2.42,2.48,2.52,2.58,2.61,2.65,2.61,2.69,2.77,2.78,2.8,2.88,2.95,3.04,2.95,3.29,3.33,3.52,3.63,3.76,3.96,4.03,4.09,4.05,4.11,4.32,4.61,4.72,5.01,5,4.55,5.47,5.44,5.52,5.56,5.73,5.86,6.01,6.09,6.57,6.8,6.43,7.49,7.41,7.69,8.22,8.86,9.29,9.46,10.24,11.45,13.43,13.87,14.18,12.97,11.97,12.67,13.37,14.43,15.27,16.18,16.89,18.32,19,18.99,19.46,21.11,21.68,22.33,23.03,23.86,25.24,26.72,29.12,31.6,30.38,28.99,31.07,33.2,33.43,32.18,33.17,32.13,31.06,32.11,30.61,30.66,33.01,35.65,37.17,40.28,42.21,42.53,43.23,41.25,43.46,43,45.57,45.59,46.03,47.62,48.56,49.51,52.07,53.62,55.72,56.27,56.62,57.32,59.54,59.83,61.67,61.16,62.26,63.94,63.89,65.83,67.4,63.38,63.87,64.84,66.35,66.17,68.58,69.94,71.34,71.94,74.54,74.58,77.34,78.4,82.93,86.72,89.25,91.6,94.64,94.3,94.41,96.47,99.1,101.35,103.08,105.6,108.16,111.85,112.86,113.87,115.68,115.46,118.76,119.99,125.84,132.01,136.84,143.96,150.67,157.38,157.1,152.91,147.99,136.89,136.6,138.87,149.9,152.78,155.88,157.72,159.14
"81","58","  Chain-type quantity index","B021RA",5,5.09,4.51,4.76,5.37,5.58,5.87,5.78,5.59,5.52,5.3,5.39,5.52,5.83,7.2,7.21,7.22,6.97,6.37,6.2,6.94,6.9,7.32,7.97,7.79,8.18,8.15,7.74,7.29,7.95,7.49,7.57,7.98,8.44,8.6,8.92,9.26,9.22,9.31,8.91,9.59,9.67,9.48,9.5,9.62,10.02,9.92,10.5,10.63,11.21,11.36,11.07,11.47,11.54,11.19,10.66,10.61,10.75,11.46,11.73,12.09,12.35,12.51,12.66,12.37,12.66,12.98,12.94,12.93,13.22,13.57,13.94,13.44,15.02,15.09,15.82,16.23,16.63,17.57,17.76,18.02,17.9,18.14,19.1,20.22,20.52,21.76,21.57,19.54,23.39,23.09,22.83,22.76,23.21,23.16,23.52,23.24,24.99,25.55,23.81,27.29,26.31,26.86,28.07,29.37,28.52,27.73,27.94,26.99,28.43,27.93,27.65,24.88,22.88,24.79,26.11,27.75,28.95,30.13,31.13,32.6,32.89,32.43,32.89,35.1,35.21,35.67,36.17,36.06,36.26,35.71,36.48,36.52,33.86,31.42,33.11,34.52,34.58,34.19,35.17,34.17,33.6,35.16,33.78,34.56,37.21,40.11,42.08,45.46,47.37,48.59,50.02,48.91,51.31,50.81,52.78,52.67,54.9,56.44,56.91,56.58,58.03,59.17,60.53,60.25,59.52,60.85,62.61,61.85,63.02,63.57,64.39,65.22,66.38,66.49,64.48,62.58,64.78,66.53,67.35,67.55,69.58,69.86,71.58,73.28,75.39,76.12,79.14,80.66,84.23,86.66,88.75,90.65,92.04,92.32,93.21,95.64,98.68,102.05,103.63,107.39,112.11,116.68,118.49,122.95,126.27,127.59,131.32,134.01,138.89,143.67,146.93,152.07,158.7,163.91,163.23,159.93,157.15,152.32,150.26,153.37,161.24,162.56,165.48,162.84,165.97
"82","59","  Chain-type price index","B021RG",15.58,16.69,17.6,18.21,18.62,18.68,18.49,18.19,17.83,17.62,17.52,17.55,17.95,18.3,18.88,19.77,21.38,22.55,23.24,23.35,22.37,21.99,21.61,21.27,21.05,20.87,20.79,20.8,21.06,21.15,21.21,21.21,21.05,21.03,21.03,21.08,21.23,21.36,21.48,21.61,21.76,21.76,21.65,21.47,21.01,20.8,20.66,20.58,20.91,20.88,20.91,21.1,21.08,21.11,21.23,21.17,21.19,21.16,21.13,21.12,20.88,20.92,20.84,20.95,21.14,21.23,21.36,21.48,21.67,21.78,21.75,21.82,21.99,21.9,22.05,22.28,22.39,22.63,22.56,22.7,22.72,22.63,22.63,22.65,22.81,22.98,23.03,23.19,23.29,23.39,23.56,24.17,24.42,24.7,25.31,25.56,26.2,26.29,26.62,27.01,27.47,28.19,28.65,29.29,30.16,32.53,34.06,36.6,42.41,47.28,49.73,51.36,52.13,52.27,51.1,51.17,52.02,52.8,53.75,54.31,56.21,57.78,58.55,59.15,60.15,61.6,62.61,63.7,66.18,69.62,74.84,79.84,86.47,89.61,92.09,93.64,96.11,96.67,94.15,94.36,94.05,92.42,91.32,90.62,88.71,88.71,88.88,88.31,88.58,89.07,87.49,86.41,84.36,84.72,84.66,86.34,86.52,83.82,84.36,85.33,87.54,89.77,90.67,92.1,93.41,95.14,94.19,95.1,96.74,97.86,96.2,96.67,98.02,96.22,98.98,104.49,101.24,98.55,97.44,98.49,97.96,98.59,100.13,99.67,98.16,98.86,97.98,97.74,97.24,98.51,100.12,100.6,101.05,102.84,102.15,101.28,100.87,100.42,99.28,99.43,98.28,96.43,95.82,95.21,92.58,91.58,90.48,90.43,89.57,90.65,91.94,93.19,94.69,94.96,96.03,96.26,95.66,94.22,89.93,90.97,90.61,93.03,94.05,94.27,96.92,95.95
"83","60","  Implicit price deflator","A021RD",15.62,16.73,17.63,18.22,18.61,18.68,18.5,18.2,17.84,17.62,17.51,17.53,17.89,18.22,18.8,19.7,21.39,22.6,23.31,23.42,22.39,22.01,21.63,21.3,21.05,20.87,20.78,20.79,21.06,21.14,21.21,21.21,21.05,21.02,21.04,21.08,21.23,21.36,21.48,21.6,21.76,21.76,21.65,21.47,21.01,20.8,20.67,20.59,20.91,20.88,20.91,21.1,21.08,21.11,21.23,21.17,21.19,21.16,21.13,21.12,20.88,20.92,20.84,20.95,21.14,21.23,21.36,21.48,21.67,21.78,21.75,21.81,21.99,21.89,22.04,22.28,22.39,22.62,22.56,22.7,22.73,22.63,22.63,22.64,22.8,22.98,23.02,23.19,23.28,23.38,23.55,24.16,24.41,24.7,25.3,25.56,26.2,26.29,26.62,27.01,27.46,28.18,28.64,29.29,30.18,32.57,34.12,36.66,42.44,47.26,49.67,51.28,52.12,52.29,51.13,51.19,51.99,52.77,53.71,54.27,56.2,57.78,58.55,59.16,60.14,61.59,62.6,63.68,66.17,69.61,74.82,79.83,86.52,89.72,92.26,93.82,96.17,96.68,94.12,94.32,94.05,92.42,91.33,90.63,88.71,88.71,88.88,88.32,88.61,89.11,87.52,86.43,84.34,84.69,84.64,86.34,86.55,83.84,84.37,85.33,87.51,89.73,90.63,92.05,93.39,95.14,94.2,95.1,96.74,97.86,96.2,96.68,98.04,96.25,99.01,104.53,101.28,98.59,97.47,98.5,97.95,98.57,100.11,99.66,98.17,98.87,97.98,97.73,97.19,98.46,100.06,100.56,101.04,102.83,102.15,101.28,100.87,100.43,99.31,99.47,98.33,96.47,95.87,95.24,92.61,91.61,90.49,90.43,89.54,90.6,91.88,93.13,94.67,94.94,96.02,96.24,95.61,94.17,89.87,90.91,90.55,92.97,93.98,94.2,96.85,95.88
"84",NA,"  Imports of goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","61","    Current dollars","A255RT",0.69,0.78,0.72,0.76,0.91,0.95,0.95,0.93,0.89,0.85,0.82,0.85,0.89,0.97,1.29,1.34,1.46,1.49,1.34,1.25,1.32,1.31,1.33,1.4,1.36,1.42,1.38,1.27,1.23,1.37,1.26,1.26,1.37,1.39,1.4,1.54,1.61,1.57,1.56,1.59,1.63,1.65,1.62,1.68,1.56,1.57,1.58,1.7,1.79,1.92,1.95,1.91,1.94,1.97,1.86,1.76,1.74,1.76,1.95,2,2.03,2.09,2.11,2.11,2.09,2.17,2.25,2.25,2.27,2.36,2.44,2.53,2.42,2.78,2.82,2.99,3.07,3.17,3.36,3.43,3.43,3.31,3.34,3.65,3.97,4.1,4.38,4.34,3.81,4.84,4.77,4.8,4.87,4.96,5.09,5.3,5.37,5.87,6.14,5.66,6.82,6.69,7.09,7.58,8.22,8.66,8.92,9.74,10.99,13.16,13.68,13.89,12.49,11.41,12.22,12.87,14.05,15.01,15.95,16.67,18.26,18.95,18.95,19.37,21.07,21.67,22.19,22.86,23.77,25.25,26.82,29.46,32.12,30.74,28.97,31.18,33.42,33.62,32.23,33.25,31.87,30.41,31.82,29.88,30,32.51,35.36,37.06,39.89,41.8,42.04,42.68,40.25,42.61,42.13,44.89,44.25,45.17,46.36,47.31,48.19,50.61,52.3,54.15,54.62,55.13,55.81,58.17,58.52,60.65,59.76,60.81,61.9,61.53,63.26,64.68,60.4,61.05,62.42,63.9,63.93,66.93,68.93,69.82,70.62,73.39,73.33,76.01,76.95,82.22,86.37,89.32,91.59,94.87,94.25,94.2,96.32,99.2,101.27,103.21,105.44,108.18,111.73,112.61,113.25,114.86,114.21,117.87,119.94,126.31,132.9,138.12,145.03,152.37,159.05,158.67,153.41,147.2,141.1,135.87,136.36,148.81,151.04,153.71,155.4,157.51
