"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"54","43","  National defense","B824RG",13.84,13.79,12.76,12.76,13.05,13.18,13.45,13.54,13.88,13.81,13.66,13.82,13.77,13.63,13.83,14.05,14.62,14.3,14.35,14.56,14.07,14.31,14.42,14.68,14.45,14.48,14.41,14.52,14.77,14.74,14.93,15.09,15.26,15.71,15.92,16.13,16.39,16.68,16.74,16.78,17.25,17.3,17.43,17.6,17.81,17.96,18.19,18.28,17.93,17.8,17.62,17.68,17.64,17.71,17.92,18.17,18.02,18.09,18.03,18.14,18.29,18.37,18.5,18.61,18.84,18.85,18.7,19.2,19.3,19.31,19.6,19.58,19.68,19.81,20.03,20.53,20.41,20.39,20.95,20.91,20.88,21.13,21.4,21.83,22.03,22.31,22.68,22.99,23,23.41,24.07,24.42,24.96,25.18,25.63,25.96,26.86,27.4,27.89,28.62,29.97,30.21,30.72,31.53,31.96,32.51,33.32,33.82,34.42,35.03,36.28,37.56,38.3,38.72,39.42,40.5,41.05,41.54,42.26,43.25,44.24,44.75,45.02,46.59,47.27,47.76,48.51,49.63,50.4,51.34,52.44,54.59,55.62,57.15,58,60.97,61.92,63,63.75,66.16,67.31,68.11,68.69,69.63,70.03,70.63,71.21,71.6,75.22,75.74,76.15,76.69,77.17,77.07,76.99,77.74,77.39,77.3,77.16,77.23,77.9,77.96,78.12,78.07,79.05,79.65,79.85,80.06,81.61,81.77,82.25,82.02,83.41,83.93,84.71,86.23,86.94,87.13,87.94,88.81,90.08,90.85,91.44,90.64,91.71,92.22,92.77,93.1,93.59,94.49,94.59,95.25,95.98,96.41,97.07,98.06,99.93,99.52,100.06,100.49,101.38,101.33,101.23,101.71,101.92,101.98,102.37,102.59,103.78,104.16,104.67,105.18,107.09,107.27,107.8,107.96,109.03,109.34,109.51,109.21,111.14,111.71,112.12,112.46,114.98,115.18
"55","44","    Consumption expenditures","B997RG",12.41,12.37,11.37,11.35,11.62,11.73,11.94,12.01,12.32,12.3,12.16,12.32,12.25,12.1,12.29,12.41,12.94,12.55,12.57,12.74,12.22,12.53,12.63,12.93,12.71,12.77,12.69,12.87,13.12,13.09,13.24,13.35,13.6,14.07,14.25,14.42,14.56,14.83,14.83,14.85,15.28,15.32,15.42,15.57,15.84,16.02,16.2,16.27,15.9,15.78,15.56,15.62,15.61,15.7,15.88,16.17,16.04,16.1,16.02,16.09,16.27,16.35,16.42,16.49,16.77,16.76,16.6,17.15,17.27,17.27,17.58,17.56,17.7,17.81,18.05,18.57,18.46,18.36,18.99,18.9,18.85,19.08,19.34,19.78,19.93,20.2,20.56,20.83,20.82,21.18,21.86,22.18,22.69,22.86,23.29,23.58,24.47,24.97,25.44,26.13,27.45,27.67,28.13,28.9,29.36,29.87,30.61,31.16,31.72,32.3,33.5,34.79,35.49,35.85,36.55,37.59,38.05,38.48,39.11,40.1,40.95,41.39,41.7,43.23,43.74,44.18,44.87,46.05,46.79,47.66,48.73,51,52.03,53.44,54.29,57.33,58.16,59.16,59.78,62.28,63.33,64,64.5,65.57,65.93,66.58,66.97,67.4,71.47,72.02,72.52,72.69,73.55,73.77,73.71,74.81,74.73,74.67,74.7,75.1,75.89,76.21,76.57,76.58,77.66,78.35,78.57,78.7,80.41,80.51,80.99,80.85,82.33,82.93,83.66,85.29,86.06,86.23,87.15,88.16,89.74,90.52,91.23,90.14,91.29,91.79,92.27,92.59,93.14,93.89,94.07,94.69,95.48,95.84,96.59,97.54,99.3,99.64,100.28,100.79,101.81,101.77,101.75,102.32,102.71,102.79,103.31,103.7,104.88,105.32,105.93,106.49,108.76,108.98,109.58,109.79,111.16,111.52,111.76,111.55,113.89,114.56,115.04,115.37,118.33,118.56
"56","45","      Durable goods \2\","B998RG",16.89,17.12,17.52,17.68,18.17,18.29,19.1,19.38,19.46,18.82,18.7,18.8,19.2,19.4,19.74,21.13,20.96,21.1,21.13,21.24,21.25,21.34,21.59,21.85,21.8,21.93,21.81,21.99,21.93,22.22,22.93,23.41,22.94,23.12,23.6,24.33,24.78,25.17,25.27,25.52,26.24,26.36,26.65,27.08,26.99,26.84,27.09,27.3,27.44,27.54,27.58,27.7,27.66,27.66,27.67,27.68,27.67,27.79,27.85,27.97,28.05,28.26,28.3,28.76,28.98,29.22,28.87,28.88,28.84,28.92,28.79,28.92,29.36,29.65,29.28,29.49,29.21,29.15,29.39,29.6,29.84,29.84,30.16,29.89,30.89,31.1,31.43,31.68,31.88,32.09,32.31,32.88,33.13,33.78,34.19,35.02,35.72,35.97,36.27,35.88,35.52,35.05,34.72,34.9,36.19,36.7,36.96,36.34,37.74,38.2,39.19,41,42.58,41.61,42.23,44.74,44,44.48,46.8,45.1,47.43,46.64,47.64,48.92,49.52,50.47,51.74,52.49,54.1,56.67,58.65,60.11,60.94,62.23,63.03,65.14,67.08,67.99,70.08,72.41,74.01,74.74,75.2,77.29,79.52,81.69,82.1,83.85,85.46,86.15,86.49,87.74,84.28,87.61,88.12,87.36,87.48,90.12,88.59,89.71,89.53,89.14,89.01,88.39,88.32,88.61,88.92,87.73,89.19,89.33,89.84,90.89,91.4,91.72,92.14,94.02,94.31,94.44,94.64,95.48,96.43,96.91,97.08,97.56,98,98.59,98.82,98.74,99.27,99.01,99.59,99.18,99.41,99.51,99.65,100.12,100.18,100.15,99.7,99.96,100.22,99.92,99.62,99.04,99.1,98.95,98.61,98.68,98.84,98.68,98.55,98.94,99.36,99.31,99.43,99.35,99.38,99.48,99.29,99.31,99.52,99.72,99.65,99.81,100.23,100.33
"57","46","      Nondurable goods","B725RG",12.12,13.34,13.99,14.93,16.25,16.33,16.66,16.49,15.9,15.03,14.76,14.73,14.62,14.94,15.9,16.75,15.6,15.65,15.59,15.57,14.28,14.21,14.21,14.22,13.79,13.6,13.54,13.6,15.8,15.84,15.75,16.02,17.6,17.71,17.97,18.34,18.73,18.88,18.79,18.79,19.78,19.75,19.35,19.06,18.68,18.23,18.53,18.46,18.83,18.63,18.53,18.45,18.62,18.81,18.85,18.88,18.77,18.61,18.53,18.51,18.55,18.49,18.54,18.46,18.16,18.06,18.13,18,18.01,17.93,18.08,17.99,18.28,18.34,18.41,18.42,18.63,18.74,19.19,18.93,18.92,18.95,18.99,19.05,19.04,19.11,19.17,19.24,19.39,19.45,19.53,19.57,19.65,19.72,19.76,19.73,19.83,19.97,20.12,20.23,21,21.46,21.67,22.07,23.54,24.45,27.81,29.16,31.9,33.4,38.66,43.98,42.96,41.87,45.04,44.33,46.53,46.65,47.37,47.61,49.62,50.51,51.16,52.59,53.1,53.74,54.41,55.51,58.28,61.77,69.63,80.46,89.01,101.37,101.16,101.29,104.28,111.34,111.37,109.49,107.86,106.87,105.91,105.86,103.28,100.49,100.8,100.64,98.97,99.06,98.9,97.68,95.19,95.27,95.07,97.21,90.26,75.95,72.31,71.38,73.81,78.21,81.59,82.87,81.66,84.19,87.36,84.73,88.29,89.95,88.59,91.34,95.63,93.72,101.27,120.69,106.19,95.06,95.59,97.15,90.46,92.1,96.8,95.01,90.61,93.19,90.26,89.98,86.18,88.64,90.57,92.08,89.28,91.21,91.33,93.69,96.77,98.66,99.78,104.79,102.74,96.84,94.75,96.48,89.55,87.55,85.61,85.29,82.51,87.96,94.17,100.25,106.53,105.52,112.12,118.76,110.28,108.19,106.74,99.09,94.31,99.84,103.19,105.4,113.37,107.49
"58","47","      Services","B489RG",11.84,11.78,10.77,10.72,10.95,11.05,11.23,11.3,11.64,11.68,11.54,11.71,11.63,11.45,11.6,11.59,12.27,11.78,11.8,12,11.44,11.83,11.92,12.27,12.04,12.13,12.04,12.24,12.33,12.25,12.34,12.39,12.65,13.19,13.34,13.44,13.54,13.81,13.79,13.79,14.18,14.22,14.32,14.46,14.81,15.05,15.22,15.28,14.81,14.67,14.43,14.49,14.47,14.56,14.76,15.09,14.94,15.02,14.92,14.99,15.19,15.28,15.34,15.41,15.73,15.71,15.54,16.17,16.31,16.3,16.65,16.62,16.73,16.84,17.12,17.7,17.58,17.46,18.14,18.04,17.96,18.23,18.52,19.06,19.15,19.47,19.87,20.18,20.12,20.54,21.33,21.66,22.24,22.38,22.85,23.13,24.11,24.66,25.15,25.96,27.41,27.66,28.2,29.04,29.36,29.82,30.41,30.97,31.34,31.88,32.83,33.86,34.61,35.14,35.72,36.76,37.2,37.64,38.17,39.34,40.04,40.56,40.81,42.35,42.86,43.25,43.89,45.11,45.69,46.31,47.03,49.02,49.75,50.69,51.59,54.84,55.49,56.23,56.74,59.46,60.57,61.31,61.88,62.9,63.18,63.8,64.21,64.52,69.1,69.66,70.19,70.3,71.78,71.64,71.51,72.78,72.89,73.13,73.5,73.86,74.69,74.94,75.23,75.27,76.58,77.24,77.35,77.73,79.4,79.44,79.98,79.62,81.11,81.81,82.34,83.35,84.69,85.24,86.24,87.25,89.16,89.95,90.58,89.37,90.76,91.18,91.81,92.18,92.85,93.63,93.73,94.41,95.34,95.68,96.49,97.45,99.29,99.62,100.34,100.75,101.91,102.05,102.11,102.74,103.36,103.53,104.2,104.65,106.04,106.38,106.86,107.23,109.51,109.81,110.24,110.26,112.07,112.54,112.89,112.95,115.74,116.26,116.67,116.95,119.94,120.38
"59","48","        Compensation of general government employees, except own-account investment \3\","B395RG",8.38,8.32,6.49,6.34,6.65,6.76,6.76,6.84,7.07,7.23,7.16,7.38,7.24,6.91,7.03,6.73,7.02,6.74,6.69,6.79,6.93,7.04,7.09,7.16,7.12,7.19,7.14,7.24,7.27,7.4,7.37,7.42,7.54,8.03,8.09,8.09,8.16,8.36,8.41,8.38,8.51,8.59,8.67,8.79,9.18,9.4,9.61,9.64,9.85,9.89,9.9,9.9,9.97,9.94,10.23,10.3,10.27,10.28,10.25,10.25,10.33,10.37,10.41,10.66,10.85,10.84,10.85,11.46,11.63,11.71,11.9,12.02,12.08,12.1,12.38,12.89,12.97,13.01,13.21,13.12,13,13.22,13.33,14.01,14.13,14.29,14.94,15.06,15.07,15.1,16.15,16.24,17.38,17.68,17.9,18.17,19.38,19.82,20.15,20.98,22.66,22.86,22.91,23.89,24.17,24.47,24.96,25.86,26.08,26.34,26.91,28.17,28.86,29.2,29.63,30.87,31.02,31.38,31.63,32.8,33.37,33.72,33.89,35.6,35.63,35.89,36.2,37.74,38.21,38.69,39.1,41.3,41.8,42.33,42.84,46.87,47.25,47.72,47.78,51.11,51.59,52.24,52.47,54,54.11,54.81,54.91,55.12,61.97,62.59,63.3,63.44,65.95,66.02,65.54,67.12,67.43,67.65,67.79,68.32,69.59,69.95,69.96,70.02,71.83,72.78,73.12,72.91,75.47,75.74,75.83,74.67,76.76,77.49,77.55,78.32,80.52,81.23,82.52,83.75,87.5,88.73,88.91,86.3,88.87,88.95,89.2,89.45,90.96,91.62,91.16,91.54,92.82,92.89,94.06,95.57,99.31,99.59,100.23,100.87,103.22,103.32,103.16,103.68,104.98,105.12,105.79,106.52,109.5,109.98,110.18,110.48,114.65,114.67,114.94,114.72,118.05,118.67,118.91,118.68,124.71,125.19,125.33,125.13,131.58,131.72
"60","49","        Consumption of general government fixed capital \4\","B432RG",16.85,16.86,17.42,17.78,17.82,17.93,18.37,18.58,18.89,18.53,18.28,18.26,18.22,18.15,18.5,19.36,19.74,19.78,19.96,20.29,20.15,20.2,20.43,20.54,20.42,20.7,20.36,20.48,20.55,20.88,21.01,21.41,21.4,21.39,21.75,22.16,22.69,22.96,23.22,23.51,24.07,24.24,24.55,24.76,24.36,24.43,24.78,25.02,25,24.99,25.08,25.12,25.14,25.14,25.21,25.19,25.19,25.2,25.26,25.38,25.52,25.43,25.87,26.24,26.29,26.45,26.36,26.3,26.27,26.31,26.29,26.36,26.42,26.56,26.75,26.82,26.83,27.11,27.28,27.49,27.53,27.78,28.05,28.33,28.65,28.71,29.05,29.37,29.67,30.05,30.29,30.63,31.05,31.5,31.96,32.45,33.07,33.59,33.92,34.3,36.27,36.43,39.07,39.75,39.89,40.68,41.34,41.3,41.95,42.47,43.96,44.26,44.85,45.61,46.78,47.45,48.62,49.49,50.5,51.35,52.55,53.32,53.27,54.64,56.34,56.92,58,58.12,58.48,59.64,60.79,61.89,62.33,64.77,65.82,67.13,68.94,70.49,71.81,73.16,77.34,78.67,80.01,79.98,80.29,80.69,82.52,83.12,84.83,85.06,84.57,85.06,84.37,82.71,82.91,83.51,82.78,83.17,83.06,82.57,82.9,82.02,81.65,81.47,82.07,82.53,82.89,83.55,84.24,84.48,84.9,85.51,86.11,86.3,86.89,88.01,88.78,89.2,89.93,90.2,90,90.57,90.77,91.51,92.59,93.29,94.4,94.89,95.47,96.54,96.69,98.11,98.96,99.4,99.5,99.91,99.96,99.85,100.14,100.05,100.1,100.13,100.01,100.33,99.86,99.64,99.85,99.67,99.68,99.82,100.28,100.74,101.46,101.68,101.95,101.89,101.71,101.91,101.84,101.89,102.3,102.37,102.6,103.25,103.35,103.41
"61","50","        Other services","B726RG",17.8,16.78,19.33,18.47,18.61,18.41,19.89,18.96,20.53,20.44,20.28,19.9,20.9,22.95,21.96,23.72,28.62,25.52,25.92,26.54,20.11,22.77,22.97,25.33,23.72,23.49,23.76,24.69,25.23,22.32,23.5,22.72,24.51,25.45,25.84,26.18,25.71,26.14,25.23,25.02,26.56,26.22,26.11,26.25,27,27.44,27.07,27.08,22.43,21.25,19.48,19.81,19.5,20.17,20.07,21.78,21,21.36,20.87,21.21,21.87,22.3,22.08,21.11,22.13,21.9,21.06,22.25,22.39,22.02,23.3,22.49,22.86,23.27,23.62,24.85,23.77,22.72,25.57,25.19,25.19,25.64,26.46,26.61,26.4,27.39,26.86,27.79,27.23,29.08,29.05,30.18,28.65,27.9,29.19,29.28,29.48,30.36,31.52,32.43,32.41,32.86,33.24,33.48,34.1,34.83,35.64,35.37,35.99,37.44,39.15,39.77,40.77,41.76,42.27,42.61,43.46,43.75,44.79,45.98,46.64,47.46,48.22,49.02,50.15,50.8,52.2,52.93,54.03,54.62,55.99,57.57,59.24,60.24,62.21,63.98,64.53,65.43,66.71,68.22,68.97,69.53,70.48,70.77,71.44,71.97,72.26,72.6,73.19,73.72,74.45,74.24,74.61,74.92,75.35,76.32,76.49,76.69,77.76,78.29,78.54,79.2,80.43,80.54,81.33,81.59,81.09,82.41,83.02,82.49,83.96,84.45,85.41,86.38,87.74,89.12,89.21,89.55,90.18,91.29,91.24,91.34,93.19,93.07,92.46,93.36,94.31,94.82,93.98,94.76,95.83,96.46,96.82,97.54,98.3,98.73,98.71,99.48,100.68,101.13,101.18,101.5,102.04,103.11,103.5,104.04,105.09,105.58,105.59,105.85,106.79,107.16,107.84,108.62,109.39,109.83,110.96,111.4,112.19,112.61,113.04,113.84,114.66,115.25,116.24,117.13
"62","51","    Gross investment","B788RG",22.32,21.93,22.92,23.29,23.31,23.66,24.56,24.71,25.35,24.71,24.49,24.54,24.74,24.75,25,26.46,27.21,27.6,27.81,28.25,27.9,27.7,27.89,27.97,27.62,27.48,27.42,27.19,27.41,27.4,27.92,28.43,28.01,28.43,28.81,29.33,30.46,30.89,31.48,31.66,32.44,32.54,32.98,33.28,32.89,32.87,33.49,33.77,33.52,33.38,33.43,33.49,33.28,33.22,33.62,33.54,33.36,33.45,33.54,33.98,33.89,33.98,34.51,34.95,34.79,35,34.89,34.93,34.85,34.97,35.04,35.11,34.79,34.99,35.06,35.15,35.04,35.72,35.64,36.03,36.17,36.51,36.85,37.13,37.83,38.13,38.43,39.01,39.31,40.2,40.37,40.87,41.56,42.19,42.79,43.43,43.96,44.69,45.3,46.02,47.17,47.53,48.44,49.38,49.21,50.07,51.26,50.9,51.78,52.43,53.83,54.5,55.43,56.33,56.94,58.01,59.35,60.21,61.62,62.43,64.54,65.59,65.34,66.84,69.11,69.93,71.02,71.28,72.17,73.62,74.79,75.54,76.3,78.63,79.17,80.96,82.89,84.46,86.12,87.54,89.3,90.98,92.04,91.94,92.62,92.87,94.63,94.72,95.11,95.37,95.22,98.02,96.08,94.2,94.05,92.91,91.17,90.92,89.94,88.42,88.46,87.2,86.39,86,86.51,86.59,86.66,87.32,88.05,88.49,89.03,88.26,89.22,89.35,90.4,91.34,91.79,92,92.26,92.35,92.01,92.72,92.72,93.46,94.08,94.67,95.56,95.99,96.15,97.93,97.57,98.46,98.81,99.65,99.76,100.97,103.39,98.93,98.9,98.78,98.88,98.77,98.25,98.13,97.35,97.23,96.89,96.18,97.44,97.48,97.42,97.63,97.6,97.53,97.73,97.64,97.01,97.1,96.88,96.11,95.88,95.89,95.95,96.31,96.48,96.49
"63","52","      Structures","B808RG",7.49,9.37,10.98,10.79,9.89,10.09,10.1,9.93,10.36,10.35,10.07,9.95,9.76,9.41,9.59,10.06,11.01,11.25,11.63,11.79,11.63,11.73,11.86,11.86,11.81,11.77,11.69,11.61,11.4,11.46,11.24,11.42,11.35,11.39,11.66,11.64,11.86,12.3,12.63,12.77,12.8,13.05,13.12,13.05,13.05,13.29,13.49,13.67,13.56,13.47,13.39,13.35,13.26,13.2,13.61,13.57,13.05,13.35,13.04,13.76,13.42,13.29,13.95,13.66,13.61,13.75,13.86,13.59,13.84,13.9,13.94,13.96,13.78,14.28,13.85,13.78,14.2,14.7,14.75,14.67,14.64,14.69,15.04,15.65,15.87,15.72,16.03,16.55,17.41,18.14,17.98,18.23,18.69,19.25,19.43,20.18,20.73,21.22,21.28,21.96,21.83,22.15,23.48,24.67,26.03,27.2,28.09,28.69,29.21,29.97,31.49,32.97,34.01,33.91,33.97,34.27,34.16,34.41,35.92,37.34,38.29,39.41,38.8,38.95,39.11,40.29,41.26,41.13,44.95,47.22,49.76,50.43,50.28,51.28,53.23,54.82,55.05,55.52,55.7,56.37,57.15,58.37,58.62,58.59,58.08,57.93,59.59,60.2,63.1,62.65,62.46,64.18,64.74,65.33,65.21,64.85,64.91,64.63,64.71,66.38,67.1,67.71,69.57,68.76,68.59,69.53,71.46,74.68,74.55,75.58,77.02,78.59,78.25,78.44,79.02,79.39,79.85,80.36,82.74,81.68,81.58,82.15,82.79,84.93,86.46,86.85,90.63,91,91.49,92.16,93.68,95.07,95.89,96.9,97.68,98.41,98.85,99.42,100.58,101.16,101.93,102.89,103.71,104.82,105.02,105.43,106.57,107.64,108.33,109.75,110.76,111.85,113.1,114.36,115.25,116.51,117.73,118.4,119.09,119.97,120.94,121.56,121.89,122.47,123.96,123.23
"64","53","      Equipment and software","B873RG",24.83,25.37,25.82,26.23,26.59,26.77,27.88,28.14,28.88,28.07,27.89,28.02,28.36,28.59,28.86,30.64,30.95,31.36,31.39,31.92,31.51,31.13,31.3,31.42,30.94,30.78,30.74,30.48,30.96,30.9,31.83,32.43,31.88,32.45,32.8,33.56,35.02,35.32,35.92,36.08,37.19,37.12,37.71,38.2,37.63,37.42,38.15,38.42,38.16,38.02,38.15,38.26,38.03,37.98,38.27,38.19,38.27,38.19,38.49,38.7,38.75,38.95,39.36,40.05,39.87,40.09,39.9,40.05,39.85,39.99,40.06,40.14,39.79,39.87,40.13,40.27,39.98,40.68,40.55,41.07,41.25,41.67,42,42.19,43,43.41,43.71,44.28,44.4,45.28,45.57,46.12,46.84,47.48,48.17,48.74,49.2,49.94,50.75,51.3,52.97,53.3,53.9,54.59,53.76,54.4,55.59,54.81,55.75,56.28,57.51,57.86,58.69,59.85,60.6,61.84,63.56,64.56,65.87,66.46,68.8,69.76,69.63,71.45,74.24,74.89,75.96,76.31,76.39,77.59,78.45,79.21,80.14,82.73,82.89,84.68,86.96,88.75,90.68,92.22,94.15,95.89,97.09,96.97,97.9,98.22,99.96,99.95,99.85,100.24,100.1,103.04,100.67,98.38,98.23,96.97,94.92,94.68,93.52,91.49,91.4,89.82,88.57,88.25,88.88,88.8,88.55,88.8,89.66,90.03,90.45,89.38,90.52,90.64,91.74,92.74,93.19,93.37,93.43,93.63,93.26,93.99,93.92,94.52,95.05,95.66,96.23,96.67,96.78,98.7,98.1,98.93,99.21,100.02,100.05,101.33,104.03,98.86,98.67,98.44,98.46,98.21,97.53,97.26,96.36,96.18,95.67,94.78,96.1,95.99,95.82,95.95,95.81,95.61,95.74,95.53,94.74,94.78,94.48,93.58,93.26,93.23,93.27,93.61,93.68,93.74
"65","54","  Nondefense","B825RG",12.3,11.83,13.52,13.28,12.58,12.32,12.36,12.15,13.3,13.41,12.84,13.51,13.51,13.36,12.99,12.36,14.34,13.71,13.63,13.58,14.23,14.48,14.66,14.84,14.94,14.92,14.85,14.99,14.78,14.95,14.92,15.01,15.52,15.75,15.46,15.5,15.52,15.81,16.13,15.97,16.11,16.42,16.48,16.83,17.31,17.9,17.48,17.77,17.74,17.72,17.54,17.55,17.6,17.61,18.12,18.26,18.52,18.39,18.47,18.52,18.92,18.91,18.94,19.42,19.39,19.43,19.48,19.74,20.09,20.36,20.68,20.69,20.78,20.67,20.8,21.14,21.41,21.48,21.69,21.89,21.93,22.13,22.29,22.51,23.12,23.42,23.88,24.28,24.29,24.49,25.21,25.54,26.79,27.31,27.59,27.74,28.75,29.45,29.83,30.2,30.73,30.98,31.21,31.74,32.42,32.66,32.93,33.77,33.97,34.98,35.75,37.3,38.4,39.14,39.82,40.93,41.02,41.31,41.93,43.27,44.48,45.17,45.49,46.63,46.79,47.18,47.73,49.03,49.57,50.24,51.04,53.17,54.07,55,56.11,58.88,60.06,60.64,61.15,63.03,63.94,64.55,65.09,66.63,67.14,67.38,67.81,67.58,68.32,69.04,69.66,69.98,71.09,71.54,71.22,71.97,72.38,72.94,73.31,73.61,74.07,74.45,74.73,75.06,76.23,77.08,77.17,76.89,78.41,79.06,79.48,80.1,80.61,81.83,81.91,83.5,85.81,86.05,86.28,86.12,86.77,87.26,87.87,88.96,90.23,90.83,92.26,93,93.69,94.9,94.44,95.15,96.57,96.74,97.21,101.06,100.97,99.31,99.66,100.06,101.51,102.14,102,102.58,102.59,103.29,103.57,104.22,105.43,106.09,106.7,106.94,109.34,109.52,109.77,109.58,111.07,111.68,111.8,111.99,114.79,115.61,115.89,115.53,118.54,118.85
"66","55","    Consumption expenditures","B542RG",11.29,10.65,12,11.91,11.19,10.9,10.83,10.64,11.76,11.84,11.62,12.11,12.22,12.12,11.66,10.68,12.92,12.17,11.96,12.07,12.7,12.87,12.99,13.21,13.3,13.36,13.22,13.42,13.2,13.45,13.38,13.51,14.05,14.27,13.95,13.98,13.97,14.22,14.51,14.33,14.48,14.71,14.71,15.07,15.75,16.35,15.86,16.17,16.11,16.07,15.88,15.9,15.94,15.93,16.48,16.63,16.97,16.81,16.87,16.9,17.33,17.29,17.32,17.85,17.79,17.8,17.88,18.06,18.42,18.6,19.02,19.08,19.24,19.18,19.33,19.72,20.01,20,20.24,20.4,20.37,20.56,20.69,20.93,21.52,21.79,22.28,22.68,22.67,22.82,23.52,23.8,25.03,25.51,25.72,25.81,26.83,27.54,27.91,28.22,28.77,29.01,29.21,29.74,30.41,30.61,30.83,31.64,31.76,32.69,33.32,34.74,35.75,36.42,37.08,38.21,38.23,38.5,39.13,40.52,41.73,42.41,42.67,43.85,43.97,44.32,44.83,46.16,46.61,47.18,47.89,49.98,50.87,51.7,52.72,55.62,56.71,57.13,57.51,59.42,60.28,60.83,61.38,63.03,63.63,63.92,64.43,64.17,64.98,65.76,66.44,66.77,68.01,68.5,68.11,68.93,69.38,69.99,70.36,70.61,71.16,71.59,71.85,72.12,73.39,74.29,74.32,73.87,75.55,76.22,76.65,77.31,77.81,79.14,79.14,80.86,83.44,83.72,84.02,83.87,84.72,85.31,86.07,87.33,88.75,89.43,91.09,91.93,92.71,94.08,93.52,94.29,95.83,95.94,96.47,100.99,101.01,99.16,99.65,100.18,102,102.81,102.72,103.47,103.6,104.53,104.91,105.74,107.11,107.88,108.65,108.84,111.82,111.87,112.04,111.69,113.54,114.18,114.4,114.58,118.21,119.31,119.7,119.25,123.05,123.43
"67","56","      Durable goods \2\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
