"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"59","37","    Profits after tax (without IVA and CCAdj)","A466RC1","40,336.0","38,768.0","36,832.0","35,432.0","32,480.0","31,924.0","31,780.0","28,732.0","34,636.0","35,832.0","38,835.0","40,314.0","43,173.0","43,453.0","45,713.0","50,629.0","58,721.0","59,156.0","57,717.0","60,945.0","63,558.0","67,200.0","73,869.0","64,583.0","55,502.0","62,127.0","77,607.0","79,965.0","84,999.0","85,120.0","85,348.0","83,488.0","91,563.0","98,853.0","102,725.0","102,437.0","101,202.0","118,744.0","119,609.0","125,097.0","126,477.0","128,138.0","127,235.0","124,340.0","126,353.0","102,511.0","113,144.0","121,519.0","125,341.0","116,329.0","121,702.0","112,488.0","96,912.0","94,633.0","92,149.0","81,178.0","81,647.0","98,454.0","111,880.0","114,740.0","128,154.0","127,278.0","116,330.0","115,034.0","102,875.0","98,635.0","105,389.0","102,626.0","67,586.0","69,922.0","73,112.0","83,339.0","97,259.0","114,937.0","130,483.0","134,512.0","150,888.0","158,095.0","161,172.0","170,594.0","156,513.0","145,565.0","134,195.0","131,452.0","138,743.0","145,950.0","153,406.0","141,222.0","126,805.0","137,251.0","145,000.0","143,762.0","150,815.0","169,050.0","159,381.0","177,445.0","178,590.0","196,490.0","202,719.0","224,734.0","241,954.0","256,496.0","263,359.0","276,312.0","282,974.0","286,955.0","296,698.0","297,048.0","310,342.0","317,352.0","317,481.0","328,326.0","332,578.0","337,143.0","357,376.0","354,568.0","296,364.0","302,091.0","312,627.0","296,246.0","289,500.0","307,813.0","296,059.0","295,369.0","282,796.0","279,136.0","265,209.0","221,938.0","246,133.0","245,061.0","203,446.0","120,582.0","181,064.0","230,229.0","264,464.0","304,900.0","283,426.0","266,902.0","296,113.0","325,533.0","413,269.0","475,257.0","502,728.0","509,036.0","634,770.0","678,679.0","664,725.0","762,955.0","807,699.0","787,876.0","850,046.0","795,480.0","775,314.0","788,716.0","695,992.0","732,756.0","600,629.0","586,623.0","634,969.0","400,096.0","478,423.0","487,513.0","541,110.0","637,347.0","756,562.0","750,084.0","776,132.0","706,292.0"
"60","38","    Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","28,956.0","3,392.0","-21,752.0","-20,860.0","-20,684.0","5,320.0","-7,304.0","-22,464.0","-16,852.0","-38,376.0","-34,936.0","-46,856.0","-38,168.0","-18,176.0","-28,436.0","-38,016.0","-33,368.0","-48,404.0","-42,348.0","-28,012.0","-50,252.0","-34,808.0","-29,060.0","-74,820.0","-128,732.0","-139,992.0","-66,728.0","159,096.0","93,016.0","30,592.0","-8,732.0","-67,184.0","-36,432.0","-3,496.0","-36,396.0","-103,244.0"
"61","39","    Capital consumption adjustment","B470RC1","9,174.0","9,190.0","9,154.0","8,782.0","8,228.0","7,991.0","8,082.0","8,723.0","7,993.0","8,017.0","8,060.0","7,970.0","9,221.0","9,805.0","10,050.0","10,448.0","9,691.0","9,196.0","8,226.0","8,691.0","7,406.0","6,402.0","5,438.0","2,890.0","844.0","-635.0","-2,136.0","-2,937.0","-3,273.0","-3,549.0","-3,170.0","-2,648.0","-2,724.0","-2,055.0","-1,305.0","-1,588.0","-2,349.0","-3,054.0","-3,563.0","-3,914.0","-4,239.0","-4,779.0","-5,502.0","-6,492.0","-7,399.0","-7,730.0","-7,362.0","-6,341.0","1,092.0","5,670.0","10,675.0","8,551.0","13,580.0","15,716.0","19,404.0","22,312.0","29,941.0","34,595.0","39,175.0","37,237.0","40,512.0","56,158.0","61,275.0","66,791.0","74,224.0","76,935.0","77,536.0","75,925.0","66,940.0","63,168.0","60,598.0","59,982.0","61,536.0","62,504.0","63,184.0","63,248.0","63,834.0","62,952.0","61,901.0","60,565.0","57,096.0","56,244.0","56,850.0","56,806.0","46,522.0","47,060.0","46,575.0","45,191.0","41,548.0","39,736.0","38,598.0","38,358.0","39,937.0","41,304.0","34,145.0","45,806.0","42,627.0","41,450.0","42,275.0","45,104.0","49,933.0","53,498.0","55,798.0","56,835.0","56,603.0","56,919.0","57,782.0","59,192.0","61,148.0","62,691.0","63,817.0","64,528.0","64,824.0","65,135.0","65,460.0","65,801.0","66,154.0","66,836.0","67,844.0","69,182.0","70,848.0","70,725.0","68,814.0","65,113.0","59,627.0","54,320.0","49,194.0","44,251.0","38,897.0","35,033.0","40,667.0","73,232.0","93,381.0","91,264.0","86,422.0","78,853.0","63,836.0","80,310.0","75,772.0","66,170.0","60,115.0","52,214.0","45,785.0","40,830.0","-112,218.0","-120,248.0","-132,828.0","-149,954.0","-166,496.0","-153,319.0","-149,405.0","-154,753.0","-153,904.0","-162,402.0","-162,477.0","-156,421.0","-18,863.0","-12,418.0","-12,633.0","-13,567.0","-66,869.0","-55,855.0","-48,905.0","-48,720.0","-144,874.0","-145,444.0","-144,414.0","-6,541.0"
"62",NA,"  Value added, in millions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","40","    Gross value added of nonfinancial corporate business \2\","B455RX1","1,792,365.0","1,806,416.0","1,820,332.0","1,813,454.0","1,791,025.0","1,793,483.0","1,810,963.0","1,778,767.0","1,836,254.0","1,853,696.0","1,873,594.0","1,906,790.0","1,951,225.0","1,990,136.0","2,022,733.0","2,077,263.0","2,125,763.0","2,131,131.0","2,131,669.0","2,148,085.0","2,124,707.0","2,125,494.0","2,099,867.0","2,051,459.0","2,008,452.0","2,037,666.0","2,098,938.0","2,133,113.0","2,211,052.0","2,228,483.0","2,254,195.0","2,261,087.0","2,294,590.0","2,393,478.0","2,469,134.0","2,461,036.0","2,473,909.0","2,572,383.0","2,581,289.0","2,619,906.0","2,643,771.0","2,633,643.0","2,639,626.0","2,651,476.0","2,644,550.0","2,576,340.0","2,585,273.0","2,654,407.0","2,694,338.0","2,712,377.0","2,759,025.0","2,712,628.0","2,663,314.0","2,667,405.0","2,652,011.0","2,636,253.0","2,681,974.0","2,751,560.0","2,819,424.0","2,879,003.0","2,959,288.0","3,019,531.0","3,050,948.0","3,088,980.0","3,105,317.0","3,134,256.0","3,194,235.0","3,206,097.0","3,220,172.0","3,216,627.0","3,234,543.0","3,279,368.0","3,307,381.0","3,375,617.0","3,442,543.0","3,493,564.0","3,537,058.0","3,587,888.0","3,605,124.0","3,675,893.0","3,655,326.0","3,643,363.0","3,663,538.0","3,682,661.0","3,688,077.0","3,731,681.0","3,722,914.0","3,719,804.0","3,685,104.0","3,689,648.0","3,701,076.0","3,715,595.0","3,767,702.0","3,798,729.0","3,803,609.0","3,859,829.0","3,833,037.0","3,891,368.0","3,919,511.0","3,986,780.0","4,063,321.0","4,136,109.0","4,179,146.0","4,253,768.0","4,278,687.0","4,312,915.0","4,383,853.0","4,432,161.0","4,473,325.0","4,550,645.0","4,635,392.0","4,707,511.0","4,764,953.0","4,842,393.0","4,943,172.0","5,013,882.0","5,048,813.0","5,135,209.0","5,223,633.0","5,275,599.0","5,368,869.0","5,421,045.0","5,460,289.0","5,573,974.0","5,722,966.0","5,727,000.0","5,783,193.0","5,765,258.0","5,721,942.0","5,671,318.0","5,598,988.0","5,573,945.0","5,614,778.0","5,676,167.0","5,688,666.0","5,737,617.0","5,723,741.0","5,784,964.0","5,853,003.0","5,916,762.0","5,972,891.0","6,059,262.0","6,155,997.0","6,152,604.0","6,212,775.0","6,306,755.0","6,277,852.0","6,413,752.0","6,500,835.0","6,481,204.0","6,575,648.0","6,611,041.0","6,622,368.0","6,632,984.0","6,543,247.0","6,665,814.0","6,607,755.0","6,547,394.0","6,525,688.0","6,400,555.0","6,151,528.0","6,073,280.0","6,075,533.0","6,266,469.0","6,431,315.0","6,501,542.0","6,486,041.0","6,558,190.0"
"64","41","      Consumption of fixed capital \3\","N456RX1","125,859.0","127,911.0","129,976.0","132,052.0","134,140.0","135,782.0","136,976.0","137,716.0","139,704.0","141,563.0","143,297.0","144,906.0","146,390.0","148,357.0","150,803.0","153,708.0","157,043.0","160,103.0","162,917.0","165,508.0","167,887.0","170,106.0","172,161.0","174,047.0","175,757.0","177,378.0","178,910.0","180,353.0","181,707.0","183,282.0","185,077.0","187,097.0","189,342.0","191,675.0","194,097.0","196,609.0","199,213.0","201,970.0","204,881.0","207,948.0","211,169.0","214,301.0","217,345.0","220,302.0","223,172.0","225,916.0","228,535.0","231,026.0","233,391.0","235,917.0","238,604.0","241,456.0","244,477.0","247,164.0","249,513.0","251,521.0","253,185.0","255,028.0","257,056.0","259,270.0","261,674.0","264,540.0","267,877.0","271,692.0","275,992.0","279,922.0","283,473.0","286,640.0","289,416.0","292,238.0","295,108.0","298,027.0","300,995.0","303,818.0","306,494.0","309,022.0","311,398.0","313,844.0","316,358.0","318,943.0","321,599.0","324,347.0","327,191.0","330,129.0","333,162.0","336,007.0","338,660.0","341,119.0","343,379.0","345,718.0","348,137.0","350,635.0","353,215.0","355,488.0","357,452.0","359,102.0","363,596.0","368,085.0","372,568.0","377,046.0","381,516.0","386,404.0","391,716.0","397,460.0","403,641.0","410,097.0","416,834.0","423,854.0","431,163.0","438,851.0","446,922.0","455,383.0","464,239.0","473,450.0","483,019.0","492,951.0","503,250.0","513,795.0","524,584.0","535,619.0","546,895.0","558,713.0","571,078.0","583,992.0","597,456.0","610,399.0","622,802.0","634,641.0","645,896.0","655,733.0","664,131.0","671,077.0","676,555.0","681,450.0","685,756.0","689,472.0","692,595.0","696,156.0","700,152.0","704,584.0","709,453.0","714,574.0","719,947.0","725,568.0","731,438.0","738,396.0","746,438.0","755,564.0","762,169.0","769,412.0","777,291.0","785,801.0","788,115.0","791,136.0","795,513.0","801,591.0","809,124.0","817,045.0","824,169.0","829,360.0","831,262.0","830,483.0","829,789.0","830,278.0","833,593.0","838,446.0","844,885.0","852,275.0"
"65","42","      Net value added \4\","A457RX1","1,666,506.0","1,678,505.0","1,690,356.0","1,681,402.0","1,656,885.0","1,657,701.0","1,673,987.0","1,641,051.0","1,696,550.0","1,712,133.0","1,730,297.0","1,761,884.0","1,804,835.0","1,841,779.0","1,871,930.0","1,923,555.0","1,968,720.0","1,971,028.0","1,968,752.0","1,982,577.0","1,956,820.0","1,955,388.0","1,927,706.0","1,877,412.0","1,832,695.0","1,860,288.0","1,920,028.0","1,952,760.0","2,029,345.0","2,045,201.0","2,069,118.0","2,073,990.0","2,105,248.0","2,201,803.0","2,275,037.0","2,264,427.0","2,274,696.0","2,370,413.0","2,376,408.0","2,411,958.0","2,432,602.0","2,419,342.0","2,422,281.0","2,431,174.0","2,421,378.0","2,350,424.0","2,356,738.0","2,423,381.0","2,460,947.0","2,476,460.0","2,520,421.0","2,471,172.0","2,418,837.0","2,420,241.0","2,402,498.0","2,384,732.0","2,428,789.0","2,496,532.0","2,562,368.0","2,619,733.0","2,697,614.0","2,754,991.0","2,783,071.0","2,817,288.0","2,829,325.0","2,854,334.0","2,910,762.0","2,919,457.0","2,930,756.0","2,924,389.0","2,939,435.0","2,981,341.0","3,006,386.0","3,071,799.0","3,136,049.0","3,184,542.0","3,225,660.0","3,274,044.0","3,288,766.0","3,356,950.0","3,333,727.0","3,319,016.0","3,336,347.0","3,352,532.0","3,354,915.0","3,395,674.0","3,384,254.0","3,378,685.0","3,341,725.0","3,343,930.0","3,352,939.0","3,364,960.0","3,414,487.0","3,443,241.0","3,446,157.0","3,500,727.0","3,469,441.0","3,523,283.0","3,546,943.0","3,609,734.0","3,681,805.0","3,749,705.0","3,787,430.0","3,856,308.0","3,875,046.0","3,902,818.0","3,967,019.0","4,008,307.0","4,042,162.0","4,111,794.0","4,188,470.0","4,252,128.0","4,300,714.0","4,368,943.0","4,460,153.0","4,520,931.0","4,545,563.0","4,621,414.0","4,699,049.0","4,739,980.0","4,821,974.0","4,862,332.0","4,889,211.0","4,989,982.0","5,125,510.0","5,116,601.0","5,160,391.0","5,130,617.0","5,076,046.0","5,015,585.0","4,934,857.0","4,902,868.0","4,938,223.0","4,994,717.0","5,002,910.0","5,048,145.0","5,031,146.0","5,088,808.0","5,152,851.0","5,212,178.0","5,263,438.0","5,344,688.0","5,436,050.0","5,427,036.0","5,481,337.0","5,568,359.0","5,531,414.0","5,658,188.0","5,738,666.0","5,711,792.0","5,798,357.0","5,825,240.0","5,834,253.0","5,841,848.0","5,747,734.0","5,864,223.0","5,798,631.0","5,730,349.0","5,701,519.0","5,571,195.0","5,320,266.0","5,242,797.0","5,245,744.0","5,436,191.0","5,597,722.0","5,663,096.0","5,641,156.0","5,705,915.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
