"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"237",NA,"      Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","215","    Imputed interest paid by private enterprises","W566RC1",2.2,2,1.8,1.5,1.3,1.3,1.5,1.6,1.8,1.8,1.9,1.9,2,2.3,2.6,3.1,3.4,3.5,3.5,3.7,3.9,4.2,4.5,5.1,6,6.7,7.5,8.4,9.3,9.9,11.1,12.3,13.3,14.1,14.8,16.5,17.3,18.6,20.9,22.7,29.1
"239","216","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (169+180)","W560RC1",2.1,1.8,1.5,1.3,1,1,1.2,1.3,1.4,1.3,1.4,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.4,2.5,2.6,2.7,2.9,3.2,3.8,4.1,4.6,5.1,5.3,5.3,5.9,6.6,6.8,7,7,8,8.2,8.9,10.1,11,14.7
"240","217","      By private enterprises for borrower services (-177)","W561RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.7,-0.8,-0.9,-1,-1.3,-1.4,-1.5,-1.5,-1.6,-1.9,-2,-2.1,-2.3,-2.5,-2.5,-2.7,-2.9,-3,-3.4,-4.1,-4.3,-5.1,-5.4
"241","218","      By corporate business for unfunded actuarial liability of defined benefit pension plans (193)","Y245RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.7
"242","219","      By defined benefit and defined contribution pension plans (195)","Y233RC1",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.3,2.5,2.8,3.2,3.7,4.1,4.5,5.2,6,6.7,7.5,8.2,9,9.8,10.6,11.5,12.5,13.8,15.1,16.5,19.1
"243","220","    Imputed interest received by private enterprises","W563RC1",1,0.9,0.9,0.8,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,1.6,1.6,1.6,1.8,1.9,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.6,5.1,5.5,6.1,6.4,6.8,7.4,7.4,7.6,8.5,9.1,12
"244","221","      By banks for borrower services (-174)","W358RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8
"245","222","      By defined benefit pension plans for unfunded actuarial liability (192)","Y609RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.6,3,3.4,3.7,4.2,5,5.5,6,6.5,7,7.5,8.1,8.7,9.4,10.1,10.8,12.1,14.6
"246","223","      By other private enterprises (172+183)","W565RC1",1,0.8,0.7,0.6,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1.1,1.1,1.3,1.4,1.5,1.6,1.8,1.9,1.9,2.2,2.5,2.5,2.6,2.6,2.8,2.9,3.1,3.6,4,5.3
"247",NA,"      Reclassifications for owner-occupied housing and fixed assets of nonprofit institutions serving households:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","224","    Monetary interest paid by owner-occupants and nonprofit institutions","A2129C1",1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.3,3.7,4.4,5.1,5.8,6.5,7.2,7.9,8.8,9.5,10.5,11.5,12.5,13.3,14.5,16
"249","225","      Owner-occupied housing","W498RC1",1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,13.9,15.4
"250","226","      Interest paid by nonprofit institutions serving households","W319RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6
"251","227","  Personal interest payments","A2109C1",-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1.1,-1.4,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.7,-4.2,-4.9,-5.7,-6.3,-7.1,-7.9,-8.7,-9.7,-10.5,-11.6,-12.7,-13.9,-14.7,-16.2,-17.7
"252","228","    Owner-occupied housing (-225)","A2020C1",-1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-1.2,-1.4,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.6,-4.3,-5,-5.7,-6.3,-7.1,-7.7,-8.6,-9.4,-10.3,-11.3,-12.2,-12.9,-13.9,-15.4
"253","229","    Interest paid by nonprofit institutions serving households (-166)","A2021C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.5,-0.6
"254","230","    Borrower services paid by persons (-175)","W308RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-1,-1.2,-1.4,-1.4,-1.7,-1.7
"255","231","  Personal interest income (170+181+195)","W520RC1",1.1,1,0.9,0.8,0.7,0.7,0.8,0.9,1,1,1,1.1,1.2,1.4,1.7,1.9,2.1,2.6,2.9,3.1,3.4,3.8,4.1,4.6,5.5,6.1,6.9,7.8,8.7,9.4,10.4,11.5,12.5,13.4,14,15.6,16.7,18.4,20.4,22.2,26.7
"256","232","    Net interest, domestic (214)","A2104C1",2.2,2.1,2,1.8,1.7,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.9,2.1,2.3,2.5,2.7,3,3.2,3.5,3.8,4.2,4.8,5.4,6.3,7.1,8,9.2,10.2,11.1,12.4,13.9,15.1,16.5,17.5,19.7,21.4,23.5,25.7,28.1,33
"257","233","    Net interest, rest of the world (-173-179-185+186)","W528RC1",0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5
"258","234","    Net imputed interest paid by government (-171-176-182+194)","A2022C1",0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.9,1.2,1.3,1.5,1.8,2,2.3,2.6,2.9,3.3,3.8,4.5,4.9,5.4,5.8,6.4,6.8,7.3,7.8,8.5,9.2,9.8,10.7,11.9
"259","235","    Personal interest payments (227)","A2109C1",-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1.1,-1.4,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.7,-4.2,-4.9,-5.7,-6.3,-7.1,-7.9,-8.7,-9.7,-10.5,-11.6,-12.7,-13.9,-14.7,-16.2,-17.7
"260",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","236","Gross domestic product","A191RC1",104.6,92.2,77.4,59.5,57.2,66.8,74.3,84.9,93,87.4,93.5,102.9,129.4,166,203.1,224.6,228.2,227.8,249.9,274.8,272.8,300.2,347.3,367.7,389.7,391.1,426.2,450.1,474.9,482,522.5,543.3,563.3,605.1,638.6,685.8,743.7,815,861.7,942.5,1019.9
"262","237","  Imputations","A2023C1",10,9.4,8.5,7.3,6.7,6.7,7.1,7.5,7.9,8,8.1,8.5,10.5,14.8,19.8,23.9,26.4,27.8,26.9,27.6,27.8,29,33.9,37.8,41.5,44.4,47.3,51.1,55.2,58.7,62.6,67,71.4,76.1,80.5,85.8,91.7,98.8,105.9,115.8,128.1
"263","238","    Owner-occupied housing (153-156)","A2024C1",5.9,5.6,5.1,4.4,3.9,3.6,3.7,3.7,3.9,4.1,4.2,4.3,4.6,5.1,5.6,6.1,6.6,6.9,7.6,8.5,9.5,10.7,12.4,14.2,16.2,18,19.7,21.4,23.3,25.2,27.5,29.8,31.9,34.3,36.4,38.5,41.1,43.9,46.8,49.7,54
"264","239","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (165)","A2050C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.4,2.7,3.1,3.4,3.8
"265","240","    Financial services furnished without payment (170+171+173+175+176+179)","A2025C1",1.1,1,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.1,1.3,1.5,1.6,1.6,1.7,1.7,1.9,2,2.2,2.7,3,3.4,3.8,3.9,3.9,4.3,4.7,5,5.3,5.2,6,6.4,7,7.7,8.4,11.3
"266","241","    Premium supplements for property and casualty insurance (181+182+185-186)","W569RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"267","242","    Defined benefit and defined contribution pension plans (187+190)","Y684RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,1.3,2.7,3,3,3,2.8,2.2,2.3,2.4,2.9,4.2,4.8,4.9,4.8,4.8,4.7,5,5.1,4.9,5,5.3,5.3,5.5,5.6,6.2,7,7.1,8.7,9.2
"268","243","    Farm products consumed on farms (199)","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"269","244","    Employment-related imputations (202)","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.5,2.5,2.5,3.3,3.6,3.8,3.8,4,4.4,4.9,5.3,5.9,6.3,6.8,7.3,7.8,8.6,9.6,10.6,11.6,13.5,15.2
"270","245","    Margins on owner-built housing (211)","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4
"271","246","    Consumption of general government fixed capital (212)","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.8,3.4,6.2,9,10.4,11.2,11.1,10.1,9.3,8.6,9.4,10.4,11.4,12.3,13.1,14.5,15.7,16.5,17.6,18.6,19.7,21.1,22.5,23.7,24.9,26.5,28.4,30.8,33.2
"272","247","  Excluding imputations (236-237)","A2026C1",94.6,82.7,68.9,52.2,50.5,60.1,67.1,77.4,85.1,79.4,85.4,94.5,118.9,151.2,183.4,200.6,201.7,200,223,247.2,245.1,271.2,313.4,329.9,348.3,346.8,378.9,399,419.7,423.4,459.8,476.3,491.9,529,558.1,600,652,716.3,755.9,826.7,891.8
"273","248","Personal income","A065RC1",85.3,76.5,65.6,50.3,47.2,54.1,60.8,69.2,74.7,69.1,73.6,79.4,97.9,126.7,156.2,169.7,175.8,182.7,194.6,213.7,211.2,233.9,264.5,282.7,299.6,302.6,324.6,348.4,368.5,379.5,403.2,422.5,441.1,469.1,492.8,528.4,570.8,620.6,665.7,730.7,800.3
"274","249","  Imputations","A2106C1",5.8,5.3,4.6,3.8,3.3,3.1,3.6,3.8,4.1,4.2,4.3,4.6,6.1,8.8,11,12.2,13.1,12.1,11.5,13,13.8,15.7,19,21.4,23.3,24.7,25.9,27.5,29.7,31.6,33.7,36.2,38.8,40.9,42.8,45.6,48.6,52.5,56.2,65.9,74.1
"275","250","    Owner-occupied housing (163-158)","A2028C1",2.8,2.4,2.1,1.7,1.3,1.1,1.1,1.2,1.3,1.5,1.5,1.6,1.7,2.1,2.4,2.7,2.9,2.9,2.8,3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"276","251","    Depositor financial services furnished without payment and premium supplements (170+181)","W570RC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.1,1.1,1.2,1.3,1.4,1.9,2.1,2.4,2.7,2.7,2.7,2.9,3.3,3.4,3.6,3.4,4.1,4.3,4.7,5.3,5.6,7.6
"277","252","    Defined benefit and defined contribution pension plans (188+195+196-197+198)","Y685RC1",0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1,1.3,2.2,3.8,4.5,4.7,4.9,4.8,4.5,5,5.5,6.4,8.2,9.3,9.7,10,10.5,11.3,12.7,13.6,14.2,15.1,16.3,16.9,18,19.3,20.8,22.7,24.5,32.2,36.5
"278","253","    Farm products consumed on farms (199)","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"279","254","    Food furnished to employees, including military and domestic service (203)","DFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1
"280","255","    Standard clothing issued to military personnel (204)","DMICRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"281","256","    Employees' lodging (205)","A2641C1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
"282","257","    Employer contributions for health and life insurance (206)","B4922C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,1.1,1.4,1.5,1.8,2,2.3,2.8,3.3,3.7,4,4.5,4.9,5.4,5.9,6.7,7.6,8.3,8.9,10.7,12.3
"283","258","    Margins on owner-built housing (211)","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4
"284","259","  Excluding imputations (248-249)","A2107C1",79.4,71.2,61,46.5,43.9,51,57.3,65.4,70.6,64.9,69.3,74.8,91.8,117.9,145.2,157.5,162.7,170.6,183.2,200.7,197.5,218.2,245.4,261.2,276.2,277.9,298.7,320.9,338.7,347.9,369.5,386.3,402.3,428.2,450.1,482.8,522.3,568.1,609.5,664.9,726.2
"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","1. Residential dwellings owned and used by nonprofit institutions serving households are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","included in owner-occupied housing categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","2. Classified as a service in exports, and as an income payment to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","3. Classified as a service in exports, and as an income receipt from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","4. For general government employees, recorded as compensation of employees (wages and salaries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","and as a sale; does not affect government consumption expenditures. Similar payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","employees of government enterprises are not included in government consumption expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","they are deducted in the calculation of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","5. Health insurance premiums paid by employers are included in the calculation of the ""net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","health insurance"" category of personal consumption expenditures (PCE); life insurance premiums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","paid by employers are included in the calculation of the ""life insurance"" category of PCE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","6. Consists of the programs for which a social insurance fund is imputed, and for which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","contributions are set equal to benefits paid.  These payments are funded directly out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","of the current budget.  The specific programs consist of workers' compensation, unemployment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","insurance, and medical services for the dependents of active duty military personnel at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","nonmilitary facilities.  Source data are not available for the corresponding treatment for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","similar state and local government programs.  Similar payments for employees of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","government enterprises are not included in government consumption expenditures; they are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","deducted in the calculation of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","7. Consists of owner-occupant purchases of new single-family dwellings, including manufactured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","homes, expenditures on improvements, and payments of commissions on new and existing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","residential dwellings, less sales of dwellings to government.  The series is calculated from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","the investment data prepared as part of BEA's capital stock estimates. It differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","investment data shown in table 5.4.5 because the series shown in that table reflect total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","purchases by private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","8. Excludes investment by nonprofit institutions serving households in residential properties,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","which is included in owner-occupant investment (see footnote 1) and in sales of existing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","structures to governments.  The series is calculated from the investment data prepared as part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","of BEA's capital stock estimates.  It differs from the investment data shown in table 5.4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","because the series shown in that table reflect total purchases by private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
