"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"76","57","  State and local","A829RC1","104,405.0","107,398.0","109,504.0","111,295.0","114,872.0","117,958.0","122,744.0","125,563.0","128,730.0","131,803.0","133,844.0","136,756.0","139,939.0","141,281.0","144,765.0","149,178.0","153,350.0","156,765.0","160,796.0","165,911.0","172,827.0","180,951.0","187,117.0","192,600.0","202,226.0","204,929.0","210,651.0","216,927.0","222,760.0","222,307.0","222,973.0","225,150.0","231,544.0","237,021.0","240,791.0","245,276.0","248,978.0","260,557.0","267,448.0","273,619.0","275,538.0","284,615.0","295,490.0","305,046.0","315,115.0","319,795.0","323,958.0","330,747.0","343,593.0","343,779.0","346,999.0","354,826.0","359,861.0","366,764.0","372,371.0","379,732.0","383,850.0","387,006.0","393,975.0","397,285.0","408,045.0","417,447.0","428,365.0","436,723.0","447,591.0","460,749.0","473,190.0","483,031.0","497,464.0","506,175.0","515,529.0","524,399.0","530,850.0","535,985.0","541,976.0","550,610.0","561,765.0","574,047.0","580,790.0","592,703.0","601,400.0","613,582.0","623,164.0","638,494.0","657,847.0","665,401.0","678,038.0","695,601.0","698,892.0","704,532.0","713,178.0","721,515.0","733,113.0","738,375.0","743,051.0","747,663.0","755,841.0","767,407.0","774,183.0","781,855.0","790,988.0","803,728.0","820,230.0","829,900.0","841,541.0","854,558.0","858,700.0","866,212.0","872,793.0","886,161.0","898,948.0","917,979.0","933,747.0","938,969.0","945,559.0","955,625.0","963,064.0","983,929.0","1,008,565.0","1,024,571.0","1,044,566.0","1,064,485.0","1,085,735.0","1,110,590.0","1,133,203.0","1,143,730.0","1,160,599.0","1,181,965.0","1,206,738.0","1,238,184.0","1,234,246.0","1,259,757.0","1,278,876.0","1,294,073.0","1,310,608.0","1,327,266.0","1,348,395.0","1,347,836.0","1,362,336.0","1,365,718.0","1,379,410.0","1,399,172.0","1,415,313.0","1,438,806.0","1,454,563.0","1,477,338.0","1,506,020.0","1,536,409.0","1,546,054.0","1,580,244.0","1,601,153.0","1,619,371.0","1,660,349.0","1,687,270.0","1,706,373.0","1,737,616.0","1,768,899.0","1,804,592.0","1,829,189.0","1,791,157.0","1,768,766.0","1,779,512.0","1,778,418.0","1,774,675.0","1,777,584.0","1,786,989.0"
"77","58","    Consumption expenditures","A991RC1","75,858.0","78,443.0","81,155.0","83,939.0","87,263.0","90,031.0","93,046.0","95,801.0","99,006.0","101,620.0","104,170.0","106,081.0","109,149.0","111,606.0","114,600.0","117,246.0","120,668.0","124,197.0","127,706.0","131,383.0","135,977.0","140,925.0","146,275.0","151,771.0","157,796.0","163,546.0","167,895.0","171,142.0","174,500.0","177,762.0","180,946.0","184,626.0","189,157.0","193,300.0","198,177.0","202,849.0","207,202.0","210,689.0","215,189.0","219,603.0","225,507.0","229,166.0","236,322.0","242,360.0","249,303.0","255,762.0","261,623.0","267,043.0","274,448.0","279,924.0","284,931.0","290,068.0","296,627.0","302,624.0","307,384.0","312,784.0","318,367.0","322,108.0","326,044.0","329,802.0","337,238.0","343,941.0","351,296.0","358,204.0","367,274.0","376,016.0","386,824.0","396,910.0","406,710.0","413,428.0","420,744.0","431,441.0","434,342.0","439,129.0","442,794.0","449,359.0","459,630.0","467,474.0","474,305.0","482,681.0","491,335.0","500,186.0","507,711.0","518,579.0","531,908.0","540,344.0","551,613.0","564,077.0","569,004.0","573,925.0","580,352.0","586,626.0","593,665.0","602,655.0","611,229.0","617,293.0","625,266.0","631,058.0","637,121.0","643,157.0","654,557.0","663,304.0","673,407.0","681,400.0","690,605.0","699,237.0","704,728.0","710,569.0","717,933.0","726,641.0","733,337.0","742,858.0","751,556.0","758,156.0","767,833.0","780,615.0","789,593.0","801,550.0","815,025.0","828,226.0","843,980.0","862,341.0","880,238.0","895,874.0","910,185.0","922,648.0","936,181.0","953,451.0","972,838.0","989,174.0","1,002,629.0","1,012,277.0","1,026,073.0","1,043,011.0","1,057,262.0","1,071,181.0","1,091,522.0","1,092,535.0","1,098,419.0","1,103,550.0","1,116,781.0","1,129,136.0","1,144,043.0","1,166,310.0","1,181,976.0","1,198,394.0","1,222,915.0","1,244,832.0","1,254,453.0","1,274,649.0","1,292,668.0","1,307,583.0","1,337,783.0","1,360,557.0","1,376,178.0","1,400,959.0","1,427,790.0","1,455,014.0","1,474,235.0","1,435,680.0","1,415,737.0","1,424,015.0","1,425,575.0","1,432,232.0","1,447,422.0","1,447,299.0"
"78","59","    Gross investment","A799RC1","28,547.0","28,955.0","28,349.0","27,356.0","27,609.0","27,927.0","29,698.0","29,762.0","29,724.0","30,183.0","29,674.0","30,675.0","30,790.0","29,675.0","30,165.0","31,932.0","32,682.0","32,568.0","33,090.0","34,528.0","36,850.0","40,026.0","40,842.0","40,829.0","44,430.0","41,383.0","42,756.0","45,785.0","48,260.0","44,545.0","42,027.0","40,524.0","42,387.0","43,721.0","42,614.0","42,427.0","41,776.0","49,868.0","52,259.0","54,016.0","50,031.0","55,449.0","59,168.0","62,686.0","65,812.0","64,033.0","62,335.0","63,704.0","69,145.0","63,855.0","62,068.0","64,758.0","63,234.0","64,140.0","64,987.0","66,948.0","65,483.0","64,898.0","67,931.0","67,483.0","70,807.0","73,506.0","77,069.0","78,519.0","80,317.0","84,733.0","86,366.0","86,121.0","90,754.0","92,747.0","94,785.0","92,958.0","96,508.0","96,856.0","99,182.0","101,251.0","102,135.0","106,573.0","106,485.0","110,022.0","110,065.0","113,396.0","115,453.0","119,915.0","125,939.0","125,057.0","126,425.0","131,524.0","129,888.0","130,607.0","132,826.0","134,889.0","139,448.0","135,720.0","131,822.0","130,370.0","130,575.0","136,349.0","137,061.0","138,698.0","136,431.0","140,425.0","146,823.0","148,500.0","150,936.0","155,322.0","153,972.0","155,643.0","154,860.0","159,520.0","165,611.0","175,121.0","182,190.0","180,813.0","177,725.0","175,010.0","173,471.0","182,379.0","193,540.0","196,345.0","200,586.0","202,144.0","205,497.0","214,716.0","223,017.0","221,082.0","224,418.0","228,513.0","233,900.0","249,011.0","231,617.0","247,479.0","252,803.0","251,062.0","253,347.0","256,085.0","256,873.0","255,301.0","263,917.0","262,168.0","262,629.0","270,035.0","271,270.0","272,496.0","272,587.0","278,943.0","283,105.0","291,577.0","291,601.0","305,595.0","308,485.0","311,788.0","322,566.0","326,713.0","330,195.0","336,657.0","341,109.0","349,578.0","354,954.0","355,477.0","353,029.0","355,497.0","352,843.0","342,443.0","330,162.0","339,691.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
