"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"72","53","          Durable goods","B989RC1","1,207.0","1,256.0","1,314.0","1,375.0","1,441.0","1,512.0","1,597.0","1,669.0","1,757.0","1,840.0","1,914.0","2,004.0","2,081.0","2,163.0","2,215.0","2,279.0","2,340.0","2,412.0","2,499.0","2,604.0","2,723.0","2,842.0","2,949.0","3,042.0","3,166.0","3,250.0","3,354.0","3,442.0","3,490.0","3,590.0","3,696.0","3,778.0","3,880.0","3,983.0","4,061.0","4,109.0","4,170.0","4,317.0","4,456.0","4,597.0","4,675.0","4,810.0","4,932.0","5,040.0","5,111.0","5,222.0","5,364.0","5,550.0","5,778.0","5,975.0","6,147.0","6,324.0","6,463.0","6,589.0","6,697.0","6,833.0","6,982.0","7,074.0","7,212.0","7,353.0","7,518.0","7,688.0","7,869.0","8,004.0","8,086.0","8,255.0","8,442.0","8,653.0","8,896.0","9,128.0","9,334.0","9,492.0","9,567.0","9,689.0","9,857.0","10,024.0","10,158.0","10,322.0","10,478.0","10,678.0","10,983.0","11,207.0","11,420.0","11,642.0","11,749.0","11,872.0","12,005.0","12,144.0","12,385.0","12,590.0","12,771.0","12,958.0","13,075.0","13,183.0","13,298.0","13,361.0","13,537.0","13,630.0","13,715.0","13,822.0","14,068.0","14,242.0","14,488.0","14,733.0","15,122.0","15,388.0","15,630.0","15,880.0","15,793.0","15,793.0","15,941.0","16,142.0","16,555.0","16,722.0","16,941.0","17,192.0","17,758.0","18,259.0","18,720.0","19,045.0","19,385.0","19,612.0","19,831.0","20,267.0","20,522.0","20,738.0","21,104.0","21,401.0","21,717.0","22,148.0","22,275.0","22,306.0","22,340.0","22,235.0","22,059.0","21,891.0","21,518.0","21,482.0","21,506.0","21,578.0","21,802.0","22,005.0","22,122.0","22,251.0","22,361.0","22,459.0","22,539.0","22,648.0","22,822.0","23,011.0","23,181.0","23,452.0","23,755.0","23,902.0","23,960.0","23,899.0","23,741.0","23,778.0","24,072.0","24,512.0","24,996.0","25,150.0","25,110.0","25,078.0","24,432.0","24,286.0","24,013.0","23,813.0","23,418.0","23,472.0","23,563.0","23,570.0","23,675.0","23,855.0","23,828.0","23,866.0","23,867.0","23,971.0","24,018.0","24,060.0","24,160.0","24,340.0","24,440.0"
"73","54","          Nondurable goods","B337RC1","7,447.0","7,686.0","7,944.0","8,205.0","8,530.0","8,716.0","9,133.0","9,479.0","9,829.0","10,088.0","10,290.0","10,485.0","10,666.0","10,812.0","10,971.0","11,171.0","11,547.0","11,989.0","12,566.0","13,287.0","14,125.0","14,995.0","15,866.0","16,735.0","17,694.0","18,472.0","19,196.0","19,792.0","20,211.0","20,820.0","21,528.0","22,257.0","23,116.0","23,863.0","24,443.0","24,848.0","25,168.0","25,845.0","26,355.0","27,197.0","28,049.0","29,221.0","30,611.0","31,568.0","32,819.0","33,268.0","33,745.0","34,393.0","36,278.0","36,962.0","37,157.0","37,420.0","37,551.0","37,901.0","38,444.0","38,754.0","38,879.0","39,276.0","40,172.0","40,486.0","41,682.0","42,230.0","42,775.0","43,222.0","43,663.0","44,898.0","45,483.0","47,220.0","46,256.0","44,629.0","44,769.0","45,591.0","47,087.0","48,383.0","49,926.0","50,204.0","50,146.0","51,362.0","51,908.0","52,297.0","55,359.0","57,539.0","57,291.0","58,972.0","61,293.0","60,502.0","63,244.0","68,359.0","66,008.0","64,572.0","65,295.0","66,265.0","66,097.0","68,185.0","69,758.0","70,205.0","71,736.0","72,537.0","71,829.0","72,570.0","74,349.0","75,347.0","78,243.0","79,456.0","81,794.0","84,150.0","84,433.0","85,045.0","87,296.0","89,629.0","89,893.0","92,628.0","93,537.0","92,230.0","92,873.0","94,973.0","94,228.0","95,441.0","96,243.0","97,430.0","99,285.0","104,307.0","108,919.0","112,678.0","118,955.0","121,375.0","125,231.0","129,210.0","131,247.0","133,522.0","132,185.0","128,071.0","129,338.0","133,427.0","134,926.0","138,197.0","145,400.0","137,521.0","139,190.0","141,611.0","147,507.0","151,714.0","155,223.0","163,098.0","166,484.0","169,695.0","177,714.0","185,343.0","185,544.0","192,335.0","193,743.0","190,284.0","197,631.0","205,279.0","208,048.0","217,539.0","224,900.0","236,386.0","245,315.0","213,837.0","201,060.0","207,226.0","215,749.0","224,151.0","223,598.0","219,479.0","217,110.0","224,168.0","231,425.0","240,400.0","241,605.0","242,948.0","246,938.0","244,137.0","247,183.0","252,611.0","255,585.0","252,356.0","256,520.0","256,944.0","259,938.0","261,320.0","263,771.0"
"74","55","          Services","A988RC1","11,898.0","12,413.0","12,938.0","13,457.0","14,023.0","14,374.0","15,102.0","15,737.0","16,273.0","16,863.0","17,372.0","17,857.0","18,381.0","18,759.0","19,151.0","19,521.0","19,700.0","20,061.0","20,663.0","21,512.0","22,543.0","23,665.0","24,798.0","25,931.0","27,278.0","28,177.0","28,902.0","29,393.0","29,435.0","29,853.0","30,354.0","30,880.0","31,616.0","32,340.0","33,133.0","33,969.0","34,706.0","35,660.0","36,532.0","37,416.0","37,984.0","38,738.0","39,540.0","40,342.0","41,293.0","42,217.0","43,188.0","44,175.0","45,406.0","47,110.0","49,209.0","50,795.0","52,518.0","54,474.0","56,032.0","57,825.0","60,333.0","61,399.0","62,751.0","64,152.0","65,517.0","67,190.0","68,899.0","70,861.0","74,096.0","76,527.0","78,756.0","81,415.0","84,647.0","86,451.0","88,033.0","89,374.0","89,626.0","90,690.0","91,839.0","93,286.0","95,007.0","96,931.0","99,041.0","100,762.0","103,963.0","106,281.0","108,018.0","110,344.0","112,105.0","113,941.0","115,880.0","118,978.0","122,439.0","125,028.0","128,065.0","130,402.0","133,178.0","135,603.0","138,430.0","141,345.0","144,779.0","146,484.0","149,057.0","151,337.0","155,983.0","158,445.0","161,301.0","164,435.0","167,379.0","170,173.0","172,202.0","174,133.0","176,068.0","178,450.0","180,848.0","183,643.0","187,938.0","191,365.0","195,330.0","200,563.0","204,874.0","209,628.0","214,659.0","219,190.0","225,025.0","229,221.0","232,687.0","237,163.0","240,557.0","243,795.0","248,835.0","255,767.0","265,853.0","269,364.0","273,596.0","277,765.0","283,594.0","287,353.0","289,833.0","290,749.0","289,615.0","288,366.0","287,855.0","287,696.0","290,767.0","293,721.0","297,522.0","300,875.0","303,252.0","306,700.0","311,500.0","318,627.0","322,272.0","325,883.0","330,717.0","335,565.0","343,071.0","346,739.0","348,969.0","348,401.0","346,974.0","348,961.0","354,934.0","358,837.0","366,424.0","371,355.0","375,096.0","378,254.0","368,829.0","365,835.0","364,092.0","360,277.0","353,736.0","354,750.0","357,754.0","358,582.0","361,120.0","364,246.0","367,988.0","372,466.0","378,097.0","383,168.0","385,695.0","388,049.0","392,605.0","396,590.0","400,306.0"
"75","56","      Less: Own-account investment \4\","W144RC1","1,822.0","1,854.0","1,926.0","1,956.0","1,979.0","2,017.0","2,150.0","2,099.0","2,187.0","2,236.0","2,170.0","2,275.0","2,246.0","2,351.0","2,265.0","2,380.0","2,394.0","2,379.0","2,422.0","2,562.0","2,717.0","2,879.0","2,933.0","2,852.0","3,060.0","2,912.0","3,023.0","3,060.0","2,801.0","2,991.0","3,167.0","2,990.0","2,970.0","3,125.0","3,131.0","2,975.0","2,870.0","3,348.0","3,728.0","4,143.0","3,779.0","4,163.0","4,449.0","4,668.0","4,791.0","4,814.0","4,856.0","5,087.0","5,100.0","5,217.0","5,244.0","5,445.0","5,449.0","5,696.0","5,742.0","5,895.0","5,750.0","5,929.0","6,302.0","6,422.0","6,422.0","6,746.0","7,260.0","7,473.0","7,432.0","7,762.0","8,027.0","8,305.0","8,247.0","8,705.0","9,107.0","9,182.0","9,244.0","9,280.0","9,675.0","9,766.0","9,920.0","10,321.0","10,476.0","10,877.0","11,231.0","11,710.0","12,099.0","12,574.0","12,901.0","12,881.0","13,026.0","13,501.0","13,759.0","14,008.0","14,219.0","14,450.0","14,666.0","14,485.0","14,325.0","14,306.0","14,418.0","14,816.0","14,921.0","15,012.0","14,915.0","15,192.0","15,664.0","15,850.0","15,863.0","16,180.0","16,152.0","16,342.0","16,536.0","16,765.0","16,812.0","17,231.0","18,663.0","18,611.0","18,411.0","18,441.0","18,496.0","19,183.0","19,733.0","19,847.0","20,274.0","20,462.0","20,610.0","21,614.0","22,477.0","22,253.0","23,056.0","23,221.0","24,301.0","25,495.0","25,364.0","25,645.0","26,006.0","26,015.0","26,197.0","26,378.0","26,334.0","26,332.0","26,891.0","26,994.0","27,183.0","27,835.0","28,001.0","28,272.0","28,602.0","29,394.0","29,779.0","30,477.0","30,709.0","31,677.0","31,937.0","32,186.0","32,857.0","33,376.0","33,823.0","34,413.0","34,964.0","35,685.0","36,189.0","36,372.0","36,506.0","36,632.0","36,206.0","35,289.0","34,769.0","35,431.0","35,639.0","35,062.0","35,068.0","35,399.0","35,659.0","35,816.0","35,338.0","35,346.0","35,101.0","34,748.0","34,715.0","35,277.0","35,414.0","35,408.0","35,042.0","36,042.0","36,330.0"
"76","57","      Less: Sales to other sectors","W145RC1","11,429.0","11,694.0","11,973.0","12,263.0","12,578.0","12,926.0","13,322.0","13,761.0","14,253.0","14,716.0","15,164.0","15,601.0","16,026.0","16,475.0","16,958.0","17,477.0","17,956.0","18,434.0","18,894.0","19,342.0","19,759.0","20,208.0","20,678.0","21,168.0","21,660.0","22,244.0","22,918.0","23,662.0","24,440.0","25,223.0","25,950.0","26,618.0","27,181.0","27,876.0","28,661.0","29,516.0","30,393.0","31,432.0","32,527.0","33,740.0","35,030.0","36,121.0","37,083.0","38,180.0","39,190.0","40,216.0","41,817.0","43,567.0","45,256.0","46,625.0","48,414.0","50,215.0","51,660.0","52,975.0","54,530.0","56,066.0","57,883.0","59,506.0","60,937.0","62,164.0","63,031.0","64,034.0","65,151.0","66,671.0","68,511.0","70,148.0","71,420.0","73,186.0","75,013.0","76,551.0","78,133.0","79,747.0","81,044.0","82,789.0","84,164.0","85,694.0","87,805.0","90,082.0","92,299.0","94,590.0","97,583.0","100,122.0","102,635.0","105,113.0","107,447.0","109,936.0","112,994.0","115,969.0","119,349.0","122,237.0","125,554.0","129,292.0","132,926.0","136,550.0","140,161.0","144,004.0","148,259.0","151,108.0","153,956.0","156,748.0","159,416.0","161,736.0","164,855.0","167,926.0","171,895.0","174,438.0","176,723.0","179,334.0","181,022.0","182,744.0","184,824.0","187,411.0","190,167.0","192,820.0","195,588.0","198,539.0","200,412.0","202,619.0","204,575.0","207,060.0","209,947.0","212,712.0","215,455.0","219,493.0","224,963.0","228,921.0","234,050.0","239,318.0","245,530.0","249,456.0","253,430.0","257,010.0","259,667.0","262,630.0","266,290.0","269,801.0","273,271.0","276,613.0","280,422.0","284,739.0","289,339.0","293,440.0","296,358.0","299,507.0","303,493.0","306,432.0","309,056.0","312,928.0","321,637.0","325,950.0","330,580.0","331,822.0","336,703.0","341,214.0","345,259.0","348,841.0","350,725.0","353,344.0","356,921.0","359,732.0","362,340.0","366,436.0","371,390.0","377,370.0","381,921.0","386,824.0","390,856.0","395,502.0","396,266.0","399,584.0","403,742.0","406,520.0","409,712.0","413,918.0","418,567.0","423,075.0","429,096.0","432,021.0","434,813.0","437,491.0","440,301.0","444,222.0","446,595.0"
"77","58","        Tuition and related educational charges","B1065C1","1,795.0","1,870.0","1,962.0","2,071.0","2,210.0","2,337.0","2,463.0","2,589.0","2,723.0","2,833.0","2,927.0","3,006.0","3,086.0","3,164.0","3,256.0","3,363.0","3,508.0","3,615.0","3,709.0","3,790.0","3,859.0","3,926.0","3,994.0","4,062.0","4,126.0","4,207.0","4,299.0","4,402.0","4,518.0","4,637.0","4,762.0","4,888.0","5,021.0","5,150.0","5,281.0","5,413.0","5,470.0","5,661.0","5,860.0","6,083.0","6,118.0","6,311.0","6,477.0","6,668.0","6,861.0","7,040.0","7,334.0","7,659.0","7,844.0","8,093.0","8,424.0","8,762.0","8,981.0","9,216.0","9,495.0","9,776.0","10,221.0","10,504.0","10,780.0","11,041.0","11,312.0","11,558.0","11,805.0","12,082.0","12,346.0","12,607.0","12,829.0","13,108.0","13,418.0","13,700.0","13,980.0","14,279.0","14,476.0","14,806.0","15,110.0","15,434.0","15,872.0","16,340.0","16,787.0","17,212.0","17,699.0","18,136.0","18,593.0","19,036.0","19,464.0","19,935.0","20,531.0","21,072.0","21,684.0","22,257.0","22,917.0","23,650.0","24,445.0","25,157.0","25,787.0","26,398.0","26,879.0","27,168.0","27,512.0","27,937.0","28,523.0","28,971.0","29,518.0","30,008.0","30,531.0","30,883.0","31,262.0","31,772.0","32,185.0","32,614.0","33,160.0","33,791.0","34,429.0","35,067.0","35,664.0","36,280.0","36,904.0","37,570.0","38,152.0","38,787.0","39,479.0","40,155.0","40,846.0","41,579.0","42,461.0","43,280.0","44,115.0","44,731.0","45,196.0","45,843.0","46,432.0","47,039.0","47,811.0","48,734.0","49,816.0","50,914.0","52,019.0","52,968.0","53,893.0","54,757.0","55,428.0","56,212.0","56,977.0","57,988.0","59,190.0","60,314.0","61,408.0","62,728.0","63,928.0","65,117.0","66,292.0","67,265.0","68,297.0","69,141.0","69,925.0","71,201.0","72,063.0","73,116.0","74,409.0","75,758.0","77,332.0","78,639.0","79,789.0","80,931.0","82,993.0","84,512.0","85,930.0","87,366.0","87,424.0","88,240.0","89,164.0","89,976.0","90,809.0","92,049.0","93,594.0","95,273.0","97,558.0","98,907.0","100,142.0","101,139.0","102,539.0","104,131.0","104,591.0"
"78","59","        Health and hospital charges","B1066C1","3,390.0","3,455.0","3,518.0","3,579.0","3,640.0","3,742.0","3,885.0","4,071.0","4,300.0","4,528.0","4,759.0","4,993.0","5,225.0","5,464.0","5,709.0","5,958.0","6,215.0","6,456.0","6,683.0","6,896.0","7,093.0","7,301.0","7,523.0","7,752.0","7,998.0","8,283.0","8,614.0","8,987.0","9,403.0","9,758.0","10,054.0","10,287.0","10,462.0","10,705.0","11,021.0","11,407.0","12,030.0","12,444.0","12,879.0","13,365.0","14,530.0","14,980.0","15,370.0","15,821.0","16,472.0","16,897.0","17,594.0","18,364.0","19,873.0","20,498.0","21,327.0","22,168.0","23,477.0","24,085.0","24,811.0","25,538.0","26,616.0","27,543.0","28,277.0","28,782.0","28,815.0","29,098.0","29,476.0","30,050.0","30,954.0","31,668.0","32,284.0","33,019.0","33,750.0","34,433.0","35,086.0","35,745.0","36,082.0","36,744.0","37,322.0","37,929.0","38,809.0","39,797.0","40,797.0","41,818.0","43,179.0","44,340.0","45,561.0","46,745.0","47,823.0","49,103.0","50,746.0","52,320.0","54,203.0","55,921.0","57,850.0","59,970.0","62,103.0","64,236.0","66,309.0","68,476.0","70,727.0","72,380.0","73,934.0","75,452.0","76,607.0","77,901.0","79,541.0","81,155.0","83,511.0","84,639.0","85,491.0","86,317.0","86,045.0","86,199.0","86,662.0","87,398.0","88,189.0","89,210.0","90,330.0","91,726.0","92,384.0","93,159.0","93,728.0","94,455.0","95,128.0","96,039.0","97,129.0","98,514.0","100,178.0","102,437.0","105,269.0","108,117.0","112,310.0","115,383.0","117,675.0","119,272.0","119,504.0","120,201.0","121,158.0","122,126.0","122,804.0","123,832.0","125,340.0","127,314.0","129,447.0","130,975.0","131,483.0","131,592.0","131,141.0","131,300.0","132,216.0","134,476.0","137,366.0","140,159.0","142,836.0","144,984.0","147,175.0","148,865.0","150,357.0","152,858.0","154,471.0","156,365.0","158,687.0","160,999.0","163,676.0","165,921.0","168,010.0","170,231.0","172,533.0","174,485.0","176,206.0","177,942.0","178,493.0","180,549.0","182,788.0","184,755.0","186,757.0","188,824.0","190,726.0","192,066.0","193,748.0","194,227.0","195,198.0","196,395.0","197,216.0","198,725.0","199,803.0"
"79","60","        Other sales \5\","W146RC1","6,243.0","6,370.0","6,493.0","6,613.0","6,728.0","6,847.0","6,974.0","7,100.0","7,230.0","7,355.0","7,478.0","7,602.0","7,715.0","7,847.0","7,993.0","8,156.0","8,233.0","8,362.0","8,502.0","8,657.0","8,808.0","8,980.0","9,162.0","9,354.0","9,536.0","9,754.0","10,005.0","10,272.0","10,520.0","10,827.0","11,135.0","11,443.0","11,698.0","12,021.0","12,358.0","12,696.0","12,894.0","13,328.0","13,788.0","14,293.0","14,382.0","14,830.0","15,237.0","15,691.0","15,856.0","16,280.0","16,889.0","17,545.0","17,539.0","18,034.0","18,663.0","19,286.0","19,201.0","19,675.0","20,223.0","20,752.0","21,046.0","21,459.0","21,880.0","22,340.0","22,904.0","23,379.0","23,870.0","24,539.0","25,212.0","25,874.0","26,306.0","27,059.0","27,845.0","28,418.0","29,066.0","29,723.0","30,486.0","31,239.0","31,732.0","32,331.0","33,124.0","33,945.0","34,714.0","35,560.0","36,705.0","37,646.0","38,481.0","39,332.0","40,159.0","40,897.0","41,718.0","42,577.0","43,461.0","44,059.0","44,787.0","45,671.0","46,378.0","47,157.0","48,064.0","49,130.0","50,653.0","51,560.0","52,510.0","53,359.0","54,286.0","54,864.0","55,797.0","56,763.0","57,853.0","58,916.0","59,970.0","61,244.0","62,791.0","63,930.0","65,001.0","66,221.0","67,548.0","68,542.0","69,595.0","70,534.0","71,124.0","71,890.0","72,695.0","73,818.0","75,341.0","76,518.0","77,480.0","79,401.0","82,324.0","83,204.0","84,666.0","86,470.0","88,025.0","88,229.0","89,323.0","90,699.0","92,352.0","93,695.0","95,317.0","96,761.0","98,447.0","99,812.0","101,190.0","102,668.0","104,464.0","106,253.0","107,897.0","109,927.0","113,163.0","114,818.0","115,433.0","115,724.0","120,343.0","120,674.0","121,452.0","119,573.0","121,231.0","123,207.0","124,976.0","124,781.0","124,191.0","123,862.0","123,825.0","122,976.0","121,332.0","121,876.0","123,591.0","126,209.0","126,396.0","127,827.0","128,720.0","130,194.0","130,349.0","130,795.0","131,791.0","131,790.0","132,146.0","133,045.0","134,247.0","135,736.0","137,790.0","138,887.0","139,472.0","139,958.0","140,546.0","141,366.0","142,201.0"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
