"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"293","285","        Higher education (97)","DHEDRX0",93246,93113,93070,93337,93274,93171,93011,93096,92768,92993,93123,93276,93722,93915,94239,94617,94987,95320,95413,96193,96204,97109,97820,98477,98494,98394,98342,98314,98388,98558,98766,99012,99321,99623,99974,100291,100731,101116,101455,101679,101906,102169,102469,102667,102936,103234,103644,103947,104171,104442,104676,104953,105062,105203,105298,105546,105870,106430,106989,107513,107864,108095,108447,108890,109377,109823,110199,110688,111045,111270,111459,111797,112205,112531,112799,113066,113371,113437,113558,113545,113416,113053,112511,111992,111519,111167,110916,110660,110534,110771,111116,111291,111083,110779,110650,110666,110845,111028,111116,111247,111352,111385,111235,110920,110787,110777,110834,110736,110363,109970,109599,109239,108960,108577,108261,107969,107864,108035,108196,108507,108672,108717,108630,108429,108492,108725,108996,109197,109291,109179,108986,108735,108789,109004,109206,109453,109489,109363,109091,108931,109088,109416,109676,109764,109698,109650,109767,109992,110170,110139,110084,110151,110396,110722,110959,111116,111170,111261,111359,111577,111754,112037,112299,112676,112883,112893,112860,112906,113287,113530,113712,113646,113685,113827,114068,114237,114247,114209,114203,114375,114550,114741,114881,115039,115183,115377,115551,115723,115798
"294","286","          Proprietary and public higher education","DGEDRX0",54803,54769,54770,54880,54881,54891,54900,55055,54654,54733,54703,54659,54689,54727,54825,55001,55128,55234,55328,55634,55166,55373,55517,55674,55826,55976,56131,56294,56457,56626,56799,56981,57164,57345,57522,57696,57872,58040,58206,58383,58561,58741,58924,59111,59296,59480,59661,59836,60014,60187,60370,60571,60784,61010,61247,61496,61752,62017,62284,62556,62839,63099,63347,63593,63818,64035,64245,64438,64621,64787,64936,65068,65183,65287,65393,65499,65601,65706,65806,65909,66011,66104,66193,66275,66371,66451,66530,66619,66717,66824,66933,67049,67174,67301,67429,67552,67681,67768,67827,67861,67871,67878,67863,67817,67738,67628,67482,67301,66992,66789,66611,66465,66348,66248,66174,66127,66104,66106,66125,66164,66228,66275,66324,66380,66437,66488,66539,66588,66635,66678,66704,66736,66760,66790,66818,66856,66901,66956,67019,67086,67162,67239,67315,67403,67497,67584,67666,67751,67833,67918,68007,68091,68175,68253,68329,68400,68463,68522,68583,68641,68706,68772,68845,68919,68996,69067,69137,69206,69273,69333,69392,69450,69507,69567,69630,69694,69760,69820,69875,69926,69983,70038,70092,70149,70205,70267,70332,70399,70470
"295","287","          Nonprofit private higher education services to households","DPEDRX0",38443,38345,38301,38458,38393,38281,38112,38042,38116,38261,38421,38618,39034,39189,39415,39617,39860,40086,40086,40560,41040,41736,42304,42804,42669,42419,42212,42021,41932,41933,41968,42032,42157,42278,42453,42596,42859,43077,43250,43296,43346,43428,43546,43557,43641,43755,43984,44112,44158,44255,44307,44383,44279,44194,44052,44052,44119,44413,44705,44958,45025,44997,45100,45297,45559,45788,45955,46251,46425,46484,46523,46730,47023,47245,47407,47568,47771,47732,47753,47637,47406,46949,46318,45718,45148,44716,44386,44041,43817,43947,44183,44241,43909,43478,43221,43114,43164,43260,43289,43386,43481,43507,43372,43103,43049,43149,43352,43435,43371,43181,42988,42774,42612,42329,42087,41842,41761,41928,42071,42343,42444,42443,42306,42049,42054,42238,42456,42610,42656,42501,42282,41999,42029,42213,42388,42597,42588,42406,42072,41845,41927,42178,42361,42361,42201,42066,42101,42241,42337,42221,42077,42059,42221,42469,42631,42716,42707,42739,42776,42936,43048,43265,43454,43757,43887,43827,43723,43700,44014,44197,44320,44196,44178,44259,44438,44543,44487,44389,44328,44450,44568,44703,44788,44890,44979,45109,45219,45324,45327
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34384,34259,34245,34277,34229,34253,34145,34112,34169,34289,34241,34219,34182,34221,34223,34211,34218,34131,34113,34312,34262,34158,34134,34090,33987,33892,33814,33736,33668,33596,33502,33411,33325,33234,33104,32983,32881,32799,32705,32628,32581,32589,32617,32636,32661,32694,32737,32768,32766,32801,32819,32816,32777,32734,32642,32572,32514,32539,32562,32593,32602,32564,32536,32517,32502,32428,32302,32248,32338,32513,32661,32717,32755,32770,32789,32788,32797,32724,32571,32434,32427,32464,32428,32324,32210,32132,32039,31976,31930,32023,32170,32250,32076,31881,31759,31751,31785,31807,31853,31886,31928,31929,31900,31844,31820,31808,31809,31816,31804,31836,31919,31948,31943,31878,31887,31941,31815,31785,31702,31812,31823,31816,31794,31778,31761,31787,31758,31751,31713,31745,31792,31861,31865,31873,31908,31923,31920,31818,31757,31794,31991,32187,32361,32469,32423,32362,32331,32340,32366,32468,32547,32644,32628,32607,32530,32486,32435,32460,32482,32492,32526,32489,32514,32541,32643,32684,32680,32646,32627,32582,32534,32486,32444,32399,32300,32231,32146,32094,32063,32104,32173,32201,32258,32135,32124,32119,32146,32199,32176
"297","289","          Elementary and secondary schools","DESCRX0",27318,27145,27107,27071,27057,27064,27018,27031,27133,27265,27224,27232,27215,27234,27218,27203,27197,27164,27177,27419,27339,27175,27070,26963,26837,26709,26592,26476,26365,26262,26141,26040,25944,25855,25761,25690,25643,25601,25537,25479,25425,25405,25388,25362,25346,25352,25373,25380,25349,25328,25300,25282,25265,25248,25182,25149,25126,25159,25146,25131,25096,25037,24987,24964,24944,24901,24832,24820,24879,24975,25054,25083,25105,25102,25099,25066,25051,24963,24823,24688,24664,24675,24635,24548,24467,24422,24362,24324,24284,24312,24379,24415,24326,24224,24154,24133,24126,24111,24119,24132,24167,24187,24174,24115,24057,24008,23979,23967,23943,23954,24016,24028,24024,23946,23942,23946,23838,23832,23814,23940,23979,24002,24015,24029,24032,24042,23995,23976,23954,23976,24013,24072,24094,24105,24136,24144,24118,23979,23900,23879,24015,24102,24186,24178,24169,24128,24078,24030,24007,24034,24090,24141,24148,24113,24011,23934,23873,23866,23874,23886,23911,23896,23955,24059,24132,24119,24073,24061,24073,24065,24071,24066,24056,24062,24016,23986,23902,23873,23867,23906,23972,23997,24043,24074,24129,24156,24201,24262,24242
"298","290","          Day care and nursery schools","DNSCRX0",7214,7250,7270,7329,7298,7314,7258,7218,7182,7176,7169,7142,7124,7142,7157,7160,7170,7122,7094,7065,7088,7137,7205,7257,7273,7298,7329,7359,7394,7419,7439,7445,7451,7447,7411,7364,7313,7275,7246,7228,7233,7258,7298,7339,7376,7400,7421,7443,7469,7520,7561,7574,7555,7529,7505,7470,7436,7430,7463,7504,7545,7562,7581,7585,7590,7559,7504,7466,7495,7571,7637,7663,7678,7695,7714,7744,7766,7778,7764,7759,7775,7800,7803,7785,7753,7721,7688,7664,7658,7720,7798,7839,7758,7668,7617,7629,7667,7702,7739,7759,7766,7748,7732,7734,7767,7802,7830,7850,7861,7881,7902,7919,7918,7931,7943,7993,7975,7952,7887,7871,7843,7814,7779,7749,7729,7745,7763,7775,7760,7769,7779,7789,7770,7768,7771,7778,7801,7839,7857,7916,7977,8085,8176,8292,8256,8235,8255,8312,8361,8438,8461,8508,8484,8498,8525,8558,8569,8601,8616,8613,8623,8601,8566,8486,8516,8571,8614,8592,8559,8522,8467,8422,8389,8337,8283,8242,8243,8220,8193,8195,8197,8200,8210,8051,7982,7947,7929,7919,7918
"299","291","        Commercial and vocational schools (99)","DVEDRX0",24269,24454,24715,24786,25034,25305,25498,25741,26418,26471,26598,26736,26842,26958,27057,27274,27278,27317,27668,28198,28302,27393,27182,27214,27473,27792,28075,28404,28722,29031,29314,29590,29966,30227,30453,30630,30900,31086,31292,31379,31396,31427,31259,31207,31185,31520,31803,31970,31861,31796,31718,31766,31820,31932,32153,32301,32381,32331,32387,32574,32835,33114,33272,33375,33497,33791,34091,34432,34575,34638,34529,34464,34471,34485,34500,34491,34478,34268,33836,33572,33515,33682,33627,33471,33254,33136,33050,32900,32687,32671,32651,32616,32356,32148,31976,31878,31790,31638,31479,31502,31554,31575,31545,31423,31253,31007,30890,30841,30744,30597,30371,30211,29978,29955,29905,29862,29743,29787,29907,29923,29866,29826,29883,29870,29835,29659,29502,29455,29611,29833,30069,30226,30251,30180,30086,30086,30110,30147,30200,30251,30377,30458,30652,30814,31001,31062,31241,31399,31544,31653,31652,31687,31682,31807,31846,31852,31789,31825,31940,32091,32225,32349,32505,32647,32482,32227,31873,31758,31701,31742,31679,31502,31276,31117,30985,30924,30951,31123,31312,31494,31551,31637,31741,31750,31705,31527,31400,31229,31012
"300","292","      Professional and other services (121)","DPRSRX0",128260,127225,127946,128207,126770,127489,127626,128157,127663,127788,127896,128001,128945,129324,129710,129342,129831,130038,129962,129762,130720,130409,130609,131072,130066,129952,129806,131028,132222,132239,132788,132175,132800,133729,133928,133983,134978,136415,136349,135284,135244,136566,136185,136758,136010,136611,135907,136870,138462,139212,140106,139753,139554,138866,139382,139466,138803,140041,139626,138267,140203,140429,138327,139406,139737,139526,140404,140479,141162,140370,140341,141058,141538,141742,142503,143023,142643,142577,142883,144292,144520,144057,143363,142581,142098,142645,142940,142326,142706,142120,142134,142425,142621,142827,144094,144771,145848,147569,148904,148412,148948,149912,149428,148337,148063,147996,147811,149417,148648,147946,147299,147872,148005,148713,149347,149959,150308,150668,150704,150789,151203,151898,151478,150857,150074,149407,148773,148523,147929,147590,147822,147664,147267,147477,148293,148918,149907,150027,150150,150606,150957,151525,151827,152732,153318,153942,153630,153576,152945,152529,152457,151954,151517,151228,151347,151286,151393,151507,152766,152486,152286,152078,151471,151165,150527,150042,149555,148377,147226,146202,145249,144586,144015,143869,143929,143440,142785,141965,141854,141481,141958,142126,142356,141782,141337,141375,141370,141348,141353
"301","293","        Legal services","DGALRX0",74541,73562,74117,74136,74147,74352,74115,74330,74593,74577,74756,75049,75747,76201,76186,76202,76175,76650,76715,76834,77066,77290,77249,77676,77459,77536,77629,77934,78135,78325,78513,78700,78886,79050,79246,79457,79732,80423,80354,80152,80101,80403,80364,79786,80225,80573,80636,80688,81371,81852,82184,82058,82219,82297,82002,81930,81918,82080,81793,81919,81534,81230,80886,81506,81700,81693,81896,82298,82270,82130,81915,81867,82634,83121,83297,83036,82721,82477,83299,84366,84411,84251,83877,83433,83325,83359,83407,83367,83751,83352,83262,83480,83537,83699,84383,84998,86439,88040,89450,88592,88666,88827,88715,87781,86902,86606,86750,86974,87160,87409,87615,87790,88099,88527,89090,89618,90112,90562,90867,91030,91054,90946,90739,90438,90136,89825,89517,89222,88948,88690,88511,88443,88497,88817,89393,90248,90861,91233,91359,91639,92088,92689,93320,93999,94774,95089,94950,94361,93857,93447,93131,92773,92379,91940,91680,91596,91685,91845,92083,92396,92531,92483,92254,92046,91860,91685,91295,90687,89859,89171,88633,88244,88107,88227,88605,88566,88109,87222,86801,86848,87371,87727,87932,87446,87281,87235,87301,87370,87444
"302","294","        Accounting and other business services","DPRORX0",16277,16034,15884,15907,15857,15846,15897,15867,15767,15722,15770,15830,15959,16041,16140,16172,16298,16354,16450,16487,16545,16601,16628,16717,16688,16682,16697,16741,16798,16872,16963,17067,17184,17313,17461,17630,17822,18006,18177,18337,18483,18633,18770,18903,19026,19151,19265,19377,19482,19589,19671,19772,19872,19970,20080,20185,20284,20380,20480,20580,20673,20760,20848,20944,21027,21114,21197,21271,21355,21427,21499,21560,21620,21674,21728,21779,21833,21882,21937,22001,22065,22121,22166,22214,22263,22323,22382,22444,22502,22558,22606,22663,22706,22758,22794,22826,22876,22926,22986,23024,23073,23142,23226,23312,23412,23527,23656,23791,23888,24014,24120,24223,24303,24378,24444,24488,24522,24547,24549,24544,24504,24470,24410,24377,24365,24309,24289,24255,24194,24155,24117,24043,23977,23954,23937,23932,23942,23978,24045,24124,24215,24335,24483,24664,24833,24974,25131,25283,25434,25570,25710,25827,25951,26062,26173,26279,26389,26446,26468,26450,26389,26281,26145,25983,25785,25539,25257,24941,24590,24256,23951,23678,23439,23233,23062,22923,22815,22739,22694,22680,22626,22572,22519,22465,22413,22362,22313,22261,22204
"303","295","          Tax preparation and other related services","DTAPRX0",12522,12176,11976,11990,11909,11862,11869,11787,11636,11526,11535,11577,11697,11745,11794,11759,11830,11830,11870,11848,11839,11844,11793,11827,11740,11673,11626,11597,11588,11597,11628,11678,11748,11836,11943,12069,12213,12353,12487,12619,12747,12869,12986,13099,13206,13307,13401,13488,13569,13647,13724,13801,13877,13953,14027,14101,14173,14241,14307,14371,14433,14497,14564,14638,14714,14796,14883,14973,15068,15166,15268,15374,15483,15587,15691,15792,15889,15986,16081,16173,16263,16349,16432,16511,16590,16662,16729,16793,16854,16912,16965,17016,17063,17105,17142,17173,17200,17231,17270,17319,17376,17447,17529,17619,17716,17823,17935,18055,18158,18271,18370,18458,18535,18596,18645,18680,18702,18710,18701,18678,18639,18594,18546,18500,18452,18399,18346,18289,18230,18169,18100,18030,17975,17937,17916,17913,17929,17964,18019,18091,18181,18290,18418,18566,18722,18874,19023,19171,19317,19461,19605,19745,19883,20018,20150,20279,20404,20497,20561,20593,20596,20569,20513,20426,20309,20158,19976,19761,19513,19285,19078,18893,18729,18587,18469,18373,18300,18247,18216,18207,18180,18153,18126,18099,18073,18048,18023,17999,17977
"304","296","          Employment agency services","DGENRX0",1110,1108,1093,1057,1033,1017,1006,997,985,980,967,947,915,894,881,876,866,860,850,842,837,821,815,806,819,835,853,878,897,915,929,938,940,937,936,935,939,941,939,932,917,912,904,895,887,886,885,890,897,907,896,898,900,898,907,910,908,906,908,911,908,904,902,906,901,901,897,887,887,878,872,858,847,832,816,797,783,762,748,741,735,723,703,686,669,666,668,672,673,673,668,674,666,671,664,658,670,681,694,677,662,652,646,634,629,630,641,649,646,656,662,676,680,696,717,731,750,776,798,829,843,869,868,889,931,933,968,990,986,1004,1030,1017,1019,1046,1062,1071,1074,1084,1103,1118,1122,1139,1165,1201,1230,1233,1255,1271,1290,1291,1297,1281,1273,1254,1237,1218,1206,1178,1151,1121,1082,1032,991,961,932,895,860,831,806,773,739,709,687,667,653,641,631,625,622,623,630,636,645,651,659,665,673,675,670
"305","297","          Other personal business services","DTHERX0",2626,2712,2771,2824,2881,2933,2988,3044,3100,3165,3218,3260,3312,3372,3437,3505,3572,3632,3699,3762,3831,3899,3976,4041,4076,4112,4149,4187,4226,4266,4308,4350,4394,4439,4483,4528,4574,4618,4659,4698,4735,4770,4803,4833,4861,4887,4909,4929,4946,4964,4983,5004,5027,5052,5078,5106,5136,5166,5198,5231,5265,5294,5317,5335,5348,5355,5357,5353,5344,5329,5308,5281,5248,5216,5186,5159,5133,5109,5087,5068,5050,5034,5020,5007,4998,4988,4980,4974,4971,4969,4968,4970,4974,4979,4985,4993,5003,5011,5019,5026,5034,5043,5052,5061,5069,5076,5083,5089,5087,5090,5091,5092,5091,5089,5084,5078,5071,5062,5050,5037,5022,5008,4996,4987,4981,4977,4975,4975,4978,4983,4989,4998,4985,4974,4963,4953,4944,4935,4928,4922,4916,4911,4907,4903,4887,4872,4857,4843,4830,4818,4808,4798,4789,4781,4774,4767,4761,4749,4731,4706,4675,4639,4596,4547,4493,4431,4363,4288,4206,4132,4064,4003,3949,3902,3862,3829,3804,3785,3774,3769,3735,3702,3668,3635,3602,3570,3538,3506,3476
"306","298","        Labor organization dues","DUNSRX0",14055,14016,14101,13962,13996,13892,14005,14026,13921,13918,13893,13883,13906,13976,13981,13926,13982,14009,14068,14026,13968,13845,13723,13749,13875,13972,14030,14151,14288,14234,14225,14034,13999,14101,14068,14053,13883,13736,13567,13476,13413,13400,13346,13256,13129,13108,13080,13042,12928,13040,13113,13095,13004,12893,12891,12865,12741,12655,12659,12670,12589,12650,12714,12722,12508,12355,12313,12205,12157,12092,12112,12040,11799,11776,11750,11703,11677,11640,11645,11595,11475,11396,11311,11257,11222,11185,11203,11193,11117,11007,11005,10978,11008,10965,10959,11046,11038,11049,11095,11182,11183,11213,11243,11218,11276,11248,11299,11204,11084,11062,10938,10913,10892,10988,11009,11127,11208,11171,10970,10751,10609,10746,10874,10895,10824,10704,10592,10579,10493,10555,10679,10734,10807,10790,10768,10701,10721,10715,10713,10715,10691,10697,10662,10625,10654,10714,10773,10768,10764,10731,10732,10706,10704,10743,10724,10833,10883,10927,10989,11055,11100,11186,11242,11285,11341,11376,11332,11293,11134,11116,11089,11107,11011,10962,10923,10924,10911,10955,10922,10795,10819,10761,10744,10587,10467,10414,10485,10516,10548
"307","299","        Professional association dues","DAXSRX0",4808,4801,4876,4883,4903,4915,4924,4934,4935,4930,4940,4956,4918,4904,4848,4819,4784,4793,4789,4783,4786,4802,4811,4849,4874,4877,4890,4921,4951,4894,4915,4909,4980,5012,5024,5059,5073,5092,5089,5082,5077,5110,5121,5092,5116,5156,5183,5192,5208,5224,5263,5309,5351,5404,5389,5393,5445,5492,5513,5517,5513,5525,5549,5556,5550,5539,5546,5603,5659,5683,5706,5743,5790,5825,5842,5827,5833,5836,5881,5912,5976,5970,5979,5957,5984,6000,6049,6079,6115,6135,6144,6158,6138,6135,6135,6140,6113,6088,6063,6034,6025,6019,6029,6016,6024,6044,6050,6047,6043,6029,6004,5990,5966,5930,5931,5935,5963,5898,5845,5817,5811,5810,5809,5802,5771,5731,5663,5658,5685,5735,5790,5809,5817,5776,5760,5808,5904,5988,6019,5991,6003,5987,5982,5993,6015,6034,6035,6036,6038,6040,6020,5999,5972,5998,6007,5993,5898,5861,5829,5784,5743,5714,5674,5637,5608,5565,5536,5538,5595,5652,5694,5732,5774,5778,5782,5804,5821,5786,5767,5741,5736,5710,5654,5575,5587,5581,5541,5509,5479
"308","300","        Funeral and burial services","DFUNRX0",18338,18551,18704,19053,17646,18252,18436,18742,18219,18406,18311,18075,18213,18014,18349,18035,18384,18047,17766,17477,18177,17729,18050,17946,17069,16794,16486,17167,17887,17766,18016,17362,17642,18115,18003,17682,18345,19023,19034,18154,18092,18908,18494,19572,18431,18545,17707,18500,19378,19415,19769,19429,19040,18267,18956,19026,18378,19369,19120,17571,19814,20169,18275,18620,18894,18772,19391,19052,19661,18987,19056,19785,19649,19308,19846,20635,20534,20695,20083,20388,20567,20297,20009,19700,19286,19760,19877,19227,19209,19057,19105,19135,19221,19258,19813,19751,19376,19462,19308,19574,19994,20704,20207,20003,20437,20557,20045,21381,20459,19427,18626,18954,18746,18889,18873,18791,18507,18495,18478,18649,19226,19925,19645,19345,18978,18839,18712,18810,18609,18454,18724,18635,18170,18140,18435,18231,18481,18122,18023,18144,17968,17825,17389,17457,17053,17141,16755,17136,16859,16748,16868,16653,16514,16488,16759,16584,16538,16430,17383,16802,16532,16430,16181,16242,15972,15923,16175,15966,16086,16049,15929,15878,15739,15724,15619,15300,15208,15338,15732,15476,15468,15414,15560,15747,15621,15808,15762,15728,15718
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",73442,73717,73945,74178,74422,74649,74874,75178,75437,75668,76092,76158,76318,76446,76487,76612,76646,76854,76828,76892,77182,77414,77700,78246,78598,78962,79330,79715,80101,80494,80894,81309,81721,82132,82536,82932,83345,83723,84087,84455,84813,85162,85502,85835,86154,86458,86745,87009,87265,87522,87805,88123,88469,88845,89243,89671,90122,90592,91077,91576,92107,92559,92951,93293,93556,93762,93910,93986,94000,93941,93809,93603,93323,93077,92881,92732,92627,92572,92561,92600,92688,92811,92978,93187,93466,93705,93927,94147,94364,94576,94775,94968,95154,95330,95487,95624,95755,95913,96117,96377,96692,97095,97555,98064,98614,99218,99870,100562,101162,101832,102449,103028,103556,104020,104430,104785,105084,105329,105500,105603,105647,105669,105706,105756,105815,105870,105935,106002,106075,106149,106203,106274,106607,106940,107266,107604,107944,108290,108642,108991,109347,109695,110034,110386,110256,110190,110194,110281,110343,110388,110417,110444,110475,110502,110512,110501,110464,110403,110325,110225,110100,109943,109759,109564,109359,109131,108796,108353,107800,107293,106844,106452,106073,105715,105373,105174,105119,105199,104886,104179,103065,102350,102030,102452,102681,102837,102913,102994,103080
"310","302","        Personal care services","DPCSRX0",56859,57085,57276,57495,57720,57921,58133,58425,58682,58887,59328,59427,59712,59878,59926,60007,60012,60181,60102,60102,60309,60500,60650,61019,61205,61414,61638,61887,62151,62433,62733,63059,63396,63746,64103,64469,64860,65221,65565,65909,66239,66558,66865,67160,67440,67704,67948,68170,68380,68598,68841,69118,69423,69759,70116,70504,70916,71350,71801,72269,72769,73204,73588,73930,74206,74435,74614,74734,74800,74806,74750,74634,74454,74304,74197,74131,74101,74116,74166,74261,74397,74564,74770,75011,75312,75586,75851,76122,76394,76668,76938,77208,77479,77746,78003,78250,78497,78767,79073,79427,79826,80300,80820,81382,81978,82622,83307,84025,84666,85358,85997,86594,87141,87625,88054,88429,88749,89013,89207,89335,89405,89449,89500,89555,89610,89656,89705,89748,89790,89825,89837,89857,90185,90509,90826,91150,91473,91799,92127,92451,92778,93096,93405,93722,93607,93553,93565,93654,93727,93790,93846,93903,93967,94032,94087,94129,94153,94154,94138,94102,94045,93962,93856,93733,93595,93430,93186,92861,92453,92080,91751,91466,91191,90933,90690,90567,90566,90679,90446,89864,88922,88322,88053,88442,88648,88788,88855,88925,89001
"311","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",29152,29399,29598,29586,29691,29742,29809,29950,30064,30156,30390,30239,30133,30120,30057,30140,30094,30221,30111,30078,30229,30396,30483,30785,31094,31393,31673,31942,32193,32427,32647,32854,33042,33208,33352,33475,33575,33671,33764,33859,33952,34042,34130,34217,34300,34378,34451,34516,34580,34648,34727,34824,34934,35059,35197,35348,35511,35686,35868,36061,36268,36449,36611,36759,36881,36986,37073,37137,37182,37203,37201,37176,37126,37089,37072,37075,37094,37133,37190,37266,37362,37472,37600,37744,37916,38067,38205,38337,38461,38580,38686,38785,38875,38955,39022,39075,39118,39175,39253,39356,39484,39651,39844,40059,40293,40553,40836,41137,41404,41710,42008,42302,42590,42864,43129,43384,43631,43869,44090,44296,44492,44642,44761,44850,44906,44923,44906,44852,44762,44635,44460,44256,44656,45019,45348,45647,45910,46140,46335,46491,46612,46692,46729,46732,46844,46929,46989,47028,47077,47139,47215,47294,47378,47464,47544,47618,47682,47732,47771,47797,47805,47792,47761,47713,47650,47565,47450,47305,47128,46975,46849,46752,46664,46589,46526,46500,46513,46559,46527,46417,46226,46110,46067,46005,45983,45990,46025,46061,46100
"312","304","          Miscellaneous personal care services","DMPCRX0",27683,27666,27660,27888,28008,28158,28302,28453,28596,28708,28915,29162,29551,29728,29838,29836,29887,29929,29960,29993,30050,30074,30137,30203,30080,29990,29935,29914,29926,29972,30052,30171,30319,30502,30716,30959,31250,31516,31769,32018,32257,32485,32705,32914,33113,33299,33473,33630,33777,33928,34093,34275,34471,34683,34904,35142,35392,35652,35922,36199,36494,36748,36972,37166,37321,37445,37537,37592,37614,37597,37543,37450,37320,37205,37114,37044,36994,36968,36962,36979,37018,37075,37153,37249,37377,37500,37628,37766,37914,38070,38234,38407,38587,38777,38968,39164,39370,39585,39815,40068,40340,40648,40977,41326,41689,42075,42477,42894,43268,43655,43996,44298,44557,44767,44931,45050,45122,45148,45120,45040,44912,44806,44738,44704,44705,44735,44800,44897,45028,45191,45377,45600,45528,45488,45478,45503,45565,45662,45797,45964,46170,46407,46676,46988,46763,46626,46579,46629,46653,46655,46636,46615,46597,46577,46554,46524,46485,46439,46386,46325,46262,46193,46120,46046,45972,45891,45762,45583,45354,45136,44935,44750,44567,44388,44212,44117,44105,44170,43976,43521,42797,42330,42115,42540,42756,42883,42915,42949,42985
"313","305","        Clothing and footwear services","DCFSRX0",16557,16606,16645,16659,16680,16705,16720,16733,16736,16763,16749,16717,16596,16559,16552,16595,16624,16663,16715,16778,16860,16902,17036,17213,17377,17530,17673,17808,17929,18040,18139,18229,18304,18366,18413,18444,18467,18485,18505,18530,18558,18589,18623,18661,18700,18741,18783,18825,18871,18911,18951,18992,19033,19074,19115,19155,19194,19231,19265,19297,19328,19345,19353,19352,19340,19317,19286,19243,19189,19124,19048,18959,18858,18762,18673,18591,18515,18446,18383,18328,18280,18236,18197,18165,18143,18108,18065,18015,17959,17898,17828,17751,17667,17575,17476,17366,17250,17140,17037,16944,16860,16790,16729,16676,16630,16592,16559,16534,16493,16471,16451,16432,16414,16395,16375,16356,16336,16315,16292,16268,16242,16220,16206,16202,16204,16213,16230,16254,16285,16324,16365,16417,16422,16431,16440,16454,16471,16491,16515,16540,16569,16599,16630,16665,16649,16637,16629,16627,16616,16598,16571,16541,16508,16470,16425,16372,16312,16249,16187,16123,16055,15982,15904,15832,15765,15702,15612,15495,15350,15217,15097,14991,14887,14786,14689,14613,14559,14526,14447,14323,14150,14037,13985,14018,14041,14058,14067,14077,14088
"314","306","          Laundry and drycleaning services","DDRYRX0",7879,7884,7888,7914,7928,7942,7953,7965,7977,7996,8000,7998,7961,7961,7973,8008,8035,8068,8105,8145,8190,8222,8282,8358,8454,8543,8627,8705,8777,8841,8899,8951,8996,9031,9059,9077,9089,9099,9111,9125,9141,9158,9176,9197,9218,9240,9263,9286,9310,9333,9354,9377,9400,9424,9447,9470,9493,9515,9536,9555,9575,9588,9596,9600,9597,9590,9578,9561,9538,9510,9475,9435,9389,9345,9304,9267,9232,9201,9173,9149,9128,9109,9092,9078,9070,9053,9029,8999,8965,8924,8877,8824,8765,8700,8628,8549,8465,8389,8324,8269,8224,8192,8170,8158,8155,8161,8176,8201,8223,8253,8280,8304,8326,8344,8359,8371,8379,8383,8383,8379,8372,8366,8366,8371,8380,8393,8411,8433,8460,8491,8524,8562,8602,8640,8674,8706,8736,8764,8789,8811,8830,8847,8859,8869,8858,8848,8842,8839,8831,8820,8806,8792,8778,8764,8746,8725,8699,8674,8649,8624,8595,8562,8524,8491,8460,8433,8390,8331,8256,8189,8131,8082,8031,7981,7929,7890,7864,7850,7809,7741,7646,7585,7557,7576,7589,7599,7604,7610,7617
