"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"171","147","    Excluding imputations (145-146)","Y509RC1","3,753.0","1,283.0","-1,512.0","-3,014.0","-2,636.0","-700.0","332.0","422.0","1,051.0","1,008.0","1,604.0","3,263.0","3,923.0","5,504.0","6,909.0","8,000.0","5,785.0","4,055.0","7,191.0","12,760.0","12,645.0","10,492.0","11,435.0","13,217.0","12,528.0","13,991.0","19,305.0","18,385.0","18,336.0","15,924.0","22,085.0","21,738.0","22,616.0","28,534.0","31,801.0","35,746.0","42,566.0","46,533.0","45,314.0","49,535.0","46,738.0"
"172","148","  Net government saving","A922RC1","2,130.0","1,126.0","-1,579.0","-1,103.0","-947.0","-1,485.0","-1,301.0","-1,522.0","1,593.0","-88.0","-834.0","606.0","2,181.0","-10,269.0","-16,006.0","-28,320.0","-30,975.0","-7,380.0","2,453.0","974.0","-8,041.0","2,156.0","6,006.0","-260.0","-1,860.0","-5,969.0","1,632.0","4,374.0","29.0","-10,893.0","-1,700.0","2,756.0","-2,463.0","-1,931.0","1,598.0","-2,556.0","-1,387.0","-1,781.0","-14,765.0","-9,476.0","-1,002.0"
"173","149","    Imputations (214-191-192-195-213)","A2010C1","1,581.0","1,899.0","1,746.0","1,027.0","737.0","1,232.0","1,294.0","2,479.0","2,026.0","2,305.0","2,507.0","2,046.0","7,082.0","22,239.0","29,732.0","25,016.0","10,663.0","-10,756.0","-9,299.0","-5,767.0","-2,437.0","-2,368.0","3,345.0","6,418.0","6,955.0","4,508.0","2,356.0","3,357.0","4,173.0","5,122.0","6,978.0","5,527.0","7,448.0","8,250.0","7,872.0","7,859.0","6,783.0","9,399.0","10,684.0","7,747.0","2,976.0"
"174","150","    Excluding imputations (148-149)","A2011C1","549.0","-773.0","-3,325.0","-2,130.0","-1,684.0","-2,717.0","-2,595.0","-4,001.0","-433.0","-2,393.0","-3,341.0","-1,440.0","-4,901.0","-32,508.0","-45,738.0","-53,336.0","-41,638.0","3,376.0","11,752.0","6,741.0","-5,604.0","4,524.0","2,661.0","-6,678.0","-8,815.0","-10,477.0","-724.0","1,017.0","-4,144.0","-16,015.0","-8,678.0","-2,771.0","-9,911.0","-10,181.0","-6,274.0","-10,415.0","-8,170.0","-11,180.0","-25,449.0","-17,223.0","-3,978.0"
"175","151","Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"176","152","  Imputations (165+168+213)","A2092C1","2,070.0","2,051.0","1,918.0","1,635.0","1,702.0","1,926.0","1,951.0","2,116.0","2,315.0","2,410.0","2,470.0","2,612.0","3,233.0","4,875.0","7,829.0","10,817.0","12,295.0","13,377.0","13,908.0","13,391.0","12,773.0","12,410.0","13,827.0","15,220.0","16,552.0","17,718.0","19,007.0","20,917.0","22,588.0","23,711.0","25,178.0","26,550.0","27,935.0","29,672.0","31,560.0","33,310.0","35,269.0","37,686.0","40,501.0","44,002.0","48,014.0"
"177","153","  Excluding imputations (151-152)","A2093C1","8,308.0","8,135.0","7,574.0","6,679.0","6,289.0","6,480.0","6,511.0","6,667.0","7,433.0","7,620.0","7,621.0","7,955.0","8,821.0","10,018.0","10,184.0","10,563.0","10,899.0","12,394.0","15,292.0","18,002.0","19,564.0","21,020.0","23,931.0","25,398.0","26,928.0","28,263.0","29,878.0","33,208.0","36,325.0","38,714.0","40,260.0","41,343.0","42,672.0","44,429.0","46,443.0","49,069.0","52,711.0","57,607.0","63,018.0","69,322.0","76,849.0"
"178",NA,"          Specific imputations and associated reclassifications"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","154","  Imputed rental of owner-occupied housing","A2013C1","6,555.0","6,203.0","5,685.0","4,916.0","4,307.0","4,125.0","4,161.0","4,282.0","4,503.0","4,667.0","4,739.0","4,873.0","5,287.0","5,815.0","6,255.0","6,784.0","7,294.0","8,334.0","9,543.0","10,863.0","12,028.0","13,495.0","15,302.0","17,212.0","19,233.0","21,019.0","22,726.0","24,548.0","26,392.0","28,367.0","30,593.0","32,872.0","34,967.0","37,441.0","39,596.0","41,866.0","44,574.0","47,336.0","50,419.0","54,046.0","58,953.0"
"181",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","155","  Intermediate inputs","A2014C1","771.0","700.0","637.0","525.0","483.0","516.0","537.0","597.0","635.0","601.0","638.0","684.0","764.0","793.0","744.0","762.0","817.0","1,536.0","2,081.0","2,473.0","2,668.0","2,933.0","3,151.0","3,218.0","3,345.0","3,286.0","3,393.0","3,527.0","3,534.0","3,606.0","3,602.0","3,568.0","3,550.0","3,613.0","3,711.0","3,878.0","4,058.0","4,108.0","4,325.0","5,131.0","5,775.0"
"183","156","    Imputed services (179+185)","Y680RC1","79.0","66.0","60.0","51.0","37.0","38.0","42.0","46.0","51.0","54.0","63.0","72.0","85.0","85.0","71.0","71.0","73.0","90.0","122.0","152.0","166.0","187.0","227.0","247.0","277.0","299.0","334.0","377.0","397.0","413.0","461.0","483.0","470.0","491.0","521.0","545.0","598.0","682.0","708.0","827.0","852.0"
"184","157","    Intermediate inputs excluding imputations (155-156)","Y681RC1","692.0","634.0","577.0","474.0","446.0","478.0","495.0","551.0","584.0","547.0","575.0","612.0","679.0","708.0","673.0","691.0","744.0","1,446.0","1,959.0","2,321.0","2,502.0","2,746.0","2,924.0","2,971.0","3,068.0","2,987.0","3,059.0","3,150.0","3,137.0","3,193.0","3,141.0","3,085.0","3,080.0","3,122.0","3,190.0","3,333.0","3,460.0","3,426.0","3,617.0","4,304.0","4,923.0"
"185","158","  Taxes on production and imports","A2016C1","1,085.0","1,117.0","1,104.0","1,041.0","921.0","930.0","947.0","930.0","938.0","953.0","929.0","955.0","962.0","1,008.0","1,057.0","1,126.0","1,197.0","1,181.0","1,293.0","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,837.0","5,303.0","5,868.0","6,373.0","7,019.0","7,660.0","8,344.0","8,999.0","10,071.0","11,363.0","12,702.0"
"186","159","  Subsidies","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"187","160","  Net interest (226-179-185)","A2015C1","920.0","930.0","919.0","874.0","830.0","787.0","763.0","743.0","713.0","673.0","646.0","643.0","674.0","710.0","734.0","761.0","812.0","915.0","1,071.0","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,516.0"
"188","161","    Imputations (-179-185)","Y682RC1","-79.0","-66.0","-60.0","-51.0","-37.0","-38.0","-42.0","-46.0","-51.0","-54.0","-63.0","-72.0","-85.0","-85.0","-71.0","-71.0","-73.0","-90.0","-122.0","-152.0","-166.0","-187.0","-227.0","-247.0","-277.0","-299.0","-334.0","-377.0","-397.0","-413.0","-461.0","-483.0","-470.0","-491.0","-521.0","-545.0","-598.0","-682.0","-708.0","-827.0","-852.0"
"189","162","    Monetary interest (226)","W498RC1","999.0","996.0","979.0","925.0","867.0","825.0","805.0","789.0","764.0","727.0","709.0","715.0","759.0","795.0","805.0","832.0","885.0","1,005.0","1,193.0","1,414.0","1,585.0","1,807.0","2,136.0","2,453.0","2,768.0","3,185.0","3,627.0","4,281.0","4,970.0","5,651.0","6,348.0","7,051.0","7,716.0","8,632.0","9,351.0","10,297.0","11,262.0","12,150.0","12,862.0","13,949.0","15,368.0"
"190","163","  Current transfer payments","W536RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-5.0","-34.0","-57.0","-57.0","-80.0","-106.0","-76.0","29.0","-37.0","-33.0","-27.0"
"191","164","  Rental income of persons with capital consumption adjustment (154-155-158+159-160-163-165)","B1156C1","2,755.0","2,443.0","2,105.0","1,734.0","1,349.0","1,086.0","1,113.0","1,171.0","1,280.0","1,470.0","1,544.0","1,560.0","1,741.0","2,064.0","2,376.0","2,663.0","2,877.0","2,900.0","2,766.0","2,996.0","3,398.0","4,005.0","4,634.0","5,607.0","6,718.0","7,641.0","8,044.0","8,218.0","8,638.0","9,155.0","10,075.0","10,993.0","11,664.0","12,461.0","12,911.0","13,057.0","13,388.0","13,920.0","14,438.0","14,101.0","14,414.0"
"192","165","  Consumption of fixed capital","B2607C1","1,028.0","1,015.0","923.0","743.0","726.0","808.0","804.0","844.0","938.0","971.0","983.0","1,032.0","1,148.0","1,243.0","1,345.0","1,474.0","1,592.0","1,804.0","2,334.0","2,707.0","2,914.0","3,179.0","3,637.0","3,963.0","4,225.0","4,493.0","4,885.0","5,338.0","5,630.0","5,877.0","6,194.0","6,476.0","6,697.0","6,912.0","7,207.0","7,629.0","8,197.0","8,813.0","9,470.0","10,364.0","11,576.0"
"193","166","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \2\","A2050C1","293.0","295.0","280.0","262.0","255.0","267.0","267.0","276.0","297.0","300.0","303.0","312.0","331.0","354.0","368.0","379.0","386.0","449.0","571.0","641.0","670.0","719.0","843.0","906.0","962.0","1,008.0","1,085.0","1,215.0","1,336.0","1,406.0","1,498.0","1,603.0","1,708.0","1,841.0","1,996.0","2,198.0","2,436.0","2,741.0","3,061.0","3,417.0","3,848.0"
"194","167","  Monetary interest (227)","W319RC1","91.0","93.0","93.0","95.0","94.0","93.0","92.0","91.0","87.0","84.0","82.0","80.0","77.0","74.0","69.0","67.0","61.0","59.0","63.0","65.0","71.0","75.0","77.0","82.0","84.0","88.0","92.0","95.0","99.0","102.0","110.0","125.0","140.0","155.0","175.0","223.0","275.0","356.0","447.0","540.0","640.0"
"195","168","  Consumption of fixed capital","B1157C1","202.0","202.0","187.0","167.0","161.0","174.0","175.0","185.0","210.0","216.0","221.0","232.0","254.0","280.0","299.0","312.0","325.0","390.0","508.0","576.0","599.0","644.0","766.0","824.0","878.0","920.0","993.0","1,120.0","1,237.0","1,304.0","1,388.0","1,478.0","1,568.0","1,686.0","1,821.0","1,975.0","2,161.0","2,385.0","2,614.0","2,877.0","3,208.0"
"196","169","Financial services furnished without payment (170+175)","W537RC1","2,086.0","1,799.0","1,548.0","1,252.0","987.0","1,024.0","1,139.0","1,284.0","1,356.0","1,321.0","1,405.0","1,371.0","1,463.0","1,586.0","1,707.0","1,940.0","2,178.0","2,889.0","3,092.0","3,409.0","3,557.0","3,870.0","4,314.0","4,782.0","5,529.0","5,781.0","6,486.0","7,309.0","7,682.0","7,740.0","8,624.0","9,524.0","9,812.0","10,259.0","10,437.0","11,638.0","12,446.0","13,908.0","15,329.0","17,151.0","21,554.0"
"197","170","  Depositor services","Y521RC1","2,005.0","1,732.0","1,487.0","1,202.0","952.0","988.0","1,100.0","1,241.0","1,309.0","1,271.0","1,347.0","1,304.0","1,383.0","1,478.0","1,597.0","1,840.0","2,002.0","2,299.0","2,278.0","2,376.0","2,420.0","2,566.0","2,726.0","3,045.0","3,614.0","3,831.0","4,352.0","4,842.0","5,013.0","4,972.0","5,570.0","6,152.0","6,374.0","6,553.0","6,529.0","7,456.0","7,657.0","8,274.0","9,412.0","10,173.0","13,785.0"
"198","171","    Persons","B1611C1","857.0","777.0","615.0","465.0","398.0","380.0","455.0","517.0","563.0","517.0","517.0","561.0","590.0","614.0","649.0","689.0","731.0","987.0","1,055.0","1,071.0","1,086.0","1,185.0","1,244.0","1,340.0","1,764.0","1,947.0","2,285.0","2,551.0","2,571.0","2,547.0","2,782.0","3,075.0","3,249.0","3,360.0","3,219.0","3,807.0","3,993.0","4,373.0","4,910.0","5,226.0","7,169.0"
"199","172","    Government","W538RC1","180.0","160.0","153.0","154.0","153.0","200.0","191.0","214.0","161.0","209.0","251.0","151.0","144.0","194.0","277.0","415.0","475.0","369.0","226.0","281.0","278.0","262.0","273.0","308.0","343.0","378.0","405.0","439.0","485.0","508.0","537.0","620.0","632.0","654.0","743.0","848.0","828.0","817.0","953.0","1,063.0","1,384.0"
"200","173","    Private enterprises","W539RC1","924.0","758.0","687.0","554.0","378.0","384.0","428.0","472.0","521.0","484.0","499.0","483.0","542.0","562.0","530.0","569.0","653.0","809.0","884.0","909.0","923.0","972.0","1,037.0","1,208.0","1,322.0","1,334.0","1,485.0","1,670.0","1,759.0","1,719.0","2,043.0","2,258.0","2,295.0","2,334.0","2,374.0","2,583.0","2,614.0","2,853.0","3,311.0","3,615.0","4,845.0"
"201","174","    Rest of the world \3\","W540RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"202","175","  Borrower services","W541RC1","81.0","67.0","61.0","50.0","35.0","36.0","39.0","43.0","47.0","50.0","58.0","67.0","80.0","108.0","110.0","100.0","176.0","590.0","814.0","1,033.0","1,137.0","1,304.0","1,588.0","1,737.0","1,915.0","1,950.0","2,134.0","2,467.0","2,669.0","2,768.0","3,054.0","3,372.0","3,438.0","3,706.0","3,908.0","4,182.0","4,789.0","5,634.0","5,917.0","6,978.0","7,769.0"
"203","176","    Persons","W542RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","46.0","37.0","36.0","60.0","108.0","153.0","188.0","237.0","285.0","314.0","389.0","405.0","465.0","540.0","597.0","587.0","669.0","772.0","827.0","886.0","942.0","1,031.0","1,179.0","1,354.0","1,390.0","1,663.0","1,723.0"
"204","177","    Government","W543RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76.0","63.0","52.0","52.0","50.0","49.0","45.0","36.0","25.0","29.0","16.0","4.0","0.0","28.0","0.0","0.0","9.0","33.0","1.0","0.0","1.0","11.0","53.0","36.0","462.0"
"205","178","    Private enterprises","W544RC1","81.0","67.0","61.0","50.0","35.0","36.0","39.0","43.0","47.0","50.0","58.0","67.0","80.0","80.0","64.0","63.0","64.0","467.0","654.0","828.0","899.0","1,018.0","1,258.0","1,363.0","1,480.0","1,493.0","1,619.0","1,881.0","2,019.0","2,086.0","2,309.0","2,519.0","2,512.0","2,674.0","2,854.0","3,013.0","3,430.0","4,086.0","4,300.0","5,100.0","5,425.0"
"206","179","      Of which: Owner-occupied housing","W546RC1","75.0","62.0","56.0","46.0","32.0","33.0","36.0","40.0","44.0","47.0","55.0","64.0","76.0","76.0","61.0","60.0","61.0","77.0","108.0","137.0","149.0","169.0","208.0","226.0","253.0","273.0","307.0","348.0","365.0","378.0","422.0","443.0","432.0","455.0","485.0","508.0","558.0","640.0","661.0","775.0","795.0"
"207","180","    Rest of the world \4\","W548RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","21.0","23.0","34.0","42.0","53.0","67.0","76.0","81.0","90.0","113.0","111.0","138.0","179.0","183.0","174.0","179.0","159.0"
"208","181","Premium supplements for property and casualty insurance (182+183+184+186-187)","Y524RC1","58.0","57.0","56.0","54.0","55.0","59.0","63.0","66.0","71.0","71.0","74.0","76.0","80.0","89.0","93.0","97.0","102.0","108.0","123.0","136.0","143.0","150.0","171.0","197.0","226.0","240.0","254.0","273.0","304.0","339.0","373.0","407.0","435.0","460.0","487.0","522.0","567.0","639.0","717.0","793.0","897.0"
"209","182","  Persons and nonprofit institutions serving households","W549RC1","16.0","16.0","15.0","13.0","13.0","15.0","16.0","18.0","20.0","19.0","20.0","20.0","22.0","27.0","29.0","30.0","32.0","36.0","44.0","50.0","53.0","56.0","67.0","80.0","96.0","104.0","110.0","119.0","135.0","151.0","167.0","185.0","199.0","212.0","230.0","251.0","277.0","321.0","362.0","403.0","453.0"
"210","183","  Government","W550RC1","7.0","7.0","7.0","7.0","7.0","7.0","8.0","8.0","8.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","10.0","11.0","11.0","12.0","12.0","13.0","13.0","15.0","15.0","16.0","16.0","17.0","18.0","19.0","20.0","20.0","21.0","21.0","21.0","22.0","24.0","26.0","29.0","29.0","30.0"
"211","184","  Private enterprises","W551RC1","34.0","33.0","33.0","34.0","34.0","36.0","38.0","39.0","41.0","42.0","44.0","45.0","47.0","50.0","52.0","54.0","57.0","61.0","68.0","74.0","78.0","81.0","91.0","102.0","115.0","120.0","128.0","137.0","151.0","169.0","186.0","202.0","215.0","227.0","236.0","249.0","266.0","292.0","326.0","361.0","414.0"
"212","185","    Of which: Owner-occupied housing","W316RC1","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","8.0","8.0","9.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","57.0"
"213","186","  To the rest of the world (exports)","W554RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"214","187","  From the rest of the world (imports)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"215",NA,"Defined benefit and defined contribution pension plans:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","188","  Output","Y204RC1","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","6.0","8.0","9.0","9.0","8.0","9.0","9.0","9.0","10.0","13.0","27.0","35.0","23.0","35.0","18.0","43.0","46.0","53.0","60.0","68.0","544.0","598.0"
"217","189","  Imputed employer contributions","Y604RC1","324.0","336.0","332.0","290.0","247.0","260.0","331.0","386.0","391.0","432.0","457.0","639.0","1,423.0","2,804.0","3,190.0","3,148.0","3,141.0","2,979.0","2,424.0","2,460.0","2,598.0","3,131.0","4,444.0","5,119.0","5,247.0","5,228.0","5,144.0","5,079.0","5,379.0","5,515.0","5,308.0","5,424.0","5,764.0","5,742.0","5,931.0","6,117.0","6,812.0","7,594.0","7,757.0","7,760.0","8,366.0"
"218","190","    Corporate business","Y240RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,158.0","-1,150.0"
"219","191","    General government","Y670RC1","256.0","267.0","266.0","231.0","184.0","185.0","243.0","293.0","293.0","333.0","354.0","522.0","1,287.0","2,650.0","3,023.0","2,990.0","2,975.0","2,785.0","2,238.0","2,247.0","2,382.0","2,903.0","4,180.0","4,799.0","4,895.0","4,837.0","4,775.0","4,731.0","4,973.0","5,093.0","4,884.0","4,976.0","5,280.0","5,249.0","5,408.0","5,572.0","6,187.0","6,919.0","7,063.0","8,127.0","8,616.0"
"220","192","    Government enterprises","Y671RC1","68.0","68.0","66.0","60.0","63.0","75.0","88.0","93.0","99.0","99.0","104.0","119.0","137.0","154.0","167.0","158.0","166.0","194.0","186.0","213.0","216.0","228.0","264.0","320.0","352.0","391.0","369.0","348.0","406.0","422.0","424.0","448.0","484.0","492.0","523.0","547.0","625.0","676.0","694.0","792.0","900.0"
"221","193","  Imputed interest on plans' claims on employers","Y609RC1","157.0","185.0","199.0","217.0","230.0","234.0","254.0","274.0","313.0","333.0","363.0","402.0","459.0","590.0","785.0","954.0","1,126.0","1,302.0","1,492.0","1,687.0","1,888.0","2,102.0","2,358.0","2,649.0","3,004.0","3,350.0","3,727.0","4,241.0","4,958.0","5,454.0","5,974.0","6,452.0","7,017.0","7,534.0","8,104.0","8,705.0","9,357.0","10,085.0","10,803.0","12,138.0","14,555.0"
"222","194","    Corporate business","Y245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","331.0","736.0"
"223","195","    Government","Y672RC1","157.0","185.0","199.0","217.0","230.0","234.0","254.0","274.0","313.0","333.0","363.0","402.0","459.0","590.0","785.0","954.0","1,126.0","1,302.0","1,492.0","1,687.0","1,888.0","2,102.0","2,358.0","2,649.0","3,004.0","3,350.0","3,727.0","4,241.0","4,958.0","5,454.0","5,974.0","6,452.0","7,017.0","7,534.0","8,104.0","8,705.0","9,357.0","10,085.0","10,803.0","11,807.0","13,819.0"
"224","196","  Imputed interest payments to persons","Y233RC1","210.0","246.0","275.0","308.0","326.0","333.0","357.0","381.0","429.0","465.0","506.0","552.0","630.0","791.0","1,013.0","1,216.0","1,381.0","1,573.0","1,782.0","2,010.0","2,256.0","2,519.0","2,836.0","3,211.0","3,652.0","4,090.0","4,549.0","5,152.0","6,018.0","6,673.0","7,483.0","8,211.0","9,038.0","9,786.0","10,597.0","11,538.0","12,474.0","13,751.0","15,079.0","16,529.0","19,075.0"
"225","197","  Imputed dividend payments to persons","Y234RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,710.0","2,037.0"
"226","198","  Imputed household contributions and contribution supplements (-188+189+196+197)","Y673RC1","533.0","581.0","606.0","597.0","571.0","591.0","686.0","765.0","818.0","894.0","960.0","1,188.0","2,050.0","3,592.0","4,199.0","4,360.0","4,518.0","4,548.0","4,202.0","4,464.0","4,846.0","5,641.0","7,271.0","8,322.0","8,890.0","9,309.0","9,684.0","10,221.0","11,384.0","12,161.0","12,756.0","13,612.0","14,767.0","15,510.0","16,485.0","17,609.0","19,233.0","21,285.0","22,768.0","25,455.0","28,880.0"
"227","199","  Net change in benefit entitlements for defined benefit pension plans","Y632RC1","571.0","616.0","632.0","612.0","575.0","588.0","694.0","784.0","865.0","959.0","1,039.0","1,282.0","2,153.0","3,778.0","4,504.0","4,696.0","4,889.0","4,771.0","4,532.0","4,971.0","5,514.0","6,429.0","8,168.0","9,279.0","9,658.0","10,015.0","10,527.0","11,332.0","12,698.0","13,566.0","14,150.0","15,082.0","16,243.0","16,889.0","17,935.0","19,209.0","20,716.0","22,641.0","24,417.0","31,676.0","35,873.0"
"228","200","Farm products consumed on farms","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0"
"229","201","  Output","B1008C1","1,713.0","1,552.0","1,265.0","993.0","1,030.0","1,125.0","1,320.0","1,394.0","1,434.0","1,235.0","1,209.0","1,210.0","1,429.0","1,758.0","2,253.0","2,181.0","2,356.0","2,662.0","2,765.0","2,733.0","2,230.0","2,063.0","2,304.0","2,220.0","2,007.0","1,789.0","1,678.0","1,585.0","1,484.0","1,505.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0"
"230","202","  Less: Intermediate inputs","B1161C1","527.0","508.0","381.0","323.0","343.0","410.0","391.0","486.0","446.0","426.0","457.0","492.0","512.0","576.0","744.0","756.0","842.0","934.0","1,041.0","988.0","879.0","826.0","933.0","929.0","844.0","777.0","761.0","729.0","695.0","701.0","652.0","557.0","556.0","513.0","487.0","451.0","422.0","439.0","405.0","395.0","394.0"
"231","203","Employment-related imputations","A2099C1","440.0","418.0","353.0","293.0","278.0","313.0","351.0","375.0","418.0","396.0","402.0","438.0","645.0","1,148.0","1,934.0","2,666.0","3,137.0","3,116.0","2,105.0","2,458.0","2,529.0","2,506.0","3,326.0","3,619.0","3,786.0","3,840.0","3,992.0","4,351.0","4,857.0","5,348.0","5,851.0","6,260.0","6,781.0","7,340.0","7,826.0","8,611.0","9,568.0","10,610.0","11,596.0","13,518.0","15,220.0"
"232","204","  Food furnished to employees, including military and domestic service \5\","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0"
"233","205","  Standard clothing issued to military personnel \5\","DMICRC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51.0","48.0","55.0","69.0","64.0","64.0","76.0","164.0","192.0","204.0","174.0"
