"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"53","32","    Profits before tax (without IVA and CCAdj)","A446RC1","94,433.0","91,367.0","87,954.0","86,475.0","79,199.0","78,969.0","80,988.0","77,494.0","87,060.0","89,776.0","93,344.0","95,483.0","101,061.0","102,197.0","105,844.0","116,300.0","129,079.0","131,024.0","128,741.0","136,086.0","138,049.0","144,043.0","155,547.0","138,592.0","119,159.0","127,473.0","153,487.0","160,447.0","177,534.0","179,347.0","181,424.0","180,360.0","193,604.0","207,992.0","216,224.0","219,703.0","215,695.0","251,069.0","255,419.0","267,979.0","266,654.0","270,233.0","267,844.0","261,392.0","268,384.0","222,794.0","239,513.0","258,456.0","261,172.0","243,187.0","251,032.0","232,393.0","202,466.0","204,493.0","202,802.0","189,200.0","193,500.0","226,349.0","245,506.0","249,969.0","273,921.0","271,658.0","249,199.0","251,909.0","249,737.0","244,737.0","258,864.0","252,869.0","222,822.0","222,920.0","222,156.0","238,983.0","248,079.0","281,990.0","302,299.0","298,758.0","309,527.0","327,451.0","336,632.0","351,877.0","348,260.0","327,626.0","310,292.0","302,914.0","312,202.0","328,882.0","342,389.0","328,382.0","339,290.0","350,752.0","361,725.0","359,617.0","380,492.0","397,516.0","379,778.0","400,096.0","387,879.0","424,438.0","422,243.0","481,495.0","485,842.0","505,155.0","540,667.0","563,289.0","573,585.0","585,490.0","609,752.0","600,389.0","625,957.0","642,422.0","637,708.0","640,992.0","661,626.0","674,753.0","711,956.0","708,993.0","628,114.0","625,161.0","637,136.0","610,855.0","634,901.0","644,548.0","645,889.0","651,237.0","639,731.0","622,995.0","591,600.0","549,305.0","558,639.0","565,186.0","523,060.0","434,055.0","526,510.0","603,315.0","656,666.0","734,238.0","771,256.0","758,922.0","816,335.0","864,780.0","966,292.0","1,040,665.0","1,083,986.0","1,107,366.0","1,356,810.0","1,368,851.0","1,402,273.0","1,529,048.0","1,567,243.0","1,612,182.0","1,655,419.0","1,546,195.0","1,458,388.0","1,486,989.0","1,340,355.0","1,294,398.0","1,140,672.0","1,155,016.0","1,061,872.0","545,427.0","904,601.0","1,034,041.0","1,181,514.0","1,341,292.0","1,397,335.0","1,393,848.0","1,501,894.0","1,488,953.0","1,340,933.0","1,397,808.0","1,347,082.0","1,453,770.0","1,712,377.0","1,714,482.0","1,764,295.0","1,745,976.0","1,782,904.0","1,826,742.0","1,861,347.0","1,858,090.0","1,899,672.0","2,056,159.0","2,086,725.0","2,060,969.0","....."
"54","33","    Profits after tax (without IVA and CCAdj)","A448RC1","52,973.0","50,939.0","48,814.0","47,595.0","44,731.0","44,317.0","45,264.0","43,310.0","49,236.0","51,208.0","55,428.0","57,131.0","60,693.0","61,537.0","63,892.0","69,916.0","79,343.0","80,816.0","80,149.0","84,730.0","88,305.0","91,887.0","98,223.0","86,676.0","75,367.0","80,685.0","96,279.0","101,651.0","110,914.0","114,167.0","116,532.0","115,900.0","124,800.0","133,608.0","139,476.0","141,875.0","143,199.0","164,453.0","167,991.0","175,087.0","176,546.0","179,301.0","177,260.0","172,952.0","171,368.0","145,570.0","156,353.0","167,096.0","170,056.0","160,539.0","164,880.0","154,953.0","136,730.0","136,049.0","134,198.0","125,988.0","129,332.0","147,113.0","157,238.0","159,049.0","170,037.0","168,770.0","158,127.0","159,629.0","151,049.0","147,765.0","156,600.0","153,169.0","116,242.0","116,584.0","114,852.0","120,503.0","129,373.0","149,196.0","164,391.0","166,402.0","180,196.0","190,821.0","189,980.0","197,970.0","189,906.0","182,598.0","169,870.0","162,446.0","172,877.0","184,007.0","192,563.0","180,713.0","197,653.0","213,972.0","224,289.0","221,106.0","232,289.0","247,765.0","235,749.0","247,327.0","229,739.0","254,348.0","260,120.0","287,711.0","311,305.0","321,539.0","339,533.0","350,011.0","356,015.0","370,705.0","388,086.0","383,058.0","404,369.0","409,039.0","403,928.0","403,867.0","423,409.0","431,812.0","456,886.0","463,538.0","379,601.0","379,672.0","384,919.0","363,610.0","378,674.0","390,469.0","386,725.0","385,571.0","365,429.0","349,876.0","336,904.0","291,053.0","334,149.0","348,547.0","328,023.0","257,039.0","347,250.0","417,359.0","462,942.0","523,833.0","539,717.0","531,948.0","569,110.0","595,451.0","688,663.0","742,468.0","763,559.0","779,244.0","951,718.0","973,209.0","999,216.0","1,083,302.0","1,106,517.0","1,137,010.0","1,158,715.0","1,085,357.0","984,201.0","1,018,927.0","909,265.0","885,617.0","785,394.0","810,883.0","749,279.0","321,033.0","689,604.0","793,609.0","896,515.0","1,003,941.0","1,052,512.0","1,042,170.0","1,114,424.0","1,090,642.0","943,438.0","1,014,428.0","996,081.0","1,069,269.0","1,261,087.0","1,240,977.0","1,323,737.0","1,292,202.0","1,307,994.0","1,367,587.0","1,393,821.0","1,362,641.0","1,337,362.0","1,448,201.0","1,484,231.0","1,463,229.0","....."
"55","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1","32,729.0","30,511.0","28,610.0","26,859.0","24,671.0","23,789.0","25,048.0","22,630.0","27,988.0","31,480.0","34,144.0","38,043.0","38,469.0","39,457.0","41,916.0","48,428.0","57,363.0","57,820.0","56,289.0","61,138.0","66,001.0","66,707.0","74,191.0","64,376.0","48,631.0","54,677.0","70,419.0","74,639.0","84,910.0","84,055.0","85,140.0","83,188.0","93,048.0","101,132.0","105,416.0","105,403.0","105,943.0","127,997.0","126,607.0","131,747.0","134,222.0","136,981.0","137,668.0","131,272.0","130,436.0","91,194.0","110,977.0","118,492.0","116,508.0","103,423.0","104,292.0","92,961.0","70,477.0","82,255.0","74,763.0","60,146.0","58,335.0","78,517.0","85,770.0","84,833.0","92,036.0","90,272.0","78,675.0","81,519.0","69,886.0","57,272.0","72,450.0","66,139.0","30,500.0","24,528.0","28,910.0","31,054.0","35,477.0","56,841.0","70,631.0","63,985.0","94,408.0","97,425.0","77,900.0","97,133.0","63,768.0","56,239.0","39,098.0","40,219.0","27,073.0","42,784.0","49,369.0","34,582.0","47,983.0","56,740.0","67,609.0","59,943.0","78,639.0","88,874.0","74,855.0","74,833.0","50,271.0","74,045.0","75,911.0","92,739.0","121,129.0","121,541.0","143,851.0","144,639.0","143,528.0","155,092.0","152,921.0","141,610.0","155,351.0","154,121.0","134,785.0","124,399.0","141,987.0","147,367.0","163,246.0","154,077.0","69,129.0","61,725.0","72,425.0","45,315.0","71,941.0","81,602.0","96,156.0","66,260.0","21,312.0","-13,034.0","-35,831.0","-50,960.0","5,252.0","37,005.0","-12,329.0","-81,808.0","3,485.0","60,801.0","124,959.0","153,024.0","197,542.0","105,402.0","166,663.0","159,107.0","218,071.0","276,310.0","297,876.0","174,593.0","494,649.0","566,948.0","749,351.0","917,835.0","523,171.0","544,068.0","502,288.0","325,654.0","321,790.0","352,234.0","213,567.0","196,503.0","144,169.0","164,959.0","120,469.0","-275,411.0","118,761.0","303,544.0","518,178.0","617,216.0","633,622.0","631,283.0","651,664.0","613,044.0","428,278.0","477,849.0","438,156.0","483,888.0","663,136.0","635,523.0","682,128.0","416,100.0","610,446.0","431,052.0","577,175.0","506,550.0","596,918.0","734,004.0","774,330.0","729,185.0","....."
"56","35","    Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-143,904.0","-89,464.0","-32,560.0","-7,228.0","-32,296.0","11,304.0","-13,900.0","-3,104.0","-1,720.0","15,172.0","2,848.0","-2,972.0","-24,608.0","-12,688.0","4,004.0","31,484.0","....."
"57","36","    Capital consumption adjustment","A059RC1","7,714.0","7,749.0","7,652.0","7,421.0","7,056.0","6,700.0","6,355.0","6,020.0","5,694.0","5,670.0","5,948.0","6,527.0","7,409.0","7,973.0","8,219.0","8,149.0","7,761.0","7,233.0","6,563.0","5,755.0","4,804.0","3,462.0","1,728.0","-398.0","-2,917.0","-4,906.0","-6,365.0","-7,293.0","-7,691.0","-7,880.0","-7,857.0","-7,624.0","-7,181.0","-6,937.0","-6,889.0","-7,041.0","-7,389.0","-7,826.0","-8,351.0","-8,962.0","-9,662.0","-10,887.0","-12,636.0","-14,911.0","-17,710.0","-18,572.0","-17,496.0","-14,482.0","-9,530.0","-5,539.0","-2,510.0","-441.0","667.0","2,857.0","6,131.0","10,485.0","15,923.0","21,059.0","25,893.0","30,425.0","34,656.0","39,934.0","46,259.0","53,632.0","62,050.0","66,526.0","67,056.0","63,640.0","56,280.0","51,272.0","48,614.0","48,309.0","50,354.0","51,603.0","52,055.0","51,711.0","50,569.0","49,364.0","48,095.0","46,760.0","45,363.0","43,133.0","40,070.0","36,175.0","31,448.0","27,375.0","23,957.0","21,193.0","19,083.0","17,439.0","16,264.0","15,554.0","15,313.0","15,303.0","15,526.0","15,982.0","16,670.0","18,308.0","20,893.0","24,429.0","28,914.0","32,200.0","34,290.0","35,180.0","34,873.0","35,222.0","36,223.0","37,878.0","40,188.0","42,734.0","45,515.0","48,532.0","51,783.0","54,287.0","56,044.0","57,053.0","57,313.0","58,608.0","60,938.0","64,302.0","68,701.0","70,195.0","68,783.0","64,466.0","57,244.0","51,828.0","48,217.0","46,411.0","42,594.0","38,257.0","55,183.0","85,403.0","118,548.0","117,480.0","110,322.0","102,017.0","84,937.0","103,805.0","100,769.0","96,415.0","82,619.0","74,093.0","64,967.0","51,073.0","-124,432.0","-137,453.0","-148,152.0","-163,814.0","-153,861.0","-163,706.0","-173,711.0","-185,690.0","-175,410.0","-180,672.0","-181,604.0","-181,922.0","-52,317.0","-56,238.0","-65,215.0","-67,927.0","-93,803.0","-81,638.0","-74,695.0","-78,824.0","-96,434.0","-101,397.0","-54,437.0","39,220.0","73,545.0","72,941.0","77,816.0","88,141.0","-110,734.0","-105,987.0","-100,789.0","-97,769.0","-127,865.0","-131,417.0","-133,095.0","-134,811.0","-330,451.0","-331,255.0","-330,397.0","-326,485.0","-548,698.0"
"58",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","37","    Profits before tax (without IVA and CCAdj)","A464RC1","80,729.0","77,968.0","74,557.0","72,431.0","64,983.0","64,478.0","64,977.0","60,251.0","70,180.0","72,416.0","74,659.0","76,877.0","81,789.0","82,518.0","86,752.0","96,537.0","108,423.0","109,739.0","107,694.0","114,688.0","117,396.0","123,489.0","134,134.0","118,081.0","98,563.0","107,566.0","133,789.0","138,944.0","153,823.0","154,477.0","155,241.0","152,724.0","164,065.0","176,226.0","182,671.0","184,159.0","178,468.0","210,791.0","213,089.0","224,773.0","224,504.0","227,310.0","226,334.0","220,921.0","230,570.0","187,910.0","206,632.0","223,037.0","227,528.0","212,320.0","221,966.0","204,766.0","179,803.0","178,849.0","174,946.0","156,562.0","157,489.0","187,864.0","210,082.0","215,091.0","238,708.0","237,068.0","216,395.0","215,717.0","206,675.0","199,336.0","210,978.0","203,194.0","166,407.0","163,918.0","166,461.0","184,673.0","196,056.0","221,673.0","237,525.0","234,658.0","250,669.0","260,800.0","265,230.0","281,180.0","270,908.0","249,494.0","229,645.0","225,881.0","228,110.0","238,671.0","249,781.0","236,826.0","225,551.0","231,166.0","237,624.0","235,312.0","240,672.0","262,418.0","250,893.0","274,246.0","274,817.0","307,555.0","304,734.0","349,287.0","361,027.0","384,884.0","408,163.0","437,387.0","441,332.0","444,383.0","462,168.0","460,197.0","475,537.0","489,061.0","488,194.0","502,884.0","504,409.0","514,241.0","548,641.0","541,127.0","483,009.0","487,163.0","500,947.0","474,498.0","482,724.0","498,842.0","486,029.0","490,619.0","483,092.0","478,717.0","442,665.0","400,323.0","381,586.0","375,190.0","325,991.0","218,234.0","271,930.0","332,476.0","382,584.0","450,963.0","471,892.0","460,125.0","505,687.0","547,451.0","628,346.0","698,753.0","733,639.0","739,930.0","937,455.0","988,624.0","972,862.0","1,119,339.0","1,138,894.0","1,171,215.0","1,250,779.0","1,159,572.0","1,136,977.0","1,152,861.0","1,019,572.0","1,064,658.0","935,245.0","966,954.0","1,006,186.0","612,856.0","654,862.0","674,338.0","751,472.0","929,323.0","1,009,710.0","1,030,313.0","1,085,050.0","1,031,629.0","967,609.0","1,040,063.0","1,010,999.0","1,017,128.0","1,243,625.0","1,243,811.0","1,239,920.0","1,254,339.0","1,278,009.0","1,301,245.0","1,307,289.0","1,308,683.0","1,418,828.0","1,541,636.0","1,556,019.0","1,543,232.0","....."
"60","38","    Profits after tax (without IVA and CCAdj)","A466RC1","45,749.0","44,048.0","42,001.0","40,511.0","37,491.0","36,966.0","36,953.0","34,135.0","40,368.0","41,856.0","45,115.0","46,813.0","49,853.0","50,478.0","53,248.0","58,837.0","67,767.0","69,155.0","68,786.0","73,200.0","77,116.0","81,105.0","87,166.0","76,317.0","64,715.0","70,250.0","86,069.0","90,196.0","98,427.0","100,789.0","102,301.0","100,768.0","108,213.0","115,514.0","120,039.0","121,043.0","121,744.0","141,067.0","143,561.0","150,525.0","153,228.0","155,758.0","155,270.0","152,337.0","153,858.0","129,998.0","141,088.0","150,393.0","155,620.0","147,732.0","153,950.0","145,302.0","130,011.0","127,629.0","124,658.0","112,810.0","112,017.0","127,864.0","140,630.0","143,131.0","156,488.0","155,988.0","145,851.0","145,801.0","135,323.0","131,408.0","137,134.0","131,986.0","93,207.0","92,054.0","92,005.0","99,241.0","110,420.0","125,317.0","138,043.0","139,213.0","152,689.0","158,148.0","160,628.0","170,603.0","158,225.0","147,610.0","135,205.0","130,056.0","133,572.0","139,363.0","147,761.0","138,880.0","130,123.0","143,750.0","152,201.0","149,187.0","151,985.0","167,432.0","156,442.0","174,653.0","177,412.0","196,598.0","203,786.0","226,433.0","243,957.0","260,211.0","270,194.0","287,675.0","300,274.0","308,022.0","319,360.0","319,133.0","329,679.0","334,902.0","334,204.0","345,179.0","350,523.0","356,478.0","378,400.0","377,580.0","321,662.0","328,547.0","339,110.0","321,626.0","312,647.0","329,207.0","316,179.0","314,696.0","301,808.0","297,912.0","283,827.0","240,479.0","258,443.0","256,384.0","213,152.0","128,040.0","185,643.0","238,712.0","283,633.0","341,540.0","344,318.0","341,301.0","373,273.0","394,706.0","463,713.0","513,272.0","534,619.0","541,107.0","673,327.0","723,375.0","715,217.0","818,897.0","844,713.0","862,364.0","921,416.0","861,157.0","825,748.0","850,372.0","740,646.0","782,024.0","687,214.0","714,122.0","750,791.0","459,375.0","487,173.0","512,566.0","581,509.0","717,368.0","800,870.0","810,095.0","855,706.0","807,694.0","747,843.0","814,288.0","775,380.0","783,095.0","975,287.0","977,633.0","970,792.0","972,498.0","947,718.0","975,222.0","988,031.0","966,874.0","1,052,613.0","1,146,880.0","1,155,994.0","1,147,847.0","....."
"61","39","    Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-143,904.0","-89,464.0","-32,560.0","-7,228.0","-32,296.0","11,304.0","-13,900.0","-3,104.0","-1,720.0","15,172.0","2,848.0","-2,972.0","-24,608.0","-12,688.0","4,004.0","31,484.0","....."
"62","40","    Capital consumption adjustment","B470RC1","7,826.0","7,860.0","7,772.0","7,562.0","7,229.0","6,901.0","6,579.0","6,263.0","5,951.0","5,927.0","6,191.0","6,742.0","7,581.0","8,093.0","8,278.0","8,137.0","7,669.0","7,086.0","6,387.0","5,574.0","4,645.0","3,359.0","1,716.0","-284.0","-2,642.0","-4,489.0","-5,826.0","-6,651.0","-6,966.0","-7,069.0","-6,959.0","-6,638.0","-6,105.0","-5,828.0","-5,806.0","-6,041.0","-6,531.0","-7,043.0","-7,575.0","-8,127.0","-8,701.0","-9,689.0","-11,091.0","-12,907.0","-15,137.0","-15,673.0","-14,514.0","-11,660.0","-7,111.0","-3,291.0","-199.0","2,165.0","3,801.0","6,230.0","9,453.0","13,468.0","18,277.0","23,034.0","27,738.0","32,390.0","36,990.0","42,402.0","48,626.0","55,663.0","63,511.0","67,647.0","68,069.0","64,777.0","57,772.0","52,973.0","50,379.0","49,992.0","51,810.0","53,060.0","53,742.0","53,855.0","53,400.0","52,727.0","51,837.0","50,728.0","49,403.0","47,712.0","45,656.0","43,234.0","40,448.0","37,831.0","35,385.0","33,109.0","31,003.0","29,684.0","29,154.0","29,411.0","30,456.0","31,220.0","31,704.0","31,907.0","31,830.0","32,875.0","35,041.0","38,330.0","42,741.0","45,540.0","46,729.0","46,306.0","44,272.0","43,432.0","43,784.0","45,328.0","48,066.0","50,062.0","51,317.0","51,831.0","51,603.0","51,616.0","51,871.0","52,366.0","53,102.0","54,431.0","56,354.0","58,869.0","61,978.0","62,757.0","61,207.0","57,327.0","51,118.0","46,461.0","43,357.0","41,804.0","37,284.0","33,312.0","48,174.0","75,876.0","106,144.0","106,506.0","101,870.0","96,532.0","83,338.0","102,114.0","101,512.0","99,830.0","90,677.0","85,650.0","79,809.0","69,728.0","-84,625.0","-95,353.0","-105,385.0","-120,713.0","-113,762.0","-124,217.0","-134,084.0","-145,617.0","-136,356.0","-140,582.0","-140,683.0","-139,823.0","-23,645.0","-25,932.0","-32,787.0","-33,857.0","-53,892.0","-40,617.0","-33,606.0","-36,165.0","-53,170.0","-58,725.0","-16,583.0","67,866.0","96,913.0","93,889.0","96,814.0","105,724.0","-73,857.0","-68,871.0","-63,454.0","-59,757.0","-85,925.0","-88,095.0","-89,082.0","-90,258.0","-268,350.0","-268,734.0","-267,797.0","-264,392.0","-465,231.0"
"63",NA,"  Value added, in millions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
