"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"140","117","  Imputations (173+185+186)","W522RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","6,445.0","5,913.0","5,862.0","5,981.0","5,508.0","5,560.0","6,709.0","8,168.0","9,704.0","9,609.0","8,746.0","8,741.0","8,955.0","8,737.0","9,696.0","9,791.0","10,668.0","11,627.0","13,136.0","10,346.0","14,199.0","14,990.0","18,187.0","18,198.0","16,441.0","16,793.0","17,968.0","17,426.0"
"141","118","  Excluding imputations (116-117)","W523RC1","63,317.0","72,057.0","76,465.0","86,551.0","118,171.0","155,518.0","165,145.0","180,677.0","195,333.0","231,980.0","297,490.0","359,089.0","396,785.0","382,711.0","375,368.0","421,093.0","409,954.0","425,879.0","481,317.0","590,855.0","676,009.0","735,213.0","757,735.0","778,396.0","802,232.0","895,778.0","1,033,037.0","1,105,248.0","1,225,136.0","1,230,805.0","1,304,663.0","1,469,829.0","1,342,230.0","1,307,646.0","1,384,766.0","1,619,815.0","1,874,342.0","2,186,356.0","2,525,290.0","2,680,684.0","2,218,441.0","2,555,913.0","2,882,221.0","2,970,014.0","3,055,188.0"
"142","119","  Exports of goods and services","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,194,153.0","2,262,216.0"
"143","120","    Imputations (173+179+185)","W512RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","6,193.0","5,976.0","5,252.0","5,257.0","5,188.0","4,641.0","4,522.0","5,621.0","6,918.0","8,175.0","8,097.0","7,457.0","7,491.0","7,135.0","6,699.0","7,166.0","6,054.0","6,224.0","6,639.0","7,169.0","7,078.0","8,305.0","8,312.0","9,572.0","9,404.0","9,342.0","11,489.0","12,379.0","12,275.0"
"144","121","    Excluding imputations (119-120)","W513RC1","51,379.0","59,088.0","62,347.0","70,126.0","94,331.0","125,264.0","136,990.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,143.0","280,290.0","272,948.0","298,315.0","297,016.0","315,024.0","358,692.0","439,344.0","499,103.0","547,233.0","590,410.0","627,432.0","647,882.0","712,764.0","804,716.0","860,133.0","946,315.0","945,846.0","985,281.0","1,089,669.0","1,020,659.0","996,285.0","1,033,640.0","1,174,338.0","1,301,823.0","1,468,011.0","1,656,313.0","1,832,370.0","1,578,338.0","1,842,993.0","2,094,882.0","2,181,774.0","2,249,941.0"
"145","122","  Income receipts from the rest of the world","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,662.0","111,324.0","123,286.0","152,116.0","177,699.0","188,847.0","168,363.0","152,052.0","155,600.0","184,543.0","229,833.0","246,404.0","280,071.0","286,779.0","321,420.0","382,690.0","325,308.0","315,805.0","356,114.0","451,444.0","575,787.0","724,239.0","875,655.0","856,929.0","648,897.0","720,019.0","792,643.0","793,829.0","810,398.0"
"146","123","    Imputations (-179+186)","W526RC1","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-276.0","469.0","661.0","605.0","793.0","867.0","1,038.0","1,088.0","1,250.0","1,529.0","1,512.0","1,289.0","1,250.0","1,820.0","2,038.0","2,530.0","3,737.0","4,444.0","4,988.0","5,967.0","3,268.0","5,894.0","6,678.0","8,615.0","8,794.0","7,099.0","5,304.0","5,589.0","5,151.0"
"147","124","    Excluding imputations (122-123)","W527RC1","11,938.0","12,969.0","14,118.0","16,425.0","23,840.0","30,254.0","28,155.0","32,858.0","37,866.0","47,412.0","70,446.0","81,801.0","95,642.0","102,421.0","102,420.0","122,778.0","112,938.0","110,855.0","122,625.0","151,511.0","176,906.0","187,980.0","167,325.0","150,964.0","154,350.0","183,014.0","228,321.0","245,115.0","278,821.0","284,959.0","319,382.0","380,160.0","321,571.0","311,361.0","351,126.0","445,477.0","572,519.0","718,345.0","868,977.0","848,314.0","640,103.0","712,920.0","787,339.0","788,240.0","805,247.0"
"148","125","Current payments to the rest of the world","W163RC1","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","530,176.0","574,998.0","641,323.0","712,442.0","774,342.0","815,619.0","755,416.0","830,680.0","888,931.0","1,020,181.0","1,147,696.0","1,228,101.0","1,363,169.0","1,444,268.0","1,600,422.0","1,883,755.0","1,741,000.0","1,769,223.0","1,912,946.0","2,259,390.0","2,627,548.0","3,004,579.0","3,257,901.0","3,384,993.0","2,613,922.0","3,020,252.0","3,379,524.0","3,470,191.0","3,494,772.0"
"149","126","  Imputations (173+185+186)","W522RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","6,445.0","5,913.0","5,862.0","5,981.0","5,508.0","5,560.0","6,709.0","8,168.0","9,704.0","9,609.0","8,746.0","8,741.0","8,955.0","8,737.0","9,696.0","9,791.0","10,668.0","11,627.0","13,136.0","10,346.0","14,199.0","14,990.0","18,187.0","18,198.0","16,441.0","16,793.0","17,968.0","17,426.0"
"150","127","  Excluding imputations (125-126)","W529RC1","61,713.0","68,332.0","76,153.0","90,592.0","109,309.0","149,547.0","145,305.0","173,583.0","206,246.0","244,607.0","298,657.0","350,578.0","393,409.0","386,011.0","410,421.0","511,170.0","524,259.0","568,553.0","635,410.0","706,580.0","768,361.0","810,111.0","749,856.0","823,971.0","880,763.0","1,010,477.0","1,138,087.0","1,219,355.0","1,354,428.0","1,435,313.0","1,591,685.0","1,874,059.0","1,731,209.0","1,758,555.0","1,901,319.0","2,246,254.0","2,617,202.0","2,990,380.0","3,242,911.0","3,366,806.0","2,595,724.0","3,003,811.0","3,362,731.0","3,452,223.0","3,477,346.0"
"151","128","  Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,762,459.0","2,770,405.0"
"152","129","    Imputations (186)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,044.0","6,970.0","4,436.0","7,446.0","8,302.0","10,373.0","10,309.0","8,689.0","8,227.0","9,368.0","9,814.0"
"153","130","    Excluding imputations (128-129)","W515RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,211.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,245,588.0","1,468,943.0","1,390,485.0","1,423,408.0","1,537,890.0","1,793,707.0","2,025,650.0","2,239,817.0","2,374,865.0","2,554,636.0","1,972,869.0","2,356,303.0","2,678,139.0","2,753,091.0","2,760,591.0"
"154","131","  Income payments to the rest of the world","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","87,297.0","94,367.0","105,798.0","129,459.0","152,910.0","154,155.0","136,777.0","120,975.0","123,602.0","160,678.0","201,075.0","214,622.0","255,969.0","268,545.0","294,289.0","345,683.0","273,505.0","267,206.0","289,000.0","362,312.0","483,218.0","656,639.0","750,074.0","684,918.0","497,849.0","514,050.0","546,004.0","566,467.0","586,069.0"
"155","132","    Imputations (173+185)","W532RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","5,763.0","5,071.0","5,080.0","4,982.0","4,447.0","4,317.0","5,374.0","6,652.0","7,885.0","7,755.0","6,951.0","6,833.0","6,295.0","5,714.0","6,009.0","4,880.0","5,103.0","5,583.0","6,166.0","5,910.0","6,753.0","6,688.0","7,814.0","7,889.0","7,752.0","8,566.0","8,600.0","7,612.0"
"156","133","    Excluding imputations (131-132)","W533RC1","5,280.0","5,954.0","5,907.0","7,149.0","10,282.0","13,347.0","13,434.0","14,315.0","15,691.0","23,514.0","35,430.0","44,131.0","58,611.0","62,992.0","61,287.0","82,420.0","81,380.0","88,604.0","100,727.0","124,379.0","147,928.0","149,708.0","132,460.0","115,601.0","116,950.0","152,793.0","193,320.0","207,671.0","249,136.0","262,250.0","288,575.0","339,674.0","268,625.0","262,103.0","283,417.0","356,146.0","477,308.0","649,886.0","743,386.0","677,104.0","489,960.0","506,298.0","537,438.0","557,867.0","578,457.0"
"157","134","  Current taxes and transfer payments to the rest of the world (net)","A123RC1","5,942.0","6,618.0","7,904.0","9,227.0","7,868.0","8,735.0","9,142.0","8,122.0","8,112.0","8,842.0","10,552.0","12,618.0","17,039.0","19,836.0","20,496.0","23,643.0","25,651.0","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,522.0","65,442.0","72,099.0","73,044.0","80,012.0","96,401.0","114,244.0","100,677.0","124,660.0","135,066.0","132,895.0","141,210.0","147,154.0","141,265.0","138,298.0"
"158",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","135","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1","234,705.0","233,568.0","255,648.0","284,795.0","341,432.0","356,660.0","361,490.0","419,956.0","478,857.0","571,317.0","658,589.0","674,561.0","781,951.0","734,680.0","773,628.0","923,194.0","935,216.0","944,554.0","992,725.0","1,079,634.0","1,177,780.0","1,208,922.0","1,246,315.0","1,263,556.0","1,320,184.0","1,435,955.0","1,520,108.0","1,637,901.0","1,795,846.0","1,872,223.0","1,965,639.0","2,019,774.0","1,953,293.0","1,917,651.0","1,976,650.0","2,138,700.0","2,297,890.0","2,428,972.0","2,518,330.0","2,373,314.0","2,147,862.0","2,304,731.0","2,397,251.0","2,616,378.0","2,822,149.0"
"160","136","  Imputations (208+213)","W558RC1","96,346.0","95,557.0","105,187.0","118,547.0","129,991.0","135,348.0","145,667.0","170,067.0","199,175.0","228,206.0","246,177.0","248,457.0","260,152.0","263,444.0","318,503.0","365,000.0","397,268.0","443,606.0","479,147.0","495,736.0","509,749.0","518,988.0","514,773.0","550,054.0","569,172.0","606,103.0","611,681.0","658,009.0","691,526.0","753,339.0","816,667.0","866,173.0","946,651.0","1,021,828.0","1,116,593.0","1,252,115.0","1,376,631.0","1,409,350.0","1,323,355.0","1,208,214.0","1,109,882.0","1,100,724.0","1,085,698.0","1,117,544.0","1,159,615.0"
"161","137","  Excluding imputations (135-136)","W559RC1","138,359.0","138,011.0","150,461.0","166,248.0","211,441.0","221,312.0","215,823.0","249,889.0","279,682.0","343,111.0","412,412.0","426,104.0","521,799.0","471,236.0","455,125.0","558,194.0","537,948.0","500,948.0","513,578.0","583,898.0","668,031.0","689,934.0","731,542.0","713,502.0","751,012.0","829,852.0","908,427.0","979,892.0","1,104,320.0","1,118,884.0","1,148,972.0","1,153,601.0","1,006,642.0","895,823.0","860,057.0","886,585.0","921,259.0","1,019,622.0","1,194,975.0","1,165,100.0","1,037,980.0","1,204,007.0","1,311,553.0","1,498,834.0","1,662,534.0"
"162","138","Net saving","W201RC1","108,231.0","91,440.0","97,300.0","116,764.0","157,245.0","143,084.0","110,711.0","140,289.0","171,266.0","223,103.0","242,668.0","204,623.0","260,192.0","193,591.0","158,921.0","290,199.0","247,305.0","185,646.0","224,219.0","297,722.0","277,492.0","230,737.0","226,813.0","192,929.0","164,251.0","243,565.0","306,766.0","405,312.0","543,599.0","622,101.0","602,284.0","605,008.0","464,299.0","328,362.0","263,056.0","315,584.0","351,417.0","510,236.0","236,486.0","-89,460.0","-295,847.0","-126,069.0","-15,060.0","295,364.0","406,824.0"
"163","139","  Imputations (208+213-164-167-212)","W534RC1","48,332.0","43,523.0","49,065.0","58,531.0","64,287.0","60,360.0","62,001.0","79,532.0","99,413.0","116,526.0","120,341.0","105,529.0","100,195.0","89,262.0","134,044.0","167,383.0","185,804.0","215,512.0","232,627.0","229,850.0","224,787.0","216,545.0","196,898.0","220,596.0","223,532.0","244,568.0","232,907.0","267,628.0","287,522.0","332,665.0","371,724.0","391,502.0","444,889.0","497,444.0","559,189.0","647,827.0","713,308.0","691,334.0","563,117.0","423,030.0","321,165.0","301,251.0","270,079.0","281,942.0","293,146.0"
"164","140","  Excluding imputations (138-139)","W535RC1","59,899.0","47,917.0","48,235.0","58,233.0","92,958.0","82,724.0","48,710.0","60,757.0","71,853.0","106,577.0","122,327.0","99,094.0","159,997.0","104,329.0","24,877.0","122,816.0","61,501.0","-29,866.0","-8,408.0","67,872.0","52,705.0","14,192.0","29,915.0","-27,667.0","-59,281.0","-1,003.0","73,859.0","137,684.0","256,077.0","289,436.0","230,560.0","213,506.0","19,410.0","-169,082.0","-296,133.0","-332,243.0","-361,891.0","-181,098.0","-326,631.0","-512,490.0","-617,012.0","-427,320.0","-285,139.0","13,422.0","113,678.0"
"165","141","  Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,308.0","148,158.0","166,566.0","177,543.0","213,196.0","252,472.0","277,677.0","246,998.0","312,070.0","265,122.0","269,357.0","252,081.0","294,747.0","316,510.0","335,444.0","365,891.0","426,027.0","367,635.0","331,416.0","352,924.0","345,215.0","352,190.0","405,307.0","302,869.0","307,162.0","334,964.0","405,119.0","408,715.0","410,006.0","237,935.0","329,533.0","310,310.0","542,239.0","672,016.0","628,043.0","711,144.0","896,174.0","608,063.0"
"166","142","    Imputations (198+208-164-167)","A2121C1","57,894.0","61,656.0","76,318.0","89,453.0","92,229.0","86,813.0","92,470.0","106,039.0","132,360.0","148,506.0","148,710.0","130,591.0","128,357.0","121,415.0","166,375.0","227,301.0","224,490.0","244,562.0","264,839.0","282,591.0","293,805.0","287,752.0","274,697.0","319,708.0","325,118.0","353,994.0","339,552.0","349,400.0","366,937.0","385,853.0","394,670.0","388,467.0","439,439.0","484,523.0","555,410.0","645,432.0","705,818.0","652,369.0","509,433.0","375,866.0","295,810.0","274,839.0","261,474.0","275,009.0","282,166.0"
"167","143","    Excluding imputations (141-142)","A2122C1","17,139.0","34,404.0","33,767.0","19,744.0","39,552.0","54,898.0","66,529.0","41,269.0","15,798.0","18,060.0","28,833.0","82,605.0","124,115.0","156,262.0","80,623.0","84,769.0","40,632.0","24,795.0","-12,758.0","12,156.0","22,705.0","47,692.0","91,194.0","106,319.0","42,517.0","-22,578.0","13,372.0","-4,185.0","-14,747.0","19,454.0","-91,801.0","-81,305.0","-104,475.0","-79,404.0","-146,695.0","-235,426.0","-467,883.0","-322,836.0","-199,123.0","166,373.0","376,206.0","353,204.0","449,670.0","621,165.0","325,897.0"
"168","144","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","34,200.0","27,180.0","37,455.0","48,035.0","53,510.0","39,701.0","54,253.0","70,036.0","86,573.0","102,918.0","101,444.0","72,300.0","89,399.0","85,642.0","115,655.0","149,543.0","157,536.0","108,519.0","123,230.0","143,330.0","110,199.0","102,666.0","132,225.0","137,067.0","145,644.0","192,800.0","226,228.0","251,056.0","280,896.0","198,672.0","223,549.0","131,426.0","180,170.0","314,653.0","378,625.0","413,162.0","484,817.0","447,140.0","264,552.0","167,349.0","552,898.0","811,899.0","733,860.0","710,886.0","673,031.0"
"169","145","    Imputations (187-189+194-195-196+197-198)","Y677RC1","-12,538.0","-13,842.0","-15,474.0","-16,080.0","-14,810.0","-17,216.0","-24,048.0","-24,699.0","-29,951.0","-29,772.0","-33,735.0","-38,376.0","-41,821.0","-45,219.0","-51,727.0","-100,420.0","-98,416.0","-97,654.0","-109,963.0","-120,553.0","-125,026.0","-136,062.0","-130,283.0","-130,326.0","-121,798.0","-124,820.0","-120,944.0","-113,559.0","-115,818.0","-99,763.0","-85,938.0","-71,821.0","-65,139.0","-62,437.0","-52,484.0","-50,341.0","-54,009.0","-40,171.0","-65,972.0","-97,389.0","-58,691.0","-36,187.0","-36,263.0","6,335.0","32,570.0"
"170","146","    Excluding imputations (144-145)","Y509RC1","46,738.0","41,022.0","52,929.0","64,115.0","68,320.0","56,917.0","78,301.0","94,735.0","116,524.0","132,690.0","135,179.0","110,676.0","131,220.0","130,861.0","167,382.0","249,963.0","255,952.0","206,173.0","233,193.0","263,883.0","235,225.0","238,728.0","262,508.0","267,393.0","267,442.0","317,620.0","347,172.0","364,615.0","396,714.0","298,435.0","309,487.0","203,247.0","245,309.0","377,090.0","431,109.0","463,503.0","538,826.0","487,311.0","330,524.0","264,738.0","611,589.0","848,086.0","770,123.0","704,551.0","640,461.0"
"171","147","  Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,055.0","-63,465.0","-46,381.0","-36,319.0","-80,873.0","-81,679.0","-169,728.0","-203,732.0","-171,414.0","-175,353.0","-192,230.0","-151,092.0","-140,355.0","-149,217.0","-207,373.0","-271,303.0","-370,165.0","-349,028.0","-280,651.0","-272,386.0","-190,959.0","-89,487.0","18,122.0","75,866.0","166,420.0","-50,835.0","-391,410.0","-524,284.0","-507,584.0","-371,335.0","-266,437.0","-338,376.0","-799,048.0","-1,520,761.0","-1,566,011.0","-1,460,064.0","-1,311,696.0","-874,270.0"
"172","148","    Imputations (213-190-191-194-212)","A2010C1","2,976.0","-4,291.0","-11,779.0","-14,842.0","-13,132.0","-9,236.0","-6,421.0","-1,809.0","-2,996.0","-2,208.0","5,366.0","13,315.0","13,659.0","13,066.0","19,396.0","40,503.0","59,730.0","68,604.0","77,751.0","67,812.0","56,008.0","64,855.0","52,484.0","31,215.0","20,212.0","15,394.0","14,300.0","31,787.0","36,403.0","46,575.0","62,991.0","74,856.0","70,589.0","75,357.0","56,263.0","52,736.0","61,500.0","79,135.0","119,656.0","144,553.0","84,046.0","62,601.0","44,868.0","597.0","-21,590.0"
"173","149","    Excluding imputations (147-148)","A2011C1","-3,978.0","-27,509.0","-38,461.0","-25,626.0","-14,914.0","-29,092.0","-96,120.0","-75,246.0","-60,469.0","-44,173.0","-41,685.0","-94,188.0","-95,338.0","-182,794.0","-223,128.0","-211,917.0","-235,083.0","-260,834.0","-228,843.0","-208,167.0","-205,225.0","-272,228.0","-323,787.0","-401,380.0","-369,240.0","-296,045.0","-286,686.0","-222,746.0","-125,890.0","-28,453.0","12,875.0","91,564.0","-121,424.0","-466,767.0","-580,547.0","-560,320.0","-432,835.0","-345,572.0","-458,032.0","-943,601.0","-1,604,807.0","-1,628,612.0","-1,504,932.0","-1,312,293.0","-852,680.0"
"174","150","Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0"
"175","151","  Imputations (164+167+212)","A2092C1","48,014.0","52,034.0","56,122.0","60,016.0","65,704.0","74,988.0","83,666.0","90,535.0","99,762.0","111,680.0","125,836.0","142,928.0","159,957.0","174,182.0","184,459.0","197,617.0","211,464.0","228,094.0","246,520.0","265,886.0","284,962.0","302,443.0","317,875.0","329,458.0","345,640.0","361,535.0","378,774.0","390,381.0","404,004.0","420,674.0","444,943.0","474,671.0","501,762.0","524,384.0","557,404.0","604,288.0","663,323.0","718,016.0","760,238.0","785,184.0","788,717.0","799,473.0","815,619.0","835,602.0","866,469.0"
"176","152","  Excluding imputations (150-151)","A2093C1","76,849.0","84,749.0","92,743.0","100,881.0","112,376.0","131,180.0","153,871.0","168,674.0","188,572.0","213,383.0","245,297.0","283,079.0","325,089.0","360,134.0","376,087.0","396,717.0","425,189.0","454,069.0","481,432.0","516,501.0","551,148.0","584,386.0","613,250.0","630,267.0","657,958.0","694,037.0","744,009.0","785,639.0","835,951.0","889,597.0","955,918.0","1,039,569.0","1,102,217.0","1,137,684.0","1,169,816.0","1,227,411.0","1,318,633.0","1,418,003.0","1,504,112.0","1,578,189.0","1,579,665.0","1,582,118.0","1,635,024.0","1,694,583.0","1,760,771.0"
"177",NA,"          Specific imputations and associated reclassifications"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","153","  Imputed rental of owner-occupied housing","A2013C1","58,953.0","63,800.0","70,005.0","76,658.0","83,961.0","92,783.0","101,897.0","111,864.0","124,709.0","141,762.0","160,721.0","182,457.0","205,232.0","222,535.0","239,988.0","261,507.0","284,559.0","309,053.0","332,959.0","361,611.0","388,896.0","417,582.0","441,439.0","468,012.0","494,499.0","530,295.0","566,197.0","599,896.0","636,381.0","681,405.0","726,337.0","777,733.0","838,217.0","878,461.0","922,868.0","980,306.0","1,057,891.0","1,123,105.0","1,156,063.0","1,199,253.0","1,223,745.0","1,228,701.0","1,249,165.0","1,279,839.0","1,325,524.0"
"180",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","154","  Intermediate inputs","A2014C1","5,775.0","6,529.0","6,728.0","7,852.0","9,324.0","10,756.0","11,551.0","14,075.0","18,307.0","21,160.0","25,107.0","27,295.0","29,919.0","28,966.0","29,515.0","34,080.0","39,804.0","43,846.0","45,236.0","47,771.0","51,311.0","54,708.0","58,915.0","64,394.0","61,253.0","63,053.0","65,488.0","71,389.0","76,920.0","87,747.0","87,422.0","90,617.0","98,151.0","100,759.0","108,700.0","115,941.0","129,215.0","139,005.0","145,451.0","131,876.0","131,211.0","132,757.0","135,199.0","148,684.0","152,105.0"
"182","155","    Imputed services (178+184)","Y680RC1","852.0","782.0","662.0","768.0","1,267.0","1,521.0","515.0","1,386.0","1,877.0","2,966.0","4,733.0","6,110.0","7,407.0","5,257.0","2,349.0","4,277.0","6,113.0","5,312.0","5,198.0","6,182.0","7,937.0","8,878.0","8,888.0","8,835.0","9,417.0","10,507.0","11,649.0","13,634.0","15,958.0","18,076.0","20,561.0","24,399.0","24,980.0","25,467.0","28,381.0","31,125.0","37,246.0","44,906.0","50,286.0","43,489.0","37,739.0","36,530.0","34,399.0","36,039.0","38,201.0"
"183","156","    Intermediate inputs excluding imputations (154-155)","Y681RC1","4,923.0","5,747.0","6,066.0","7,084.0","8,057.0","9,235.0","11,036.0","12,689.0","16,430.0","18,194.0","20,374.0","21,185.0","22,512.0","23,709.0","27,166.0","29,803.0","33,691.0","38,534.0","40,038.0","41,589.0","43,374.0","45,830.0","50,027.0","55,559.0","51,836.0","52,546.0","53,839.0","57,755.0","60,962.0","69,671.0","66,861.0","66,218.0","73,171.0","75,292.0","80,319.0","84,816.0","91,969.0","94,099.0","95,165.0","88,387.0","93,472.0","96,227.0","100,800.0","112,645.0","113,904.0"
"184","157","  Taxes on production and imports","A2016C1","12,702.0","14,426.0","15,842.0","17,092.0","18,471.0","19,781.0","21,758.0","24,065.0","26,596.0","27,221.0","28,055.0","30,579.0","33,868.0","36,962.0","39,404.0","42,291.0","44,867.0","47,475.0","51,785.0","55,192.0","59,757.0","63,527.0","68,192.0","70,472.0","70,348.0","73,741.0","73,846.0","76,174.0","78,866.0","80,231.0","82,987.0","85,663.0","90,487.0","97,372.0","103,148.0","109,403.0","117,548.0","125,093.0","134,393.0","137,631.0","144,655.0","144,569.0","145,952.0","147,517.0","148,369.0"
"185","158","  Subsidies","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","581.0","1,388.0","4,041.0","2,083.0","7,940.0","3,588.0","1,981.0","1,511.0","905.0","905.0","1,277.0"
"186","159","  Net interest (225-178-184)","A2015C1","14,516.0","15,945.0","18,182.0","20,979.0","24,023.0","27,514.0","32,056.0","36,084.0","42,618.0","50,310.0","60,193.0","71,542.0","83,273.0","99,284.0","112,722.0","125,571.0","139,322.0","155,167.0","166,407.0","177,596.0","191,990.0","205,568.0","211,244.0","213,364.0","209,983.0","213,054.0","232,289.0","239,293.0","252,757.0","262,840.0","279,084.0","305,843.0","326,252.0","329,310.0","320,328.0","322,142.0","365,676.0","418,596.0","460,617.0","470,331.0","430,087.0","388,476.0","355,237.0","325,814.0","295,570.0"
