"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"124","117","  Other goods and services","DOISRA3",12.373,11.572,11.008,9.777,9.232,10.166,10.774,11.495,12.316,12.3,12.791,13.28,14.299,15.113,16.52,16.366,17.068,18.426,18.107,18.377,18.386,18.932,19.385,20.346,20.789,21.192,22.095,22.987,23.973,24.808,26.079,26.768,28.119,29.189,30.125,31.279,33.132,35.677,37.052,38.336,38.549,39.467,40.207,41.784,44.658,44.85,45.119,48.193,50.187,52.629,52.475,51.178,51.538,50.805,52.655,55.273,58.671,61.824,64.318,66.008,67.926,68.443,66.408,69.1,70.738,72.545,74.391,76.994,79.232,82.614,86.035,89.273,90.71,92.55,95.685,98.519,100,101.892,103.721,102.67
"125","118","    Personal care \24\","DPCRRA3",7.641,7.177,6.835,5.997,5.007,5.961,6.313,6.757,7.149,6.926,7.348,7.661,8.321,8.838,9.757,10.174,10.698,10.324,9.841,9.756,9.949,10.625,10.654,11.462,12.192,13.021,13.944,15.092,16.027,16.598,17.341,18.342,20.062,21.541,22.298,23.619,25.159,27.502,28.964,30.039,29.719,30.242,29.834,30.979,33.002,32.563,32.132,33.205,35.701,37.441,38.022,37.622,37.112,35.995,39.736,41.527,43.991,46.541,49.575,52.738,54.601,56.557,54.175,56.778,58.878,61.859,65.435,68.7,71.964,75.865,80.142,84.446,85.712,88.465,92.098,96.989,100,103.304,106.693,108.776
"126","119","    Personal items \25\","DPEORA3",4.647,4.231,3.166,2.662,1.987,2.196,2.575,2.822,3.273,3.379,3.613,3.851,4.395,4.662,5.673,5.384,5.982,7.205,6.786,6.898,6.642,6.914,7.01,7.657,7.833,8.278,8.995,9.284,9.402,9.592,9.996,10.024,10.184,10.856,11.335,12.206,13.717,16.12,16.909,18.53,18.896,19.285,20.751,21.957,25.482,26.706,28.365,32.178,34.242,35.681,33.815,29.267,29.239,29.005,32.039,35.989,38.834,44.075,44.697,44.81,45.039,43.399,42.193,43.689,46.576,48.349,49.87,53.604,55.867,62.203,71.489,78.959,76.426,81.726,87.147,92.905,100,104.047,101.881,92.296
"127","120","    Social services and religious activities \26\","DSOCRA3",4.39,4.573,4.555,4.141,3.811,3.735,3.751,3.935,3.938,3.976,4.064,4.367,4.521,4.744,5.18,5.744,5.839,6.002,5.474,5.504,5.48,5.584,5.598,6.283,6.601,6.959,7.195,7.778,7.99,8.435,9.139,9.275,9.571,9.434,9.945,11.483,12.57,14.004,15.504,16.079,16.571,17.163,18.491,20.354,20.823,19.578,19.946,21.737,23.427,25.588,27.636,28.818,30.37,32.333,34.454,37.113,41.659,45.351,49.071,50.052,54.403,55.674,56.448,59.608,62.36,64.524,66.828,68.263,70.284,74.157,78.499,83.186,89.458,93.167,96.235,99.185,100,102.631,107.318,110.719
"128","121","    Professional and other services","DPRSRA3",23.02,22.063,22.339,20.579,20.898,23.014,23.698,24.635,26.501,26.351,27.202,27.851,28.612,28.553,29.995,28.727,28.055,29.071,28.871,29.343,29.701,29.876,31.252,30.733,31.327,31.842,32.514,32.381,34.124,35.561,37.454,38.319,40.229,41.786,43.731,44.533,46.263,49.643,50.604,52.472,54.121,56.185,56.852,58.145,60.606,61.217,60.551,63.366,65.871,69.839,68.517,67.74,68.148,66.623,64.996,67.119,71.683,74.005,76.283,82.07,84.542,86.483,84.951,87.015,87.114,86.631,85.49,86.979,88.373,91.075,93.214,93.767,95.678,95.566,99.299,99.835,100,100.361,102.21,99.566
"129","122","      Legal services","DGALRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.065,35.964,39.92,41.534,44.448,44.695,45.928,50.324,50.414,51.092,51.921,55.374,56.471,56.628,59.692,61.008,59.299,61.106,63.072,67.611,65.763,65.174,67.773,66.31,63.991,66.449,71.401,74.445,77.991,84.307,86.505,87.763,84.771,86.758,85.892,84.827,82.889,85.464,87.404,89.5,91.375,91.124,92.982,93.261,97.889,99.202,100,101.642,104.696,101.485
"130","123","      Accounting and other business services \27\","DPRORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.446,14.296,14.362,15.678,16.049,18.475,21.594,24.178,26.425,29.339,34.265,33.728,33.148,36.244,37.559,36.995,37.406,39.676,42.67,45.485,44.259,41.27,39.894,36.641,39.27,39.368,41.401,42.006,42.388,48.638,54.472,57.836,58.102,59.88,63.416,67.163,65.408,67.376,70.018,76.829,82.454,87.027,90.233,92.91,95.698,100.182,100,99.347,104.264,102.331
"131","124","      Labor organization dues","DUNSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.808,44.503,45.239,46.352,47.049,49.349,50.752,53.348,56.29,58.189,61.293,63.149,62.845,66.015,70.895,72.06,74.051,78.449,82.287,86.28,88.487,88.302,88.103,93.832,94.493,99.666,107.583,113.752,116.279,118.179,119.815,124.429,127.745,130.312,130.368,130.241,130.703,130.304,131.763,125.065,120.478,115.726,108.372,103.59,104.651,102.986,100,100.252,100.536,104.311
"132","125","      Professional association dues","DAXSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.513,11.85,11.931,13.085,13.889,15.577,19.485,22.454,26.966,31.51,34.334,36.483,39.434,43.09,44.812,47.433,54.77,60.095,64.502,71.4,73.928,73.201,71.375,71.162,67.653,66.933,69.096,71.086,72.239,77.19,80.004,80.793,79.066,77.604,79.788,80.449,85.128,83.802,85.858,88.866,93.387,97.246,102.248,105.991,105.034,103.293,100,102.826,104.59,98.516
"133","126","      Funeral and burial services","DFUNRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.325,80.719,80.2,82.711,85.15,84.877,87.11,89.723,90.153,94.798,94.878,95.401,96.192,98.201,98.073,96.048,93.827,100.041,103.047,105.694,101.732,101.941,95.825,88.489,83.481,85.061,89.423,87.926,86.879,93.246,93.931,96.154,96.156,99.765,99.748,96.301,96.854,94.86,92.14,97.765,99.919,101.13,106.059,102.105,105.768,99.557,100,94.946,88.122,84.793
"134","127","    Tobacco","DTOBRA3",59.225,53.734,54.189,48.111,50.596,54.278,57.496,61.954,65.784,66.298,67.951,69.934,75.931,82.84,87.138,85.054,88.66,100.255,104.059,107.277,107.598,109.209,113.001,117.143,115.953,111.592,113.013,116.375,120.913,124.785,131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.735,138.868,141.207,142.335,145.131,153.354,155.714,155.339,166.019,160.217,163.466,162.151,163.822,166.255,159.454,151.267,151.087,150.558,147.268,147.975,136.663,134.841,129.96,120.577,125.862,123.26,124.803,126.624,128.414,128.775,124.12,115.807,113.047,110.989,107.063,105.168,104.292,100,98.366,95.883,92.718
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRA3",4.677,4.886,4.267,3.878,2.922,2.982,3.131,3.66,4.186,3.59,2.94,1.519,1.701,1.162,1.279,1.478,1.812,2.913,3.957,4.508,5.135,5.611,5.765,6.604,6.935,7.197,8.364,9.091,9.699,10.524,11.29,12.622,12.672,13.611,14.605,15.062,16.216,16.855,20.005,18.941,20.807,23.533,23.255,25.561,25.046,22.96,22.501,23.629,24.432,25.312,24.689,24.193,25.201,28.93,33.355,49.197,54.213,49.071,61.199,63.455,64.635,67.678,62.118,65.466,69.107,73.305,73.021,76.03,83.008,93.383,96.513,107.048,101.267,94.861,91.985,98.803,100,104.355,102.932,99.218
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRA3",2.236,2.081,1.68,1.279,1.383,1.533,1.772,1.943,2.195,2.292,2.537,1.754,1.566,1.866,2.331,2.748,3.076,4.549,4.581,4.08,4.619,4.863,5.337,5.834,6.354,6.612,7.445,8.123,8.504,8.663,8.143,8.497,8.688,8.576,8.912,10.224,11.202,12.313,12.474,13.099,14.386,15.522,16.511,17.888,20.315,21.877,23.581,26.594,26.7,28.48,30.17,33.047,36.342,33.711,30.142,40.74,40.538,46.222,49.622,57.163,66.902,74.881,78.73,86.68,90.194,91.33,96.85,102.79,105.517,102.886,105.202,109.637,98.569,93.952,89.625,96.859,100,100.218,107.931,115.671
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRA3",2.712,2.84,2.904,2.68,2.447,2.304,2.272,2.306,2.233,2.349,2.377,2.536,2.554,2.666,2.913,3.14,3.159,3.261,3.01,3.051,3.072,3.105,3.062,3.404,3.508,3.66,3.738,4.018,4.1,4.32,4.779,5.325,5.46,5.623,5.818,6.462,6.754,7.021,7.389,7.897,8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.383,124.554
"140","133","  Gross output of nonprofit institutions \29\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.915,15.528,16.207,17.06,18.027,19.441,20.548,21.929,23.278,24.986,26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.709,109.383
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.085,21.155,22.288,23.722,25.327,26.929,28.615,30.915,32.947,35.429,37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.937,104.611
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","service; and other household service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","9. Excludes drug preparations and related products dispensed by physicians, hospitals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","and other medical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","10. Consists of offices of physicians, health maintenance organization medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","centers, and freestanding ambulatory surgical and emergency centers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","11. Includes podiatrists, chiropractors, mental health practitioners (except physicians),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","physical, occupational and speech therapists, audiologists, all other health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","practitioners, ambulance services, kidney dialysis centers, and blood and organ bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","12. Consists of nonprofit hospitals, proprietary hospitals, and government hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Consists of primary sales of these hospitals for personal consumption.  Expenses of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","nonprofit hospitals are included in the expenditures of nonprofit institutions serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","households (NPISHs).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
