"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"148","124","  Personal saving","A071RC1","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,648.0","318,236.0","143,168.0","256,615.0","248,729.0","592,342.0","508,165.0","566,699.0","489,358.0"
"149","125","    Imputations (176-140-144)","A2121C1","23,923.0","21,799.0","31,313.0","40,847.0","45,076.0","36,801.0","35,766.0","52,338.0","74,166.0","85,655.0","83,491.0","63,803.0","58,597.0","48,358.0","86,757.0","107,616.0","109,540.0","132,675.0","146,151.0","152,971.0","149,090.0","132,641.0","120,012.0","148,744.0","165,801.0","194,078.0","178,808.0","206,626.0","223,321.0","260,242.0","281,081.0","293,693.0","309,641.0","334,730.0","383,926.0","464,878.0","532,362.0","503,072.0","376,256.0","232,402.0","125,925.0","104,899.0","97,064.0"
"150","126","    Excluding imputations (124-125)","A2122C1","28,541.0","47,629.0","49,109.0","36,615.0","57,855.0","77,380.0","90,177.0","70,457.0","51,136.0","56,720.0","73,960.0","132,506.0","178,143.0","215,555.0","140,169.0","188,648.0","144,059.0","113,778.0","77,287.0","103,646.0","115,891.0","144,051.0","193,182.0","199,323.0","119,585.0","76,605.0","107,449.0","74,515.0","57,103.0","81,236.0","-73,301.0","-80,597.0","-104,725.0","-52,530.0","-94,278.0","-146,642.0","-389,194.0","-246,457.0","-127,527.0","359,940.0","382,240.0","461,800.0","392,294.0"
"151","127","  Net government saving","A922RC1","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,827.0","-257,082.0","-152,745.0","-232,998.0","-685,719.0","-1,342,554.0","-1,397,671.0","-1,339,355.0"
"152","128","    Imputations (182-181)","A2010C1","20,767.0","19,437.0","16,300.0","16,318.0","19,028.0","24,667.0","28,240.0","29,292.0","27,882.0","34,272.0","41,615.0","47,244.0","46,769.0","46,078.0","52,768.0","64,639.0","79,063.0","87,584.0","92,290.0","87,871.0","92,545.0","102,832.0","100,206.0","98,440.0","88,918.0","85,089.0","91,375.0","99,702.0","104,223.0","110,969.0","128,854.0","137,507.0","149,538.0","166,177.0","173,031.0","178,950.0","183,325.0","200,376.0","213,241.0","237,551.0","236,532.0","227,327.0","189,239.0"
"153","129","    Excluding imputations (127-128)","A2011C1","-4,232.0","-27,817.0","-38,526.0","-25,589.0","-15,145.0","-29,825.0","-96,413.0","-75,581.0","-60,876.0","-44,499.0","-42,576.0","-95,077.0","-95,971.0","-183,546.0","-224,122.0","-212,166.0","-235,325.0","-261,466.0","-229,657.0","-209,053.0","-206,351.0","-273,088.0","-324,448.0","-402,319.0","-370,087.0","-297,252.0","-288,368.0","-224,965.0","-128,061.0","-30,480.0","11,764.0","88,965.0","-124,957.0","-473,032.0","-588,244.0","-566,777.0","-440,407.0","-353,121.0","-446,239.0","-923,270.0","-1,579,086.0","-1,624,998.0","-1,528,594.0"
"154","130","Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,854,077.0","1,866,319.0","1,873,441.0","1,936,778.0"
"155","131","  Imputations (140+144+181)","A2092C1","34,647.0","37,252.0","39,910.0","42,341.0","46,073.0","52,654.0","58,807.0","63,384.0","69,422.0","77,330.0","86,676.0","98,637.0","110,780.0","120,507.0","126,666.0","134,616.0","142,852.0","153,028.0","164,231.0","175,773.0","188,235.0","201,349.0","212,748.0","221,471.0","233,538.0","245,142.0","257,626.0","266,428.0","277,032.0","288,933.0","306,372.0","326,673.0","344,754.0","359,923.0","380,196.0","412,271.0","450,193.0","488,908.0","524,686.0","550,183.0","559,129.0","569,078.0","588,650.0"
"156","132","  Excluding imputations (130-131)","A2093C1","64,544.0","71,061.0","77,863.0","84,810.0","94,709.0","111,032.0","131,572.0","144,786.0","162,354.0","184,084.0","212,225.0","245,448.0","282,562.0","313,035.0","324,439.0","339,731.0","362,591.0","385,447.0","406,863.0","435,241.0","463,217.0","489,853.0","511,612.0","522,880.0","544,477.0","574,025.0","611,834.0","646,089.0","686,773.0","731,614.0","788,018.0","857,651.0","911,467.0","945,056.0","973,856.0","1,020,494.0","1,091,182.0","1,171,769.0","1,242,825.0","1,303,894.0","1,307,190.0","1,304,363.0","1,348,128.0"
"157",NA,"          Specific imputations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","133","  Imputed rental of owner-occupied housing","A2013C1","58,951.0","63,798.0","70,003.0","76,655.0","83,958.0","92,781.0","101,895.0","111,861.0","124,706.0","141,759.0","160,718.0","182,451.0","205,257.0","222,295.0","240,080.0","262,165.0","284,738.0","308,306.0","333,248.0","361,744.0","389,319.0","417,558.0","441,777.0","468,225.0","494,446.0","532,826.0","566,646.0","599,489.0","636,326.0","681,131.0","727,681.0","777,728.0","838,788.0","880,122.0","923,437.0","973,701.0","1,057,022.0","1,124,776.0","1,152,785.0","1,190,642.0","1,213,922.0","1,217,080.0","1,235,800.0"
"160","134","  Intermediate inputs","A2014C1","7,430.0","8,474.0","9,009.0","10,480.0","12,302.0","14,366.0","15,773.0","18,621.0","22,748.0","26,993.0","31,143.0","32,005.0","33,605.0","31,878.0","33,841.0","38,458.0","41,768.0","48,081.0","52,949.0","57,013.0","61,062.0","63,648.0","67,258.0","73,173.0","77,029.0","82,763.0","86,464.0","91,880.0","97,611.0","111,405.0","112,151.0","117,996.0","132,302.0","146,946.0","174,979.0","182,815.0","207,972.0","216,466.0","202,789.0","167,009.0","183,100.0","193,937.0","197,103.0"
"161","135","  Taxes on production and imports","A2016C1","12,702.0","14,426.0","15,842.0","17,092.0","18,471.0","19,781.0","21,758.0","24,064.0","26,596.0","27,221.0","28,055.0","30,579.0","33,868.0","36,961.0","39,520.0","42,525.0","45,218.0","47,942.0","52,370.0","55,783.0","60,320.0","64,022.0","68,598.0","70,911.0","70,875.0","74,263.0","74,370.0","76,794.0","79,487.0","81,083.0","83,909.0","86,568.0","91,489.0","98,740.0","104,731.0","111,574.0","118,715.0","125,997.0","134,012.0","137,291.0","144,330.0","145,118.0","147,250.0"
"162","136","  Subsidies","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","582.0","1,387.0","4,041.0","2,083.0","7,940.0","3,588.0","1,982.0","1,512.0","965.0"
"163","137","  Net interest (186-156-164)","A2015C1","14,515.0","15,944.0","18,181.0","20,978.0","24,021.0","27,512.0","32,055.0","36,082.0","42,616.0","50,308.0","60,191.0","71,539.0","83,270.0","99,280.0","112,734.0","125,568.0","142,241.0","156,564.0","165,931.0","176,170.0","190,150.0","205,045.0","211,933.0","213,628.0","204,712.0","204,917.0","221,901.0","231,330.0","246,223.0","257,675.0","276,056.0","303,248.0","324,928.0","341,164.0","348,211.0","371,936.0","423,854.0","491,151.0","538,911.0","547,243.0","488,845.0","434,003.0","401,107.0"
"164","138","  Current transfer payments","W536RC1","-27.0","-19.0","71.0","173.0","104.0","-286.0","-221.0","136.0","423.0","501.0","-70.0","-324.0","187.0","39.0","-120.0","-144.0","-297.0","953.0","1,567.0","669.0","-899.0","-756.0","-568.0","-1,433.0","1,530.0","1,772.0","1,662.0","-668.0","4,552.0","1,767.0","2,006.0","829.0","-991.0","2,594.0","4,356.0","5,773.0","11,252.0","10,675.0","8,915.0","3,180.0","5,663.0","3,863.0","-2,030.0"
"165","139","  Rental income of persons with capital consumption adjustment (133-134-135+136-137-138-140)","B1156C1","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","68,081.0","130,040.0","189,452.0","236,153.0","283,861.0"
"166","140","  Consumption of fixed capital","B2607C1","9,460.0","10,134.0","11,133.0","12,274.0","13,948.0","15,950.0","17,922.0","19,677.0","22,516.0","26,320.0","30,510.0","35,025.0","38,828.0","41,412.0","42,998.0","45,478.0","47,888.0","51,214.0","54,923.0","58,866.0","62,867.0","66,381.0","68,851.0","71,307.0","75,820.0","80,855.0","86,622.0","91,192.0","96,644.0","102,267.0","110,038.0","118,546.0","127,688.0","134,972.0","146,222.0","163,454.0","181,416.0","199,185.0","208,017.0","209,467.0","204,514.0","205,518.0","209,474.0"
"167","141","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1","3,958.0","4,465.0","4,992.0","5,556.0","6,281.0","7,277.0","8,552.0","9,253.0","10,104.0","11,393.0","12,926.0","14,902.0","17,062.0","19,298.0","21,296.0","24,091.0","24,797.0","27,022.0","28,492.0","31,006.0","33,552.0","35,957.0","38,660.0","41,054.0","44,622.0","44,981.0","47,063.0","49,200.0","51,663.0","54,865.0","58,399.0","61,992.0","65,542.0","68,468.0","71,282.0","75,041.0","79,003.0","83,372.0","92,661.0","101,144.0","102,858.0","102,347.0","104,774.0"
"168","142","  Taxes on production and imports","B1320C1","705.0","805.0","905.0","969.0","1,028.0","1,059.0","1,140.0","1,221.0","1,304.0","1,287.0","1,277.0","1,345.0","1,482.0","1,652.0","1,801.0","1,953.0","2,083.0","2,230.0","2,464.0","2,646.0","2,904.0","3,141.0","3,441.0","3,615.0","3,645.0","3,855.0","3,875.0","4,020.0","4,257.0","4,437.0","4,665.0","4,890.0","5,147.0","5,563.0","5,875.0","6,257.0","6,639.0","7,144.0","7,780.0","8,285.0","8,793.0","8,828.0","9,040.0"
"169","143","  Net interest (187+190)","B1131C1","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,489.0","8,620.0","8,710.0","9,731.0","10,404.0","10,765.0","11,416.0","11,940.0","13,771.0","12,666.0","13,407.0","14,468.0","15,158.0","15,646.0","15,906.0","15,794.0","15,826.0","15,248.0","14,189.0","13,387.0","12,277.0","11,184.0","11,431.0","11,763.0","9,848.0","8,158.0","7,521.0"
"170","144","  Consumption of fixed capital","B1157C1","2,686.0","2,978.0","3,318.0","3,744.0","4,307.0","5,114.0","6,024.0","6,604.0","7,285.0","8,215.0","9,306.0","10,603.0","11,836.0","12,859.0","13,585.0","14,425.0","15,225.0","16,172.0","17,318.0","18,629.0","20,244.0","22,051.0","23,803.0","25,499.0","27,206.0","28,460.0","29,781.0","30,712.0","32,248.0","34,782.0","37,828.0","41,308.0","44,569.0","47,657.0","51,218.0","55,397.0","60,087.0","65,044.0","73,450.0","81,096.0","84,217.0","85,361.0","88,213.0"
"171","145","Financial services furnished without payment (146+151)","W537RC1","21,550.0","24,691.0","25,551.0","27,929.0","32,637.0","39,531.0","44,185.0","46,824.0","52,355.0","63,471.0","73,368.0","81,306.0","89,620.0","94,251.0","105,428.0","111,980.0","121,948.0","142,091.0","150,247.0","157,073.0","154,109.0","158,952.0","169,646.0","184,804.0","191,875.0","203,267.0","209,512.0","221,192.0","241,560.0","256,938.0","275,729.0","300,241.0","302,187.0","317,150.0","326,204.0","351,503.0","370,922.0","390,617.0","426,087.0","450,953.0","440,580.0","498,876.0","496,780.0"
"172","146","  Depositor services","B1310C1","13,781.0","17,545.0","20,002.0","21,561.0","21,465.0","25,934.0","40,532.0","35,622.0","37,734.0","41,022.0","38,721.0","37,693.0","36,035.0","56,835.0","89,830.0","80,332.0","95,898.0","103,515.0","101,214.0","95,924.0","83,654.0","98,646.0","122,694.0","137,868.0","130,584.0","131,264.0","126,519.0","142,951.0","160,836.0","172,609.0","189,670.0","194,970.0","203,008.0","213,432.0","197,115.0","215,718.0","206,788.0","190,315.0","241,868.0","296,624.0","234,654.0","243,645.0","229,108.0"
"173","147","    Persons \2\","B1611C1","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,725.0","51,733.0","48,440.0","60,209.0","65,999.0","70,100.0","67,993.0","63,689.0","71,444.0","85,598.0","100,140.0","99,227.0","99,585.0","96,269.0","106,106.0","117,809.0","128,839.0","140,919.0","148,242.0","150,271.0","155,662.0","147,800.0","162,584.0","166,009.0","163,318.0","188,900.0","216,494.0","188,869.0","200,436.0","196,175.0"
"174","148","    Government","W538RC1","1,384.0","1,827.0","2,264.0","2,387.0","2,280.0","2,420.0","3,219.0","3,038.0","3,241.0","2,549.0","1,800.0","1,263.0","823.0","2,273.0","3,272.0","2,707.0","4,664.0","5,139.0","3,889.0","3,337.0","3,069.0","3,621.0","4,872.0","4,652.0","4,036.0","3,897.0","3,846.0","4,284.0","4,784.0","4,982.0","6,100.0","6,069.0","5,377.0","5,929.0","5,252.0","5,473.0","5,128.0","5,159.0","6,640.0","8,592.0","7,455.0","7,829.0","7,167.0"
"175","149","    Private enterprises","W539RC1","4,841.0","6,211.0","7,149.0","7,471.0","6,786.0","8,126.0","14,135.0","11,493.0","11,761.0","12,352.0","11,621.0","12,762.0","13,719.0","25,346.0","31,313.0","26,031.0","26,510.0","27,916.0","23,137.0","21,020.0","13,877.0","19,540.0","26,815.0","26,449.0","20,727.0","21,186.0","20,775.0","26,796.0","32,090.0","33,066.0","37,075.0","35,285.0","42,237.0","46,916.0","40,097.0","43,343.0","31,670.0","17,970.0","40,960.0","62,828.0","30,237.0","28,723.0","19,139.0"
"176","150","    Rest of the world \3\","W540RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,461.0","4,088.0","3,574.0","3,019.0","4,041.0","5,410.0","6,628.0","6,594.0","6,596.0","5,629.0","5,765.0","6,153.0","5,722.0","5,576.0","5,374.0","5,123.0","4,925.0","3,966.0","4,318.0","3,981.0","3,868.0","5,368.0","8,710.0","8,093.0","6,657.0","6,627.0"
"177","151","  Borrower services","W541RC1","7,769.0","7,146.0","5,549.0","6,368.0","11,172.0","13,597.0","3,653.0","11,202.0","14,621.0","22,449.0","34,647.0","43,613.0","53,585.0","37,416.0","15,598.0","31,648.0","26,050.0","38,576.0","49,033.0","61,149.0","70,455.0","60,306.0","46,952.0","46,936.0","61,291.0","72,003.0","82,993.0","78,241.0","80,724.0","84,329.0","86,059.0","105,271.0","99,179.0","103,718.0","129,089.0","135,785.0","164,134.0","200,302.0","184,219.0","154,329.0","205,926.0","255,231.0","267,672.0"
"178","152","    Persons","W542RC1","1,723.0","1,570.0","1,290.0","1,509.0","2,622.0","3,048.0","844.0","2,739.0","3,646.0","5,579.0","8,333.0","10,082.0","11,576.0","7,905.0","3,278.0","6,664.0","5,207.0","6,536.0","9,071.0","11,107.0","13,142.0","10,653.0","8,167.0","7,663.0","10,108.0","12,903.0","15,760.0","15,362.0","15,172.0","14,430.0","13,615.0","15,807.0","14,761.0","14,838.0","18,009.0","19,685.0","21,976.0","25,618.0","23,357.0","19,347.0","26,562.0","45,962.0","49,145.0"
"179","153","    Government","W543RC1","462.0","303.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,720.0","9,778.0","5,734.0","5,969.0","4,398.0","3,630.0","2,864.0","3,997.0","5,355.0","4,343.0","4,430.0","3,539.0","3,095.0","3,671.0","4,123.0","4,298.0","2,913.0","4,935.0","6,792.0","6,732.0","7,754.0","7,519.0","6,697.0","5,807.0","12,310.0","14,281.0","15,281.0"
"180","154","    Private enterprises","W544RC1","5,425.0","5,137.0","4,152.0","4,679.0","8,251.0","10,115.0","2,678.0","7,968.0","10,309.0","15,710.0","24,189.0","30,822.0","38,391.0","28,083.0","11,782.0","24,071.0","17,625.0","21,714.0","33,575.0","43,400.0","52,182.0","45,493.0","35,492.0","34,777.0","45,178.0","54,020.0","61,897.0","58,262.0","61,230.0","64,835.0","66,882.0","83,406.0","79,824.0","82,260.0","102,392.0","107,545.0","132,165.0","164,146.0","151,709.0","126,879.0","164,270.0","191,417.0","198,430.0"
"181","155","      Domestic business","W545RC1","4,557.0","4,353.0","3,518.0","3,938.0","6,962.0","8,555.0","2,250.0","6,593.0","8,427.0","12,672.0","19,278.0","24,453.0","30,642.0","22,683.0","9,581.0","19,743.0","14,523.0","17,836.0","27,718.0","35,415.0","41,788.0","35,676.0","27,120.0","26,141.0","33,495.0","39,663.0","44,676.0","41,758.0","43,846.0","46,816.0","48,531.0","59,717.0","57,013.0","57,001.0","67,901.0","69,771.0","84,263.0","104,654.0","96,442.0","83,695.0","106,781.0","120,245.0","126,490.0"
"182","156","      Owner-occupied housing","W546RC1","795.0","716.0","578.0","674.0","1,170.0","1,414.0","388.0","1,246.0","1,716.0","2,784.0","4,530.0","5,878.0","7,141.0","4,950.0","2,000.0","3,885.0","2,753.0","3,401.0","5,088.0","6,989.0","9,133.0","8,712.0","7,460.0","7,761.0","10,610.0","13,170.0","15,918.0","15,276.0","16,121.0","16,726.0","16,967.0","21,912.0","21,038.0","23,302.0","32,051.0","35,147.0","44,637.0","55,338.0","51,451.0","40,042.0","53,145.0","65,948.0","66,817.0"
"183","157","      Nonprofit institutions serving households","W547RC1","73.0","68.0","56.0","67.0","119.0","146.0","40.0","129.0","166.0","254.0","381.0","491.0","608.0","450.0","201.0","443.0","349.0","477.0","769.0","996.0","1,261.0","1,105.0","912.0","875.0","1,073.0","1,187.0","1,303.0","1,228.0","1,263.0","1,293.0","1,384.0","1,777.0","1,773.0","1,957.0","2,440.0","2,627.0","3,265.0","4,154.0","3,816.0","3,142.0","4,344.0","5,224.0","5,123.0"
"184","158","    Rest of the world \4\","W548RC1","159.0","136.0","107.0","147.0","299.0","434.0","131.0","495.0","666.0","1,160.0","2,125.0","2,709.0","3,618.0","1,428.0","538.0","913.0","497.0","538.0","653.0","673.0","733.0","530.0","429.0","499.0","650.0","737.0","906.0","1,078.0","1,227.0","1,393.0","1,439.0","1,760.0","1,681.0","1,685.0","1,896.0","1,823.0","2,239.0","3,019.0","2,456.0","2,296.0","2,784.0","3,571.0","4,816.0"
"185","159","Premium supplements for property and casualty insurance (160+161+162+165-166)","W354RC1","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,656.0","3,433.0","3,970.0","4,456.0","5,102.0","5,782.0","6,514.0","7,632.0","9,118.0","12,230.0","17,185.0","19,158.0","19,734.0","20,560.0","21,795.0","22,695.0","23,203.0","25,870.0","27,309.0","26,631.0","27,122.0","27,647.0","28,166.0","28,638.0","30,064.0","31,083.0","32,996.0","34,232.0","34,212.0","32,507.0","33,582.0","32,691.0","33,480.0","28,678.0","23,638.0","25,237.0"
"186","160","  Persons and nonprofit institutions serving households","W549RC1","453.0","530.0","668.0","737.0","810.0","890.0","1,058.0","1,292.0","1,672.0","1,937.0","2,223.0","2,587.0","2,970.0","3,375.0","4,046.0","4,811.0","5,970.0","7,503.0","8,716.0","9,428.0","10,167.0","10,849.0","11,309.0","11,592.0","12,647.0","12,777.0","12,206.0","12,430.0","12,580.0","12,914.0","12,606.0","13,731.0","14,277.0","13,419.0","13,272.0","13,265.0","13,353.0","13,300.0","12,984.0","11,860.0","10,798.0","7,390.0","7,453.0"
"187","161","  Government","W550RC1","30.0","33.0","37.0","37.0","34.0","31.0","32.0","31.0","35.0","41.0","48.0","57.0","69.0","80.0","94.0","113.0","167.0","249.0","282.0","251.0","233.0","208.0","188.0","165.0","188.0","212.0","213.0","213.0","216.0","219.0","223.0","226.0","233.0","250.0","265.0","256.0","263.0","271.0","269.0","263.0","190.0","181.0","192.0"
"188","162","  Private enterprises","W551RC1","414.0","493.0","682.0","765.0","789.0","875.0","1,068.0","1,333.0","1,726.0","1,992.0","2,185.0","2,458.0","2,743.0","3,059.0","3,493.0","4,194.0","6,094.0","9,794.0","10,660.0","10,529.0","10,854.0","11,458.0","12,081.0","12,352.0","14,063.0","15,508.0","15,404.0","15,550.0","15,996.0","16,756.0","17,862.0","18,649.0","20,476.0","23,539.0","25,005.0","25,622.0","21,929.0","24,881.0","25,762.0","29,493.0","25,838.0","22,714.0","24,030.0"
"189","163","    Domestic business","W552RC1","356.0","426.0","597.0","670.0","690.0","766.0","940.0","1,191.0","1,563.0","1,807.0","1,979.0","2,223.0","2,473.0","2,748.0","3,140.0","3,798.0","5,646.0","9,279.0","10,071.0","9,908.0","10,207.0","10,764.0","11,340.0","11,557.0","13,173.0","14,549.0","14,439.0","14,533.0","14,956.0","15,670.0","16,749.0","17,509.0","19,298.0","22,314.0","23,715.0","24,338.0","20,570.0","23,504.0","24,410.0","28,106.0","24,615.0","21,524.0","22,802.0"
"190","164","    Owner-occupied housing","W553RC1","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,352.0","1,387.0","1,223.0","1,190.0","1,228.0"
"191","165","  To the rest of the world (exports)","W554RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","321.0","343.0","307.0","305.0","340.0","361.0","428.0","488.0","631.0","662.0","725.0","763.0","937.0","970.0","1,145.0","1,008.0","1,353.0","1,739.0","2,039.0","1,398.0","2,080.0","1,978.0","2,237.0","2,161.0","1,971.0","2,209.0"
"192","166","  From the rest of the world (imports)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","8,302.0","10,373.0","10,309.0","8,618.0","8,647.0"
"193","167","Farm products consumed on farms","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","398.0","383.0","310.0","289.0","288.0","275.0","244.0","253.0","213.0","217.0","173.0","193.0","166.0","146.0","125.0","115.0","103.0","101.0","111.0","136.0","139.0","153.0","134.0","144.0","128.0","137.0","128.0"
"194","168","  Output","B1008C1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","354.0","372.0","346.0","356.0","344.0"
"195","169","  Less: Intermediate inputs","B1161C1","394.0","421.0","404.0","473.0","544.0","618.0","583.0","655.0","653.0","691.0","770.0","773.0","697.0","665.0","686.0","596.0","528.0","513.0","433.0","443.0","384.0","365.0","363.0","322.0","330.0","294.0","306.0","254.0","248.0","236.0","225.0","203.0","183.0","180.0","164.0","165.0","204.0","261.0","220.0","228.0","218.0","219.0","216.0"
"196","170","Employment-related imputations","A2099C1","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,055.0","543,100.0","564,865.0","580,537.0","592,289.0","600,803.0","627,628.0"
"197","171","  Food furnished to employees, including military and domestic service \5\","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,469.0","10,120.0","10,655.0","11,786.0","13,432.0","14,079.0","14,332.0","14,901.0","14,589.0","15,817.0"
"198","172","  Standard clothing issued to military personnel \5\","DMICRC1","174.0","161.0","118.0","70.0","87.0","97.0","114.0","119.0","121.0","117.0","145.0","158.0","140.0","156.0","178.0","164.0","140.0","153.0","155.0","161.0","171.0","151.0","175.0","267.0","286.0","286.0","287.0","287.0","315.0","308.0","291.0","322.0","343.0","379.0","525.0","366.0","380.0","416.0","417.0","396.0","445.0","397.0","361.0"
"199","173","  Employees' lodging \5\","A2641C1","248.0","251.0","258.0","255.0","257.0","268.0","270.0","277.0","293.0","312.0","326.0","342.0","353.0","341.0","342.0","344.0","337.0","330.0","530.0","562.0","563.0","531.0","568.0","521.0","462.0","468.0","600.0","664.0","605.0","597.0","632.0","750.0","712.0","579.0","567.0","542.0","571.0","499.0","440.0","724.0","682.0","610.0","629.0"
