"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"59","40","Imports of services \1\","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","195,169.0","201,376.0","207,833.0","210,430.0","221,843.0","225,987.0","234,514.0","232,819.0","230,886.0","235,548.0","224,708.0","216,991.0","229,168.0","231,579.0","237,168.0","247,385.0","248,095.0","244,847.0","259,237.0","271,369.0","283,976.0","293,885.0","299,938.0","311,214.0","310,941.0","316,970.0","322,142.0","329,189.0","346,915.0","353,114.0","356,636.0","365,003.0","361,616.0","370,905.0","380,968.0","382,597.0","399,364.0","406,988.0","420,676.0","413,517.0","383,968.0","380,827.0","388,629.0","395,827.0","401,300.0","405,328.0","418,229.0","412,713.0","419,260.0","426,168.0"
"60","41","  Direct defense expenditures","B752RC1","4,790.0","4,747.0","4,884.0","5,003.0","4,713.0","5,034.0","4,843.0","4,831.0","4,696.0","4,823.0","4,814.0","4,944.0","4,888.0","5,089.0","4,419.0","4,739.0","4,678.0","4,923.0","4,266.0","4,649.0","4,612.0","5,193.0","5,059.0","5,265.0","5,268.0","4,739.0","4,383.0","4,792.0","4,626.0","4,864.0","4,950.0","5,126.0","5,469.0","5,848.0","5,933.0","6,043.0","6,720.0","7,009.0","7,495.0","8,182.0","8,004.0","7,744.0","8,348.0","9,082.0","10,540.0","10,275.0","10,778.0","11,809.0","11,110.0","12,388.0","10,836.0","11,921.0","11,816.0","12,672.0","12,576.0","12,772.0","12,908.0","12,996.0","13,164.0","13,280.0","12,212.0","12,860.0","12,056.0","12,932.0","12,984.0","12,680.0","12,212.0","14,560.0","13,736.0","14,040.0","13,280.0","13,868.0","14,452.0","14,432.0","15,152.0","15,768.0","15,324.0","15,472.0","15,404.0","16,216.0","15,784.0","15,632.0","14,888.0","14,944.0","16,024.0","15,640.0","17,852.0","20,608.0","20,676.0","15,732.0","14,388.0","14,840.0","14,856.0","13,752.0","13,236.0","13,496.0","12,708.0","12,776.0","11,676.0","11,188.0","10,780.0","10,676.0","9,948.0","9,464.0","10,288.0","9,788.0","9,784.0","10,312.0","10,980.0","10,764.0","11,244.0","11,256.0","11,420.0","10,948.0","11,844.0","12,616.0","11,688.0","11,420.0","12,744.0","12,888.0","12,664.0","13,244.0","14,256.0","13,176.0","13,048.0","13,528.0","14,084.0","13,232.0","13,912.0","13,668.0","14,700.0","17,060.0","17,436.0","18,532.0","19,820.0","20,616.0","22,872.0","24,648.0","25,556.0","28,108.0","28,396.0","29,596.0","29,732.0","29,472.0","30,176.0","29,916.0","30,164.0","30,044.0","30,892.0","30,936.0","31,936.0","30,364.0","27,524.0","28,188.0","27,988.0","27,968.0","28,248.0","28,112.0","28,224.0","28,660.0","29,580.0","30,648.0","30,912.0","30,756.0","30,884.0","30,360.0","30,436.0","29,884.0","29,836.0","29,600.0"
"61","42","  Travel","B768RC1","3,284.0","3,336.0","3,400.0","3,472.0","3,784.0","4,020.0","4,040.0","4,076.0","4,332.0","4,312.0","4,236.0","4,612.0","4,928.0","4,924.0","5,000.0","5,316.0","5,352.0","5,576.0","5,500.0","5,676.0","5,780.0","5,996.0","5,936.0","6,208.0","6,192.0","6,116.0","6,508.0","6,852.0","6,728.0","6,632.0","6,860.0","7,204.0","7,328.0","7,516.0","7,320.0","7,640.0","8,032.0","8,112.0","8,924.0","8,832.0","8,920.0","9,508.0","9,524.0","9,700.0","10,412.0","9,924.0","10,444.0","10,808.0","11,652.0","11,044.0","11,576.0","11,644.0","12,296.0","12,660.0","11,780.0","12,840.0","11,864.0","13,036.0","14,004.0","13,696.0","21,868.0","22,816.0","23,968.0","23,000.0","24,420.0","25,496.0","25,092.0","23,228.0","26,264.0","22,920.0","26,928.0","27,536.0","28,376.0","29,440.0","28,748.0","30,672.0","31,960.0","30,768.0","32,324.0","33,404.0","32,616.0","32,332.0","33,616.0","35,108.0","36,788.0","37,960.0","37,540.0","37,112.0","33,736.0","36,260.0","35,264.0","36,028.0","37,900.0","38,300.0","38,576.0","39,432.0","39,320.0","39,308.0","40,180.0","44,044.0","43,516.0","43,528.0","44,180.0","43,904.0","43,928.0","45,208.0","44,336.0","46,200.0","47,796.0","46,908.0","48,560.0","49,048.0","51,580.0","51,360.0","52,600.0","52,664.0","54,700.0","56,524.0","56,784.0","57,924.0","57,172.0","58,336.0","59,220.0","61,124.0","65,088.0","64,556.0","64,332.0","64,844.0","63,540.0","66,900.0","58,444.0","51,916.0","58,172.0","58,040.0","57,956.0","60,692.0","57,972.0","51,956.0","58,552.0","61,308.0","63,408.0","65,820.0","66,424.0","67,348.0","68,752.0","70,032.0","68,624.0","68,472.0","70,496.0","71,824.0","72,084.0","74,012.0","74,108.0","75,300.0","76,956.0","78,960.0","82,572.0","80,924.0","79,792.0","78,688.0","76,392.0","71,328.0","74,180.0","74,572.0","76,340.0","73,164.0","76,308.0","76,216.0","75,768.0","77,780.0"
"62","43","  Passenger fares","B769RC1","1,020.0","1,056.0","1,108.0","1,136.0","1,168.0","1,172.0","1,280.0","1,240.0","1,100.0","1,328.0","1,260.0","1,472.0","1,508.0","1,580.0","1,604.0","1,692.0","1,860.0","1,796.0","1,756.0","1,748.0","1,928.0","2,016.0","2,052.0","2,384.0","2,276.0","2,104.0","2,296.0","2,376.0","2,536.0","2,452.0","2,580.0","2,704.0","2,704.0","2,760.0","2,692.0","2,836.0","2,924.0","2,840.0","2,920.0","2,900.0","3,040.0","3,176.0","3,208.0","3,312.0","3,360.0","3,564.0","3,804.0","3,700.0","4,508.0","4,400.0","4,476.0","4,564.0","4,932.0","4,732.0","4,592.0","4,832.0","5,344.0","6,068.0","6,168.0","6,436.0","5,256.0","5,980.0","5,724.0","5,976.0","5,944.0","6,968.0","6,640.0","6,224.0","6,628.0","6,112.0","6,544.0","6,732.0","6,964.0","7,284.0","7,344.0","7,544.0","7,728.0","7,668.0","7,512.0","8,012.0","8,236.0","8,240.0","8,360.0","8,160.0","10,024.0","10,676.0","10,908.0","10,508.0","9,192.0","10,108.0","10,064.0","10,688.0","10,504.0","10,316.0","10,516.0","11,076.0","10,864.0","11,016.0","11,624.0","12,136.0","12,716.0","12,908.0","13,392.0","13,232.0","13,616.0","14,620.0","14,980.0","15,444.0","15,468.0","15,576.0","16,008.0","16,184.0","17,224.0","18,516.0","18,920.0","17,892.0","18,600.0","19,924.0","20,556.0","20,804.0","20,748.0","20,968.0","21,384.0","22,160.0","23,216.0","24,544.0","24,968.0","24,368.0","23,192.0","24,544.0","23,580.0","19,216.0","19,496.0","19,496.0","19,316.0","21,568.0","20,044.0","19,552.0","22,104.0","22,256.0","23,200.0","25,372.0","25,284.0","25,016.0","25,028.0","25,684.0","26,980.0","26,904.0","26,992.0","27,712.0","27,560.0","27,740.0","26,908.0","27,936.0","29,656.0","29,248.0","30,148.0","31,680.0","32,908.0","32,628.0","25,632.0","24,096.0","25,316.0","25,504.0","24,912.0","27,080.0","28,088.0","29,036.0","30,208.0","30,496.0"
"63","44","  Other transportation","B770RC1","2,073.0","2,524.0","2,528.0","2,699.0","2,544.0","2,890.0","3,072.0","2,866.0","3,076.0","3,232.0","3,296.0","2,915.0","3,489.0","3,360.0","3,452.0","3,779.0","4,422.0","4,538.0","4,812.0","5,004.0","5,326.0","5,865.0","6,055.0","6,519.0","5,900.0","5,410.0","5,580.0","5,942.0","6,460.0","6,584.0","7,014.0","7,349.0","7,592.0","8,087.0","8,064.0","8,146.0","8,580.0","8,862.0","9,285.0","9,768.0","9,882.0","10,518.0","11,312.0","11,912.0","12,221.0","11,992.0","11,253.0","11,695.0","12,477.0","12,758.0","12,497.0","12,164.0","12,064.0","11,932.0","11,492.0","11,356.0","11,524.0","11,460.0","12,632.0","13,284.0","14,204.0","14,656.0","15,132.0","15,396.0","15,040.0","15,512.0","15,272.0","16,744.0","17,516.0","17,068.0","18,324.0","18,156.0","16,832.0","18,832.0","19,344.0","21,032.0","21,112.0","21,224.0","20,764.0","20,464.0","21,496.0","21,960.0","22,616.0","22,608.0","24,096.0","24,248.0","25,236.0","26,288.0","24,492.0","25,048.0","25,412.0","24,956.0","23,608.0","23,180.0","24,296.0","23,996.0","24,120.0","24,864.0","24,308.0","24,812.0","24,700.0","25,756.0","27,108.0","26,516.0","27,016.0","27,124.0","27,444.0","26,556.0","26,108.0","27,964.0","27,968.0","27,584.0","28,484.0","28,900.0","28,452.0","30,008.0","29,616.0","29,824.0","30,268.0","31,748.0","31,140.0","32,748.0","35,816.0","36,868.0","38,896.0","40,668.0","43,184.0","42,964.0","41,788.0","40,056.0","36,576.0","36,320.0","35,424.0","38,192.0","39,008.0","41,020.0","43,164.0","44,356.0","45,176.0","46,124.0","51,652.0","52,624.0","54,448.0","57,924.0","61,600.0","60,980.0","60,600.0","64,568.0","63,736.0","65,288.0","66,352.0","65,896.0","52,960.0","54,840.0","54,018.0","52,234.0","55,132.0","57,260.0","59,349.0","55,041.0","45,704.0","41,575.0","40,898.0","42,189.0","47,675.0","52,072.0","54,400.0","50,663.0","53,804.0","55,118.0"
"64","45","  Royalties and license fees","B908RC1","220.0","212.0","216.0","244.0","220.0","236.0","220.0","224.0","224.0","224.0","248.0","268.0","276.0","292.0","280.0","324.0","384.0","368.0","368.0","420.0","472.0","460.0","448.0","444.0","616.0","628.0","512.0","576.0","644.0","636.0","532.0","560.0","620.0","580.0","584.0","688.0","796.0","760.0","788.0","820.0","924.0","940.0","920.0","1,060.0","852.0","676.0","624.0","1,260.0","1,024.0","528.0","840.0","824.0","760.0","792.0","788.0","840.0","824.0","912.0","960.0","1,080.0","1,100.0","1,080.0","1,224.0","1,276.0","1,132.0","1,120.0","1,256.0","1,180.0","1,308.0","1,452.0","1,452.0","1,392.0","1,568.0","1,896.0","1,856.0","2,108.0","2,464.0","2,576.0","2,688.0","2,684.0","2,488.0","2,588.0","2,324.0","2,712.0","2,928.0","2,840.0","3,188.0","3,584.0","3,664.0","4,132.0","4,244.0","4,100.0","5,568.0","4,548.0","5,988.0","4,536.0","4,572.0","5,032.0","5,200.0","5,324.0","6,448.0","5,248.0","5,684.0","6,032.0","6,276.0","6,616.0","7,092.0","7,692.0","7,176.0","7,248.0","9,164.0","7,764.0","8,832.0","8,744.0","9,740.0","9,328.0","10,920.0","10,636.0","11,344.0","12,044.0","12,384.0","12,908.0","13,212.0","13,920.0","15,032.0","15,360.0","18,520.0","16,960.0","16,460.0","16,260.0","16,332.0","17,096.0","19,572.0","18,984.0","20,084.0","18,764.0","17,996.0","18,468.0","19,688.0","19,980.0","21,128.0","22,296.0","24,812.0","24,824.0","23,352.0","24,564.0","26,084.0","24,448.0","23,956.0","22,288.0","22,180.0","25,648.0","25,956.0","25,368.0","24,672.0","23,728.0","28,924.0","28,304.0","33,056.0","28,208.0","28,124.0","29,980.0","29,628.0","31,660.0","35,992.0","31,664.0","32,708.0","33,436.0","33,920.0","34,397.0"
"65","46","  Other private services","B909RC1","552.0","572.0","572.0","580.0","588.0","636.0","652.0","644.0","704.0","732.0","756.0","748.0","776.0","800.0","768.0","800.0","872.0","884.0","896.0","964.0","1,884.0","1,908.0","1,908.0","1,968.0","2,120.0","2,280.0","2,352.0","2,468.0","2,660.0","2,784.0","3,040.0","3,144.0","3,164.0","3,168.0","3,184.0","3,368.0","3,720.0","3,896.0","3,988.0","4,180.0","4,428.0","4,572.0","4,588.0","4,808.0","4,736.0","5,164.0","5,332.0","5,308.0","6,036.0","6,256.0","6,332.0","6,716.0","7,114.0","7,434.0","7,558.0","7,638.0","6,987.0","7,267.0","7,395.0","7,411.0","7,611.0","7,807.0","8,191.0","9,259.0","8,697.0","8,729.0","9,505.0","10,477.0","12,489.0","13,718.0","14,301.0","14,808.0","16,204.0","17,297.0","17,696.0","18,110.0","18,198.0","18,288.0","18,467.0","18,844.0","19,095.0","19,437.0","20,534.0","20,653.0","21,958.0","22,740.0","24,018.0","24,432.0","26,691.0","26,614.0","26,243.0","27,784.0","24,648.0","25,216.0","25,752.0","25,904.0","26,100.0","27,428.0","28,300.0","29,212.0","30,560.0","31,424.0","31,472.0","32,812.0","33,812.0","34,488.0","36,132.0","36,352.0","38,204.0","39,340.0","39,636.0","41,540.0","41,416.0","42,264.0","43,868.0","45,064.0","45,004.0","47,512.0","48,380.0","49,472.0","53,948.0","56,032.0","56,328.0","55,736.0","58,840.0","59,452.0","61,352.0","62,440.0","63,896.0","65,980.0","66,916.0","67,284.0","70,864.0","70,204.0","72,836.0","76,516.0","77,648.0","77,316.0","79,432.0","84,656.0","86,740.0","88,408.0","89,252.0","96,608.0","91,784.0","95,696.0","99,336.0","104,460.0","120,508.0","124,604.0","125,968.0","130,832.0","143,380.0","148,384.0","156,536.0","159,272.0","163,816.0","170,112.0","176,748.0","179,496.0","167,892.0","172,656.0","176,924.0","179,828.0","174,808.0","180,180.0","185,060.0","182,340.0","185,070.0","187,831.0"
"66","47","  Other","B910RC1","1,092.0","1,108.0","1,120.0","1,164.0","1,152.0","1,148.0","1,144.0","1,184.0","1,144.0","1,204.0","1,232.0","1,236.0","1,216.0","1,272.0","1,280.0","1,276.0","1,332.0","1,344.0","1,440.0","1,436.0","1,480.0","1,556.0","1,552.0","1,504.0","1,580.0","1,704.0","1,652.0","1,696.0","1,744.0","1,840.0","1,952.0","1,848.0","1,932.0","1,932.0","1,956.0","2,100.0","2,176.0","2,228.0","2,256.0","2,368.0","2,448.0","2,564.0","2,632.0","2,476.0","2,536.0","2,536.0","2,820.0","2,608.0","2,732.0","2,816.0","2,848.0","2,808.0","2,872.0","3,049.0","3,292.0","3,087.0","3,291.0","3,450.0","3,207.0","3,195.0","3,273.0","3,377.0","3,439.0","3,492.0","3,703.0","3,641.0","3,670.0","3,610.0","3,772.0","3,580.0","3,846.0","3,674.0","3,753.0","4,094.0","4,380.0","4,600.0","4,441.0","4,423.0","4,569.0","4,476.0","4,453.0","4,487.0","4,642.0","4,947.0","4,573.0","4,852.0","5,077.0","4,930.0","4,899.0","5,004.0","5,618.0","5,419.0","5,269.0","5,757.0","5,629.0","5,601.0","5,761.0","5,712.0","5,854.0","5,409.0","5,884.0","5,998.0","6,307.0","6,255.0","6,499.0","6,244.0","6,356.0","6,289.0","6,477.0","6,554.0","6,768.0","6,785.0","6,798.0","6,960.0","7,095.0","6,942.0","6,908.0","6,906.0","7,327.0","7,291.0","7,113.0","7,140.0","7,617.0","7,446.0","7,723.0","7,879.0","8,074.0","8,011.0","8,098.0","8,140.0","8,160.0","8,099.0","8,204.0","8,131.0","8,148.0","8,209.0","8,399.0","8,551.0","8,729.0","8,937.0","9,452.0","9,769.0","9,986.0","10,022.0","10,249.0","10,098.0","10,354.0","10,293.0","10,335.0","10,462.0","10,556.0","10,511.0","10,780.0","10,889.0","11,142.0","11,187.0","10,524.0","10,596.0","10,599.0","10,796.0","10,644.0","10,544.0","10,771.0","11,318.0","10,689.0","10,808.0","11,229.0","11,138.0","10,654.0","10,946.0"
"67",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","48","  Exports of durable goods","A332RC1","20,458.0","23,998.0","24,532.0","25,754.0","26,268.0","27,988.0","27,216.0","27,002.0","27,730.0","27,798.0","28,204.0","26,460.0","29,992.0","29,738.0","31,188.0","33,244.0","36,880.0","40,318.0","42,434.0","45,816.0","50,752.0","55,828.0","57,168.0","62,096.0","62,032.0","63,770.0","63,488.0","65,934.0","66,432.0","68,220.0","69,740.0","71,784.0","70,400.0","72,770.0","73,126.0","71,870.0","74,295.0","84,168.0","85,944.0","96,634.0","101,232.0","104,205.0","107,732.0","118,903.0","131,038.0","133,568.0","130,792.0","137,904.0","138,689.0","145,706.0","138,049.0","138,017.0","129,312.0","130,373.0","124,681.0","114,333.0","116,282.0","118,988.0","118,748.0","127,526.0","127,766.0","130,908.0","133,423.0","137,409.0","136,568.0","139,949.0","135,423.0","137,047.0","137,373.0","143,053.0","141,210.0","148,834.0","148,481.0","156,718.0","165,155.0","181,391.0","195,327.0","206,759.0","209,645.0","223,386.0","229,616.0","240,014.0","243,585.0","246,001.0","259,274.0","261,130.0","264,385.0","263,102.0","269,321.0","282,020.0","287,849.0","289,927.0","296,557.0","293,822.0","303,092.0","308,579.0","306,929.0","311,670.0","310,895.0","326,388.0","331,009.0","342,113.0","359,024.0","366,313.0","379,690.0","387,595.0","401,194.0","407,600.0","411,276.0","416,090.0","420,161.0","437,039.0","457,124.0","481,639.0","497,726.0","492,789.0","494,194.0","478,032.0","477,230.0","496,756.0","487,189.0","490,345.0","507,840.0","527,696.0","542,839.0","566,421.0","587,649.0","580,026.0","570,271.0","535,909.0","498,614.0","479,692.0","475,964.0","494,613.0","499,499.0","484,114.0","481,844.0","486,701.0","494,469.0","526,326.0","541,090.0","557,506.0","568,978.0","577,238.0","596,057.0","618,284.0","627,196.0","657,895.0","685,651.0","703,271.0","709,408.0","738,044.0","753,110.0","770,977.0","791,344.0","810,899.0","825,818.0","864,982.0","866,201.0","760,468.0","651,384.0","630,595.0","673,782.0","731,300.0","754,962.0","797,239.0","814,255.0","836,430.0","869,123.0","899,463.0"
"69","49","  Exports of nondurable goods","A339RC1","11,182.0","15,950.0","14,952.0","16,218.0","16,756.0","17,040.0","17,548.0","18,362.0","18,138.0","17,926.0","20,244.0","15,728.0","19,704.0","19,130.0","20,636.0","23,544.0","27,480.0","30,618.0","33,182.0","38,968.0","42,300.0","44,784.0","44,080.0","46,916.0","50,004.0","42,174.0","43,660.0","47,454.0","47,084.0","48,048.0","49,244.0","50,528.0","50,928.0","53,406.0","53,006.0","49,102.0","50,732.0","61,935.0","63,327.0","64,560.0","65,760.0","71,519.0","80,307.0","86,511.0","86,785.0","90,624.0","96,104.0","96,303.0","103,503.0","96,295.0","96,127.0","100,000.0","95,539.0","95,579.0","86,917.0","83,271.0","84,427.0","83,806.0","88,649.0","90,754.0","90,501.0","93,722.0","94,942.0","93,826.0","89,097.0","83,552.0","81,972.0","85,361.0","83,151.0","79,987.0","83,293.0","87,103.0","85,839.0","91,932.0","99,013.0","101,658.0","109,258.0","114,676.0","122,002.0","122,086.0","125,188.0","134,764.0","128,786.0","129,454.0","131,430.0","133,455.0","133,788.0","139,980.0","145,159.0","139,269.0","138,073.0","142,635.0","144,373.0","147,743.0","149,646.0","147,988.0","145,261.0","146,790.0","143,468.0","148,328.0","146,583.0","154,316.0","165,013.0","175,876.0","182,532.0","188,024.0","194,397.0","192,078.0","196,890.0","195,853.0","195,283.0","200,730.0","201,143.0","205,407.0","206,937.0","208,003.0","200,256.0","194,802.0","189,521.0","192,642.0","186,327.0","190,165.0","196,045.0","203,160.0","206,687.0","210,652.0","223,204.0","219,891.0","218,659.0","213,867.0","205,838.0","202,055.0","203,512.0","211,658.0","216,098.0","215,790.0","227,202.0","223,899.0","229,030.0","237,855.0","245,999.0","253,807.0","255,145.0","268,163.0","275,569.0","287,728.0","280,157.0","281,457.0","299,442.0","313,190.0","321,220.0","327,332.0","352,257.0","367,368.0","387,932.0","414,241.0","453,296.0","498,735.0","508,324.0","412,116.0","362,084.0","380,681.0","401,053.0","427,794.0","453,723.0","462,428.0","474,683.0","517,377.0","561,857.0","589,325.0"
"70","50","  Exports of agricultural goods \2\","B181RC1","4,096.0","7,072.0","6,280.0","6,932.0","6,772.0","7,132.0","7,512.0","8,080.0","7,952.0","7,632.0","8,556.0","7,184.0","8,592.0","8,596.0","9,412.0","11,456.0","14,788.0","16,852.0","18,296.0","21,972.0","22,924.0","22,984.0","20,752.0","22,980.0","25,060.0","19,592.0","21,252.0","23,068.0","22,360.0","23,060.0","23,860.0","24,240.0","24,848.0","26,060.0","23,536.0","22,884.0","24,892.0","32,346.0","32,085.0","30,260.0","28,971.0","32,961.0","38,587.0","41,337.0","38,942.0","40,227.0","44,699.0","44,304.0","48,192.0","43,590.0","41,792.0","42,803.0","39,466.0","41,560.0","35,062.0","32,945.0","34,952.0","35,206.0","39,346.0","39,033.0","39,202.0","38,246.0","38,449.0","37,824.0","32,753.0","29,036.0","27,447.0","29,284.0","28,024.0","25,098.0","26,754.0","28,818.0","25,541.0","27,807.0","32,959.0","31,794.0","35,419.0","37,193.0","40,857.0","39,643.0","40,864.0","43,122.0","40,203.0","40,132.0","42,354.0","41,755.0","40,042.0","36,716.0","39,241.0","38,581.0","40,380.0","42,220.0","42,880.0","43,412.0","45,459.0","44,541.0","43,549.0","44,227.0","42,618.0","44,015.0","43,460.0","44,946.0","47,547.0","52,433.0","54,951.0","55,528.0","59,739.0","58,745.0","63,343.0","62,669.0","60,558.0","59,509.0","57,980.0","58,359.0","58,353.0","59,182.0","56,453.0","53,096.0","49,707.0","53,367.0","47,289.0","49,253.0","52,183.0","49,892.0","51,466.0","52,366.0","54,707.0","52,668.0","54,299.0","54,647.0","55,622.0","54,991.0","54,384.0","54,415.0","55,040.0","54,209.0","57,335.0","58,312.0","62,248.0","65,645.0","64,152.0","63,128.0","60,530.0","63,964.0","63,112.0","65,999.0","64,198.0","66,241.0","69,872.0","72,042.0","73,471.0","76,095.0","80,609.0","84,935.0","97,202.0","105,709.0","116,948.0","126,555.0","125,872.0","102,496.0","93,531.0","102,343.0","100,219.0","107,820.0","115,189.0","108,561.0","116,094.0","136,029.0","148,584.0","144,177.0"
"71","51","  Exports of nonagricultural goods","A182RC1","27,544.0","32,876.0","33,204.0","35,040.0","36,252.0","37,896.0","37,252.0","37,284.0","37,916.0","38,092.0","39,892.0","35,004.0","41,104.0","40,272.0","42,412.0","45,332.0","49,572.0","54,084.0","57,320.0","62,812.0","70,128.0","77,628.0","80,496.0","86,032.0","86,976.0","86,352.0","85,896.0","90,320.0","91,156.0","93,208.0","95,124.0","98,072.0","96,480.0","100,116.0","102,596.0","98,088.0","100,135.0","113,757.0","117,186.0","130,934.0","138,021.0","142,763.0","149,452.0","164,077.0","178,881.0","183,965.0","182,197.0","189,903.0","194,000.0","198,411.0","192,384.0","195,214.0","185,385.0","184,392.0","176,536.0","164,659.0","165,757.0","167,588.0","168,051.0","179,247.0","179,065.0","186,384.0","189,916.0","193,411.0","192,912.0","194,465.0","189,948.0","193,124.0","192,500.0","197,942.0","197,749.0","207,119.0","208,779.0","220,843.0","231,209.0","251,255.0","269,166.0","284,242.0","290,790.0","305,829.0","313,940.0","331,656.0","332,168.0","335,323.0","348,350.0","352,830.0","358,131.0","366,366.0","375,239.0","382,708.0","385,542.0","390,342.0","398,050.0","398,153.0","407,279.0","412,026.0","408,641.0","414,233.0","411,745.0","430,701.0","434,132.0","451,483.0","476,490.0","489,756.0","507,271.0","520,091.0","535,852.0","540,933.0","544,823.0","549,274.0","554,886.0","578,260.0","600,287.0","628,687.0","646,310.0","641,610.0","637,997.0","619,738.0","617,044.0","636,031.0","626,227.0","631,257.0","651,702.0","680,964.0","698,060.0","724,707.0","756,146.0","747,249.0","734,631.0","695,129.0","648,830.0","626,756.0","625,092.0","651,856.0","660,557.0","645,695.0","651,711.0","652,288.0","661,251.0","698,536.0","722,937.0","748,185.0","763,593.0","781,437.0","808,514.0","840,013.0","843,155.0","873,111.0","915,221.0","944,419.0","957,157.0","989,281.0","1,024,758.0","1,053,410.0","1,082,074.0","1,119,431.0","1,162,166.0","1,237,162.0","1,248,653.0","1,070,088.0","919,937.0","908,933.0","974,616.0","1,051,274.0","1,093,496.0","1,151,106.0","1,172,844.0","1,217,778.0","1,282,396.0","1,344,611.0"
