"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"132","          Other alcoholic beverages (n.d.)","123","BAPMRG",NA,NA,NA,NA,9.65,9.11,8.94,8.8,8.91,8.97,9.08,9.31,9.87,11.26,12.51,14.06,14.35,14.88,15.31,15.08,14.88,14.54,15.08,16.21,15.96,16.3,16.21,16.38,16.72,16.81,17.9,18.48,18.78,19.22,19.62,19.86,20.06,20.37,21.92,23.11,24.24,25.95,27.71,28.49,29.42,31.72,34.22,36.02,37.73,40.63,43.9,47.01,50.99,53.73,56.22,59.1,62.34,66.33,68.93,72.8,76.41,80.16,86.83,89.7,92.26,94.32,96.86,100,103.38,106.31,109.41,112.73,117.16
"133","Clothing, accessories, and jewelry","124","A496RG",22.33,21.45,19.11,16.07,16.26,18.45,18.12,18.13,18.98,18.56,18.21,18.43,20.13,23.88,26.38,29.64,31.88,34.07,36.77,38.8,37.52,37.28,40.41,39.86,39.92,39.91,39.8,40.6,41.23,41.43,41.85,42.48,42.77,42.95,43.4,43.89,44.29,45.34,47.17,49.65,52.46,54.56,56.27,57.5,59.6,63.92,66.81,69.19,71.97,74.07,76.61,81.57,84.51,85.59,86.85,87.54,89.17,89.01,92.38,95.73,97.68,101.33,103.63,104.62,104.41,103.36,101.39,100,99.79,97.92,96.61,95.65,94.67
"134","  Shoes (n.d.)","125","BSHURG",17.32,16.35,14.07,11.79,11.35,12.33,12.06,12.17,12.76,12.65,12.49,12.65,13.42,15.75,17.43,18.85,19.88,21.89,25.47,27.54,27.16,27.54,30.96,30.36,30.14,30.9,31.28,32.86,33.84,34.33,35.77,37,37.37,37.91,38.29,38.49,39.15,41.46,43.5,45.83,48.67,51.18,52.88,54.36,56.62,60.03,62.73,65.21,68.28,70.81,75.96,81.37,85.18,86.84,86.93,87.52,88.15,87.3,89.56,93.18,96.38,98.37,100.54,102.87,103.14,102.17,100.75,100,99.84,98.86,96.31,94.83,94.23
"135","  Clothing and accessories except shoes \2\","126","A497RG",25.62,24.53,21.52,17.57,18.19,21.43,21.08,21.04,22.15,21.53,20.99,21.21,23.46,28.24,31.86,36.69,40.27,43.24,45.88,48.58,46.29,45.67,49.25,48.42,48.31,48.17,47.86,48.48,49.05,49.18,49.3,49.75,50.03,50.08,50.57,50.96,51.43,52.57,54.75,57.88,61.2,63.6,65.63,66.99,69.34,74.39,77.13,79.59,82.78,84.18,85.04,87.53,89.76,90.74,91.93,92.24,94.3,93.63,96.73,99.8,100.87,104.42,106.37,106.85,106.21,104.28,101.55,100,100.06,97.9,96.48,95.28,93.18
"136","    Women's and children's (n.d.)","127","BWCLRG",27.8,26.57,23.31,18.98,20.19,24.06,23.6,23.5,24.66,23.93,23.34,23.36,26.2,31.45,35.82,42.17,46.89,49.17,51.62,55.18,52.11,51.06,54.69,53.4,53.41,53.34,53,53.51,53.96,54.13,54.35,54.6,54.75,54.67,55.14,55.38,55.82,56.91,59.44,62.88,66.25,68.79,71.14,72.89,75.4,80.62,83.28,85.76,88.88,90.44,91.03,92.99,94.26,94.35,95.2,95.1,97.22,95.97,99.65,102.68,103,107.21,108.75,109.12,108.33,106.13,102.45,100,99.74,96.96,95.11,93.87,92.24
"137","    Men's and boys' (n.d.)","128","AMCLRG",22.03,21.17,18.56,15.23,15.12,17.5,17.27,17.32,18.3,17.84,17.38,17.84,19.29,23.33,25.89,28.52,30.47,34.25,37.04,38.55,37.33,37.27,40.65,40.41,40.15,39.93,39.67,40.41,41.14,41.19,41.17,41.89,42.37,42.59,43.13,43.73,44.25,45.44,47.08,49.72,52.89,55.04,56.59,57.37,59.45,64.14,66.96,69.36,72.6,73.72,74.98,78.27,81.96,84.39,86.14,87.18,89.12,89.52,91.56,94.71,97.14,99.49,102.16,102.84,102.47,101.01,99.94,100,100.65,99.59,98.97,97.84,94.86
"138","  Standard clothing issued to military personnel (n.d)","129","BMICRG",24.78,23.85,20.54,17.7,18.71,22.49,20.54,21.24,23.01,22.91,20.41,22.94,24.45,28.58,28.73,29.02,29.77,33.23,38.49,39.45,36.92,37.51,41.18,39.02,38.47,38.07,38.22,38.62,39.07,39,38.66,38.98,38.89,39.08,39.24,39.61,39.99,40.41,41.14,42.53,44.17,45.54,46.39,47.23,48.93,53.35,54.82,57.54,60.55,62.62,65.86,70.7,76.47,79.92,81.19,82.76,83.93,84.98,86.64,89.28,91.52,93.92,95.69,97.72,98.48,98.68,99.29,100,100.45,101.23,101.41,101.7,101.2
"139","  Cleaning, storage, and repair of clothing and shoes (s.)","130","B478RG",9.39,9.33,9.18,8.89,8.56,8.48,8.36,8.2,8.42,8.53,8.49,8.45,8.63,9.3,9.72,10.26,10.4,10.92,11.94,12.55,12.91,13.16,14.09,14.3,14.72,14.81,15.03,15.63,16.25,16.59,16.98,17.69,17.91,18.19,18.54,18.79,19.18,19.93,20.79,21.55,22.49,23.57,24.37,24.8,25.91,28.78,31.27,33.5,35.81,39.52,44.41,50.43,56.09,60.21,63.33,66.55,69.67,72.37,75.42,78.54,82.53,86.34,89.91,92.11,94.58,97.04,98.39,100,102.43,103.69,105.9,108.79,113.45
"140","  Jewelry and watches (d.)","131","BJRYRG",26.47,26.26,26.16,24.53,24.55,23.77,22.84,24.25,23.57,22.04,22.79,24.19,27.45,33.47,34.4,39.14,39.98,38.71,41.25,39.95,39.72,38.53,41.23,40.96,41.35,40.03,38.85,39.11,38.49,38,38.01,38,37.98,38,38.22,40.57,39.44,37.59,38.05,39.23,41.45,42.17,42.97,44.03,45.58,48.21,51.67,53.37,54.13,57,62.2,77.73,80.89,78.99,80.27,80.82,80.01,80.75,86.81,91.52,94.96,100.63,103.77,105.02,104.25,104.91,103.74,100,96.07,92.55,90.28,87.91,87.89
"141","  Other (s.) \3\","132","BCOTRG",7.69,7.29,6.47,5.73,5.26,5.66,5.81,5.88,6.37,6.26,6.32,6.54,7.47,8.62,9.98,11.19,11.66,12,13.48,14.63,14.11,14.38,16.2,16.49,16.99,17.3,17.6,18.1,18.46,18.57,18.81,18.93,19.18,19.36,19.5,19.85,20.28,20.86,21.64,22.49,23.56,24.57,25.39,25.99,26.93,29.48,32.44,34.47,36.6,40.06,44.73,50.71,56.24,60.29,63.39,66.58,69.74,72.45,75.46,78.57,82.52,86.34,89.9,92.16,94.61,97.06,98.4,100,102.4,103.53,105.7,109.01,114.11
"142","Personal care","133","A532RG",11.85,11.75,11.45,10.83,10.55,10.16,10.09,10.14,10.69,10.9,10.87,10.81,11.17,12.3,13.32,14.39,14.85,15.77,17.86,18.45,18.17,17.94,19.52,19.55,19.84,19.97,20.42,21.2,22.04,22.86,23.25,23.56,23.76,24.02,24.34,24.52,24.77,25.04,25.84,26.95,28.16,29.11,30.09,30.82,32.35,35.92,40.19,43.45,46.82,50.14,53.61,58.04,63.05,67.62,71.13,73.55,75.96,78.21,80.02,82.64,86.07,89.48,92.27,94.25,95.96,97.61,98.78,100,101.24,102.96,105.06,107.39,109.39
"143","  Toilet articles and preparations (n.d.)","134","BTLGRG",19.27,18.9,18.25,17.84,17.81,16.25,16.01,16.04,16.31,16.35,16.25,16.08,16.62,18.11,18.42,19.27,19.61,20.49,24.66,25.34,24.42,23.71,26.36,25.48,25.58,25.47,25.68,26.49,27.34,28.5,28.68,28.65,28.56,28.79,28.9,28.92,28.83,28.51,29.02,29.87,31.16,31.96,33,33.85,34.73,38.7,43.85,46.45,49.09,51.5,54.82,59.37,64.8,69.9,73.75,76.05,78.25,80.59,82.15,84.74,87.94,91.11,94.04,96.27,97.63,98.95,99.72,100,100.2,101.71,103.21,104.56,105.56
"144","  Barbershops, beauty parlors, and health clubs (s.)","135","BBBBRG",6.46,6.49,6.38,5.83,5.54,5.62,5.62,5.67,6.15,6.36,6.36,6.36,6.57,7.31,8.53,9.57,10.04,10.86,11.47,11.92,12.06,12.16,12.88,13.48,13.86,14.12,14.68,15.34,16.08,16.58,17.06,17.57,17.96,18.21,18.67,18.96,19.47,20.24,21.25,22.54,23.59,24.65,25.51,26.08,28.37,31.3,34.27,38.43,42.87,47.56,51.27,55.46,59.68,63.21,66.05,68.71,71.53,73.62,75.92,78.6,82.42,86.28,88.82,90.31,92.67,94.95,96.91,100,103.38,105.51,108.83,113.1,117.02
"145","Housing","136","B174RG",16.69,16.21,15.3,13.71,12.32,11.25,11.32,11.57,12.11,12.48,12.46,12.49,12.71,13.05,13.17,13.29,13.47,13.8,14.3,15.17,15.65,16.17,16.86,17.56,18.43,18.98,19.24,19.58,19.95,20.34,20.7,21.04,21.35,21.62,21.9,22.14,22.38,22.73,23.19,23.8,24.62,25.64,26.86,27.86,29.06,30.19,32.17,34.31,37.22,39.87,43.06,47.11,51.97,56.36,59.74,62.88,66.68,70.61,73.89,77.16,80.36,84.12,86.79,89.16,91.55,94.08,97,100,102.96,106.31,109.3,112.77,117.15
"146","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","137","BOWNRG",17.83,17.36,16.43,14.76,12.72,11.91,11.88,12.16,12.72,13.14,13.14,13.19,13.42,13.72,13.72,13.75,13.81,13.89,14.34,15.29,15.96,16.52,17.19,17.89,18.86,19.51,19.79,20.15,20.51,20.91,21.19,21.52,21.78,22.04,22.28,22.5,22.71,23.03,23.46,24.03,24.79,25.82,27.01,27.96,29.16,30.27,32.28,34.42,37.36,39.93,43.04,47.04,51.89,56.3,59.71,62.77,66.46,70.42,73.67,77.04,80.25,84.1,86.54,88.87,91.25,93.82,96.92,100,102.9,106.24,109.13,112.38,116.69
"147","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","138","BTENRG",18.02,17.54,16.61,14.91,13.93,12,12,12.29,12.85,13.28,13.28,13.33,13.56,13.84,13.87,13.9,13.95,14.04,14.49,15.45,16.13,16.69,17.37,18.08,19.04,19.72,20,20.36,20.73,21.13,21.42,21.74,22.02,22.29,22.54,22.73,22.97,23.29,23.7,24.28,25.05,26.11,27.3,28.25,29.49,30.58,32.63,34.81,37.76,40.35,43.49,47.52,52.45,56.81,60.34,63.76,67.96,72.2,75.45,78.52,81.66,85.21,88.35,90.74,92.97,95.2,97.48,100,102.8,106.07,109.18,113,117.89
"148","  Rental value of farm dwellings (s.)","139","BFARRG",9.58,9.1,8.23,7.18,6.76,7.18,7.77,7.88,8.26,8.33,8.19,8.09,8.3,8.92,9.69,10.67,11.96,14.71,15.72,15.79,14.22,14.29,15.23,15.96,15.82,15.02,15.02,14.85,15.16,15.65,17.22,17.93,18.99,19.63,20.76,21.75,22.46,23.65,25.13,26.28,28.52,28.73,31.58,34.95,36.16,38.34,39.04,40.96,44.35,48.36,52.54,57.18,61.86,64.4,65.58,65.51,65.8,65.86,68.41,67.42,71.16,73.92,75.26,78.86,84.58,91.73,95.19,100,106.33,111.93,118.24,126.19,135.46
"149","  Other (s.) \6\","140","BOHORG",9.67,9.48,8.98,8.2,7.36,6.94,6.93,7.07,7.4,7.6,7.67,7.57,7.69,8.12,8.45,8.58,8.69,8.89,9.36,9.91,10.34,10.68,11.38,11.88,12.42,12.8,13.14,13.55,14.06,14.44,14.79,15.04,15.22,15.36,15.43,15.59,15.86,16.13,16.8,17.58,18.65,19.94,20.82,21.35,22.27,23.72,25.45,27.35,29.56,33.06,37.34,42.14,46.71,51.59,54.21,58.2,62.27,65.01,69.13,73.18,76.71,80.26,84.39,87.11,89.88,92.49,95.84,100,104.33,107.96,111.22,116.23,118.21
"150","Household operation","141","A534RG",15.19,14.64,13.4,12.1,11.85,12.31,12.31,12.39,12.87,12.62,12.54,12.7,13.36,14.88,16.43,18.01,18.94,19.41,21.13,22.28,21.87,22.27,23.83,23.91,24.28,24.37,24.5,24.86,25.46,25.79,26.17,26.62,26.8,26.87,27.06,27.19,27.32,27.67,28.29,29.23,30.15,31.21,32.68,33.7,35.08,39.67,43.99,47.07,50.1,52.88,57.2,63.68,70.61,76.41,79.9,82.73,84.62,85.18,85.73,87.11,88.95,90.93,93.07,94.61,96.13,97.47,98.37,100,101.02,100.35,100,101.65,103.53
"151","  Furniture, including mattresses and bedsprings (d.)","142","BFNRRG",15.27,14.81,13.05,10.61,10.98,11.92,11.7,12.1,13.23,12.92,12.69,12.87,14.23,16.76,19.92,23.93,26.96,27.01,28.13,29.85,28.95,29.4,32.83,32.88,32.83,32.97,32.74,33.2,34.01,34.01,34.06,34.12,34.47,34.64,34.78,34.83,35.04,35.92,37.26,39.18,41.42,43.08,44.41,45.18,46.73,50.71,54.83,56.75,58.9,62.03,66.17,71.71,76.37,79.59,81.57,83.2,85.41,87.32,88.84,90.86,90.53,91.08,91.12,93.36,94.93,97.56,98.66,100,99.9,99.7,99.45,99.09,97.43
"152","  Kitchen and other household appliances (d.) \7\","143","BAPPRG",55.72,53.24,49.2,42.64,40.15,40.52,39.88,40.47,41.93,42.08,41.54,40.05,42.09,48.47,53.79,57.34,60.57,60.45,66.48,70.22,68.18,67.33,72.15,72.09,71.6,70.47,68.18,65.04,64.14,62.58,62.42,61.57,60.31,58.92,57.8,57.16,55.82,54.88,54.93,56.08,57.32,58.73,59.94,60.25,60.31,63.4,70.41,74.32,77.02,80.96,85.36,89.62,94.82,100.64,103.57,103.77,101.48,100.99,101.77,101.96,101.82,101.12,100.08,99.45,99.67,100.87,100.1,100,99.48,98.22,96.04,95.08,94.4
"153","  China, glassware, tableware, and utensils (d.)","144","BCHNRG",11.96,11.62,10.54,9.85,9.62,10.65,11.62,10.92,11.08,11.08,11.08,11.08,11.31,12.73,14.31,16.12,16.73,16.62,17.04,17.35,17.97,18.62,20.39,20.89,21.43,21.73,22.16,24,25.31,26.04,26.02,26.84,27.17,27.87,28.8,29.33,29.32,29.95,30.82,33.22,34.6,35.69,36.74,38.37,40.56,45.81,53.62,57.03,59.42,63.71,68.96,76.13,83.75,87.26,88.9,89.08,89.45,91.86,94.11,94.83,96.26,98.15,100.42,102.42,101.86,103.21,101.18,100,99.34,101.12,98.73,97.54,94.92
"154","  Other durable house furnishings (d.) \8\","145","BODHRG",20.11,19.29,16.99,14.94,15.32,16.93,16.85,17.14,18.87,18.45,18.68,19.47,20.94,23.43,26.23,29.56,31.73,31.82,33.77,34.37,33.86,35.42,39.77,38.61,38.9,38.67,39.09,40.35,41.49,41.82,41.98,43.04,43.45,43.42,43.39,43.67,43.51,43.96,45.09,46.3,47.41,47.4,47.62,48.15,49.23,52.72,56.77,58.73,60.54,63.15,66.62,72.92,78.9,83.33,85.29,86.88,88.87,89.38,90.91,92.61,93.95,96.28,97.84,98.85,99.14,99.64,99.68,100,100.4,100.8,99.52,98.85,97.65
"155","  Semidurable house furnishings (n.d.) \9\","146","BSDHRG",21.03,19.26,15.8,12.98,13.82,15.55,15.55,15.38,15.89,14.37,13.65,14.12,16.22,21.24,24.48,27.69,29.83,31.77,39.87,41.22,35.69,36.07,39.32,35.86,35.27,34.34,34.17,34.38,34.55,34.42,34.53,34.96,35.24,35.15,35.17,35.3,35.57,36.04,37.04,38.45,39.6,40.42,41.36,42.12,43.06,48.6,52.24,54.76,57.57,61.08,65.94,71.59,76.31,83.08,88.58,91.85,94.41,96.35,99.24,102.06,102.47,103.14,103.15,103.91,103.88,103.92,102.25,100,97.84,95.68,94.61,92.07,89.94
"156","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","147","BCLPRG",15.65,15.59,14.09,12.61,12.36,12.33,12.29,12.25,12.4,12.35,12.18,12.08,12.38,13.45,13.92,14.55,14.86,15.97,20.77,21.92,19.84,19.43,21.73,20.7,20.96,21.79,21.95,22.19,23.12,23.81,24.05,24.29,24.1,24.02,24.16,24.1,24.15,24.53,25.15,25.75,26.21,27.42,28.6,29.06,29.76,35.33,44.15,47.62,51.75,54.71,58.44,64.08,69.64,73.72,75.94,77.23,79.53,80.81,82.9,84.74,89.01,91.81,94.47,94.56,94.48,94.66,97.61,100,101.01,102.7,104.53,109.16,113.17
"157","  Stationery and writing supplies (n.d.)","148","BSTYRG",12.45,12.12,10.35,9.94,8.56,8.85,8.57,8.7,9.85,9.97,9.94,10.29,10.19,11.92,12.37,13.54,13.19,13.32,14.91,16.28,16.14,17.01,19.04,19.42,19.51,19.32,20.33,21.6,22.42,22.73,22.78,23.05,23.08,23.33,23.59,24.08,24.76,25.68,26.76,27.76,28.58,30.02,30.85,31.27,32.79,39.47,43.63,45.63,48.28,49.68,52.68,56.47,60.78,64.93,67.82,69.6,71.41,72.46,73.42,75.04,77.9,80.45,83.31,87.27,89.12,91.33,95.86,100,104.41,107.2,106.47,104.69,104.83
"158","  Household utilities","149","A535RG",11.59,11.36,10.9,10.25,9.9,10.11,9.97,9.97,9.97,9.94,9.83,9.94,10.11,10.46,10.72,10.91,10.92,11.08,11.79,12.87,13.03,13.27,13.58,13.85,14.22,14.38,14.74,15.02,15.47,15.74,16.06,16.39,16.63,16.7,16.81,16.8,16.92,17.12,17.35,17.67,18.14,18.98,20.37,21.18,22.73,27.83,31.49,34.45,38.22,41,46.68,55.95,64.67,71.47,75.76,79.09,80.69,79.2,79.05,80.33,83.2,86.67,89.6,91.8,94.82,96.02,96.77,100,102.16,99.56,100.01,107.31,115.88
"159","    Electricity (s.)","150","BELCRG",28.48,27.58,26.53,25.73,25.43,24.72,23.99,23.21,22.72,22.38,22.01,21.78,21.64,21.51,21.48,21.43,21.32,20.48,20.23,20.42,20.61,20.64,20.83,21.02,21.28,21.39,21.66,21.72,21.83,22.1,22.39,22.72,22.81,22.81,22.72,22.65,22.56,22.56,22.72,22.89,23.4,24.15,25.75,27.01,28.68,33.89,38.25,40.76,43.47,46.19,49.71,57.58,66.2,72.76,75.15,79.95,82.81,83.89,83.64,84.79,87.16,89.19,92.52,94.31,96.16,96.2,98.38,100,100.37,96.51,95.68,97.24,104.12
"160","    Gas (s.)","151","BNGSRG",13.13,12.86,12.63,12.33,12.11,12.03,11.99,11.93,11.8,11.97,12.09,12,11.87,11.84,11.72,11.67,11.53,11.33,11.43,11.83,12.34,12.38,12.32,12.57,12.94,13.19,13.73,13.96,14.17,15.01,15.54,16.52,16.78,16.78,16.78,16.87,16.87,16.96,16.96,17.14,17.41,18.39,19.73,20.71,21.7,24.37,29.19,34.19,40.59,44.27,51.35,61.4,69.98,83.55,97.88,98.52,97.89,93.15,88.94,88.38,90.8,90.89,92.02,93.72,99.47,101.32,96,100,107.14,103.68,105.26,124.05,147.65
"161","    Water and other sanitary services (s.)","152","BWATRG",5.52,5.52,5.52,5.34,4.86,4.92,5.16,5.16,5.16,5.16,5.1,5.22,5.16,5.22,5.22,5.34,5.46,5.58,5.82,6,6.06,6.42,6.66,7.26,7.68,8.1,8.88,9.12,9.84,10.44,10.86,11.21,11.5,11.8,12.16,12.34,12.64,13.11,13.41,14.05,15,16.19,17.91,18.58,19.58,20.77,22.78,25.33,28.07,31.33,32.81,35.07,39.31,44.03,47.75,50.96,54.1,57.24,60.63,64.22,68.35,73.18,78.82,84.44,89.09,93.48,96.49,100,102.5,105.88,108.28,110.95,114.21
"162","    Fuel oil and coal (n.d.)","153","B171RG",7.68,7.53,7.1,6.4,6.16,6.54,6.39,6.51,6.6,6.58,6.48,6.67,6.99,7.52,7.96,8.23,8.26,8.71,9.82,11.42,11.48,11.79,12.27,12.45,12.81,12.87,13.01,13.45,14.15,13.95,14.14,14.03,14.38,14.43,14.7,14.57,14.91,15.28,15.76,16.24,16.62,17.32,18.49,18.64,21.33,33.76,37.01,39.52,44.59,46.87,62.8,87.41,106.42,105.19,98.87,101.12,97.63,78.74,78.82,79.04,82.58,98.62,95.52,92.1,91.78,90.3,89.62,100,100.78,91.54,92.66,129.05,130.74
"163","  Telephone and telegraph (s.)","154","BTELRG",33.3,33.54,33.67,33.74,33.57,33.1,32.9,32.72,32.28,32.28,32.23,32.29,32.46,34.23,35.34,36.38,36.97,36.98,37.55,39.47,41.16,44.29,45.22,46.9,48.55,47.79,47.26,47.85,48.78,50.23,51.4,52.21,52.38,52.38,52.39,52.47,51.72,50.58,51.25,51.25,51.93,52.54,55.12,58.22,59.71,62.23,64.24,66.52,67.28,68.02,67.76,68.95,75.63,83.42,88.49,95.04,97.68,100.71,98.28,97.11,97,96.68,97.42,97.51,97.99,100.11,99.69,100,100.22,98.83,96.24,92.59,90.28
"164","  Domestic service (s.)","155","BDMSRG",5.65,5.23,4.55,3.87,3.57,3.66,3.75,3.93,4.34,4.1,4.22,4.34,4.67,5.47,7.14,8.83,10.14,10.89,11.27,11.54,11.54,11.57,12.16,13,13.62,13.8,13.83,14.16,14.69,15.14,15.73,16.7,16.9,17.36,17.7,18.28,19.15,20.22,20.95,23.05,24.7,26.74,28.33,29.74,31.85,35.01,37.67,42.71,46.09,49.35,54.21,58.54,63.61,67.24,68.6,70.4,72.53,74.11,75.58,78.08,80.23,82.35,86.97,89.79,92.1,93.84,97.18,100,102.57,105.44,108.5,113.22,117.48
"165","  Other (s.) \10\","156","BOPORG",6.43,6.16,5.83,5.75,5.88,6.1,6.27,6.18,6.43,6.26,6.2,6.32,6.74,7.16,7.71,8.23,8.44,8.79,9.8,10.44,10.75,11.01,11.73,12.45,12.81,13.29,13.55,13.86,14.17,14.58,15.31,15.64,15.84,16.05,17.01,17.57,18.19,18.85,19.7,21.23,22.37,23.35,25.74,27.04,28,30.7,32.47,36.95,38.99,41.59,44.8,48.21,53.72,58.68,60.97,63.26,67.21,69.76,71.28,75.08,77.31,78.86,84.6,87.47,90.23,92.03,97.12,100,102.78,104.97,108.47,113.06,116.63
"166","Medical care","157","A536RG",6.41,6.42,6.02,5.4,5.3,5.43,5.62,5.73,5.86,5.96,5.93,6.06,6.18,6.51,6.88,7.21,7.49,7.98,8.65,9.05,9.03,9.12,9.32,9.75,10.21,10.56,10.78,10.99,11.43,11.83,12.14,12.53,12.77,12.99,13.19,13.51,13.88,14.47,15.24,16.18,17.07,18.08,18.97,19.82,20.6,22.15,24.35,26.42,28.87,31.54,34.14,37.71,42.14,46.67,50.23,53.65,56.57,58.66,61.45,66,71.35,76.73,81.29,86.07,90.88,94.47,97.88,100,102.19,104.67,107.06,110.27,114.42
"167","  Drug preparations and sundries (n.d.) \11\","158","BDRGRG",20.58,20.47,20.1,19.34,18.31,17.6,17.14,17.15,17.28,17.41,17.33,17.31,17.51,17.94,18.05,18.18,18.31,18.69,20.2,21.4,21.74,22.01,22.8,23.1,23.28,23.5,23.74,24.27,25.01,25.87,26.25,26.2,25.61,24.93,24.53,24.42,24.33,24.37,24.23,24.25,24.58,25.09,25.45,25.51,25.58,26.5,28.64,30.32,32.22,34.47,36.79,40.04,44.39,48.93,53.02,56.7,60.46,64.08,67.59,71.35,76.02,81.55,87.49,92.32,94.97,97.08,97.88,100,101.49,103.77,107.59,111.15,115.8
"168","  Ophthalmic products and orthopedic appliances (d.)","159","BOPTRG",17.45,17.28,17.24,16.43,15.73,15.76,15.76,15.68,15.77,15.77,15.97,16.09,16.15,16.27,16.82,17.2,17.41,17.78,18.46,19.22,19.85,20.02,20.99,21.22,20.94,20.71,21.02,21.33,22.18,22.38,22.64,23.18,23.95,24.32,24.49,24.76,25.27,25.99,27.24,28.16,29.36,30.95,32.8,34.05,35.31,37.75,40.79,43.3,45.83,48.31,50.92,55.55,59.3,61.93,64.22,66.2,68.65,70.84,74.91,78.68,81.23,84.66,87.89,91.5,93.85,95.66,98.44,100,101.54,103.41,104.43,107.46,110.91
"169","  Physicians (s.)","160","BPHYRG",4.81,4.92,4.56,3.92,3.94,4.06,4.32,4.41,4.48,4.64,4.61,4.77,4.86,5.14,5.59,5.95,6.1,6.39,6.73,7.01,7.04,7.08,7.26,7.66,8.06,8.38,8.76,9.15,9.53,9.85,10.18,10.43,10.67,10.98,11.23,11.54,11.91,12.66,13.52,14.27,15.32,16.44,17.55,18.11,18.68,20.42,22.9,25.51,27.86,30.14,32.94,36.42,40.41,44.2,47.67,50.98,53.94,57.86,62.12,66.57,71.45,76.59,81.1,86.2,91,95.55,99.31,100,101.34,103.51,105.29,107.11,110.16
"170","  Dentists (s.)","161","BDENRG",5.79,5.95,5.5,4.64,4.6,4.72,5.06,5.14,5.32,5.54,5.49,5.71,5.77,6.15,6.58,7.1,7.4,7.84,8.41,8.85,9.12,9.22,9.46,9.76,10.32,10.79,11.01,11.35,11.64,11.98,12.28,12.53,12.59,12.96,13.31,13.67,14.12,14.57,15.3,16.14,17.28,18.25,19.43,20.21,20.87,22.43,24.77,26.39,28.34,30.31,32.85,36.76,40.27,43.39,46.3,50.05,53.22,56.17,59.98,64.01,67.93,72.36,77.7,82.85,87.12,91.21,95.6,100,104.64,109.07,114.17,119.4,124.23
"171","  Other professional services (s.) \12\","162","BOPSRG",6.27,6.41,5.92,5.14,5.14,5.36,5.64,5.78,5.85,6.13,5.99,6.2,6.41,6.69,7.33,7.82,7.96,8.31,8.81,9.16,9.23,9.3,9.51,10.01,10.5,10.99,11.49,11.98,12.4,12.9,13.34,13.69,14.02,14.45,14.79,15.12,15.63,16.6,17.72,18.75,20.01,21.55,22.95,23.66,24.53,26.76,30.1,33.49,36.6,39.42,42.11,46.85,51.25,54.67,58,60.6,64.82,68.32,70.48,74.49,78.41,82.51,86.66,90.09,92.85,96.44,98.27,100,103.94,106.45,108.34,111.13,114.62
"172","  Hospitals and nursing homes \13\","163","BPHORG",3.43,3.23,3.04,2.85,2.73,2.85,2.98,3.04,3.17,3.11,3.11,3.17,3.3,3.55,3.81,4.12,4.44,5.14,6.22,6.72,6.85,7.17,7.74,8.12,8.44,8.63,8.88,9.13,9.58,10.02,10.24,10.9,11.2,11.44,11.83,12.29,12.66,13.08,13.93,14.88,15.93,17.19,17.88,18.75,19.86,21.83,24.21,26.39,28.52,31.02,34.24,38.31,43.13,47.74,51.4,54.62,57.44,59.81,63,67.47,72.66,77.83,83.08,87.61,91.33,94.23,97.2,100,101.95,104.31,106.64,110.32,114.8
"173","    Hospitals","164","A2601G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.86,10.5,10.79,11.03,11.39,11.83,12.19,12.6,13.42,14.33,15.34,16.56,17.21,18.06,19.13,20.99,23.33,25.51,27.65,30.06,33.22,37.28,42.16,46.89,50.63,53.91,56.82,59.27,62.53,67.19,72.55,77.78,83.24,88.05,91.9,94.78,97.59,100,101.61,103.65,105.71,109.01,113.04
"174","      Nonprofit (s.)","165","B2602G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.55,12.03,12.37,12.65,13.07,13.55,13.97,14.45,15.4,16.43,17.6,18.98,19.74,20.7,21.93,24.06,26.76,29.23,31.69,34.45,38.03,42.49,47.86,52.67,56.15,59.26,62.21,64.43,67.55,72.01,76.64,80.92,85.46,89.12,92.33,95.01,97.56,100,102.02,104.76,107.02,110.61,115.12
