"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"170","163","          Water supply and sewage maintenance","DWSMRA3",28.264,31.034,32.493,34.616,37.894,39.556,41.279,41.701,41.976,43.485,46.494,49.4,50.258,54.634,57.34,59.949,60.628,59.97,60.092,60.656,64.549,67.256,66.93,66.349,69.671,74.305,79.512,84.073,87.362,90.029,92.534,91.896,91.021,89.101,92.398,95.974,99.077,101.157,102.262,102.397,104.701,105.533,107.126,109.245,108.145,104.313,102.776,103.386,102.194,101.549,100,97.84,97.611,96.885,96.57
"171","164","          Garbage and trash collection","DREFRA3",15.724,17.244,18.107,19.283,21.03,21.946,22.852,23.154,23.262,24.179,25.861,27.436,27.91,30.272,31.879,33.227,33.658,33.281,33.356,34.284,37.077,39.676,39.299,39.547,37.659,40.537,43.557,47.66,50.849,50.429,55.222,58.764,56.448,56.053,61.787,66.433,70.458,76.355,81.656,87.866,93.764,95.436,94.336,91.79,95.397,98.809,100.033,106.512,105.23,106.6,100,102.147,103.59,102.437,98.158
"172","165","        Electricity and gas","DELGRA3",28.369,29.914,31.428,33.596,35.226,37.126,38.899,41.042,43.334,45.64,48.2,50.267,51.608,54.338,55.905,56.637,59.726,61.861,64.809,67.615,68.075,69.935,68.72,69.538,71.482,71.912,73.834,72.997,75.528,79.353,81.009,79.584,82.047,81.601,85.611,86.694,87.37,90.227,89.356,91.359,92.259,95.376,93.797,96.247,98.326,99.264,101.778,98.675,100.865,98.908,100,103.293,101.353,98.696,103.783
"173","166","          Electricity (27)","DELCRA3",19.599,20.734,21.743,23.175,24.376,25.872,27.261,29.06,30.837,32.909,34.906,37.019,38.401,40.683,43.177,44.232,47.19,49.404,53.912,56.519,57.57,60.121,59.726,60.155,63.894,64.419,66.611,67.271,70.401,73.384,74.423,74.953,77.115,75.783,80.11,81.779,82.887,84.244,83.993,89.976,90.851,93.972,92.221,96.493,98.11,100.018,104.556,102.07,103.555,102.017,100,106.048,104.055,101.99,103.345
"174","167","          Natural gas (28)","DGHERA3",59.364,62.275,65.612,70.45,73.519,76.669,79.644,82.712,86.642,89.321,93.661,94.942,95.748,99.718,96.805,95.853,98.622,99.949,96.587,99.806,98.25,97.825,94.081,96.055,93.123,93.315,94.505,89.31,89.957,96.362,99.949,92.231,95.605,98.152,100.991,100.172,99.406,107.233,104.375,93.963,94.919,97.981,96.846,94.665,97.871,96.661,95.068,90.771,94.449,91.621,100,95.769,93.974,89.493,106.641
"175","168","    Health care","DHLCRA3",14.598,14.785,15.442,16.832,17.946,19.978,20.889,22.027,23.055,24.844,26.686,28.119,30.142,32.206,34.522,35.709,37.547,39.191,41.092,42.975,44.422,45.7,47.903,48.019,49.454,50.255,51.789,53.406,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,104.05,106.82,109.386
"176","169","      Outpatient services","DOUTRA3",13.993,14.465,14.904,16.129,16.921,19.381,20.048,20.213,20.084,20.816,21.744,22.729,23.023,24.32,26.732,27.273,28.308,28.905,30.318,31.086,32.178,33.285,35.689,35.678,37.886,39.819,41.941,43.598,47.064,49.924,51.449,54.759,56.555,59.634,59.926,60.577,62.673,64.399,65.921,68.036,69.354,72.627,76.739,81.887,85.788,89.729,92.826,95.076,96.855,99.661,100,100.896,103.284,105.924,108.181
"177","170","        Physician services (44)","DPHYRA3",17.541,17.853,17.978,19.189,19.985,22.91,23.189,23.182,24.026,24.756,26.182,27.504,28.219,29.687,31.883,32.245,33.218,32.767,34.441,35.028,36.421,38.343,40.731,40.761,42.565,44.275,46.369,47.624,51.51,54.532,55.065,56.797,57.665,59.412,57.481,56.835,57.801,59.192,60.785,62.986,64.693,68.729,72.674,78.604,83.759,88.523,92.407,95.572,96.344,100.038,100,100.087,102.385,104.944,108.226
"178","171","        Dental services (45)","DDENRA3",27.875,28.426,29.483,30.786,30.437,34.484,35.433,36.166,38.853,40.463,43.944,46.872,46.446,49.025,55.446,56.783,58.255,61.539,63.649,65.661,65.631,65.566,70.278,70.282,71.549,72.257,74.453,75.689,78.343,77.935,78.384,78.66,77.011,79.756,79.752,81.281,83.357,83.912,85.449,87.911,89.925,93.477,97.962,102.226,101.129,103.143,103.111,102.058,102.88,102.866,100,99.62,99.487,99.662,94.483
"179","172","        Paramedical services (46)","DPMSRA3",4.813,5.45,6.1,7.262,8.331,9.622,10.68,10.903,8.751,9.208,8.748,8.716,8.634,9.289,10.767,11.296,12.227,13.459,14.241,14.875,15.751,15.974,17.64,17.572,20.421,22.864,24.885,27.13,30.019,33.389,36.669,43.154,47.318,52.543,56.568,59.112,63.075,65.688,67.055,68.883,69.307,71.18,75.394,79.531,83.148,86.45,89.437,91.497,95.236,97.766,100,102.698,106.278,110.087,113.914
"180","173","          Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.654,28.561,32.386,39.432,45.149,53.103,60.715,67.143,74.871,78.575,76.865,74.242,70.164,67.048,69.34,70.205,74.826,78.224,82.02,84.857,90.465,95.228,100,103.525,108.236,112.646,120.337
"181","174","          Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825,23.666,26.528,29.742,32.488,35.121,35.262,36.19,35.504,37.544,42.106,48.599,53.622,61.067,68.777,72.037,77.704,83.04,86.03,89.962,90.385,96.641,100,101.23,104.672,104.14,102.901
"182","175","          Other professional medical services","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.694,38.29,41.341,48.295,51.914,56.232,59.212,59.969,63,65.118,67.368,70.518,72.338,75.654,80.072,86.265,88.803,91.55,94.087,95.28,98.808,99.319,100,102.603,105.646,110.091,113.085
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.043,46.102,48.799,55.842,58.799,62.901,66.028,66.528,69.628,70.648,68.259,70.182,70.415,72.342,76.177,80.262,82.828,85.877,88.449,91.838,96.674,98.644,100,102.971,105.141,111.233,114.106
"184","177","            All other professional medical services","DOMORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.533,22.173,25.953,32.725,37.71,42.474,45.152,46.44,49.328,53.712,65.53,71.215,76.308,82.493,88.113,98.658,101.138,103.26,105.726,102.386,103.214,100.711,100,101.845,106.687,107.732,110.978
"185","178","      Hospital and nursing home services","DHPNRA3",14.447,14.23,15.128,16.643,18.102,19.452,20.617,22.944,25.427,28.48,31.392,33.313,37.462,40.394,42.446,44.383,47.134,50.017,52.43,55.631,57.447,58.874,60.738,60.999,61.524,61.052,61.915,63.462,64.257,65.668,65.394,65.958,66.472,67.14,67.49,67.845,68.441,69.447,72.057,74.423,75.34,77.07,80.442,84.66,85.428,87.693,90.535,92.576,95.388,97.046,100,101.714,104.693,107.571,110.388
"186","179","        Hospitals (51)","DHSPRA3",17.545,16.603,17.37,18.966,20.301,21.167,22.634,24.916,27.376,30.43,33.073,34.963,39.18,42.312,44.331,46.492,49.51,52.708,55.205,58.517,60.582,61.96,64.09,64.631,64.247,63.029,63.598,64.813,65.785,66.469,65.599,65.156,65.496,65.795,65.862,66.088,66.156,66.955,69.507,71.912,73.272,75.33,79.331,84.153,84.42,86.859,89.788,91.974,94.791,96.53,100,101.606,104.754,108.5,111.715
"187","180","          Nonprofit hospitals' services to households","DNPHRA3",19.721,18.772,19.75,21.305,22.959,23.806,25.155,27.494,29.998,32.979,36.209,38.524,42.834,45.748,47.586,50.205,53.903,57.359,60.517,64.098,65.571,67.145,69.138,69.178,68.222,66.652,66.658,67.455,68.539,69.408,68.393,68.011,68.053,68.132,67.735,66.982,65.886,66.387,69.497,72.2,74.099,75.778,78.823,83.921,83.971,87.338,91.296,93.053,96.3,96.888,100,101.877,104.122,107.323,110.652
"188","181","          Proprietary hospitals","DFPHRA3",11.581,10.975,11.546,12.437,13.428,13.924,14.726,16.022,17.519,19.21,21.115,22.482,24.996,26.674,27.887,29.464,31.636,33.717,35.343,37.949,40.136,41.889,43.588,45.535,46.252,47.95,50.876,54.18,56.174,57.314,56.984,56.441,55.948,54.589,52.338,52.897,55.696,59.786,62.235,63.905,62.626,63.427,68.067,76.308,79.804,79.572,83.375,86.005,87.997,94.094,100,99.532,106.852,116.524,122.429
"189","182","          Government hospitals","DGVHRA3",14.206,13.069,13.259,15.452,15.952,17.125,19.424,22.162,25.111,29.309,30.474,31.293,36.323,41.144,44.295,45.313,46.615,49.687,50.55,53.429,57.386,57.863,60.736,62.025,62.825,60.865,61.756,62.994,62.916,62.687,61.943,61.361,63.25,65.374,68.519,71.798,73.957,73.585,74.336,76.231,77.526,81.682,88.456,90.104,88.964,90.063,88.973,92.299,94.226,96.938,100,102.067,105.487,107.147,108.203
"190","183","        Nursing homes (52)","DNRSRA3",2.923,5.06,6.325,7.443,9.195,12.048,12.103,14.385,16.732,19.521,23.083,24.944,28.508,30.521,32.509,33.529,35.155,36.73,38.657,41.223,42.028,43.525,44.28,43.436,47.674,50.419,52.552,55.558,55.51,60.371,63.094,68.925,70.373,73.142,75.167,76.286,80.033,82.221,85.111,87.235,85.795,85.824,86.032,87.274,90.546,91.924,94.323,95.625,98.405,99.655,100,102.258,104.378,102.823,103.582
"191","184","          Nonprofit nursing homes' services to households","DNPNRA3",2.48,4.292,5.365,6.313,7.8,10.22,10.267,12.202,14.193,16.559,19.58,21.159,24.182,25.89,27.576,28.441,29.821,31.156,32.791,34.968,35.651,36.92,37.561,36.845,40.44,42.768,44.578,47.128,52.488,61.172,61.103,65.901,65.349,70.581,73.417,74.759,76.529,78.146,83.093,86.619,86.859,87.058,88.547,90.05,93.404,94.248,97.926,98.648,100.361,98.783,100,100.401,100.093,99.757,100.111
"192","185","          Proprietary and government nursing homes","DFPNRA3",3.161,5.471,6.838,8.047,9.941,13.026,13.085,15.552,18.089,21.105,24.956,26.968,30.822,32.998,35.147,36.25,38.008,39.71,41.794,44.568,45.439,47.057,47.873,46.961,51.543,54.51,56.817,60.066,57.127,59.944,64.158,70.541,73.059,74.512,76.103,77.103,81.906,84.398,86.19,87.565,85.226,85.165,84.689,85.791,89.019,90.683,92.398,94.01,97.36,100.121,100,103.25,106.668,104.462,105.438
"193","186","    Transportation services","DTRSRA3",22.362,23.089,23.371,24.245,25.301,26.686,28.043,29.662,31.239,33.234,35.459,36.699,38.252,40.449,41.122,41.351,41.908,44.002,47.111,48.247,49.704,46.758,45.018,44.038,47.357,52.909,58.454,60.996,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.593,102.863,103.696
"194","187","      Motor vehicle services","DMVSRA3",20.403,21.411,22.138,23.287,24.639,26.082,27.354,28.966,30.228,31.791,33.511,35.494,37.385,39.075,38.95,37.903,39.294,40.962,44.24,45.448,46.642,44.741,44.818,43.235,46.856,53.296,60.673,62.019,64.996,69.278,70.973,70.293,65.477,70.103,74.957,82.222,89.342,96.884,105.233,108.518,114.315,118.49,118.04,113.208,113.125,115.187,117.666,118.416,119.4,113.368,100,100.076,103.943,106.154,105.457
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRA3",28.57,29.96,30.885,32.428,34.27,36.156,37.782,39.959,41.615,43.529,45.662,48.14,50.445,52.504,52.254,50.782,52.53,54.695,59.112,60.772,62.499,59.306,59.01,57.012,62.121,69.285,78.549,80.36,84.758,90.43,92.291,90.624,81.625,83.688,86.988,92.915,98.194,102.557,106.144,109.92,113.732,117.152,118.922,117.289,119.592,120.949,122.214,118.969,118.753,110.843,100,100.185,104.304,105.333,100.777
"196","189","        Other motor vehicle services (61)","DOVSRA3",4.822,5.088,5.378,5.735,6.121,6.639,7.148,7.635,8.087,8.849,9.664,10.594,11.595,12.511,12.618,12.404,13.083,13.77,14.789,15.097,15.212,15.975,16.851,16.074,16.718,21.844,25.527,25.959,26.194,27.753,29.086,30.258,33.413,42.874,50.68,60.407,70.897,84.39,101.996,104.242,114.055,119.758,114.626,102.971,97.578,101.252,106.596,116.992,120.943,119.636,100,99.805,103.023,108.35,118.041
"197","190","          Motor vehicle leasing","DMVLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242,0.671,1.149,1.667,2.072,2.435,3.21,4.161,5.25,5.296,5.95,8.767,10.998,11.533,12.145,12.719,14.202,17.156,20.469,33.01,43.511,56.664,72.387,89.623,114.008,115.183,128.211,135.569,126.725,109.208,96.78,97.204,104.838,122.057,127.672,127.273,100,98.491,99.171,110.033,129.884
"198","191","            Auto leasing","DALERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.027,18.294,19.83,22.42,25.238,43.665,55.198,64.744,77.414,88.263,109.799,104.08,110.094,112.113,112.867,97.235,87.391,74.166,79.193,102.161,113.137,120.41,100,105.28,108.472,121.392,141.593
"199","192","            Truck leasing","DTLERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.351,2.486,3.87,7.494,11.717,13.452,22.061,41.827,63.148,92.114,121.731,135.572,161.483,178.65,152.174,131.194,114.022,139.532,151.955,158.612,154.378,139.879,100,86.031,82.097,89.181,108.392
"200","193","          Motor vehicle rental","DMVRRA3",8.4,8.78,9.023,9.501,10.022,10.601,11.106,11.669,12.185,13.218,14.724,16.469,18.249,19.479,19.032,17.766,17.677,17.643,18.596,17.8,16.844,16.346,15.802,13.886,16.566,26.579,35.561,39.282,41.163,44.262,42.226,42.026,44.19,42.738,48.33,55.329,55.44,64.495,69.88,72.828,78.27,81.384,82.002,80.325,85.481,100.377,106.914,113.015,117.019,116.266,100,104.029,113.078,122.655,127.137
"201","194","          Parking fees and tolls","DPFTRA3",19.465,20.579,21.887,23.408,25.048,27.318,29.581,31.707,33.687,36.931,40.146,43.782,47.752,51.692,52.634,51.115,53.321,55.353,58.731,59.902,58.476,59.657,61.01,58.274,56.731,65.21,68.622,65.217,62.27,65.894,69.934,65.925,69.488,78.75,79.632,80.821,84.077,89.773,97.819,102.649,107.422,110.923,110.75,105.943,109.165,111.372,110.892,110.527,111.143,107.686,100,99.213,102.789,96.938,95.642
"202","195","      Public transportation","DPUBRA3",25.825,25.93,25.274,25.561,25.985,27.215,28.71,30.303,32.478,35.303,38.5,38.22,39.074,42.213,44.456,47.282,46.077,49.001,51.655,52.6,54.581,49.563,44.492,44.636,47.314,51.073,53.016,57.912,59.377,61.716,62.824,63.985,63.993,64.462,66.253,72.187,75.58,81.275,85.049,91.723,97.682,105.447,103.911,104.335,107.23,112.552,110.074,109.184,110.933,104.606,100,96.601,95.676,94.703,99.114
"203","196","        Ground transportation (63)","DGRDRA3",80.572,79.634,75.955,74.776,73.361,73.632,74.218,75.17,74.896,76.199,78.343,77.112,77,78.377,79.439,82.636,80.42,80.997,81.225,78.861,78.952,71.546,65.384,62.662,62.149,62.651,63.133,59.57,58.495,63.199,64.655,67.645,69.906,70.772,73.065,75.687,77.37,75.286,76.702,84.813,89.798,93.986,98.618,95.391,93.097,97.792,99.725,104.349,105.622,104.911,100,98.8,100.63,95.27,92.796
"204","197","          Railway transportation","DIRRRA3",380.891,369.247,346.773,339.6,333.504,345.757,348.457,362.056,343.364,315.557,297.586,272.172,235.726,260.454,275.777,293.609,253.217,247.014,227.817,205.923,212.039,189.875,179.357,163.571,157.453,141.684,126.747,108.575,99.139,105.621,104.789,105.046,102.37,78.994,74.991,68.938,64.532,61.426,61.715,63.799,65.725,72.973,76.337,76.68,76.995,85.852,87.3,89.63,103.428,108.205,100,106.159,113.254,119.838,124.261
"205","198","          Road transportation","DROTRA3",71.135,70.586,67.533,66.552,65.282,65.137,65.658,66.198,66.504,68.676,71.398,70.879,71.808,72.524,73.197,75.965,74.819,75.58,76.357,74.577,74.489,67.57,61.572,59.269,58.936,59.965,60.944,57.859,57.057,61.695,63.229,66.32,68.756,70.463,72.971,75.89,77.786,75.74,77.195,85.513,90.606,94.677,99.352,95.993,93.605,98.16,100.108,104.802,105.691,104.813,100,98.585,100.264,94.575,91.918
"206","199","            Intercity buses","DIBURA3",133.264,125.943,128.139,131.338,127.126,145.925,159.451,177.056,186.487,187.943,185.805,189.856,185.42,182.743,190.024,200.856,176.902,174.336,167.898,173.116,199.636,212.399,210.362,201.567,167.135,140.375,116.977,84.801,95.446,114.695,96.062,80.558,84.356,83.994,92.101,98.849,109.649,115.261,130.999,135.921,142.762,154.418,155.121,150.525,147.455,141.707,135.613,129.578,122.205,124.02,100,82.151,84.863,89.772,94.719
"207","200","            Taxicabs","DTAXRA3",136.746,137.424,125.116,121.803,120.147,113.522,113.598,113.598,116.27,136.219,155.077,170.321,186.281,197.949,192.905,186.808,197.497,209.768,212.29,183.731,155.561,121.383,100.495,85.279,102.943,124.733,135.874,128.913,113.709,101.801,100.57,108.458,101.925,97.574,99.541,101.366,106.388,101.538,100.648,110.517,104.615,96.884,103.113,103.494,90.525,101.456,104.352,112.404,109.432,104.227,100,100.227,100.678,102.968,106.633
"208","201","            Intracity mass transit","DIMTRA3",80.029,79.816,76.804,75.27,73.81,72.635,71.663,70.14,68.43,66.537,66.437,60.894,59.099,57.542,58.878,64.223,62.561,60.63,62.366,66.256,69.782,63.686,58.087,59.063,58.896,58.887,60.695,61.395,60.696,67.222,71.888,77.46,82.146,85.008,85.145,85.76,81.559,74.95,72.768,81.489,89.716,97.535,100.384,90.897,90.738,92.599,94.023,100.257,98.865,101.152,100,97.284,99.166,100.556,94.075
"209","202","            Other road transportation service","DORTRA3",16.426,15.66,16.123,16.655,16.268,18.702,20.436,22.751,24.335,24.93,25.288,26.115,25.711,25.902,27.262,28.841,25.698,25.757,25.168,26.117,29.984,31.491,30.957,29.99,26.399,24.475,23.542,20.428,22.998,28.775,29.293,29.185,31.457,33.945,39.413,45.773,54.953,60.959,68.27,75.637,80.251,82.541,89.862,94.525,93.163,100.472,103.781,105.807,112.889,108.554,100,101.826,103.581,82.467,82.256
"210","203","        Air transportation (64)","DAITRA3",6.334,6.795,7.172,7.914,8.936,10.499,12.335,14.196,17.412,21.037,24.884,24.973,26.302,30.465,33.398,36.287,35.407,39.515,43.37,45.771,48.697,44.258,39.298,40.53,44.62,49.847,52.324,61.559,64.419,65.601,66.736,67.396,66.612,67.105,68.416,75.914,79.566,89.36,94.256,100.521,107.31,117.037,110.807,113.551,119.82,125.521,119.364,113.883,115.763,104.638,100,94.26,90.786,92.552,101.56
"211","204","        Water transportation (65)","DWATRA3",0.132,0.126,0.138,0.154,0.15,0.162,0.176,0.229,0.326,0.373,0.429,0.46,0.485,0.558,0.655,0.723,0.719,0.807,0.905,0.944,1.101,1.209,1.286,1.421,2.783,5.419,8.861,12.149,13.209,15.083,13.953,10.475,6.272,4.149,8.468,17.268,28.025,38.568,45.446,47.921,51.545,61.327,70.327,73.159,82.176,88.572,88.816,92.502,97.534,100.231,100,106.283,112.485,124.077,144.81
"212","205","    Recreation services","DRCARA3",10.673,11.263,11.745,12.314,12.815,13.337,13.835,14.67,15.166,16.119,17.077,17.684,18.289,19.261,20.9,22.314,23.465,25.083,26.669,27.963,29.325,30.316,32.888,34.483,37.428,39.915,42.801,44.781,46.815,51.262,54.46,56.821,56.415,60.145,63.938,67.207,72.32,75.589,77.989,80.448,84.262,86.69,86.549,87.048,89.987,94.624,96.988,100.379,104.275,103.45,100,101.318,103.403,104.889,105.714
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",21.427,22.238,22.917,23.591,24.089,24.346,24.764,25.691,25.807,27.031,27.883,28.515,28.972,29.925,31.255,33.464,34.844,35.881,38.43,39.999,41.332,42.661,45.306,46.752,49.158,50.731,52.802,53.418,54.077,58.3,62.607,65.283,65.106,69.88,72.544,73.577,77.86,80.686,82.811,85.226,85.343,85.859,84.846,85.386,87.654,90.975,94.788,98.679,103.255,102.963,100,102.415,106.627,108.411,106.332
"214","207","        Membership clubs and participant sports centers","DMDFRA3",19.608,21.041,22.36,22.81,22.931,22.658,22.776,23.265,23.329,22.938,22.399,21.852,20.883,21.184,23.113,25.628,28.623,31.636,34.384,33.532,34.055,34.356,34.6,35.472,38.794,41.48,47.515,51.36,54.05,56.563,59.026,59.828,59.295,61.912,61.135,60.391,64.366,67.998,78.349,78.267,78.628,77.838,76.575,78.138,81.027,87.638,93.849,98.452,105.73,105.135,100,102.843,105.668,108.632,108.403
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRA3",15.11,16.477,17.938,19.554,21.048,22.532,22.452,24.066,25.207,27.446,30.337,32.743,34.748,38.384,42.759,44.658,46.181,47.275,49.464,50.57,53.832,58.269,64.938,66.046,69.509,69.427,72.81,68.851,68.984,77.389,86.346,91.525,91.795,103.81,106.621,109.071,116.604,117.6,110.639,111.549,109.05,108.36,104.957,98.242,98.018,97.762,99.96,100.677,102.764,104.285,100,104.023,110.948,118.85,122.617
"216","209","        Admissions to specified spectator amusements","DADMRA3",30.13,29.817,29.124,29.133,29.076,28.741,29.962,30.753,30.1,31.913,32.217,32.314,32.559,31.838,30.282,32.447,32.693,32.136,34.948,38.711,39.032,38.322,39.319,41.793,42.858,45.058,42.749,44.335,43.681,46.294,48.879,51.551,51.488,52.805,58.15,59.811,62.293,66.321,68.024,73.366,74.722,76.59,77.12,80.64,84.062,87.231,89.539,95.717,101.605,100.404,100,101.372,104.939,102.733,95.192
"217","210","          Motion picture theaters","DMOVRA3",105.604,99.328,94.391,89.496,85.984,80.229,83.318,81.104,75.942,79.016,78.636,77.423,77.803,76.252,69.27,79.468,79.792,72.359,79.299,87.059,83.199,72.276,73.231,79.988,76.547,77.45,69.976,69.375,68.3,73.742,81.121,85.834,82.997,77.447,78.442,79.598,81.301,84.217,88.787,95.052,98.434,100.273,101.007,104.494,102.511,99.802,94.636,97.338,98.317,96.775,100,100.795,96.996,97.204,93.722
"218","211","          Live entertainment, excluding sports","DLIGRA3",12.795,12.944,11.755,12.031,11.764,11.738,11.116,11.521,11.815,10.816,10.301,9.863,9.3,9.749,10.207,10.737,11.07,12.714,14.028,16.236,17.428,19.423,21.431,21.285,22.916,24.863,26.937,31.729,31.463,32.668,30.736,34.043,33.64,36.952,43.186,44.701,46.566,47.221,48.113,52.471,53.749,55.083,56.917,58.973,65.433,72.776,80.926,88.756,97.458,98.069,100,102.802,109.243,111.653,100.111
"219","212","          Spectator sports","DSPERA3",12.503,14.214,15.794,17.655,19.31,21.134,23.362,26.107,26.774,31.362,33.129,34.774,36.081,34.229,33.345,32.556,32.622,33.449,35.668,39.005,40.844,43.004,42.538,45.97,49.208,52.628,47.365,45.696,44.761,47.522,53.507,53.856,56.149,59.121,66.028,68.225,72.114,81.799,82.758,88.883,88.979,91.638,90.124,95.745,98.318,99.284,98.107,104.171,109.24,105.769,100,99.813,104.036,94.185,89.532
"220","213","        Museums and libraries","DMUSRA3",11.466,12.399,13.493,14.396,15.149,15.645,15.007,15.694,15.788,16.597,18.279,19.591,20.789,22.593,24.925,28.668,29.402,32.042,35.291,37.967,39.638,42.907,47.341,47.223,47.677,48.199,50.715,51.862,52.665,55.696,58.199,58.643,57.21,61.52,67.029,67.487,68.621,66.654,67.237,73.367,77.633,83.853,86.191,98.672,101.976,106.043,117.01,115.208,105.285,104.097,100,99.466,101.763,96.024,97.591
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",7.34,7.961,8.408,8.799,9.322,9.833,10.481,11.552,12.537,13.605,15.134,16.288,17.238,17.877,20.41,22.498,24.264,27.423,28.857,29.66,31.492,32.685,35.533,37.424,42.877,47.034,51.976,55.851,59.568,65.494,69.414,71.419,69.661,72.312,74.638,75.227,79.489,80.701,81.015,84.61,90.351,94.075,94.979,92.181,92.961,96.869,95.207,95.601,99.587,100.967,100,101.675,103.588,103.873,107.659
"222","215","        Cable and satellite television and radio services","DCTVRA3",0.907,1.135,1.283,1.577,1.86,2.021,2.082,2.362,2.725,3.247,3.883,4.407,4.778,5.501,6.482,7.49,8.474,9.665,11.671,13.627,15.662,18.897,25.567,30.938,37.808,42.184,44.769,47.936,50.39,54.07,58.015,59.83,57.636,60.435,61.2,59.479,64.126,67.735,69.239,71.642,77.266,81.761,84.013,81.556,81.573,86.089,87.551,89.048,93.738,97.882,100,103.268,107.079,109.11,114.151
"223","216","        Photo processing","DFDVRA3",24.192,26.491,27.976,29.845,33.246,36.839,42.012,50.827,56.479,56.336,61.653,64.767,65.629,72.959,98.635,119.043,126.42,157.127,162.971,168.576,189.175,199.905,200.911,186.923,210.924,226.445,237.894,244.361,256.913,283.152,298.495,282.365,275.971,269.827,275.607,277.88,276.515,281.743,280.879,282.874,284.088,272.559,259.43,253.335,241.82,219.44,172.143,128.483,124.482,112.79,100,98.729,108.273,100.465,98.007
"224","217","        Photo studios","DPICRA3",17.987,18.863,18.996,19.206,20.178,21.988,24.312,27.113,29.571,34.62,40.737,45.424,49.978,42.775,46.529,49.463,51.064,59.828,57.294,61.086,64.02,62.477,63.544,67.469,72.042,71.68,74.462,79.93,85.681,93.495,93.631,97.821,97.686,103.73,108.819,111.384,117.378,113.403,103.843,108.12,107.537,107.921,106.453,100.944,99.966,101.706,103.943,104.159,107.634,106.979,100,98.675,96.808,92.131,90.958
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRA3",33.49,36.265,38.629,40.073,41.609,42.801,44.432,47.161,50.18,53.569,57.544,60.58,63.371,68.518,73.335,76.983,83.992,87.364,91.221,84.249,81.387,75.174,69.492,64.192,63.33,62.185,66.249,65.802,72.029,75.773,74.067,71.651,66.7,64.852,64.951,63.39,65.424,62.731,63.096,70.979,78.977,89.842,92.224,96.218,95.213,100.24,95.822,101.305,105.504,104.457,100,102.338,107.598,108.678,112.387
"226","219","        Video media rental","DVIDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.546,10.372,19.845,35.134,45.281,50.002,62.923,73.205,84.476,86.815,94.279,105.243,119.214,126.125,120.935,122.799,131.186,144.682,143.933,139.674,129.118,146.374,155.909,138.132,137.458,137.104,118.771,100,88.51,68.756,58.888,57.253
